zts1e	新手冒險家學習課程
zts85e	守住礦山
zts86e	請獵殺新手礦務士兵
zts87e	請獵殺資深礦務士兵
zts88e	請獵殺新手礦務
zts89e	請獵殺粗獷新手礦務
zts90e	請獵殺資深礦務
zts91e	請獵殺礦務長士兵
zts92e	請獵殺力士資深礦務
zts93e	請獵殺礦務長
zts94e	請獵殺狂暴礦務長
zts95e	請收集礦石
zts96e	請收集老舊的鋤子
zts97e	請收集破碎的角笛
zts98e	狼人戰鬥！
zts99e	請獵殺艾彌爾長劍侍衛
zts100e	請獵殺艾彌爾弓手侍衛
zts101e	請獵殺艾彌爾護衛長
zts102e	請獵殺艾彌爾長劍隊長
zts103e	請獵殺艾彌爾弓手隊長
zts104e	請獵殺艾彌爾護衛官
zts105e	請獵殺巴特大刀士兵
zts106e	請獵殺巴特投槍士兵
zts107e	請獵殺巴特突擊士兵
zts108e	請獵殺巴特大刀隊員
zts109e	請獵殺巴特投槍隊員
zts110e	請獵殺巴特突擊隊員
zts111e	請獵殺巴特大刀隊長
zts112e	請獵殺巴特投槍隊長
zts113e	請獵殺巴特突擊隊長
zts114e	林克山地保護任務！
zts115e	請獵殺魔翼尤達
zts116e	請獵殺狂暴冥界戰士
zts117e	請獵殺皇后蜂
zts118e	請獵殺灰豺狼
zts119e	請獵殺毒毒蜘蛛
zts120e	請獵殺毒毛蟲
zts121e	請獵殺小盔甲毛蟲
zts122e	請獵殺刺荳莖
zts123e	請獵殺山洞豬
zts124e	請獵殺山岩烏龜
zts125e	請獵殺巨齒毒蜘蛛
zts126e	請獵殺灰野豺狼
zts127e	請獵殺狂暴毒毒蜘蛛
zts128e	請獵殺大科莫多龍
zts129e	請獵殺鬃毛豺狼
zts130e	請獵殺劇毒毒蜘蛛
zts131e	請獵殺大毒毛蟲
zts132e	請獵殺尖銳刺跳荳
zts133e	請獵殺石山岩烏龜
zts134e	請獵殺盔甲毛蟲
zts135e	請獵殺鬃毛野豺狼
zts136e	請獵殺殘酷毒蜘蛛
zts137e	請獵殺毒蜘蛛頭目
zts138e	請獵殺狂暴科莫多龍
zts139e	請獵殺地洞豬
zts140e	請獵殺危險蜂巢穴
zts141e	請獵殺華麗皇后蜂
zts142e	請獵殺尖銳毒毛蟲
zts143e	請獵殺危險盔甲毛蟲
zts144e	請獵殺狂爆科莫多龍
zts145e	凱梅特戰鬥
zts146e	請獵殺杜比黑暗威廉
zts147e	請獵殺杜比赤血威廉
zts148e	請獵殺貝絲黑暗威廉
zts149e	請獵殺貝絲赤血威廉
zts150e	請獵殺貴婦  美嘉娜
zts151e	請獵殺貴婦  迪斯麗
zts152e	請獵殺莎甫 黑暗威廉
zts153e	請獵殺貴婦  瑪琳威
zts154e	擊退不死系
zts155e	請獵殺史瑞克士兵
zts156e	請獵殺尤辛特
zts157e	請獵殺暗黑魔岩士兵
zts158e	請獵殺史瑞克侍衛
zts159e	請獵殺暗黑魔岩
zts160e	請獵殺尤辛特
zts161e	請獵殺史瑞克隊長
zts162e	請獵殺變形暗黑魔岩
zts163e	請獵殺尤辛特魔頭
zts164e	請獵殺狂暴惡魔槍兵
zts165e	請獵殺堅硬暗黑魔岩
zts166e	請獵殺惡靈史瑞克
zts167e	請獵殺怨念尤辛特
zts168e	請獵殺邪靈史瑞克
zts169e	請獵殺狂暴暗黑魔岩
zts170e	請獵殺尤辛特妖靈
zts171e	拉迪的物品收集委託
zts172e	請收集小狐尾巴毛
zts173e	請收集箭豬的刺
zts174e	請收集羊毛
zts175e	請收集食人花
zts176e	請收集蒲公英種子
zts177e	請收集貝諾的葉子
zts178e	請收集小豆子
zts179e	請獵殺萊吉姆一族，收集軟軟水凍
zts180e	請收集尤達的角
zts181e	請收集妖球
zts182e	請獵殺暗黑之手一族、艾彌爾一族、巴特一族，收集閃亮的碎片
zts183e	請獵殺冥界戰士一族收集黑暗的碎片
zts184e	請收集狼鬃毛
zts185e	請收集烏龜殼
zts186e	請收集蜘蛛絲
zts187e	請獵殺史瑞克一族、暗黑魔岩一族、尤辛特庫一族，收集暗黑之珠
zts188e	將棉被提供給睡衣精靈！
zts189e	請收集製作棉被的羊毛
zts190e	將枕頭提供給睡衣精靈！
zts191e	請收集超級吱雞的羽毛
zts192e	與睡衣精靈對話！
zts193e	羽毛收齊了，再回去找睡衣精靈對話
zts194e	提供床給睡衣精靈！
zts195e	請收集質感差的木材40個
zts196e	提供地板給睡衣精靈！
zts197e	請獵殺軟綿綿萊吉姆，收集乳膠液
zts198e	與睡衣精靈對話
zts199e	地板做好了，請與睡衣精靈對話
zts200e	完成睡衣精靈的時空裂縫任務！
zts201e	到底是什麼樣的冒險呢？
zts202e	與可惡的睡衣精靈對話！
zts203e	被睡衣精靈利用了！ 不能原諒！
zts204e	尋找陰暗斯巴特的心臟！
zts205e	進入時空裂縫尋找陰暗斯巴特的心臟
zts206e	回到靈魂石
zts207e	找到心臟了，回去找靈魂石對話
zts208e	尋找陰暗斯巴特之骨！
zts209e	進入時空裂縫尋找陰暗斯巴特之骨
zts210e	回到靈魂石
zts211e	找到了一個奇怪的劍，回去對話看看
zts212e	打倒陰暗斯巴特！
zts213e	長久怨恨的末章！ 請從時空進入！
zts214e	與靈魂石對話！
zts215e	打倒了陰暗斯巴特，請回去對話
zts216e	請收集百合
zts217e	請獵殺與百合100朵類似等級的怪物
zts218e	百合收集完畢，回去與靈魂石對話
zts219e	聖光魔法師會非常開心的
zts220e	追隨刺客！
zts221e	追隨刺客進入時空吧
zts222e	拯救劍刃！
zts223e	透過靈魂石進入時空來拯救劍刃
zts224e	回到靈回石
zts225e	成功救出劍刃，請回去
zts226e	誤會與真相
zts227e	請進入時空
zts228e	請將真相告訴劍刃
zts229e	Nos Mall開業紀念活動！
zts230e	獵殺同樣等級以上的怪物來收集氣球
zts231e	研究所的秘密
zts232e	[探查研究所1]透過隱藏時空尋找隱藏的材料
zts233e	[探查研究所2]透過隱藏時空尋找隱藏的材料
zts234e	[探查研究所3]透過隱藏時空尋找隱藏的材料
zts235e	等待守護者出現在3樓搭達的遺書旁邊
zts236e	願不幸的柏圖安息！
zts238e	新手冒險家的冒險準備
zts240e	利用捕獲技能將吱雞變成寵物
zts241e	與吱雞一起獵殺弱的黃色貝諾
zts242e	找山露古教授了解教育與技能吧
zts244e	去練金術協會
zts245e	去裝備商店
zts246e	去商店購買食品
zts247e	時空裂縫冒險
zts248e	移動到村莊上方的時空裂縫
zts249e	替山普巡邏北部平原
zts250e	傳染病防疫
zts251e	消除散播恐怖傳染病的原因
zts252e	消除恐怖的傳染病
zts253e	消除恐怖傳染病的根源
zts254e	強力的不死系
zts255e	擊退不死系！
zts256e	將結果報告給保衛青年山普吧
zts257e	答應保衛隊大叔的要求
zts258e	將結果報告給保衛隊叔叔山治
zts260e	跟著箭頭找出原因
zts261e	好像發生了不尋常的事情，找艾美談談吧
zts262e	利用生產道具製作手工精細的金項鍊
zts263e	找雪滋學習飾品相關知識
zts264e	把便當拿給山露古
zts265e	了解拉迪的請求
zts267e	與拉迪對話
zts268e	去找貝托魯奇
zts269e	收集貝托魯奇所需的材料
zts270e	材料收集完畢，交給貝托魯奇
zts271e	出現在依蘭特的不祥之影
zts272e	去北部平原阻擋魔物
zts273e	去北部平原消滅危險的動植物
zts274e	終於整理好了，去Nos Camp吧！
zts275e	準備好之後，再次與艾美對話吧
zts276e	收集艾美所託的物品
zts277e	消滅西部礦山的魔物
zts278e	礦山的狼人族們
zts281e	鎚子收集完畢，與摩柯對話吧
zts282e	將鎚子交給比茲柏修斯吧
zts283e	去Nos Capm吧
zts284e	向摩柯聽取下一個任務
zts285e	進入礦山戴上狼人面具竊聽狼人族的對話
zts286e	調查礦務們指使的地區
zts287e	暫時回到村莊，將結果報告給艾美吧
zts288e	取得冒險家鞋子1雙，並交給拉迪吧
zts289e	從1號礦山救出拉迪的叔叔
zts290e	戴上狼人面具，調查狼人們的動靜
zts291e	狼人族全面罷工！
zts292e	找摩柯報告狼人族罷工的事情
zts293e	鎮壓狼人族！
zts294e	再次回去找摩柯商量
zts295e	進入示威現場，了解狀況
zts296e	將狼人族的要求告知艾美
zts297e	等待羅布格卿的回覆……
zts298e	聽取回覆
zts299e	新的姻緣
zts301e	調查從西部礦山地區傳來的奇怪聲音
zts302e	探測周圍
zts303e	跟比茲領取保衛隊員們的武器
zts304e	去保衛隊員出動的地方
zts305e	向山露古聽取黑色石版的內容
zts307e	慢慢的後退，並將魔物消滅
zts308e	與雷登會合並將魔物消滅
zts309e	將經過告知管理員
zts310e	將2號礦山的狼人族消滅
zts311e	將經過告知管理員
zts312e	救出古里斯托叔叔！
zts313e	與保衛隊會合後打倒狼人們的主要勢力！
zts314e	強力的敵人
zts316e	向貝托魯奇聽取精靈的事情
zts317e	與???對話
zts319e	了解魔物持續出現的原因
zts320e	將暗黑魔王的事情告訴Nos Camp
zts321e	將消息傳給近衛隊
zts322e	不良近衛隊
zts323e	尋找在曙光平原的近衛隊長
zts324e	提供餐點給近衛隊長
zts325e	隊長用餐的時候，觀察周圍進行護衛吧
zts326e	把隊長遺失的煙盒找回來吧
zts328e	向近衛隊詢問麥克的事情
zts329e	去問山露古
zts331e	把摩斯所需的東西取來
zts332e	把摩斯所要的動物捕獲回來
zts333e	向摩斯聽取集合場地的事情
zts334e	去近衛隊集合場地吧
zts335e	對手
zts337e	向拉迪詢問追蹤香水
zts338e	去北部平原找香氣芬芳的葉子取得葉子吧
zts340e	向脆弱藥材食人花取得食人花花葉
zts341e	請拉迪製作追蹤香水
zts342e	將追蹤香水交給摩斯
zts345e	追蹤麥克
zts346e	答應傑克琛的要求
zts347e	擊退周圍的怪物
zts348e	追蹤保衛隊的位置
zts349e	接受傑克琛的訓練
zts350e	向傑克琛展現毅力！
zts351e	完成第一個關卡吧
zts352e	把執行結果報告給傑克琛
zts353e	移動到麥克的挑戰場地
zts354e	把與麥克的對決結果告訴傑克琛
zts355e	灰燼暴風！
zts356e	回到Nos Camp
zts357e	去曙光平原取得米
zts358e	求得製作藥水所需的食人花
zts359e	向摩柯取得鐵
zts360e	去礦山內部取得鐵礦石
zts362e	把經過報告給艾美
zts363e	曙光平原的先發部隊
zts364e	參與狼人族的戰鬥
zts365e	把目前情況報告給Nos Camp
zts366e	把情況傳達給神殿入口的保衛隊基地
zts367e	與狼人族士兵戰鬥！
zts368e	向保衛隊基地報告任務完成的結果
zts370e	戰亂的龍捲
zts372e	尋找近衛隊的行蹤
zts373e	消除木塊
zts374e	移動到近衛隊們聚集的地方
zts375e	將文件交給諾曼
zts376e	將魔法粉墨灑在小的紅色石版上
zts377e	艾彌爾再度開始攻擊了！ 抵擋他的攻擊吧.
zts378e	去保衛隊營區
zts379e	諾曼的不可能的要求
zts380e	摩斯的要求
zts381e	去西部礦山地區
zts383e	再次去西部礦山地區
zts384e	將狀況報告給諾曼
zts385e	友軍與敵軍
zts386e	發生戰鬥！參與戰鬥吧
zts388e	向摩斯詢問印章是否到達
zts389e	將劍交給諾曼
zts390e	將惡魔的消息傳達給近衛隊
zts391e	確保近衛隊的攻擊路徑
zts392e	回到保衛隊營區
zts393e	回到Nos Camp
zts395e	取得要給克萊仙杜卿的賄賂品
zts396e	取得閃亮的血紅寶石
zts399e	侵入敵陣營取得情報
zts400e	將取得的情報傳達給Nos Camp
zts401e	將情報傳達給保衛隊營區
zts402e	入侵敵陣深處，將敵人消滅
zts403e	報告給保衛隊營區
zts404e	分裂與背叛
zts405e	追擊艾彌爾！
zts406e	利用樹根通路移動到艾彌爾所在之處
zts408e	獵殺幼苗史汀奇
zts409e	獵殺史汀奇
zts410e	取得第二隻寵物 溫順羊咩
zts411e	去北部平原收集紅色果實吧
zts412e	去礦山入口處與摩柯相見
zts413e	進入時空裂縫取得木槌
zts414e	向狼人礦務們取得礦石
zts415e	向狼人礦務們取得鋤子
zts416e	與保衛隊一起阻止魔物的入侵
zts417e	調查曙光平原
zts418e	去找麥克
zts419e	向比茲柏修斯詢問
zts420e	去神殿入口採集哼哼蟲蟲
zts421e	跟著箭頭走吧
zts422e	與山露古對話
zts423e	與艾美對話
zts424e	拿著收集的材料與論文，找拉迪商量
zts425e	將紅寶石交給摩斯
zts426e	完成第二關卡吧
zts427e	完成第三關卡吧
zts428e	北部礦山發生了戰鬥！快去會合吧！
zts429e	把煙盒交給他吧
zts430e	拿著空瓶去西部礦山地區的井水前
zts431e	擊退位在廢礦地下的紅色 泥漿魔岩
zts432e	向摩斯詢問方法
zts433e	在37級的時空尋找血紅寶石
zts434e	跟著北部平原上的箭頭走
zts435e	與保衛隊叔叔山治對話
zts436e	與比茲柏修斯對話
zts437e	與貝托魯奇對話
zts438e	跟蹤艾彌爾
zts439e	與巴特隊員戰鬥，並找出始末
zts440e	去找拉迪詢問是否有特殊物品
zts441e	重新取得新的始末
zts442e	委託拉迪解讀黑色石版
zts443e	移動到地獄守門犬出沒的地方
zts444e	取得地獄守門犬的項鍊吧
zts445e	尋找位在廢礦地下的張著嘴巴的銅像
zts446e	與惡魔的手下對話
zts447e	取得藍色土撥鼠的鬍鬚
zts448e	進入艾彌爾與巴特相見的場地
zts449e	尋找神秘的寶物
zts450e	將魔法材料交給拉迪
zts451e	尋找新的寶物
zts452e	將料理材料交給貝托魯奇
zts453e	向隨意人聽取寶物相關情報
zts458e	將超級組合交給???
zts460e	將寶物交給艾美
zts461e	移動到位於神殿1樓的隱密的房間
zts462e	拯救被抓走的情報員
zts463e	新的同盟
zts465e	了解情報員發生的事情
zts466e	抓巴特部隊員，並取得樣本
zts468e	拯救艾彌爾部隊！
zts469e	向拉迪取得建議
zts470e	用吸收吸管將巴特部隊的力氣吸收，並取得虛像珠吧
zts471e	前往神殿前甬道的被人遺棄的大法師之塔
zts472e	將東西交給拉迪
zts473e	通過關卡並潛入精銳部隊陣營
zts477e	報告給情報員
zts478e	比斯特之樹
zts479e	潛入巴特的隱身地
zts482e	向拉迪詢問邪惡的俱樂部相關事情
zts483e	去神殿1樓取得紅色樹枝
zts485e	移動到東方的龍捲通路
zts487e	割斷第一個地脈吧
zts489e	割斷第二個地脈吧
zts491e	割斷第三個地脈吧
zts493e	割斷第四個地脈吧
zts494e	移動到神殿最高層
zts495e	與束縛的靈魂戰鬥
zts497e	突擊到比斯特的心臟！
zts498e	突擊比斯特之根！
zts499e	尋找廢礦內的藍色土撥鼠
zts500e	在下面的路上找到艾彌爾的痕跡
zts502e	尋找比斯特神殿B1的寶物
zts503e	尋找第二個寶物
zts504e	尋找第三個寶物
zts505e	尋找第四個寶物
zts506e	將樣本拿給情報員
zts507e	前往西部礦山地區翻滾斷層的井水前
zts508e	要調查神殿B1的地區嗎？
zts509e	前往神殿地下1樓的北邊緊急通路
zts510e	前往神殿地下1樓的東邊緊急通路
zts511e	前往神殿地下1樓的西邊緊急通路
zts512e	前往位在大法師之塔8樓的神聖祭壇吧
zts513e	前往神殿B2 尾隨哼吧
zts514e	向哼聽取關於比斯特封印的故事吧
zts515e	消滅魔物吧！
zts516e	去找情報員
zts517e	前往神殿B2樓的蜿蜒崎嶇通路
zts518e	在神殿2,3樓取得光屬性琥珀吧
zts519e	在神殿4,5樓取得暗屬性琥珀吧
zts520e	在神殿6,7樓取得水屬性琥珀吧
zts521e	在神殿8,9樓取得火屬性琥珀吧
zts522e	向山露古取回之前交給艾美的寶物
zts523e	茶茶丸任務
zts524e	向隕石碎片攻擊
zts525e	向比茲柏修斯委託製作巨大的鎚子
zts526e	給比茲柏修斯材料
zts527e	把巨大的鎚子傳給狼人
zts528e	幫忙狼人打碎隕石
zts529e	打倒聚在隕石週邊的生氣的怪物吧
zts530e	趕忙地確認石碑吧
zts531e	看看與影像有關的石頭吧
zts532e	看看三角形石頭吧
zts533e	追鯰魚主宮吧
zts534e	問拉迪關於精靈淨水的事情吧
zts535e	去貝托魯奇那邊找妖精之粉吧
zts536e	拿給貝托魯奇煮菜用的香料吧
zts537e	拿給拉迪妖精之粉吧
zts538e	回到山露古的地方
zts539e	找到櫻花公主的髮飾吧
zts540e	解除櫻花公主的封印
zts541e	答應雪滋的招待吧
zts542e	找到靈魂的結晶吧
zts543e	拿給雪滋靈魂的結晶吧
zts544e	答應雪滋的招待吧
zts545e	給比茲柏修斯材料吧
zts546e	收集靈魂的結晶，回到雪滋那吧
zts547e	快確認石碑吧!
zts601e	請打下一個怪物
zts602e	Nos Camp 林克山地 地點
zts603e	與艾彌爾村莊村長對話
zts604e	在林克山地山峰拿山楂汁之後塗在左邊的石像
zts605e	在林克山地山峰拿山楂汁之後塗在右邊的石像
zts606e	詢問關於被破壞的石像
zts607e	為了製作石像收集黏土
zts608e	製作石像
zts609e	將製作好的石像放置好
zts610e	報告進行狀況
zts611e	傳達許可建立Nos camp的消息
zts612e	修理塌落的崗亭
zts613e	周圍種植草地
zts614e	弄好不齊的路面
zts615e	拿寶物地圖給琛姆治
zts616e	走到岩山洞窟1尋找寶物
zts617e	拿寶物給琛姆治看看
zts618e	去找西巴里林克
zts619e	去崔直洞穴找德勒撒斯
zts620e	詢問德勒撒斯所在的位置
zts621e	去打倒德勒撒斯
zts622e	報告有關凱梅特的事情
zts623e	尋找凱梅特
zts624e	脫離魔物的攻擊
zts625e	查詢凱梅特的位置
zts626e	尋找凱梅特的移動路徑
zts627e	狼人和凱梅特
zts628e	去見情報通
zts629e	去找情報通
zts630e	打倒岩山洞窟5的魔物
zts631e	向惡魔手下報告
zts632e	詢問惡魔手下要求的製作帽子的方法
zts633e	從閃亮的石頭取得閃亮的石粉
zts634e	拿閃亮的石粉給琛姆治
zts635e	拿材料給琛姆治
zts636e	去索取情報
zts637e	去凱梅特公主出現的地方
zts638e	給琛姆治看鏡子上的情報
zts639e	走去林克山地山峰的晚霞斷崖
zts640e	要請琛姆治製作紅色面具
zts641e	在霧溪谷找夏娃
zts642e	打霧溪谷的魔物
zts643e	去找夏娃
zts644e	詢問夏娃的位置
zts645e	詢問地下監獄的位子
zts646e	到靈魂洞穴拿猛獸之牙齒
zts647e	拿猛獸的牙齒給樂樂 羅賓治吧!
zts648e	去山地洞穴4的地牢救夏娃吧!
zts649e	巴特的復活
zts650e	去林克山地右側找委託的寶物回來吧!
zts651e	拿珍貴的缸子給琛姆治吧!
zts652e	去岩山洞窟5跟希納見面吧!
zts653e	去問艾美解決辦法!
zts654e	把艾彌爾的意見傳給希納吧!
zts655e	回去Nos Camp 林克山地支部吧!
zts656e	去找狼人咒術師吧!
zts657e	去問巴特的行跡吧!
zts658e	在山地洞穴6找找巴特的奸細吧!
zts659e	在山地洞穴6找找巴特的奸細吧!
zts660e	給他看看信件碎片吧!
zts661e	快點去山地洞穴6阻止巴特吧!
zts662e	巴特的最後
zts663e	去比斯特神殿採集哼哼蟲吧!
zts664e	研究夏娃的香水吧!
zts665e	跟著味道移動到雪銀藍密殿B1
zts666e	消滅周圍的魔物吧！
zts667e	在這附近找夏娃吧!
zts668e	與派西斯公主一起尋找夏娃
zts669e	找有問題的壁畫吧!
zts670e	查看看秘密空間吧!
zts671e	架住講不聽的赤星騎士團員吧!
zts672e	查看看赤星騎士團員告知的地方吧!
zts673e	隨著痕跡追擊巴特吧!
zts674e	找找隱藏的祭壇的結界吧!
zts675e	炮烙判刑官的釘錘吧!
zts676e	打碎叫喊的石像吧!
zts677e	打碎結界!
zts678e	找黑鑽石吧!
zts679e	修復鑰匙吧!
zts680e	去隱藏的祭壇吧!
zts681e	救了夏娃之後阻止比斯特的封印
zts682e	去找嗅嗅使用小小網子
zts683e	移動至特定位子
zts685e	挑戰時空裂縫分數
zts687e	挑戰時空裂縫，並且得到高分!(需要使用紀錄挑戰模式)
zts688e	調查費理斯研究所
zts689e	去找Nos Camp林克分部的山魯治
zts690e	去找艾彌爾的村長
zts691e	去找山魯治
zts692e	前往研究所吧
zts693e	去完成等級76的時空裂縫吧
zts694e	向山魯治說明在研究所發生的事情
zts695e	向德勒撒斯　力福請求保護
zts696e	去完成等級67的時空裂縫吧
zts697e	尋找柏圖的遺書
zts698e	向山魯治報告有關研究所的調查
zts699e	大家都變得...
zts700e	尋找了解戒指飾品的人
zts701e	為了打聽有關柏圖戒指的消息，尋找卡特西的下落
zts702e	尋找卡特西的下落
zts703e	尋找知道黃昏珍珠的人
zts704e	前往陡峭的懸崖
zts705e	尋找寒冰之心
zts706e	採集冷淡的野花與熱情的野花各五朵
zts707e	前往陡峭山崖外側，把收集到的材料放進石像口中
zts708e	完成等級68的時空裂縫
zts709e	前往黑森林的貓咪小屋告知黃昏珍珠的下落
zts710e	尋找新的純淨的水源
zts711e	把裝滿的水瓶交給夏娃
zts712e	去打聽依蘭特村莊的消息
zts713e	去獵殺99隻褐色蜥蜴吧
zts714e	回去找艾美
zts715e	去獵殺浣熊鳥，獲得浣熊鳥的尾巴
zts716e	與山露古對話
zts717e	去獵殺木槌樹妖和石斧樹妖
zts718e	回去找山露古
zts719e	去獵殺木頭殭屍99隻吧
zts720e	尋找水被污染的原因
zts721e	獵殺99隻水蛭魔、99隻水蛭王
zts722e	尋找乾淨的水
zts723e	把乾淨的水交給夏娃
zts724e	打聽依蘭特村莊的情況
zts725e	請注意!有東西正在接近
zts726e	仔細地調查研究所
zts727e	報告研究所的調查結果
zts728e	採集冷淡的野花與熱情的野花
zts729e	把收集到的材料放進石像口中
zts730e	從千年貝殼那裡獲得黃昏珍珠
zts731e	告知黃昏珍珠的下落
zts732e	把水帶去給夏娃
zts733e	把被污染的水帶去給夏娃
zts734e	把被污染很嚴重的水帶去給夏娃
zts735e	按照艾美所說的，去獵殺浣熊鳥獲得尾巴
zts736e	按照山露古所託付的，去獵殺殘根
zts737e	按照山露古所說的，去獵殺腐木殭屍
zts738e	獵殺水蛭
zts739e	未知的礦石
zts740e	尋找傑特的蜜蜂牧場
zts741e	向樵夫小屋的青年自我介紹
zts742e	去聽聽傑特要委託的事項
zts743e	去調查山鹿消失的原因
zts744e	把鈴鐺交給傑特
zts745e	尋找把山鹿變成魔物的元凶
zts746e	去LV71時空裂縫解決元凶
zts747e	向傑特說明山鹿變凶暴的原因
zts748e	去找諾狄
zts749e	尋找瞭解礦石的人
zts750e	尋找未知礦石的所在地
zts751e	打倒怪物尋找未知的礦石
zts752e	打倒怪物尋找未知的礦石
zts753e	前往可疑的地方
zts754e	超危險生命體?
zts755e	向夏娃打聽比米的黏液
zts756e	向人們詢問毛毛蟲的黏液
zts757e	尋找艾力克斯說的那個人
zts758e	尋找蘇詩的副官
zts759e	獵殺威洛，尋找硬殼
zts760e	把比米的硬殼交給加泰
zts761e	把比米的硬殼給蘇詩看
zts762e	按照艾美所說的，去獵殺蜥蜴吧
zts763e	尋找第一個咒術材料
zts764e	把第一個咒術材料帶過去
zts765e	獲得夏娃的幫助
zts766e	尋找第二個咒術材料
zts767e	把第二個咒術材料帶過去
zts768e	需要摩柯的幫助
zts769e	支付摩柯要求的金額，打聽情報
zts770e	前往黑森林尋找第三個咒術材料
zts771e	把第三個咒術材料帶過去
zts772e	尋求艾美的幫助
zts773e	尋找第四個咒術材料
zts774e	把第四個咒術材料帶過去
zts775e	尋求烏茲克阿刃的幫助
zts776e	尋找第五個咒術材料
zts777e	把第五個咒術材料帶過去
zts778e	獲得德勒撒斯的幫助
zts779e	尋找第六個咒術材料
zts780e	把第六個咒術材料帶過去
zts781e	尋找第七個咒術材料的線索
zts782e	尋找咒術材料
zts783e	把咒術材料交給蘇詩
zts784e	確認加泰的真面目
zts785e	真相是?
zts786e	聆聽加泰的解釋
zts787e	尋找古老的樹木
zts788e	調查遠古樹海
zts789e	解決掉遮蓋住比米的痕跡的怪物
zts790e	附近有人!請去確認一下
zts791e	前往拔托魯沙
zts792e	按照依娜的指示前進
zts793e	去解決擋住前往地下通道的道路的怪物
zts794e	去解決擋住前往地下通道入口的道路的怪物
zts795e	終於發現地下通道的入口
zts796e	調查拔托魯沙
zts797e	發掘真相
zts798e	打聽艾彌爾的下落
zts799e	詢問卡-艾彌爾所在的地方
zts800e	去楓葉森林外側尋找秘傳咒術的第一個材料
zts801e	去地下通道尋找秘傳咒術的第二個材料
zts802e	去找拉迪製作秘傳咒術的第三個材料
zts803e	把秘傳咒術的材料給林克
zts804e	找回黃昏珍珠
zts805e	依娜和加泰的選擇
zts806e	為了阻止拉泰歐爾的復活，向依娜請求協助
zts807e	為了阻止拉泰歐爾的復活，向加泰請求協助
zts808e	為了阻止拉泰歐爾的復活而前往拔托魯沙
zts809e	擊退擋在前面的天使們
zts810e	前往比米的蛹所在的地方
zts811e	擊退擋在前面的天使們
zts812e	往比米的蛹所在的地方前進
zts813e	阻止天使之王的召喚
