zts1e	新物品
zts211e	精鐵盔甲
zts212e	比鐵盔甲的鐵板密度更高的盔甲[n][n]
zts213e	勇猛盔甲
zts214e	裝備時可提升攻擊力[n][n]
zts215e	初級弓手緊身衣
zts216e	弓手基本會得到的服裝[n][n]
zts217e	羊皮緊身衣
zts218e	用小羊皮製做而成的緊身衣[n][n]
zts219e	伸縮緊身衣
zts220e	在皮革上打上粗略氣孔的加工緊身衣，裝備感比較好[n]可稍微提升所有武器的致命打擊率
zts221e	高級皮緊身衣
zts222e	用山羊皮製做而成的緊身衣
zts223e	迴避緊身衣
zts224e	異常輕巧且裝備後不阻礙活動[n]對於近距離攻擊的迴避有增加的效果[n][n]
zts225e	牛皮緊身衣
zts226e	用小牛皮製做的緊身衣[n][n]
zts227e	軟皮緊身衣
zts228e	在皮革打上細毛孔的緊身衣[n]保溫效果好，且裝備感很優[n]HP與MP恢復量增加[n][n]
zts229e	硬皮緊身衣
zts230e	用牛皮製做的緊身衣[n][n]
zts231e	夜視緊身衣
zts232e	穿著後視野會變遼闊，可提高遠距離攻擊力[n][n]
zts233e	野豚緊身衣
zts234e	用野豬皮製做的緊身衣[n][n]
zts235e	柔軟的緊身衣
zts236e	在皮革上打上比軟皮緊身衣更細密的氣孔[n]對近距離攻擊的防禦非常強[n][n]
zts237e	羊毛緊身衣
zts238e	用柔軟的羊毛製成的緊身衣[n][n]
zts239e	精靈緊身衣
zts240e	附著精靈的保護之力，有著強力的防禦力[n][n]
zts241e	初級咒術師的法袍
zts242e	咒術師基本會得到的法袍[n][n]
zts243e	棉袍
zts244e	用棉布做成的法袍[n][n]
zts245e	魔力法袍
zts246e	附著魔力的棉袍，可增加生命恢復力[n][n]
zts247e	纖維法袍
zts248e	用纖維做成的薄布衣，有著封鎖遠距離攻擊的功能[n][n]
zts249e	聖靈法袍
zts250e	穿著可讓精神變的很清爽[n]MP恢復量會增加，還可封鎖近距離攻擊[n][n]
zts251e	羊毛法袍
zts252e	用粗羊毛做成的法袍[n]對近距離防禦有很好的效果，且可抵抗火屬性[n][n]
zts253e	強化纖維法袍
zts254e	將耐損性低的纖維法袍強化過的法袍[n]可吸收近距離的攻擊[n][n]
zts255e	木棉法袍
zts256e	輕巧、保溫性高且有很好的彈性[n][n]
zts257e	元素法袍
zts258e	可提高所有的屬性抵抗[n][n]
zts259e	銀絲法袍
zts260e	用絲綢做成的精品法袍[n][n]
zts261e	圖騰法袍
zts262e	法袍上繡著特殊的刺繡，感覺好像會使魔法效果大幅的增加[n][n]
zts263e	智者之衣
zts264e	有著高級花紋的法袍，看起來會很有智慧[n][n]
zts265e	暗黑法袍
zts266e	會對於攻擊者下詛咒的魔衣[n][n]
zts267e	臨終冒險家的斗篷
zts268e	傳說冒險家會在臨終時穿著它[n][n]
zts269e	Gm專用狼人面具
zts270e	勇者之劍
zts271e	劍鬥士所使用的短劍，致命打擊性高且會增加士氣[n][n]
zts272e	威崙劍
zts273e	可給予穩定性高的傷害[n][n]
zts274e	維京劍
zts275e	粗獷戰士們的劍，含有暗之力[n][n]
zts276e	士氣之劍
zts277e	握著此劍，會感覺士氣一擁而上[n][n]
zts278e	致命之劍
zts279e	致命打擊與傷害值大幅增加的劍[n][n]
zts280e	騎士之劍
zts281e	勇敢的騎士鎖配戴的劍，可增加光之力[n][n]
zts282e	殺手劍
zts283e	以強力一擊引以為傲的武器，擁有著兇猛的威力[n][n]
zts284e	細弓
zts285e	很薄但可釋放出致命傷害的弓[n][n]
zts286e	火之弓
zts287e	含有火之力的弓[n][n]
zts288e	合成弓
zts289e	堅固的弓，性能穩定且能施展致命性的攻擊[n][n]
zts290e	雙弓
zts291e	傷害值的落差大，但是含有光之力且堅固的弓[n][n]
zts292e	狂野之弓
zts293e	含有暗之力，無懼的士氣不斷的湧出[n][n]
zts294e	大弓
zts295e	可給予強力的傷害，但是不太容易施展致命傷害[n][n]
zts296e	獅子弓
zts297e	擁有強大的威力及致命的傷害[n][n]
zts298e	生命之杖
zts299e	讓使用者付予生命之力[n][n]
zts300e	火焰之杖
zts301e	含有極高的火之力，但裝備後水之力會下降[n][n]
zts302e	寒冰之杖
zts303e	將水之氣息凝聚而成的法杖[n][n]
zts304e	月之杖
zts305e	法杖之中含有魔力，使魔法力量大幅提升[n][n]
zts306e	極致法杖
zts307e	含有兩種力量的法杖，還可減少施展者的MP消耗量[n][n]
zts308e	神聖法杖
zts309e	被神聖的力量保護著[n][n]
zts310e	魂之杖
zts311e	附在法杖上的強力魂魄保護著施展者[n][n]
zts312e	戰鬥專用弩
zts313e	戰鬥專用武器，性能非常好[n][n]
zts314e	獅子十字弓
zts315e	含有火之力與很高的攻擊力[n][n]
zts316e	定點匕首
zts317e	致命機率非常高，是把非常危險的短劍[n][n]
zts318e	德古拉匕首
zts319e	含有暗之力[n][n]
zts320e	增幅組合槍
zts321e	擁有強勁攻擊力的槍[n][n]
zts322e	青銅組合槍
zts323e	含有水之力的組合槍[n][n]
zts324e	警衛盔甲
zts325e	警衛們裝備的盔甲，非常的堅固[n][n]
zts326e	硬皮盔甲
zts327e	整體防禦性能好，還有火抵抗的效果[n][n]
zts328e	凱旋之甲
zts329e	能夠吸收遠距離攻擊[n][n]
zts330e	守護之甲
zts331e	被光之元素守護著，可減少近距離的傷害[n][n]
zts332e	騎士盔甲
zts333e	騎士所裝備的盔甲，有極高的迴避及封鎖[n][n]
zts334e	石之甲
zts335e	擁有吸收及封鎖能力的特殊盔甲[n][n]
zts336e	閃光緊身衣
zts337e	遠距離與魔法防禦稍做了強化[n][n]
zts338e	自然之衣
zts339e	含有自然之力的緊身衣，HP與MP會增加[n][n]
zts340e	鯊皮之衣
zts341e	可封鎖近距離與魔法攻擊[n][n]
zts342e	亡者緊身衣
zts343e	含有亡者的氣息[n][n]
zts344e	馭風之衣
zts345e	可封鎖所有攻擊的緊身衣[n][n]
zts346e	德古拉緊身衣
zts347e	含有所有的屬性之力與抵抗力[n]還可減少MP消耗量[n][n]
zts348e	入門者法袍
zts349e	近距離與遠距離防禦力稍做強化的衣服[n][n]
zts350e	軟袍
zts351e	可封鎖遠距離的法袍[n][n]
zts352e	清澈之袍
zts353e	近距離防禦力強，還有火抵抗力[n][n]
zts354e	坦丁阿法袍
zts355e	擁有水與光的抵抗力[n][n]
zts356e	雅爾斯法袍
zts357e	可讓施展者減少MP消耗量[n][n]
zts358e	根源之袍
zts359e	針對所有的傷害有封鎖的機率[n][n]
zts360e	攻擊等級符咒
zts361e	防禦等級符咒
zts362e	攻擊防禦等級符咒
zts363e	攻擊力提升符咒
zts364e	防禦力提升符咒
zts365e	疾病減少符咒
zts366e	火抵抗的符咒
zts367e	光抵抗的符咒
zts368e	水抵抗的符咒
zts369e	暗抵抗的符咒
zts370e	所有抵抗的符咒
zts371e	致命機率符咒
zts372e	致命傷害符咒
zts373e	物理吸收符咒
zts374e	魔法吸收符咒
zts375e	遠距離吸收符咒
zts376e	所有打擊吸收符咒
zts377e	物理封鎖符咒
zts378e	魔法封鎖符咒
zts379e	遠距離封鎖符咒
zts380e	髮箍
zts381e	感覺好像可以稍微保護頭部的防具[n][n]
zts382e	軟綿綿帽
zts383e	軟綿綿的帽子[n][n]
zts384e	偽裝樹葉
zts385e	感覺沒什麼偽裝的效果[n][n]
zts386e	食人花耳塞
zts387e	能夠緊貼在耳朵上的飾品[n]裝備時以一定機率不受到食人花尖叫的傷害[n][n]
zts388e	河馬帽
zts389e	非常柔軟的河馬帽子[n]裝備後以極高的機率不會暈倒[n][n]
zts390e	水汪汪眼鏡
zts391e	狼人面具
zts392e	狼人樣子的面具[n]戴著它攻擊狼人礦工也不會被其他周圍的礦工攻擊[n][n]
zts393e	鹿茸帽
zts394e	HP會增加，[n]裝備時以一定機率不受到曼德拉古拉尖叫的傷害[n][n]
zts395e	超讚帽
zts396e	頭護具
zts397e	裝備時以很高的機率使出血無效[n][n]
zts398e	觸角
zts399e	亂童髮箍
zts400e	吐舌帽
zts401e	俊俏帽
zts402e	水牛角
zts403e	四角粗框眼鏡
zts404e	眨眼面具
zts405e	蝙蝠面具
zts406e	單眼眼鏡
zts407e	X面具
zts408e	鬍子與腮紅
zts409e	所有打擊封鎖符咒
zts410e	火之力提升符咒
zts411e	水之力提升符咒
zts412e	光之力提升符咒
zts413e	暗之力提升符咒
zts414e	所有屬性之力提升符咒
zts415e	大菲菲
zts417e	二菲菲
zts418e	小菲菲
zts419e	衝裝備保護符咒(武器)
zts420e	只要放在身上[n]衝武器時不會使武器消失[n](最多可使用3次)[n][n]
zts421e	衝裝備保護符咒(防具)
zts422e	只要放在身上[n]衝武器時不會使防具消失[n](最多可使用3次)[n][n]
zts423e	稀有等級提升符咒
zts424e	只要拿著去衝裝備[n]稀有等級直接+1！[n](沒有失敗)[n][n]
zts425e	等級固定武器強化符咒
zts426e	只要放在身上[n]就可強化等級被固定的[武器][n]但是強化機率不會變。[n]強化時可能還是會被固定等級，[n]如果強化成功，等級固定會[n]消失。[n]失敗時與一般強化一樣[n]物品可能會消失！[n](最多可使用兩次)[n][n]
zts427e	等級固定服裝強化符咒
zts428e	只要放在身上[n]就可強化等級被固定的[服裝][n]但是強化機率不會變。[n]強化時可能還是會被固定等級，[n]如果強化成功，等級固定會[n]消失。[n]失敗時與一般強化一樣[n]物品可能會消失！[n](最多可使用兩次)[n][n]
zts429e	夜精靈
zts430e	有著神聖祝福的劍[n][n]
zts431e	光榮之劍
zts432e	含有精靈之力，[n]有著所有屬性之力及抵抗力的劍[n][n]
zts433e	巴曼之手
zts434e	可減低對方的抵抗力[n]還可以寬刃抵擋致命傷害[n][n]
zts435e	紅手指
zts436e	擁有著能夠吸收對方生命力能力的弓。[n]拿著此弓的人，筋力也會變強，使近距離攻擊力也會變高[n][n]
zts437e	葛莉皮
zts438e	受到自然之力的影響，能夠發揮強大的力量[n][n]
zts439e	墮落之勾
zts440e	含有所有的屬性之力，[n]可幫助持有人減低魔法傷害[n]的弓[n][n]
zts441e	紅色睿智
zts442e	含有火之力的法杖，[n]有時還能奪走對方的精神力[n][n]
zts443e	精靈之魂
zts444e	附有變種精靈之魂的法杖，[n]除了可以提升持有人的屬性之力[n]還可減低敵人的抵抗力[n][n]
zts445e	魔爾亞諾
zts446e	賢者們為了保護自己而最常[n]持有的法杖。[n]武器中含有保護持有人的特殊能力。[n][n]
zts447e	藍智慧法袍
zts448e	審判之杖
zts449e	達伶
zts450e	擁有不會成長的光之力30。[n]心情好到最高點時，還會發動[達伶的祝福]。[n][n]
zts451e	火精靈
zts452e	可讓能力成長到70的火之精靈。[n]不可交易。[n][n]
zts453e	水精靈
zts454e	可讓能力成長到70的水之精靈。[n]不可交易。[n][n]
zts455e	光精靈
zts456e	可讓能力成長到70的光之精靈。[n]不可交易。[n][n]
zts457e	黑暗精靈
zts458e	可讓能力成長到70的暗之精靈。[n]不可交易。[n][n]
zts459e	高階火精靈
zts460e	高階水精靈
zts461e	高階光精靈
zts462e	高階黑暗精靈
zts463e	大福神的守護
zts465e	衝衝神的保護符咒
zts467e	等級固定強化符咒
zts468e	可以強化等級已經被固定的裝備。[n]武器、服裝共用[n](共可使用3次)[n][n]
zts469e	寵物保管彈珠
zts470e	可以把寵物放入彈珠中，[n]並保管在物品欄或倉庫裡面，還可進行交易。[n][使用方法][n]選擇要放入彈珠的寵物後雙擊彈珠。[n]同行中的寵物無法放入彈珠內，[n]想要將寵物放出來時，雙擊彈珠即可。[n][注意事項][n]寵物的所有記錄都會被儲存，[n]但是寵物名稱會消失。[n]寵物等級比角色等級高時，[n]雖然可將寵物放在迷你屋中，[n]但是無法使用在自組隊伍中。[n][n]
zts471e	同伴保管彈珠
zts472e	可以把同伴放入彈珠中，[n]並保管在物品欄或倉庫裡面，還可進行交易。[n][使用方法][n]選擇要放入彈珠的同伴後雙擊彈珠。[n]同行中的同伴無法放入彈珠內，[n]想要將同伴喚出來時，雙擊彈珠即可。[n][注意事項][n]保管時要先將同伴的裝備全部解除，[n]若已經有相同同伴，必須先將該同伴[n]放入彈珠後再喚出來使用。[n]同伴等級比角色等級高時，[n]雖然可將同伴放在迷你屋中，[n]但是無法使用在自組隊伍中。[n][n]
zts473e	特殊卡片盒
zts474e	可放入1張卡片，卡片放入包包後，[n]可與其它玩家交換或交易。[n][使用方法][n]將想要保管的卡片裝備起來。[n]雙擊包包即可自動將解除卡片，[n]並保管在包包中。[n]想要拿出來時，雙擊包包即可。[n][注意事項][n]無法保管自己無法裝備的特殊卡片。[n][n]
zts475e	Nos Mall 開業紀念符咒
zts476e	斯克萊姆
zts477e	克里斯
zts478e	風翼十字弓
zts479e	瓦輪帝十字弓
zts480e	普拉茲組合槍
zts481e	雷登組合槍
zts482e	哨兵監察
zts483e	微風之步
zts484e	勇猛的守護
zts485e	思伏連德的守護
zts486e	痛擊
zts487e	含有強大威力的劍[n][n]
zts488e	貫通之力
zts489e	對特殊種族能夠發揮強大的威力[n][n]
zts490e	卡伊茲法杖
zts491e	偉大的魔法師所持的法杖[n][n]
zts492e	狩獵寶箱
zts493e	裡面會有什麼東西呢？[n]只要點兩下就知道了！[n](開出裝備物品時，會得到與箱子的稀有等級[n]相同的等級)[n][n]
zts494e	好的馬里哈蓋坤項鍊
zts495e	古代的馬里哈蓋坤項鍊
zts496e	好的馬里哈蓋坤戒指
zts497e	古代的馬里哈蓋坤戒指
zts498e	好的馬里哈蓋坤手鐲
zts499e	古代的馬里哈蓋坤手鐲
zts500e	古代的水晶項鍊
zts501e	古代的水晶戒指
zts502e	古代的水晶手鐲
zts503e	古代的鑽石項鍊
zts504e	古代的鑽石戒指
zts505e	古代的鑽石手鐲
zts506e	火焰手套
zts507e	颶風手套
zts508e	光明手套
zts509e	死亡手套
zts510e	火炎鞋
zts511e	微浪鞋
zts512e	光彩鞋
zts513e	暗影鞋
zts514e	柏圖的赤紅戒指
zts515e	柏圖一生中最愛惜的兩個戒指中的其中一個。[n]以後會用在很重要的地方。[n][n]
zts516e	柏圖的翠綠戒指
zts517e	不溶手套
zts518e	對酸性的抵抗力很強的手套，[n]不太容易中[酸化]。[n][n]
zts519e	簡單樣式的金項鍊
zts520e	手工精細的金項鍊
zts521e	白金戒指
zts522e	流行手鐲
zts523e	瑪瑙項鍊
zts524e	瑪瑙戒指
zts525e	瑪瑙手鐲
zts526e	好的瑪瑙項鍊
zts527e	好的瑪瑙戒指
zts528e	好的瑪瑙手鐲
zts529e	高級瑪瑙手鐲
zts530e	貓眼石項鍊
zts531e	貓眼石戒指
zts532e	貓眼石手鐲
zts533e	好的貓眼石項鍊
zts534e	好的貓眼石戒指
zts535e	好的貓眼石手鐲
zts536e	高級貓眼石項鍊
zts537e	高級貓眼石手鐲
zts538e	水晶項鍊
zts539e	水晶戒指
zts540e	水晶手鐲
zts541e	好的水晶項鍊
zts542e	好的水晶戒指
zts543e	好的水晶手鐲
zts544e	高級水晶戒指
zts545e	高級水晶手鐲
zts546e	鑽石項鍊
zts547e	鑽石戒指
zts548e	鑽石手鐲
zts549e	好的鑽石項鍊
zts550e	好的鑽石戒指
zts551e	好的鑽石手鐲
zts552e	高級鑽石項鍊
zts553e	高級鑽石戒指
zts554e	高級鑽石手鐲
zts555e	輕便手套
zts556e	堅固卻很輕巧的手套，[n]可稍微提高迴避[n][n]
zts557e	絲質手套
zts558e	觸感很柔的高級手套，[n]可提高魔法攻擊力[n][n]
zts559e	魔法手套
zts560e	含有魔法之力的手套，可增加MP量[n][n]
zts561e	輕巧手套
zts562e	近距離防禦力比其他手套高[n][n]
zts563e	敏捷手套
zts564e	完全不會受到空氣抗阻的手套[n][n]
zts565e	鬥技手套
zts566e	近距離防禦力比其他手套高[n][n]
zts567e	鏈手套
zts568e	使用劍的人最愛用的手套[n][n]
zts569e	閃光手套
zts570e	輕巧靴
zts571e	包住腳踝的輕便靴子[n][n]
zts572e	敏捷靴
zts573e	移動速度會增加。[n]但是沒有其他防禦能力[n][n]
zts574e	鏈靴
zts575e	有著還不錯的防禦能力[n][n]
zts576e	魔皮靴
zts577e	用遠古魔物的皮製做的靴子。[n]有著吸收魔法攻擊的能力[n][n]
zts578e	小偷靴
zts579e	保護之靴
zts580e	風之靴
zts581e	重金屬靴
zts582e	火爐手套
zts583e	讓手不會感到燙的手套[n][n]
zts584e	發亮的手套
zts585e	被光之力保護的手套[n][n]
zts586e	風之手套
zts587e	裝備時會讓雙手感覺有涼爽的風。[n]有迴避能力[n][n]
zts588e	抵抗的手套
zts589e	暗黑手套
zts590e	有著暗之力的手套[n][n]
zts591e	黑色鞋子
zts592e	水漾靴
zts593e	有著追加的水抵抗力[n][n]
zts594e	極光靴
zts595e	有著光之力的靴子[n][n]
zts596e	炎焰靴
zts597e	有著火之力的靴子[n][n]
zts598e	深海靴
zts599e	有著暗之力的靴子，對光的抵抗力也會增加[n][n]
zts600e	火屬性精靈
zts601e	[精靈的屬性能力][n]長時間戴著精靈進行戰鬥時，[n]精靈的 [屬性能力][n]會越來越強。[n]屬性能力為追加的 攻擊力，[n]因此除了角色本身的攻擊力之外，[n]還會有追加的屬性能力[n]所影響的傷害。[n][精靈的心情][n]剛開始精靈的心情都不是很好，[n]所以屬性能力也只會發揮一部份。[n]但是只要時間久了，[n]心情也會變的越來越好，[n]此時精靈就能發揮100%的能力。[n][精靈的胃口][n]精靈會在心情變好的[n]30鐘開始進食，[n]如果這個時候角色的物品欄中[n]沒有任何食物時，[n]精靈會立刻發脾氣，[n]並且心情會變很差。[n]想要讓精靈維持住好心情的話，[n]記得要多準備點食物在身上。[n][n]
zts602e	水屬性精靈
zts603e	光屬性精靈
zts604e	暗屬性精靈
zts605e	睡衣卡片
zts606e	父親說過 - 要好好享受人生！！！[n]享受玩樂的人生 - 重新開始吧！！[n][n]
zts607e	戰士卡片
zts608e	火屬性特殊人物卡片[n][n]前進！！前進！！前進！！[n]揮舞著沉重的雙手劍，縱橫在戰場上的[n]威猛戰士！！！[n][n]
zts609e	劍刃卡片
zts610e	水屬性特殊人物卡片[n][n]任何東西都能用銳利的劍氣砍成兩半！！[n]有著充滿殺氣的雙眼的冷酷劍客！！[n][n]
zts611e	巡守卡片
zts612e	水屬性特殊人物卡片[n][n]如同雷雨暴風般落下的箭矢！[n]擁有敏銳身手的世界第一獵人！！！[n][n]
zts613e	刺客卡片
zts614e	暗屬性特殊人物卡片[n][n]將身影隱藏在黑夜中，藏在暗影的是毛骨悚然的殺氣！！！[n]只要被盯上就絕不會讓獵物逃走的野獸！！[n][n]
zts615e	赤煉魔法師卡片
zts616e	火屬性特殊人物卡片[n][n]破壞與消滅的信奉者！！[n]為了燃燒的火燄，連靈魂也出賣的火花之化身！！[n][n]
