zts1e	休息(C)
zts148e	減少一定的HP使冒險隊的攻擊短時間提升。
zts149e	先聲奪人
zts150e	令一定範圍的敵人士氣低落。
zts151e	比自己等級高3級的敵人失效。
zts152e	衝突攻擊
zts153e	向攻擊目標快速的衝突後進行攻擊。
zts154e	止血
zts155e	可止住等級3以下的出血。
zts156e	必須有止血繃帶。
zts157e	新技能
zts158e	穿弓
zts159e	弓手的基本攻擊技巧。
zts160e	短刺攻擊
zts161e	使用短刺的基本技巧。
zts162e	集束射擊
zts163e	用非常高的命中率攻擊，造成額外的遠距離損傷。
zts164e	強勢射擊
zts165e	在遠距離發動強力的攻擊。
zts166e	貫穿射擊
zts167e	可貫穿敵人的強力射擊，可一次令平排的敵人受創。
zts168e	主攻腿部
zts169e	專攻敵人的腿部，使對方的移動速度降低。
zts170e	飛翔射
zts171e	在跳躍中對敵人進行追擊，即使對眼前的敵人發射，也不會有效果降低的懲罰。
zts172e	高速射
zts173e	快速連續的射擊3次。
zts174e	矢箭雨
zts175e	令敵人周圍的1格範圍內受到高處降下的箭雨攻擊。
zts176e	短刺刺擊
zts177e	讓輔助短刺攻擊再增加打擊。
zts178e	短刺塗毒
zts179e	在輔助短劍上塗上筋力弱化的毒，使目標的近距離攻擊力降低。
zts180e	塗毒之前必須擁有毒物。
zts181e	綑綁刺擊
zts182e	利用疾速的刺擊，令敵人無全無法作出閃避。
zts183e	吸納
zts184e	吸納遠距離的氣息，準備下次的攻擊。
zts185e	增速術
zts186e	短時間內使移動速度變快。
zts187e	鷹目
zts188e	讓冒險隊的命中率及攻擊力提升。
zts189e	解毒術
zts190e	有解毒藥品才能發動的技能，可解除同伴的毒。
zts191e	箭峰塗毒
zts192e	在箭峰上塗毒使用。
zts193e	鬥氣球
zts194e	咒術師基本的攻擊魔法。
zts195e	組合槍射擊
zts196e	使用組合槍進行的基本遠距離攻擊。
zts197e	烈焰球
zts198e	用魔法召喚火球攻擊對方。
zts199e	玄冰球
zts200e	用魔法召喚冰球攻擊對方。
zts201e	魔力導彈
zts202e	發射多枚魔法導彈來攻擊周圍。
zts203e	方晶岩塊
zts204e	在敵人頭上召來巨大的岩塊，使敵人造成損傷。
zts205e	烈焰柱
zts206e	產生燃燒的柱子使目標敵人與周圍的敵人受到損傷。
zts207e	水瀧捲
zts208e	在自己周圍召喚水瀧捲，使周圍的敵人受到損傷。
zts209e	威脅魔彈
zts210e	產生更強的魔法子彈，使組合槍的破壞力更強。
zts211e	爆擊魔彈
zts212e	產生具有爆擊威力的魔法子彈，並使用組合槍發射，使目標及周圍敵人都受到損傷。
zts213e	儲氣
zts214e	儲存魔法之氣，準備下次攻擊。
zts215e	玄氣盾
zts216e	玄氣盾能使遠距離的損傷減低。
zts217e	回復氣流
zts218e	讓隊員的HP短暫的回復。
zts219e	光之護罩
zts220e	讓隊員受到的所有損傷減低。
zts221e	入睡
zts222e	讓對方陷入睡眠；但受到攻擊時會甦醒。
zts223e	吸收
zts224e	奪走對方的MP。
zts225e	煙幕
zts226e	令敵人視野降低，使對方無法進行遠距離攻擊。
zts227e	瞬間移動
zts228e	瞬間往自己前方移動。
zts229e	追加暈厥
zts230e	讓強力一擊追加火之力與暈厥的效果。
zts231e	揮打強化
zts232e	提升揮打的攻擊力與命中率。
zts233e	發射彈弓強化
zts234e	提升發射彈弓的攻擊力與命中率。
zts235e	攻擊力提升
zts236e	讓瞄準射擊的遠距離攻擊力提升。
zts237e	揮擊的攻擊力提升。
zts238e	追加出血
zts239e	亂打時追加火之力，並讓對方引起微弱的出血。
zts240e	追加魔法攻擊
zts241e	讓鬥氣球的魔法攻擊力增加，並追加水之力。
zts242e	基本斬術強化
zts243e	提升基本斬術的近距離攻擊力。
zts244e	基本斬術 2次強化
zts245e	高等植物 斬術 特化
zts246e	攻擊高等植物時，可提高近距離攻擊力。
zts247e	穿弩強化
zts248e	提升穿弩的遠距離攻擊力。
zts249e	魔物 射擊 特化
zts250e	強力的損傷
zts251e	加上火之力以一定的機率給予雙倍損傷。
zts252e	若發動了致命打擊，會引起龐大的損傷。
zts253e	穿弩會轉換成火屬性。
zts254e	爆怒的一擊強化
zts255e	提升爆怒的一擊的近距離 攻擊力與命中率。
zts256e	爆怒的一擊 2次強化
zts257e	提升爆怒的一擊的近距離 攻擊力。
zts258e	致命點凝視
zts259e	提升弱點攻擊致命打擊 機率。
zts260e	狼人族的弱點
zts261e	追加水之力，攻擊狼人族時可造成致命損傷。
zts262e	弱點攻擊轉換成水屬性。
zts263e	劍氣強化
zts264e	強化劍氣使近距離 攻擊力提升。
zts265e	射程距離增加
zts266e	增加劍氣的射程距離
zts267e	命中打擊
zts268e	正確的瞄準，使對方昏厥。
zts269e	地脈衝強化
zts270e	提升地脈衝的攻擊力。
zts271e	地脈衝 熟練
zts272e	狂擊強化
zts273e	讓狂擊追加水之力，並讓對方昏厥。
zts274e	狂擊變換成水屬性。
zts275e	弱化對方 攻擊等級
zts276e	雙擊時可暫時讓對方的攻擊等級降低。
zts277e	雙擊強化
zts278e	提升雙擊的攻擊力。
zts279e	衝鋒射擊強化
zts280e	提升衝鋒射擊的攻擊力。
zts281e	絕對直擊
zts282e	使用衝鋒射擊時無條件的命中。
zts283e	追加力氣
zts284e	增加儲存在強力集氣中的攻擊力。
zts285e	血界契約強化
zts286e	使用血界契約追加攻擊力。
zts287e	衝突距離 增加
zts288e	增加衝突的距離。
zts289e	牽引
zts290e	使用挑撥射擊時，可將對方拉過來。
zts291e	弓射擊強化
zts292e	提升弓射擊的遠距離攻擊力。
zts293e	弓射擊 2次強化
zts294e	高等植物 射擊 特化
zts295e	攻擊高等植物時，提升攻擊力。
zts296e	短刺攻擊強化
zts297e	提升短刺攻擊的攻擊力。
zts298e	要害攻擊
zts299e	提升短刺攻擊的致命機率。
zts300e	集束射擊強化
zts301e	讓集中射擊追加水之力並提升攻擊力。
zts302e	集束射擊的屬性變換成水屬性。
zts303e	集束射擊的致命打擊率提升。
zts304e	機率性發動兩倍攻擊。
zts305e	貫穿損傷增加
zts306e	貫穿射擊發動了致命打擊時，致命損傷量會再增加。
zts307e	同時攻擊
zts308e	飛射時，同時攻擊對方周圍1格內的敵人。
zts309e	狼人族射擊
zts310e	增加對狼人族的攻擊力。
zts311e	速射強化
zts312e	增加增速射的攻擊力。
zts313e	矢箭雨強化
zts314e	增加矢箭雨的攻擊力。
zts315e	範圍 增加
zts316e	增加矢箭雨的範圍。
zts317e	使用短刺刺擊時，使對方出血。
zts318e	短刺刺擊強化
zts319e	強化短刺刺擊的攻擊力。
zts320e	機率 增加
zts321e	使用綑綁刺擊時，使無法移動的機率提升。
zts322e	使吸納的攻擊力氣增加。
zts323e	移動速度 增加
zts324e	增速術的移動速度加快。
zts325e	鷹目強化
zts326e	使用鷹目時追加攻擊力。
zts327e	藥草技術強化
zts328e	提升可解的毒等級。
zts329e	增加暈厥毒
zts330e	輔助短刺追加塗抹暈厥毒。
zts331e	增加猛毒
zts332e	輔助短刺追加塗抹猛毒。
zts333e	推擠
zts334e	把對方推到後方。
zts335e	鬥氣球強化
zts336e	提升鬥氣球攻擊力。
zts337e	使用鬥氣球時，攻擊範圍增加。
zts338e	組合槍強化
zts339e	提升組合槍的攻擊力。
zts340e	高等植物 特化
zts341e	追加爆擊
zts342e	使用烈焰球時，會引起火焰爆擊。
zts343e	烈焰球強化
zts344e	提升烈焰球的攻擊力。
zts345e	追加冰封
zts346e	使用玄冰球時，使對方冰封。
zts347e	玄冰球強化
zts348e	玄冰球的攻擊力。
zts349e	魔力導彈強化
zts350e	提升魔力導彈的攻擊力。
zts351e	範圍增加
zts352e	增加魔力導彈的攻擊範圍。
zts353e	烈焰柱強化
zts354e	提升烈焰柱的攻擊力。
zts355e	水瀧捲強化
zts356e	提升水瀧捲的攻擊力。
zts357e	重生力 增加
zts358e	重生的HP增加。
zts359e	竊取量 增加
zts360e	提升可偷取的MP量。
zts361e	彈跳
zts362e	隕石
zts363e	周圍攻擊
zts364e	周圍攻擊2
zts365e	吐超能膠
zts366e	四周昏迷
zts367e	吐超級超能膠
zts368e	礦務召喚
zts369e	礦務召喚2
zts370e	礦務召喚3
zts371e	強力打擊周圍(巴特)
zts372e	丟上空中
zts373e	撕裂
zts374e	玄冰暴風
zts375e	卡-艾彌爾 揮斬
zts376e	阿可可比納 衝突
zts377e	滬爾巴特 周圍攻擊
zts378e	岩烏龜 周圍攻擊
zts379e	黑暗威廉詛咒
zts380e	赤血威廉 司令攻擊
zts381e	貴婦 司令攻擊
zts382e	貴婦 亡者之觸
zts383e	比納 突進
zts384e	鬃毛豺狼 突進
zts385e	低等怪物突進
zts386e	污染偵測儀
zts387e	王毒蜘蛛牽引
zts388e	王毒蜘蛛周圍攻擊
zts389e	感冒菌 周圍攻擊
zts390e	感冒菌 噴嚏
zts391e	比斯艾溫 火球
zts392e	夏娃 技能
zts393e	派西斯 技能1
zts394e	派西斯 技能2
zts395e	NPC會心一擊
zts396e	召喚叮叮史拉茵
zts397e	山蔘的回復
zts398e	山蔘的周圍攻擊
zts399e	卡巴拉魯 落雷
zts400e	卡巴拉魯 煙霧
zts401e	史域多 咆哮
zts402e	史域多 投石
zts403e	卡巴拉魯 基本魔法
zts404e	歐比克蜘蛛 基本攻擊
zts405e	歐比克蜘蛛 蜘蛛絲
zts406e	史域多 基本攻擊
zts407e	卡巴拉魯傳送
zts408e	破滅食人花衝突
zts409e	鐵鎚攻擊
zts410e	投石攻擊
zts411e	毒蜘蛛攻擊
zts412e	堅硬隕石攻擊
zts413e	史瑞克弓箭手 速射
zts414e	史瑞克弓箭手 強烈的射擊
zts415e	史瑞克錘 攻擊
zts416e	尤辛特王 火炎風暴
zts417e	追索守護者瓦斯
zts418e	任務觀看
zts419e	枕頭戰
zts420e	懶得發病
zts421e	熟睡
zts422e	發呆中
zts423e	躺著遊戲
zts424e	睡前運動
zts425e	喝杯熱茶
zts426e	打鼓
zts427e	靠著入睡
zts428e	原諒我吧
zts429e	閱讀
zts430e	雙手劍 攻擊
zts431e	戰士的基本攻擊。
zts432e	三連擊
zts433e	對敵人施展強力的3連攻擊。
zts434e	鋼鐵軀體
zts435e	讓皮膚瞬間變成如鋼鐵般間硬，來增加防禦力。
zts436e	螺旋斬擊
zts437e	利用旋轉離心力揮舞大刀來攻擊敵人。
zts438e	集體挑撥
zts439e	讓周圍的敵人轉向攻擊自己。
zts440e	終極貫穿
zts441e	單手拿劍用力刺擊敵人並貫穿，攻擊一整排的敵人。
zts442e	鬼泣神嚎
zts443e	發出具威脅性的尖叫，使敵人感到懼怕。
zts444e	敵人的等級比自己越高，就越沒有效果。
zts445e	猛力撞擊
zts446e	用肩膀的盔甲猛力衝擊敵人。
zts447e	振臂高呼
zts448e	高喊使自己與周圍的士氣提升。
zts449e	地動斷岩
zts450e	將大刀的力量轟動大地令敵人受到重創。
zts451e	飛龍天昇
zts452e	利用迴轉力形成威力強大的龍形氣勁。
zts453e	擁有著很強的破壞力。
zts454e	基本斬術
zts455e	劍刃的基本 攻擊。
zts456e	十字斬
zts457e	以十字方式揮斬對方。
zts458e	鬥氣之刃
zts459e	用可以劈開地板的劍氣攻擊位在遠處的敵人。
zts460e	三連舜斬
zts461e	快速的進行三次攻擊，使敵人無從迴避。
zts462e	融和防禦
zts463e	瞬間阻擋敵人的攻擊，並將破壞力轉換成自己的士氣。
zts464e	劍風龍捲
zts465e	揮動劍峰形成破壞力驚人的龍捲。
zts466e	電光石化
zts467e	以光速移動到一定的距離後，施展拔刀術。
zts468e	重生呼吸法
zts469e	進行短暫的冥想來回復體力與精神力。
zts470e	一閃
zts471e	以瞬雷之勢作出無堅不摧的一擊。
zts472e	銳峰利刃
zts473e	令自己所運用的劍變得更峰利。
zts474e	裂空劍
zts475e	將劍射出使周圍的敵人受到損傷。
zts476e	猛虎之目
zts477e	令自己或他人的命中率維持在一定水平。
zts478e	致命射擊
zts479e	精準的瞄準後給予致命的損傷。
zts480e	風瞬步
zts481e	使自己或他人的移動速度加快。
zts482e	太陽彈
zts483e	發射太陽彈使敵人的眼睛瞎掉。
zts484e	連射
zts485e	連續射擊眾多敵人。
zts486e	爆碎箭
zts487e	對遠程的敵人施展強大的攻擊。
zts488e	螺旋風箭
zts489e	使發射的箭矢旋轉來增強威力，並讓箭矢通過之處的敵人受到損傷。
zts490e	狂亂之箭
zts491e	在四面八方胡亂掃射。
zts492e	促進
zts493e	令技能的冷卻時間縮短。
zts494e	天雨召來
zts495e	在指定範圍降下如暴雨般的矢箭陣。
zts496e	短刺攻擊
zts497e	刺客的基本攻擊。
zts498e	沉思
zts499e	將精神完全集中，來提高爆擊率。
zts500e	遊刃斬擊
zts501e	以快速且破壞力強的薄刃加害對手。
zts502e	濃霧
zts503e	喚出濃厚的霧使一定範圍內怪物的命中率降低。
zts504e	投擲飛鐮
zts505e	將鐮刀投擲到對方，並將對方拉到自己面前。
zts506e	可用跳躍迴避攻擊。
zts507e	成功迴避時，會儲存一些力量。
zts508e	暗器投擲
zts509e	暗器連射令敵人難以迴避。
zts510e	屏息隱匿
zts511e	完美地隱藏自己的氣息，攻擊時會自動解除。
zts512e	雙刃龍牙
zts513e	雙手握著短劍急速的旋轉，能攻擊周圍的敵人。
zts514e	絕命打擊
zts515e	毫不留情給予敵人致命的一擊。
zts516e	屏息隱匿的狀態下使用時，效果更佳。
zts517e	轟裂彈
zts518e	彈躍時在腳下引起巨大爆炸。
zts519e	與彈跳技能相同的功能。
zts520e	赤煉魔法師的基本攻擊。
zts521e	轟裂之火
zts522e	讓指定的對象產生小型的爆炸。
zts523e	火焰吹息
zts524e	發出強力的火焰吹息來燃燒對方。
zts525e	魔力交替
zts526e	將自己的HP一部分轉換成魔力。
zts527e	爆焰風暴
zts528e	召喚巨大的火屬性風暴，燃燒周圍的敵人。
zts529e	火槍召喚
zts530e	將火焰形成槍從天而降攻擊敵人。
zts531e	火神祝福
zts532e	提升自己與周圍友軍的火之力與火抗性力。
zts533e	烈焰壁
zts534e	召喚出一列火焰壁來攻擊敵人。
zts535e	焚燒流星雨
zts536e	召喚出大範圍的殞石，攻擊複數的敵人。
zts537e	冥火召來
zts538e	從地獄深處召喚而來的超高溫火焰。
zts539e	行星爆發
zts540e	就像行星摧毀的一刻所有生物將無一幸免。
zts541e	神聖制裁
zts542e	帶著神聖力量的光球惡意的生物均會受到傷害。
zts543e	不會消耗MP的特殊魔法。
zts544e	治療
zts545e	可回復所選對象的血。
zts546e	神聖曙光
zts547e	從天降的裁決定光令敵人造成損傷。
zts548e	加護之盾
zts549e	在自己前方形成一度多盾
zts550e	天使曲譜
zts551e	神聖的樂章令敵人戰意消磨。
zts552e	淨化
zts553e	將周圍同伴所中的惡意效果解除。
zts554e	往生聖典
zts555e	讓周圍的暗黑和不死系造成極大損傷。
zts556e	集體治療
zts557e	讓周圍夥伴的生命力快速的回復。
zts558e	神聖武器
zts559e	將光屬性力加持在武器上。
zts560e	禱告
zts562e	處罰之鎚
zts563e	神聖的巨鎚從天空擊下。
zts564e	愛你(ALT+Q)
zts565e	好久不見(ALT+W)
zts566e	嘻哈(ALT+E)
zts567e	哈哈(ALT+R)
zts568e	害羞(ALT+T)
zts569e	呵呵(ALT+Y)
zts570e	嘩(ALT+U)
zts571e	啊(ALT+I)
zts572e	氣死人(ALT+O)
zts573e	耶~(ALT+P)
zts574e	幹什麼(ALT+A)
zts575e	開玩笑?(ALT+S)
zts576e	極力推薦!(ALT+D)
zts577e	抓癢(ALT+F)
zts578e	咆吼(ALT+G)
zts579e	不會忘記(ALT+H)
zts580e	撈獲!(ALT+J)
zts581e	反彈(ALT+K)
zts582e	淚流滿面(ALT+L)
zts583e	啊嘩!(ALT+Z)
zts584e	嗚唔(ALT+X)
zts585e	精神完全崩潰(ALT+C)
zts586e	俊男(ALT+V)
zts587e	美女(ALT+B)
zts588e	嗯嗯(ALT+N)
zts589e	噓(ALT+M)
zts590e	脫力(ALT+,)
zts591e	傑克琛 迴旋踢
zts592e	提升
zts594e	可讓身體的體質提升30
zts595e	可讓敏捷提升30
zts596e	[高級] 智力開發 修行
zts597e	可讓精神體質提升35
zts598e	[最高]智力開發 修行
zts599e	HP最大值增加400
zts600e	MP最大值增加400
zts601e	[高級] 頻率度 攻擊編
zts602e	所有的攻擊力提升 20
zts603e	[最高] 頻率度 攻擊編
zts604e	[高級] 本體防禦術
zts605e	所有的防禦力提升20
zts606e	[最高] 本體防禦術
zts607e	HP回復量提升 100
zts608e	MP回復量提升 120
zts609e	自我康復
zts610e	更上一層樓的華麗特效
zts611e	更強力的技能
zts612e	閃耀之刃
zts613e	水瀧捲強化2
zts614e	威脅魔彈強化
zts616e	狂風擊
zts617e	屬性抗性強化
zts618e	襲奪
zts619e	暈厥射擊
zts620e	爆擊射擊
zts621e	火花之箭
zts622e	閃耀之箭
zts623e	弱點刺擊
zts624e	冰之錐
zts625e	光之審判　
zts626e	岩漿地區
zts627e	魔力光束
zts628e	敗者之息
zts629e	超級吱雞跳躍
zts630e	超級吱雞哭泣
zts631e	使周圍同伴的防禦等級一定時間提升1
zts632e	不會被致命打擊擊中
zts633e	腳踢
zts634e	哭泣
zts635e	彈跳
zts636e	爆擊魔彈強化
zts637e	超級吱雞中級彈跳
zts638e	超級吱雞快速彈跳
zts639e	竹筒陷阱
zts640e	茶茶丸機關
zts641e	疾風手裡劍
zts642e	飛翔手裡劍
zts643e	高熱火燄
zts644e	投擲炸彈
zts645e	木樁替身
zts646e	去息忍法
zts647e	召喚!大蛤蟆文太
zts648e	忍法!多重影分身
zts649e	虛空忍法
zts650e	爆擊魔彈強化2
zts651e	忍者手裡劍攻擊
zts652e	鯰魚主宮跺腳
zts653e	召喚鯰魚主宮
zts654e	輪齒攻擊
zts655e	紅葉攻擊
zts656e	光線波
zts657e	召喚精靈
zts658e	魔法之手
zts659e	毒煙霧
zts660e	翻跟斗
zts661e	狼人族 靈魂弓手 攻擊
zts662e	茶茶丸的基本攻擊，手裡劍攻擊
zts663e	跳躍之後向對方投出很多手裡劍
zts664e	使用火燄攻擊對直線的敵人造成損傷
zts665e	向對方投出威力強大的炸彈
zts666e	留下木樁，並瞬間向前移動一定距離
zts667e	隱藏自己，被攻擊的話會解除隱匿狀態
zts668e	召喚大蛤蟆文太，騎著文太後可作出更強勁的攻勢
zts669e	召喚小小茶茶丸的分身攻擊怪物，一段時間後會消失
zts670e	只有對鯰魚主宮有攻擊效果的忍術
zts671e	一定時間匯集力量之後跺腳給予很大的損傷
zts672e	衝突
zts673e	奇襲
zts674e	月之聖女
zts675e	NotUse
zts676e	NotUse
zts677e	NotUse
zts678e	NotUse
zts679e	NotUse
zts680e	NotUse
zts681e	NotUse
zts682e	NotUse
zts683e	NotUse
zts684e	NotUse
zts685e	NotUse
zts686e	NotUse
zts687e	NotUse
zts688e	NotUse
zts689e	NotUse
zts690e	NotUse
zts691e	NotUse
zts692e	NotUse
zts693e	NotUse
zts694e	NotUse
zts695e	石弓射擊
zts696e	聖雷光箭
zts697e	雷光三重奏
zts698e	圍攻模式
zts699e	防禦模式
zts700e	回復禱文
zts701e	神聖十字架
zts702e	聖光護盾
zts703e	防禦禱文
zts704e	力量禱文
zts705e	聖雷十字
zts706e	斧頭揮舞
zts707e	斧烈
zts708e	狂烈
zts709e	音速疾走
zts710e	暴烈打擊
zts711e	瘋狂攻擊
zts712e	勁力揮舞
zts713e	龍捲滅殺
zts714e	黑魔戰士
zts715e	生與死
zts716e	防具破壞
zts717e	機關槍攻擊
zts718e	破滅射擊
zts719e	激運擴散彈
zts720e	醒覺突破
zts721e	擊破彈
zts722e	氣油炮彈
zts723e	爆裂槍擊
zts724e	回復息彈
zts725e	雷彈砲
zts726e	火焰地雷
zts727e	地獄空降
zts728e	脈沖射擊
zts729e	疾走之蛇
zts730e	野獸咆哮
zts731e	老鷹之魂
zts732e	自然之光
zts733e	滑翔之風
zts734e	野狼之魂
zts735e	自然力下降
zts736e	自然之藤
zts737e	野熊之魂
zts738e	森之制裁
zts739e	冰球
zts740e	冰結破風
zts741e	冰結沖擊波
zts742e	玄冰長矛
zts743e	堅冰龍鎖
zts744e	玄冰護盾
zts745e	冰河時期
zts746e	水神祝福
zts747e	流星冰雹
zts748e	零度颶風
zts749e	冰晶大風雪
zts750e	危機的泡沫攻擊.
zts751e	樹根攻擊.
zts752e	聖光祝福
zts753e	神聖力量
zts754e	聖光照癒
zts755e	聖雷十字
zts756e	醒覺突破
zts757e	冰石
zts758e	旋轉咒術
zts759e	組合射擊
zts760e	魔法閃擊
zts761e	鬼魂衛兵
zts762e	詛咒閃擊
zts763e	黑暗力量
zts764e	瘋狂
zts765e	鬼魂力量
zts766e	惡魔藥水
zts767e	安魂曲
zts768e	鬼魂入侵
zts769e	樹根攻擊
zts770e	青苔電氣攻擊.
zts771e	青苔召喚
zts772e	天使依娜的雙槍模式.
zts773e	終極田鼠攻擊
zts774e	怪蛇石化攻擊
zts775e	昆蟲粉末攻擊
zts776e	殘影技能攻擊
zts777e	灰色大地攻擊
zts778e	灰色大地會心攻擊
zts779e	危機的基本攻擊
zts780e	地狗式攻擊
zts781e	聖雷十字
zts782e	炸彈沖擊
zts783e	炸彈沖擊2
zts784e	推樹根攻擊
zts785e	擊破彈引爆
zts786e	奇納斯的基本攻擊
zts787e	奇納斯的冰河時期
zts788e	迪斯的基本攻擊
zts789e	迪斯的氣油炮彈
zts790e	桑娜的基本攻擊
zts791e	桑娜的神聖十字架
zts792e	大擺斬
zts793e	狂烈
zts794e	防具破壞
zts795e	十字軍鬥士的基本攻擊
zts796e	使用聖光能量刺穿敵人
zts797e	射出聖光之箭刺穿敵人
zts798e	用聖光力量使周邊怪物能力下降
zts799e	用聖光加護使得同伴變的更強
zts800e	用聖光包圍保護著同伴
zts801e	使用聖光來治癒玩家
zts802e	射出聖光力量並製造出大十字架
zts804e	自己與同伴的體力上升
zts805e	自己與同伴的攻擊力上升
zts806e	招喚出充滿聖雷的巨大十字架掃蕩全部的敵人
zts807e	破壞者的基本攻擊
zts808e	連續射擊將敵人殲滅
zts809e	利用激運的力量來狙擊敵人
zts810e	瞬間使速度大幅地上升
zts811e	利用手控的炸彈，殺死範圍的敵人
zts812e	引爆氣油彈,使周邊的敵人中毒
zts813e	讓武器射擊能達到最大極限的傷害
zts814e	使你的狀態一直處於顛峰
zts815e	利用周圍的炮火攻擊敵人
zts816e	利用火焰地雷追蹤並毀滅敵人
zts817e	丟出威力最強大的炸彈
zts818e	青魔法師的基本攻擊
zts819e	使用強力的冰塊碎片殲滅敵人
zts820e	使用寒冷的冰結魔法殲滅敵人
zts821e	巨大的冰結長矛將會從天降落至敵人所在之處
zts822e	以冰結魔法製造出龍型鎖結，並張口沖向敵人
zts823e	使用冰結魔法製造護盾，抵擋敵人的攻擊
zts824e	召喚出強大的冰鑽
zts825e	水神祝福
zts826e	接受水神的祝福
zts827e	以冰製造出巨大隕石，壓碎所有敵人
zts828e	利用範圍廣大的寒冰將敵人冰封
zts829e	使用強大的暴風雪，將敵人殲滅
zts830e	煉獄公爵技能
zts831e	受到此影響可恢復體力
zts832e	神秘阿以羅
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	神秘之夜
