zts1e	特殊攻擊
zts120e	魔法防禦力提升 %s
zts121e	魔法防禦力減少 %s
zts122e	防禦等級提升 %s
zts123e	防禦等級減少 %s
zts124e	轉換迴避&防禦力%
zts125e	轉換所有迴避
zts126e	轉換近距離迴避
zts127e	轉換遠距離迴避
zts128e	轉換防禦力%
zts129e	所有攻擊的迴避增加 %s
zts130e	所有攻擊的迴避減少 %s
zts131e	近距離攻擊的迴避增加 %s
zts132e	近距離攻擊的迴避減少 %s
zts133e	遠距離攻擊的迴避增加 %s
zts134e	遠距離攻擊的迴避減少 %s
zts135e	防禦力增加 %s%%
zts136e	防禦力減少 %s%%
zts137e	轉換區塊
zts138e	轉換所有區塊
zts139e	轉換近距離區塊
zts140e	轉換遠距離區塊
zts141e	轉換魔法區塊
zts142e	所有攻擊以%s%%的機率增加%s%%損傷
zts143e	所有攻擊以%s%%的機率減少%s%%損傷
zts144e	近距離攻擊以%s%%的機率增加%s%%損傷
zts145e	近距離攻擊以%s%%的機率減少%s%%損傷
zts146e	遠距離攻擊以%s%%的機率增加%s%%損傷
zts147e	遠距離攻擊以%s%%的機率減少%s%%損傷
zts148e	魔法攻擊以%s%%的機率增加%s%%損傷
zts149e	魔法攻擊以%s%%的機率減少%s%%損傷
zts150e	轉換吸收
zts151e	轉換所有吸收
zts152e	轉換近距離吸收
zts153e	轉換遠距離吸收
zts154e	轉換魔法吸收
zts155e	等級 (+%s)以下的所有攻擊，增加%s%%的損傷
zts156e	等級 (+%s)以下的所有攻擊，減少%s%%的損傷
zts157e	等級 (+%s)以下的近距離攻擊，增加%s%%的損傷
zts158e	等級 (+%s)以下的近距離攻擊，減少%s%%的損傷
zts159e	等級 (+%s)以下的遠距離攻擊，增加%s%%的損傷
zts160e	等級 (+%s)以下的遠距離攻擊，減少%s%%的損傷
zts161e	等級 (+%s)以下的魔法攻擊，增加%s%%的損傷
zts162e	等級 (+%s)以下的魔法攻擊，減少%s%%的損傷
zts163e	轉換屬性抵抗
zts164e	轉換所有屬性抵抗
zts165e	轉換火抵抗
zts166e	轉換水抵抗
zts167e	轉換光抵抗
zts168e	轉換暗抵抗
zts169e	所有屬性之力的抵抗增加 %s
zts170e	所有屬性之力的抵抗減少 %s
zts171e	火之力的抵抗增加 %s
zts172e	火之力的抵抗減少 %s
zts173e	水之力的抵抗增加 %s
zts174e	水之力的抵抗減少 %s
zts175e	光之力的抵抗增加 %s
zts176e	光之力的抵抗減少 %s
zts177e	暗之力的抵抗增加 %s
zts178e	暗之力的抵抗減少 %s
zts179e	轉換對方的抵抗
zts180e	轉換對方所有的抵抗
zts181e	轉換對方的火抵抗
zts182e	轉換對方的水抵抗
zts183e	轉換對方的光抵抗
zts184e	轉換對方的暗抵抗
zts185e	攻擊時，對方的所有抵抗增加%s
zts186e	攻擊時，對方的所有抵抗減少%s
zts187e	攻擊時，對方的火抵抗增加%s
zts188e	攻擊時，對方的火抵抗減少%s
zts189e	攻擊時，對方的水抵抗增加%s
zts190e	攻擊時，對方的水抵抗減少%s
zts191e	攻擊時，對方的光抵抗增加%s
zts192e	攻擊時，對方的光抵抗減少%s
zts193e	攻擊時，對方的暗抵抗增加%s
zts194e	攻擊時，對方的暗抵抗減少%s
zts195e	轉換損傷
zts196e	轉換所有損傷
zts197e	轉換近距離損傷
zts198e	轉換遠距離損傷
zts199e	轉換魔法損傷
zts200e	所有攻擊的損傷增加 %s%%
zts201e	所有攻擊的損傷減少 %s%%
zts202e	近距離攻擊的損傷增加 %s%%
zts203e	近距離攻擊的損傷減少 %s%%
zts204e	遠距離攻擊的損傷增加 %s%%
zts205e	遠距離攻擊的損傷減少 %s%%
zts206e	魔法攻擊的損傷增加 %s%%
zts207e	魔法攻擊的損傷減少 %s%%
zts208e	無條件命中迴避及遠距離
zts209e	轉換無條件命中機率
zts210e	轉換無條件迴避機率
zts211e	沒有遠距離懲罰
zts212e	距離越遠損傷越大
zts213e	一直以%s%%的機率命中
zts214e	一直以%s%%的機率迴避
zts215e	遠距離攻擊時，使用近距離攻擊沒有懲罰
zts216e	遠距離攻擊時，與敵人的距離越遠，其攻擊力會越強。(距離3格以上)
zts217e	轉換士氣
zts218e	轉換士氣值
zts219e	士氣值使用兩倍
zts220e	對士氣值不受影響
zts221e	轉換回復時間
zts222e	無視士氣值
zts223e	士氣值增加 %s
zts224e	士氣值減少 %s
zts225e	士氣值增加兩倍
zts226e	士氣值減少一半
zts227e	不受到士氣值的影響
zts228e	技能再使用時間增加 %s%%
zts229e	技能再使用時間減少 %s%%
zts230e	攻擊時無視對方的詐欺
zts231e	施展相關
zts232e	轉換施展時間
zts233e	轉換MP消耗
zts234e	轉換攻擊速度
zts235e	施展失敗
zts236e	不能施展
zts237e	施展時間增加 %s%%
zts238e	施展時間減少 %s%%
zts239e	使用技能時消耗的MP增加 %s%% (包含魔法)
zts240e	使用技能時消耗的MP減少 %s%% (包含魔法)
zts241e	攻擊速度增加 %s%%
zts242e	攻擊速度減少 %s%%
zts243e	施展技能時會失敗 (包含魔法)
zts244e	不能施展 (包含魔法)
zts245e	移動相關
zts246e	不能移動
zts247e	轉換移動速度
zts248e	轉換移動速度數值
zts249e	移動速度增減
zts250e	不能進行移動
zts251e	移動速度增加 %s%%
zts252e	移動速度減少 %s%%
zts253e	移動速度變成 %s
zts254e	移動速度增加 %s
zts255e	移動速度減少 %s
zts256e	反射效果
zts257e	轉換造成損傷時的HP(%)
zts258e	轉換造成損傷時的MP(%)
zts259e	轉換受到損傷時的HP(%)
zts260e	轉換受到損傷時的MP(%)
zts261e	以敵人受到的損傷計算，增加 %s%%的HP
zts262e	以敵人受到的損傷計算，減少 %s%%的HP
zts263e	以敵人受到的損傷計算，增加 %s%%的MP
zts264e	以敵人受到的損傷計算，減少 %s%%的MP
zts265e	以自己受到的損傷計算，讓對方增加 %s%%的HP
zts266e	以自己受到的損傷計算，讓對方減少 %s%%的HP
zts267e	以自己受到的損傷計算，讓對方增加 %s%%的MP
zts268e	以自己受到的損傷計算，讓對方減少 %s%%的MP
zts269e	吸取與竊取
zts270e	將MP轉換成HP
zts271e	將HP轉換成MP
zts272e	竊取HP
zts273e	竊取MP
zts274e	竊取HP吸取MP
zts275e	消耗 %s的MP來獲得%s的HP
zts276e	消耗 %s的HP來獲得%s的MP
zts277e	以%s%%的機率將%s的HP傳給對方
zts278e	以%s%%的機率奪取對方%s的HP
zts279e	以%s%%的機率將%s的MP傳給對方
zts280e	以%s%%的機率奪取對方%s的MP
zts281e	消耗對方%s的MP，並轉換成HP給對方
zts282e	消耗對方%s的HP，並轉換成MP給自己
zts283e	回復/燃燒與施展相關
zts284e	HP回復/燃燒
zts285e	MP回復/燃燒
zts286e	施展時轉換HP
zts287e	中斷集中時轉換HP
zts288e	施展時，以使用的MP量轉換HP
zts289e	回復%s HP
zts290e	燃燒%s HP
zts291e	回復 %s MP
zts292e	燃燒%s MP
zts293e	施展時 HP回復 %s
zts294e	施展時 HP消耗 %s
zts295e	施展魔法時受到中斷HP可回復 %s
zts296e	施展魔法時受到中斷HP被消耗 %s
zts297e	施展時，MP的%s%% 使用量可轉換成HP
zts298e	施展時，MP的%s%% 使用量變成HP消耗
zts299e	轉換HP/MP
zts300e	轉換剩餘HP
zts301e	轉換剩餘MP
zts302e	轉換HP回復
zts303e	轉換MP回復
zts304e	HPMP增量
zts305e	回復減少%s%%的HP
zts306e	消耗剩餘HP的%s%%
zts307e	回復減少%s%%的MP
zts308e	消耗剩餘MP的%s%%　
zts309e	HP回復%s
zts310e	HP減少%s
zts311e	MP回復%s
zts312e	MP減少%s
zts313e	HP增量%s(HP最大量不能超過%s%%)
zts314e	MP增量%s(MP最大量不能超過%s%%)
zts315e	特化處裡
zts316e	特化損傷
zts317e	特化致命打擊率
zts318e	對%s有追加的%s損傷
zts319e	%s攻擊時損傷減少%s
zts320e	對%s上升%s的致命打擊率
zts321e	%s攻擊時減少%s的致命打擊率
zts322e	輔助效果相關
zts323e	解除輔助效果
zts324e	特定輔助效果免疫
zts325e	周圍的幾級以下傳達輔助效果
zts326e	特殊免疫
zts327e	解除特殊群組
zts328e	以%s%%的機率發生[%s]
zts329e	以%s%%的機率解除[%s]
zts330e	特定的效果以高機率免除
zts331e	對周圍的%s等級以上的對象發動[%s]
zts332e	對周圍的%s等級以下的對象發動[%s]
zts333e	對特殊效果產生抵抗力
zts334e	解除特定群組的效果
zts335e	解除特定系列的效果
zts336e	召喚相關
zts337e	死亡時召喚
zts338e	召喚怪物
zts339e	召喚蜘蛛
zts340e	以時間制召喚
zts341e	召喚虛影
zts342e	死亡時召喚[%s] %s隻
zts343e	死亡時以%s%%的機率召喚[%s]
zts344e	召喚[%s] %s隻
zts345e	以%s%%的機率召喚[%s]
zts346e	召喚[%s] %s隻 (修練專用蜘蛛)
zts347e	以%s%%的機率召喚[%s] (修練專用蜘蛛)
zts348e	召喚[%s] %s隻 (時間到消失)
zts349e	以%s%%的機率召喚[%s] (時間到消失)
zts350e	召喚%s隻擁有%s MP的虛影
zts351e	以%s%%機率召喚擁有%s MP的虛像
zts352e	特殊的效果
zts353e	死亡痛楚
zts354e	轉換非先發攻擊
zts355e	發酒瘋
zts356e	PvP模式
zts357e	留下殘影
zts358e	將殺死自己的對手的HP減少%s%%
zts359e	將殺死自己的對手的HP增加%s%%
zts360e	以%s%%的機率變換成先發攻擊
zts361e	以%s%%的機率變換成非先發攻擊
zts362e	說些奇怪的話
zts363e	可與同樣為PVP模式的人進行鬥技
zts364e	看到好幾個身體
zts365e	捕獲相關
zts366e	捕獲動物
zts367e	可捕獲比自己等級低的動物
zts368e	屬性特殊損傷及爆炸
zts369e	火焰爆炸
zts370e	周圍爆炸
zts371e	周圍攻擊
zts372e	以%s%%的機率發生爆炸，並造成%s的損傷
zts373e	因周圍阿生爆炸，使%s格以內的範圍受到%s的損傷
zts374e	以%s%%的機率讓周圍受到%s的損傷
zts375e	特殊的效果2
zts376e	挑撥
zts377e	瞬間移動
zts378e	主武器套用輔助效果
zts379e	輔助武器套用輔助效果
zts380e	誤認為同伴
zts381e	讓對方只注意自己
zts382e	讓對方不注意自己
zts383e	瞬間移動到%s距離
zts384e	使用主武器時以%s%%機率發動%s
zts385e	使用輔助武器時以%s%%機率發動%s
zts386e	讓怪物誤認為是自己的同伴
zts387e	等級計算相關
zts388e	沒有攻擊等級
zts389e	沒有防禦等級
zts390e	攻擊等級以0計算
zts391e	防禦等級以0計算
zts392e	回復相關
zts393e	HP回復量轉換
zts394e	MP回復量轉換
zts395e	HP回復量增加%s
zts396e	HP回復量減少%s
zts397e	MP回復量增加%s
zts398e	MP回復量減少%s
zts399e	最大HPMP
zts400e	最大HP轉換
zts401e	最大MP轉換
zts402e	最大HP增加%s
zts403e	最大HP減少%s
zts404e	最大MP增加%s
zts405e	最大MP減少%s
zts406e	攻擊力倍數增加
zts407e	所有攻擊增加幾倍
zts408e	近距離攻擊增加幾倍
zts409e	遠距離攻擊增加幾倍
zts410e	魔法攻擊增加幾倍
zts411e	所以攻擊力增加%s倍
zts412e	所有攻擊力減少%s倍
zts413e	近距離攻擊力增加%s倍
zts414e	近距離攻擊力增加%s倍
zts415e	遠距離攻擊力增加%s倍
zts416e	遠距離攻擊力減少%s倍
zts417e	魔法攻擊力增加%s倍
zts418e	魔法攻擊力減少%s倍
zts419e	防禦力倍數增加
zts420e	所有防禦增加幾倍
zts421e	近距離防禦增加幾倍
zts422e	遠距離防禦增加幾倍
zts423e	魔法防禦增加幾倍
zts424e	所有防禦力增加%s倍
zts425e	所有防禦力減少%s倍
zts426e	近距離防禦力增加%s倍
zts427e	近距離防禦力減少%s倍
zts428e	遠距離防禦力增加%s倍
zts429e	遠距離防禦力減少%s倍
zts430e	魔法防禦力增加%s倍
zts431e	魔法防禦力減少%s倍
zts432e	時空鬥技場專用相關
zts433e	集合力量
zts434e	HP不減少
zts435e	MP不減少
zts436e	所有輔助效果解除
zts437e	不能使用物品
zts438e	集合%s力量後，下次攻擊時使用
zts439e	HP不消耗
zts440e	HP不回復
zts441e	MP不消耗
zts442e	MP不回復
zts443e	所有輔助效果解除
zts444e	不能使用物品
zts446e	%HP回復
zts447e	%MP回復
zts448e	回復全部HP的%s%%
zts449e	減少全部HP的%s%%
zts450e	回復全部MP的%s%%
zts451e	減少全部MP的%s%%
zts452e	倒數動作
zts453e	倒數後叫出其他怪物
zts454e	MP全部消盡後，召喚[%s]%s隻
zts455e	MP全部消盡後，以%s%%的機率召喚[%s]
zts456e	不殺不給予損傷等等
zts457e	不死也不殺
zts458e	不給予損傷也不受損傷
zts459e	將攻擊力吸收為力量
zts460e	HP會減少，但不會死亡
zts461e	HP會減少，但不殺死對方
zts462e	不會受到任何損傷
zts463e	不會給予任何損傷
zts464e	將對方的攻擊會成自己的力量
zts465e	特殊行動
zts466e	推
zts467e	拉
zts468e	衝
zts469e	逃
zts470e	隱身
zts471e	將對方推到%s格後面
zts472e	將對方拉到%s格前面
zts473e	往%s格以內的對方衝刺
zts474e	逃離施展者所在的地方
zts475e	隱藏身體並悄悄的移動
zts476e	可以看到隱身的對方
zts477e	模式轉換相關
zts478e	射程距離轉換
zts479e	攻擊時只賦予效果
zts480e	轉換攻擊速度
zts481e	轉換模式
zts482e	刺激其他怪物
zts483e	將射程距離轉換成%s
zts484e	射程距離回復到原來狀態
zts485e	只賦予效果，不給予損傷
zts486e	直接進行損傷
zts487e	再攻擊時間增加%s
zts488e	再攻擊時間減少%s
zts489e	以%s%%的機率轉換模式
zts490e	以%s%%的機率刺激周圍的%s
zts491e	沒有屬性值
zts492e	沒有所有屬性值
zts493e	沒有火屬性值
zts494e	沒有水屬性值
zts495e	沒有光屬性值
zts496e	沒有暗屬性值
zts497e	所有屬性之力都不適用
zts498e	所有屬性抵抗都不適用
zts499e	火屬性之力不適用
zts500e	火屬性抵抗不適用
zts501e	水屬性之力不適用
zts502e	水屬性抵抗不適用
zts503e	光屬性之力不適用
zts504e	光屬性抵抗不適用
zts505e	暗屬性之力不適用
zts506e	暗屬性抵抗不適用
zts507e	光與暗
zts508e	魔法之盾
zts509e	淨化
zts510e	轉生術
zts511e	藏身後攻擊
zts512e	以MP抵銷%s%%的損傷
zts513e	吸收%s%%的損傷來增加MP
zts514e	將%s等級以下的負效果全部消除
zts515e	將%s等級以下的好效果全部消除
zts516e	將比自己等級低的不死系消滅或給予損傷
zts517e	將比自己等級低的不死系回復
zts518e	隱身中進行攻擊時，可有%s的追加損傷
zts519e	攻擊隱身中的對象時，可賦予%s的追加損傷
zts520e	物品相關
zts521e	增加經驗值
zts522e	增加攻擊力
zts523e	物品掉落
zts524e	經驗值獲得量增加%s%%
zts525e	所有攻擊力增加%s%%
zts526e	%s回合之內，每受到攻擊時會掉落物品
zts527e	輔助效果抵抗
zts528e	狀態異常抵抗
zts529e	一般狀態抵抗
zts530e	魔法異常抵抗
zts531e	毒抵抗
zts532e	疾病異常抵抗
zts533e	中%s級以下所有負效果的機率增加%s%%
zts534e	%s級以下所有負效果，以%s%%的機率抵抗
zts535e	中%s級以下一般負效果的機率增加%s%%
zts536e	%s級以下一般負效果，以%s%%的機率抵抗
zts537e	中%s級以下魔法負效果的機率增加%s%%
zts538e	%s級以下摩髮負效果，以%s%%的機率抵抗
zts539e	中%s級以下毒效果的機率增加%s%%
zts540e	%s級以下毒效果，以%s%%的機率抵抗
zts541e	中%s級以下疾病效果的機率增加%s%%
zts542e	%s級以下疾病效果，以%s%%的機率抵抗
zts543e	特殊行動3
zts544e	盲目的傳送
zts545e	刺激周圍領域
zts546e	傳染給周圍
zts547e	傳送到地圖上任意一個地方
zts548e	刺激%s距離以內的所有對象
zts549e	對%s距離內的我方成員散播[%s]
zts550e	對%s距離內的敵方成員散播[%s]
zts551e	任務相關
zts552e	任務觀看
zts553e	依照指定的規則召喚怪物
zts554e	百分比回復及損傷
zts555e	百分比回復
zts556e	對方的HP減少 %s%%
zts557e	受到損傷時HP減少 %s%%
zts558e	讓周圍變身
zts559e	將[%s]變成[%s]　
zts560e	商城虛寶
zts561e	賦予護符的能力
zts562e	黃金獲得量增加
zts563e	黃金獲得量增加 %s%%
zts564e	最大HP%更改(只使用buff)
zts565e	最大MP%更改(只使用buff)
zts566e	最大HP增加 %s%%
zts567e	最大HP減少 %s%%
zts568e	最大MP增加 %s%%
zts569e	最大MP減少 %s%%
zts570e	所有防禦力增加%s%%
zts571e	Notuse
zts572e	Notuse
zts573e	Notuse
zts574e	安裝攻擊時,爆炸的物體
zts575e	破壞周圍
zts576e	設置在遠處可引爆的炸彈
zts577e	自動尋找敵人並會自爆的炸彈裝置
zts578e	神聖淨化
zts579e	給予攻擊者輔助狀態
zts580e	令非光屬性敵人的能力下降
zts581e	使攻擊的對象，以%s%%機率 發生[%s]的效果
zts582e	特殊人物強化
zts583e	低等卡片防爆護符
zts584e	高等卡片防爆護符
zts585e	低等卡片防爆護符 生效
zts586e	高等卡片防爆護符 生效
zts587e	紳士雪人
zts588e	咆哮!
zts589e	真討厭!!
zts590e	暴風雪來了!所有站著的玩家受到99%的傷害
zts591e	雪崩來了!所有躺著的玩家受到99%的傷害
zts592e	吸收
zts593e	吸收目標
zts594e	Hp吸收
zts595e	向敵方施放吸收詛咒
zts596e	將會使敵方的HP減少約%s,施放者的HP將會如數增加.
zts597e	BOSS怪物技能
zts598e	穆克斯王
zts599e	在%s格以內的玩家會受到%s%%的傷害
zts600e	消滅反射MP機率
zts601e	消滅反射剩餘MP的機率
zts602e	此部份不會使用。
zts603e	以%s%%機率消滅反射剩餘MP的%s%%
zts604e	特殊處理與輔助事項
zts605e	輔助事項
zts606e	特殊化PVP
zts607e	刪除特定等級以下的輔助效果
zts608e	在下一個效果，會產生%s%%的抵抗力：[%s]與以下等級
zts609e	在PVP時，給予%s的追加傷害
zts610e	在PVP時，減少%s的傷害
zts611e	以%s%%機率，消滅等級%s以下的負效果
zts612e	產生爆炸，給予周圍%s格以內的敵人%s%%傷害
zts613e	路德哈徒斯
zts614e	龍頭攻擊
zts615e	給予在特定位置的玩家%s%%傷害
zts616e	路德凱比納斯
zts617e	蛇召喚攻擊
zts618e	特殊人物SE
zts619e	護盾的能量
zts620e	輔助效果的魔法擴散
zts621e	發動魔法擴散
zts622e	生存與死亡
zts623e	請輸入輔助號碼與傷害(1000分之1)數值
zts624e	請輸入輔助號碼
zts625e	發動魔法擴散，並給予周邊影響
zts626e	不需要輸入任何東西
zts627e	剩餘HP越少，可獲得更加強烈的效果
zts628e	霜雪冰冠家族突襲 4
zts629e	霜雪冰冠技能 4
zts630e	在 %d 區對敵人造成 %s%% 傷害
zts631e	在 %d 區對敵人造成 %s%% 傷害
zts632e	攻擊新出現的怪物吧！
zts633e	趕快擊敗新出現的怪物！
zts634e	對 [%s] 造成 %s%% 的嚴重傷害。
zts638e	HP最大值提升 %S%%，上限5000。
zts639e	HP最大值降低 %S%%，上限5000。
zts651e	透過魔法充電效果，騎乘變身的效果獲得額外提升！
zts652e	騎乘變身能力限時內將有最佳表現！
zts657e	酒桶藏身
zts658e	HP 無敵
zts663e	召喚１[%s] 發生機率為 %s%%
zts664e	召喚１[%s] 發生機率為 %s%%(一定時間後消失)
zts668e	吸引附近的敵人。
zts671e	所有攻擊力提高%s
zts672e	所有攻擊力降低%s
zts673e	所有防禦力提高%s
zts674e	所有防禦力降低%s
zts675e	野熊之魂附身，改變MP最大值。
zts676e	MP最大值提升 %S%%，上限5000。
zts677e	MP最大值降低 %S%%，上限5000。
zts678e	降低所有敵人的能力。
zts685e	受到的傷害最大反射%s
zts686e	受到的所有傷害增加%s%%，機率為%s%%，檔格時儲存能量。
zts687e	受到的所有傷害減低%s%%，機率為%s%%，檔格時儲存能量。
zts688e	使用此技能成功擊敗敵人時，[%s]以%s%%機率發動。
zts689e	對受'擊倒'效果影響的敵人使用嘲諷時，[%s]以%s%%機率發動。
zts690e	對一般狀態的敵人使用嘲諷時，[%s]以%s%%機率發動。
zts691e	一定機率反彈負面狀態效果。
zts694e	灼魂追擊手的射程提升了 %s。
zts695e	灼魂追擊手的射程減少了 %s。
zts696e	Retreat %s blocks from opponent.
zts699e	赤熾燄法使的真正力量解放，力量等級提升 %s。
zts700e	赤熾燄法使的力量變弱，力量等級降低 %s。
zts704e	使敵人的狀態強化類技能效果減弱。
zts705e	一定機率移除一個敵人的正向狀態效果。
zts706e	抵抗%s的致命傷害。
zts713e	受到的傷害減少%s%%，並讓同伴承擔受到的傷害的%s%%。
zts714e	從同伴承受的傷害增加%s%%。
zts715e	從同伴承受的傷害減少%s%%。
zts716e	HP恢復效果提升%s%%。
zts717e	HP恢復效果降低%s%%。
zts718e	受到連擊技攻擊時，造成%s%%額外傷害。
zts728e	使用護法技能時，以%s%%的機率獲得[%s]。
zts732e	以%s%%的機率，產生指定位置的[%s]。
zts733e	以%s%%的機率，移除指定位置的[%s]。
zts734e	在一瞬間消聲匿跡。
zts741e	以 %s%% 的機率，把受到的 %s%% 傷害轉換為HP恢復。
zts742e	以 %s%% 的機率，把受到的 %s%% 傷害轉換為HP損耗。
zts745e	傷害提升了 %s%% 的技能[%s]可以使用。
zts746e	傷害降低了 %s%% 的技能[%s]可以使用。
zts747e	致命一擊機率提升了 %s%% 的技能[%s]可以使用。
zts748e	致命一擊機率降低了 %s%% 的技能[%s]可以使用。
zts752e	對 %s 造成 %s%% 的額外傷害。
zts753e	%s 造成的傷害下降了 %s%%。
zts754e	道具回復效果提升了 %s%%。
zts755e	道具回復效果降低了 %s%%。
zts757e	使用海賊少女凱瑟琳時，以 %s%% 的機率，引發 [%s]。
zts758e	使用海賊少女凱瑟琳時，以 %s%% 的機率，取消 [%s]。
zts764e	在伏擊狀態下進行集中攻擊。
zts765e	使用[追跡]選定目標。然後，你可以發動[猛禽索敵]追蹤敵人，或使用[猛禽天襲]進行突擊。
zts766e	使用猛禽觀案敵人的剩餘HP，並攻擊範圍內體力最低的敵人。受到攻擊的敵人會被標記，讓其他同伴可以透過標記進行集中攻擊。
zts767e	PvP時，防禦力提升
zts768e	PvP時，防禦力提升 %s%%
zts769e	PvP時，防禦力減少 %s%%
zts776e	回復敵人剩餘HP的%s%%。
zts777e	降低敵人剩餘HP的%s%%。
zts778e	使用%s次後，發動[%s]。此效果累積兩次後終止連擊技。
zts779e	攻擊範圍增加%s。
zts780e	攻擊範圍減少%s。
zts781e	%s秒內使人無法隨心所欲地移動。
zts782e	使用[伏擊]時，以%s%%的機率，進入[%s]。
zts787e	以%s%%的機率，在使用狙擊技能後發動[%s]。
zts788e	以%s%%的機率，在使用狙擊技能後移除[%s]。
zts789e	在伏擊狀態下，攻擊範圍增加%s。
zts790e	在伏擊狀態下攻擊時，以%s的機率發動[%s]。
zts793e	使範圍內的所有敵人冰封。在%s秒內脫離有效範圍，可解除冰封狀態。
zts794e	在短暫的冥想後，以%s%%的機率獲得[%s]。
zts795e	在中等時間的冥想後，以%s%%的機率獲得[%s]。
zts796e	在長時間的冥想後，以%s%%的機率獲得[%s]。
zts799e	成為了狙擊目標，被狙擊技能擊中時，受到%s%%的致命傷害。
zts808e	以%s%%的機率，向後移動%s格。
zts810e	攻擊時，以%s%%的機率，把敵人推移%s格。
zts811e	近距離攻擊技能的施放時間延長%s。
zts812e	近距離攻擊技能的施放時間縮短%s。
zts813e	遠距離攻擊技能的施放時間延長%s。
zts814e	遠距離攻擊技能的施放時間縮短%s。
zts815e	魔法攻擊技能的施放時間延長%s。
zts816e	魔法攻擊技能的施放時間縮短%s。
zts817e	在PVP模式下擊敗你的敵人，HP會減少%s%%。
zts818e	在PVP模式下擊敗你的敵人，HP會增加%s%%。
zts819e	PvP時，攻擊力提升
zts820e	PvP時，攻擊力提升 %s%%
