zts1e	幼紅小狐
zts216e	暴殘毒蜘蛛
zts217e	毒毛蟲
zts218e	大毒毛蟲
zts219e	尖銳毒毛蟲
zts220e	小盔甲毛蟲
zts221e	盔甲毛蟲
zts222e	精銳盔甲毛蟲
zts223e	幼盔甲毛蟲
zts224e	小科莫多龍
zts225e	大科莫多龍
zts226e	狂暴科莫多龍
zts227e	白骷髏士兵
zts228e	白骷髏衛士
zts229e	白骷髏兵隊長
zts230e	白骷髏閃靈
zts231e	暗黑魔岩士兵
zts232e	暗黑魔岩
zts233e	變形暗黑魔岩
zts234e	比斯艾溫
zts235e	比斯艾溫祭司
zts236e	比斯艾溫頭目
zts237e	杜比 黑暗威廉
zts238e	貝絲 黑暗威廉
zts239e	杜比 赤血威廉
zts240e	貝絲 赤血威廉
zts241e	貴婦 美嘉娜
zts242e	貴婦 迪斯麗
zts243e	惡毒槍侍
zts244e	精銳惡毒槍侍
zts245e	狂暴惡魔槍兵
zts246e	惡靈史瑞克
zts247e	邪靈史瑞克
zts248e	堅硬暗黑魔岩
zts249e	狂暴暗黑魔岩
zts250e	怨念比斯艾溫
zts251e	比斯艾溫妖靈
zts252e	狂爆科莫多龍
zts253e	感冒菌
zts254e	莎甫 黑暗威廉
zts255e	貴婦 瑪琳威
zts256e	暗黑呼勒巴特
zts257e	黑暗爆破手大王
zts258e	魔王林克
zts259e	史瑞克弓箭手
zts260e	史瑞克弓箭侍衛
zts261e	史瑞克錘兵
zts262e	史瑞克錘兵侍衛
zts263e	尤辛特王
zts264e	不破尤辛特王
zts265e	寒冰諾
zts266e	極冰諾
zts267e	軟綿綿萊吉姆
zts268e	陰暗斯巴特
zts269e	水鑲冰晶
zts270e	微型拉姆茵
zts271e	阿修羅
zts272e	陰暗卡巴拉魯
zts273e	史域多哈因
zts274e	葛利芬
zts275e	不良惡魔　
zts276e	傑克毒蜘蛛
zts277e	7年歷山蔘
zts278e	乖巧山蔘
zts279e	地底德舍格
zts280e	長腿毒蜘蛛
zts281e	侍奉群眾
zts282e	腐蝕屍怪
zts283e	腐蝕屍魔
zts284e	追索守護者
zts285e	強力追索守護者
zts286e	詛咒追索守護者
zts287e	艾美專櫃
zts288e	比茲柏修斯
zts289e	山露古教授
zts290e	雪滋 羅濱蒂
zts291e	貝托魯奇 辛尼
zts292e	拉迪 安魯爾
zts293e	超絕的 山蔘
zts294e	卡-艾彌爾
zts295e	不友善嚮導 法師
zts296e	不友善嚮導 劍士
zts297e	依蘭特 保衛隊
zts298e	羅布格 近衛隊
zts299e	保衛隊 孥弓手
zts300e	卡-艾彌爾分身
zts301e	卡-艾彌爾
zts302e	萊卡卡 卡達
zts303e	滬爾巴特
zts304e	雷登
zts305e	麥克
zts306e	哼
zts307e	夏娃公主
zts308e	陰暗派西斯
zts309e	自信華比威諾
zts310e	希納
zts311e	樂樂 羅賓治
zts312e	比茲柏修斯
zts313e	比茲柏勒零
zts314e	問號先生
zts315e	礦務管理員
zts316e	吱雞
zts317e	吱查雞
zts318e	派西斯公主
zts319e	受傷士兵
zts320e	保衛隊長
zts321e	惡意近衛隊
zts322e	近衛兵隊長　
zts323e	超級吱渣雞
zts324e	陰暗邪咒師
zts325e	被詛咒的柏圖
zts326e	薰芳茶
zts327e	???
zts328e	面臨幻滅的亡靈們
zts329e	羅依
zts330e	奶白色帽子
zts331e	莫依麗
zts332e	羅富特
zts333e	蛋
zts334e	滾落的大石
zts335e	幼毒蜘蛛
zts336e	傷亡狼人
zts337e	暗黑隕石　
zts338e	羊皮紙
zts339e	定點移動石
zts340e	研究所任務調查
zts341e	夢古 訓練員
zts342e	我的地標牌
zts343e	我的地標牌2
zts344e	時空裂縫
zts345e	小妖精提示
zts346e	黃色幽靈石
zts347e	紅色幽靈石
zts348e	藍色幽靈石
zts349e	神秘的幽靈石
zts350e	昏厥食人花
zts351e	效果解除食人花
zts352e	打擊專用
zts353e	打擊專用(火)
zts354e	打擊專用(水)
zts355e	打擊專用(光)
zts356e	打擊專用(暗)
zts357e	地底魔液
zts358e	修練用木塊
zts360e	紅色泥漿魔岩
zts361e	吸血蛞
zts362e	藍色土撥鼠
zts363e	保衛隊青年山普
zts364e	保衛隊大叔山治
zts365e	管理人摩柯
zts366e	管理人古里斯托
zts368e	倉庫管理員傑克琛
zts369e	總司令雷富達
zts370e	近衛隊軍官諾曼
zts371e	近衛隊長樂傑森
zts372e	情報要員
zts373e	豺狼人密探
zts374e	寶力仕
zts375e	寶力仕王
zts376e	移動眼球怪
zts377e	附魂魔劍
zts378e	附魂魔弓
zts379e	附魂魔錘
zts380e	撕碎法袍
zts381e	光毛蟲
zts382e	暗毛蟲
zts383e	水毛蟲
zts384e	火毛蟲
zts385e	變革木精靈
zts386e	混淆木精靈
zts387e	哀傷木精靈
zts388e	憤恨木精靈
zts389e	綑縛之靈
zts390e	地獄守門犬
zts391e	惡魔副手
zts392e	近衛隊員柔妮
zts393e	香噴噴的 葉片
zts394e	井水邊
zts395e	紅光石版
zts396e	樹根通路
zts397e	矮人樹
zts398e	張大咀巴的銅像
zts399e	放置符咒的木架
zts400e	邪魔的俱樂部
zts401e	紅樹
zts402e	神聖的祭壇
zts403e	受魔力環繞的樹枝
zts404e	哼哼毛蟲專家
zts405e	關卡木刻人偶A
zts406e	關卡木刻人偶B
zts407e	關卡木刻人偶C
zts408e	木塊
zts409e	20級任務觀看
zts410e	21-1等級觀看
zts411e	21-2等級 觀看
zts412e	21-3等級 觀看
zts413e	21-4等級 觀看
zts414e	21-5等級 觀看
zts415e	21-6等級 觀看
zts416e	22-1等級 觀看
zts417e	22-2等級 觀看
zts418e	22-3等級 觀看
zts419e	米
zts420e	鐵礦石
zts421e	25-1等級 觀看
zts422e	25-2等級 觀看
zts423e	25-3等級 觀看
zts424e	25-4等級 觀看
zts425e	25-5等級 觀看
zts426e	25-6等級 觀看
zts427e	25-7等級 觀看
zts428e	25-8等級 觀看
zts429e	25-9等級 觀看
zts430e	25-10等級 觀看
zts431e	可疑的痕跡
zts432e	隊長 拉莫斯
zts434e	蛋卡兒
zts438e	鬥雞
zts439e	超級吱喳雞
zts440e	第一個井水邊
zts441e	第二個井水邊
zts442e	卡兒蛋
zts443e	金色卡兒蛋
zts444e	第三個井水邊
zts445e	第四個井水邊
zts446e	精銳部隊成員
zts447e	大菲菲
zts448e	二菲菲
zts449e	小菲菲
zts450e	深淵之眼
zts451e	綑縛之魂調查
zts452e	撕碎的法袍調查
zts453e	賞金通緝揭示版
zts454e	烏扎古阿劍
zts455e	西巴里林克
zts456e	琛姆治 布朗
zts457e	占勒菲  力克
zts458e	陰暗地龍
zts459e	幽暗妖魔
zts460e	巨大的昆蟲
zts461e	蒸氣巨人
zts462e	豺狼人戰士靈魂
zts463e	豺狼人弓手靈魂
zts464e	天豺狼
zts465e	巴特的間諜
zts466e	鐵腕判官
zts467e	冷血判官
zts468e	慘虐判官
zts469e	妖女
zts470e	咬著骨頭的石像
zts471e	崩壞的涼亭
zts472e	濕潤的土地
zts473e	崎嶇的路面
zts474e	發亮的石頭
zts475e	拋在地上的掃把
zts476e	可疑的壁畫
zts477e	咆哮石像
zts478e	下忍
zts479e	若無忍者
zts480e	宿醉的忍者
zts481e	忍者
zts482e	樂樂丸
zts483e	元靈
zts484e	鯰魚主宮
zts485e	被召喚的下忍
zts486e	小小茶茶丸
zts487e	櫻花公主
zts488e	小型鯰魚主宮
zts489e	生氣的貝諾
zts490e	生氣的史汀奇
zts491e	生氣的吱雞
zts492e	豺狼人小工
zts493e	茶茶丸
zts494e	隕石碎片
zts495e	大石碑
zts496e	小石碑
zts497e	茶茶丸陷阱
zts498e	竹筒攻擊
zts499e	炮烙判刑官
zts500e	鯰魚主宮分身
zts501e	楓葉精靈
zts502e	茶茶丸缸子
zts503e	5點 據點
zts504e	2點 據點
zts505e	1點 據點
zts506e	受咒綁的天狼
zts507e	受咒綁的蒸氣巨人
zts508e	受咒綁的妖女
zts509e	赤星騎士團員
zts510e	強力的領導者
zts511e	鎖骨石像
zts512e	山楂樹
zts513e	積分牌
zts514e	赤岩
zts515e	毀壞的鎖骨石像
zts516e	NotUse
zts517e	NotUse
zts518e	NotUse
zts519e	NotUse
zts520e	NotUse
zts521e	骸鍊惡魔
zts522e	樂拔亞克
zts523e	死亡槍侍
zts524e	死亡騎兵
zts525e	暗黑之魂
zts526e	新NPC
zts527e	小肉粽怪
zts528e	肉粽精靈
zts529e	巨大肉粽
zts530e	幽火之鷹
zts531e	骸鍊食屍鳥
zts532e	還沒熟的肉粽
zts533e	稻子
zts534e	死亡之地閘門
zts535e	劍鬥士夢古
zts536e	派西斯
zts537e	夏娃
zts538e	傑特
zts539e	諾狄
zts540e	天使諾狄
zts541e	依娜
zts542e	天使依娜
zts543e	蘇詩
zts544e	惡魔蘇詩
zts545e	加泰
zts546e	惡魔加泰
zts547e	千年貝殼
zts548e	幽禁樹靈皇
zts549e	水蛭王
zts550e	泥巴魔岩
zts551e	刃牙巨蜥
zts552e	巨大毒蟲
zts553e	比米
zts554e	漂浮水母
zts555e	漂浮小水母
zts556e	樹根邪靈
zts557e	楓葉巨人
zts558e	水蛭魔
zts559e	戰鬥天使
zts560e	多彩飛蛾
zts561e	地底蟋蟀
zts562e	小鼴鼠
zts563e	鼴鼠媽媽
zts564e	黑魔犬
zts565e	幽魂山羊
zts566e	毒幼蟲
zts567e	冷淡的野花
zts568e	熱情的野花
zts569e	石像
zts570e	水井
zts571e	楓葉花
zts572e	老山魔鐮蟹
zts573e	狂野山鹿
zts574e	天火山鹿
zts575e	小鼴鼠
zts576e	貝爾斯托拔
zts577e	爆破魔彈
zts578e	天使先鋒
zts579e	地底蟋蟀
zts580e	擊破彈
zts581e	火焰地雷
zts582e	奇納斯 冰克薩德
zts583e	迪斯 艾卡瑪
zts584e	桑娜 域雅
zts585e	札斯特 暗炎
zts586e	惠特尼 凱瑟琳
zts587e	惡魔士兵
zts588e	地獄衛兵
zts589e	狂暴地獄衛兵
zts590e	惡魔槍手
zts591e	惡魔長槍兵
zts592e	狂暴惡魔槍手
zts593e	煉獄公爵 亞奇納德
zts594e	艾察卡努 美絲達路
zts595e	Dr.W
zts596e	遠古的靈魂
zts597e	黃金靈魂石
zts598e	神聖的井水
zts599e	夢古夢古
zts600e	黑色夢古
zts601e	嘉達裝甲
zts602e	電弧
zts603e	詭異神秘之夜
zts604e	荒謬神秘之夜
zts605e	玄幻神秘之夜
zts606e	灰色靈魂石
zts607e	武器商人
zts608e	防具商人
zts609e	生產商人
zts610e	料理師
zts611e	時裝造型師
zts612e	鍊金術師
zts613e	庭院管理師
zts614e	傾斜之塔
zts615e	Airwaves
zts616e	聖誕老人
zts617e	雪之助
zts618e	魔鬼雪球
zts619e	紳士雪人
zts620e	河馬管家
zts621e	福鼠娘娘
zts622e	大魔法師佩爾羅
zts623e	路迪哈德
zts624e	蕾妮卡特斯
zts625e	斯奧避難民
zts626e	瓦勒斯避難民
zts627e	鋼蚌
zts628e	康胖
zts629e	傑克蚌
zts630e	黃昏偵察兵
zts631e	黃昏突擊兵
zts632e	瓦勒斯獵人
zts633e	雪人
zts634e	冰霜泥漿魔岩
zts635e	普洛達
zts636e	雪女
zts637e	雷伊斯
zts638e	曼迪斯梏爾
zts639e	冰凍蠕蟲
zts640e	莫路卡王
zts641e	蘿絲希史蘭特
zts642e	小火堆
zts643e	大火堆
zts644e	路德希史蘭特
zts645e	魔間戰士
zts646e	魔間獵人
zts647e	莫達斯戰士
zts648e	莫達斯獵人
zts649e	穆克斯王
zts650e	真達
zts651e	怪物召喚傳送點
zts652e	冷冽希米斯特
zts653e	阿美利亞貝伍德
zts654e	小蛋蛋
zts655e	有點可疑的黃昏偵察兵
zts656e	可疑的偵察兵
zts657e	很可疑的偵察兵
zts658e	絕對可疑的偵察兵
zts659e	小蛋蛋
zts660e	亞諾特馬田
zts661e	亞瑟馬田
zts662e	諾維斯
zts663e	瑪嘉烈阿姨
zts664e	愛麗絲奇連
zts665e	費里思獅子
zts666e	愛德華艾伯特
zts667e	黑暗監視者
zts668e	黑暗追蹤者
zts669e	黑暗暴食者
zts670e	黑暗隱士者
zts671e	哈托斯王
zts672e	新郎山露古
zts673e	雪滋教授
zts674e	退休的比茲柏修斯
zts675e	退休的比茲柏勒零
zts676e	研究中的拉迪
zts677e	徬徨的問號先生
zts678e	近衛隊員柔妮
zts679e	忙碌的艾美專櫃
zts680e	閒閒的貝托魯奇
zts681e	殘暴雪人
zts682e	剛烈的冥界戰士
zts683e	剛烈的冥界法術士
zts684e	雪白斯奧
zts685e	艾佛 斯史利
zts686e	巨大咕雞
zts687e	千年曼陀羅
zts688e	地獄犬
zts689e	不死系鬥雞
zts690e	千年馬鈴薯
zts691e	魔王的飼犬
zts692e	巨大的腥紅獵獸
zts693e	衛星偵測儀
zts694e	樹根魔王
zts695e	肌肉史域多
zts696e	暗影王
zts697e	史域多泥漿魔岩
zts698e	小卡巴拉魯
zts699e	獵影騎士
zts700e	發胖的水蛭
zts701e	千年山蔘
zts702e	刃牙巨蜥王
zts703e	冥獄騎士
zts704e	受到詛咒的樹
zts705e	帝王蟹
zts706e	溫純雪人
zts707e	路卡寒霜
zts708e	水晶洞穴守衛犬
zts709e	水晶洞穴守衛
zts710e	水晶洞穴祭司長
zts711e	水晶洞穴守護者
zts712e	貝納奧斯王的幻影(弓手)
zts713e	貝納奧斯王的幻影(咒術師)
zts714e	貝納奧斯王的幻影(劍士)
zts715e	貝納奧斯王
zts716e	藍海獵人
zts717e	藍海守護者
zts718e	藍海抑制者
zts719e	藍海追蹤者
zts720e	卡比納斯王
zts721e	刨冰機
zts722e	天使陣營據點
zts723e	惡魔陣營據點
zts724e	天使復活的聖所
zts725e	惡魔復活的祭壇
zts726e	水著夢古
zts727e	落石獸
zts728e	瘋狂石獸
zts747e	飛天獨角馬
zts748e	月兔寶寶
zts749e	水蛭
zts750e	巨大雪人
zts751e	惡魔雷特斯
zts752e	惡魔蘇因迪
zts753e	溫馴的吱雞
zts754e	強壯山蔘
zts755e	強壯刃牙巨蜥
zts756e	溫馴羊咩
zts757e	溫馴羚羊
zts758e	溫馴巨角羊
zts759e	溫馴箭豬
zts760e	溫馴毒箭豬
zts761e	溫馴鋼鐵箭豬
zts762e	溫馴紅小狐
zts763e	溫馴棕色小狐
zts764e	溫馴野生小狐
zts765e	溫馴粉紅萊吉姆
zts766e	溫馴紅萊吉姆
zts767e	溫馴黑萊吉姆
zts768e	溫馴小角尤達
zts769e	溫馴獨角尤達
zts770e	溫馴魔翼尤達
zts771e	溫馴灰豺狼
zts772e	溫馴鬃毛豺狼
zts773e	鋼蚌王
zts774e	小黃昏
zts775e	巨大冰凍蠕蟲
zts776e	巨大普洛達
zts777e	巨大幽魂山羊
zts778e	巨大寒冰諾
zts779e	剛強鬥雞
zts780e	野生食人花幽靈
zts781e	強勁妖球
zts782e	艾彌爾護衛長精英
zts783e	艾彌爾弓手侍衛精英
zts784e	危險的巴特突擊侍衛
zts785e	黑暗追擊手領導者
zts786e	憤怒腥紅獵獸
zts787e	天使守護者
zts788e	惡魔僕人
zts789e	妖球人偶
zts790e	豺狼人人偶
zts791e	夢古夢古人偶
zts792e	巴特人偶
zts793e	腥紅獵獸人偶
zts794e	卡迪斯人偶
zts795e	史瑞克錘兵人偶
zts796e	初級寵物訓練員
zts797e	中級寵物訓練員
zts798e	高級寵物訓練員
zts799e	咒術師的惡靈
zts800e	憤怒盔甲毛蟲
zts801e	被召喚的皇后蜂
zts802e	巨大盔甲毛蟲
zts803e	光滑蠕蟲
zts804e	巨大暗黑魔岩
zts805e	鋼鐵觸角偵測儀
zts806e	毒蜘蛛兵
zts807e	黑暗裡的怪物
zts808e	地獄獵犬
zts809e	苦行者史域多
zts810e	殘酷黑暗骷髏兵
zts811e	殘酷黑暗骷髏弓手
zts812e	極大守護者
zts813e	巨人守護者
zts814e	險惡的史域多
zts815e	暗黑騎士迪倫
zts816e	小水蛭
zts817e	劇毒幼蟲
zts818e	重裝騎士蘭特斯
zts819e	分裂的漂浮水母
zts820e	黑霧主教
zts821e	巨大黑暗追擊手
zts822e	帝王蟹
zts823e	鼴鼠皇后
zts824e	神秘之夜
zts825e	美絲達路
zts826e	古代腥紅獵獸
zts827e	古代暗影王
zts828e	古代小卡巴拉魯
zts829e	古代樹根魔王
zts830e	巨大粉紅萊吉姆
zts831e	強壯死亡騎兵
zts832e	強壯楓葉巨人
zts833e	個人用柴火
zts834e	露營用柴火
zts835e	劍士靈魂石
zts836e	弓手靈魂石
zts837e	咒術師靈魂石
zts838e	天使之霜凍
zts839e	惡魔之極冰
zts840e	訓練領域樁子
zts841e	訓練告示板
zts842e	劍士特殊人物水晶球
zts843e	弓手特殊人物水晶球
zts844e	咒術師特殊人物水晶球
zts845e	巨大巴特突擊侍衛
zts846e	妖球人偶領域
zts847e	粗暴的聖誕鹿
zts848e	墮落的聖誕鹿
zts849e	邪惡雪人
zts850e	聖誕夢古EX
zts851e	弧妖
zts852e	星彩神牛
zts853e	冰凍蠕蟲
zts854e	小黃昏突擊兵
zts855e	憤怒的普洛達
zts856e	小黃昏偵察兵
zts857e	小幽魂山羊
zts858e	被召喚的小企鵝
zts859e	被召喚的小企鵝
zts860e	雪源之刃牙巨蜥
zts861e	雪源之鬃毛豺狼
zts862e	雪源之野生小狐
zts863e	夢古小次郎
zts867e	烈焰仙狐
zts888e	打擊專用(低級用)
zts905e	部隊長尼爾
zts906e	部隊長麥爾奇
zts907e	部隊長凱路斯
zts908e	部隊長卡頓
zts917e	頭目依普拉罕穆
zts918e	部隊長嘯嵐
zts919e	部隊長塞伊
zts921e	沙漠暴風精靈
zts922e	沙漠沙精靈
zts923e	沙礫巨人
zts924e	沙礫侏儒
zts925e	古代遺跡管理人
zts931e	烈火之巴拉古斯
zts932e	烈火之巴拉凱特
zts933e	暴炎之王巴拉酷斯
zts934e	烈火之獵犬
zts935e	地獄守護犬克拉托斯
zts936e	烈火之巨人
zts937e	烈火之鍊
zts938e	烈火之侵蝕者
zts939e	暴炎的巨人卡頓部米倫
zts940e	烈火之暴食者
zts941e	烈火之翼
zts942e	烈火之造化之物
zts943e	暴炎的聖祖克拉爾米迪倫
zts944e	烈火之利刃
zts945e	烈火之盾牌
zts946e	烈火之矛
zts947e	暴炎的火神克萊尼卡斯
zts948e	代理人哈瑪第
zts949e	燈塔守衛 奇爾頓
zts950e	港口守衛圖穆
zts951e	哈瑪特阿卡瑪
zts952e	修米海伊茲
zts953e	祭司 塞力再德
zts954e	大祭司 艾爾拉第安
zts955e	祭司 派拉
zts956e	利亞阿卡瑪
zts957e	希林海伊茲
zts958e	尼比阿卡瑪
zts960e	迪普布拉溫
zts961e	代門米路埔
zts962e	阿卡瑪商團警備隊
zts963e	阿卡瑪商團代理人
zts964e	阿卡瑪商團商人
zts965e	沙漠飛鷹城居民
zts966e	尋寶隊的靈魂
zts968e	祭司的靈魂
zts971e	駱駝
zts975e	翻譯比爾利
zts976e	米克爾拉本茲
zts977e	卡瑪歸莫皮
zts978e	劍客貝爾門
zts979e	無法地帶民兵隊
zts980e	瑪爾倫代澤特里博
zts981e	鮑伯丁希爾可韋伯
zts982e	無法地帶居民
zts983e	調查員希在斯
zts984e	迷樣的旅行者
zts985e	克萊尼卡斯的歡迎
zts1192e	消失的沙礫仙人掌
zts1193e	無邊的沙礫小狐　
zts1194e	消失的沙礫小狐　
zts1195e	俘虜
zts1196e	尼爾的野營地崗哨
zts1197e	代理人姆路沙
zts1198e	仙人掌果實
zts1199e	尼爾的野營地文件保管箱
zts1200e	商團俘虜護瑪特
zts1201e	祭司諾拉
zts1202e	警備兵普特蘭
zts1203e	占術家努奇
zts1204e	助手虛任
zts1205e	丟棄的阿卡瑪商團箱子
zts1206e	碎裂的阿卡瑪商團箱子
zts1207e	搶劫的阿卡瑪商團箱子
zts1208e	獲得旗幟 NPC
zts1209e	獲得地區1 NPC
zts1210e	獲得地區2 NPC
zts1211e	獲得地區3 NPC
zts1212e	獲得地區4 NPC
zts1213e	獲得地區5 NPC
zts1214e	獲得地區6 NPC
zts1215e	獲得特徵任務 NPC
zts1216e	無法觀察的特殊弱兵
zts1217e	凱路斯的特殊箱子
zts1218e	卡頓的特殊箱子
zts1219e	遺物儲藏箱子:凱路斯野營地
zts1220e	遺物儲藏箱子: 卡頓的野營地
zts1221e	泰拳夢古
zts1222e	召喚的藍海獵人
zts1223e	召喚的藍海守護者
zts1224e	狂暴朽木喪屍
zts1248e	打擊專用(低級用)
zts1249e	藍海沙礫穆基
zts1250e	藍海沙礫瘦精獸
zts1251e	藍海沙礫鋒利之刺
zts1252e	藍海沙礫暴食者
zts1253e	藍海沙礫藤蔓
zts1254e	藍海沙礫利刺藤蔓
zts1255e	藍海沙礫鋒利之角
zts1256e	藍海沙礫小狐　
zts1257e	藍海沙礫仙人掌
zts1258e	藍海沙礫曼陀羅
zts1259e	藍海沙礫黑蠍子
zts1260e	藍海沙礫巨蜥王
zts1261e	地下書庫修道士
zts1262e	地下書庫祈願者
zts1263e	地下書庫構圖者
zts1264e	地下書庫領路人
zts1265e	部隊長尼爾
zts1266e	部隊長麥爾奇
zts1267e	部隊長凱路斯
zts1268e	部隊長卡頓
zts1269e	尼爾的搜索隊劍客
zts1270e	尼爾的搜索隊暗殺者
zts1271e	尼爾的搜索隊炮手
zts1272e	尼爾的搜索隊爆破兵
zts1273e	尼爾的野營地教導官
zts1274e	尼爾的野營地倉庫守衛
zts1275e	尼爾的野營地鑰匙守衛
zts1276e	尼爾的搜索隊指揮員
zts1277e	頭目依普拉罕穆
zts1278e	部隊長嘯嵐
zts1279e	部隊長塞伊
zts1280e	尼爾的搜索隊偵查兵
zts1281e	沙漠暴風精靈
zts1282e	沙漠沙精靈
zts1283e	沙礫巨人
zts1284e	沙礫侏儒
zts1285e	古代遺跡管理人
zts1286e	書庫沙礫怨靈
