zts1e	依蘭特 裝備商店 (使用)
zts174e	副家長一定要有2人，所以要變換副家長時，要輸入 [%副家長 新副家長的名稱 卸任的名稱]
zts175e	把家長的位子讓給其他人的時候，請輸入 [%承襲 新家長人物名稱]，但是家長的位子只有副家長可以承襲
zts176e	想要留重要訊息給上線的家族成員時，可使用 [%通知 內容] 功能
zts177e	很多功能目前還在研發中，所以有很多功能還無法使用，但是呢~ 還是可以先募集一些家人一起進行很多有趣的戰鬥喔！
zts178e	我們會以最快的速度來支援最佳的功能，以上是艾美的解說
zts179e	依蘭特 技能登錄所(使用)
zts191e	想要了解什麼?
zts192e	請問教育是什麼?
zts193e	請問基本技能是什麼?
zts194e	請問額外技能是什麼?
zts195e	技能要怎麼刪除呢?
zts196e	教育後會直接影響到你的能力，學了一次之後，可以永久使用
zts197e	進行教育是需要學費的，除此之外也要先達到指定的戰鬥等級
zts198e	戰鬥等級是指…等級標示 '0/0' 中的左邊數字嗎?
zts199e	是的，教育分為初級與中級，即時沒有完成初級，也可以進行中級的教育
zts200e	啊? 如果沒有學習初級不會有損失嗎?
zts201e	不會的，依照初級、中級的順序學習與直接學中級的能力值是沒有差別的
zts202e	但是…依照順序學習應該比較能幫助你的
zts203e	基本技能是，玩家親自使用的技能
zts204e	學習基本技能時，需要一定的黃金與CP，而也還要達到所需的職業等級
zts205e	職業等級是等級標示 '0/0' 中的右邊數字嗎?
zts206e	是的，基本技能需要CP，所以當你的職業等級已經到達，但是CP不足時，還是無法學習的
zts207e	職業等級上升時，可以得到一些CP，但是想要用這些CP來學習所有技能是不可能的，所以呢~學習之前要仔細的考慮一下，哪些技能才是對自己有用的
zts208e	額外技能是附加在基本技能的能力，是一個很特殊的技能
zts209e	例如，如果已經學習了基本技能的 '強力一擊'，然後再對此技能附加了額外技能 '追加暈眩' 時，使用強力一擊就會出現附加的暈眩效果
zts210e	啊…那即使使用的是同樣的技能，也會依照額外技能的功能，而有不同的效果囉?
zts211e	是的，一個基本技能最多可以附加四種額外技能
zts212e	但是有一個注意事項！！ 額外技能按鈕右下方有個圓圈或四方形的標示，有著相同標示的額外技能是無法重複學習的
zts213e	請問這些標示代表著什麼意思呢?
zts214e	嗯… 打開技能視窗你會看到額外技能欄位上，有一些剛剛說明過的標示，這些標示就表示著可以放入的額外技能了
zts215e	哦… 原來欄位裡面只能放入相同標示的額外技能，所以無法重複啊?
zts216e	如果在已經學過的額外技能欄位上，強制的放入同樣標示的技能時，新放上去的技能就會覆蓋原本的技能，不過不需要太擔心，為了以防萬一，我們在這個時候會以警告訊息詢問你的~ 所以你可以再做思考！！
zts217e	如果對已經學習的基本技能不是很滿意或想要再學其他技能，但是CP卻不夠使用時，就可以考慮刪除不要的技能了
zts218e	想要刪除技能時，可先叫出技能購買窗，然後再雙擊想要刪除的技能就可以囉
zts219e	刪除技能後可以得到學習技能時所消耗掉的CP，但是刪除技能需要花費學習技能時所花的費用
zts220e	另外，刪除技能之前必須先把附加再該技能上的額外技能通通刪除掉
zts221e	教育是無法刪除的，教育時沒有使用到任何CP，所以也沒有任何損失，對吧?
zts222e	依蘭特 練金術協會(使用)
zts233e	依蘭特 商店(使用)
zts257e	依蘭特 流行商店 (使用)
zts266e	是的， 請說
zts267e	請告訴我關於飾品的事情
zts268e	飾品是能夠讓每位冒險家變成流行先驅， 型男型女的物品
zts269e	我看你好像比較需要功能性的東西啊，嗯…
zts270e	飾品就像它的外觀一樣，擁有一種很神秘的力量，如果我說很像魔法融合的感覺，這樣你可以了解嗎?
zts271e	而且還有附屬效果的欄位，可以增加新的能力
zts272e	啊? 可以再說詳細一點嗎?
zts273e	呵呵，我就知道你對這個有興趣，我再說詳細一點好了
zts274e	飾品有附屬效果欄位與附屬效果等級
zts275e	附屬效果欄位是要看可以放入幾個附屬效果，附屬效果等級要看可以放入的附屬效果的最高等級，了解了嗎?
zts276e	哦~ 那要怎麼加入附屬效果呢?
zts277e	加附屬效果需要使用賽隆！！ 賽隆是一種閃閃發亮的神秘寶石
zts278e	賽隆的等級會決定附屬效果的等級，所以等級越高越好，知道了嗎?
zts279e	還有一件事情！！ 附屬效果是無法讓你去選擇的！！ 這一切都要交給命運了！！
zts280e	去哪裡才能找到賽隆呢?
zts281e	使用吉溫之石之加上賽隆精練劑進行精練，就可以得到賽隆了
zts282e	精練劑可以在練金術協會購買
zts283e	時空鬥技場 (依蘭特)
zts285e	參加個人無限對戰！
zts286e	參加家族無限對戰！
zts287e	查看時空鬥技場名單
zts290e	請選擇要移動的村莊
zts291e	林克山地 艾彌爾 村莊 (1000黃金)
zts292e	買多多(狼人村莊)
zts294e	瑪妮名品(狼人村莊)
zts297e	乒乓建築所 (狼人 村莊)
zts299e	回收雜貨店 (狼人村莊)
zts301e	時空鬥技場 (艾彌爾)
zts304e	中央平原 依蘭特村莊 (免費)
zts305e	時空鬥技場 直接進入
zts306e	直接參加對戰與時空鬥技場吧！
zts307e	act1導引
zts308e	ACT 1，比斯特之樹
zts309e	新手冒險家們，現在我要告訴你們第一個課題
zts310e	鎮壓罷工的狼人礦務們！！
zts311e	罷工事件已經慢慢的演變成嚴重的戰爭…
zts312e	混亂中出現的英雄們
zts313e	阻擋他們的強敵
zts314e	讓世界掉進危機的比斯特之樹的復活！
zts315e	你們是否能通過這些重重考驗呢?
zts316e	…目前才1級呢…
zts317e	注意了！！現在開始要進行低等級冒險家的殘酷(? )冒險囉！！
zts318e	act2導引
zts319e	集合大家的力量，終於突破了各種危機…
zts320e	但是，這還不是結束，不知道比斯特之樹什麼時候會復活
zts321e	擁有可以封印比斯特之樹的鑰匙的神秘種族凱梅特…
zts322e	但是狼人與凱梅特之間有著許多的怨恨
zts323e	他們的怨恨只有一個結果…那就是戰爭！！
zts324e	危機還沒有結束
zts325e	即將再次展開的危機與新的冒險！！
zts326e	ACT 2，遠古魔物的復活
zts327e	等待吧， 我的綿羊正在哭泣著…
zts328e	依蘭特 NPC 對話
zts329e	還是新手啊… 哈哈
zts330e	可是我還是很想努力的嚐試看看
zts331e	勇氣可嘉… 但是並沒有所想的那麼簡單，要保重啊！
zts332e	狼人在罷工? 什麼意思?
zts333e	不知道耶… 好像他們生活的環境不太好… 好像有很多問題呢…
zts334e	哼，絕對不能對狼人族的人太好啦！不然他們會沒大沒小的！！喂！你去幫我揍他們吧！！
zts335e	哈哈… 這個嘛… 我還是先了解一下詳細的狀況好啦
zts336e	什麼狀況啊！明明就是他們不想工作，在那邊耍賴！
zts337e	狼人那些傢伙… 聽說比想像中還要狠毒?
zts338e	唉呀… 世界要滅亡了… 真令人擔心啊！！
zts339e	可是… 感覺好像是有隱情…
zts340e	什麼隱情啦！！ 一定就是那些沒出息的傢伙，愛鬧彆扭，才在那裡罷工示威的…
zts341e	即將要發動戰爭了嗎…
zts342e	如果人類與狼人引發戰爭，到底誰會贏呢?
zts343e	唉…怎麼搞成這樣呢? 沒想到狼人的能力就這麼一點！！
zts344e	戰爭就這樣結束了啊… 狼人這些傢伙… 搞內鬨！！ 活該啦！！
zts345e	以後事情會演變成什麼地步呢…… 擔憂的都睡不著了呢
zts346e	只好努力到最後了！！ 絕對不能輕言放棄！
zts347e	唉… 不行啊，這次真的沒辦法了！
zts348e	唉呀！ 我怎麼會出生在這個時代呢，活著是多麼辛苦啊……
zts349e	你好啊~最近沒什麼事情吧?
zts350e	你好！ 雖然你來到這裡並不久，但是還是請多多指教喔
zts351e	為了我們的村莊戰鬥吧！加油！
zts352e	罷工啊，真糟糕…… 希望不要有什麼問題啊……
zts353e	村莊的氣氛也變的不是很好…… 越是這樣我們越要提起精神，不是嗎?
zts354e	啊~真糟糕啊……
zts355e	辛苦你了
zts356e	啊~絕望了…… 我已經不想說什麼話了……
zts357e	好厲害喔！你真的是我的英雄啊！
zts358e	看到你就想到我年輕的時候呢~
zts359e	你問我年輕的時候怎樣喔? 就像你一樣呆呆的啊！哈哈哈哈哈！
zts360e	我講一個有趣的事情給你聽好了，噗！
zts361e	就是啊~
zts362e	噗~！
zts363e	太好笑了，說不出來！
zts364e	喔~來的正好，我上次要跟你說的事情~
zts365e	這次我說的出來了，我不會笑出來的.
zts366e	就是啊~
zts367e	以前啊~有一個箭鼠……
zts368e	…………………
zts369e	噗~噗~！！！
zts370e	哈哈哈哈哈！ 那個刺鼠啊~哈哈哈，噗哈哈！
zts371e	還是不行，我下次在跟你說好了，噗哈哈哈哈哈哈！
zts372e	情況越困苦越不能失去笑容喔~！
zts373e	所以我決定說一個笑話給你聽！
zts374e	喂！ 你去哪裡啊? 不聽我說了嗎?
zts375e	喂~~~~！！
zts376e	好笑的故事? 在這種情況下你還能說這種事情嗎?
zts377e	啊，很感謝你來跟我說話！！ 為了表示感謝，我說一個好笑的故事給你聽…… 喂！ ~你要去哪裡啊！
zts378e	今天特別一點，說一個關於從比斯特中出來的巴比安的故事！
zts379e	如果他們跑過來自爆的話，他們就會變成洋芋片喔！~哈哈哈哈哈哈
zts380e	啊哈哈哈哈哈……………
zts381e	哼！一點都不好笑！ 我要去撞牆了！
zts382e	嗨~你好！我說一個故事給你聽喔~
zts383e	當巴比安自爆的時候，會變成什麼呢?
zts384e	答案是……
zts385e	洋！芋！片！！！ 啊哈哈哈哈哈哈哈哈！很好笑吧?
zts386e	這是我最近想到的笑話中最好笑的了！ 噗哈哈哈哈哈哈哈哈哈！
zts387e	喂！ 你是一個小新手耶！ 請你動作快一點好嗎? ！
zts388e	喂~！ 還不給我跑快一點? ！
zts389e	啊！ 骯髒的狼人！ 吵鬧的狼人！
zts390e	唉呀~唉呀~氣死我了！
zts391e	依蘭特到底會變成什麼樣呢?
zts392e	我們都會死的，對！！ 誰都逃不掉~ 全都完了！！！
zts393e	快來啦！ 我跟朋友說我跟你很熟，但是他們都不相信呢~可以麻煩你在這邊幫我簽名嗎?
zts394e	天氣這麼的晴朗~又沒有事情可以做~這就是我想要的生活啊~
zts395e	幹麻去加入Nos Camp啊? 現在也不晚啦，快來加入羅布格近衛隊吧！
zts396e	不要在那邊晃來晃去了！ 我還要查看有沒有巡邏的人過來呢
zts397e	煩死了，到底發生什麼事情啊，狼人為什麼要罷工呢！
zts398e	快去幫幫忙啊！ 這才是你要做的事情不是嗎?
zts399e	嗯… 狼人傢伙… 真的吵死了…
zts400e	真厲害啊，這些煩人的傢伙！
zts401e	我都快煩死了，不知道這樣是不是又要有戰爭了
zts402e	哼！你看吧！！狼人族傢伙，還敢跟人類發動戰爭！哼哼！
zts403e	不要跟我說話了，我的人生已經毀了
zts404e	忠誠！目前沒有任何問題
zts405e	依蘭特 隨意人 對話
zts406e	聽說很多冒險家來臭屁一下之後，都消失不見了呢…你啊? 好好加油吧? ！
zts407e	嗯? 還活著啊? 也不是很意外啦~最近又沒發生多大的事情……再加把勁吧！
zts408e	喔~聽說你滿有實力的喔，但是你也不要太驕傲喔…我說的有道理吧?
zts409e	嗯? 還是說你只是到處惹了很多麻煩? 算了~ 無所謂啦！
zts410e	冒險家的劍當中，製造號碼以NTR40U-10X 開頭的就代表它是一把好劍喔，當初就是因為它的製造費用太貴，所以鐵匠終止生產了呢
zts411e	擦拭劍的時候，要用高級的擦巾來擦，這樣才可以把劍擦的又乾淨又發亮
zts412e	穿著皮衣的時候，要以36.5度挨打喔！！ 因為皮革的成分可以在這個角度發揮最大的作用！！
zts413e	弓線分為用三條線綁20次的與用五條線綁14次的兩種~ 聽說後者可以減少0.2%的手指疲勞喔，不過實際上是如何我就不知道了
zts414e	啊，這個裝備…真可惜啊…如果在上次促銷活動的時候買，還可以得到贈品呢.
zts415e	依蘭特礦山管理人對話
zts416e	羅布格大人的礦山是在東方魔伊中擁有最多吉溫之石的礦山呢！！這裡的人都用那個資源來過生活~
zts417e	呵呵，狗有時後也會咬自己主人啦
zts418e	啊~臭傢伙！！被狼人族搞的我快活不成了！
zts419e	唉呀… 天下大亂了… 大亂… 要跟狼人族發動戰爭了… 唉呀…
zts420e	終於可以喘一口氣了… 幸虧啊！我早知道狼人族那些傢伙會變成這樣啦！
zts421e	我啊！ 嗝~！ 我已經沒有生存的意義了… 所以我喝了一杯！ 嗝~！ 聽說因為什麼樹根的關係我們都要死了，嗝~！
zts422e	真是苦了那些狼人族呢！ 聽說前陣子羅布格卿還獎勵了優秀的狼人族礦務呢！ 現在誤會已經解除了… 還好已經沒事了！
zts423e	礦山前的管理人
zts424e	冒險家啊！ 你可能不會相信，但是，我現在被那些狼人族趕出來了！
zts425e	真不知道他們是不是吃錯藥了！ 突然對我這樣！
zts426e	冒險家專門解決這種事情的對吧? 幫我想個辦法吧~
zts427e	什麼? 什麼? 你在說什麼啊? 什麼罷工啊?
zts428e	唉呀… 放屁的人總是會先發脾氣… 明明他們什麼事情都沒做，在那邊搞什麼啊? 狼人族這些傢伙果然令人討厭！！！
zts429e	什麼? 什麼? 你在說什麼啊? 戰爭? ? ?
zts430e	嗯哼！ 我就知道會這樣！他們怎麼可能搞得贏戰爭啊！
zts431e	真糟糕啊，誰可以來幫我解決呢……
zts432e	好像對狼人族他們太疏忽了，以後我要多照顧他們才對
zts433e	艾彌爾警衛1
zts434e	哼哼 ！人類來這邊幹什麼啊！
zts435e	歡迎啊！人類！你是我們的朋友！
zts436e	艾彌爾警衛2
zts437e	我們從現在才要開始，我們很感激你呢！
zts438e	艾彌爾警衛3
zts439e	艾彌爾現在很憤怒！巴特這些傢伙完蛋了！
zts440e	艾彌爾警衛4
zts441e	發現人類！！ 但是…我們的戰爭已經結束了… 哼哼！！
zts442e	艾彌爾 礦務長
zts443e	很多礦務向我提起過你，謝謝你的協助！
zts444e	艾彌爾 新手礦務
zts445e	努力工作，汪汪！ 挖石頭工作，汪汪！
zts446e	個人商店POPUP
zts447e	使用個人商店
zts604e	新手冒險家的修練
zts605e	為了脫離新手冒險家的形象，只有修練之路！
zts606e	我們會協助達成目標的人，讓他們更快的成長.
zts607e	None
zts608e	哇~辛苦了！希望你趕快成長喔！
zts609e	保護依蘭特村莊1 (開始)
zts610e	村莊周圍有太多的危險動物了，再這樣下去，不會有人來依蘭特了
zts611e	協助村莊的事情，也是Nos Camp所要做的事情吧? 希望勇敢的大家多來幫忙啊！
zts612e	保護依蘭特村莊1 (完成)
zts614e	保護依蘭特村莊2 (開始)
zts615e	因為狼人族的事情很煩惱，村莊周圍變的更危險了
zts616e	應該只有Nos Camp的冒險家可以幫忙了，希望幫我們讓依蘭特的村民得到安寧
zts617e	保護依蘭特村莊2 (完成)
zts618e	真的幫了很多忙，以後也會持續的幫我們吧?
zts619e	神殿消滅任務1 (開始)
zts620e	比斯特神殿現在變的很危險，需要冒險家們的協助！
zts621e	神殿消滅任務1 (完成)
zts622e	神殿消滅任務2 (開始)
zts623e	越來越多的魔物在佔領神殿了！冒險家們加油！
zts624e	神殿消滅任務2 (完成)
zts625e	跟那些魔物戰鬥，很辛苦吧！辛苦了！
zts626e	守住礦山(開始)
zts627e	喂~有誰可以幫忙啊！幫我趕走礦山的狼人族礦務啦~！
zts628e	謝謝啦！情況應該會好轉一些了吧！
zts629e	狼人族戰鬥1 (開始)
zts630e	我是山露古，Nos Camp對艾彌爾士兵們下了懸賞金
zts631e	有興趣的冒險家請參考喔
zts632e	狼人族戰鬥1 (完成)
zts633e	辛苦了！
zts634e	狼人族戰鬥2 (開始)
zts635e	我是山露古，Nos Camp對巴特士兵們下了懸賞金
zts636e	狼人族戰鬥2 (完成)
zts637e	練金術協會 打工1 (開始)
zts638e	嘿嘿，你好啊，我有一個需要的東西，可以幫我取來嗎?
zts639e	練金術協會 打工1 (完成)
zts640e	嘿嘿，感恩啦！可是你給我這個幹麻啊?
zts641e	啊，對吼~感恩喔，嘿嘿
zts642e	練金術協會 打工2 (開始)
zts643e	練金術協會 打工2 (完成)
zts644e	練金術協會 打工3 (開始)
zts645e	練金術協會 打工3 (完成)
zts646e	練金術協會 打工4 (開始)
zts647e	練金術協會 打工4 (完成)
zts648e	練金術協會 打工5 (開始)
zts649e	練金術協會 打工5 (完成)
zts650e	練金術協會 打工6 (開始)
zts651e	練金術協會 打工6 (完成)
zts652e	練金術協會 打工7 (開始)
zts653e	練金術協會 打工7 (完成)
zts654e	練金術協會 打工8 (開始)
zts655e	練金術協會 打工8 (完成)
zts656e	隱密的訂單1 (開始)
zts657e	不要多問！你只要幫我抓我想要的寵物就好了，OK?
zts658e	隱密的訂單1 (完成)
zts659e	辛苦了，快走吧！
zts660e	不要多問！你只要幫我抓我想要的寵物就好了，OK?
zts661e	林克山地保護任務1(開始)
zts662e	變成武術天地的林克山地
zts663e	為了可憐的艾彌爾一家，需要冒險家的協助啊~
zts664e	林克山地保護任務1(完成)
zts665e	狼人族們很感謝你們呢.謝謝你做了善事
zts666e	林克山地保護任務2(開始)
zts667e	林克山地裡有好多很恐怖的魔物，冒險家們請你們幫忙啊！
zts668e	林克山地保護任務2(完成)
zts669e	林克山地的危險變少了，謝謝<pname>
zts670e	凱梅特 戰鬥 (開始)
zts671e	與凱梅特同派的達克希，正在協助比納
zts672e	為了林克山地的安全，也只能跟他們對抗了
zts673e	幫我們打倒霸佔著雪銀籃密殿的達克希們吧
zts674e	凱梅特 戰鬥 (完成)
zts675e	為了應付達克希們的魔法很辛苦吧? 真的辛苦你了
zts676e	嗯，在這世上我有幾個很討厭的東西，其中一個就是不死系
zts677e	唉~一副沒概念的流行~看了就討厭！
zts678e	只要有人可以幫我打敗不死系，我一定會報答他的！
zts679e	唉呀，謝謝你啊<pname>，還有空親手幫我解決這種事情，最近是不是很閒呢?
zts680e	時空 故事
zts681e	潮濕的空氣…
zts682e	沒有風，陰暗又黏搭搭的感覺
zts683e	到底在發生什麼事情呢?
zts684e	你在發神經嗎?
zts685e	這裡有很多地雷！！
zts686e	像你這種小毛頭不能進來這裡！
zts687e	又見面了！膽大妄為的傢伙！
zts688e	想逃離此地嗎?
zts689e	那就請你去啟動隱藏在某個地方的拉桿吧！！
zts690e	這樣出口就會打開了…
zts691e	還活著啊? 運氣不錯嘛~
zts692e	到這旁邊的房間，就可以找到拉桿了！
zts693e	趕快離開這裡吧！
zts694e	是光！！ 看到拉桿了
zts695e	這裡就是出口嗎? ，可是…
zts696e	時空 故事2
zts697e	聽不到任何聲音
zts698e	隱藏在寂靜背後的黑暗…到底是什麼呢…
zts699e	感覺不是很好，趕快離開這裡吧
zts700e	沒有出口的死路? 怎麼一回事?
zts701e	真的可以離開這裡嗎?
zts702e	啊，那邊有拉桿！
zts703e	這個空間在搖晃！感覺快倒塌了！！
zts704e	我要趕快離開這裡！！
zts705e	此路不通，我要回頭了，快！！
zts706e	逃離時空的出口就在眼前！
zts707e	趕快逃離此地吧！！
zts708e	時空 故事3
zts709e	有兩條路，其中一條路一定是陷阱！
zts710e	等待抉擇的兩條通路…
zts711e	感覺好像有人在背後嘲笑著…
zts712e	有兩個拉桿，其中一個一定是陷阱！
zts713e	如果不做選擇，關閉的門就不會被打開！
zts714e	溫暖的光芒與香氣… 還有…
zts715e	時空 故事4
zts716e	好多魔物湧出！！快幫幫我！！
zts717e	注意！！ 有很多魔物靠往這裡過來了！
zts718e	還沒結束！
zts719e	終於整理好了，跟我來吧！
zts720e	要把魔物出現的通路擋住.
zts721e	只要拉動那邊的拉桿，通路就會被開啟！
zts722e	快去啟動吧！！
zts723e	時空 故事5
zts724e	詭異的風對冒險家說
zts725e	魔物正在接近…
zts726e	他們並不是想要逃離到時空之外…
zts727e	他們好像在追趕著什麼，如此的亢奮…殘暴…
zts728e	看到受傷的冒險家了
zts729e	這空間有著可疑的味道… 應該可以找到什麼線索
zts730e	恐怖的傢伙出現了…
zts731e	趕快跑啊… 咳咳咳！！
zts732e	他即將失去意識… 看來已經沒救了
zts733e	該死的傢伙！
zts734e	啊！！太強了！！無法打贏他了！
zts735e	保衛隊1 ： 救出冒險家！！
zts736e	保衛隊2 ： 攻擊魔物！！
zts737e	保衛隊3 ： 打敗敵人！
zts738e	保衛隊1 ： 獲勝！！
zts739e	保衛隊2 ： 我們打敗了！
zts740e	保衛隊3 ： 魔物被擊敗了！！
zts741e	事情嚴重了…最近第一次碰到這麼強大的魔物，一定有某個東西在操空著時空裂縫…到底是誰呢?
zts742e	時空 故事6
zts743e	沒有任何線索的路線.
zts744e	感覺快要倒塌的時空裂縫…
zts745e	要快行動了！！
zts746e	發現了一個很詭異的拉桿
zts747e	有可能成為尋找出口的線索！！！
zts748e	激烈的戰鬥結束後，看不到的出口慢慢出現了！
zts749e	那邊就是可以離開此地的出口！
zts750e	時空 故事7
zts751e	強風來襲！ 讓人無法好好的站立著！
zts752e	第一次感受到時空的縫隙這麼不穩定…
zts753e	要想個辦法才行！！
zts754e	看到一個通路，有一種古怪的氣氛
zts755e	難道，這裡就是出口嗎…
zts756e	但是現在是堵住的狀態
zts757e	應該有開啟出口的拉桿
zts758e	看到一個巨大的石像，應該可以用自己的力量移動
zts759e	強風停了.有一種香氣飄過來
zts760e	封印一部分好像被解除了
zts761e	溫暖的風，親吻著我的臉頰起來
zts762e	穩定的氣壓，可以確定封印已被解除！！！
zts763e	開始找出口吧！！
zts764e	通路打開了
zts765e	某人利用製作出來的石像，讓空間扭曲… 有人正在玩弄著這世界上的生命
zts766e	一定要找到那個人，要阻止他！
zts767e	時空 故事8
zts768e	尤達在搗亂的時空…
zts769e	要趕快找出來才行
