zts1e	最棒的服務
zts89e	*上面的圖只是劍士的使用例子。[n]弓手與咒術師可參考其他商品的示範~~[n][n]我就是我~跟別人有著相同的髮型? 遜斃了！！[n]為了喜歡不同風格的帥氣的你所準備的髮型商品！！[n]冒險家無法使用。[n]
zts90e	髮臘A 弓手大大~ 愛死你了！
zts91e	*上面的圖只是弓手的使用例子。[n]戰士與咒術師可參考其他商品的示範~~[n][n]我就是我~跟別人有著相同的髮型? 遜斃了！！[n]為了喜歡不同風格的帥氣的你所準備的髮型商品！！[n]冒險家無法使用。[n]
zts92e	髮臘A 咒術大大~ 最棒了！
zts93e	*上面的圖只是咒術師的使用例子。[n]弓手與劍士可參考其他商品的示範~~~[n][n]我就是我~跟別人有著相同的髮型? 遜斃了！！[n]為了喜歡不同風格的帥氣的你所準備的髮型商品！！[n]冒險家無法使用。[n]
zts94e	超有型的流行先鋒！
zts95e	髮臘B 劍士的變身！
zts96e	*上面的圖只是劍士的使用例子。[n]弓手與咒術師可參考其他商品的示範~~[n][n]我就是我~跟別人有著相同的髮型? 遜斃了！！[n]為了喜歡不同風格的帥氣的你所準備的髮型商品！！[n]冒險家無法使用。[n]
zts97e	髮臘B 弓手的重生！
zts98e	髮臘B 咒術師的華麗登場！
zts99e	新的髮色
zts100e	紅色染髮劑
zts101e	可以染成紅色頭髮[n]
zts102e	漂亮的髮色演出
zts103e	綠色染髮劑
zts104e	可以染成綠色頭髮[n]
zts105e	去哪裡弄得頭髮?
zts106e	白色染髮劑
zts107e	可以染成白色頭髮[n]
zts108e	髮色的革命！
zts109e	藍色染髮劑
zts110e	可以染成藍色頭髮[n]
zts111e	好搭喔~
zts112e	黑色染髮劑
zts113e	可以染成黑色頭髮[n]
zts114e	在遊戲裡，也要搞個自我宣傳！
zts115e	自我介紹書
zts116e	別人來查看我的情報時所顯示的自我介紹內容。[n](在肖像上點擊滑鼠右鍵可看到的情報窗)[n]最多可輸入30字中文、60字英文。[n]
zts117e	我要告訴全世界
zts118e	全頻擴音器12個
zts119e	對全伺服器內的所有玩家傳送訊息。[n]使用時在聊天窗內對全體發送自己的訊息。[n][使用方法][n]雙擊擴音器後輸入訊息即可。[n]
zts120e	重要的話要長長久久
zts121e	固定訊息泡泡 10個
zts122e	使用時30分鐘內都不會使訊息泡泡消失。[n]但是無法更改訊息內容，[n]離線也會消失，[n][使用方法][n]雙擊固定訊息泡泡後，輸入訊息即可。[n]若中途想要關掉時，在聊天窗中輸入 '$關閉' 即可。[n]固定訊息泡泡消失之前再使用一個時，[n]前一個訊息會消失。[n]
zts123e	姊姊們都說好口愛呢
zts124e	同伴雷登的套裝
zts125e	可變成帥氣雷登的模樣，[n]移動速度會提升2。[n]同伴被保管到彈珠時，[n]皮膚會消失。[n]
zts126e	有沒有被我迷倒啊?
zts127e	同伴麥克的套裝
zts128e	可變成帥氣麥克的模樣，[n]移動速度會提升2。[n]同伴被保管到彈珠時，[n]皮膚會消失。[n]
zts129e	他可是有血統的名犬呢！
zts130e	同伴哼的套裝
zts131e	可變成帥氣哼的模樣，[n]移動速度會提升2。[n]同伴被保管到彈珠時，[n]皮膚會消失。[n]
zts132e	30天內基本SP增加！
zts133e	特殊人物 獎章
zts134e	每天1小時以上可變身成特殊人物！還有好消息！[n][n]每天配給的基本SP點數將增加至[n]一萬點+ 三萬點。[n]共四萬點。[n](剩下時會累積10%)[n][n]每天每天 30天內享用 4萬點的SP吧！[n]
zts135e	manitto 活動禮物
zts136e	友情的獎章
zts137e	因manitto 活動而得到的獎章。[n]使用時經驗值獲得量會提升 5%。[n]跟擁有獎章的人組隊時，[n]經驗值獲得量會再增加 5%。[n](使用期限10天)[n][n]
zts138e	還以為會用不完…
zts139e	混沌種子 99個
zts140e	購買99個 混沌種子。[n]
zts141e	掉落谷底的面子!
zts142e	面子提升藥水 3個
zts143e	面子會提升到最大值100。[n]
zts144e	安全的強化裝備
zts145e	防爆護符
zts146e	使用後在強化裝備或衝裝備時[n]若是強化裝備或是衝裝備,裝備都不會消失.[n]衝裝備時, 比現在稀有等級低的時候[n]可維持目前的稀有等級.[n]使用後會產生一個保護護符的狀態. [n][n]武器和衣服都可使用[n]在強化裝備後無論成功或失敗都會消耗一次 [n]
zts147e	等級固定解除護符
zts148e	可重新強化等級已經被固定的裝備.[n]在使用護符之後, 選擇被固定等級的裝備, [n]可解除等級固定的狀態.[n]武器和衣服都可使用[n]
zts149e	防爆護符5個
zts150e	解除等級固定符咒5個
zts151e	新時裝
zts152e	貓咪帽
zts153e	所有屬性之力的抵抗增加 1[n]所有屬性之力增加 10[n]
zts154e	特別之選擇
zts155e	小驢帽
zts156e	裝備時以一定機率不受到食人花尖叫的傷害.[n]最大HP增加100 [n]最大MP增加50 [n]
zts157e	很時髦的
zts158e	帥氣牛仔帽
zts159e	可發動致命打擊機率 增加2%[n]致命打擊時, 增加的傷害量增加10%[n]被致命打擊打到的機率減少1%[n]
zts160e	超可愛的
zts161e	吱吱猴帽
zts162e	有高機率可免除[n]2等級以下的負面效果的機率10%[n]
zts163e	看起來很有力量的
zts164e	羊角帽
zts165e	最大HP增加 200 [n]最大MP增加200 [n]
zts166e	香香的
zts167e	花花帽
zts168e	被致命打擊打到的機率減少2%[n]被致命打擊時的傷害減少20%[n]
zts169e	企鵝走路的樣子
zts170e	企鵝帽
zts171e	所有防禦力上升 15[n]所有攻擊力上升 15[n]
zts172e	有男人味的
zts173e	魔術師之帽
zts174e	對魔法攻擊, 有 8%機率, 減少  4%傷害.[n]對遠距離攻擊, 有 8%機率, 減少  4%傷害.[n]
zts175e	超級可愛的
zts176e	大耳朵髮箍
zts177e	特定的效果以高機率免除[n]士氣值增加 5[n]
zts178e	愛護自然的
zts179e	花盆帽
zts180e	對高等級魔物有追加的70傷害[n]對高等級動物有追加的100傷害[n]
zts181e	為了讓我的寵物頭腦發達
zts182e	聰明的寵物飼料
zts183e	餵食後，寵物產生撿拾物品的能力![n]只要使用1次就可持續擁有特殊效果[n]使用方法:選擇寵物後，再餵食飼料[n][n][功能說明][n][自動撿拾]打怪所掉落的物品[n](D模式時才可以使用, 只撿拾有玩家擁有權的物品)[n]調整寵物可以撿拾掉在地上的物品[n]寵物撿拾的物品會直接送到玩家的物品欄[n][n][注意事項][n]把寵物放進保管晶球時，它的功能會消失[n]
zts184e	所有屬性之力的抵抗增加 1[n]所有屬性之力增加 10[n]此物品無法進行交易。[n]
zts185e	裝備時以一定機率不受到食人花尖叫的傷害.[n]最大HP增加100 [n]最大MP增加50 [n]此物品無法進行交易。[n]
zts186e	可發動致命打擊機率 增加2%[n]致命打擊時, 增加的傷害量增加10%[n]被致命打擊打到的機率減少1%[n]此物品無法進行交易。[n]
zts187e	有高機率可免除[n]2等級以下的負面效果的機率10%[n]此物品無法進行交易。[n]
zts188e	最大HP增加 200 [n]最大MP增加200 [n]此物品無法進行交易。[n]
zts189e	被致命打擊打到的機率減少2%[n]被致命打擊時的傷害減少20%[n]此物品無法進行交易。[n]
zts190e	所有防禦力上升 15[n]所有攻擊力上升 15[n]此物品無法進行交易。[n]
zts191e	對魔法攻擊, 有 8%機率, 減少  4%傷害.[n]對遠距離攻擊, 有 8%機率, 減少  4%傷害.[n]此物品無法進行交易。[n]
zts192e	特定的效果以高機率免除[n]士氣值增加 5[n]此物品無法進行交易。[n]
zts193e	對高等級魔物有追加的70傷害[n]對高等級動物有追加的100傷害[n]此物品無法進行交易。[n]
zts194e	Notuse
zts195e	Notuse
zts196e	Notuse
zts197e	Notuse
zts198e	Notuse
zts199e	Notuse
zts200e	Notuse
zts201e	Notuse
zts202e	Notuse
zts203e	Notuse
zts204e	無限地使用
zts205e	超大型倉庫(永久)
zts206e	當在迷你屋內使用後，可增加56個放置空間；而且可以長期使用。
zts207e	來裝飾你的露台吧
zts208e	粉紅木櫃
zts209e	能興建在迷你屋的露台位置
zts210e	白色木櫃
zts211e	松木餐桌
zts212e	日式小餐桌
zts213e	櫻桃木餐桌
zts214e	大理石餐桌
zts215e	橘色生日派對專用桌
zts216e	粉紅生日派對專用桌
zts217e	金色棉羊雕像
zts218e	銀色棉羊雕像
zts219e	銀狐雕像
zts220e	金狐雕像
zts221e	能力可提升至70的火精靈，但需由零開始育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts222e	能力可提升至70的水精靈，但需由零開始育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts223e	能力可提升至70的光精靈，但需由零開始育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts224e	能力可提升至70的闇精靈，但需由零開始育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts225e	能力已提升至40的火精靈，不需要從新育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts226e	能力已提升至40的水精靈，不需要從新育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts227e	能力已提升至40的光精靈，不需要從新育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts228e	能力已提升至40的火精靈，不需要從新育成。[n]裝備前可交易[n]但裝備後會立即鎖定，不能再交易。[n]
zts229e	物理防禦+4,[n]遠距離防禦+4,[n]魔法防禦+4,[n]迴避+4,[n]所有屬生抵抗力+1,[n]所有屬性能力+10但不會顯示,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts230e	物理防禦+4,[n]遠距離防禦+5,[n]魔法防禦+4,[n]對惡意效果有一定的抵抗力,對食人花尖叫有顯著抵抗力,[n]HP最大值+100,[n]MP最大值+50,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts231e	物理防禦+3,[n]遠距離防禦+6,[n]魔法防禦+4,[n]迴避+2,[n]會心一擊機率增加2%,[n]
zts232e	物理防禦+５,[n]遠距離防禦+３,[n]魔法防禦+１,[n]2lv 以下的惡意效果有10%機率防禦,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts233e	物理防禦+13,[n]遠距離防禦+13,[n]魔法防禦+13,[n]迴避+2,[n]最大HP增加200[n]最大MP增加200[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts234e	遠距離防禦+7,[n]魔法防禦+3,[n]迴避+2,[n]被會心一擊擊中機率減少2%,[n]被會心一擊擊中傷害-20%,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts235e	物理防禦+5,[n]遠距離防禦+5,[n]魔法防禦+5,[n]迴避+5,[n]所有攻擊力+15,[n]所有防禦力+15,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts236e	物理防禦+1,[n]遠距離防禦+2,[n]魔法防禦+4,[n]對魔法攻擊有8%機率減少4%傷害,[n]對遠程攻擊有8%機率減少4%傷害,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts237e	物理防禦+12,[n]一定機率令出血無效,[n]角色士氣增+5,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts238e	物理防禦+2,[n]遠距離防禦+10,[n]魔法防禦+3,[n]對高級怪物追加70傷害,[n]對高級動物系追加100傷害,[n]劍士、弓手、咒術師專用,[n]裝備後會立即鎖定，不能再交易。[n]
zts239e	冒險家登山背包10日
zts240e	Notuse
zts241e	冒險家登山背包30日
zts242e	冒險家登山背包60日
zts243e	同伴專用背包10天
zts244e	同伴專用背包30天
zts245e	同伴專用背包60天
zts246e	寵物的次元倉庫10天
zts247e	寵物的次元倉庫30天
zts248e	寵物的次元倉庫60天
zts249e	Notuse
zts250e	Notuse
zts251e	Notuse
zts252e	Notuse
zts253e	Notuse
zts254e	守護天使之祝福10個
zts255e	Notuse
zts256e	Notuse
zts257e	Notuse
zts258e	生產設施耐力券40 個
zts259e	生產設施耐力券99 個
zts260e	報酬2倍確定券10個
zts261e	生產點數增值券10個
zts262e	生產點數增值券30個
zts263e	激運寶箱A
zts264e	激運寶箱B
zts265e	激運寶箱C
zts266e	[n]
zts267e	簡單容易地維修耐用度
zts268e	在進入生產介面時可使用這張優惠券[n] 即可回復300點耐用度
zts269e	迷你遊戲可得雙倍報酬
zts270e	如果你有優惠券在身上，系統會詢問你是否使用[n] 決定使用的話，可享有雙倍的報酬.[n]
zts271e	你想要多幾多產品
zts272e	生產點數增值券10個
zts273e	一張補充券可回復500點生產點數[n]生產點數極限為2000點[n]
zts274e	生產點數增值券30個
zts275e	使用所有的存貨清單
zts276e	使用所有的存貨清單 [n] 10 使用期 [n]不能與獎章同時使用
zts277e	使用所有的存貨清單 [n] 30 使用期 [n]不能與獎章同時使用
zts278e	使用所有的存貨清單 [n] 60 使用期 [n]不能與獎章同時使用
zts279e	快來使用同伴專用背包吧!
zts280e	NotUse
zts281e	NotUse
zts282e	NotUse
zts283e	隨時隨地使用倉庫吧!
zts284e	可透過寵物隨時隨地打開倉庫。[n]10天使用期[n]
zts285e	可透過寵物隨時隨地打開倉庫。[n]30天使用期[n]
zts286e	NotUse
zts287e	NotUse
zts288e	請我們得到創世女神的祝福
zts289e	創世女神的祝福5個
zts290e	Notuse
zts291e	創世女神的祝福10個
zts292e	對玩家進行祝福
zts293e	守護天使之祝福5個
zts294e	獲得經驗值+ 50%. [n] 離動速度 +2 [n] 可使用1小時 [n]
zts295e	雙倍報酬的吸引力
zts296e	超級道具降臨吧!
zts297e	Notuse
zts298e	Notuse
zts299e	Notuse
zts300e	使用後,戰鬥和職業的經驗值得100%加乘 (一個持續時間為1小時,離線後效果會消失)
zts301e	開啟後隨機獲得以下物品:蒙面俠護眼罩A、[n]蒙面俠護眼罩B、[n]蒙面俠護眼罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n]等級固定解除護符5個。[n]
zts302e	開啟後隨機獲得以下物品:刺客面罩A、[n]刺客面罩B、[n]刺客面罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n]等級固定解除護符5個。[n]
zts303e	開啟後隨機獲得以下物品:超能眼罩A、[n]超能眼罩B、[n]超能護眼罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n]等級固定解除護符5個。[n]
zts304e	令夢古成為寵物
zts305e	夢古夢古雕塑像
zts306e	令夢古註冊成為寵物
zts307e	劍鬥士夢古雕塑像
zts308e	黑色夢古雕塑像
zts309e	開啟後隨機獲得以下物品:蒙面俠護眼罩A、[n]蒙面俠護眼罩B、[n]蒙面俠護眼罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n] 防爆護符、等級固定解除護符[n] 聰明寵物飼料 [n]sp補充劑(大)等等
zts310e	開啟後隨機獲得以下物品:刺客面罩A、[n]刺客面罩B、[n]刺客面罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n] 防爆護符、等級固定解除護符[n] 聰明寵物飼料 [n]sp補充劑(大)等等
zts311e	開啟後隨機獲得以下物品:超能眼罩A、[n]超能眼罩B、[n]超能護眼罩C、[n]夢古寵物晶球、[n]劍鬥士夢古晶球、[n]火炎夢古寵物晶球、[n] 防爆護符、等級固定解除護符[n] 聰明寵物飼料 [n]sp補充劑(大)等等
zts312e	精靈的能力 UP!UP!
zts313e	精靈醒覺
zts314e	1小時內加強精靈的能力[n]精靈醒覺時間結束前都無法變更精靈[n][n]
zts315e	設定迷你屋時, 將要租用可以使用56格空格的[n]倉庫.[n]購買後,將在第一次設定的時候,開始時間確認.[n][注意事項][n]因為期限過了以後,倉庫將會消失,所以在倉庫消失之前,就要先準備好[n]其他倉庫會比較好.[n]但是, 由於其他倉庫的容量可能會比原有的容量小,就會有無法領取的[n]物品情況發生,所以在期限到期前,先做好[n]整理.[n](注意! 是指無法交易的道具.)[n]
zts316e	設定迷你屋時,56格空格都可以使用.[n]可以無限制使用.[n](注意!是指無法交易的道具.)[n]
zts317e	可透過寵物隨時隨地打開倉庫。[n]60天使用期[n]
zts318e	精靈醒覺5個
zts319e	使用後1小時內精靈能力上升30%[n]只有使用商城精靈時會改變造型[n][n] 精靈醒覺時間結束前都無法變更精靈[n][n]
zts320e	精靈醒覺10個
zts321e	壓制敵人吧!
zts322e	蒙面俠眼罩A
zts323e	會增加會心一擊的機率1%.所有攻擊力增加約10.[n]近戰防禦力 : 5[n]遠距離防禦力 : 5[n]魔法防禦力 : 15[n]迴避 : 0[n]
zts324e	蒙面俠眼罩B
zts325e	蒙面俠眼罩C
zts326e	使用心眼去觀察敵人
zts327e	超能眼罩A
zts328e	會減少會心一擊出現率2%. 所有屬性之氣增加約10.[n]近戰防禦力 : 5[n]遠距離防禦力 : 15[n]魔法防禦力 : 5[n]迴避 : 0[n]
zts329e	超能眼罩B
zts330e	超能眼罩C
zts331e	對我而言,再不需要說些什麼了!
zts332e	刺客面罩A
zts333e	受到會心一擊時,傷害減少約5%. 對於所有的氣增加抵抗1.[n]近戰防禦力 : 5[n]遠距離防禦力 : 5[n]魔法防禦力 : 15[n]迴避 : 0[n]
zts334e	刺客面罩B
zts335e	刺客面罩C
zts337e	在安全狀態下將卡片強化
zts338e	低等卡片防爆護符
zts339e	使用時可以強化0~9等級的S卡片。[n]強化失敗時，靈魂及發光的綠色靈魂及發光的紅色靈魂不會消失。[n][使用方法][n]重覆點擊時，會有防爆護符的效果出現。[n]再重覆點擊時效果將會消失。[n](此時道具並不會消耗)[n]當使用的強化附有防爆護符效果時，防爆護符會減少1個。[n]
zts340e	高等卡片防爆護符
zts341e	使用時可以強化10~14等級的S卡片。[n]強化失敗時，靈魂及發光的清澈靈魂不會消失。[n][使用方法][n]重覆點擊時，會有防爆護符的效果出現。[n]再重覆點擊時效果會消失。[n](此時道具並不會消耗)[n]當使用的強化附有防爆護符效果時，防爆護符會減少1個。[n]
zts342e	喚醒消滅的靈魂
zts343e	靈魂復活石
zts344e	靈魂已消滅S卡片的專用復活石，可以使S卡片靈魂復活[n]附加增加SP點數10000.[n]
zts345e	轉換新的心情
zts346e	S卡重置藥水
zts347e	將s卡片上的PT點數回收重置[n]
zts348e	低等卡片防爆護符 1個
zts349e	低等卡片防爆護符 5個
zts350e	高等卡片防爆護符 1個
zts351e	高等卡片防爆護符 5個
zts352e	兩倍獎賞 符咒 10個
zts357e	新春財運大預感
zts358e	新年利是1個
zts359e	低等卡片防爆護符、SP補充劑(中) 、 創世女神祝福 、 等級固定解除護符、 防爆護符、 特殊人物的獎章、非常大的全體恢復劑、 冒險家背包、 希魯安的泉水、 SP補充劑(大) 、黑騎士之頭飾、 黑騎士之口罩、感冒夢古晶球、 迎春豬寶寶晶球、 福鼠娘娘晶球 中隨機抽中一種新年利是禮品。[n]
zts360e	新年利是10個
zts361e	新年利是5個
zts362e	週年紀念獎牌
zts363e	使用時，15天內將會賦予以下功能。[n][主要效果][n]裝備、主要、其他的裝備欄將會增加各4格總共12格欄位。[n]經驗值獲得量增加10%[n][n][附加效果][n]寵物與夥伴的經驗值獲得量上升10%[n]攻擊力與防禦力增加10%[n][n][注意事項][n]與冒險家的背包效果不能重複使用[n]無法放入倉庫的道具[n]
zts364e	拿著福袋的可愛老鼠
zts365e	福鼠娘娘晶球
zts366e	可以將可愛的咬錢鼠馴服成為我的寵物[n][n]咬錢鼠在攻擊的時候，有一定的機率對敵人發出病毒。而感染到疾病的敵人，會在6秒內受到致命打擊。[n]
zts367e	帶來祝福的迎春豬寶寶
zts368e	迎春豬寶寶晶球
zts369e	可以將可愛的迎春豬寶寶馴服成為我的寵物[n][n]當迎春豬寶寶與組隊隊員同行的時候，玩家的攻擊力與防禦力上升10%。[n]
zts370e	到處傳染感冒的可憐夢古
zts371e	感冒夢古晶球
zts372e	可以將可愛的夢古馴服成為我的寵物[n][n]感冒夢古在攻擊的時候有一定機率讓敵人感染到感冒， 感染到感冒的敵人將會在15秒內移動速度以及防禦力下降。[n]
zts373e	屬於我的聖誕夢古
zts374e	聖誕夢古晶球
zts375e	感冒夢古會成為您做寵物。[n]感冒夢古攻擊時敵人有機會染上感冒。染上感冒15秒內敵人的移動速度和防禦力會減低。[n]
zts376e	迷人的雙眼
zts377e	大黑熊帽
zts378e	所有攻擊力提升5%。[n]MP最多提升200。只有劍士、弓手、 咒術師可佩戴。[n]男女共用。[n]佩戴時開始計算使用時限。[n]佩戴後不能交易
zts379e	大黑熊帽(7日)
zts380e	大黑熊帽(30日)
zts381e	大黑熊帽(永久)
zts382e	帥氣的V領
zts383e	大黑熊衣服
zts384e	所有防禦力提升5%。[n]HP最多提升200。只有劍士、弓手、 咒術師可佩戴。[n]男女共用。[n]佩戴時開始計算使用時限。[n]佩戴後不能交易
zts385e	大黑熊衣服(7日)
zts386e	大黑熊衣服(30日)
zts387e	大黑熊衣服(永久)
zts388e	令人神魂顛倒的黑眼圈！
zts389e	熊貓帽
zts390e	熊貓帽(7日)
zts391e	熊貓帽(30日)
zts392e	熊貓帽(永久)
zts393e	充滿魅力的白色肚子
zts394e	熊貓衣服
zts395e	熊貓衣服(7日)
zts396e	熊貓衣服(30日)
zts397e	熊貓衣服(永久)
zts398e	軟綿綿的白毛
zts399e	北極熊帽
zts400e	北極熊帽(7日)
zts401e	北極熊帽(30日)
zts402e	北極熊帽(永久)
zts403e	質感柔軟的白色毛衣！
zts404e	北極熊衣服
zts405e	北極熊衣服(7日)
zts406e	北極熊衣服(30日)
zts407e	北極熊衣服(永久)
zts408e	可愛得令人忍不住要摸它 ！
zts409e	熊玩偶帽
zts410e	熊玩偶帽(7日)
zts411e	熊玩偶帽(30日)
zts412e	熊玩偶帽(永久)
zts413e	可愛得忍不住要抱抱
zts414e	熊玩偶衣服
zts415e	熊玩偶衣服(7日)
zts416e	熊玩偶衣服(30日)
zts417e	熊玩偶衣服(永久)
zts418e	為熱愛霹靂舞的您而設
zts419e	霹靂舞運動服
