zts1e	一般效果
zts96e	近距離防禦增強
zts97e	遠距離防禦增強
zts98e	魔法防禦增強
zts99e	無限MP
zts100e	超強之力
zts101e	移動力強化
zts102e	無敵盾
zts103e	痙攣毒
zts104e	無法進行攻擊，在毒之效果消失之前都會呈現暈厥狀態
zts105e	肌肉萎縮症
zts106e	肌肉無法伸展，造成攻擊能力降低
zts107e	感冒後遺症
zts108e	利用感冒時的細菌散播進行攻擊，會有意外的效果
zts109e	猛毒刺
zts110e	被猛毒的刺刺到而產生的狀態
zts111e	黑暗的詛咒
zts112e	受到暗系攻擊時會受到更多傷害，並且使致命打擊的效果減低
zts113e	亡者之手
zts114e	強力猛毒
zts115e	任務等待時間
zts116e	等待時間結束後，可重新挑戰時空之石的任務
zts117e	魔法物品使用時間
zts118e	告知魔法物品的剩餘時間，時間耗盡時物品會消失
zts119e	止血
zts120e	緩和出血狀態，等級4以下的出血會以80%的機率阻止
zts121e	灼傷
zts122e	遭受火系攻擊燒傷，並會持續減少生命值
zts123e	嚴重灼傷
zts124e	嚴重暈厥
zts125e	完全無法動彈， 連物品都無法使用
zts126e	火神祝福
zts127e	感受到額外的火之力及火抵抗力
zts128e	弱化防具
zts129e	防具等級降低，使防禦力降低
zts130e	破壞防具
zts131e	瞬間完全喪失防禦力
zts132e	休克
zts133e	因突然的打擊而無法進行攻擊
zts134e	鋼鐵軀體
zts135e	雖然會降低攻擊能力，但是可使防禦能力極大化
zts136e	士氣提升
zts137e	士氣會提升
zts138e	落跑
zts139e	逃的遠遠的
zts140e	猛虎之目
zts141e	以極高的命中率使攻擊成功
zts142e	風瞬步
zts143e	移動速度變快
zts144e	太陽彈
zts145e	暫時無法攻擊
zts146e	促進
zts147e	技能回復時間變快
zts148e	中箭
zts149e	移動速度與施展速度變慢
zts150e	攻擊力吸收
zts151e	將對方的攻擊力儲存成自己的力氣
zts152e	銳峰利刃
zts153e	讓自己的武器更銳利
zts154e	減半
zts155e	防禦力降到一半並減少MP
zts156e	重度出血
zts157e	HP減少之外，無法發動致命打擊
zts158e	濃霧
zts159e	命中率降低
zts160e	精神毒
zts161e	使用多少MP就會受多少傷害
zts162e	隱身
zts163e	不會被敵人發現
zts164e	刺激強化毒
zts165e	所有的抵抗力下降，並持續被致命打擊擊中
zts166e	光之結界
zts167e	暗屬性敵人會降低命中與HP
zts168e	加護之盾
zts169e	以MP抵銷部份傷害
zts170e	神聖武器
zts171e	追加光之力，並提高暗抵抗力
zts172e	消滅黑暗
zts173e	使暗屬性完全無法使用暗之力
zts174e	禱告
zts175e	防禦等級提升，並不會被致命打擊擊中
zts176e	集思
zts177e	提高集中力，並使致命打擊率提高
zts178e	瞬移
zts179e	瞬間發動極快的速度
zts180e	親愛的祝福
zts181e	減少MP消耗量
zts182e	經驗值提升　
zts183e	暫時提升經驗值獲得量
zts184e	攻擊力提升
zts185e	暫時提升攻擊力
zts186e	完全保護
zts187e	暫時不會被攻擊，但也無法發動攻擊
zts188e	絕望
zts189e	使目標陷入絕望，幾乎無法應戰
zts190e	抽搐
zts191e	受到太大的驚嚇而發作的狀態
zts192e	瞬間暈厥
zts193e	短暫的失去意識
zts194e	暴露弱點
zts195e	弱點暴露出來，因此持續被致命打擊擊中
zts196e	麻痺毒
zts197e	身體不聽使喚，無法動彈
zts198e	酸化
zts199e	受到強酸腐蝕，使武器與服裝受損
zts200e	屍毒
zts201e	像殭屍般行動緩慢，智力降低，發出奇怪的呻吟聲，並會傳染給他人
zts202e	屍毒免疫
zts203e	對殭屍傳染病免疫的狀態
zts204e	天堂樂章
zts205e	沉醉在歌聲當中，完全失去攻擊的意志
zts206e	福豬的祝福
zts207e	經驗值提升10%
zts208e	新年的祝福
zts209e	攻擊力與防禦力提升10%
zts210e	華倫泰神父的祝福
zts211e	啜泣
zts212e	無法壓抑哀傷而淚水汪汪流下
zts213e	白色情人節的祝福
zts214e	靜音
zts215e	防爆護符
zts216e	強化時可保護裝備和目前的稀有等級
zts217e	毒霧
zts218e	因毒霧造成行動不便
zts219e	香包
zts220e	端午節活動用，經驗值上升30%
zts221e	彩虹水晶能量
zts222e	彩虹水晶佔領戰勝利時，可獲得的力量SP點數不會減少
zts223e	彩虹水晶能量
zts224e	防禦力上升
zts225e	能量上升
zts226e	一定時間最大HP/MP上升
zts227e	經驗值上升20%
zts228e	七夕祝福
zts229e	創世女神的祝福
zts230e	經驗值上升100%
zts231e	守護天使祝福
zts232e	寵物以及同伴經驗值上升50%，跑速+2
zts233e	電擊麻痺
zts234e	因受到電擊而不能移動
zts235e	強力電擊麻痺
zts236e	受到更強烈的電擊，不能做出任何動作
zts237e	石化
zts238e	身體僵化無法行動
zts239e	蛾毒
zts240e	移動速度下降，被致命打擊的機率上升
zts241e	疫疾
zts242e	因病毒感染傷害，可食用殭屍化抗生劑預防
zts243e	吸血
zts244e	一定機率吸取對方的HP
zts245e	精神創傷
zts246e	受到精神上的打擊造成的傷害
zts247e	滿月精靈
zts248e	生產點數消耗減少20%
zts249e	傳染並會造成大傷害
zts250e	精靈醒覺的狀態
zts251e	精靈的屬性能力上升30
zts253e	十分鐘內移動速度以及所有屬性的能力值上升
zts254e	冰結
zts255e	身體受到冰凍的效果，使移動速度瞬間下降
zts256e	水神祝福
zts257e	接受水之祝福，水屬性攻擊力上升以及抗性也會增加
zts258e	死亡霜結
zts259e	身體被冰凍，無法攻擊，被致命攻擊機率上升
zts260e	醒覺突破
zts261e	啟動迅速突破的能力，移動的速度瞬間增加
zts262e	氣油炮彈
zts263e	防禦率下降，受到致命打擊的機率上升
zts264e	防禦禱文
zts265e	增加同伴的防禦能力，並使得最大HP/MP增加
zts266e	力量禱文
zts267e	加強同伴的攻擊能力，士氣值也會增加
zts268e	神聖力量1級
zts269e	接受聖光的力量，在指定時間內會增加攻擊力
zts270e	神聖力量2級
zts271e	神聖力量3級
zts272e	氣油炮彈2級
zts273e	無法使用技能
zts274e	冰霜護甲
zts275e	保護自己，並有特定的機率對方結冰
zts276e	聖光淨化
zts277e	令非光屬性敵人的能力下降
zts278e	暫時提升防禦力
zts279e	反射自身受到的攻擊給攻擊者
zts280e	Air wave
zts281e	靈魂石的祝福
zts282e	使用S卡時，特殊人物職業經驗值獲得量增加51%
zts283e	使用低等卡片防爆護符
zts284e	使用時,可以強化0~9等級的S卡
zts285e	使用高等卡片防爆護符
zts286e	使用時,可以強化10~14等級的S卡
zts287e	黑魔戰士
zts288e	使用時,攻擊力和移動速度將會增加,防禦力則會減少.
zts289e	防具破壞
zts290e	使用時,對方的防具將會受到破壞,令防禦力下降.
zts291e	老鷹之魂
zts292e	老鷹之魂將會附在自己身上.
zts293e	自然之光
zts294e	借用森林的氣息,來增加光屬性的抗性.
zts295e	野狼之魂
zts296e	月光狼之魂將會附在自己身上.
zts297e	自然力下降
zts298e	引發森林的疾病和負面的效果.
zts299e	野熊之魂
zts300e	熊之魂將會附在自己身上.
zts301e	鬼魂衛兵
zts302e	短時間內,死神將會出現,環繞在角色身上保護.
zts303e	暗黑力量
zts304e	死神將會強化黑暗屬性.
zts305e	瘋狂
zts306e	死神將會支配敵方的精神.
zts307e	惡魔藥水
zts308e	死神將會進入敵方的身體內.
zts309e	安魂曲
zts310e	死神將會高歌,讓敵人陷入恐懼.
zts311e	生與死
zts312e	吸收自我生命，提升戰鬥力。
zts313e	恭賀新禧
zts314e	一定時間戰鬥/職業經驗值增加10%
zts315e	燃燒自身生命力，來提升戰鬥力
zts316e	感冒
zts317e	感染重感冒而無法動彈
zts318e	黑死病
zts319e	因頭暈無法回避攻擊
zts320e	夢之歷險週年紀念獎賞
zts321e	一個小時內，增加最大HP跟MP11%。
zts322e	復活
zts323e	不會復活弱化
zts324e	白色情人節的祝福
zts325e	PVP 無敵
zts326e	5秒內受敵方陣營攻擊，HP也不會減少
zts327e	神聖的光之力使四周敵人的能力下降.
zts328e	PvP攻擊力強化
zts329e	1小時間在霜雪冰冠PvP時，攻擊力上升50%。
zts330e	PvP防禦力強化
zts331e	1小時間在霜雪冰冠PvP時，防禦力上升50%。
zts332e	PvP抵抗力強化
zts333e	1小時間在霜雪冰冠PvP時，抵抗力上升20%。
zts334e	阻擋攻擊後，把攻擊的對象冰凍。
zts335e	施展者等級 / %d
zts336e	施展者等級 * %d
zts337e	等級/%d
zts338e	等級*%d
zts339e	自然保護
zts340e	屬性抵抗強化
zts341e	自身的屬性抵抗力增加。
zts342e	輕微毒刺
zts343e	致命毒刺
zts344e	稀釋的劇毒
zts345e	致命劇毒
zts346e	輕微神經毒氣
zts347e	神經毒氣
zts348e	強力神經毒氣
zts349e	致命神經毒氣
zts350e	輕微感冒
zts351e	嚴重感冒
zts352e	致命感冒
zts353e	輕微灼傷
zts354e	重度灼傷
zts355e	輕微暈厥
zts356e	重度暈厥
zts357e	損傷防具
zts358e	摧毀防具
zts359e	弱化武器
zts360e	損傷武器
zts361e	破壞武器
zts362e	摧毀武器
zts363e	輕微妨礙移動
zts364e	妨礙移動
zts365e	嚴重妨礙移動
zts366e	極度妨礙移動
zts367e	輕微絕望
zts368e	嚴重絕望
zts369e	極度絕望
zts370e	輕微恐懼
zts371e	嚴重恐懼
zts372e	極度恐懼
zts373e	輕微畏懼
zts374e	畏懼
zts375e	嚴重畏懼
zts376e	極度畏懼
zts377e	輕微無力化
zts378e	強力無力化
zts379e	極度無力化
zts380e	輕微弱化抵抗力
zts381e	弱化抵抗力
zts382e	強力弱化抵抗力
zts383e	極度弱化抵抗力
zts384e	輕微弱化屬性攻擊
zts385e	弱化屬性攻擊
zts386e	強力弱化屬性攻擊
zts387e	極度弱化屬性攻擊
zts388e	輕微冰凍
zts389e	強力冰凍
zts390e	極度冰凍
zts391e	輕微石化
zts392e	強力石化
zts393e	極度石化
zts394e	僵硬
zts395e	沒法控制自己的身體。
zts396e	魔法護盾
zts397e	輕微暈眩毒
zts398e	強力暈眩毒
zts399e	致命暈眩毒
zts400e	以神聖光芒的攻擊，讓光的抵抗下降。
zts401e	無法攻擊
zts402e	黑暗巧克力棒
zts403e	在30分鐘之內，攻擊力上升10%。　
zts404e	白色巧克力棒
zts405e	在30分鐘之內，防禦力上升10%。　
zts406e	星星
zts407e	在50分鐘之內，經驗值上升10%。
zts408e	強力弱化屬性攻擊
zts409e	嚴重弱化屬性攻擊
zts410e	星彩神牛之怒
zts411e	星彩神牛因為憤怒而令攻擊力提升.
zts412e	防禦提升
zts413e	於一定時間內提升防禦力.
zts414e	致命打擊率提升
zts415e	於一定時間內提升致命打擊率.
zts416e	魔法攻擊力極大化
zts417e	於一定時間內極大化魔法攻擊力.
zts418e	暗黑雷電
zts419e	提升防禦力.
zts420e	提升近距離防禦力.
zts421e	於一定時間內提升致命打擊的傷害.
zts422e	優惠獎章(10日)
zts423e	於物品有效期間你可以得到他的附有效果.
zts424e	優惠獎章(30日)
zts425e	優惠獎章(1日)
zts426e	失敗者的呼吸
zts427e	攻擊/防禦等級變成 0.
zts428e	攻擊/防禦等級變成 0 及移動速度下降 2.
zts429e	攻擊/防禦等級變成 0 及命中率下降 20.
zts430e	冰霜之鏈
zts431e	移動速度下降 3.
zts432e	魔力凝聚
zts433e	提升防禦力及下降 30% 所受傷害來凝聚你的魔力.
zts434e	使用它, 可於10分鐘內提升30 %攻擊力/職業經驗值.
zts437e	與朋友一起享受雙倍經驗值，若朋友下線的話，雙倍效果會被解除。
zts438e	白金勳章（ 3 ）
zts439e	卡比納斯王的詛咒
zts440e	卡比納斯王的詛咒。移動速度減少。
zts441e	魔法消滅
zts442e	奪取對方的魔力。
zts443e	致命漏洞
zts444e	可以看到對手致命漏洞的狀態。
zts445e	身體觸電，無法移動的狀態。
zts446e	以自己的生命力做代價，換取戰鬥力的升級
zts447e	部隊長的詛咒
zts448e	部隊長施加的詛咒，６０秒攻擊力與防禦力弱化，受到重大損害
zts449e	暴發衝擊
zts450e	移動速度減小，無法躲避
zts451e	強力部隊長之詛咒
zts452e	部隊長施加的詛咒，１２０秒攻擊力與防禦力弱化，受到重大損害
zts453e	經驗值增加１００％，可以與創世女神之輔助效果重複使用
zts454e	經驗值增加５０％，可以與創世女神之輔助效果重複使用
zts455e	經驗值增加２０％，可以與創世女神之輔助效果重複使用
zts456e	部隊長之憤怒
zts457e	部隊長處於憤怒狀態
zts458e	保護之祝福
zts459e	通過保護之祝福使部隊長的防禦力增加
zts460e	部隊長施加的詛咒，９０秒攻擊力與防禦力弱化，受到重大損害
zts461e	2週年紀念道具
zts462e	3200秒內最大HP和MP值增加10%
zts463e	使用冰結魔法製造護盾，抵擋敵人的攻擊
zts464e	情人節小祝福
zts465e	攻擊力和防禦力各提升5%
zts466e	情人節祝福
zts467e	情人節大祝福
zts468e	攻擊力和防禦力各提升20%
zts469e	白色情人節小祝福
zts470e	白色情人節大祝福
zts475e	夫妻組隊
zts476e	戰鬥經驗值獲得量增加 5%
zts477e	幻影祝福
zts478e	所有的攻擊力提升 100%
zts479e	幻影詛咒
zts480e	所有的防禦力降低 50%
zts481e	守衛犬之嗥
zts482e	守護者咆哮
zts483e	幻影狂怒
zts484e	南瓜魔咒
zts485e	持續承受黑暗傷害，將導致你暫時無法攻擊。
zts486e	護衛詛咒
zts487e	受到護衛詛咒影響，你的生命正在流失…
zts495e	集中精神並提升防禦力，受到的傷害減輕30%，部份傷害會用魔力抵消。
zts496e	回復息彈
zts497e	強化體質增加防禦力。
zts501e	強力新年祝福
zts502e	經驗值上升10%，持續30分鐘。
zts503e	經驗值上升30%，持續30分鐘。
zts506e	不高興
zts507e	寵物被嚇了一跳，變得不高興了…持續30分鐘。
zts508e	非常不高興
zts509e	寵物被嚇了一大跳，變得非常不高興了…持續50分鐘。
zts512e	魔法充電器
zts513e	騎乘變身能力限時內將有最佳表現！
zts514e	因彩虹水晶爭奪戰的勝利而獲得力量。在霜雪冰冠可獲得彩虹水晶的力量。
zts515e	槍傷
zts516e	因為槍傷處於非常危險的狀態。
zts517e	酒桶藏身
zts518e	能從海龍的攻擊保護自己。
zts519e	烈焰之刃的燃燒
zts520e	溫度過高，HP漸漸減少。
zts521e	冷凍香薰
zts522e	受冷凍香薰影響，避免過熱。
zts523e	克拉托斯的祝福
zts524e	克拉托斯的祝福提升你的攻擊力。
zts525e	燃燒
zts526e	受到近距離攻擊時，會進入危險狀態
zts527e	蜘蛛網
zts528e	被蜘蛛網黏上，會暴露在危險中
zts529e	失明
zts530e	強力的閃光使你暫時失明。
zts531e	灼熱之盾
zts532e	灼熱之盾效果延長
zts533e	太陽爆裂
zts534e	用太陽的力量燃燒敵人。
zts535e	超太陽爆裂
zts536e	用太陽的力量猛烈燃燒敵人，造成巨大傷害。
zts537e	毒之焰
zts538e	受毒之焰效果影響，HP持續減少。
zts539e	鳳凰之吹息
zts540e	受鳳凰之吹息效果影響，失去戰鬥力。
zts541e	意志燃燒
zts542e	受意志燃燒效果影響，無法攻擊或移動。
zts543e	赤焰詛咒
zts544e	受赤焰詛咒效果影響，火焰抗性下降，受到致命一擊機率提高。
zts546e	受到暴發衝擊影響，暫時暈厥。
zts547e	奪命斬
zts548e	被奪命斬擊中時，受到會心一擊的機率上升。
zts549e	紅鼻子夢古的憤怒
zts550e	紅鼻子夢古極度興奮，將會提升攻擊力。
zts551e	斯巴達戰哮
zts552e	斯巴達戰哮發動時，必定出現會心一擊。
zts553e	魅惑
zts554e	酸蝕
zts555e	使用強酸腐蝕武器和盔甲
zts556e	受魅惑效果影響，暫時無法移動
zts565e	有機會發動反擊。
zts566e	可進行一次致命的反擊。
zts567e	擊倒
zts568e	假如敵人再次受到攻擊或已經暈厥，則解除狀態。配合決勝一擊可以使出組合攻擊，敵人將受到30%額外傷害。
zts569e	徹底挑釁
zts570e	受到徹底挑釁效果影響完全失去理性。被攻擊時受到額外的傷害。
zts571e	聖炎之盾
zts572e	反彈所有傷害，也有一定機率反彈負面狀態效果。只會造成負面狀態，沒有傷害的技能無法反彈。
zts573e	挑釁
zts574e	受到挑釁效果影響完全失去理性。
zts575e	騎士之誓
zts576e	騎士之誓鞏固你的信念，提升攻擊威力並獲得額外的移動速度。
zts577e	不祥之兆
zts578e	即將敗北的預感。如果現在被決勝一擊命中，將受到70%的額外傷害。
zts579e	勝利鼓舞
zts580e	確實地擊倒了敵人讓你信心大增，愈戰愈勇。
zts581e	強力火藥
zts582e	使用強力火藥時，命中率與射程會獲得顯著提升。
zts583e	勝利宣言
zts584e	用強大的決勝心，引導自己邁向勝利。
zts585e	懲戒之雷
zts586e	受強力的雷擊影響，造成觸電狀態。
zts587e	岩漿之盾
zts588e	消耗MP吸收敵人的攻擊。
zts589e	爆燄毒氣
zts590e	地層異動時經常產生的有毒氣體，接近的話會受到傷害。
zts591e	爆燄之力
zts592e	赤熾燄法使展示他的真正實力。
zts593e	岩漿湧泉
zts594e	受到岩漿影響，攻擊、移動速度下降。
zts595e	沾粘熔岩
zts596e	受到沾粘熔岩影響，低確率變為無法動彈的石像。
zts597e	高溫熔岩
zts598e	受到高溫熔岩影響，一定確率變為無法動彈的石像。
zts599e	滾燙熔岩
zts600e	受到滾燙熔岩影響，高確率變為無法動彈的石像。
zts601e	燒灼熔岩
zts602e	即將變為無法動彈的石像。
zts603e	熔岩石化
zts604e	全身包裹著漸漸石化的熔岩，讓你無法動彈。
zts605e	雙腿一軟
zts606e	受到爆炸的衝擊影響，雙腿一軟暫時無法行動。
zts607e	強力爆風
zts608e	超級爆風
zts609e	渦輪增壓
zts610e	改裝加農炮，可以承受更強力的火藥引燃。
zts611e	武器受損
zts612e	過度改裝使加農炮結構受損，性能下降。
zts613e	岩漿之鎧
zts614e	在護甲上覆蓋一層岩漿，讓你獲得驚人的防禦力。
zts615e	第二次衝擊
zts616e	第三次衝擊
zts617e	龍之怒
zts618e	因感到恐懼而無法動彈。
zts619e	地面持續搖晃，立足點不穩。
zts620e	立足點不穩，無法移動。
zts621e	最終衝擊
zts622e	受到地面搖晃的強大衝擊影響。
zts623e	假如敵人再次受到攻擊或已經暈厥，則解除狀態。配合決勝一擊可以使出組合攻擊，敵人將受到20%額外傷害。
zts624e	鞏固的信念讓你戰鬥力大大提升!
zts625e	即將敗北的預感。如果現在被決勝一擊命中，將受到40%的額外傷害。
zts626e	受到熊熊燃燒的熔岩影響，極高確率變為無法動彈的石像。
zts627e	武器防禦
zts628e	使用加農炮的巨大炮身當作盾牌進行擋格。
zts629e	地獄之火
zts630e	地獄之火使你變得虛弱，並持續減少體力。
zts631e	致命流血攻擊
zts632e	夜鷹祝福
zts633e	水屬性攻擊及抵抗提升。
zts634e	萬聖節祝福
zts635e	獲得的Exp增加10%。
zts636e	德古拉意志
zts637e	吸收對方HP。
zts638e	聖誕糜鹿祝福
zts639e	所有對低等怪物的攻擊威力提升，道具恢復效果提升。
zts640e	音之花祝福
zts641e	完成野生音之花任務時獲得的祝福。
zts642e	音之花狂熱
zts643e	聖誕糜鹿之盾
zts644e	暫時獲得一個無形的魔法護盾。
zts645e	金剛護法
zts646e	為同伴承受傷害。
zts648e	處於明鏡止水的狀態。
zts652e	持續受到[內傷]折磨的狀態。
zts655e	穿心-連打
zts656e	持續受到[穿心]折磨的狀態。
zts657e	震攝
zts658e	以一定機率預防負面狀態。
zts659e	震攝-強
zts660e	震攝-極
zts661e	誤入魔道
zts662e	冥想時受到攻擊，走火入魔了。
zts663e	穿心
zts664e	穿心-強
zts665e	穿心-極
zts666e	明王護法
zts667e	深邃之淵
zts668e	用海的力量保護自己。
zts669e	海妖之歌
zts670e	海妖之歌使人無法自控。
zts671e	海嘯
zts672e	受[海嘯]影響，移動速度下降。
zts673e	大海嘯
zts674e	終極海嘯
zts675e	天雷
zts676e	受[天雷]影響，暫時什麼都不能做。
zts677e	天雷大作
zts678e	天雷暴虐
zts679e	深海水壓
zts680e	被水壓影響，暫時什麼都不能做。
zts681e	海之氣息
zts682e	受到海洋中的神聖力量庇佑，抵禦敵人的攻擊。
zts683e	維京之怒(F)
zts684e	這是維京戰士的怒火。
zts685e	維京之怒(E)
zts686e	維京之怒(D)
zts687e	維京之怒(C)
zts688e	維京之怒(B)
zts689e	維京之怒(A)
zts690e	維京之怒(S)
zts691e	年少無知(F)
zts692e	獲得無畏的勇氣挑釁你的敵人。
zts693e	年少無知(E)
zts694e	年少無知(D)
zts695e	年少無知(C)
zts696e	年少無知(B)
zts697e	年少無知(A)
zts698e	年少無知(S)
zts699e	愛的力量(F)
zts700e	激發為母愛的本能。
zts701e	愛的力量(E)
zts702e	愛的力量(D)
zts703e	愛的力量(C)
zts704e	愛的力量(B)
zts705e	愛的力量(A)
zts706e	愛的力量(S)
zts707e	最強母親(F)
zts708e	母親就是最強的種族！
zts709e	最強母親(E)
zts710e	最強母親(D)
zts711e	最強母親(C)
zts712e	最強母親(B)
zts713e	最強母親(A)
zts714e	最強母親(S)
zts715e	強效撕裂(F)
zts716e	強效撕裂(E)
zts717e	強效撕裂(D)
zts718e	強效撕裂(C)
zts719e	強效撕裂(B)
zts720e	強效撕裂(A)
zts721e	強效撕裂(S)
zts722e	發嘮叨(F)
zts723e	發嘮叨(E)
zts724e	發嘮叨(D)
zts725e	發嘮叨(C)
zts726e	發嘮叨(B)
zts727e	發嘮叨(A)
zts728e	發嘮叨(S)
zts729e	超級終極維京射擊(F)
zts730e	超級終極維京射擊(E)
zts731e	超級終極維京射擊(D)
zts732e	超級終極維京射擊(C)
zts733e	超級終極維京射擊(B)
zts734e	超級終極維京射擊(A)
zts735e	超級終極維京射擊(S)
zts736e	凱瑟琳的祝福
zts737e	凱瑟琳的祝福讓你的攻擊變得更有效率。
zts738e	海賊少女凱瑟琳獨特技能。
zts739e	海賊少女凱瑟琳獨特技能讓你的狩獵效率提升！
zts740e	水屬性攻擊和抵抗提升了。
zts746e	悟道-疾
zts747e	悟道-守
zts748e	悟道-攻
zts749e	內傷-輕
zts750e	內傷-中
zts751e	內傷-重
zts752e	受[震攝]影響，暫時什麼都不能做。
zts753e	簡易陷阱
zts754e	受[陷阱]影響，暫時無法移動。
zts755e	致盲
zts756e	受[煙幕]影響，命中率下降、魔法技能的施放延遲提升。
zts757e	伏擊
zts758e	保持[伏擊]狀態，尋找攻擊時機。
zts759e	狂熱
zts760e	在[伏擊]狀態下進行集中攻擊。
zts761e	森羅萬象
zts762e	借助森之靈，讓物理技能效果最大化。
zts763e	伏擊態勢-1
zts764e	隱密行動，實施一擊脫離的戰術。
zts765e	伏擊態勢-2
zts766e	狙擊態勢-1
zts767e	讓[狙擊]獲得強化的態勢。需要在[伏擊]狀態中才能使用。
zts768e	狙擊態勢-2
zts769e	Head Shot
zts770e	由威力強大的一擊引發[休克]。
zts771e	預備伏擊-1
zts772e	進入[伏擊]狀態後，能使出高效率的攻擊。
zts773e	預備伏擊-2
zts774e	永凍冰河
zts775e	受[冰封]影響，暫時什麼都不能做。
zts776e	受咆哮影響。
zts777e	受狂暴怒吼影響，暫時虛脫。
zts778e	神經麻痺
zts779e	受[曼陀羅毒素]影響，神經被痲痺，暫時什麼都不能做。
zts780e	輕量曼陀羅毒素
zts781e	利用曼陀羅草的毒素麻醉神經。
zts782e	曼陀羅毒素
zts783e	中量曼陀羅毒素
zts784e	猛烈曼陀羅毒素
zts785e	緊急迴避
zts786e	迅速翻滾，躲避物理攻擊。
zts787e	指定狙擊
zts788e	受到[狙擊]時，將承擔大量傷害。
zts789e	猛禽之目
zts790e	可以對遠處的敵人發動準確無誤的攻擊。
zts791e	野性怒吼
zts792e	受[怒吼]影響，攻擊力提升了。
zts793e	野性狂暴
zts794e	處於非常亢奮的狀態。
zts795e	讓同伴承擔受到的部份傷害。
zts796e	提升防禦力，並代替同伴承擔傷害。
zts797e	稻荷祝福
zts798e	火屬性抵抗提升。
zts799e	海妖之歌(PvP)
zts800e	角鬥士重生 第1階段升級
zts801e	重生時，一定時間內提升生存能力。
zts802e	角鬥士重生 第2階段升級
zts803e	重生時，一定時間內提升攻擊力。
zts804e	角鬥士重生 第3階段升級
zts805e	重生時，一定時間內提升生存能力、攻擊力及移動速度。
zts806e	奇怪的隊伍
zts807e	完美的隊伍
zts808e	提升角鬥士攻擊力
zts809e	提升角鬥士防禦力
zts810e	提升角鬥士能量
zts811e	提升角鬥士移速
zts812e	見極
zts813e	一定時間內看穿隱形單位。
zts814e	假如隊員全部由同一職業組成，隊伍組合會很奇怪！
zts815e	假如隊員之間的職業都不一樣，就是完美的隊伍。
zts816e	一定時間內提升移動速度。
zts817e	水壓炮彈
zts819e	海軍指令
zts820e	提高防禦力及水抵抗。
