zts1e	依蘭特村莊
zts168e	尼爾的野營地周邊
zts169e	尼爾的野營地
zts170e	商團野營地東部
zts171e	麥爾奇的野營地周邊
zts172e	麥爾奇的野營地
zts173e	阿卡瑪商團野營地
zts174e	商團野營地西部
zts175e	凱路斯野營地周邊
zts176e	凱路斯野營地
zts177e	卡頓的野營地周邊
zts178e	被遺忘的聖殿要道
zts179e	被遺忘的聖殿
zts180e	卡頓的野營地
zts181e	迪斯丘陵
zts182e	沙漠飛鷹城
zts183e	舊亞斯特聖殿書庫
zts184e	舊亞斯特聖殿禮拜堂
zts185e	拉希特聖殿內部聖室
zts186e	拉希特聖殿中央聖室
zts187e	盜賊團巢穴附近
zts188e	沙漠盜賊團 巢穴
zts189e	亞斯特聖殿
zts190e	尋寶隊本部
zts191e	阿卡瑪商團本店
zts192e	無法地帶
zts193e	無法地帶周邊
zts194e	亞斯特聖殿內部聖室
zts195e	亞斯特聖殿中央聖室
zts196e	亞斯特聖殿秘密通路
zts197e	盜賊團巢穴內部聖室
zts198e	盜賊團巢穴中央聖室
zts199e	盜賊團巢穴司令部
zts200e	積高燈籠藏身處
zts201e	結婚典禮室外禮堂
zts202e	閃耀的水晶洞穴
zts203e	閃耀的水晶祭壇
zts204e	通往 吱喳雞女王之巢 的通道
zts205e	吱喳雞女王之巢
zts206e	吱喳雞女王之巢 近郊
zts207e	聯合船艦
zts208e	船艦地下倉庫
zts209e	船艦甲板
zts210e	北方沙漠
zts211e	烈焰之刃入口
zts212e	克拉托斯之牙
zts213e	烈焰之刃東面通道
zts214e	烈焰之刃西面通道
zts215e	巴拉酷斯之爪
zts216e	鳳凰之翼
zts217e	鳳凰之左翼
zts218e	鳳凰之右翼
zts219e	卡頓部米倫之徑
zts220e	太陽神之聖殿
zts221e	巴拉酷斯的避難所
zts222e	巴拉酷斯之窟
zts223e	巴拉酷斯之徑
zts224e	太陽神之聖殿入口
zts225e	熔岩小徑
zts226e	鳳凰之路
zts227e	克拉托斯之窟
zts228e	克拉托斯之徑
zts229e	克拉托斯的避難所
zts230e	克萊爾之路
zts231e	洞窟小徑
zts233e	蠻荒之地
zts234e	渾沌世界
zts235e	被毀的故鄉
zts236e	暗黑山路徑
zts237e	九尾狐的藏身處
zts238e	女巫生活的地方
zts239e	小芒的後院
zts240e	希魯安
zts241e	神秘天堂一段
zts242e	神秘天堂二段
zts243e	神秘天堂三段
zts244e	神秘天堂四段
zts245e	海魯丹一段
zts246e	海魯丹二段
zts247e	海魯丹三段
zts248e	海魯丹四段
zts249e	迷失的 神秘天堂 區域 1
zts250e	迷失的 神秘天堂 區域 2
zts251e	迷失的 海魯丹 區域 1
zts252e	迷失的 海魯丹 區域 2
zts253e	安雪路安的意念 區域1
zts254e	安雪路安的意念 區域2
zts255e	安雪路安的意念 區域3
zts256e	安雪路安的意念 區域4
zts257e	安雪路安的意念 區域5
zts258e	安雪路安的意念 區域6
zts259e	希魯安飛船
zts260e	安雪路安的意念飛船
zts261e	被遺忘的聖殿
zts262e	被遺忘的聖殿之路
zts263e	塵世間
zts264e	詠嘆調城堡的寶物倉庫
zts265e	詠嘆調城堡內部
zts266e	巴頓鎮
zts267e	牧場
zts268e	約頓海姆
zts269e	被遺忘的塔
zts270e	被遺忘的塔 1/F
zts271e	被遺忘的塔 2/F
zts272e	被遺忘的塔 3/F
zts273e	被遺忘的塔 4/F
zts274e	被遺忘的塔 5/F
zts275e	被遺忘的塔 6/F
zts276e	被遺忘的塔 7/F
zts277e	被遺棄的地下墓穴入口
zts278e	被遺棄的地下墓穴附近
zts279e	被遺棄的地下墓穴
zts280e	羅佩勒銀行
zts281e	羅佩勒圖書館
zts282e	霧氣森林
zts283e	回憶洞穴
