zts1e	General Effect
zts333e	When the player is in PvP, resistance is increased by 20% for an hour. Only applies in Glacernon.
zts334e	After blocking, the attacker is frozen.
zts335e	Player Level/%d
zts336e	Player Level*%d
zts337e	Level/%d
zts338e	Level*%d
zts339e	Conservation of Nature
zts340e	Improves elemental resistance.
zts341e	Increased Elemental Resistance
zts342e	Slight Toxic Thorn
zts343e	Fatal Toxic Thorn
zts344e	Diluted Deadly Poison
zts345e	Serious Deadly Poison
zts346e	Slight Nerve Gas
zts347e	Nerve Gas
zts348e	Strong Nerve Gas
zts349e	Fatal Nerve Gas
zts350e	Slight Cold
zts351e	Bad Cold
zts352e	Fatal Cold
zts353e	Slight Burn
zts354e	Severe Burn
zts355e	Slight Blackout
zts356e	Fatal Blackout
zts357e	Damage Defensive Weapon
zts358e	Break Defensive Weapon
zts359e	Weaken Weapon
zts360e	Damage Weapon
zts361e	Break Weapon
zts362e	Destroy Weapon
zts363e	Slight Paralysis
zts364e	Paralysis
zts365e	Strong Paralysis
zts366e	Extreme Paralysis
zts367e	Slight Despair
zts368e	Serious Despair
zts369e	Fatal Despair
zts370e	Slight Fear
zts371e	Serious Fear
zts372e	Fatal Fear
zts373e	Slight Horror
zts374e	Horror
zts375e	Serious Horror
zts376e	Fatal Horror
zts377e	Slight Incapacitation
zts378e	Strong Incapacitation
zts379e	Serious Incapacitation
zts380e	Slight Resistance Weakening
zts381e	Resistance Weakening
zts382e	Strong Resistance Weakening
zts383e	Serious Resistance Weakening
zts384e	Slight Attack Element Weakening
zts385e	Attack Element Weakening
zts386e	Strong Attack Element Weakening
zts387e	Serious Attack Element Weakening
zts388e	Slight Freeze
zts389e	Strong Freeze
zts390e	Serious Freeze
zts391e	Slight Fossilisation
zts392e	Strong Fossilisation
zts393e	Serious Fossilisation
zts394e	Rigidity
zts395e	You cannot control your body.
zts396e	Magic Barrier
zts397e	Slight Dizzying Venom
zts398e	Strong Dizzying Venom
zts399e	Fatal Dizzying Venom
zts400e	Attacks with the Holy Light decrease light resistance.
zts401e	Non-attackable
zts402e	Dark Chocolate Bar
zts403e	Increases attack power by 10% for 30 minutes.
zts404e	White Chocolate Bar
zts405e	Increases defence power by 10% for 30 minutes.
zts406e	Star
zts407e	Increases experience points earned by 10% for 50 minutes.
zts408e	Strong Attack Element Weakening
zts409e	Serious Attack Element Weakening
zts410e	Bull Bushtail's Anger
zts411e	Bull Bushtail becomes angry, increasing its attack power.
zts412e	Increases defence.
zts413e	Increases defence power for a while.
zts414e	Increases critical hit chance.
zts415e	Increases chance of critical hits for a while.
zts416e	Maximises magic attacks.
zts417e	Maximises magic attack power for a while.
zts418e	Electrical Shadows
zts419e	Increases defence power.
zts420e	Increases melee defence.
zts421e	Increases critical hit damage for a certain time.
zts422e	Premium Medal (10 Days)
zts423e	You can use the effect as long as it lasts.
zts424e	Premium Medal (30 Days)
zts425e	Premium Medal (1 Day)
zts426e	Loser's Breath
zts427e	The attack and defence levels drop to 0.
zts428e	The attack and defence levels drop to 0 and the movement speed decreases by 2.
zts429e	The attack and defence levels drop to 0 and the hit rate is reduced by 20.
zts430e	Ice Chain
zts431e	Movement speed is decreased by 3.
zts432e	Mana Transfusion
zts433e	Increases defence power and decreases damage received by 30%, by consuming your mana.
zts434e	The buff provides 30% more combat and job experience points gain for 10 minutes.
zts437e	You and your friend will receive double experience points. This buff disappears as soon as your friend logs off.
zts439e	Calvinas' Curse
zts440e	Affected by Calvinas' Curse. Your movement speed is decreased.
zts441e	Mana Drain
zts442e	Leeches mana from the enemy.
zts443e	Weakness
zts444e	Exposes your weakness to the enemy.
zts445e	You cannot move because you've been hit by an Electric Shock.
zts446e	Sacrifices HP to increase your attack power.
zts447e	Commander's Curse
zts448e	The Commander's Curse. Reduces your attack and defence power for 60 seconds.
zts449e	Explosive Shock
zts450e	Movement speed is reduced and you cannot dodge attacks.
zts451e	Elite Commander's Curse
zts452e	The Elite Commander's Curse. Reduces your attack and defence power for 120 seconds.
zts453e	Increases experience points earned by 100%. Can be used with Ancelloan's Blessing.
zts454e	Increases experience points earned by 50%. Can be used with Ancelloan's Blessing.
zts455e	Increases experience points earned by 20%. Can be used with Ancelloan's Blessing.
zts456e	Commander's Rage
zts457e	The commander is enraged.
zts458e	Protection Blessing
zts459e	The Protection Blessing increases the commander's defence power.
zts460e	The commander's curse. Reduces attack and defence power for 90 seconds.
zts462e	Increases HP/MP by 10% for 3,200 seconds.
zts463e	Deface enemy’s attack by iced shield
zts464e	Small Valentine's Day Blessing
zts465e	Increases both your attack and defence power by 5%.
zts466e	Valentine's Day Blessing
zts467e	Big Valentine's Day Blessing
zts468e	Increases both your attack and defence power by 20%.
zts469e	Small White Day Blessing
zts470e	Big White Day Blessing
zts475e	Wedding
zts476e	Increases combat experience points by 5%.
zts477e	Phantom's Blessing
zts478e	Increases attack power. All attacks +100%.
zts479e	Phantom's Curse
zts480e	Reduces attack power. All attacks -50%.
zts481e	Guard Dog's Snarl
zts482e	Guard's Battle Cry
zts483e	Phantom's Anger
zts484e	Pumpkin Curse
zts485e	If you suffer more attacks with the shadow element, you will temporarily be unable to attack.
zts486e	Curse of the Escort Troops
zts487e	You have lost HP due to the curse of the escort troops.
zts495e	Your defence power and accuracy increase. 30% of the damage inflicted upon you is deducted from your MP instead of your HP.
zts496e	Miracle Cure
zts497e	Toughens the body and increases defence.
zts501e	Gigantic New Year's Blessing
zts502e	Happy New Year
zts503e	You will have a lot of luck this year.
zts506e	Unsettled
zts507e	Your NosMate is shocked and will be unsettled for 30 minutes.
zts508e	Very Unsettled
zts509e	Your NosMate is shocked and will be unsettled for 50 minutes.
zts512e	Speed Booster
zts513e	Your speed is maximised for a short time.
zts514e	You will receive this power after winning the Rainbow Battle. It will be useful to you in Glacernon.
zts515e	Gunshot Wound
zts516e	You are severely injured by a gunshot wound.
zts517e	Hide in Rum Barrel
zts518e	You seek protection from your opponent's attacks.
zts519e	Heat of the Burning Sword
zts520e	Health decreases continually because of the heat.
zts521e	Ice Flower Oil
zts522e	With frosty Ice Flower Oil you can withstand extreme temperatures.
zts523e	Kertos' Blessing
zts524e	Attack power is increased by Kertos' Blessing.
zts525e	Burn
zts526e	You find yourself in great danger if you take damage from a melee attack.
zts527e	Spider Web
zts528e	You are caught in a spider's web and are an easy target for the enemy.
zts529e	Visual Impairment
zts530e	Temporary loss of sight because of the flash.
zts531e	Shield of Glistening Heat
zts532e	You are made more resistant by the Shield of Glistening Heat.
zts533e	Lava Eruption
zts534e	The fiery heat of lava inflicts serious damage on opponents.
zts535e	Large Lava Eruption
zts536e	The fiery heat of lava inflicts serious damage on opponents.
zts537e	Flame Poison
zts538e	You lose HP over time as a result of being poisoned by the Flame Poison.
zts539e	The Fiery Breath of the Phoenix
zts540e	The Fiery Breath of the Phoenix causes you to lose your fighting spirit.
zts541e	Glistening Burn
zts542e	The Glistening Burn leaves you unable to move or carry out any attacks.
zts543e	Curse of the Red Flame
zts544e	The Curse of the Red Flame reduces your resistance to the flame aura. There is an increased chance that you will receive critical hits.
zts546e	Receive a Blackout for a period of time caused by an explosive aftershock.
zts547e	Wound in a Sensitive Spot
zts548e	Fatally injured by a wound to a sensitive spot.
zts549e	Angry Rudolf Bushi
zts550e	The Rudolf Bushi becomes angry, increasing its attack power.
zts551e	Centurio's Battle Cry
zts552e	With the Centurio's Battle Cry the enemy always receives critical hits.
zts553e	Bind
zts554e	Strong Decay
zts555e	Damages armour and weapons with a strong acid.
zts556e	You cannot move when you are bound.
zts565e	Counterattack Chance
zts566e	Chance of a single critical counterattack.
zts567e	Knockdown
zts568e	The Knockdown is suspended as soon as the opponent has a Blackout or is attacked. In combination with the Execution skill, the opponent takes 30% additional damage.
zts569e	Enormously Shaky Status
zts570e	The Enormously Shaky Status occurs through a loss of balance, caused by the enemy's extreme provocation and leads to additional damage.
zts571e	Magical Reflection
zts572e	Magical Reflection reflects all the enemy's debuffs with a certain probability. Skills that only generate a debuff, without causing damage, cannot be reflected.
zts573e	Shaky Status
zts574e	The Shaky Status results from a loss of balance, caused by the enemy's extreme provocation.
zts575e	Engorgement
zts576e	Attack power and movement speed are increased by the craving for blood.
zts577e	Loser's Sigh
zts578e	The Loser's Sigh disheartens you with defeat. In combination with the Execution skill you will take 70% extra damage.
zts579e	Cheer of the Crowd
zts580e	The Cheer of the Crowd boosts your fighting spirit through revel in the enemy's defeat.
zts581e	Explosive Enhancement
zts582e	Explosive Enhancement increases your hit chance as well as the attack range.
zts583e	Victory Cry
zts584e	The Victory Cry demonstrates participation in battle with a strong desire for victory.
zts585e	First Shockwave
zts586e	The enemy falls into a state of shock as a result of a violent thunderclap.
zts587e	Magma Shield
zts588e	The Magma Shield absorbs the enemy's attack power and absorbs MP.
zts589e	Poisonous Volcanic Gas
zts590e	The Poisonous Volcanic Gas inflicts damage on opponents.
zts591e	Power of the Volcano
zts592e	The Power of the Volcano maximises all volcano skills.
zts593e	Lava Swamp
zts594e	The Lava Swamp inhibits the ability to attack.
zts595e	Lava Gush
zts596e	The Lava Gush has a certain likelihood of trapping the enemy in the setting lava.
zts597e	Large Lava Gush
zts598e	The Large Lava Gush has a certain likelihood of trapping the enemy in the setting lava.
zts599e	Bubbling Lava Gush
zts600e	The Bubbling Lava Gush has a high probability of trapping the enemy with its rapidly hardening lava.
zts601e	Burning Lava Gush
zts602e	The Burning Lava Gush quickly traps the enemy.
zts603e	Lava Rigour
zts604e	The opponent cannot do anything to halt the Lava Rigour.
zts605e	Leg Sweeper
zts606e	The opponent is thrown from their legs by an explosive shock wave.
zts607e	Great Explosive Shockwave
zts608e	The Great Explosive Shockwave wipes everything in its path.
zts609e	Turbo Loader
zts610e	The Turbo Loader improves performance by upgrading the cannon.
zts611e	Loading Jam
zts612e	The cannon's performance is hampered by faulty construction.
zts613e	Magma Plating
zts614e	Magma Plating covers your armour and provides extremely high defence power.
zts615e	Second Shockwave
zts616e	Third Shockwave
zts617e	Dragon Dread
zts618e	Frozen by a huge fear of dragons.
zts619e	Bad Landing Shock
zts620e	Puts target in a state of shock, induced by a bad landing.
zts621e	Perpetual Shockwave
zts622e	Puts target in a long lasting state of shock.
zts623e	The Knockdown is suspended as soon as the opponent has a Blackout or is attacked. In combination with the Execution skill, the opponent takes 20% additional damage.
zts624e	The body's effectiveness is increased by a craving for blood.
zts625e	The Loser's Sigh disheartens you with defeat. In combination with the Execution skill you will take 40% extra damage.
zts626e	The Burning Lava Gush quickly traps the enemy with a high probability.
zts627e	Weapon Defence
zts628e	Defend yourself from the opponent's attacks with the cannon.
zts629e	Blazing Hellfire
zts630e	The opponent is weakened by hellfire and their HP sinks continuously.
zts631e	Fatal Bleeding
zts632e	Owl Blessing
zts633e	Water resistance and attack power are increased.
zts634e	Halloween Blessing
zts635e	The Halloween Blessing increases your EXP by 10%.
zts636e	Blood-Sucking Dracula
zts637e	Leech your opponent's HP and increase your own vitality.
zts638e	Rudi's Blessing
zts639e	Increases the effectiveness of recovery items and increases the attack power against low-level monsters.
zts640e	Sound Flower's Blessing
zts641e	You receive this blessing after you have completed the Quest of the Sound Flower.
zts642e	Sound Flower's Fever
zts643e	Rudi's Shield
zts644e	Rudi's invisible shield offers protection for a moment.
zts645e	Noble Gesture
zts646e	You absorb the damage instead of your fellow player.
zts648e	The spirit is freed by meditation.
zts652e	The condition has brought about an internal injury.
zts655e	Shackling Trauma
zts656e	A state of shock arising from the penetration of a blade.
zts657e	Energy Deficiency
zts658e	Prevents a bad effect with a certain probability.
zts659e	Strong Energy Deficiency
zts660e	Critical Energy Deficiency
zts661e	Kundalini Syndrome
zts662e	This condition severely limits your physical and mental energy.
zts663e	Trauma
zts664e	Severe Trauma
zts665e	Critical Trauma
zts666e	Spirit of Sacrifice
zts667e	Water Bubble
zts668e	The water bubble encases you and gives you protection from attacks.
zts669e	Song of the Sirens
zts670e	Any self-control is lost to the Song of the Sirens.
zts671e	Small Waterfall
zts672e	Movement speed is reduced by the waterfall.
zts673e	Waterfall
zts674e	Large Waterfall
zts675e	Small Electric Shock
zts676e	Everything is paralysed for a moment by the Electric Shock.
zts677e	Electric Shock
zts678e	Big Electric Shock
zts679e	Water Pressure
zts680e	Everything is paralysed for a short time by the high water pressure.
zts681e	Ocean's Blessing
zts682e	The blessing of the holy seas protects you from damage from the enemy.
zts683e	Anger of the Viking (F)
zts684e	The Anger of the Viking erupts.
zts685e	Anger of the Viking (E)
zts686e	Anger of the Viking (D)
zts687e	Anger of the Viking (C)
zts688e	Anger of the Viking (B)
zts689e	Anger of the Viking (A)
zts690e	Anger of the Viking (S)
zts691e	Bad Boy's Strike (F)
zts692e	Outsmart the opponent with courage and bravery.
zts693e	Bad Boy's Strike (E)
zts694e	Bad Boy's Strike (D)
zts695e	Bad Boy's Strike (C)
zts696e	Bad Boy's Strike (B)
zts697e	Bad Boy's Strike (A)
zts698e	Bad Boy's Strike (S)
zts699e	Maternal Love (F)
zts700e	Maternal Love awakens a strong protective instinct.
zts701e	Maternal Love (E)
zts702e	Maternal Love (D)
zts703e	Maternal Love (C)
zts704e	Maternal Love (B)
zts705e	Maternal Love (A)
zts706e	Maternal Love (S)
zts707e	Mother's Wisdom (F)
zts708e	Women are weak, but mothers are strong.
zts709e	Mother's Wisdom (E)
zts710e	Mother's Wisdom (D)
zts711e	Mother's Wisdom (C)
zts712e	Mother's Wisdom (B)
zts713e	Mother's Wisdom (A)
zts714e	Mother's Wisdom (S)
zts715e	Heavy Bleeding (F)
zts716e	Heavy Bleeding (E)
zts717e	Heavy Bleeding (D)
zts718e	Heavy Bleeding (C)
zts719e	Heavy Bleeding (B)
zts720e	Heavy Bleeding (A)
zts721e	Heavy Bleeding (S)
zts722e	Freya's Announcement (F)
zts723e	Freya's Announcement (E)
zts724e	Freya's Announcement (D)
zts725e	Freya's Announcement (C)
zts726e	Freya's Announcement (B)
zts727e	Freya's Announcement (A)
zts728e	Freya's Announcement (S)
zts729e	Super Accurate Viking Shot (F)
zts730e	Super Accurate Viking Shot (E)
zts731e	Super Accurate Viking Shot (D)
zts732e	Super Accurate Viking Shot (C)
zts733e	Super Accurate Viking Shot (B)
zts734e	Super Accurate Viking Shot (A)
zts735e	Super Accurate Viking Shot (S)
zts736e	Leona's Blessing
zts737e	Leona's Blessing allows an efficient attack.
zts738e	Leona's Speciality
zts739e	Leona's Speciality gives you a more efficient attack.
zts740e	Resistance to the water element and attack power is increased.
zts741e	Fluffy Bally's Blessing
zts742e	Combat skill is increased by the Fluffy Bally's Blessing.
zts743e	Handicapped
zts744e	The enemy's attack power is inhibited.
zts746e	Spirit of Enlightenment
zts747e	Spirit of Temperance
zts748e	Spiritual Strength
zts749e	Internal Injury 1st Degree
zts750e	Internal Injury 2nd Degree
zts751e	Internal Injury 3rd Degree
zts752e	You cannot do anything with an Energy Deficiency.
zts753e	Mobile Trap
zts754e	If the mobile trap catches you, you cannot move for a while.
zts755e	Blinded
zts756e	The fog reduces the hit chance and delays the effect duration of your magic attack.
zts757e	Ambush
zts758e	Sitting in ambush and waiting for the right time to attack.
zts759e	Ambush Raid
zts760e	Carry out a targeted ambush on the opponent.
zts761e	Vital Energy
zts762e	Reinforce your vital energy through the energy of the forest.
zts763e	Ambush – Position 1
zts764e	Thanks to your virtually silent movements you can quickly hit and attack.
zts765e	Ambush – Position 2
zts766e	Sniper – Position 1
zts767e	Find the right position for a sniper attack. Also possible from an ambush.
zts768e	Sniper – Position 2
zts769e	Head Shot
zts770e	An accurate shot puts the target in a state of Shock.
zts771e	Ambush – Preparation 1
zts772e	Preparation for an effective ambush attack.
zts773e	Ambush – Preparation 2
zts774e	Eternal Ice
zts775e	You are trapped in the Eternal Ice and temporarily cannot do anything.
zts776e	Violent Roar
zts777e	For a short time a state of weakness is instilled by a Violent Roar.
zts778e	Mandra Stun
zts779e	The nerves are temporarily uncontrollable because of a Mandra Stun.
zts780e	Weak Mandra Poison
zts781e	The Mandra Poison severely attacks the nerves.
zts782e	Mandra Poison
zts783e	Strong Mandra Poison
zts784e	Lethal Mandra Poison
zts785e	Quick Evasion
zts786e	Evade an attack on the body with a quick turn.
zts787e	Under Sniper's Gaze
zts788e	Suffer enormous damage from a sniper attack.
zts789e	Eagle Eye
zts790e	The Eagle Eye allows you a very precise attack on a distant opponent.
zts791e	Beast's Roar
zts792e	The beast's attack power is boosted by the roar.
zts793e	Beast's Raving Madness
zts794e	Glacerus has gone crazy.
zts795e	Part of the received damage is transferred to a fellow player.
zts796e	You receive damage instead of another player, in return your defence power is increased.
zts797e	Fox's Blessing
zts798e	The Fox's Blessing increases resistance to the fire element.
zts799e	Song of the Sirens (PvP)
zts800e	Phase 1: Resurrection of the Team Arena
zts801e	During resurrection/phase 1, the survival ability is increased for a certain amount of time.
zts802e	Phase 2: Resurrection of the Team Arena
zts803e	During resurrection/phase 2, attack power is increased for a certain amount of time.
zts804e	Phase 3: Resurrection of the Team Arena
zts805e	During resurrection/phase 3, survival ability, attack power and movement speed are increased for a certain amount of time.
