zts1e	Baby Fox
zts142e	Large Mimic
zts143e	Morning Star Mimic
zts144e	Angry Morning Star Mimic
zts145e	Rookie Kenko Swordsman
zts146e	Kenko Swordsman
zts147e	Elite Kenko Swordsman
zts148e	Rookie Kenko Spearman
zts149e	Kenko Spearman
zts150e	Elite Kenko Spearman
zts151e	Rookie Kenko Raider
zts152e	Kenko Raider
zts153e	Elite Kenko Raider
zts154e	Lanetan
zts155e	Fernon Dryad
zts156e	Brown Bushi
zts157e	Gladiator Bushtail
zts158e	Exterminator Bushi
zts159e	Sick Bushtail
zts160e	Strong Bushi Trainer
zts161e	Giant Mandra
zts162e	Dashing Mandra
zts163e	Soldier Spider
zts164e	Slade
zts165e	Slade Priest
zts166e	Petrified Slade
zts167e	Weak Red Jelly
zts168e	Invisible Jelly
zts169e	Weak Pink Jelly
zts170e	Weak Dark Jelly
zts171e	Black Spider King
zts172e	Weak Spike Boing
zts173e	Strong Spike Boing
zts174e	Weak UFO Boing
zts175e	Strong UFO Boing
zts176e	Santa Bushi
zts177e	Wollet
zts178e	New Year Lucky Pig
zts179e	Small Lizard
zts180e	Giant Green Lizard
zts181e	Fat Pigeon
zts182e	Weak Raccoon Bird
zts183e	Strong Raccoon Bird
zts184e	Stone Hammer Stump
zts185e	Steel Hammer Stump
zts186e	Stone Axe Stump
zts187e	Steel Axe Stump
zts188e	Strong Tree Zombie
zts189e	Angry Tree Zombie
zts190e	Maple Soul
zts191e	Maple Devil
zts192e	Cog Boing A
zts193e	Cog Boing B
zts194e	Wolf
zts195e	Brutal Wolf
zts196e	Lion Wolf
zts197e	Brutal Lion Wolf
zts198e	Pig
zts199e	Strong Pig
zts200e	Mountain Turtle
zts201e	Rock Turtle
zts202e	Angry Beehive
zts203e	Dangerous Beehive
zts204e	Angry Swarm of Bees
zts205e	Dangerous Swarm of Bees
zts206e	Angry Queen Bee
zts207e	Dangerous Queen Bee
zts208e	Weak Spider
zts209e	Spider
zts210e	Strong Spider
zts211e	Small Toxi Spider
zts212e	Toxi Spider
zts213e	Large Toxi Spider
zts214e	Weak Spider King
zts215e	Spider King
zts216e	Strong Spider King
zts217e	Small Wasp
zts218e	Wasp
zts219e	Large Wasp
zts220e	Wiggy Wiggler
zts221e	Wiggler
zts222e	Angry Wiggler
zts223e	Small Wiggler
zts224e	Sick Strawee
zts225e	Strawee
zts226e	Angry Strawee
zts227e	Weak Skeleton Warrior
zts228e	Skeleton Warrior
zts229e	Strong Skeleton Warrior
zts230e	Weak Skull
zts231e	Weak Lava Golem
zts232e	Lava Golem
zts233e	Strong Lava Golem
zts234e	Old DustDeath
zts235e	DustDeath
zts236e	Ancient DustDeath
zts237e	Weak Darkwitch
zts238e	Darkwitch
zts239e	Bloodwitch
zts240e	Strong Bloodwitch
zts241e	Weak Deathwitch
zts242e	Deathwitch
zts243e	Ugly Spearman
zts244e	Ghastly Spearman
zts245e	Furious Skull
zts246e	Cursed Skull
zts247e	Angry Skull
zts248e	Angry Lava Golem
zts249e	Brutal Lava Golem
zts250e	Sad DustDeath
zts251e	Melancholy DustDeath
zts252e	Vicious Strawee
zts253e	Kukukeen
zts254e	Strong Darkwitch
zts255e	Strong Deathwitch
zts256e	Elite Kenko Flailman
zts257e	Feeble Walker
zts258e	Dark Gargs
zts259e	Skull Archer
zts260e	Cursed Skull Archer
zts261e	Skull Warrior
zts262e	Cursed Skull Warrior
zts263e	Dust King
zts264e	Powerful Dust King
zts265e	Angry Ice Fairy
zts266e	Brutal Ice Fairy
zts267e	Small Red Jelly
zts268e	Powerless Dust King
zts269e	Mother Cuby
zts270e	Cuby
zts271e	Ginseng
zts272e	Dark Castra
zts273e	Massive Slade
zts274e	NotUse
zts275e	Gruesome Demon
zts276e	Giant Black Spider
zts277e	Ginseng Plantlet
zts278e	Ginseng Pot
zts279e	Large Lizard
zts280e	Long-Legged Spider
zts281e	Invisible Dust King
zts282e	Emaciated Zombie Guard
zts283e	Lanky Zombie Guard
zts284e	Hunchbacked Zombie Guard
zts285e	Abominable Zombie Guard
zts286e	Gaunt Zombie Guard
zts287e	Mimi Mentor
zts288e	Teoman Topp
zts289e	Calvin Coach
zts290e	Soraya Style
zts291e	Eva Energy
zts292e	Malcolm Mix
zts293e	Puzzled Malcolm
zts294e	Korrkoaren
zts295e	NotUse
zts296e	Sword Imp
zts297e	Soldier of the NosVille Guards
zts298e	Lord Cuarry's Knight
zts299e	Archer of the NosVille Guards
zts300e	Tired Korrkoaren
zts301e	Korrkoaren
zts302e	Kenel
zts303e	Kenko Flailman
zts304e	Bob
zts305e	Tom
zts306e	Kliff
zts307e	Princess Catlotte
zts308e	Princess Catrisha
zts309e	Cenil
zts310e	Cenil
zts311e	Carven
zts312e	Teodor Topp
zts313e	Titus Trip
zts314e	Slugg
zts315e	Mine Manager
zts316e	Chicken
zts317e	Big Chicken
zts318e	Princess Catrisha
zts319e	Wounded Guard
zts320e	Captain of the NosVille Guards
zts321e	Knight
zts322e	Knights' Captain
zts323e	Angry Chicken
zts324e	Warlock
zts325e	Radal
zts326e	Rosebud Witch
zts327e	Mysterious Person
zts328e	Sleepwalking Ghost
zts329e	NotUse
zts330e	NotUse
zts331e	Lucia
zts332e	NotUse
zts333e	Morning Star
zts334e	Falling Rock
zts335e	Baby Spider
zts336e	Dead Kovolt
zts337e	Black Meteorite
zts338e	Scroll of Illumination
zts339e	Teleportation Stone
zts340e	Laboratory Observer
zts341e	Bushtail Trainer
zts342e	Small Signpost
zts343e	Large Signpost
zts344e	Time-Space Portal
zts345e	Fairy Clue
zts346e	Yellow Soulstone
zts347e	Red Soulstone
zts348e	Blue Soulstone
zts349e	Mysterious Soulstone
zts350e	Blackout Mandra
zts351e	Anti-Buff Mandra
zts352e	Strong Bushtail
zts353e	Fire Bushtail
zts354e	Water Bushtail
zts355e	Light Bushtail
zts356e	Shadow Bushtail
zts357e	Underworld Devil
zts358e	Training Stake
zts360e	Fire Slade
zts361e	Leech
zts362e	Mole
zts363e	Guard Sam
zts364e	Guard Jim
zts365e	Mine Manager Mudog
zts366e	Mine Manager Krispo
zts368e	Jerico
zts369e	Commander Ray Ramos
zts370e	General of the Ramos Knights
zts371e	Captain of the Ramos Knights
zts372e	Koaren Spy
zts373e	Mumbling Miner
zts374e	Rumbler
zts375e	Rumbler King
zts376e	Standing Goggloic
zts377e	Enchanted Sword
zts378e	Enchanted Bow
zts379e	Enchanted Morning Star
zts380e	Riven Frock
zts381e	Weak Punkie
zts382e	Dark Scorpion
zts383e	Water Grasshopper
zts384e	Flame Butterfly
zts385e	Light Tree Soul
zts386e	Dark Tree Soul
zts387e	Cold Tree Soul
zts388e	Warm Tree Soul
zts389e	Bound Soul
zts390e	Hellhound
zts391e	Demon Servant
zts392e	Knight Pinto
zts393e	Fragrant Grass
zts394e	Deep Well
zts395e	Broken Red Plate
zts396e	Tree Stump
zts397e	Blossom Tree
zts398e	Kovolt Statue
zts399e	Pentagram
zts400e	Evil Circle
zts401e	Sacred Shrub
zts402e	Holy Altar
zts403e	Magic Branch
zts404e	Sniffer's Nest
zts405e	Scarescrew (Gate 1)
zts406e	Scarescrew (Gate 2)
zts407e	Scarescrew (Gate 3)
zts408e	Logs
zts409e	Level 20 Quest Giver
zts410e	Level 21-1 Quest Giver
zts411e	Level 21-2 Quest Giver
zts412e	Level 21-3 Quest Giver
zts413e	Level 21-4 Quest Giver
zts414e	Level 21-5 Quest Giver
zts415e	Level 21-6 Quest Giver
zts416e	Level 22-1 Quest Giver
zts417e	Level 22-2 Quest Giver
zts418e	Level 22-3 Quest Giver
zts419e	Wheat
zts420e	Iron Ore
zts421e	Level 25-1 Quest Giver
zts422e	Level 25-2 Quest Giver
zts423e	Level 25-3 Quest Giver
zts424e	Level 25-4 Quest Giver
zts425e	Level 25-5 Quest Giver
zts426e	Level 25-6 Quest Giver
zts427e	Level 25-7 Quest Giver
zts428e	Level 25-8 Quest Giver
zts429e	Level 25-9 Quest Giver
zts430e	Level 25-10 Quest Giver
zts431e	Strange Trace
zts432e	Captain Lance
zts434e	Eggy
zts438e	Gamecock
zts439e	Chicken King
zts440e	Mysterious Well
zts441e	Mysterious Well
zts442e	Bird's Egg
zts443e	Golden Nest
zts444e	Magic Well
zts445e	Weird Well
zts446e	Guard
zts447e	Jumpy Chicky
zts448e	Dancing Chicky
zts449e	Grumbly Chicky
zts450e	Flying Goggloic
zts451e	Bound Soul Body
zts452e	Riven Frock Bringer
zts453e	Wanted List
zts454e	Koaren Chief
zts455e	Colly
zts456e	Anni
zts457e	Doggo
zts458e	Earthworm
zts459e	Terramonster
zts460e	Large Mole Cricket
zts461e	Foggy Colossus
zts462e	Soul of a Warrior
zts463e	Soul of an Archer
zts464e	Beast
zts465e	Kenko Spy
zts466e	Pinching Torturer
zts467e	Wheel Torturer
zts468e	Whip Torturer
zts469e	Devil Lady
zts470e	Statue of the Biting Shinebone
zts471e	Damaged Guard Post
zts472e	Soft Ground
zts473e	Rough Ground
zts474e	Sparkling Rock
zts475e	Broom
zts476e	Suspicious Wallpaper
zts477e	Statue of Terror
zts478e	Bouncy Ninja Dwarf
zts479e	Armed Ninja Dwarf
zts480e	Drunk Ninja Dwarf
zts481e	Ninja
zts482e	Nonomaru
zts483e	Ghost-in-Love
zts484e	Namaju
zts485e	Unhappy Ninja Dwarf
zts486e	Mini Jajamaru
zts487e	Princess Sakura
zts488e	Angry Namaju
zts489e	Violent Seedle
zts490e	Crazy Dander
zts491e	Violent Chicken
zts492e	Yobby Expy Miner
zts493e	Jajamaru
zts494e	Meteorite Chunk
zts495e	Big Tombstone
zts496e	Small Tombstone
zts497e	Jajamaru's Trap
zts498e	Bamboo Sticks
zts499e	Iron Torturer
zts500e	Brutal Namaju
zts501e	Strong Punkie
zts502e	Jajamaru's Pot
zts503e	Large Rainbow Crystal
zts504e	Medium Rainbow Crystal
zts505e	Small Rainbow Crystal
zts506e	Cursed Beast
zts507e	Cursed Foggy Colossus
zts508e	Cursed Devil Lady
zts509e	Rosebud Witch
zts510e	Strong Whitewitch
zts511e	Shinebone Statue
zts512e	Fruit Tree
zts513e	Score Board
zts514e	Red Stone
zts515e	Broken Shinebone Statue
zts516e	Kenko Spy Giver 1
zts517e	Kenko Spy Giver 2
zts518e	Kenko Spy Giver 3
zts519e	Kenko Spy Giver 4
zts520e	Rosebud Whitewitch
zts521e	Revenant Skeleton Warrior
zts522e	Skull Hawk
zts523e	Death Warrior
zts524e	Hell Knight
zts525e	Flying Fire Devil
zts526e	New NPC
zts527e	Grasslin Fairy
zts528e	Grasslin Fairy
zts529e	Giant Grasslin
zts530e	Fire Drake
zts531e	Bone Drake
zts532e	Small Grasslin
zts533e	Rice Plant
zts534e	Gate to the Land of Death
zts535e	Gladiator Bushtail
zts536e	Catrisha
zts537e	Catlotte
zts538e	Jack Lumber
zts539e	Rody Windsinger
zts540e	Rudy Steward
zts541e	Eri Windspear
zts542e	Erikiel's Squad
zts543e	Soty Bystander
zts544e	Khanty Darkstaker
zts545e	Rect Lat
zts546e	Recturus Lightelusion
zts547e	Giant Clam
zts548e	Treekun
zts549e	King Leech
zts550e	Fire Golem
zts551e	Basilisk
zts552e	Giant Larva
zts553e	NotUse
zts554e	Large Jellyfish
zts555e	Small Jellyfish
zts556e	Old Tree Spirit
zts557e	Greylander
zts558e	Giant Leech
zts559e	Angel
zts560e	Moth
zts561e	Cricket Mole
zts562e	Young Mole
zts563e	Mole Mother
zts564e	Large Hellhound
zts565e	Enkidu
zts566e	Larva
zts567e	Daisy
zts568e	Iris
zts569e	Chrysos Statue
zts570e	Well
zts571e	Big Red Flower
zts572e	Chrysos
zts573e	Yak Warrior
zts574e	Yak Magician
zts575e	Young Mole
zts576e	Shot Bomb
zts577e	Bomb
zts578e	Sentinel
zts579e	Mole Cricket
zts580e	Bomb
zts581e	Fire Mine
zts582e	Fabian Frost
zts583e	Daisy Akamur
zts584e	Seina Reiya
zts585e	Justin Darkflame
zts586e	Whitney Catherine
zts587e	Demonic Guardsman
zts588e	Dire Hell Guard
zts589e	Savage Hell Guard
zts590e	Kartos
zts591e	Benteruke
zts592e	Pelicert
zts593e	Archtheridon Hellduke
zts594e	Echekaruel Mysticaron
zts595e	Dr. W
zts596e	Ancient Soul
zts597e	Golden Soulstone
zts598e	Holy Well
zts599e	Bushtail
zts600e	Exterminator Bushi
zts601e	Kupei Karustier
zts602e	Arcke
zts603e	Angel Jabiniel
zts604e	Angel Israel
zts605e	Angel Reedwhanel
zts606e	Grey Soulstone
zts607e	Arms Merchant
zts608e	Armour Merchant
zts609e	Production Goods Merchant
zts610e	Cook
zts611e	Fashion Designer
zts612e	Alchemist
zts613e	Gardener
zts614e	Teleportation Tower
zts615e	Airwaves Sign
zts616e	Santa Claus
zts617e	Snowman
zts618e	Snowman Head
zts619e	Huge Snowman Head
zts620e	Benito Butler
zts621e	Lucky Rat
zts622e	Aurelius Roshu
zts623e	Rudin Albisco
zts624e	Leika Passage
zts625e	Seal Refugee
zts626e	NotUse
zts627e	Cappen
zts628e	Kangpen
zts629e	Jackpen
zts630e	Gnoll Scout
zts631e	Gnoll Warrior
zts632e	NotUse
zts633e	Yeti
zts634e	NotUse
zts635e	Prota
zts636e	Ice Witch
zts637e	Lace
zts638e	NotUse
zts639e	Ice Worm
zts640e	Lord Mukraju
zts641e	Ross Hisrant
zts642e	Small Campfire
zts643e	Large Campfire
zts644e	Ross Hisrant
zts645e	Mokan Warrior
zts646e	Mokan Hunter
zts647e	Molda's Warrior
zts648e	Molda's Warlock
zts649e	Lord Morcos
zts650e	Jjinta
zts651e	Monster Summoning Portal
zts652e	Hemil Melius
zts653e	Amelia Glacia
zts654e	Egg Fairy
zts655e	Little Suspicious Gnoll Scout
zts656e	Suspicious Gnoll Scout
zts657e	Very Suspicious Gnoll Scout
zts658e	Extremely Suspicious Gnoll Scout
zts659e	Egg Fairy
zts660e	Arnold Artisan
zts661e	Isaac Artisan
zts662e	Noelia Rosa
zts663e	Margaret
zts664e	Alice Bellia
zts665e	Marvin Magicus
zts666e	Edward
zts667e	Dark Guardian Eye
zts668e	Dark Hunter
zts669e	Shadow Predator
zts670e	Dark Hermit
zts671e	Lord Hatus
zts672e	Novice Groom Selvic
zts673e	Seloin Beginner
zts674e	Retired Teodor Topp
zts675e	Retired Teoman Topp
zts676e	Frank the Researcher
zts677e	Wandering Slugg
zts678e	Knights' Captain Pinto
zts679e	Busy Mimi Mentor
zts680e	Lazy Eva Energy
zts681e	Violent Yeti
zts682e	Powerful Molda's Warrior
zts683e	Powerful Molda's Warlock
zts684e	White Seal
zts685e	Alfred Erudio
zts686e	Giant Chick
zts687e	Thousand-Year-Old Mandra
zts688e	Hell's Guard Dog
zts689e	Giant Gamecock
zts690e	Thousand-Year-Old Potato
zts691e	Satan's Lapdog
zts692e	Giant Warepard
zts693e	Satellite Boing
zts694e	Root Devil
zts695e	Muscular Slade
zts696e	Shadow King
zts697e	Slade Golem
zts698e	Mini Castra
zts699e	Death Knight
zts700e	Fat Leech
zts701e	Thousand-Year-Old Ginseng
zts702e	Basilisk King
zts703e	Giant Warrior
zts704e	Cursed Tree
zts705e	King Crab
zts706e	Docile Yeti
zts707e	Fabian Frost
zts708e	Crystal Cave Guard Dog
zts709e	Crystal Cave Gatekeeper
zts710e	Crystal Cave Priest
zts711e	Crystal Cave Guardian
zts712e	notuse
zts713e	notuse
zts714e	notuse
zts715e	Lord Berios
zts716e	Ocean Hunter
zts717e	Ocean Guardian
zts718e	Ocean Overseer
zts719e	Chaser Fish
zts720e	Lady Calvinas
zts721e	Ice Machine
zts722e	Angel Base Camp
zts723e	Demon Base Camp
zts724e	Altar of Angels
zts725e	Altar of Demons
zts726e	Aqua Bushtail
zts727e	Rolling Stone 1
zts728e	Rolling Stone 2
zts747e	Pegasus
zts748e	Cute Bunny
zts749e	Leech
zts750e	Giant Yeti
zts751e	Recturus Lightelusion
zts752e	Khanty Darkstaker
zts753e	Trained Chicken
zts754e	Strong Ginseng
zts755e	Strong Basilisk
zts756e	Trained Wooly
zts757e	Trained Mufflon
zts758e	Trained Ram
zts759e	Trained Hamster
zts760e	Trained Poisonous Hamster
zts761e	Trained Steel Hamster
zts762e	Trained Fox
zts763e	Trained Dusi-Fox
zts764e	Trained Oto-Fox
zts765e	Trained Pink Jelly
zts766e	Trained Red Jelly
zts767e	Trained Dark Jelly
zts768e	Trained Imp
zts769e	Trained Horn Imp
zts770e	Trained Devil Imp
zts771e	Trained Wolf
zts772e	Trained Lion Wolf
zts773e	Cappen King
zts774e	Young Gnoll
zts775e	Giant Ice Worm
zts776e	Giant Prota
zts777e	Giant Enkidu
zts778e	Giant Ice Fairy
zts779e	Brutal Gamecock
zts780e	Mandra Ghost
zts781e	Strong Vampie
zts782e	Elite Koaren Warrior
zts783e	Elite Koaren Archer
zts784e	Dangerous Kenko Raider
zts785e	Leader of the Stonewalkers
zts786e	Angry Warepard
zts787e	Angel Guardian
zts788e	Demon Guardian
zts789e	Vampie Scarecrow
zts790e	Kovolt Scarecrow
zts791e	Scarecrow Bushtail
zts792e	Kenko Scarecrow
zts793e	Warepard Scarecrow
zts794e	Catsy Scarecrow
zts795e	Skull Warrior Scarecrow
zts796e	NosMate Trainer (Beginner)
zts797e	NosMate Trainer (Intermediate)
zts798e	NosMate Trainer (Advanced)
zts799e	Ghost of the Evil Sorcerer
zts800e	Angry Wiggler
zts801e	Summoned Queen Bee
zts802e	Giant Wiggler
zts803e	Slippery Worm
zts804e	Big Golem
zts805e	Steel Horn Boing
zts806e	Soldier Spider
zts807e	Monster of Darkness
zts808e	Gundog of Hell
zts809e	Serious Slade
zts810e	Cruel Skeleton Knight
zts811e	Cruel Skeleton Archer
zts812e	Gigantic Guardian
zts813e	Giant Guardian
zts814e	Menacing Slade
zts815e	Shadow Knight Deront
zts816e	Small Leech
zts817e	Poison Larva
zts818e	Panzer Knight Lantess
zts819e	Split Jellyfish
zts820e	Dark Fog Pontiff
zts821e	Giant Stonewalker
zts822e	King Crab
zts823e	Queen Mole
zts824e	Mystic Knight
zts825e	Mysticaron
zts826e	Old Warepard
zts827e	Ancient Shadow King
zts828e	Ancient Mini Castra
zts829e	Old Root Devil
zts830e	Giant Pink Jelly
zts831e	Strong Hell Knight
zts832e	Strong Greylander
zts833e	Firewood
zts834e	Firewood
zts835e	Swordsman Soulstone
zts836e	Archer Soulstone
zts837e	Sorcerer Soulstone
zts838e	Angel Ice Attack
zts839e	Demon Ice Attack
zts840e	Training Stake
zts841e	Training Post
zts842e	Crystal Ball of the Swordsman
zts843e	Crystal Ball of the Archer
zts844e	Crystal Ball of the Magician
zts845e	Giant Kenko Raider
zts846e	Vampie Scarecrow Area
zts847e	Ugly Rudolph
zts848e	Abominable Rudolph
zts849e	Wicked Snowman
zts850e	Super Santa Bushi
zts851e	Weak Fire Devil
zts852e	Bull Bushtail
zts853e	Ice Worm
zts854e	Junior Gnoll Battlescout
zts855e	Fierce Prota
zts856e	Young Gnoll Scout
zts857e	Enkidu Offspring
zts858e	Summoned Jackpen
zts859e	Summoned Kangpen
zts860e	Snow Basilisk
zts861e	Snow Lion
zts862e	Snow Fox
zts863e	Samurai Bushtail
zts867e	Inferno
zts889e	Desert Sand Fish
zts890e	Desert Sand Prota
zts891e	Desert Sand Cutter
zts892e	Desert Sand Predator
zts893e	Desert Sand Creeper
zts894e	Desert Sand Spike Creeper
zts895e	Desert Sand Blade Horn
zts896e	Desert Sand Fox
zts897e	Desert Sand Cactus
zts898e	Desert Sand Mantis
zts899e	Desert Sand Scorpion
zts900e	Desert Sand Basilisk
zts901e	Prayer Monk
zts902e	Prayer Spirit
zts903e	Prayer Priest
zts904e	Prayer Leader
zts905e	Commander Neil
zts906e	Commander Melki
zts907e	Commander Keru
zts908e	Commander Garton
zts909e	Neil's Patrol Samurai
zts910e	Neil's Patrol Assassin
zts911e	Neil's Patrol Hunter
zts912e	Neil's Patrol Bomber
zts913e	Neil's Jailer
zts914e	Neil's Storekeeper
zts915e	Neil's Key Master
zts916e	Neil's Patrol Spy
zts917e	Ibrahim
zts918e	Commander Shoran
zts919e	Commander Shay
zts920e	Neil's Patrol Scout
zts921e	Sandstorm
zts922e	Sand Spirit
zts923e	Sand Giant
zts924e	Sand Dwarf
zts925e	Antique Relic Administrator
zts926e	Wind Sand Spirit
zts927e	Wind Sand Gladiator
zts928e	Wind Sand Archer
zts929e	Wind Sand Mage
zts930e	Gatekeeper of the Ancient Ruins
zts933e	Valakus King of Fire
zts935e	Kertos the Demon Dog
zts947e	Fire God Grenigas
zts948e	Jin Hamadin
zts949e	Lighthouse Guard Chilton
zts950e	Harbour Guard Tom
zts951e	President Noah
zts952e	Hazel
zts953e	Priestess Serizad
zts954e	High Priest Eladin
zts955e	Priestess Vera
zts956e	Riana
zts957e	Serena
zts958e	Nephi
zts959e	Semia
zts960e	Paul
zts961e	Delmon Milow
zts962e	Akamur Merchant Guard
zts963e	Akamur Merchant Representative
zts964e	Akamur Merchant
zts965e	Inhabitant
zts966e	Ghost of a Treasure Hunter
zts967e	Dead Treasure Hunter
zts968e	Soul of a Priest
zts969e	Dead Priest
zts970e	Dead Robber
zts971e	Camel
zts972e	Hamid
zts973e	Prisoner Sharif
zts974e	Rushaldin
zts975e	Kamil
zts976e	Michol
zts977e	Xavier
zts978e	Velmon
zts979e	Chaos Militia
zts980e	Maloren Desert Pillager
zts981e	Bolporti the Silk Weaver
zts982e	Chaos Zone Inhabitant
zts983e	Inspector Serges
zts984e	Mysterious Traveller
zts985e	Grenigas' Phantom
zts1192e	Spirit Sand Cactus
zts1193e	Desert Sand Fox
zts1194e	Spirit Sand Fox
zts1195e	Prisoner
zts1196e	Neil's Camp Guard
zts1197e	Representative Mursha
zts1198e	Prickly Pear
zts1199e	Neil's Mailbox
zts1200e	Prisoner Humad
zts1201e	Priestess Nora
zts1202e	Guard Putran
zts1203e	Fortune-Teller Nuki
zts1204e	Assistant Shane
zts1205e	Abandoned Amakur Merchant Chest
zts1206e	Ruined Trade Goods
zts1207e	Pillaged Trade Goods
zts1208e	Flag Obtaining NPC
zts1209e	NPC - Region 1
zts1210e	NPC - Region 2
zts1211e	NPC - Region 3
zts1212e	NPC - Region 4
zts1213e	NPC - Region 5
zts1214e	NPC - Region 6
zts1215e	Quest NPC
zts1216e	Suspicious Potion
zts1217e	Keru's Strange Chest
zts1218e	Garton's Strange Chest
zts1219e	Keru's Stolen Relics
zts1220e	Garton's Stolen Relics
zts1221e	Boxer Bushi
zts1222e	Summoned Ocean Hunter
zts1223e	Summoned Ocean Guardian
zts1248e	NosMate Trainer (Beginner)
zts1249e	Sea Sand Fish
zts1250e	Sea Sand Prota
zts1251e	Sea Sand Cutter
zts1252e	Sea Sand Predator
zts1253e	Sea Sand Creeper
zts1254e	Sea Sand Spike Creeper
zts1255e	Sea Sand Blade Horn
zts1256e	Sea Sand Fox
zts1257e	Sea Sand Cactus
zts1258e	Sea Sand Mantis
zts1259e	Sea Sand Scorpion
zts1260e	Sea Sand Basilisk
zts1261e	Prayer Monk
zts1262e	Prayer Spirit
zts1263e	Prayer Priest
zts1264e	Prayer Leader
zts1265e	Commander Neil
zts1266e	Commander Melki
zts1267e	Commander Keru
zts1268e	Commander Garton
zts1269e	Neil's Patrol Samurai
zts1270e	Neil's Patrol Assassin
zts1271e	Neil's Patrol Hunter
zts1272e	Neil's Patrol Bomber
zts1273e	Neil's Jailer
zts1274e	Neil's Storekeeper
zts1275e	Neil's Key Master
zts1276e	Neil's Patrol Spy
zts1277e	Ibrahim
zts1278e	Commander Shoran
zts1279e	Commander Shay
zts1280e	Neil's Patrol Scout
zts1281e	Sandstorm
zts1282e	Sand Spirit
zts1283e	Sand Giant
zts1284e	Sand Dwarf
zts1285e	Antique Relic Administrator
zts1286e	Wind Sand Spirit
zts1287e	Wind Sand Gladiator
zts1288e	Wind Sand Archer
zts1289e	Wind Sand Mage
zts1290e	Gatekeeper of the Ancient Ruins
zts1291e	Burning Magmaros
zts1292e	Burning Valaket
zts1293e	Valakus King of Fire
zts1294e	Blaze Hound
zts1295e	Kertos the Demon Dog
zts1296e	Burning Giant
zts1297e	Burning Leash
zts1298e	Burning Sculptor
zts1299e	Katol
