zts1e	Training for Rookie Adventurers
zts83e	Hunt Gargs!
zts84e	Hunt Large Devil Imps!
zts85e	Protect the mines!
zts86e	Hunt Happy Miners!
zts87e	Hunt Weak Expy Miners!
zts88e	Hunt Miners!
zts89e	Hunt Angry Miners!
zts90e	Hunt Expy Miners!
zts91e	Hunt Tired Chief Miners!
zts92e	Hunt Strong Expy Miners!
zts93e	Hunt Chief Miners!
zts94e	Hunt Nervous Chief Miners!
zts95e	Collect Ore!
zts96e	Collect Pickaxes!
zts97e	Collect Broken Horns!
zts98e	Kovolt battle!
zts99e	Hunt Koaren Sword Fighters!
zts100e	Hunt Koaren Archers!
zts101e	Hunt Koaren Warriors!
zts102e	Hunt Elite Koaren Sword Fighters!
zts103e	Hunt Elite Koaren Archers!
zts104e	Hunt Elite Koaren Warriors!
zts105e	Hunt Rookie Kenko Swordsmen!
zts106e	Hunt Rookie Kenko Spearmen!
zts107e	Hunt Rookie Kenko Raiders!
zts108e	Hunt Kenko Swordsmen!
zts109e	Hunt Kenko Spearmen!
zts110e	Hunt Kenko Raiders!
zts111e	Hunt Elite Kenko Swordsmen!
zts112e	Hunt Elite Kenko Spearmen!
zts113e	Hunt Elite Kenko Raiders!
zts114e	Protect Mount Krem!
zts115e	Hunt Large Devil Imps!
zts116e	Hunt Strong Gargs!
zts117e	Hunt Angry Queen Bees!
zts118e	Hunt Wolves!
zts119e	Hunt Small Toxi-Spiders!
zts120e	Hunt Small Wasps!
zts121e	Hunt Wiggy Wigglers!
zts122e	Hunt Thorn Piis!
zts123e	Hunt Pigs!
zts124e	Hunt Mountain Turtles!
zts125e	Hunt Weak Spiders!
zts126e	Hunt Brutal Wolves!
zts127e	Hunt Toxi Spiders!
zts128e	Hunt Strawees!
zts129e	Hunt Lion Wolves!
zts130e	Hunt Weak Spiders!
zts131e	Hunt Small Wasps!
zts132e	Hunt Quick Thorn Pii!
zts133e	Hunt Rock Turtles!
zts134e	Hunt Wigglers!
zts135e	Hunt Brutal Lion Wolves!
zts136e	Hunt Strong Spiders!
zts137e	Hunt Large Toxi Spiders!
zts138e	Hunt Angry Strawees!
zts139e	Hunt Strong Pigs!
zts140e	Destroy Dangerous Beehives!
zts141e	Hunt Dangerous Queen Bees!
zts142e	Hunt Large Wasps!
zts143e	Hunt Angry Wigglers!
zts144e	Hunt Vicious Strawees!
zts145e	Catsy Battle
zts146e	Hunt Weak Darkwitches!
zts147e	Hunt Bloodwitches!
zts148e	Hunt Darkwitches!
zts149e	Hunt Strong Bloodwitches!
zts150e	Hunt Weak Deathwitches!
zts151e	Hunt Deathwitches!
zts152e	Hunt Marsha Darkwitches!
zts153e	Hunt Strong Deathwitches!
zts154e	Destroy Undead!
zts155e	Hunt Weak Skeleton Warriors!
zts156e	Hunt Old DustDeaths!
zts157e	Hunt Weak Lava Golems!
zts158e	Hunt Skeleton Warriors!
zts159e	Hunt Lava Golems!
zts160e	Hunt DustDeaths!
zts161e	Hunt Strong Skeleton Warriors!
zts162e	Hunt Strong Lava Golems!
zts163e	Hunt Ancient DustDeaths!
zts164e	Hunt Furious Skulls!
zts165e	Hunt Angry Lava Golems!
zts166e	Hunt Cursed Skulls!
zts167e	Hunt Sad DustDeaths!
zts168e	Hunt Angry Skulls!
zts169e	Hunt Brutal Lava Golems!
zts170e	Hunt Melancholy DustDeaths!
zts171e	Malcolm Mix has asked you to collect items!
zts172e	Collect Fox Tails!
zts173e	Collect Hamster Thorns!
zts174e	Collect Wool!
zts175e	Collect Mandragoras!
zts176e	Collect Dander Seeds!
zts177e	Collect Seedle Leaves!
zts178e	Collect Small Beans!
zts179e	Hunt Jellies and collect Red Cubies!
zts180e	Collect Imp Horns!
zts181e	Collect Vampie Pellets!
zts182e	Eliminate Walkers, Koaren and Kenkos and collect Shining Pieces!
zts183e	Eliminate Gargs and collect Darkness Pieces!
zts184e	Collect Wolf Manes!
zts185e	Collect Turtle Shells!
zts186e	Collect Spider Webs!
zts187e	Hunt Skulls, Lava Golems and DustDeaths and collect Pearls of Darkness!
zts188e	Give Pyjama a blanket!
zts189e	Collect wool to make a blanket!
zts190e	Give Pyjama a pillow!
zts191e	Collect feathers from Angry Chickens!
zts192e	Talk to the Pyjama Fairy!
zts193e	All feathers collected. Talk to the Pyjama Fairy again!
zts194e	Give Pyjama a bed!
zts195e	Collect 40 pieces of Low Quality Wood!
zts196e	Give Pyjama a mattress!
zts197e	Hunt Jellies and collect Blues Cubies!
zts198e	Talk to the Pyjama Fairy!
zts199e	Mattress created! Go to the Pyjama Fairy and give it to her!
zts200e	Complete the Time-Space mission the Pyjama Fairy gave you!
zts201e	What Adventure Awaits?
zts202e	Talk to the impertinent Pyjama Fairy!
zts203e	Tricked by Pyjama! That cannot be forgiven!
zts204e	Find the Powerless Dust King's Heart!
zts205e	Enter the Time-Space Stone and find the Powerless Dust King's Heart!
zts206e	Go back to the Soulstone!
zts207e	Found the Heart. Go and talk to the Soulstone!
zts208e	Find the bone of the Powerless Dust King!
zts209e	Enter the Time-Space Stone and find the bone of the Powerless Dust King!
zts210e	Go back to the Soulstone!
zts211e	You have found a strange sword instead of a bone. Go back and report about what you found!
zts212e	Knock down the Powerless Dust King!
zts213e	This is the final chapter in an old feud. Enter the Time-Space Stone!
zts214e	Talk to the Soulstone!
zts215e	You have defeated the Powerless Dust King. Return and report back!
zts216e	Collect Lilies!
zts217e	Collect 100 Lilies! Hunt monsters of the same level!
zts218e	Collected all the Lilies! Go back to the Soulstone!
zts219e	Soothe the Holy Mage!
zts220e	Hunt the Assassin!
zts221e	Hunt the Assassin and enter the Time-Space!
zts222e	Protect the Ninja!
zts223e	Save the Ninja after entering the Time-Space through the Soulstone!
zts224e	Go back to the Soulstone!
zts225e	You have successfully protected the Ninja. Return now!
zts226e	Misunderstanding & Truth
zts227e	Enter the Time-Space Stone!
zts228e	Tell the Ninja the truth!
zts229e	NosMall Opening Event!
zts230e	Hunt monsters with the same level or higher and collect balloons.
zts231e	The Laboratory's Secret
zts232e	Find access to the First Hidden Laboratory Time-Space with the use of a Time-Space Piece (Laboratory)!
zts233e	Find access to the Second Hidden Laboratory Time-Space with the use of a Time-Space Piece (Laboratory)!
zts234e	Find access to the Third Hidden Laboratory Time-Space with the use of a Time-Space Piece (Laboratory)!
zts235e	Face the guardian's attack with Radal's Testament on the 3rd floor!
zts236e	Confront Radal!
zts238e	Rookie Training
zts240e	Capture a Chicken using your skill!
zts241e	Hunt some Weak Seedles with your NosMate!
zts242e	Go to Calvin Coach to improve your skills!
zts244e	Visit the alchemist Malcolm Mix!
zts245e	Go and meet Teoman Topp at the Tool Shop!
zts246e	Go to the NosVille Market and buy something to eat!
zts247e	Time-Space Stone Adventure
zts248e	Go to the Time-Space Stone in the northern part of town!
zts249e	Go out on patrol in NosVille Meadows!
zts250e	Preventive Measures Against Infectious Diseases
zts251e	Root out the cause of the terrible infectious disease!
zts252e	Root out the cause of the terrible infectious disease!
zts253e	Stamp out the terrible infectious disease!
zts254e	Strong Undead
zts255e	Destroy Undead!
zts256e	Go to NosVille and report to Guard Sam!
zts257e	Complete Guard Jim's task!
zts258e	Report to Guard Jim!
zts260e	Follow the arrow and find out what's happening!
zts261e	Feels like something fishy is going on. Talk to Mimi Mentor!
zts262e	Produce a Gold Necklace using the tool!
zts263e	Talk to Soraya Style, the accessories expert!
zts264e	Take the lunch box to Calvin Coach!
zts265e	Find out what Malcolm Mix wants!
zts267e	Talk to Malcolm Mix!
zts268e	Go to Eva Energy at the NosVille Market!
zts269e	Collect five Small Beans for Eva Energy!
zts270e	Bring all the collected ingredients to Eva Energy!
zts271e	Ominous Shadows over NosVille
zts272e	Stop the monsters on NosVille Meadows!
zts273e	Hunt escaped creatures and make the area safe!
zts274e	The area's safe now. Return to NosCamp!
zts275e	Return to Mimi Mentor once you've made all the preparations!
zts276e	Gather the necessary items!
zts277e	Eliminate creatures in the Mine Plains!
zts278e	Kovolt in the Mines
zts281e	You've found all the hammers. Talk to Miner Mudog again!
zts282e	Take the hammers to Teoman Topp!
zts283e	Drop in on Mimi Mentor!
zts284e	Get the next mission from Miner Mudog!
zts285e	Get the next mission from Miner Mudog!
zts286e	Inspect the area the miners pointed out to you!
zts287e	Return to town and report to Mimi Mentor!
zts288e	Get the Adventurer's Shoes and give them to Malcolm Mix!
zts289e	Protect Malcolm Mix's uncle in Western Mine 1!
zts290e	Use the Kovolt Mask and find out the Kovolts' plans!
zts291e	Kovolt General Strike
zts292e	Inform Miner Mudog about the Kovolts' strike!
zts293e	Break the Kovolts' strike!
zts294e	Talk to Miner Mudog again!
zts295e	Find out what's happening with the Kovolts' strike!
zts296e	Talk to Mimi Mentor about the Kovolts' problems!
zts297e	Hunt some monsters until Lord Cuarry's answer comes.
zts298e	Listen to what Mimi has to say!
zts299e	New Meeting
zts301e	Check out the strange sounds in the Mine Plains!
zts302e	Take a look around!
zts303e	Collect the guard's weaopn from Teoman Topp!
zts304e	Go to where the troops have gathered.
zts305e	Ask Calvin Coach to translate the Black Slate!
zts307e	Eliminate the monsters hanging around nearby!
zts308e	Find Bob and eliminate the monsters with him!
zts309e	Report to Miner Mudog!
zts310e	Eliminate the Kovolts in Western Mine 2!
zts311e	Report to Mine Manager Mudog!
zts312e	Protect Mine Manager Krispo!
zts313e	Defeat the Kovolts' main units together with the guards!
zts314e	Invincible Enemy
zts316e	Have Eva Energy tell you more about fairies!
zts317e	Talk to Slugg!
zts319e	Find out how it is that the monsters are pouring out without end!
zts320e	Tell the people of NosCamp about the Dark Gargs!
zts321e	Tell Knight Pinto of the latest news!
zts322e	Suspicious Guard
zts323e	Find Captain Lance on Sunny Meadows!
zts324e	Serve Captain Lance breakfast!
zts325e	Keep guard while Captain Lance has his meal!
zts326e	Find Captain Lance's Cigarette Packet!
zts328e	Ask Knight Pinto about Tom!
zts329e	Ask Calvin Coach about the card!
zts331e	Bring Teodor Topp what he needs!
zts332e	Capture the animals Teodor Topp requires!
zts333e	Ask Teodor Topp about the secret meeting place!
zts334e	Go to the knights' meeting place!
zts335e	Rival
zts337e	Ask Malcolm Mix about Homing Perfume!
zts338e	Collect Fragrant Grass on NosVille Meadows!
zts340e	Get Mandra Flowers from Grasmandras!
zts341e	Ask Malcolm Mix to make some Homing Perfume for you!
zts342e	Deliver the Homing Perfume to Teodor Topp!
zts345e	Follow Tom!
zts346e	Go to Jerico!
zts347e	Eliminate the nearby monsters!
zts348e	Find the guards!
zts349e	Go to Jerico and train with him!
zts350e	Show Jerico you are serious!
zts351e	Go through the first gate!
zts352e	Talk to Jerico!
zts353e	Find Tom and challenge him to a duel!
zts354e	Report to Jerico about the duel with Tom!
zts355e	Grey Storm
zts356e	Return to NosCamp!
zts357e	Get some wheat from Sunny Meadows!
zts358e	Get a few Mandragoras to produce some potion!
zts359e	Get some Iron Ore from Miner Mudog!
zts360e	Get some Iron Ore from Western Mine 1!
zts362e	Report the results to Mimi Mentor!
zts363e	Go to Sunny Meadows and prepare for the battle against the Kovolts!
zts364e	Join the battle against the Kovolts!
zts365e	Inform NosCamp what you found out.
zts366e	Go to the camp at Fernon Outpost and inform Commander Ray Ramos about the current situation.
zts367e	Fight against the Kovolt soldiers!
zts368e	Report to the guard camp that the mission is over.
zts370e	Whirl of War
zts372e	Locate the knights!
zts373e	Clear the tree trunks blocking the path!
zts374e	Go to the knights' meeting place!
zts375e	Deliver the document to the General of the Ramos Knights!
zts376e	Spread Magic Powder on the Broken Red Plate!
zts377e	The Koaren are attacking again. Fight them back!
zts378e	Go to the guard camp!
zts379e	Try to complete the Ramos Knights' General's mission!
zts380e	Accept Teodor Topp's offer!
zts381e	Go to the Mine Plains!
zts383e	Return to the Mine Plains!
zts384e	Talk to the Ramos Knights' General!
zts385e	Friend and Foe
zts386e	Join the fray!
zts388e	Find out if Teodor Topp has the seal!
zts389e	Deliver the swords to the General of the Ramos Knights!
zts390e	Inform the Captain of the Ramos Knights about the developments with the demons!
zts391e	Secure a path for the knights to attack!
zts392e	Return to the guard camp!
zts393e	Return to NosCamp!
zts395e	Get the money for Teodor Topp!
zts396e	Get the Blood-Red Ruby!
zts399e	Acquire information in the enemy camp!
zts400e	Bring the information to NosCamp!
zts401e	Deliver the information to the guard camp!
zts402e	Infiltrate the enemies' inner ranks and destroy them!
zts403e	Report to the guard camp.
zts404e	Conflict and Betrayal
zts405e	Hunt Korrkoaren!
zts406e	Follow Korrkoaren down the Enchanted Pathway!
zts408e	Hunt Baby Danders!
zts409e	Go on the hunt and eliminate some Danders!
zts410e	Capture a Happy Wooly!
zts411e	Collect Red Fruit in the level 10 Time-Space on NosVille Meadows!
zts412e	Meet Mine Manager Mudog at the entrance to the mine!
zts413e	Find the lost Wooden Hammer in the nearest Time-Space!
zts414e	Get some ore from the Kovolt miners!
zts415e	Get a Pickaxe from the Kovolt miners!
zts416e	Help the guards to stop the monster attacks!
zts417e	Explore Sunny Meadows!
zts418e	Set off and meet Tom!
zts419e	Talk to Teoman Topp!
zts420e	Capture a Sniffer at the entrance to the Northern Mine!
zts421e	Follow the arrow!
zts422e	Talk to Calvin Coach!
zts423e	Talk to Mimi Mentor!
zts424e	Ask Malcolm Mix about the gathered materials and documents!
zts425e	Deliver the Blood-Red Ruby to Teodor Topp!
zts426e	Go through the second gate!
zts427e	Go through the third gate!
zts428e	Enter the Northern Mine and fight off the Kovolts!
zts429e	Deliver the Cigarette Packet!
zts430e	Fill the empty bottle from the well on the Mine Plains!
zts431e	Defeat the Fire Slade in Closed Mine 1!
zts432e	Ask Teodor Topp for advice!
zts433e	Get Small Blood-Red Rubies from Time-Space 37!
zts434e	Follow the arrow in the NosVille Meadows!
zts435e	Talk to Guard Jim!
zts436e	Talk to Teoman Topp!
zts437e	Talk to Eva Energy!
zts438e	Catch up with the Koaren!
zts439e	Get a lesson in fighting against the Kenko soldiers.
zts440e	Ask Malcolm Mix if he knows anything special!
zts441e	Search for a new clue!
zts442e	Ask Malcolm Mix if he can translate the marks on the Black Slate!
zts443e	Enter the Hellhound's abode!
zts444e	Get the Hellhound Necklace!
zts445e	Find the Kovolt Statue in Closed Mine 1!
zts446e	Talk to the Demon Servant!
zts447e	Get the whiskers of a mole!
zts448e	Enter the place where the Koaren and Kenkos are meeting.
zts449e	To Find a Mysterious Treasure
zts450e	Deliver the magical ingredients to Malcolm Mix!
zts451e	To Find a New Treasure
zts452e	Take the ingredients to Eva Energy!
zts453e	Listen to what Slugg has to say about the treasure!
zts458e	Bring the Super Set to Slugg!
zts460e	Deliver the treasure to Mimi Mentor!
zts461e	Move to an isolated room on the first floor of the temple.
zts462e	Free the captive Koaren Spy!
zts463e	New Alliance
zts465e	Report on what happened to the Koaren Spy!
zts466e	Defeat Kenkos and get a sample!
zts468e	Protect the Koaren unit!
zts469e	Ask Malcolm Mix for advice!
zts470e	Absorb the energy of a Kenko soldier with the Suction Funnel.
zts471e	Go to the deserted Wizard Tower on the Enchanted Pathway to the east of Fernon Temple!
zts472e	Bring it to Malcolm Mix!
zts473e	Sneak through the Mysterious Gates and enter the Kenkos' camp!
zts477e	Report to the Koaren Spy!
zts478e	The Tree of Fernon
zts479e	Sneak into the Kenko hideout in Fernon Temple -2!
zts482e	Ask Malcolm about the Evil Circle!
zts483e	Get the Holy Branch from Fernon Temple 1!
zts485e	Head to Spiral Maze E!
zts487e	Sever the first Energy Steam!
zts489e	Sever the second Energy Stream!
zts491e	Sever the third Energy Stream!
zts493e	Sever the fourth Energy Steam!
zts494e	Head to Fernon Temple 10!
zts495e	Fight against the Bound Soul!
zts497e	Get to Fernon's Heart quickly!
zts498e	Head to the Roots of Fernon quickly!
zts499e	Search for Moles in Closed Mine 1!
zts500e	Search for Koaren footsteps along the street!
zts502e	Find the treasure in Fernon Temple -1!
zts503e	Find the second treasure!
zts504e	Find the third treasure!
zts505e	Find the fourth treasure!
zts506e	Give the sample to the Koaren Spy!
zts507e	Go to Stone Cliff in Sunny Meadows!
zts508e	Investigate Fernon Temple -1!
zts509e	Head to the Northern Exit of Fernon Temple -1!
zts510e	Head to the Eastern Exit of Fernon Temple -1!
zts511e	Head to the Western Exit of Fernon Temple -1!
zts512e	Go to the Holy Altar in Wizard Tower 8!
zts513e	Go to Fernon Temple -2 to follow Kliff!
zts514e	Ask Kliff how to seal away Fernon!
zts515e	Destroy the devils!
zts516e	Go to the Koaren Spy!
zts517e	Go to the Zigzag Trail in Fernon Temple -2!
zts518e	Get the Amber of Light from Fernon Temple 2 or Fernon Temple 3!
zts519e	Get the Amber of Shadows from Fernon Temple 4 or Fernon Temple 5!
zts520e	Get the Amber of Water from Fernon Temple 6 or Fernon Temple 7!
zts521e	Get the Amber of Fire from Fernon Temple 8 or Fernon Temple 9!
zts522e	Get back the treasure from Calvin Coach!
zts523e	Jajamaru Quest
zts524e	Ask about the strange rock!
zts525e	Order Teoman Topp to make a huge iron hammer!
zts526e	Deliver the raw materials to Teoman Topp!
zts527e	Hand the huge iron hammer to Yobby Expy Miner!
zts528e	Help the Yobby Expy Miner to destroy the Meteorite Chunk!
zts529e	Hunt the wild monsters around the meteorite!
zts530e	Quickly check the tombstone!
zts531e	Examine the stone linked to the vision!
zts532e	Investigate the Hat-Shaped Stone!
zts533e	Follow Namaju!
zts534e	Ask Malcolm Mix about the Spirit Essence!
zts535e	Go to Eva Energy to get some Fairy Dust!
zts536e	Give Eva Energy the spice for cooking!
zts537e	Give Malcolm Mix the Fairy Dust!
zts538e	Return to Calvin Coach!
zts539e	Search for Princess Sakura's Hairpin!
zts540e	Use Princess Sakura's Seal!
zts541e	Return the request of Soraya Style!
zts542e	Get the Spirit Essence!
zts543e	Give the Soul Crystal to Soraya Style!
zts544e	Complete Soraya Style's task!
zts545e	Give the raw materials to Teoman Topp!
zts546e	You have collected the Spirit Essence. Return to Soraya Style!
zts547e	Hurry up and investigate the tombstone!
zts601e	Hunt the following monster!
zts602e	Set up a NosCamp outpost on Mt. Krem!
zts603e	Talk to the Koaren Chief!
zts604e	Head to the western side of the mountain and wash the Shinebone Statue with Fruit Juice!
zts605e	Head to the eastern side of the mountain and wash the Shinebone Statue with Fruit Juice!
zts606e	Inform Colly about the Broken Shinebone Statue!
zts607e	Collect clay to make a statue!
zts608e	Create a statue!
zts609e	Erect the completed statue!
zts610e	Report on your work!
zts611e	Deliver the message that a NosCamp is to be established!
zts612e	Repair the Damaged Guard Post!
zts613e	Plant a Lawn on the Soft Ground near the town!
zts614e	Smooth out the rough ground!
zts615e	Hand over the Treasure Map!
zts616e	Go the point marked on the Treasure Map and find the treasure!
zts617e	Hand over the treasure!
zts618e	Go to Colly!
zts619e	Find the Fernon Dryads in the Deep Cave!
zts620e	Find out where the Dryads are!
zts621e	Eliminate all of the Dryads!
zts622e	Report on the Catsies!
zts623e	Look for the Catsies!
zts624e	Don't be caught by the monsters!
zts625e	Ask about where the Catsies are located!
zts626e	Search for the path to the Catsies!
zts627e	Kovolts and Catsies
zts628e	Meet the informant!
zts629e	Meet the source!
zts630e	Destroy the demons in Mountain Cave 5!
zts631e	Report to the Demon Servant!
zts632e	Find out how to make the hat that the Demon Servant requested!
zts633e	Get the power of the Sparkling Rocks!
zts634e	Hand Anni the Sparkling Rock!
zts635e	Deliver the materials to Anni!
zts636e	Get the information!
zts637e	Go to the place where the Catsies are often found!
zts638e	Show Anni the clue and get some more information!
zts639e	Go to Sunset Cliff on Mount Krem!
zts640e	Ask about the Red Mask!
zts641e	Find Princess Catlotte in the Misty Valley!
zts642e	Eliminate the monsters in the Misty Valley!
zts643e	Find Catlotte!
zts644e	Ask about Catlotte's location!
zts645e	Ask about the location of the underground prison!
zts646e	Bring Carven Beast Teeth from the Cave of Ghosts!
zts647e	Hand over the Beast Teeth!
zts648e	Rescue Princess Catlotte from the underground prison in Mountain Cave 4!
zts649e	Resurrection of the Kenkos
zts650e	Find the precious treasure!
zts651e	Bring Anni the Precious Vase!
zts652e	Find Cenil!
zts653e	Find out how to solve the problem!
zts654e	Deliver the Koaren's message to Cenil!
zts655e	Return to the NosCamp Cave on Mount Krem!
zts656e	Talk to the Kovolt Magician!
zts657e	Ask about the Kenko!
zts658e	Find the Kenko Spy in Mountain Cave 6!
zts659e	Find the Kenko Spy in Mountain Cave 6!
zts660e	Show the letter to the Koaren Chief!
zts661e	Foil the Kenkos' plans!
zts662e	The Death of the Kenkos
zts663e	Go to the Fernon Outpost and capture a Sniffer!
zts664e	Ask about Catlotte's perfume!
zts665e	Follow the smell to Shanera Dungeon -1!
zts666e	Eliminate all of the monsters!
zts667e	Search around for Catlotte!
zts668e	Search for Catlotte without Catrisha's help!
zts669e	Look for the Suspicious Wallpaper!
zts670e	Search for the secret place!
zts671e	Pacify the angry Rosebud Whitewitches!
zts672e	Investigate the location the Rosebud Whitewitches mentioned!
zts673e	Find Kenkos!
zts674e	Search for the seal to the Hidden Altar!
zts675e	Obtain the hammer of an Iron Torturer!
zts676e	Destroy the Statue of Terror!
zts677e	Break the seal of the Labyrinth of Pain!
zts678e	Collect Black Diamonds!
zts679e	Get the key repaired!
zts680e	Go to the Hidden Altar!
zts681e	Rescue Catlotte and protect the seal of Fernon!
zts682e	Get the Sniffer Net!
zts683e	Move to the designated location!
zts685e	Challenge it! Time-Space Stone Score!
zts687e	Clear the Time-Space with a higher score than the required one! (Set to challenge mode.)
zts688e	Investigate the Secret Lab!
zts689e	Meet Anni at Krem Point in NosCamp.
zts690e	Meet the Koaren Chief!
zts691e	Meet Anni!
zts692e	Go to Secret Lab 1!
zts693e	Complete Time-Space Stone Level 76!
zts694e	Explain to Anni what happened at the Secret Lab!
zts695e	Ask Doggo for protection!
zts696e	Complete Time-Space Stone Level 67!
zts697e	Find Radal's Testament!
zts698e	Report to Anni about your investigations in the laboratory!
zts699e	Everyone's changed.
zts700e	Ask accessories expert Soraya for her opinion on Radal's rings. The search for the rings starts with the Scroll of Illumination in Secret Lab 3.
zts701e	Locate the Catsies to learn about Radal's Rings!
zts702e	Find the Catsies!
zts703e	Find someone who knows something about the Pearl of Dusk!
zts704e	Go to Rock Cliff!
zts705e	Obtain Cold Hearts!
zts706e	Collect 10 Irises and 10 Daisies!
zts707e	Place the collected ingredients in the crab statue's mouth!
zts708e	Complete Time-Space Stone Level 68!
zts709e	Tell Catlotte the location of the Pearl of Dusk!
zts710e	Get some water for the vase!
zts711e	Bring the water bottle to Catlotte!
zts712e	Look around NosVille!
zts713e	Hunt 99 Small Lizards!
zts714e	Check on Mimi Mentor and see how she's doing!
zts715e	Hunt Weak Raccoon Birds and collect 99 Raccoon Bird Tails!
zts716e	Listen to what Calvin Coach has to say!
zts717e	Collect 99 Stone Hammer Stumps and 99 Stone Axe Stumps!
zts718e	Check on Calvin Coach and see how he's doing!
zts719e	Hunt 99 Strong Tree Zombies!
zts720e	Find out the cause of the polluted water!
zts721e	Hunt 99 King Leeches and 99 Giant Leeches!
zts722e	Bring Carlotte the Clear Water!
zts723e	Give Catlotte the Clear Water!
zts724e	See how the people of NosVille are doing!
zts725e	Watch your step... something's coming!
zts726e	Investigate the lab in detail!
zts727e	Report on your investigations in the lab!
zts728e	Collect Daisies and Irises!
zts729e	Put the collected ingredients into the crab statue's mouth!
zts730e	Get the Pearl of Dusk from the Giant Clam!
zts731e	Head to Cat Room in Fir Forest and report on the Pearl of Dusk!
zts732e	Bring Catlotte some Cloudy Water!
zts733e	Bring Catlotte some Polluted Water!
zts734e	Bring Catlotte some Filthy Water!
zts735e	Collect Raccoon Bird Tails as Mimi Mentor asked!
zts736e	Hunt Stumps as Calvin Coach asked!
zts737e	Hunt Strong Tree Zombies as Calvin Coach asked!
zts738e	Eliminate the leeches which are erasing the tracks!
zts739e	Unknown Ore
zts740e	Find Jack Lumber's Forester's House!
zts741e	Introduce yourself to the young man!
zts742e	Listen to what Jack Lumber has to say!
zts743e	Find out why the yaks don't come to Jack Lumber any more!
zts744e	Give the bell to Jack Lumber!
zts745e	Find the evil creature responsible for turning the yaks into monsters!
zts746e	Defeat the evil creature which turned the yaks into monsters!
zts747e	Explain to Jack Lumber why the yaks turned evil!
zts748e	Listen to what Rody Windsinger has to say!
zts749e	Find someone who might know something about the Unknown Ore.
zts750e	Find out where the unknown ore is located!
zts751e	Find the unknown ore from the monsters!
zts752e	Find the unknown ore from the monsters!
zts753e	Follow the glittering trail!
zts754e	Is Fever really dangerous?
zts755e	Ask Catlotte about Fever's mucus!
zts756e	Find out more about the mucus!
zts757e	Find the woman Doggo talked about!
zts758e	Find Soty Bystander's assistant!
zts759e	Hunt Wollets and find Fever's Moulted Skin!
zts760e	Bring Fever's Moulted Skin to Rect Lat!
zts761e	Show Soty Bystander Fever's Moulted Skin!
zts762e	Hunt Lizards as Mimi Mentor asked!
zts763e	Find the first ingredient for the spell!
zts764e	Bring Soty the first ingredient for the spell!
