zts1e	General Effects
zts150e	Absorb Attack Power
zts151e	Absorb other's attack and add it to your own
zts152e	Sharp Edge
zts153e	Makes the weapon's blade sharp
zts154e	Cutting
zts155e	Loses defense power to a half and decreases MP
zts156e	Fatal Bleeding
zts157e	Fatal attacks disabled and decreases HP
zts158e	Smog
zts159e	Reduces hit rate
zts160e	Mental Poison
zts161e	Receives damage equivilent to MP used
zts162e	Hide
zts163e	Hides from the enemy
zts164e	Reinforcing poison
zts165e	Reduces all resistance and receives all fatal attacks
zts166e	Light magic
zts167e	Drops the hit rate and HP of dark element
zts168e	Mana Shield
zts169e	Absorbs some damage in exchange to MP
zts170e	Holy Weapon
zts171e	Adds light power and increases the resistance of darkness
zts172e	Eliminates Darkness
zts173e	Dark elemental energy disabled under the dark element
zts174e	Blessing
zts175e	Increases defense level and avoids fatal attacks
zts176e	Cre-Up
zts177e	Increases concentration and fatal hit rate
zts178e	Sprint
zts179e	Move at a high speed
zts180e	Blessing of Darling
zts181e	Decreases MP consumption
zts182e	Increasing Experience Point
zts183e	Increases Experience points gained for a limited time
zts184e	Attack power Increasing
zts185e	Increases Attack power for a limited time
zts186e	Perfect Protection
zts187e	Unable to attack or be attacked for a limited time
zts188e	Despair
zts189e	Fight in despair
zts190e	Seizure
zts191e	Become too shocked to move
zts192e	Short black out
zts193e	Black out for a very short time
zts194e	Exposing Weak point
zts195e	Exposes weak points and always receives fatal attack
zts196e	Numbness
zts197e	Paralyzes the body
zts198e	Oxidation
zts199e	Rots armor and weapons with strong acid
zts200e	Zombie infection
zts201e	Becomes a mindless Zombie. This affect is infectious
zts202e	Zombie Immunity
zts203e	Gives immunity from Zombie infection
zts204e	Siren Song
zts205e	Become entranced and lose the will to fight by a song
zts206e	Blessing of Fortune Pig
zts207e	Increases Experience : 10%
zts208e	Blessing of Vacation
zts209e	Increases Attack power and defense power : 10%
zts210e	Blessing of Valentine
zts211e	Sobbing
zts212e	Sobs with sorrows
zts213e	Blessing of White day
zts214e	Move silently
zts215e	Using Protection Scroll
zts216e	Protects the equipment in upgrading and protects equipment and current rare level in betting
zts217e	Fog poison
zts218e	Unable to move because of dense fog
zts219e	Fragrant pocket
zts220e	For seasonal event. Exp. gained is increased : 30%
zts221e	Energy of Rainbow crystal
zts222e	The power coming from the victory of Rainbow crystal. SP point will not decrease
zts223e	Energy of Rainbow crystal
zts224e	Armor Enhancement
zts225e	Energy Enhancement
zts226e	Max HP/MP increase for a certain period of time
zts227e	Experience earned is increased by 20%
zts228e	Blessing of the Altair and the Vega
zts229e	Blessing of Ancelloan
zts230e	Increase Exp. : 100%
zts231e	Blessing of Guardian Angel
zts232e	Increase experience of Nosmate : 50%
zts233e	Electric shock
zts234e	Unable to move due to the electric shock
zts235e	Severe electric shock
zts236e	Unable to move due to the severe electric shock
zts237e	Fossilization
zts238e	Unable to move due to fossilization
zts239e	Moth poison
zts240e	Your movement speed is low due to moth poison, and you are under fatal damage.
zts241e	The Plague
zts242e	Plants got serious damage due to the plague. Can be avoided via zombie immunization
zts243e	Bloodsucking
zts244e	Absorb the opponent's HP by a certain possibility and give damage
zts245e	Mindcontrol
zts246e	Your mind is under someone else's control and are injured badly
zts247e	Darliing's Charm
zts248e	20% decrease on Production Point
zts249e	Plants got serious damage due to the plague.
zts250e	Fairy booster buff
zts251e	Element energy of fairy is additionally increased by 30
zts253e	Increase all elements' abilities and move fast for 10 minutes.
zts254e	Cold fit
zts255e	Drop movement speed rapidly because numbing body with cold.
zts256e	Blessing of water.
zts257e	Add water elemental energy and increase water elemental resistance.
zts258e	Freezing
zts259e	Unable to any attack and are always hit by critical blows
zts260e	Booster on
zts261e	Move very fast as activating the booster.
zts262e	Gas poison
zts263e	Defense is dropped and you cannot cast skills.
zts264e	Pray of defense
zts265e	Increase defense level and partners' maximum HP/MP
zts266e	Pray of offense
zts267e	Increase attack level and boosting morale.
zts268e	The 1st triple charging
zts269e	Increase attack power for a while because of holy element.
zts270e	The 2nd triple charging
zts271e	The 3rd triple charging
zts272e	The 2nd gas poison
zts273e	Unable to cast skills.
zts274e	Frozen shield
zts275e	Protect yourself and casting "freeze" upon the enemy.
zts276e	Holy breath
zts277e	Decrease power of all enemies which are not in light element.
zts278e	Increase defense power for a limited time.
zts279e	Return the damage you received to the opponent.
zts280e	Air wave
zts281e	Blessing of soul stone
zts282e	When a player transforms a specialist, specialist job experience gained is increased by 50%.
zts283e	Use Lower card protection scroll
zts284e	Able to upgrade 1~10 grade specialist card when used
zts285e	Use Upper card protection scroll
zts286e	Able to upgrade 11~15 grade specialist card when used
zts287e	Berserk
zts288e	Increase attack power and movement speed while decreasing defense power
zts289e	Shatter armor
zts290e	Decrease opponent's defense by destroying defensive equipment.
zts291e	Eagle spirit
zts292e	Inspire eagle's soul into yourself.
zts293e	Elemental shining
zts294e	Increase light elemental resistance from forest's spirit.
zts295e	Wolf spirit
zts296e	Inspire moonlight wolf's soul into oneself.
zts297e	Elemental down
zts298e	Lead to bad effect and disease of forest.
zts299e	Bear spirit
zts300e	Inspire bear's soul into yourself.
zts301e	Ghost guard
zts302e	False god wraps gunner for protection for a while.
zts303e	Dark force
zts304e	Dark element is increased by false god
zts305e	Possessed
zts306e	False god controls the opponent's spirit
zts307e	Potion to Evil
zts308e	False god enters the opponent's body
zts309e	Requiem
zts310e	False god's song makes the opponents tremble for fear
zts311e	Life and death
zts312e	Increase attack/defense power up to 10% at a certain time.
zts313e	Blessing of Happy New Year
zts314e	Increase battle/job experience up to 10% at a certain time.
zts315e	Increase attack power by spending your HP.
zts316e	Cold
zts317e	Unable to control your body due to a bad cold
zts318e	Pest
zts319e	Unable to dodge enemy's attack very well due to dizziness.
zts320e	1st anniversary buff
zts321e	Maximum HP/MP are increased 10% for 1 hour.
zts322e	Respawn
zts323e	Not weakened by respawn
zts324e	Blessing of White day
zts325e	Elixir of Protection
zts326e	Grants the user invincibility for 5 seconds during PvP. HP will not decrease in combat.
zts327e	Holy Light decrease surrounding enemy's ability
zts328e	Increases PVP attacking power
zts329e	PvP Attacking power increases by 50% in Frozen Crown for an hour
zts330e	Increases PVP Defense
zts331e	PvP Defense increases by 50% in Frozen Crown for an hour
zts332e	Increases PvP Resistance
zts333e	PvP Resistance increases by 20% in Frozen Crown for an hour
zts334e	Freeze the attacker after dodging
zts335e	The player¡¯s Lv./%d
zts336e	The player¡¯s Lv.*%d
zts337e	Lv. /%d
zts338e	Lv. *%d
zts339e	Conservation of nature
zts340e	Strengthening Elemental Resistance
zts341e	Increase your elemental resistance.
zts342e	Slight Toxic Thorn
zts343e	Serious Toxic Thorn
zts344e	Diluted Deadly Poison
zts345e	Serious Deadly Poison
zts346e	Slight nerve gas
zts347e	Nerve gas
zts348e	Strong nerve gas
zts349e	Fatal nerve gas
zts350e	Slight cold
zts351e	Bad cold
zts352e	Fatal cold
zts353e	Slight burn
zts354e	Severe burn
zts355e	Slight Black Out
zts356e	Fatal Black Out
zts357e	Damaging defense weapon
zts358e	Breaking defense weapon
zts359e	Weakening weapon
zts360e	Damaging weapon
zts361e	Breaking weapon
zts362e	Destroying weapon
zts363e	Interrupting moving lightly
zts364e	Interrupting moving
zts365e	Interrupting moving strongly
zts366e	Interrupting moving extremely
zts367e	Slight Despair
zts368e	Serious Despair
zts369e	Fatal Despair
zts370e	Slight Fear
zts371e	Serious Fear
zts372e	Fatal Fear
zts373e	Slight horror
zts374e	Horror
zts375e	Serious horror
zts376e	Fatal horror
zts377e	Slight Incapacitation
zts378e	Strong Incapacitation
zts379e	Serious Incapacitation
zts380e	Weakening resistance slightly
zts381e	Weakening resistance
zts382e	Weakening resistance strongly
zts383e	Weakening resistance seriously
zts384e	Weakening attribute-attack slightly
zts385e	Weakening attribute-attack
zts386e	Weakening attribute-attack strongly
zts387e	Weakening attribute-attack seriously
zts388e	Slight freeze
zts389e	Strong freeze
zts390e	Serious freeze
zts391e	Slight Fossilization
zts392e	Strong Fossilization
zts393e	Serious Fossilization
zts394e	Rigidity
zts395e	I cannot control my body.
zts396e	Magic barrier
zts397e	Slight Dizzy Toxic
zts398e	Strong Dizzy Toxic
zts399e	Fatal Dizzy Toxic
zts400e	By attacking with the holy light, decrease light elemental resistance.
zts401e	Non-attackable
zts402e	Dark choc stick
zts403e	For 30 minutes, attack power increases : 10%.
zts404e	White choc stick
zts405e	For 30 minutes, defense power increases : 10%.
zts406e	Star
zts407e	For 50 minutes, the acquired rate of experience increases : 10%.
zts408e	Weakening attribute-attack strongly
zts409e	Weakening attribute-attack seriously
zts410e	Cow Bushtail's Anger
zts411e	Cow Bushtail gets angry and its attack power is increased.
