zts1e	Special Attack
zts125e	Adjust All Dodges
zts126e	Adjust Melee Dodge
zts127e	Adjust Ranged Dodge
zts128e	Adjust % of Defense Power
zts129e	Increase Dodge from All Attacks : %s
zts130e	Decrease Dodge from All Attacks : %s
zts131e	Increase Melee Dodge : %s
zts132e	Decrease Melee Dodge : %s
zts133e	Increase Ranged Dodge : %s
zts134e	Decrease Ranged Dodge : %s
zts135e	Increase Defense Power : %s%%
zts136e	Decrease Defense Power : %s%%
zts137e	Adjust Blocking
zts138e	Adjust All Blocks
zts139e	Adjust Melee Block
zts140e	Adjust Ranged Block
zts141e	Adjust Magic Block
zts142e	Increase Damage from All Attacks : %s%% [Chance : %s%%]
zts143e	Decrease Damage from All Attacks : %s%% [Chance : %s%%]
zts144e	Increase Damage from Melee Attacks : %s%% [Chance : %s%%]
zts145e	Decrease Damage from Melee Attacks : %s%% [Chance : %s%%]
zts146e	Increase Damage from Ranged Attacks : %s%% [Chance : %s%%]
zts147e	Decrease Damage from Ranged Attacks : %s%% [Chance : %s%%]
zts148e	Increase Damage from Magic Attacks : %s%% [Chance : %s%%]
zts149e	Decrease Damage from Magic Attacks : %s%% [Chance : %s%%]
zts150e	Adjust Absorption
zts151e	Adjust All Absorptions
zts152e	Adjust Melee Absorption
zts153e	Adjust Ranged Absorption
zts154e	Adjust Magic Absorption
zts155e	Increase Damage from All Attacks below Lv. (+%s) : %s%%
zts156e	Decrease Damage from All Attacks below Lv. (+%s) : %s%%
zts157e	Increase Damage from Melee Attacks below Lv. (+%s) : %s%%
zts158e	Decrease Damage from Melee Attacks below Lv. (+%s) : %s%%
zts159e	Increase Damage from Ranged Attacks below Lv. (+%s) : %s%%
zts160e	Decrease Damage from Ranged Attacks below Lv. (+%s) : %s%%
zts161e	Increase Damage from Magic Attacks below Lv. (+%s) : %s%%
zts162e	Decrease Damage from Magic Attacks below Lv. (+%s) : %s%%
zts163e	Elemental Resistance Change
zts164e	Adjust All Elemental Resistances
zts165e	Adjust Fire Elemental Resistance
zts166e	Adjust Water Elemental Resistance
zts167e	Adjust Light Elemental Resistance
zts168e	Adjust Dark Elemental Resistance
zts169e	Increase Resistance to All Elemental Energy : %s
zts170e	Decrease Resistance to All Elemental Energy : %s
zts171e	Increase Resistance to Fire Elemental Energy : %s
zts172e	Decrease Resistance to Fire Elemental Energy : %s
zts173e	Increase Resistance to Water Elemental Energy : %s
zts174e	Decrease Resistance to Water Elemental Energy : %s
zts175e	Increase Resistance to Light Elemental Energy : %s
zts176e	Decrease Resistance to Light Elemental Energy : %s
zts177e	Increase Resistance to Dark Elemental Energy : %s
zts178e	Decrease Resistance to Dark Elemental Energy : %s
zts179e	Change Resistance of Opponent
zts180e	Change All Elemental Resistances of Opponent
zts181e	Change Fire Elemental Resistance of Opponent
zts182e	Change Water Elemental Resistance of Opponent
zts183e	Change Light Elemental Resistance of Opponent
zts184e	Change Dark Elemental Resistance of Opponent
zts185e	Increase Resistance of Opponent while attacking : %s
zts186e	Decrease Resistance of Opponent while attacking : %s
zts187e	Increase Fire Elemental Resistance of Opponent while attacking : %s
zts188e	Decrease Fire Elemental Resistance of Opponent while attacking : %s
zts189e	Increase Water Elemental Resistance of Opponent while attacking : %s
zts190e	Decrease Water Elemental Resistance of Opponent while attacking : %s
zts191e	Increase Light Elemental Resistance of Opponent while attacking : %s
zts192e	Decrease Light Elemental Resistance of Opponent while attacking : %s
zts193e	Increase Dark Elemental Resistance of Opponent while attacking : %s
zts194e	Decrease Dark Elemental Resistance of Opponent while attacking : %s
zts195e	Adjust Damage
zts196e	Adjust All Damages
zts197e	Adjust Melee Damage
zts198e	Adjust Ranged Damage
zts199e	Adjust Magic Damage
zts200e	Increase Damage from All Attacks : %s%%
zts201e	Decrease Damage from All Attacks : %s%%
zts202e	Increase Damage from Melee Attacks : %s%%
zts203e	Decrease Damage from Melee Attacks : %s%%
zts204e	Increase Damage from Ranged Attacks : %s%%
zts205e	Decrease Damage from Ranged Attacks : %s%%
zts206e	Increase Damage from Magic Attacks : %s%%
zts207e	Decrease Damage from Magic Attacks : %s%%
zts208e	Unconditional Focus Dodge and Remote Distance
zts209e	Change Unconditional Focus %
zts210e	Change Unconditional Dodge %
zts211e	No Penalty for Remote Distance
zts212e	The more Distance , The more Damage
zts213e	Chance for Guaranteed Hits : %s%%
zts214e	Chance for Guaranteed dodges : %s%%
zts215e	While attacking from range, there is no melee penalty
zts216e	While attacking from range, there is more Power change the further away your are (More than 3 cell)
zts217e	Adjust Morale
zts218e	Adjust Morale Value
zts219e	Give Double Morale Value
zts220e	No impact on Morale
zts221e	Adjust Cooldown Time
zts222e	Ignore Morale
zts223e	Increase Morale Value : %s
zts224e	Decrease Morale Value : %s
zts225e	Increase Morale Value : 2 times
zts226e	Decrease Morale value : a half
zts227e	No impact on Morale Value
zts228e	Increase Cooldown time for Skills : %s%%
zts229e	Decrease Cooldown time for Skills : %s%%
zts230e	Ignore the opponent's Morale Value while attacking
zts231e	Casting
zts232e	Adjust Casting Time
zts233e	Adjust MP Consumption
zts234e	Adjust Cooldown Time speed
zts235e	Casting Failed
zts236e	Casting Disabled
zts237e	Increase Casting Time (Including Magic) : %s%%
zts238e	Decrease Casting Time (Including Magic) : %s%%
zts239e	Increase MP for using Skills (Including Magic) : %s%%
zts240e	Decrease MP for using Skills (Including Magic) : %s%%
zts241e	Increase Attack Speed : %s%%
zts242e	Decrease Attack Speed : %s%%
zts243e	Fail During Skill Casting (Including Magic)
zts244e	Casting Disabled (Including Magic)
zts245e	Move
zts246e	Move Disabled
zts247e	Adjust Movement Speed
zts248e	Adjust Movement Speed Value
zts249e	Increase/Decrease Movement Speed
zts250e	Unable to move
zts251e	Movement speed is increased by %s%%.
zts252e	Movement Speed is decreased by %s%%.
zts253e	Movement speed becomes %s.
zts254e	Movement speed is increased by %s.
zts255e	Movement speed is decreased by %s
zts256e	Reflections
zts257e	Change HP : %s of Damage given
zts258e	Change MP : %s of Damage given
zts259e	Changes HP : %s of Damage received
zts260e	Changes MP : %s of Damage received
zts261e	Increase HP : %s%% of Damage given
zts262e	Decrease HP : %s%% of Damage given
zts263e	Increase MP : %s%% of Damage given
zts264e	Decrease MP : %s%% of Damage given
zts265e	Increase Attackers's HP : %s%% of Damage received
zts266e	Decrease Attackers's HP : %s%% of Damage received
zts267e	Increase Attackers's MP : %s%% of Damage received
zts268e	Decreae Attackers's MP : %s%% of Damage received
zts269e	Drain and Steal
zts270e	Change MP to HP
zts271e	Change HP to MP
zts272e	Steal HP
zts273e	Steal MP
zts274e	Steal HP and Drain MP
zts275e	Use %s MP to restore %s HP
zts276e	Use %s HP to restore %s MP
zts277e	Transfer HP to the target : %s [Chance : %s%%]
zts278e	Take HP from the target : %s [Chance : %s%%]
zts279e	Transfer MP to the target : %s [Chance : %s%%]
zts280e	Take MP from the target : %s [Chance : %s%%]
zts281e	Convert target's MP %s into target's HP
zts282e	Convert target's HP %s and into my MP
zts283e	Healing/Burning and Casting
zts284e	Healing HP/Burning
zts285e	Healing MP/Burning
zts286e	Change HP in Casting
zts287e	Change HP in case of Focused Disturbance
zts288e	Change HP as much as Used MP in Casting
zts289e	Recover HP : %s
zts290e	Lose HP : %s
zts291e	Recover MP : %s
zts292e	Lose MP : %s
zts293e	Recover HP during casting : %s
zts294e	Lose HP during casting : %s
zts295e	Recover HP when casting is interrupted :  %s
zts296e	Lose HP when casting is interrupted : %s
zts297e	Recover HP : %s%% of MP Usage
zts298e	Lose HP : %s%%  of MP Usage
zts299e	Adjust HP/MP
zts300e	Adjust HP remaining
zts301e	Adjust MP remaining
zts302e	Adjust Time HP
zts303e	Adjust Time MP
zts304e	Increase Max HP/MP
zts305e	Recover lost HP lost: %s%%
zts306e	Lose HP remaining : %s%%
zts307e	Recover MP lost : %s%%
zts308e	Lose MP remaining : %s%%
zts309e	Recover HP : %s
zts310e	Lose HP : %s
zts311e	Recover MP : %s
zts312e	Lose MP : %s
zts313e	Increased Max HP : %s (Cannot be over %s%% of current Max MP)
zts314e	Increased Max MP : %s (Cannot be over %s%% of current Max MP)
zts315e	Special Treatment
zts316e	Special Damage
zts317e	Probability of Special Fatal Attack
zts318e	To %s , give %s additional damage
zts319e	Increase Damage while attacking %s : %s
zts320e	for every %s , probability of Fatal Attacks is increased %s.
zts321e	During attacking %s, probability of Fatal Attacks is decreased by %s
zts322e	Buff
zts323e	Apply/Cancel Buff
zts324e	Immunity in Certain Buff Group
zts325e	Buff Transferring to blow certain Leveled
zts326e	Special Immunity
zts327e	Cancel Certain Group
zts328e	Casting [%s]. [Chance : %s%%]
zts329e	Remove [%s]. [Chance : %s%%]
zts330e	[Caution] High probability does not apply to a certain effect.
zts331e	Generate [%s] to surrounding objects above Lv. %s.
zts332e	Generate [%s] to surrounding objects below Lv. %s.
zts333e	Increase resistance to certain effects.
zts334e	Cancel effects for a certain group.
zts335e	Cancel effects for a certain group.
zts336e	Summons
zts337e	Death Summons
zts338e	Monster Summons
zts339e	Dummies Summons
zts340e	Time-based Summons
zts341e	Ghost Summons
zts342e	Summons %s [%s] upon death
zts343e	%s%% chance to summon [%s] upon death
zts344e	Summons %s [%s]
zts345e	%s%% chance to summon [%s]
zts346e	Summons %s [%s] (Training dummy)
zts347e	%s%% chance to summon [%s] (Training dummy)
zts348e	Summons %s [%s] (Disappears after a certain amount of time)
zts349e	%s%% chance to summon [%s] (Disappears after a certain amount of time)
zts350e	Summons %s ghosts with %s MP
zts351e	%s%% chance to summon a ghost with %s MP
zts352e	Special Effects
zts353e	Scream
zts354e	Change Non-Preemptive Attack
zts355e	Hangover
zts356e	PvP Mode
zts357e	Leave Afterimage
zts358e	Decrease %s%% HP of the opponent at a random.
zts359e	Increase %s%% HP of the opponent at a random.
zts360e	Changed to preemptive attack at the probability of %s%%.
zts361e	Changed to non-preemptive attack at the probability of %s%%.
zts362e	Speaks Gibberish
zts363e	Able to fight against people in PvP Mode.
zts364e	Show the body in several images.
zts365e	Capture
zts366e	Capture Animals
zts367e	Capture low-leveled animals that are lower than you.
zts368e	Special Elemental Damage and Explosion
zts369e	Flame Explosion
zts370e	Surroundings Explosion
zts371e	Surroundings Attacks
zts372e	Explosion occurs at the probability of %s%% to cause %s of damage.
zts373e	Explosion occurs to surrounding %s blocks to cause %s damage.
zts374e	%s%% chance to give damage to surrounding %s blocks
zts375e	Special Effects 2
zts376e	Taunt
zts377e	Teleport
zts378e	Buff on Main Weapon
zts379e	Buff on Sub weapon
zts380e	Mistake as a Companion
zts381e	Makes Opponent focus on you.
zts382e	Get rid Opponent's focus of you.
zts383e	Teleport a distance of %s.
zts384e	%s%% chance of casting %s when using main weapon.
zts385e	%s%% chance of casting %s when using auxiliary weapon.
zts386e	Certain grouped monsters mistake you as a friend
zts387e	Calculating Level
zts388e	Attack Lv. 0
zts389e	Defense Lv. 0
zts390e	Calculated Attack Lv. 0.
zts391e	Calculated Defense Lv. 0.
zts392e	Recovery
zts393e	Change HP Recovery Power
zts394e	Change MP Recovery Power
zts395e	Increase HP recovery power : %s
zts396e	Decrease HP recovery power : %s .
zts397e	Increase MP recovery power : %s
zts398e	Decrease HP recovery power : %s
zts399e	Maximum HP/MP
zts400e	Change Maximum HP
zts401e	Change Maximum MP
zts402e	Increase Max HP : %s
zts403e	Decrease Max HP : %s
zts404e	Increase Max MP : %s
zts405e	Decrease Max MP : %s
zts406e	Multiplying Attack Power
zts407e	Multiply All Attack
zts408e	Multiply Melee Attack
zts409e	Multiply Ranged Attack
zts410e	Multiply Magic Attack
zts411e	Increase All Attack power : %s times.
zts412e	Decrease All Attack power : %s times.
zts413e	Increase Melee Attack power : %s times.
zts414e	Decrease Melee Attack power : %s times.
zts415e	Increase Ranged Attack power : %s times.
zts416e	Decrease Ranged Attack power : %s times.
zts417e	Increase Magic Attack power : %s times.
zts418e	Decrease Magic Attack power : %s times.
zts419e	Multiplying Defense Power
zts420e	Multiply All Defense
zts421e	Multiply Melee Defense
zts422e	Multiply Ranged Defense
zts423e	Multiply Magic Defense
zts424e	Increase All Defense Power : %s times
zts425e	Decrease All Defense Power : %s times
zts426e	Increase Melee Defense Power : %s times
zts427e	Decrease Melee Defense Power : %s times
zts428e	Increase Ranged Defense Power : %s times
zts429e	Decrease Ranged Defense Power : %s times
zts430e	Increase Magic Defense Power : %s times
zts431e	Decrease Magic Defense Power : %s times
zts432e	Time Circle Features
zts433e	Gathering Energy
zts434e	Lock HP
zts435e	Lock MP
zts436e	Cancel All Buff
zts437e	Unable to use Items
zts438e	Gather %s of energy for next attack.
zts439e	No HP consumption
zts440e	No HP recovery
zts441e	No MP consumption
zts442e	No MP recovery
zts443e	Cancel All Buff
zts444e	Unable to use Items
zts446e	Recover % of HP
zts447e	Recover % of MP
zts448e	Recover HP : %s%%
zts449e	LoseHP : %s%%
zts450e	Recover HP : %s%%
zts451e	Lose MP : %s%%
zts452e	Counting
zts453e	Summon Monsters after counting
zts454e	Summons [%s] of %s monsters when MP reaches 0.
zts455e	%s%% chance to summon [%s] when MP reaches 0.
zts456e	No Kill and No Damage
zts457e	No Death and No Kill
zts458e	Unable to damage or be damaged
zts459e	Observe power
zts460e	Decreases HP but does not die
zts461e	Decreases HP but does not kill.
zts462e	Unable to receive Damaged
zts463e	Unable to deal Damaged
zts464e	Change Opponent's attack into my Power
zts465e	Special Actions
zts466e	Pushing
zts467e	Pulling
zts468e	Rush
zts469e	Run away
zts470e	Hide
zts471e	Push Opponent %s blocks.
zts472e	Pull Opponent %s blocks in front of me
zts473e	Charges Opponent within %s blocks
zts474e	Run away from Opponent
zts475e	Sneak in
zts476e	See hidden things
zts477e	Change Mode
zts478e	Change Shooting Range
zts479e	Effect Only
zts480e	Change Attack Speed
zts481e	Change Mode
zts482e	Taunts Monsters
zts483e	Shooting Range changes to %s.
zts484e	Shooting Range returns to original.
zts485e	Applies effect, but gives no damage.
zts486e	Gives direct Damage.
zts487e	Attack time is increased %s.
zts488e	Attack time is decreased %s.
zts489e	%s%% chance to mode changes
zts490e	%s%% chance to hop up surrounding [%s]
zts491e	No Elemental Value
zts492e	No All Elemenal Value
zts493e	No Fire Elemental Value
zts494e	No Water Elemental Value
zts495e	No Light Elemental Value
zts496e	No Dark Elemental Value
zts497e	All Elemental Energy can not be applied
zts498e	All Elemental Resistance can not be applied
zts499e	Fire Elemental Energy can not be applied
zts500e	Fire Elemental Resistance can not be applied
zts501e	Water Elemental Energy can not be applied
zts502e	Water Elemental Resistance can not be applied
zts503e	Light Elemental Energy can not be applied
zts504e	Light Elemental Resistance can not be applied
zts505e	Dark Elemental Energy can not be applied
zts506e	Dark Elemental Resistance can not be applied
zts507e	Light and Darkness
zts508e	Mana Shield
zts509e	Cure
zts510e	Turn Undead
zts511e	Hide and Attack
zts512e	Cure %s%% of damage received at the expense of MP
zts513e	Increase MP by absorbing %s%% of Damage received
zts514e	Remove bad effects below Lv. %s
zts515e	Remove good effects below Lv. %s
zts516e	Damage Undead below my Lv.
zts517e	Heal Undead below my Lv.
zts518e	Give additional damage when hidden : %s
zts519e	Give additional damage when attacking hidden enemies : %s
zts520e	Item
zts521e	Increase Exp.
zts522e	Increase Attack Power
zts523e	Item Drop
zts524e	Increase Exp. : %s%%
zts525e	Increase All Attack Power : %s%%
zts526e	For %s rounds , items are dropped everytime you are attacked.
zts527e	Debuff resistance
zts528e	Abnormal Condition Resistance
zts529e	Normal Condition Resistance
zts530e	Abnormal Magic Resistance
zts531e	Toxic Resistance
zts532e	Abnormal Disease Resistance
zts533e	Probability to receive bad effects below level %s is increased %s%%
zts534e	Never receive the bad effects below level %s at the probability of %s%%
zts535e	Probability to receive bad general effects below level %s is increased %s%%
zts536e	Never receive the bad general effects below level %s at the probability of %s%%
zts537e	Probability to receive bad Magic effects below level %s is increased %s%%
zts538e	Never receive a bad magic effect below level %s at the probability of %s%%
zts539e	Probability to receive bad toxic below level %s is increased %s%%
zts540e	Never receive a bad disease below level %s at the probability of %s%%
zts541e	Probability to receive bad disease below level %s is increased %s%%
zts542e	Never receive a bad disease below level %s at the probability of %s%%
zts543e	Special Behavior
zts544e	Random Teleport
zts545e	Hop up territory
zts546e	Infect Area
zts547e	Teleport to Random place in the map
zts548e	Taunts all objects within %s distance.
zts549e	Affects all allies within %s distance.
zts550e	Affects all enemies within %s distance.
zts551e	Quest
zts552e	Quest Beholder
zts553e	Summons Monster based on current Rules
zts554e	Percent restore and damage
zts555e	Percent damage
zts556e	Decreases the opponent's HP by %s%%
zts557e	HP is decreased by %s%% when receiving damage.
zts558e	Transforms the circumstance
zts559e	Transforms [%s] to [%s]
zts560e	Cash item
zts561e	Power of scroll is given
zts562e	Increases Gold
zts563e	Gold is obtained is increased by %s%%
zts564e	Change Maximum HP % (Use buff only)
zts565e	Change Maximum MP % (Use buff only)
zts566e	Increase Max HP : %s%%
zts567e	Decrease Max HP : %s%%
zts568e	Increase Maxi MP : %s%%
zts569e	Decrease Max MP : %s%%
zts570e	Increase all defenses by %s%%
zts571e	The second specialist.
zts572e	Plant a bomb.
zts573e	Detonate a bomb.
zts574e	Set up blasting agent when you attack.
zts575e	Destroy surrounding area
zts576e	Set up an azon bomb.
zts577e	Set up a self-destruction bomb.
zts578e	Holy breath
zts579e	Cast a buff on the attacker
zts580e	Decrease abilities of enemies (Light Elements immune)
zts581e	%s%% chance of casting [%s] to the opponent's attacker
zts582e	Upgrading special list
zts583e	Lower card protection scroll
zts584e	Upper card protection scroll
zts585e	Apply ability of Lower card protection scroll
zts586e	Apply ability of Upper card protection scroll
zts587e	Huge snowman
zts588e	Anger1
zts589e	Anger 2
zts590e	A snowstorm blows through. All standing players suffer 99% damage
zts591e	There is an earthquake. All sitting players suffer 99% damage
zts592e	Drain
zts593e	Drain targeting
zts594e	HP Drain
zts595e	Casts Drain on target.
zts596e	Drains target HP by %s adds it to your own HP.
zts597e	Boss monster's skill
zts598e	Load. Morcos
zts599e	Give %s%% damage to the player who are further than %s cells away.
zts600e	Lose reflections and the probability of MP
zts601e	Lose MP remaining at a certain probability
zts602e	Cannot use this part.
zts603e	At %s%% probability, destroy %s%% of the MP remaining.
zts604e	Special treatment and buff resistance
zts605e	Buff Resistance
zts606e	PVP special treatment
zts607e	Remove the buff under the certain level.
zts608e	%s%% resistance is created at the effect. : Lv. [%s] and less.
zts609e	Deal %s additional damage in PvP.
zts610e	Decrease %s damage in PvP.
zts611e	At %s%% probability, remove bad effects below Lv.%s.
zts612e	Explosion occurs to cause %s%% damage to surrounding %s cells.
zts613e	Lord Hatus
zts614e	Dragon head attack
zts615e	Deal %s%% damage to the players at the certain location.
zts616e	Load Calvinas
zts617e	Summoning Snake
zts618e	Specialist SE
zts619e	Energy of shield
zts620e	Spreading the buff
zts621e	Moving the aura
zts622e	Life and death
zts623e	Input the number of the buff and the value of the damage (1/1000).
zts624e	Input the number of the buff.
zts625e	By moving the aura, have some effect on surroundings.
zts626e	Do not need to input anything.
zts627e	The less HP you have, the stronger effect you gain.
