zts1e	Baby Fox
zts143e	Aqua-Mimic
zts144e	Agi Aqua-Mimic
zts145e	2nd class Swordsman Kenko
zts146e	Swordsman Kenko
zts147e	Elite Swordsman Kenko
zts148e	2nd class Spearman Kenko
zts149e	Spearman Kenko
zts150e	Elite Spearman Kenko
zts151e	2nd class raider Kenko
zts152e	Raider Kenko
zts153e	Elite raider Kenko
zts154e	Lanetan
zts155e	Fernon Driered
zts156e	Bushtail
zts157e	Red Bushtail
zts158e	Black Bushtail
zts159e	Sick Bushtail
zts160e	Smart Bushtail
zts161e	Giant Mandra
zts162e	Dash Mandra
zts163e	Soldier Spider
zts164e	Slade
zts165e	Priest Slade
zts166e	Slade statue
zts167e	Red Sling
zts168e	Sneak Sling
zts169e	Pink Sling
zts170e	Black Sling
zts171e	Black Spider-king
zts172e	Splinter Boing
zts173e	Agi-Splinter Boing
zts174e	Sting Boing
zts175e	Agi-Sting Boing
zts176e	Santa Bushtail
zts177e	Wollet
zts178e	Lucky pig
zts179e	Brown Lizard
zts180e	Green Lizard
zts181e	Fat pigeon
zts182e	Happy Racoony bird
zts183e	Toxi-Racoony bird
zts184e	Stone-hammer stump
zts185e	Steel-hammer stump
zts186e	Stone-Axe stump
zts187e	Steel-Axe stump
zts188e	Tree zombie
zts189e	Agi-Tree zombie
zts190e	Maple soul
zts191e	Maple Devil
zts192e	Mapletee Boing
zts193e	Steel Mapletee Boing
zts194e	Wolf
zts195e	Tough Wolf
zts196e	Lion-Wolf
zts197e	Tough Lion-Wolf
zts198e	Hog
zts199e	Underground Hog
zts200e	Mountain turtle
zts201e	Rocky-mountain turtle
zts202e	Hive tree
zts203e	Agi-Hive tree
zts204e	Angry bees
zts205e	Danger bees
zts206e	Queen bee
zts207e	Luxy queen bee
zts208e	Spider
zts209e	Angry Spider
zts210e	Strong Spider
zts211e	Toxi-Spider
zts212e	Agi Toxi-Spider
zts213e	Toxi-Spider King
zts214e	Spider King
zts215e	Fami-Spider King
zts216e	Agi Spider King
zts217e	Wasp
zts218e	Straw Wasp
zts219e	Stingy Wasp
zts220e	WiggiWiggler
zts221e	Wiggler
zts222e	Agi-Wiggler
zts223e	Baby Wiggler
zts224e	Sick Strawee
zts225e	Strawee
zts226e	Agi-Strawee
zts227e	Weak Skulleton
zts228e	Squeaky Skulleton
zts229e	Evil Skulleton
zts230e	Skulleton
zts231e	Semi-Golem
zts232e	Golem
zts233e	Mangi-Golem
zts234e	Old DustDeath
zts235e	DustDeath
zts236e	Cursed DustDeath
zts237e	Dodo Darkwitch
zts238e	Rose Darkwitch
zts239e	Dodo Bloodwitch
zts240e	Rose Bloodwitch
zts241e	Darksy madam. Savina
zts242e	Darksy madam. Edis
zts243e	Spearman Demon
zts244e	Elite spearman Demon
zts245e	Angry Skulleton
zts246e	Cursed Skulleton
zts247e	Ancient Skulleton
zts248e	Hard Golem
zts249e	Agi Golem
zts250e	Sad DustDeath
zts251e	Devils DustDeath
zts252e	Vicious Strawee
zts253e	Kukukeen
zts254e	Marsha. Darkwitch
zts255e	Darksy madam Sylvia
zts256e	GrrKenko
zts257e	King Walker
zts258e	Dark Devil
zts259e	Skull Archer
zts260e	Cursed Skull Archer
zts261e	Skull Hammerman
zts262e	Cursed skull Hammerman
zts263e	DustKing
zts264e	Strong DustKing
zts265e	Cold-Death
zts266e	Freeze-Death
zts267e	Soft Sling
zts268e	Dark Stalin
zts269e	Aqua Gel
zts270e	Dotty slime
zts271e	Xysenload
zts272e	Dark Castra
zts273e	Slade heim
zts274e	Grave
zts275e	Evil Demon
zts276e	Jack Spider
zts277e	7 year-old ginseng
zts278e	Happy Ginseng
zts279e	Ground Lizard
zts280e	Long-leg spider
zts281e	Summoned
zts282e	Thin Guard
zts283e	Strong Thin Guard
zts284e	Fat Guard
zts285e	Strong Fat Guard
zts286e	Cursed Guard
zts287e	Eril Counter
zts288e	Bill Smith
zts289e	Sellbig Beginner
zts290e	Celloin Vintage
zts291e	Vellochika Tier
zts292e	Raul Endinel
zts293e	Super Gingseng
zts294e	Kuru Koaren
zts295e	Picky helper sorcerer
zts296e	Picky helper swordsman
zts297e	Milano guard
zts298e	Sir. Lopello's knights
zts299e	Crossbow guard
zts300e	Tired Kuru Koaren
zts301e	Kuru Koaren
zts302e	Akk Kenel
zts303e	GrrKenko
zts304e	Rhain
zts305e	Kevin
zts306e	Kung
zts307e	Princess Charlotte
zts308e	Dark Patrisha
zts309e	Dodo WhiteWitch
zts310e	Cenil
zts311e	Kum Carven
zts312e	Morgan Smith
zts313e	Bill Steward
zts314e	Sam
zts315e	Mine manager
zts316e	Chicken
zts317e	Big Chicken
zts318e	Princess Patrisha
zts319e	Wounded soldier
zts320e	Guards Captain
zts321e	Strange knights
zts322e	Knight Captain
zts323e	Super Chicken
zts324e	Dark Sorcerer
zts325e	Cursed Radal
zts326e	HerbTea
zts327e	???
zts328e	Disappearing Ghost
zts329e	Roy
zts330e	White Hat
zts331e	Shyring
zts332e	Robertto
zts333e	Iron Hammer
zts334e	Falling Rock
zts335e	Baby Spider
zts336e	Dead Kovolt
zts337e	Black Meteorite
zts338e	Sheepskin
zts339e	Teleport stone
zts340e	Lab quest beholder
zts341e	Bushtail trainer
zts342e	Post sign
zts343e	post sign2
zts344e	Stone of TimeSpace
zts345e	Little Elf Hint
zts346e	Yellow soul gem
zts347e	Red soul gem
zts348e	Blue soul gem
zts349e	Mysterious soul gem
zts350e	Black-out Mandra
zts351e	Anti-buff Mandra
zts352e	For beating
zts353e	For beating (Fire)
zts354e	For beating (Water)
zts355e	For beating (Light)
zts356e	For beating (Dark)
zts357e	Underworld Devil
zts358e	Training wood
zts360e	Red Golem
zts361e	Vampie Leech
zts362e	Blue Mole
zts363e	Guard Sam
zts364e	Guard Jim
zts365e	Manager Mudog
zts366e	Manager Krispo
zts368e	Warehouse manager Jerico
zts369e	Guard commander Raymond
zts370e	Knight office Romanson
zts371e	Knight captain Romanson
zts372e	Spy
zts373e	mumbling Kovolt
zts374e	Rolli
zts375e	King Rolli
zts376e	Goggling Devil
zts377e	Spelled sword
zts378e	Spelled bow
zts379e	Spelled iron hammer
zts380e	Torn away Robe
zts381e	Light bug
zts382e	Dark bug
zts383e	Aqua bug
zts384e	Flame bug
zts385e	Spoilt tree soul
zts386e	Polluted tree soul
zts387e	Sad tree soul
zts388e	Angry tree soul
zts389e	Bound soul
zts390e	Hell Dog
zts391e	Demon servant
zts392e	Knight Pinto
zts393e	Fragrant Grass
zts394e	Well
zts395e	Red Slate
zts396e	Tree wood pathway
zts397e	Dwarf tree
zts398e	Open-mouth statue
zts399e	Tray with spell
zts400e	Evil Circle
zts401e	Red Tree
zts402e	Holy Alter
zts403e	Wood stick in magic field
zts404e	Nest of Sniffer
zts405e	Wood scarecrow for gate A
zts406e	Wood scarecrow for gate B
zts407e	Wood scarecrow for gate C
zts408e	Log
zts409e	20 Lv. Quest Beholder
zts410e	21-1 Lv. Beholder
zts411e	21-2 Lv. Beholder
zts412e	21-3 Lv. Beholder
zts413e	21-4 Lv. Beholder
zts414e	21-5 Lv. Beholder
zts415e	21-6 Lv. Beholder
zts416e	22-1 Lv. Beholder
zts417e	22-2 Lv. Beholder
zts418e	22-3 Lv. Beholder
zts419e	Wheat
zts420e	Iron Ore
zts421e	25-1 Lv. Beholder
zts422e	25-2 Lv. Beholder
zts423e	25-3 Lv. Beholder
zts424e	25-4 Lv. Beholder
zts425e	25-5 Lv. Beholder
zts426e	25-6 Lv. Beholder
zts427e	25-7 Lv. Beholder
zts428e	25-8 Lv. Beholder
zts429e	25-9 Lv. Beholder
zts430e	25-10 Lv. Beholder
zts431e	Strange trace
zts432e	Captain Lamoss
zts434e	Eggy chick
zts438e	Fighting rooster
zts439e	Chicken-King
zts440e	First well
zts441e	Second well
zts442e	Eggy
zts443e	Golden Eggy
zts444e	Third well
zts445e	Forth well
zts446e	Special soldier
zts447e	First Chickie
zts448e	Second Chickie
zts449e	Third Chickie
zts450e	Eye of depth
zts451e	Tightened Soul beholder
zts452e	Torn away Robe beholder
zts453e	Post for the wanted criminal
zts454e	UrrKoaren
zts455e	Quickie Collin
zts456e	Sandra Brake
zts457e	Alex Riff
zts458e	Black Worm
zts459e	Darky Monster
zts460e	Giant Cricket
zts461e	Foggy Giant
zts462e	Soul of Kovolt Warrior
zts463e	Soul of Kovolt Archer
zts464e	Beast
zts465e	Spy of Kenko
zts466e	Pinch-Torturer
zts467e	Wheel-Torturer
zts468e	Whip-Torturer
zts469e	Devil Lady
zts470e	Statue biting the Shinbone
zts471e	Damaged guard post
zts472e	Soft land
zts473e	Rough ground
zts474e	Shining Rock
zts475e	Broom on the ground
zts476e	Suspicious Wall paper
zts477e	Crying statue
zts478e	Dwarf
zts479e	Sword dwarf
zts480e	Drunken dwarf
zts481e	Ninja
zts482e	Nonomaru
zts483e	Grudge ghost
zts484e	Namaju
zts485e	Summoned dwarf
zts486e	Summoned Jajamaru
zts487e	Princess Sakura
zts488e	Small Namaju
zts489e	Violent seedle
zts490e	Violent Dander
zts491e	Violent Chicken
zts492e	Kovolt worker
zts493e	Jajamaru
zts494e	Parts of meteorite
zts495e	Big Tombstone
zts496e	Small Tombstone
zts497e	Jajamaru Trap
zts498e	Bamboo sticks attack
zts499e	Iron torturer
zts500e	Namaju avatars
zts501e	Maple wisp
zts502e	Jajamaru pot
zts503e	5 point
zts504e	2 point
zts505e	1 point
zts506e	Cursed beast
zts507e	Cursed Foggy Giant
zts508e	Cursed Devil lady
zts509e	RoseBud Knight
zts510e	Strong Dodo white witch
zts511e	Statue of Shinbone
zts512e	Fruit
zts513e	Score board
zts514e	Red stone
zts515e	Broken statue of shinbone
zts516e	Kenko's spy 1 beholder
zts517e	Kenko's spy 2 beholder
zts518e	Kenko's spy 3 beholder
zts519e	Kenko's spy 4 beholder
zts520e	Rosebud Knight beholder
zts521e	Born devil
zts522e	Skull hawk
zts523e	Death Lander
zts524e	Giant Knight
zts525e	Dark Horn
zts526e	New npc
zts527e	Tri-angle
zts528e	Tri-angle fairy
zts529e	Giant Tri-angle
zts530e	Fire drake
zts531e	Skull drake
zts532e	Immature Tri-angle
zts533e	Rice
zts534e	Gate of Deadly Ground
zts535e	Gladiator Bushtail
zts536e	Patrisha
zts537e	Charlotte
zts538e	Jack Lumbermeal
zts539e	Rody Windsinger
zts540e	Rodiseniel Steward
zts541e	Erie Windspear
zts542e	Eri'kiriel Squad
zts543e	Sotty Bystander
zts544e	So'khanty Darkstalker
zts545e	Rect Lat
zts546e	Recturus Lightelusion
zts547e	Millenary clam
zts548e	Treekun-Treekun
zts549e	King - leeches
zts550e	mud golem
zts551e	Basilisk
zts552e	Giant larva
zts553e	Peober
zts554e	Rechen
zts555e	Division rechen
zts556e	Wraith of an old tree
zts557e	Graylander
zts558e	Gluey - leeches
zts559e	Angel
zts560e	Moth-bee
zts561e	Mole cricket
zts562e	Young mole
zts563e	Mother mole
zts564e	Dark evil dog
zts565e	Enkidu
zts566e	Larva
zts567e	Purity wild flower
zts568e	Passionate wild flower
zts569e	Stone statue of a crab
zts570e	Well
zts571e	Big red flower
zts572e	Chrysos
zts573e	Lumber yak
zts574e	Tsuki yak
zts575e	Young mole
zts576e	Shot-bomb
zts577e	Bomb
zts578e	Sentinel
zts579e	Mole cricket
zts580e	Claymore
zts581e	Fire mine
zts582e	Skid frozen heart
zts583e	Daisy Akamur
zts584e	Seina Reiya
zts585e	Justine Darkflame
zts586e	Whitney Catherine
zts587e	Demon guardsman
zts588e	Hell guard
zts589e	Fell guard
zts590e	Kartos
zts591e	Benteruke
zts592e	Pelicert
zts593e	Archtheridon Hellduke
zts594e	Echekaluel Misticaron
zts595e	Dr.W
zts596e	Ancient soul
zts597e	Golden soul stone
zts598e	Holy well
zts599e	Bushtail
zts600e	Black Bushtail
zts601e	Kupei Karustier
zts602e	Arcke
zts603e	Jabiniel Mystic Night
zts604e	Israel Mystic Night
zts605e	Reedwhanel Mystic Night
zts606e	Grey soul stone
zts607e	Arms merchant
zts608e	Defensive equipment merchant
zts609e	Production merchant
zts610e	Cook
zts611e	Fashion designer
zts612e	Alchemist
zts613e	Gardener
zts614e	Warp tower
zts615e	Airwaves
zts616e	Santa Claus
zts617e	Snow fairy
zts618e	Snowman
zts619e	Huge Snowman
zts620e	Hamakung Steward
zts621e	Lucky rat
zts622e	Great Wizard Fair Roshu
zts623e	Rudin Frozen Heart
zts624e	Leika Cutlass
zts625e	Seal Refugee
zts626e	Warus Refugee
zts627e	Cappen
zts628e	Kangpen
zts629e	Jackpen
zts630e	Nool Scout
zts631e	Nool Combat Soldier
zts632e	Warus Hunter
zts633e	Yeti
zts634e	Ice Golem
zts635e	Prota
zts636e	Ice Woman
zts637e	Lace
zts638e	Mentis Gore
zts639e	Ice Worm
zts640e	Lord Mukraju
zts641e	Ross Hisrant
zts642e	Small campfire
zts643e	Big campfire
zts644e	Ross Hisrant
zts645e	Mokan Warrior
zts646e	Mokan Hunter
zts647e	Moldas Warrior
zts648e	Moldas Warloc
zts649e	Lord Morcos
zts650e	Jjinta
zts651e	Monster Summon Portal
zts652e	Hemil Ice Dust
zts653e	Amelia Bellwood
zts654e	Egg fairy
zts655e	Little Suspicious Nool Scout
zts656e	Suspicious Nool Scout
zts657e	Very Suspicious Nool Scout
zts658e	Definitely Suspicious Nool Scout
zts659e	Egg fairy
zts660e	Arnold Martin
zts661e	Isaac Martin
zts662e	Noel Rosa
zts663e	Mrs. Margarette
zts664e	Alice Green
zts665e	Phillips Lion
zts666e	Edward Albert
zts667e	Dark Watcher
zts668e	Dark Chaser
zts669e	Dark Carnivore
zts670e	Dark Hermit
zts671e	Lord Hatus
zts672e	New Groom Selvic
zts673e	Seloin Beginner
zts674e	Retired Morgan Smith
zts675e	Retired Bill Smith
zts676e	Raul on Research
zts677e	Wandering Eojungi
zts678e	Guard Captain Pinto
zts679e	Busy Eril Counter
zts680e	Idling Bellochica
zts681e	Violent Yeti
zts682e	Powerful Moldas Warrior
zts683e	Powerful Moldas Warloc
zts684e	White Seal
zts685e	Alfred Sisley
zts686e	Giant Chick
zts687e	Thousand-Year-Old Mandra
zts688e	Hell Guard Dog
zts689e	Phoenix Gamecock
zts690e	Thousand-Year-Old Potato
zts691e	Satan's Pet Dog
zts692e	Giant Kyleguer
zts693e	Satellite Dunguri
zts694e	Tree Root Satan
zts695e	Muscular Slad
zts696e	Shadow King
zts697e	Slad Golem
zts698e	Mini Castra
zts699e	Death Knight
zts700e	Fat Leech
zts701e	Thousand-Year-Old Ginseng
zts702e	King Basilrisk
zts703e	Giant Warrior
zts704e	Cursed Tree
zts705e	King Crab
zts706e	Gentle Yeti
zts707e	Lucas Frostwell
zts708e	Crystal Cave Guard Dog
zts709e	Crystal Cave Gatekeeper
zts710e	Crystal Cave Priest
zts711e	Crystal Cave Guardian
zts712e	Lord Berios' Phantom (Archer)
zts713e	Lord Berios' Phantom (Sorcerer)
zts714e	Lord Berios' Phantom (Swordsman)
zts715e	Lord Berios
zts716e	Ocean Hunter
zts717e	Ocean Guardian
zts718e	Ocean Restrainer
zts719e	Ocean Chaser
zts720e	Lord Kelbinas
zts721e	Ice machine
zts722e	Angel Base Camp
zts723e	Devil Base Camp
zts724e	Angel Resurrection Sanctum
zts725e	Devil Resurrection Altar
zts726e	Aqua Bushtail
zts727e	Rolling stone 1
zts728e	Rolling stone 2
zts747e	Pegasus
zts748e	Cute Rabbit
zts749e	Leech
zts750e	Giant Yeti
zts751e	Lectrus Lightillusion
zts752e	Socanti Darkstalker
zts753e	Trained Chicken
zts754e	Strong Ginseng
zts755e	Strong Basilisk
zts756e	Trained Woolly
zts757e	Trained Sheep
zts758e	Trained Rammer
zts759e	Trained Rat
zts760e	Trained Toxi-Rat
zts761e	Trained Steel Rat
zts762e	Trained Fox
zts763e	Trained Dusi-Fox
zts764e	Trained Oto-Fox
zts765e	Trained Pink Sling
zts766e	Trained Red Sling
zts767e	Trained Dark Sling
zts768e	Trained Baby Horn-Imp
zts769e	Trained Horn-Imp
zts770e	Trained Big Horn-Imp
zts771e	Trained Wolf
zts772e	Trained Lion-Wolf
zts773e	King Cappen
zts774e	Junior Nool
zts775e	Giant Ice Worm
zts776e	Giant Prota
zts777e	Giant Enkidu
zts778e	Giant Cold-Death
zts779e	Tough Fighting rooster
zts780e	Mandra ghost
zts781e	Power Vampie
zts782e	Elite Knight Koaren
zts783e	Elite Archer Koaren
zts784e	Dangerous Raider Kenko
zts785e	Leader. Stone Walker
zts786e	Angry Warepard
zts787e	Angel Guardian
zts788e	Devil Guardian
zts789e	Vampie scarecrow
zts790e	Kovolt scarecrow
zts791e	Tori scarecrow
zts792e	Kenko scarecrow
zts793e	Warepard scarecrow
zts794e	Catsy scarecrow
zts795e	Skull Hammerman scarecrow
zts796e	Elementary pet trainer
zts797e	Intermediate pet trainer
zts798e	Advanced pet trainer
zts799e	Ghost of evil sorcerer
zts800e	Angry Wiggler
zts801e	Summoned Queen bee
zts802e	Giant Wiggler
zts803e	Smooth worm
zts804e	Big Golem
zts805e	Steel horn Boing
zts806e	Soldier spider
zts807e	Monster in the dark
zts808e	Hell Hunting dog
zts809e	Ascetic Slad
zts810e	Cruel Night Skulleton
zts811e	Cruel Archer Skulleton
zts812e	Gigantic Guardian
zts813e	Giant Guardian
zts814e	Menacing Slad
zts815e	Dark knight Deront
zts816e	Small Leech
zts817e	Poison Larva
zts818e	Panzer Knight Lantess
zts819e	Split Rechen
zts820e	Dark fog Pontiff
zts821e	Giant Stone Walker
zts822e	King Crab
zts823e	Queen Mole
zts824e	Mystic Night
zts825e	Mystic Aron
zts826e	Ancient Kyleguer
zts827e	Ancient Shadow King
zts828e	Ancient Mini Castra
zts829e	Ancient Tree Root Satan
zts830e	Giant Pink Sling
zts831e	Strong Giant Knight
zts832e	Strong Graylander
zts833e	Wood fire for individual use
zts834e	Wood fire for Camping
zts835e	Swordsman Soul stone
zts836e	Archer Soul stone
zts837e	Sorcerer Soul stone
zts838e	Angel¡¯s ice attack
zts839e	Devil¡¯s ice attack
zts840e	Training area stake
zts841e	Training sign post
zts842e	The crystal ball for the specialists of Swordsman
zts843e	The crystal ball for the specialists of Archer
zts844e	The crystal ball for the specialists of Sorcerer
zts845e	Giant Raider Kenko
zts846e	Vampie scarecrow area
zts847e	Ugly Rudolph
zts848e	Outrageous Rudolph
zts849e	Wicked snowman
zts850e	Santa Bushtail EX
zts851e	Arc Devil
zts852e	Cow Bushtail
zts853e	Ice Worm
zts854e	Junior Nool Combat Soldier
zts855e	Fierce Prota
zts856e	Junior Nool Scout
zts857e	Junior Enkidu
zts858e	Summoned Jackpen
zts859e	Summoned Kangpen
zts860e	Snow Basilisk
zts861e	Snow Lion-Wolf
zts862e	Snow Oto-Fox
zts863e	Samurai Bushtail
