zts1e	Effet général
zts63e	Un état de vertige se fait sentir.
zts64e	Poison mortel
zts65e	Sous le coup du choc, le corps est ralenti pendant quelques secondes.
zts66e	Interrompre le mouvement
zts67e	Une blessure sévère empêche tout déplacement.
zts68e	Gel
zts69e	L'adversaire est congelé et incapable de bouger.
zts70e	Célérité
zts71e	Le déplacement est rapide.
zts72e	Le corps gagne en légèreté et la vitesse de déplacement augmente.
zts73e	Rituel du faucon
zts74e	La vue imprenable permet de réaliser des attaques efficaces.
zts75e	Bouclier de gel
zts76e	Le bouclier de gel génère une armure de glace qui enveloppe le corps et stoppe les attaques à distance dirigées contre toi.
zts77e	Aura de rétablissement
zts78e	Une douce énergie enveloppe le corps pour le rétablir.
zts79e	Lumière protectrice
zts80e	Une lumière éclatante protectrice enveloppe le corps.
zts81e	Sommeil
zts82e	Le sommeil profond instantané est stoppé au moindre impact.
zts83e	Aveuglement
zts84e	La vue est restreinte pendant quelques secondes.
zts85e	Pointe de flèche empoisonnée
zts86e	La pointe de la flèche est traitée avec une substance toxique pour empoisonner l'adversaire.
zts87e	Dague toxique
zts88e	La dague est traitée avec une substance toxique pour empoisonner l'adversaire.
zts89e	Saignement grave
zts90e	Une blessure sérieuse réduit les HP.
zts91e	Inaptitude
zts92e	L'attaque et la défense sont neutralisées.
zts93e	Renaissance affaiblissante
zts94e	L'attaque est renforcée.
zts95e	La défense est renforcée.
zts96e	La défense d'attaque rapprochée est renforcée.
zts97e	La défense d'attaque à distance est renforcée.
zts98e	La défense magique est renforcée.
zts99e	MP illimités
zts100e	Énergie puissante
zts101e	Accélérer
zts102e	Bouclier de l'invincibilité
zts103e	Poison paralysant
zts104e	L'attaque est interrompue. L'étourdissement provoqué s'arrête lorsque le poison est neutralisé.
zts105e	Main rétrécissante
zts106e	La main rétrécit et la force d'attaque diminue.
zts107e	Éternuement à effet secondaire
zts108e	Kukukeen faiblit. C'est peut-être le bon moment pour attaquer ?
zts109e	Épine toxique puissante
zts110e	Un empoisonnement est provoqué par une épine toxique puissante.
zts111e	Obscurité de DOOM
zts112e	Plus l'élément Obscurité faiblit, moins l'attaque critique est efficace.
zts113e	Main de la mort
zts114e	Poison mortel
zts115e	Temps d'attente pour la mission
zts116e	Tu peux relever la mission une nouvelle fois dès que le délai d'attente est écoulé.
zts117e	Longévité des objets magiques
zts118e	La longévité des objets magiques est indiquée. Dès qu'elle est dépassée, les objets disparaissent.
zts119e	Arrêt des saignements
zts120e	Stoppe les saignements jusqu'au niveau 4 avec une probabilité de 80 %.
zts121e	Brûlure
zts122e	Le feu rend plus faible et les HP diminuent progressivement.
zts123e	Brûlure fatale
zts124e	Syncope mortelle
zts125e	Tout mouvement ou toute utilisation d'objet est impossible.
zts126e	Bénédiction du Feu
zts127e	L'élément Feu est ajouté et la résistance au Feu augmente.
zts128e	Force de défense affaiblie
zts129e	Le niveau de défense baisse et diminue la force de défense.
zts130e	Bouclier brisé
zts131e	La force de défense totale est perdue pendant quelques secondes.
zts132e	Choc
zts133e	Le choc inattendu interrompt l'attaque.
zts134e	Peau d'acier
zts135e	La force de défense est maximisée, tandis que la force d'attaque diminue.
zts136e	Augmentation du moral
zts137e	Le moral est boosté.
zts138e	Fuite
zts139e	Fuis très loin.
zts140e	Oeil du faucon
zts141e	La probabilité d'une attaque réussie augmente.
zts142e	À toute allure
zts143e	La vitesse de déplacement augmente.
zts144e	Détonation d'éclair
zts145e	L'attaque est interrompue pendant un certain temps.
zts146e	Rapidité
zts147e	Le temps de rechargement de la compétence est écourté.
zts148e	Descendre
zts149e	La durée d'effet est retardée et la vitesse de déplacement ralentie.
zts150e	Force d'attaque absorbée
zts151e	La force d'attaque de l'adversaire diminue et la tienne augmente.
zts152e	Arête tranchante
zts153e	Aiguise la lame des armes.
zts154e	Coupure
zts155e	Les MP diminuent et la défense est réduite de moitié.
zts156e	Saignement critique
zts157e	Les HP diminuent et les coups critiques sont entravés.
zts158e	Brouillard
zts159e	La précision diminue.
zts160e	Poison mental
zts161e	Tu infliges autant de dégâts que tu consommes de MP.
zts162e	Cachette
zts163e	Tu es caché de l'ennemi.
zts164e	Poison intensif
zts165e	Toutes les résistances diminuent et tu subis tous les coups critiques.
zts166e	Lumière magique
zts167e	La précision et les HP de l'élément Obscurité diminuent.
zts168e	Bouclier de mana
zts169e	Une partie des dégâts est convertie en MP.
zts170e	Arme sacrée
zts171e	L'élément Lumière est renforcé et la résistance à l'Obscurité augmente.
zts172e	Obscurité dissipée
zts173e	L'élément Obscurité est désactivé.
zts174e	Bénédiction
zts175e	La hausse du niveau de défense entrave les coups critiques.
zts176e	Coup critique
zts177e	La concentration et la probabilité de coups critiques augmentent.
zts178e	Sprint
zts179e	Tu peux immédiatement te déplacer à toute allure.
zts180e	Bénédiction du chouchou
zts181e	La consommation de MP diminue.
zts182e	Les points d'EXP augmentent.
zts183e	Les points d'EXP augmentent temporairement.
zts184e	Force d'attaque augmentée
zts185e	La force d'attaque augmente temporairement.
zts186e	Protection parfaite
zts187e	Aucune attaque ne peut temporairement être lancée ou subie.
zts188e	Désespoir
zts189e	Tu combats désespérément.
zts190e	Entrave
zts191e	La cible n'en revient pas de s'être fait attraper.
zts192e	Courte syncope
zts193e	Courte syncope
zts194e	Point faible exposé
zts195e	Les points faibles sont exposés et les coups critiques sont inévitables.
zts196e	Rigidité
zts197e	Le corps est paralysé.
zts198e	Oxydation
zts199e	Un acide puissant ronge les vêtements et les armes.
zts200e	Infection de zombi
zts201e	La cible devient un zombi idiot qui fait des bruit étranges. Très contagieux !
zts202e	Immunité contre les zombis
zts203e	La cible est immunisée contre l'infection de zombi.
zts204e	Chanson du ciel
zts205e	Attirée par une chanson envoûtante, la cible perd toute volonté de combattre.
zts206e	Bénédiction du cochon porte-bonheur
zts207e	Les points d'EXP augmentent de 10 %.
zts208e	Bénédiction du Nouvel an
zts209e	La force d'attaque et de défense augmente de 10 %.
zts210e	Bénédiction de la Saint-Valentin
zts211e	Sanglots et pleurs
zts212e	Des sanglots déchirants sont provoqués.
zts213e	Bénédiction du jour blanc
zts214e	Sans bruit
zts215e	Utilise le parchemin protecteur
zts216e	L'équipement et le niveau de rareté existant sont préservés pendant l'amélioration.
zts217e	Poison brumeux
zts218e	Un brouillard épais empêche tout déplacement.
zts219e	Sac odorant
zts220e	Les points d'EXP augmentent de 30 % (dans le cadre d'évènements saisonniers).
zts221e	Énergie d'arc-en-ciel
zts222e	Ce pouvoir s'obtient à l'issue victorieuse de la bataille de l'arc-en-ciel. Les points de spécialiste ne baissent pas !
zts223e	Énergie d'arc-en-ciel
zts224e	Renforcement d'armure
zts225e	Hausse d'énergie
zts226e	Les HP/MP maximums augmentent temporairement.
zts227e	Les points d'EXP augmentent de 20 %.
zts228e	Bénédiction d'Altair et de Wega
zts229e	Bénédiction d'Ancelloan
zts230e	Les points d'EXP obtenus augmentent de 100 %.
zts231e	Bénédiction de l'ange gardien
zts232e	Les points d'EXP du NosMate augmentent de 50 %.
zts233e	Choc électrique
zts234e	Tu as été paralysé par un choc électrique et tu ne peux plus bouger.
zts235e	Choc électrique violent
zts236e	Tu as été paralysé par un choc électrique violent et tu ne peux plus bouger.
zts237e	Fossilisation
zts238e	Victime d'une fossilisation, tu ne peux plus bouger.
zts239e	Venin de mite
zts240e	Le venin de mite te fait ralentir et tu dois encaisser un coup dévastateur.
zts241e	Fléau
zts242e	Les plantes sont sérieusement affectées par le fléau. L'immunité contre les zombis peut stopper ce problème.
zts243e	Cocktail sanglant
zts244e	Tu peux absorber les HP de ton adversaire et lui infliger des dégâts.
zts245e	Contrôle de l'esprit
zts246e	Ton esprit est contrôlé par quelqu'un d'autre, ce qui provoque de graves dégâts.
zts247e	Charme du chouchou
zts248e	Les points de production diminuent de 20 %.
zts249e	Les plantes sont sérieusement affectées par le fléau.
zts250e	Renforcement féérique
zts251e	L'élément de la fée augmente de 30.
zts253e	Toutes les puissances élémentaires et la vitesse de déplacement augmentent pendant 10 minutes.
zts254e	Frissons
zts255e	La vitesse de déplacement est considérablement réduite par le froid qui engourdit ton corps.
zts256e	Bénédiction de l'Eau
zts257e	L'élément Eau est ajouté et la résistance à l'Eau augmente.
zts258e	Congélation
zts259e	Sous l'effet d'un coup critique, tu ne peux lancer aucune attaque, car ton corps est engourdi par le froid.
zts260e	Renforcement activé
zts261e	Le renforcement accélère les déplacements.
zts262e	Gaz toxique
zts263e	Ta défense est neutralisée et tu ne peux pas utiliser tes compétences.
zts264e	Prière de défense
zts265e	Le niveau de défense et les HP/MP maximums du partenaire augmentent.
zts266e	Prière d'attaque
zts267e	Le niveau d'attaque et le moral augmentent.
zts268e	1re charge triple
zts269e	Grâce à la bénédiction, la force d'attaque augmente temporairement.
zts270e	2e charge triple
zts271e	3e charge triple
zts272e	2e gaz toxique
zts273e	Tu ne peux pas utiliser tes compétences.
zts274e	Bouclier gelé
zts275e	Tu es protégé tandis que l'adversaire subit une attaque de l'adversaire.
zts276e	Souffle sacré
zts277e	La force de tous les adversaires qui ne se servent pas de l'élément Lumière diminue.
zts278e	La défense augmente temporairement.
zts279e	Les dégâts subis se répercutent.
zts280e	Souffle d'air
zts281e	Bénédiction de la gemme d'âme
zts282e	Si tu portes une carte de spécialiste, le gain d'EXP de ta carte de spécialiste augmente de 50 % supplémentaires.
zts283e	Parchemin protecteur pour spécialiste de niveau inférieur
zts284e	En l'utilisant, tu peux améliorer ta carte de spécialiste de 0-9.
zts285e	Parchemin protecteur pour spécialiste de niveau supérieur
zts286e	En l'utilisant,  tu peux améliorer ta carte de spécialiste de 10-14.
zts287e	Berserk
zts288e	Les vitesses d'attaque et de déplacement augmentent, tandis que la défense diminue.
zts289e	Brise-armure
zts290e	En détruisant l'armure de l'adversaire, tu réduis sa défense.
zts291e	Esprit de l'aigle
zts292e	L'esprit de l'aigle qui sommeille en toi se manifeste.
zts293e	Lumière élémentaire
zts294e	L'esprit de la forêt augmente ta résistance à la Lumière.
zts295e	Esprit du loup
zts296e	L'esprit du loup qui sommeille en toi se manifeste.
zts297e	Perte de l'élément
zts298e	La perte de l'élément provoque un effet négatif et la forêt en souffre.
zts299e	Esprit de l'ours
zts300e	L'esprit de l'ours qui sommeille en toi se manifeste.
zts301e	Esprit gardien
zts302e	Une déité enveloppe temporairement le Sorcier pour le protéger.
zts303e	Malédiction obscure
zts304e	L'élément Obscurité augmente grâce à une déité.
zts305e	Possession
zts306e	Une déité contrôle l'esprit de l'adversaire.
zts307e	Potion démoniaque
zts308e	Une déité envahit le corps de l'adversaire.
zts309e	Réquiem
zts310e	Le chant de la déité fait trembler l'adversaire de peur.
zts311e	Vie et mort
zts312e	La force d'attaque et de défense augmentent temporairement de 10 %.
zts313e	Bénédiction du nouvel an
zts314e	Les points d'EXP de combat et de métier augmentent temporairement de 10 %.
zts315e	En consommant des HP, la force d'attaque augmente.
zts316e	Rhume
zts317e	Tu attrapes un mauvais rhume qui te fait perdre le contrôle de ton corps.
zts318e	Peste
zts319e	Tu te sens tellement mal que tu es incapable d'esquiver les attaques ennemies.
zts320e	Buff du 1er jour de l'année
zts321e	Les HP et MP maximums augmentent de 10 % pendant 1 heure.
zts322e	Renaissance
zts323e	L'effet affaiblissant de la renaissance se dissipe.
zts324e	Bénédiction du jour blanc
zts325e	Invincible en PvP
zts326e	Tes HP ne diminuent pas pendant 5 secondes en cas d'attaque ennemie.
zts327e	La Lumière sacrée diminue les compétences de tous tes adversaires.
zts328e	La force d'attaque en PvP augmente.
zts329e	En PvP, la force d'attaque augmente de 50 % pendant 1 heure (uniquement dans la Couronne de glace).
zts330e	La défense en PvP augmente.
zts331e	En PvP, la défense augmente de 50 % pendant une 1 heure (uniquement dans la Couronne de glace).
zts332e	La résistance en PvP augmente.
zts333e	En PvP, la résistance augmente de 20 % pendant 1 heure (uniquement dans la Couronne de glace).
zts334e	Après le blocage, l'attaquant est congelé.
zts335e	Niveau du joueur / %d
zts336e	Niveau du joueur * %d
zts337e	Niveau / %d
zts338e	Niveau * %d
zts339e	Préservation de la nature
zts340e	La résistance aux éléments est renforcée.
zts341e	La résistance aux éléments augmente.
zts342e	Épine toxique légère
zts343e	Épine toxique fatale
zts344e	Poison mortel dilué
zts345e	Poison mortel fatal
zts346e	Gaz neurotoxique léger
zts347e	Gaz neurotoxique
zts348e	Gaz neurotoxique puissant
zts349e	Gaz neurotoxique fatal
zts350e	Froid léger
zts351e	Froid mordant
zts352e	Froid fatal
zts353e	Brûlure légère
zts354e	Brûlure sévère
zts355e	Syncope légère
zts356e	Syncope fatale
zts357e	Endommagement de l'arme de défense
zts358e	Destruction de l'arme de défense
zts359e	Affaiblissement de l'arme
zts360e	Endommager l'arme
zts361e	Briser l'arme
zts362e	Détruire l'arme
zts363e	Paralysie légère
zts364e	Paralysie
zts365e	Paralysie puissante
zts366e	Paralysie extrême
zts367e	Désespoir léger
zts368e	Désespoir terrible
zts369e	Désespoir fatal
zts370e	Frayeur légère
zts371e	Frayeur terrible
zts372e	Frayeur fatale
zts373e	Petite horreur
zts374e	Horreur
zts375e	Horreur terrible
zts376e	Horreur fatale
zts377e	Incapacité minime
zts378e	Incapacité puissante
zts379e	Incapacité terrible
zts380e	Affaiblissement léger de la résistance
zts381e	Affaiblissement de la résistance
zts382e	Affaiblissement puissant de la résistance
zts383e	Affaiblissement terrible de la résistance
zts384e	Affaiblissement léger de l'élément d'attaque
zts385e	Affaiblissement de l'élément d'attaque
zts386e	Affaiblissement puissant de la résistance élémentaire
zts387e	Affaiblissement terrible de l'élément d'attaque
zts388e	Gel léger
zts389e	Gel puissant
zts390e	Gel terrible
zts391e	Fossilisation légère
zts392e	Fossilisation puissante
zts393e	Fossilisation terrible
zts394e	Rigidité
zts395e	Tu es incapable de contrôler ton corps.
zts396e	Barrière magique
zts397e	Poison engourdissant léger
zts398e	Poison engourdissant puissant
zts399e	Poison engourdissant fatal
zts400e	En cas d'attaque par la Lumière sacrée, la résistance à la Lumière diminue.
zts401e	Inattaquable
zts402e	Barre de chocolat noir
zts403e	La force d'attaque augmente de 10 % pendant 30 minutes.
zts404e	Barre de chocolat blanc
zts405e	La défense augmente de 10 % pendant 30 minutes.
zts406e	Étoile
zts407e	Les points d'EXP augmentent de 10 % pendant 50 minutes.
zts408e	Affaiblissement puissant des éléments d'attaque
zts409e	Affaiblissement terrible de l'élément d'attaque
zts410e	Foudres du Ratufu taureau
zts411e	Le Ratufu taureau s'énerve, ce qui augmente sa force d'attaque.
zts412e	La défense augmente.
zts413e	La force de défense augmente temporairement.
zts414e	La probabilité de coups critiques augmente.
zts415e	La probabilité de coups critiques augmente temporairement.
zts416e	L'attaque magique est maximisée.
zts417e	L'attaque magique est temporairement maximisée.
zts418e	Obscurité électrique
zts419e	La force défense augmente.
zts420e	La défense d'attaque rapprochée augmente.
zts421e	Les dégâts subis par des coups critiques augmentent temporairement.
zts422e	Médaille Premium (10 jours)
zts423e	Tu peux utiliser l'effet tant qu'il dure.
zts424e	Médaille Premium (30 jours)
zts425e	Médaille Premium (1 jour)
zts426e	Souffle du perdant
zts427e	Les niveaux d'attaque et de défense passent à 0.
zts428e	Les niveaux d'attaque et de défense passent à 0 et la vitesse de déplacement diminue de 2.
zts429e	Les niveaux d'attaque et de défense passent à 0 et la précision diminue de 20.
zts430e	Chaîne de glace
zts431e	La vitesse de déplacement diminue de 3.
zts432e	Transmission de mana
zts433e	Ta force de défense augmente et 30 % des dégâts subis diminuent, mais tu consommes tes MP.
zts434e	Le buff t'accorde 30 % de points d'EXP de combat et de métier en plus pendant 10 minutes.
zts437e	Toi et ton ami recevez le double de points d'expérience. Le buff disparaît dès que ton ami se déconnecte.
zts439e	Malédiction de Calvina
zts440e	Tu es sous le coup de la malédiction de Calvina. Ta vitesse de déplacement diminue.
zts441e	Absorber le mana
zts442e	Tu dérobes le mana de ton adversaire.
zts443e	Faiblesse
zts444e	Ta plus grande faiblesse est dévoilée à ton adversaire.
zts445e	Tu ne peux plus bouger, car tu as reçu un choc électrique.
zts446e	Tes HP sont utilisés pour augmenter ta force d'attaque.
zts447e	Malédiction du commandant
zts448e	La malédiction du commandant réduit la force d'attaque et de défense pendant 60 secondes.
zts449e	Choc d'explosion
zts450e	La vitesse de déplacement diminue et il devient impossible d'esquiver des attaques.
zts451e	Malédiction du commandant d'élite
zts452e	La malédiction du commandant d'élite réduit la force d'attaque et de défense pendant 120 secondes.
zts453e	Les points d'EXP augmentent de 100 % (utilisable avec la bénédiction d'Ancelloan).
zts454e	Les points d'EXP augmentent de 50 % (utilisable avec la bénédiction d'Ancelloan).
zts455e	Les points d'EXP augmentent de 20 % (utilisable avec la bénédiction d'Ancelloan).
zts456e	Fureur du commandant
zts457e	Le commandant est furibond.
zts458e	Bénédiction de protection
zts459e	La bénédiction de protection augmente la force de défense du commandant.
zts460e	La malédiction du commandant réduit la force d'attaque et de défense pendant 90 secondes.
zts462e	Les HP/MP augmentent de 10 % pendant 3 200 secondes.
zts463e	Protège des attaques avec un bouclier de glace
zts464e	Petite bénédiction de la Saint-Valentin
zts465e	La force d'attaque et de défense augmente de 5 %.
zts466e	Bénédiction de la Saint-Valentin
zts467e	Grande bénédiction de la Saint-Valentin
zts468e	La force d'attaque et de défense augmente de 20 %.
zts469e	Petite bénédiction du jour blanc
zts470e	Grande bénédiction du jour blanc
zts475e	Cérémonie de mariage
zts476e	Les points d'EXP de combat augmentent de 5 %.
zts477e	Bénédiction du fantôme
zts478e	La force d'attaque augmente à hauteur de +100 % pour toutes les attaques.
zts479e	Malédiction du fantôme
zts480e	La force d'attaque diminue à hauteur de -50 % pour toutes les attaques.
zts481e	Grognement du chien de garde
zts482e	Cri de guerre du garde
zts483e	Fureur du fantôme
zts484e	Malédiction de la citrouille
zts485e	Si tu continues à subir des attaques de l'élément Obscurité, tu ne pourras temporairement plus attaquer.
zts486e	Malédiction des troupes d'escorte
zts487e	Le sortilège de l'escorte te fera perdre des HP.
zts495e	Tes capacités à te défendre et à viser juste augmentent. 30 % des dégâts que tu subis sont soustraits de tes MP (et pas de tes HP).
zts496e	Guérison miraculeuse
zts497e	Le corps est renforcé pour booster la défense.
zts501e	Bénédiction du Nouvel an géante
zts502e	Bonne année !
zts503e	Tu auras beaucoup de chance cette année.
zts506e	Perturbation
zts507e	Ton NosMate reste choqué et perturbé pendant 30 minutes.
zts508e	Forte perturbation
zts509e	Ton NosMate reste choqué et perturbé pendant 50 minutes.
zts512e	Boosteur de vitesse
zts513e	Ta vitesse est temporairement maximisée.
zts514e	Après avoir remporté la bataille de l'arc-en-ciel, tu reçois cette force qui te sera utile dans la Couronne de glace.
zts515e	Plaie par balle
zts516e	Tu subis une grave blessure par balle.
zts517e	Tonneau de rhum pour cachette
zts518e	Tu essaies de te protéger des attaques de l'adversaire.
zts519e	Chaleur de l'épée en flammes
zts520e	La chaleur fait baisser l'énergie vitale en continu.
zts521e	Huile de fleur de glace
zts522e	L'huile de fleur de glace givrée permet de supporter la chaleur accablante.
zts523e	Bénédiction de Kertos
zts524e	La bénédiction de Kertos augmente la force d'attaque.
zts525e	Brûlures
zts526e	Tu es en grand danger lorsque tu subis des dégâts d'attaque rapprochée.
zts527e	Toile d'araignée
zts528e	Tu t'empêtres dans une toile d'araignée, ce qui fait de toi une proie facile pour l'ennemi.
zts529e	Trouble de la vue
zts530e	Le rayonnement provoque un aveuglement temporaire.
zts531e	Bouclier de chaleur étincelante
zts532e	Le bouclier de chaleur étincelante te rend plus résistant.
zts533e	Éruption de lave
zts534e	La chaleur infernale de la lave inflige de lourds dégâts à l'adversaire.
zts535e	Grande éruption de lave
zts536e	La chaleur infernale de la lave inflige des dégâts extrêmes à l'adversaire.
zts537e	Poison de flammes
zts538e	Tu perds progressivement des HP, car tu as été empoisonné par le poison de flammes.
zts539e	Souffle enflammé du phénix
zts540e	Le souffle enflammé du phénix fait baisser ta combattivité.
zts541e	Cicatrice de brûlure luisante
zts542e	La cicatrice de brûlure luisante t'empêche de te déplacer et d'attaquer.
zts543e	Malédiction de la flamme rouge
zts544e	La malédiction de la flamme rouge diminue ta résistance à l'aura des flammes. La probabilité que tu subisses un coup critique augmente.
zts546e	Un séisme d'explosion provoque temporairement une syncope.
zts547e	Blessure à un endroit sensible
zts548e	La blessure infligée à un endroit sensible met en danger de mort sa cible.
zts549e	Ratufu Rodolphe furieux
zts550e	Le Ratufu Rodolphe devient furieux et sa force d'attaque augmente.
zts551e	Cri de guerre du centurion
zts552e	Avec le cri de guerre du centurion, l'adversaire subit toujours un coup critique.
zts553e	Ligotage
zts554e	Corrosion puissante
zts555e	Un puissant corrosif endommage l'armure et les armes.
zts556e	Le ligotage t'empêche de bouger.
zts557e	Gain d'EXP accru
zts558e	Le gain d'EXP augmente pendant une heure (20 % pour les membres de la famille, 10 % pour d'autres joueurs).
zts559e	Gain en or accru
zts560e	Le gain en or augmente pendant une heure (20 % pour les membres de la famille, 10 % pour d'autres joueurs).
zts561e	Effet « grande endurance »
zts562e	Pendant une heure, tu bénéficies de l'effet « grande endurance ».
zts565e	Probabilité de contre-attaque
zts566e	Une contre-attaque unique et critique est possible.
zts567e	K.O.
zts568e	Dès que l'adversaire subit une syncope ou une attaque, l'effet de K.O. disparaît. En combinaison avec l'Exécution, l'adversaire subit 30 % de dégâts supplémentaires.
zts569e	Enragement extrême
zts570e	Provoqué quand tu perds toute contenance face aux provocations virulentes de l'adversaire, l'enragement extrême conduit à des dégâts supplémentaires.
zts571e	Réflexion magique
zts572e	La réflexion magique réfléchit tous les debuffs de l'adversaire avec une certaine probabilité. Les compétences qui produisent seulement un debuff et aucuns dégâts ne peuvent pas être réfléchies.
zts573e	Enragement
zts574e	L'enragement est provoqué quand tu perds toute contenance face aux provocations virulentes de l'adversaire.
zts575e	Sang en ébullition
zts576e	La soif de sang augmente la force d'attaque et la vitesse de déplacement.
zts577e	Soupir du perdant
zts578e	Le soupir du perdant te démoralise avec une défaite. En combinaison avec l'Exécution, tu subis 70 % de dégâts supplémentaires.
zts579e	Foule en délire
zts580e	Sous l'effet de la foule en délire, la combattivité est décuplée par la perspective joyeuse de vaincre l'adversaire.
zts581e	Amplification de l'explosion
zts582e	L'amplification de l'explosion augmente la précision et la portée d'attaque.
zts583e	Cri de victoire
zts584e	Le cri de victoire prouve ton ardeur au combat et ta rage de vaincre.
zts585e	1re onde de choc
zts586e	L'adversaire tombe en état de choc suite à un violent coup de tonnerre.
zts587e	Bouclier magmatique
zts588e	Le bouclier magmatique absorbe la force d'attaque ennemie et pompe des MP.
zts589e	Gaz volcanique empoisonné
zts590e	Le gaz volcanique empoisonné inflige des dégâts à l'adversaire.
zts591e	Pouvoir du volcan
zts592e	Le pouvoir du volcan maximise toutes les compétences du Volcanor.
zts593e	Marais de lave
zts594e	Le marais de lave diminue la capacité à attaquer.
zts595e	Coulée de lave
zts596e	Avec la coulée de lave, l'adversaire a une faible chance de se retrouver pétrifié dans la lave se solidifiant.
zts597e	Grande coulée de lave
zts598e	Avec la grande coulée de lave, l'adversaire a de bonnes chances de se retrouver pétrifié dans la lave se solidifiant.
zts599e	Coulée de lave jaillissante
zts600e	Avec la coulée de lave jaillissante, l'adversaire a de fortes chances de se retrouver pétrifié dans la lave se solidifiant.
zts601e	Coulée de lave brûlante
zts602e	Avec la coulée de lave brûlante, l'adversaire est rapidement pétrifié.
zts603e	Lave solidifiée
zts604e	À ce moment précis, l'adversaire ne peut rien faire contre la lave solidifiée.
zts605e	Projeter à terre
zts606e	L'onde de choc d'explosion projette l'adversaire à terre.
zts607e	Grande onde de choc d'explosion
zts608e	La grande onde de choc d'explosion détruit tout sur son passage.
zts609e	Turbochargeur
zts610e	Le turbochargeur booste l'efficacité en armant le canon.
zts611e	Enrayage
zts612e	L'efficacité du canon est entravée par des changements inadaptés.
zts613e	Carapace magmatique
zts614e	La carapace magmatique recouvre ton armure pour assurer une force de défense extrême.
zts615e	2e onde de choc
zts616e	3e onde de choc
zts617e	Phobie du dragon
zts618e	La peur panique du dragon pétrifie.
zts619e	Un mauvais atterrissage provoque un état de choc.
zts620e	Un mauvais atterrissage provoque un état de choc.
zts621e	Onde de choc persistante
zts622e	Elle plonge dans un état de choc prolongé.
zts623e	Dès que l'adversaire subit une syncope ou une attaque, l'effet de K.O. disparaît. En combinaison avec l'Exécution, l'adversaire subit 20 % de dégâts supplémentaires.
zts624e	La soif de sang booste les performances physiques.
zts625e	Le soupir du perdant te démoralise par une défaite. En combinaison avec l'exécution, tu subis 40 % de dégâts supplémentaires.
zts626e	Avec la coulée de lave brûlante, l'adversaire a de grandes chances d'être pétrifié.
zts627e	Défense avec l'arme
zts628e	Tu te protèges de l'attaque de l'adversaire avec le canon.
zts629e	Feu infernal flamboyant
zts630e	Le feu infernal affaiblit l'adversaire et diminue ses HP en continu.
zts631e	Saignement fatal
zts632e	Bénédiction de la chouette
zts633e	La résistance à l'Eau et la force d'attaque augmentent.
zts634e	Bénédiction d'Halloween
zts635e	La bénédiction d'Halloween augmente tes EXP de 10 %.
zts636e	Dracula buveur de sang
zts637e	Aspire les HP de l'adversaire pour recharger ta vitalité.
zts638e	Bénédiction de Rudy
zts639e	L'efficacité des objets de récupération et la force d'attaque augmente contre les monstres de niveau inférieur.
zts640e	Bénédiction de la fleur à son
zts641e	Pour obtenir cette bénédiction, termine la quête de la fleur à son.
zts642e	Fièvre de la fleur à son
zts643e	Bouclier de Rudy
zts644e	Le bouclier invisible de Rudy protège temporairement.
zts645e	Geste noble
zts646e	Tu encaisses les dégâts à la place de ton coéquipier.
