zts1e	Meilleur service
zts96e	Voici par exemple un Épéiste.[n]Il existe d'autres cartes pour les Sorciers et les Archers.[n][n]Je dois me différencier des autres ! La même coiffure que tout le monde ?[n]Ce n'est pas mon style ! Je suis unique et ma coiffure doit l'être aussi ![n]Trouver la bonne coiffure est tout un art.[n]Les Aventuriers ne peuvent pas l'utiliser.[n][n]
zts97e	Archer, Cire B !
zts98e	Sorcier, Cire B !
zts99e	Nouvelle couleur de cheveux
zts100e	Coloration rouge
zts101e	Colore tes cheveux en rouge.[n]
zts102e	Change de couleur de cheveux !
zts103e	Coloration vert clair
zts104e	Colore tes cheveux en vert.[n]
zts105e	Digne d'un salon de beauté.
zts106e	Coloration blanche
zts107e	Colore tes cheveux en blanc.[n]
zts108e	Le dernier cri en matière de coloration cheveux !
zts109e	Coloration bleue
zts110e	Colore tes cheveux en bleu.[n]
zts111e	Ça te va à merveille !
zts112e	Coloration noire
zts113e	Colore tes cheveux en noir.[n]
zts114e	Il est temps de te faire remarquer.
zts115e	Carte de visite
zts116e	Te permet de te présenter aux autres.[n] (Visible par un click-droit)[n]Ecris jusqu'à 60 caractères.[n]
zts117e	Envoie mon message à tout le monde
zts118e	12 haut-parleurs
zts119e	Envoie ton message à tous ceux présents sur le serveur.[n] Ton message sera montré dans la fenêtre de chat,[n][Utilisation] Double-clique le haut-parleur et inscris ton message.
zts120e	Les paroles importantes ne devraient pas s'effacer.
zts121e	Bulle
zts122e	Une fois écrit, le message restera visible durant 30 min.[n] Le message ne peut être changé[n]et disparait à la déconnexion.[n] [Utilisation] Double-clique le ballon et inscris ton message.[n]Pour le fermer, tape '$close' dans la fenêtre.[n] Si tu inscris de nouveaux mots avant de le fermer, le message précédent sera effacé.
zts123e	Tu as toujours rêvé d'avoir du succès ?
zts124e	Costume de Bob
zts125e	Lorsque Bob porte son costume, sa vitesse augmente de 2.[n]Si tu gardes ton partenaire dans une perle, le costume disparaît.
zts126e	Haha... Je te fais craquer ?
zts127e	Costume de Tom
zts128e	Lorsque Tom porte son costume, sa vitesse augmente de 2.[n]Si tu gardes ton partenaire dans une perle, le costume disparaît.[n][n]
zts129e	C'est le chien de la famille.
zts130e	Costume de Kliff
zts131e	Lorsque Kliff porte son costume, sa vitesse augmente de 2.[n]Si tu gardes ton partenaire dans une perle, le costume disparaît.[n][n]
zts132e	Augmente les points SP basiques pendant 30 jours
zts133e	Médaille d'expert
zts134e	Une bonne nouvelle pour tous ceux qui deviennent spécialistes au moins une heure par jour.[n][n] Les points SP journaliers seront de 10 000 + 30 000[n] Soit un total de 40 000 points. (si bien utilisé, 10% des points restants seront sauvés.) Un vrai plaisir que d'utiliser 40 000 points chacun des 30 jours.
zts135e	Cadeau du spécial Partenaire Secret
zts136e	Médaille de l'amitié
zts137e	La médaille du spécial Partenaire Secret[n] Utilisée, augmente de 5% l'expérience de combat et de métier.[n]Augmentation supplémentaire de 5% de l'expérience [n]si jeu en commun avec d'autres propriétaires de la médaille.[n] Peut être utilisée pendant 10 jours.
zts138e	Je pense que ce sera suffisant
zts139e	99x graine de pouvoir
zts140e	Achète 99x graine de pouvoir.[n]
zts141e	Ma dignité touche le fond !
zts142e	3x potion de dignité
zts143e	La dignité est restaurée à 100.[n]
zts144e	Assure les améliorations et les paris !
zts145e	Parchemin protecteur d'équipement
zts146e	Permet d'améliorer ou de parier immédiatement.[n] En cas d'échec, l'équipement ne disparait pas.[n] Si le nv. obtenu en pariant est inférieur au nv. rare,[n] celui-ci est préservé.[n]Une fenêtre apparaitra pour permettre l'utilisation.[n] [n] Utilisé en général pour les armes ou les équipements.[n] Chaque amélioration ou pari en consomme 1. [n] [n]
zts147e	Parchemin de libération
zts148e	Permet d'amméliorer un équipement dont le niveau est bloqué. [n] Double-clique le parchemin puis clique sur l'objet,[n] le nv. bloqué sera libéré.[n] Utilisé en général pour les armes et les équipements.[n]
zts149e	5 Parchemins de protection d'équipement
zts150e	5 parchemins de libération de Nv.
zts151e	Dernière mode !
zts152e	Chapeau de chat
zts153e	Les résistances aux éléments augmentent de 1.[n]Toutes les forces élémentaires augmentent de 10.[n]
zts154e	Se défendre avec classe ?
zts155e	Chapeau d'âne
zts156e	Son utilisation te protège, selon une certaine probabilité, du cri de mandragore.[n] Les HP maximums augmentent de 100.[n]Les MP maximums augmentent de 50.[n]
zts157e	Donne un look d'enfer
zts158e	Chapeau de cow-boy
zts159e	La probabilité d'infliger un coup critique augmente de 2 %.[n]En cas de coup critique infligé, les dégâts augmentent de 10 %.[n]La probabilité de subir un coup critique diminue de 1 %.[n][n]
zts160e	Tellement mignon
zts161e	Chapeau de singe
zts162e	Cet objet te protège des effets spéciaux avec une faible probabilité[n]et des effets négatifs (niveau 2) avec 10 % de probabilité.[n][n]
zts163e	Rends moi fort !
zts164e	Chapeau d'antilope
zts165e	Les HP et les MP maximums augmentent de 200.[n][n]
zts166e	Un fragrance fascinante
zts167e	Chapeau de volubilis
zts168e	La probabilité de subir un coup critique diminue de 2 %.[n]En cas de coup critique reçu, les dégâts diminuent de 20 %.[n][n]
zts169e	Fort comme un pingouin ?
zts170e	Chapeau de pingouin
zts171e	Augmente toutes les défenses de 15.[n] Augmente toutes les attaques de 15.[n]
zts172e	Montre le style de la vieille école
zts173e	Chapeau de vieux monsieur
zts174e	Baisse de 4% les dommages d'attaque magique avec une probabilité de 8%.[n] Baisse de 4% les attaques à longue distance.[n]
zts175e	Petit mais costaud
zts176e	Bandeau grandes oreilles
zts177e	Protège des effets spéciaux avec une haute probabilité. [n] Augmente le Moral de 5.[n]
zts178e	Amoureux de la nature ?
zts179e	Chapeau pot de fleur
zts180e	Inflige 70 dommages supplémentaires aux monstres de niveau haut.[n] Inflige 100 dommages supplémentaires aux animaux de niveau haut.[n]
zts181e	Envoie ton animal à l'école
zts182e	Croquettes spéciales
zts183e	Une fois que l'animal a mangé cet objet, il est capable de ramasser les objets au sol.[n] Pas besoin de le nourrir plusieurs fois.[n] Comment l'utiliser : Clique sur l'animal puis double-clique sur la nourriture.[n][n][fonction] Ton animal ramasse les objets au sol automatiquement[n](Fonctionne uniquement en mode 'D'), ne ramasse que les objets qui t'appartiennent.[n] Le personnage lui-même peut continuer à ramasser les objets.[n]Les objets apparaissent dans l'inventaire.[n][n][Attention]Fonction annulée si l'animal est placé dans sa perle.
zts184e	Les résistances aux éléments augmentent de 1.[n]Toutes les forces élémentaires augmentent de 10.[n]Cet objet n'est pas négociable.[n]
zts185e	Son utilisation te protège du cri de mandragore.[n]Les HP maximums augmentent de 100.[n]Les MP maximums augmentent de 50.[n]Cet objet ne peut pas être échangé entre joueurs.[n]
zts186e	Augmente la probabilité de "coup critique" de 2%.[n] En cas de coup critique, dommage augmenté de 10%. [n] La probabilité de recevoir un coup critique baisse de 1%.[n] Cet objet ne peut être échangé entre joueurs.[n]
zts187e	Cet objet te protège des effets spéciaux avec une forte probabilité[n]et des effets négatifs (niveau 2) avec 10 % de probabilité.[n]Cet objet est non négociable.[n][n]
zts188e	Augmente HP max de 200.[n] Augmente MP max de 200.[n]Cet objet ne peut être échangé entre joueurs.[n]
zts189e	La probabilité de recevoir un coup critique baisse de 2%.[n] En cas de coup critique reçu, les dommages sont diminués de 20%.[n] Cet objet ne peut être échangé entre joueurs.[n]
zts190e	Toutes les défenses augmentées de 15. [n] Toutes les attaques augmentées de 15. [n] Cet objet ne peut pas être échangé entre joueurs [n]
zts191e	Diminue dans 8% des cas les dégâts des attaques magiques de 4%. [n] diminue les dégâts des attaques à distance de 4%. [n] Cet objet ne peut pas être commercialisé. [n]
zts192e	Empêche les effets spéciaux avec une probabilité élevée[n]Augmente le moral de 5[n]Non échangeable[n]
zts193e	Provoque 70 dégâts supplémentaires chez un monstre de niveau élevé [n] provoque 100 dégâts supplémentaires en chez un animal de niveau élevé. [n] Cet objet ne peut être commercialisé
zts194e	NotUse
zts195e	NotUse
zts196e	NotUse
zts197e	NotUse
zts198e	NotUse
zts199e	NotUse
zts200e	NotUse
zts201e	NotUse
zts202e	NotUse
zts203e	NotUse
zts204e	Indestructible !
zts205e	Très grand magasin(&#8734;)
zts206e	Les 56 emplacements peuvent être utilisés dans le Minipays. [n] Permanent.[n]
zts207e	Intérieur de terrasse
zts208e	NotUse
zts209e	NotUse
zts210e	NotUse
zts211e	NotUse
zts212e	NotUse
zts213e	NotUse
zts214e	NotUse
zts215e	NotUse
zts216e	NotUse
zts217e	NotUse
zts218e	NotUse
zts219e	NotUse
zts220e	NotUse
zts221e	Fée Feu ; peut évoluer jusqu'à  70.[n] a les mêmes compétences que la fée feu [n] ne peut  pas être commercialiser [n]
zts222e	Esprit de l'eau ; peut évoluer jusqu'à 70.[n] possède le mêmes compétences que la fée de l'eau[n] Ne peut être commercialiser[n]
zts223e	Esprit de la Lumière ; peut évoluer jusqu'à 70.[n] possède le mêmes compétences que la fée de la Lumière[n] Ne peut être commercialiser[n]
zts224e	Esprit du L'Obscurité ; peut évoluer jusqu'à 70.[n] possède le mêmes compétences que la fée de l'Obscurité[n] Ne peut être commercialiser[n]
zts225e	Esprit du feu ; peut évoluer jusqu'au niveau 70[n]Est déjà au niveau 40 et ne doit pas être élevé dès le niveau 1[n]Possède les mêmes compétences que la fée du feu[n]Ne peut être échangé[n]
zts226e	Esprit de l'Eau; peut évoluer jusqu'à 70.[n] Commence  à partir de 40 et non de 1.[n] possède les mêmes compétences que la fée de l'Eau[n] Ne peut être commercialiser[n]
zts227e	Esprit de la Lumière ; peut évoluer jusqu'à 70.[n] Commence à partir de 40 en  non de 1.[n] possède les mêmes compétences que la fée de la Lumière[n] Ne peut être commercialiser[n]
zts228e	Esprit de l'Obscurité; peut évoluer jusqu'à 70.[n] Commence  à partir de 40 et non de 1.[n] possède le mêmes compétences que la fée de l'Obscurité[n] Ne peut être commercialiser[n]
zts229e	Défense physique 4[n]Défense à distance 4[n]Résistance  contre la magie 4[n]Esquive 4[n]Hausse de la résistance contre tous les éléments de 1[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts230e	Défense physique 4[n]Défense à distance 4[n]Résistance au cri de mandragore[n]Hausse des HP maximums de 100[n]Hausse des MP maximums de 50[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts231e	Défense physique 3[n]Défense à distance 6[n]Résistance contre la magie[4]Esquive 2[n]La probabilité d'infliger un coup critique augmente de 2 %.[n]En cas de coup critique, les dégâts augmentent de 10 %.[n]La probabilité de subir un coup critique diminue de 1 %.[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts232e	Défense physique : 5[n]Défense à distance : 3[n]Résistance magique : 1[n]La probabilité d'une syncope diminue considérablement.[n]L'objet te protège des effets négatifs (niveau 2) avec une probabilité de 10 %.[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]L'objet est non négociable lorsqu'il est utilisé.[n][n]
zts233e	Défense physique 13[n]Défense à distance 13[n]Défense contre la magie 13[n]Hausse des HP maximums de 200[n]Hausse des MP maximums de 200[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts234e	Défense corporelle 7[n] Défense à distance 7 [n] Esquive 2[n] Diminue de 2% la probabilité de subir une attaque grave [n] Diminue de 20% les dégâts des attaques graves   [n]. Seuls  les épéistes, les archers et les sorciers peuvent le porter[n] Ne peut être commercialser après avoir été utilisé[n]
zts235e	Défense physique 5[n]Défense à distance 5[n]Défense contre la magie 5[n]Esquive 5[n]Hausse de toutes les défenses de 15[n]Hausse de toutes les attaques de 15[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts236e	Défense physique 1[n]Défense à distance 2[n]Défense contre la magie 14[n]L'attaque magique diminue de 4 % avec une probabilité de 8 %.[n]L'attaque à distance diminue de 4 % avec une probabilité de 8 %.[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts237e	Défense corporelle 12[n]Diminue considérablement la probabilité de saignements[n]Moral augmenté de 5[n]Seuls  les épéistes, les archers et les sorciers peuvent le porter[n]Non échangeable après utilisation[n]
zts238e	Défense physique 2[n]Défense à distance 10[n]Défense contre la magie 3[n]Les monstres de haut niveau subissent 70 % de dégâts supplémentaires.[n]Seuls les Épéistes, les Archers et les Sorciers peuvent le porter.[n]Cet objet n'est pas négociable lorsqu'il est équipé.[n][n]
zts239e	Sac à dos de l'aventurier (10 jours)
zts240e	NotUse
zts241e	Sac à dos de l'aventurier (30 jours)
zts242e	Sac à dos de l'aventurier (60 jours)
zts243e	Sac à dos du partenaire (10 jours)
zts244e	Sac à dos du partenaire (30 jours)
zts245e	Sac dos du partenaire (60 jours)
zts246e	Panier pour familier (10 jours)
zts247e	Panier pour familier (30 jours)
zts248e	Panier pour familier (60 jours)
zts249e	Sac à dos (10 jours)
zts250e	Lots de Sac à dos (30 jours)
zts251e	Sac à dos (60 jours)
zts252e	5 Bénédictions de Erenia
zts253e	10 Bénédictions de Erenia
zts254e	10x bénédiction de l'ange gardien
zts255e	10 bénédictions de Zénas
zts256e	Ensemble de Bénédictions (5 Exemplaires)
zts257e	Ensemble de Bénédictions (10 Exemplaires)
zts258e	Coupon de Durabilité et de reconstitution (40 Exemplaires)
zts259e	Coupon de Durabilité et de Reconstitution (99 Exemplaires)
zts260e	Coupon de double récompense (10 exemplaires)
zts261e	Coupon de points de production (10 Exemplaires)
zts262e	Coupon de points de production (30 exemplaires)
zts263e	Boite à énigmes A
zts264e	Boîte à énigmes B
zts265e	Boîte à énigmes C
zts266e	[n]
zts267e	Regénère la durabilité
zts268e	Peut être utilisé en appuyant sur le bouton 'Utiliser Coupon' dans la fenêtre du champs de production [n] Un Coupon augmente la Durabilité de 300 [n]
zts269e	Double la récompense  du Mini-jeu!
zts270e	Si tu as des bons dans ton inventaire, il te sera demandé si tu veux les utiliser.[n]Si tu les utilises, tu recevras le double de la récompense affichée.[n][n]
zts271e	Produis autant que tu veux !
zts272e	Reconstitution des points de production (10 exemplaires)
zts273e	Les points de productions seront augmentés de 500 lorsque tu utilises 1 coupon [n] Tu peux recevoir jusqu'à 2000 points de producton [n]
zts274e	Regénérateur de points de production (30 exemplaires)
zts275e	Utilise tous les objets de ton inventaire.
zts276e	Tu peux utiliser tous les objets de l'inventaire pendant 10 jours.[n]Ne peut être utilisé avec l'amulette.[n][n]
zts277e	Tu peux utiliser tous les objets de l'inventaire pendant 30 jours.[n]Ne peut être utilisé avec l'amulette.[n][n]
zts278e	Tu peux utiliser tous les articles de l'inventaire pendant 60 jours.[n]Ne peut être utilisé avec l'amulette.[n][n]
zts279e	Inventaire aussi pour le partenaire
zts280e	Tu peux utiliser 50 emplacements supplémentaires de l'entrepôt de ton partenaire.[n]Que pendant 10 jours
zts281e	Tu peux utiliser 50 emplacements supplémentaires de l'entrepôt de ton partenaire.[n]Que pendant 30 jours
zts282e	Tu peux utiliser 50 emplacements supplémentaires de l'entrepôt de ton partenaire.[n]Que pendant 60 jours
zts283e	Utilise le magasin partout
zts284e	Grâce à ton NosMate, tu peux ouvrir l'entrepôt partout.[n]Il est utilisable pendant 10 jours.[n]
zts285e	Le Magasin peut être ouvert partout par l'animal.[n] Que pour 30 jours [n]
zts286e	Utilise tous les objets de ton inventaire en une fois.
zts287e	Achète le sac à dos d'expédition, le sac à dos du partenaire et la panier de livraison de l'animal en une fois [n]
zts288e	Obtiens une bénédiction d'Ancelloan.
zts289e	5x bénédiction d'Ancelloan
zts290e	Expérience de combat et de Métier augmenter pour une heure de [n] 100%. Valable pour tous les niveaux.[n] Ne peut pas être utilisé avec l'amulette
zts291e	10x bénédiction d'Ancelloan
zts292e	Bénédiction de NosMate
zts293e	5x bénédiction de l'ange gardien
zts294e	Augmentation de 50% de l'expérience du NosMate. [n] Vitesse +2[n] Valable pour 1 heure [n]
zts295e	Magie de la double récompense
zts296e	Choisis le meilleur objet !
zts297e	Reçois l'un des objets suivants : Masque Furieux A,[n] Masque Furieux B, [n] Masque Furieux C, [n] Perle de Ratufu brun, [n] Perle de Ratufu gladiateur, [n] Perle de Ratufu destructeur de vermine
zts298e	Reçois l'un des objets suivants : Masque Silencieux A, [n] Masque Silencieux B, [n] Masque Silencieux C, [n] Perle de Ratufu, [n] Perle de Ratufu gladiateur,[n] Perle de Ratufu destructeur de vermine
zts299e	Reçois l'un des objets suivants : Cache-oeil des abysses A, [n] Cache-oeil des abysses B, [n] Cache-oeil des abysses C, [n] Perle de Ratufu, [n] Perle de Ratufu gladiateur,[n] Perle de Ratufu destructeur de vermine.
zts300e	Bataille- et Expérience de Métier  augementé de 100% pendant 1 heure [n]  pour chaque niveau [n]
zts301e	Reçois l'un des objets suivants : Masque Furieux A, [n] Masque Furieux B, [n] Masque Furieux C, [n] Pierre de Ratufu, [n] Jolie pierre de Ratufu, [n] Pierre noire de Ratufu, [n] 5 objets payants.
zts302e	Reçois l'un des objets suivants : Masque Silencieux, [n] Masque Silencieux B, [n] Masque Silencieux C, [n] Pierre de Ratufu, [n] Jolie pierre de Ratufu, [n] Pierre noire de Ratufu, [n] 5 objets payants.
zts303e	Reçois un des objets suivants : Cache-oeil des abysses A, [n] Cache-oeil des abysses B, [n] Cache-oeil des abysses C, [n] Pierre de Ratufu, [n] Jolie pierre de Ratufu, [n] Pierre noir de Ratufu, [n] 5 objets payants.
zts304e	Un Ratufu pour NosMate
zts305e	Balle de Tori Tori
zts306e	Enregistre l'adorable Ratufu comme NosMate.[n]
zts307e	Perle de Ratufu gladiateur
zts308e	Perle de Ratufu noir
zts309e	Tu recevras l'un des objets suivants : Masque furieux A, Masque furieux B, Masque furieux C, [n]Perle de Ratufu brun, Perle de Ratufu destructeur de vermine, Perle de Ratufu Gladiateur, [n]Rouleau de protection de l'équipement, Rouleau de libération, Croquettes spéciales, [n]Eau de source de Cylloan, Grande potion spéciale.
zts310e	Reçois un des objets suivants : Masque Tranquille A, Masque Tranquille B, Masque Tranquille C, [n]Ratufu, Ratufu gladiateur, Ratufu destructeur de vermine, [n]Rouleau de protection de l'équipement, Rouleau d'amélioration, Nourriture spéciale pour animal domestique, [n]Eau de source de Cylloan, Grand pourvoyeur de SP.
zts311e	Reçois un des objets suivants : Cache-oeil des abysses A, Cache-oeil des abysses  B, Cache-oeil des abysses C, [n] Ratufu, Ratufu destructeur de vermine, Ratufu Gladiateur, [n] Rouleau de protection de l'équipement, Rouleau d'amélioration, Nourriture spéciale pour animal domestique, [n]Eau de source de Cylloan, Grand pourvoyeur  de SP.
zts312e	Augmente les capacités de la Fée !
zts313e	Renforcement féérique
zts314e	Les compétences de la fée sont boostées pendant 1 heure.[n]Lorsque tu utilises le renforcement féérique, tu ne peux pas changer de fée le temps de la durée de l'effet.
zts357e	Je sens que je vais décrocher le gos lot du nouvel an !
zts358e	1 Enveloppe du nouvel an
zts359e	Tu y trouveras l'un des objets suivants :[n]1x potion spéciale moyenne[n]1x bénédiction d'Ancelloan[n]1x parchemin de libération[n]1x parchemin protecteur d'équipement[n]1x grande potion spéciale[n]1x sac à dos de l'aventurier[n]1x eau de source de Cylloan[n]1x potion de récupération divine[n]1x casque de chevalier noir[n]1x masque de chevalier[n]1x perle de Ratufu malade[n]1x perle de cochon porte-bonheur du nouvel an[n]1x perle de rat heureux[n]
zts360e	10 Enveloppes du nouvel an
zts361e	5 Enveloppes du nouvel an
zts362e	1 Cadeau d'anniversaire
