zts1e	Repos
zts80e	[Intermédiaire] Résistance au poison
zts81e	[Avancé] Résistance au poison
zts82e	[Débutant] Résistance aux maladies
zts83e	[Intermédiaire] Résistance aux maladies
zts84e	[Avancé] Résistance aux maladies
zts85e	[Débutant] Résistance à la magie
zts86e	[Intermédiaire] Résistance à la magie
zts87e	[Avancé] Résistance à la magie
zts88e	[Débutant] Résistance générale
zts89e	[Intermédiaire] Résistance générale
zts90e	[Avancé] Résistance générale
zts91e	[Débutant] Forces de défense
zts92e	[Intermédiaire] Forces de défense
zts93e	[Avancé] Forces de défense
zts94e	[Débutant] Yoga
zts95e	[Intermédiaire] Yoga
zts96e	[Avancé] Yoga
zts97e	Coup armé
zts98e	Formation de base pour Aventurier
zts99e	Tir de lance-pierre
zts100e	Formation de base pour Aventurier
zts101e	Coup fort
zts102e	D'un Coup fort, tu provoques de lourds dégâts.
zts103e	Tir de projectile
zts104e	Ce tir précis inflige plus de dégâts à tes adversaires.
zts105e	Coup tournoyant
zts106e	Tous les adversaires proches sont attaqués par un violent Coup tournoyant.
zts107e	Coup multiple
zts108e	Flanque des coups répétés à l'adversaire.
zts109e	Cri de combat
zts110e	L'attaque et la défense augmentent.
zts111e	Cri de moral
zts112e	Le cri augmente le moral.
zts113e	Coup énergétique
zts114e	L'énergie est complètement rechargée pour renforcer l'attaque suivante.
zts115e	Capture
zts116e	Boulon d'énergie
zts117e	Formation de base pour Aventurier
zts118e	Compétence de super-méga-triche
zts119e	C'est la compétence de super-méga-triche.
zts120e	Compétence de triche d'administrateurs
zts121e	Coup d'épée
zts122e	Formation de base pour Épéiste
zts123e	Attaque à l'arbalète
zts124e	Formation de base pour Arbalétrier
zts125e	Coup de rage
zts126e	Un coup important est donné. Il y a une probabilité de 2 % de devenir en colère.
zts127e	Coup vengeur
zts128e	Tu attaques l'adversaire sur son point faible.
zts129e	Coup d'épée
zts130e	Le Coup d'épée inflige des dégâts aux adversaires autour de toi.
zts131e	Compétence de base : Lumière
zts132e	Attaque de rigueur
zts133e	D'un violent coup de poignée d'épée, tu infliges une syncope à ton adversaire.
zts134e	Onde terrestre
zts135e	Un terrible coup au sol provoque une onde de choc qui inflige des dégâts à tous les adversaires à proximité.
zts136e	Compétence de base : feu
zts137e	Bourrasque
zts138e	Une bourrasque brusque inflige des dégâts à tous les adversaires se trouvant devant toi.
zts139e	Double attaque
zts140e	L'épée se balance pour atteindre deux fois l'adversaire.
zts141e	Tir dynamique
zts142e	L'arbalète tire successivement plus vite.
zts143e	Tir de moquerie
zts144e	L'attention de l'adversaire se dirige vers toi.
zts145e	Charge d'énergie
zts146e	L'énergie est accumulée pour renforcer l'attaque à venir.
zts147e	Malédiction du sang
zts148e	Moyennant une réduction de tes HP, la force d'attaque augmente temporairement.
zts149e	Oppression
zts150e	Baisse temporairement le moral de l'adversaire.
zts151e	Cette compétence ne s'applique que chez les adversaires d'un niveau inférieur ou de maximum 3 niveaux supérieurs au tien.
zts152e	Attaque éclair
zts153e	L'adversaire est assailli et attaqué à toute vitesse.
zts154e	Arrêt des saignements
zts155e	Les saignements sont stoppés jusqu'au niveau 3.
zts156e	Un bandage est nécessaire.
zts157e	Nouvelle compétence
zts158e	Tir à l'arc
zts159e	Formation de base pour Archer
zts160e	Coup de dague
zts161e	Formation de base pour Archer
zts162e	Tir ciblé
zts163e	Les dégâts d'attaque à distance et la précision augmentent.
zts164e	Tir puissant
zts165e	Cette puissante attaque à distance inflige plus de dégâts à l'adversaire.
zts166e	Tir perçant
zts167e	Transpercés, les adversaires subissent des dégâts critiques.
zts168e	Ciblage précis
zts169e	Cette attaque est ciblée sur les jambes pour ralentir l'adversaire.
zts170e	Tir de saut
zts171e	Cette attaque lancée en sautant inflige des dégâts à l'adversaire sans aucune pénalité.
zts172e	Tir rapide
zts173e	L'adversaire est attaqué par 3 tirs rapides consécutifs.
zts174e	Pluie de flèches
zts175e	L'adversaire est canardé sous une Pluie de flèches.
zts176e	Pointe mortelle
zts177e	La dague permet de lancer une attaque supplémentaire.
zts178e	Dague toxique
zts179e	Une dague empreinte d'un Poison paralysant affaiblit la force d'attaque rapprochée de l'adversaire.
zts180e	Pour l'utiliser, des plantes toxiques sont nécessaires.
zts181e	Coup assaillant
zts182e	Ce coup de dague interrompt le mouvement de l'adversaire.
zts183e	Projectile mortel
zts184e	L'énergie s'accumule pour la prochaine attaque à distance.
zts185e	Hâte
zts186e	La vitesse de déplacement augmente temporairement.
zts187e	Rituel du faucon
zts188e	La précision et la force d'attaque du personnage et de ses compagnons augmentent.
zts189e	Rituel désintoxiquant
zts190e	Les plantes médicinales sont nécessaires pour désintoxiquer les compagnons ou amis.
zts191e	Pointe de flèche empoisonnée
zts192e	Les pointes de flèche sont temporairement imbibées de poison.
zts193e	Boulon d'énergie
zts194e	Formation de base pour Sorcier
zts195e	Tir magique
zts196e	Formation de base pour Sorcier
zts197e	Boule de feu
zts198e	Cette attaque magique blesse ton adversaire à l'aide de Boules de feu.
zts199e	Flèche glaciale
zts200e	Cette attaque magique blesse l'adversaire grâce à des Flèches glaciales.
zts201e	Missile magique
zts202e	Les Missiles magiques tirés blessent l'adversaire.
zts203e	Lancer de pierre
zts204e	Une énorme pierre tombe sur l'adversaire et lui inflige une syncope.
zts205e	Colonne de feu
zts206e	Une colonne de feu inflige des dégâts aux adversaires.
zts207e	Tornade
zts208e	Les adversaires proches sont pris dans une puissante tornade.
zts209e	Projectile magique
zts210e	Le Projectile magique augmente encore plus la force de pénétration de l'arme enchantée.
zts211e	Projectile explosif
zts212e	L'adversaire subit de lourds dégâts à cause du Projectile explosif.
zts213e	Rétablissement de magie
zts214e	L'énergie magique s'accumule pour infliger plus de dégâts aux prochaines attaques.
zts215e	Bouclier de gel
zts216e	Le bouclier créé diminue les dégâts par attaque à distance.
zts217e	Aura de rétablissement
zts218e	Les HP du membre du groupe sont temporairement rétablis.
zts219e	Lumière protectrice
zts220e	Tous les membres du groupe sont protégés des attaques.
zts221e	Sommeil
zts222e	L'adversaire s'endort : il ne peut plus bouger ou attaquer, mais il se réveille dès qu'il est attaqué.
zts223e	Absorption de HP
zts224e	Tu absorbes les HP de ton adversaire et les transformes en MP pour toi.
zts225e	Aveuglement
zts226e	L'adversaire est aveuglé quelques secondes, durant lesquelles les attaques à distance sont impossibles.
zts227e	Téléportation
zts228e	Tu te téléportes dans un périmètre déterminé.
zts229e	Coup sournois
zts230e	Renforcée par l'élément Feu, cette attaque provoque une syncope.
zts231e	Coup renforcé
zts232e	La force d'attaque et la précision du Coup armé augmentent.
zts233e	Tir de lance-pierre renforcé
zts234e	La force d'attaque et la portée augmentent.
zts235e	La force d'attaque augmente.
zts236e	La force d'attaque à distance par Tir de projectile augmente.
zts237e	Un violent Coup tournoyant inflige des dégâts supplémentaires à l'adversaire.
zts238e	Saignement supplémentaire
zts239e	L'élément Feu se déclenche et le Coup multiple provoque de petits saignements.
zts240e	Boulon d'énergie renforcé
zts241e	La force d'attaque magique augmente et le Boulon d'énergie bénéficie de l'élément Eau.
zts242e	Coup d'épée renforcé
zts243e	La force d'attaque rapprochée du Coup d'épée augmente.
zts244e	Coup d'épée magistral
zts245e	Coupe spécialisée pour plantes de haut niveau
zts246e	La force d'attaque rapprochée contre les plantes de haut niveau augmente.
zts247e	Attaque à l'arbalète renforcée
zts248e	La force d'attaque à distance de l'Attaque à l'arbalète augmente.
zts249e	Tir démoniaque
zts250e	Dégâts extrêmes
zts251e	L'introduction de l'élément Feu double les dégâts avec une certaine probabilité.
zts252e	En cas de coup critique, la cible subit de lourds dégâts.
zts253e	Le Coup de rage bénéficie de l'élément Feu.
zts254e	Coup de rage renforcé
zts255e	La force d'attaque rapprochée et la précision du Coup de rage augmentent.
zts256e	Coup de rage magistral
zts257e	La force d'attaque rapprochée augmente.
zts258e	Tir ciblé exact
zts259e	La probabilité d'un coup critique augmente grâce au Coup vengeur.
zts260e	Attaque kovolt
zts261e	L'attaque se concentre sur la faiblesse des Kovolts pour leur causer des dégâts critiques.
zts262e	Le Coup vengeur bénéficie de l'élément Eau.
zts263e	Coup d'épée renforcé
zts264e	La force d'attaque rapprochée du Coup d'épée augmente.
zts265e	Portée déployée
zts266e	La portée de l'épée augmente.
zts267e	Coup parfait
zts268e	Tu réalises un Coup parfait et infliges ainsi une syncope à l'adversaire.
zts269e	Onde terrestre puissante
zts270e	La force d'attaque de l'Onde terrestre augmente.
zts271e	Onde terrestre violente
zts272e	Bourrasque fulgurante
zts273e	La force d'attaque de la Bourrasque augmente et provoque une syncope chez l'adversaire.
zts274e	La Bourrasque bénéficie de l'élément Eau.
zts275e	Épuisement de l'adversaire
zts276e	La Double attaque réduit temporairement le niveau d'attaque de ton adversaire.
zts277e	Double attaque renforcée
zts278e	La force d'attaque s'intensifie.
zts279e	Tir frénétique
zts280e	La force d'attaque du Tir dynamique augmente.
zts281e	Coup de maître
zts282e	Le Tir dynamique frappe à tous les coups.
zts283e	Charge d'énergie supplémentaire
zts284e	La force d'attaque rapprochée pour la Charge d'énergie est améliorée.
zts285e	Malédiction du sang puissante
zts286e	Lorsque la Malédiction du sang est active, la force d'attaque augmente.
zts287e	Portée d'assaut étendue
zts288e	La portée de l'attaque augmente.
zts289e	Tir avec aspiration
zts290e	Le Tir de moquerie attire l'attention de l'adversaire sur toi.
zts291e	Tir à l'arc dynamique
zts292e	La force d'attaque à distance du Tir à l'arc augmente.
zts293e	Tir à l'arc magistral
zts294e	Tir spécialisé pour plantes de haut niveau
zts295e	La force d'attaque contre les plantes de haut niveau augmente.
zts296e	Coup de dague renforcé
zts297e	La force d'attaque du Coup de dague augmente.
zts298e	Coup de dague mortel
zts299e	La probabilité d'un coup critique provoqué par le Coup de dague est plus élevée.
zts300e	Coup ciblé renforcé
zts301e	Le Coup ciblé bénéficie de l'élément Eau ce qui augmente la force d'attaque.
zts302e	Le Coup ciblé bénéficie de l'élément Eau.
zts303e	La probabilité d'un coup critique par Tir ciblé augmente.
zts304e	Avec une certaine probabilité, les dégâts doublent.
zts305e	Tir transperçant
zts306e	Le Tir perçant augmente les dégâts des coups critiques.
zts307e	Attaque synchronisée
zts308e	Le Tir de saut permet d'attaquer plusieurs adversaires en même temps.
zts309e	Tir kovolt
zts310e	La force d'attaque contre les Kovolts augmente.
zts311e	Tir rapide fulgurant
zts312e	La force d'attaque du Tir rapide est améliorée.
zts313e	Pluie de flèches renforcée
zts314e	La force d'attaque de la Pluie de flèches augmente.
zts315e	Portée
zts316e	La portée de la Pluie de flèches augmente.
zts317e	Le coup mortel provoque un saignement chez l'adversaire.
zts318e	Pointe mortelle efficace
zts319e	La force d'attaque de la Pointe mortelle est améliorée.
zts320e	Probabilité élevée
zts321e	Le Coup assaillant augmente la probabilité d'interrompre le mouvement.
zts322e	La force d'attaque du Projectile mortel augmente.
zts323e	La vitesse de déplacement augmente.
zts324e	Hausse de vitesse
zts325e	Oeil du faucon intensifié
zts326e	La force d'attaque augmente pendant le Rituel du faucon.
zts327e	Savoir médicinal
zts328e	Pour guérir des intoxications sévères
zts329e	Poison engourdissant
zts330e	Applique du Poison engourdissant sur une dague simple.
zts331e	Poison mortel
zts332e	Applique du Poison mortel sur une dague simple.
zts333e	Choc
zts334e	Tu repousses ton adversaire en arrière.
zts335e	Boulon d'énergie puissant
zts336e	La force d'attaque magique du Boulon d'énergie augmente.
zts337e	La portée du Boulon d'énergie augmente.
zts338e	Arme enchantée renforcée
zts339e	La force d'attaque de l'Arme enchantée est renforcée.
zts340e	Sort spécial pour plantes de haut niveau
zts341e	Explosion de flamme
zts342e	Une Boule de feu est lancée pour provoquer une Explosion de flamme.
zts343e	Boule de feu surpuissante
zts344e	L'attaque de la Boule de feu est améliorée.
zts345e	Gel
zts346e	L'utilisation de la Flèche glaciale gèle l'adversaire.
zts347e	Éclair glacial
zts348e	La force d'attaque de la Flèche glaciale augmente.
zts349e	Missile surnaturel
zts350e	La force d'attaque du Missile magique augmente.
zts351e	Portée étendue
zts352e	La portée du Missile magique augmente.
zts353e	Colonne de feu énorme
zts354e	La force d'attaque de la Colonne de feu augmente.
zts355e	Tornade violente
zts356e	La force d'attaque de la Tornade augmente.
zts357e	Rétablissement amélioré
zts358e	Le rétablissement des HP est amélioré.
zts359e	Absorption de HP puissant
zts360e	L'absorption de HP devient plus efficace.
zts361e	Tituber
zts362e	Météore
zts363e	Attaque de toutes parts
zts364e	Attaque de toutes parts 2
zts365e	Bloc collant
zts366e	Aura de syncope
zts367e	Bloc collant puissant
zts368e	Invocation d'un mineur
zts369e	Invocation d'un mineur 2
zts370e	Invocation d'un mineur 3
zts371e	Coup pivotant puissant (kenko)
zts372e	Catapultage
zts373e	Morsure
zts374e	Tempête de glace
zts375e	Coup tourbillonnant de Korrkoaren
zts376e	Sprint de Kenel
zts377e	Attaque de toutes parts de Kenkos
zts378e	Attaque de toutes parts de la tortue
zts379e	Malédiction de la sorcière obscure
zts380e	Ordre d'attaque de la sorcière sanglante
zts381e	Ordre d'attaque de la dame
zts382e	Main de la dame morte
zts383e	Assaut de Kenel
zts384e	Assaut du lion-loup
zts385e	Assaut des monstres de faible niveau
zts386e	Boing de pollution
zts387e	Attraction du roi araignée
zts388e	Attaque de toutes parts du roi araignée
zts389e	Attaque de toutes parts de Kukukeen
zts390e	Éternuement de Kukukeen
zts391e	Boule de feu d'ombre nocturne
zts392e	1er talent de Catlotte
zts393e	1er talent de Catrisha
zts394e	2e talent de Catrisha
zts395e	Coup fort d'un PNJ
zts396e	2e talent de Catlotte
zts397e	Rétablissement du ginseng
zts398e	Attaque de toutes parts du ginseng
zts399e	Foudre de Castra
zts400e	Fumée de Castra
zts401e	Hurlement du slade
zts402e	Lancer de pierre du slade
zts403e	Attaque de base magique
zts404e	Attaque de base de l'araignée noire géante
zts405e	Toile de l'araignée noire géante
zts406e	Attaque de base du slade
zts407e	Téléportation de Castra
zts408e	Sprint de mandragore
zts409e	Attaque du marteau en fer
zts410e	Attaque d'avalanche
zts411e	Attaque d'araignée
zts412e	Attaque du météorite noir
zts413e	Tir rapide de l'archer à tête de mort
zts414e	Tir puissant de l'archer à tête de mort
zts415e	Attaque de tête de mort
zts416e	Tempête de feu de poussière mortelle
zts417e	Gaz de garde zombi bossu
zts418e	Détenteur de quête
zts419e	Bataille de polochons
zts420e	Faire le mort
zts421e	Dormir
zts422e	Ennuyer
zts423e	Allonger
zts424e	Exercice matinal
zts425e	Heure du thé
zts426e	Jouer du tambourin
zts427e	S'appuyer contre toi
zts428e	Pardonne-moi.
zts429e	Lire des livres
zts430e	Attaque à deux mains
zts431e	Attaque de base du Guerrier
zts432e	Triple coup
zts433e	Cette attaque provoque des dégâts triples chez l'adversaire.
zts434e	Peau d'acier
zts435e	Ta défense augmente temporairement grâce à la Peau d'acier.
zts436e	Tourbillon
zts437e	Par la force de ton épée, tu crées un puissant Tourbillon.
zts438e	Provocation
zts439e	Tu attires l'attention des ennemis dans un certain rayon.
zts440e	Coup ultime
zts441e	Ton épée transperce plusieurs adversaires d'affilée.
zts442e	Intimidation
zts443e	Effraye tes ennemis à l'aide d'un cri terrifiant.
zts444e	Plus le niveau de différence entre toi et ton adversaire est élevé, moins la compétence est efficace.
zts445e	Coup d'épaule
zts446e	Jette-toi, avec tes épaules blindées en avant, sur un adversaire sans défense pour lui infliger un coup ciblé.
zts447e	Accès de colère
zts448e	Pousse un cri inquiétant pour booster ton esprit combattif et celui de ton groupe.
zts449e	Choc terrestre
zts450e	Focalise l'énergie de ton épée dans le sol pour faire trembler la terre et infliger de lourds dégâts à tes adversaires.
zts451e	Dragon volant
zts452e	Fais tournoyer ton épée pour provoquer des dégâts critiques.
zts453e	Tu acquiers ainsi des forces puissantes et destructrices.
zts454e	Coup d'épée
zts455e	Attaque de base du Ninja
zts456e	Coup croisé
zts457e	Tu fais tournoyer ton épée de manière entrecroisée pour blesser sévèrement ton adversaire.
zts458e	Lame d'énergie
zts459e	D'un coup d'épée, tu peux fendre la terre pour éliminer même les adversaires distants.
zts460e	Attaque en chaîne
zts461e	Cette attaque multiple trouble l'adversaire qui se retrouve incapable de combattre.
zts462e	Protection de lame
zts463e	La force d'attaque de l'adversaire vient nourrir la tienne.
zts464e	Tempête d'épée
zts465e	Avec ton épée, attaque tes adversaires en un éclair.
zts466e	Attaque à la vitesse de la lumière
zts467e	Cette attaque est lancée à toute vitesse.
zts468e	Inspiration apaisante
zts469e	En pleine méditation, tu te rétablis physiquement et spirituellement pour reprendre des forces.
zts470e	Coup de la mort
zts471e	L'énergie s'accumule pour provoquer un Coup de la mort à un endroit ciblé.
zts472e	Arête tranchante
zts473e	Cette compétence aiguise ta lame.
zts474e	Épée dansante
zts475e	Fais virevolter ton épée pour toucher tes adversaires.
zts476e	Oeil du faucon
zts477e	Précis comme un faucon, tu déclenches une attaque dotée d'une précision plus élevée.
zts478e	Tir crânien
zts479e	Un tir ciblé sur la tête provoque des dégâts critiques.
zts480e	Marcheur de vent
zts481e	La vitesse de déplacement augmente temporairement.
zts482e	Détonation d'éclair
zts483e	Un éclair lumineux aveugle ton adversaire qui ne peut donc plus lancer d'attaque.
zts484e	Triple flèche
zts485e	Utilise cette compétence pour blesser plusieurs adversaire d'un seul tir.
zts486e	Hausse de portée
zts487e	La portée de tes attaques à distance augmente.
zts488e	Éclair spiralé
zts489e	Chaque adversaire touché par cet Éclair spiralé subi d'importants dégâts.
zts490e	Explosion d'éclair
zts491e	Des flèches d'éclair frappent au hasard à proximité de toi.
zts492e	Rétablissement rapide
zts493e	Le temps de rechargement de la compétence est temporairement réduit.
zts494e	Orage
zts495e	Tes flèches s'abattent comme un orage contre l'adversaire.
zts496e	Attaque de dague
zts497e	Attaque de base de l'Assassin
zts498e	Coup critique
zts499e	La probabilité de provoquer un coup critique augmente.
zts500e	Coup sanglant
zts501e	L'adversaire est la cible d'une attaque cruelle et brutale.
zts502e	Brouillard épais
zts503e	Un Brouillard épais se forme pour réduire la précision de tes adversaires.
zts504e	Lancer de chaîne à crochet
zts505e	Lance une chaîne montée d'un crochet pour attirer l'adversaire vers toi.
zts506e	Saut de défense
zts507e	Quand tu esquives une attaque, une partie de ton énergie est rechargée.
zts508e	Tomahawk
zts509e	Tu lances des haches contre tes adversaires.
zts510e	Ombre
zts511e	Une Ombre se cache de ton adversaire. Si tu lances ou subis une attaque, l'Ombre disparaît.
zts512e	Coup virevoltant
zts513e	Assène un Coup virevoltant rapide avec une dague.
zts514e	Coup mortel
zts515e	Cette attaque brusque provoque des dégâts critiques.
zts516e	Combinée à l'élément Obscurité, cette attaque est très efficace.
zts517e	Bombe
zts518e	Saute en arrière en laissant exploser une bombe aux pieds de l'adversaire.
zts519e	Trébuchement
zts520e	Attaque de base du Mage du feu
zts521e	Irruption de feu
zts522e	Une petite explosion inflige des dégâts à l'adversaire.
zts523e	Souffle de feu
zts524e	Le Souffle de feu brûle l'adversaire.
zts525e	Transfusion de mana
zts526e	Une partie de tes HP deviennent des MP.
zts527e	Tempête de feu
zts528e	La Tempête de feu brûle tous les adversaires proches.
zts529e	Javelot de feu
zts530e	Un puissant Javelot de feu est invoqué pour éliminer l'adversaire.
zts531e	Bénédiction du feu
zts532e	L'élément Feu se renforce et la résistance au Feu augmente.
zts533e	Mur de feu
zts534e	Un mur de feu est invoqué pour infliger des dégâts à l'adversaire.
zts535e	Pluie de météores
zts536e	Une puissante Pluie de météores s'abat sur l'adversaire.
zts537e	Inferno
zts538e	La puissante colonne de feu qui apparaît défie la pesanteur.
zts539e	Impact de météorite
zts540e	Une énorme météorite s'abat, anéantissant l'adversaire et tout ce qui se trouve à proximité.
zts541e	Attaque sacrée
zts542e	Une boule de lumière sacrée se forme pour attaquer les ennemis.
zts543e	Ce sort spécial ne consomme pas de MP.
zts544e	Guérison
zts545e	Le personnage sélectionné est guéri.
zts546e	Lumière sacrée
zts547e	La Lumière sacrée provenant du ciel cause des dégât à tes adversaires.
zts548e	Bouclier de mana
zts549e	Un bouclier t'enveloppe.
zts550e	Chanson du ciel
zts551e	Tes adversaires perdent temporairement l'envie de combattre en entendant la Chanson du ciel.
zts552e	Purification
zts553e	Tous les effets négatifs subis par tes alliés ou toi-même sont levés.
zts554e	Exorcisme
zts555e	Les morts-vivants subissent des dégâts critiques.
zts556e	Guérison de groupe
zts557e	Les HP de tes compagnons sont rétablis.
zts558e	Arme sacrée
zts559e	Ton arme est temporairement bénie par l'élément Lumière.
zts560e	Bénédiction
zts562e	Marteau sacré
zts563e	Un Marteau sacré s'abat du ciel, infligeant à l'adversaire des dégâts sévères.
zts564e	Amour (Alt + Q)
zts565e	Salut (Alt + W)
zts566e	Ricanement (Alt + E)
zts567e	Rire (Alt + R)
zts568e	Timide (Alt + T)
zts569e	Héhé (Alt + Y)
zts570e	Oooups (Alt + U)
zts571e	Ahhh (Alt + I)
zts572e	Honte (Alt + O)
zts573e	Victoire (Alt + P)
zts574e	Quoi ? (Alt + A)
zts575e	Tu me fais marcher? (Alt + S)
zts576e	Super ! (Alt + D)
zts577e	Ça va pas la tête ? (Alt + F)
zts578e	T'as un problème ? (Alt + G)
zts579e	Tu vas le payer ! (Alt + H)
zts580e	J't'ai eu (Alt + J)
zts581e	STOP ! (Alt + K)
zts582e	Larmes (Alt + L)
zts583e	Pleurs (Alt + Z)
zts584e	Sanglots (Alt + X)
zts585e	Épuisement (Alt + C)
zts586e	Tout mignon (Alt + V)
zts587e	Toute mignonne (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Crachat (Alt + M)
zts590e	Déception (Alt +,)
zts591e	Coup de pied tournoyant de Jerico
zts592e	Amélioration
zts594e	La force physique augmente de 30.
zts595e	L'adresse augmente de 30.
zts596e	[Avancé] Renforcement spirituel
zts597e	La force de l'esprit augmente de 35.
zts598e	[Expert] Renforcement spirituel
zts599e	Les HP augmentent durablement de 400.
zts600e	Les MP augmentent durablement de 400.
zts601e	[Avancé] Attaque efficace
zts602e	La force d'attaque augmente de 20.
zts603e	[Expert] Attaque efficace
zts604e	[Avancé] Autodéfense
zts605e	La défense augmente de 20.
zts606e	[Expert] Autodéfense
zts607e	Le rétablissement de HP augmente de 100.
zts608e	Le rétablissement de MP augmente de 120.
zts609e	Guérison naturelle
zts610e	Avec un effet très stylé !
zts611e	La puissance des compétences augmente à nouveau.
zts612e	Lame brillante
zts613e	Tornade gigantesque
zts614e	Projectile magique renforcé
zts616e	Coup tempétueux
zts617e	Renforcement de la résistance élémentaire
zts618e	Attaque soudaine
zts619e	Tir étourdissant
zts620e	Tir d'explosion
zts621e	Flèche enflammée
zts622e	Flèche brillante
zts623e	Attaque des points faibles.
zts624e	Pics de glace
zts625e	Jugement de la lumière
zts626e	Zone de magma
zts627e	Rayon magique
zts628e	Souffle du perdant
zts629e	Saut du roi poulet
zts630e	Caquètement du roi poulet
zts631e	La défense des compagnons proches augmente temporairement de 1.
zts632e	Tu es protégé des coups critiques.
zts633e	Coups de pied
zts634e	Caquètement
zts635e	Sauter
zts636e	Renforcement de bombe magique explosive
zts637e	Saut moyen du roi poulet
zts638e	Saut rapide du roi poulet
zts639e	Attaque rapidement et efficacement avec des bâtons de bambou.
zts640e	Piège du boss Jajamaru
zts641e	Attaque de shuriken
zts642e	Saut shuriken
zts643e	Feu de flamme
zts644e	Lancer de bombe
zts645e	Remplacer
zts646e	Mode furtif
zts647e	Invocation de pétard
zts648e	Création
zts649e	Pouvoir du coeur vide
zts650e	Renforcement de bombe magique explosive 2
zts651e	Attaque ninja de shuriken
zts652e	Pilonnage de Namaju
zts653e	Invocation de Namaju
zts654e	Attaque d'armures
zts655e	Attaque des feuilles d'érable
zts656e	Rayon laser
zts657e	Invocation d'esprits
zts658e	Mains magiques
zts659e	Brume toxique
zts660e	Trébuchement
zts661e	Attaque des fantômes archers kovolts
zts662e	L'attaque de base de Jajamaru envoie des shurikens contre les ennemis.
zts663e	Tu sautes et lances plusieurs shurikens contre les ennemis.
zts664e	Cette attaque de feu se porte sur les adversaires alignés.
zts665e	Une bombe puissante est envoyée sur les ennemis.
zts666e	Tu te téléportes vers un certain lieu en laissant des fragments de bois sur le lieu de départ.
zts667e	Tu peux rester caché jusqu'à ce que tu attaques ou te fasses attaquer.
zts668e	Tu montes sur un pétard pour attaquer les adversaires alentours.
zts669e	Des miniatures de Jajamaru sont invoquées pour l'attaque. Elle disparaissent ensuite.
zts670e	Cette compétence peut seulement être utilisée pour Namaju.
zts671e	L'énergie est temporairement rétablie, ce qui permet d'infliger des dégâts à Namaju.
zts672e	Sprint bestial
zts673e	Attaque soudaine du guerrier kovolt
zts674e	Téléportation de la dame diabolique
zts675e	Poison brumeux
zts676e	Attaque de base du combattant squelettique ressuscité
zts677e	Aveugle le diable ressuscité.
zts678e	Attaque de base du faucon à tête de mort
zts679e	Attaque de base du guerrier funeste
zts680e	Tourbillon du guerrier funeste
zts681e	Silence du guerrier funeste
zts682e	Téléportation fantomatique du guerrier funeste
zts683e	Attaque de base du chevalier infernal
