zts1e	Efekt ogólny
zts220e	Za sezonowe eventy. Zwiêksza zdobywanie punktów doœwiadczenia o 30%.
zts221e	Energia têczy
zts222e	Moc zdobyta dziêki zwyciêstwu w Bitwie Têczowego Kryszta³u. PS nie zostaj¹ zmniejszone!
zts223e	Energia têczy
zts224e	Usprawnienie pancerza
zts225e	Zwiêkszenie energii
zts226e	Maksymalne P¯/PM zostaj¹ na pewien czas zwiêkszone.
zts227e	Zwiêksza zdobywanie liczby punktów doœwiadczenia o 20%.
zts228e	B³ogos³awieñstwo Altair i Wega
zts229e	B³ogos³awieñstwo Ancelloan
zts230e	Zwiêksza liczbê punktów doœwiadczenia o 100%.
zts231e	B³ogos³awieñstwo Anio³a Stró¿a
zts232e	Zwiêksza liczbê punktów doœwiadczenia NosKumpla o 50%.
zts233e	Pora¿enie pr¹dem
zts234e	Zosta³eœ pora¿ony pr¹dem i nie mo¿esz siê poruszaæ.
zts235e	Silne pora¿enie pr¹dem
zts236e	Zosta³eœ dotkliwie pora¿ony pr¹dem i nie mo¿esz siê poruszaæ.
zts237e	Skamienienie
zts238e	Na skutek skamienienia nie mo¿esz siê poruszaæ.
zts239e	Æmia trucizna
zts240e	Æmia trucizna spowolni³a ciê i sprawi³a, ¿e otrzyma³eœ niszczycielskie trafienie.
zts241e	Plaga
zts242e	Choroba powa¿nie uszkodzi³a roœliny. Mo¿na temu zaradziæ dziêki szczepionce na zombie.
zts243e	Wysysanie krwi
zts244e	Pozwala wyssaæ P¯ przeciwnika i zadaæ mu w ten sposób obra¿enia.
zts245e	Kontrola umys³u
zts246e	Ktoœ kontroluje twój umys³, a to powoduje powa¿ne obra¿enia.
zts247e	Czar ukochanej
zts248e	Punkty produkcji zostaj¹ zmniejszone o 20%.
zts249e	Plaga powa¿nie uszkodzi³a roœliny.
zts250e	Wzmacniacz wró¿ki
zts251e	¯ywio³ wró¿ki zosta³ dodatkowo zwiêkszony o 30.
zts253e	Na 10 minut zwiêksza si³ê wszystkich ¿ywio³ów i szybkoœæ poruszania siê.
zts254e	Dreszcze
zts255e	Szybkoœæ poruszania siê zostaje silnie ograniczona, gdy¿ twoje cia³o zdrêtwia³o z zimna.
zts256e	B³ogos³awieñstwo wody
zts257e	Otrzymuje ¿ywio³ wody i zwiêksza odpornoœæ na wodê.
zts258e	Zamro¿enie
zts259e	Nie mo¿esz atakowaæ, bo otrzyma³eœ cios krytyczny i zimno sparali¿owa³o twoje cia³o.
zts260e	Wzmacniacz
zts261e	Z dopalaczem poruszasz siê bardzo szybko.
zts262e	Truj¹cy gaz
zts263e	Tracisz obronê i nie mo¿esz u¿ywaæ umiejêtnoœci.
zts264e	Modlitwa obrony
zts265e	Zwiêksza poziom obrony oraz maksymalne P¯/PM partnera.
zts266e	Modlitwa ataku
zts267e	Zwiêksza poziom ataku i wzmacnia morale.
zts268e	1. potrójne ³adowanie
zts269e	Pob³ogos³awiony. Zwiêksza na jakiœ czas si³ê ataku.
zts270e	2. potrójne ³adowanie
zts271e	3. potrójne ³adowanie
zts272e	2. truj¹cy gaz
zts273e	Nie mo¿esz u¿ywaæ umiejêtnoœci.
zts274e	Lodowa tarcza
zts275e	Ochrania siebie i nak³ada mróz na przeciwnika.
zts276e	Œwiêty oddech
zts277e	Redukuje moc wszystkich przeciwników, nie pos³uguj¹cych siê ¿ywio³em œwiat³a.
zts278e	Przez pewien czas zwiêksza obronê.
zts279e	Odbija otrzymane obra¿enia.
zts280e	Airwaves
zts281e	B³ogos³awieñstwo kamienia duszy
zts282e	Jeœli nosisz kartê specjalisty, otrzymasz dodatkowych 50% punktów doœwiadczenia do normalnego poziomu profesji.
zts283e	U¿yj zwoju ochrony karty SP dla niskiego poziomu.
zts284e	Po u¿yciu gracz mo¿e ulepszyæ swoj¹ kartê specjalisty w stopniu 0-9.
zts285e	U¿yj zwoju specjalisty dla wysokiego poziomu.
zts286e	Po u¿yciu gracz mo¿e ulepszyæ swoj¹ kartê specjalisty w stopniu 10-14.
zts287e	Berserk
zts288e	Zwiêksza szybkoœæ ataku i poruszania siê, jednoczeœnie zmniejszaj¹c obronê.
zts289e	Zniszcz pancerz
zts290e	Zmniejsza obronê przeciwnika, poprzez zniszczenie jego pancerza.
zts291e	Duch or³a
zts292e	Budzi w tobie ducha or³a.
zts293e	Œwiat³o ¿ywio³u
zts294e	Duch lasu zwiêksza twoj¹ odpornoœæ na œwiat³o.
zts295e	Duch wilka
zts296e	Budzi w tobie ducha wilka.
zts297e	Utrata ¿ywio³ów
zts298e	Wywo³uje negatywne efekty i cierpienie lasu.
zts299e	Duch niedŸwiedzia
zts300e	Budzi w tobie ducha niedŸwiedzia.
zts301e	Duch stra¿nika
zts302e	Na pewien czas bo¿ek otacza maga, ochraniaj¹c go.
zts303e	Mroczna kl¹twa
zts304e	Bo¿ek zwiêksza si³ê ¿ywio³u mroku.
zts305e	Opêtanie
zts306e	Bo¿ek kontroluje ducha przeciwnika.
zts307e	Eliksir z³a
zts308e	Bo¿ek przejmuje cia³o przeciwnika.
zts309e	Msza ¿a³obna
zts310e	Przeciwnik dr¿y, przera¿ony pieœni¹ bo¿ka.
zts311e	¯ycie i œmieræ
zts312e	Na pewien czas zwiêksza si³ê ataku i obrony o 10%.
zts313e	B³ogos³awieñstwo noworoczne
zts314e	Na pewien czas zwiêksza doœwiadczenie w walce oraz profesji o 10%.
zts315e	Zu¿ywa P¯, by zwiêkszyæ si³ê ataku.
zts316e	Przeziêbienie
zts317e	Jesteœ bardzo przeziêbiony i tracisz kontrolê nad swoim cia³em.
zts318e	Zaraza
zts319e	Nie mo¿esz unikaæ ataków wrogów, gdy¿ jesteœ zamroczony.
zts320e	Wzmocnienie na 1. rocznicê
zts321e	Twoje maks. P¯ i PM zostaj¹ zwiêkszone o 10% na 1 godzinê.
zts322e	O¿ywienie
zts323e	O¿ywienie bez kary po wskrzeszeniu.
zts324e	B³ogos³awieñstwo bia³ego dnia
zts325e	Niepokonany w PvP
zts326e	Mimo ataków przeciwnika, przez 5 sekund nie bêdziesz traci³ P¯.
zts327e	Œwiête œwiat³o zmniejsza umiejêtnoœci wszystkich przeciwników.
zts328e	Zwiêksza si³ê ataku w PvP.
zts329e	Gdy gracz znajduje siê w trybie PvP, jego si³a ataku zwiêksza siê na godzinê o 50%. Dzia³a tylko w Glacernon.
zts330e	Zwiêksza obronê w PvP.
zts331e	Gdy gracz znajduje siê w trybie PvP, jego obrona zwiêksza siê na godzinê o 50%. Dzia³a tylko w Glacernon.
zts332e	Zwiêksza odpornoœæ w PvP.
zts333e	Gdy gracz znajduje siê w trybie PvP, jego obrona zwiêksza siê na godzinê o 20%. Dzia³a tylko w Glacernon.
zts334e	Po bloku zamra¿a napastnika.
zts335e	Poziom gracza/%d
zts336e	Poziom gracza*%d
zts337e	Poziom/%d
zts338e	Poziom*%d
zts339e	Ochrona przyrody
zts340e	Ulepszona odpornoœæ na ¿ywio³y.
zts341e	Podniesienie odpornoœci na ¿ywio³y
zts342e	Ma³y toksyczny kolec
zts343e	Œmiertelny toksyczny kolec
zts344e	Rozcieñczona œmiertelna trucizna
zts345e	Œmiertelna trucizna
zts346e	Ma³y gaz nerwowy
zts347e	Gaz nerwowy
zts348e	Silny gaz nerwowy
zts349e	Œmiertelny gaz nerwowy
zts350e	Ma³y ch³ód
zts351e	Z³y ch³ód
zts352e	Œmiertelny ch³ód
zts353e	Ma³e podpalenie
zts354e	Powa¿ne podpalenie
zts355e	Ma³e zamroczenie
zts356e	Œmiertelne zamroczenie
zts357e	Uszkodzone opancerzenie
zts358e	Zniszczenie broni obronnej
zts359e	Os³abienie broni
zts360e	Uszkodzenie broni
zts361e	Strzaskanie broni
zts362e	Zniszczenie broni
zts363e	Lekki parali¿
zts364e	Parali¿
zts365e	Znaczny parali¿
zts366e	Rozleg³y parali¿
zts367e	Ma³a desperacja
zts368e	Powa¿na desperacja
zts369e	Œmiertelna desperacja
zts370e	Ma³y strach
zts371e	Wiêkszy strach
zts372e	Œmiertelny strach
zts373e	Ma³y horror
zts374e	Horror
zts375e	Wiêkszy horror
zts376e	Œmiertelny horror
zts377e	Ma³a niezdolnoœæ
zts378e	Znaczna niezdolnoœæ
zts379e	Wiêksza niezdolnoœæ
zts380e	Lekkie os³abienie odpornoœci
zts381e	Os³abienie odpornoœci
zts382e	Znaczne os³abienie odpornoœci
zts383e	Wiêksze os³abienie odpornoœci
zts384e	Nieznaczne os³abienie atakuj¹cego ¿ywio³u
zts385e	Os³abienie atakuj¹cego ¿ywio³u
zts386e	Znaczne os³abienie atakuj¹cego ¿ywio³u
zts387e	Znaczne os³abienie atakuj¹cego ¿ywio³u
zts388e	Ma³y mróz
zts389e	Du¿y mróz
zts390e	Znaczny mróz
zts391e	Ma³e skamienienie
zts392e	Wiêksze skamienienie
zts393e	Znaczne skamienienie
zts394e	Stê¿enie
zts395e	Nie jesteœ w stanie kontrolowaæ swojego cia³a.
zts396e	Magiczna bariera
zts397e	Lekka trucizna odurzaj¹ca
zts398e	Wiêksza trucizna odurzaj¹ca
zts399e	Œmiertelna trucizna odurzaj¹ca
zts400e	Przy ataku œwiêtym œwiat³em odpornoœæ na œwiat³o zostaje zmniejszona.
zts401e	Nie do zaatakowania
zts402e	Ciemny batonik czekoladowy
zts403e	Na 30 minut twoja si³a ataku zostaje zwiêkszona o 10%.
zts404e	Bia³y batonik czekoladowy
zts405e	Na 30 minut twoja si³a obrony zostaje zwiêkszona o 10%.
zts406e	Gwiazda
zts407e	Przez 50 minut zdobywasz o 10% wiêcej punktów doœwiadczenia.
zts408e	Znaczne os³abienie atakuj¹cego ¿ywio³u
zts409e	Powa¿ne os³abienie atakuj¹cego ¿ywio³u
zts410e	Z³oœæ Krzakogona Byka
zts411e	Krzakogon Byk z³oœci siê, co zwiêksza jego si³ê ataku.
zts412e	Zwiêksza obronê.
zts413e	Na pewny czas zwiêksza si³ê obrony.
zts414e	Zwiêksza szansê na cios krytyczny.
zts415e	Na pewien czas zwiêksza szansê na cios krytyczny.
zts416e	Maksymalizuje magiczne ataki.
zts417e	Maksymalizuje si³ê magicznych ataków na pewien czas.
zts418e	Elektryczny mrok
zts419e	Zwiêksza si³ê obrony.
zts420e	Zwiêksza obronê ataków krótkodystansowych.
zts421e	Przez pewien czas zwiêksza obra¿enia od ciosu krytycznego.
zts422e	Medal premiowy (10 dni)
zts423e	Mo¿esz u¿ywaæ efektu tak d³ugo, jak d³ugo siê utrzymuje.
zts424e	Medal premiowy (30 dni)
zts425e	Medal premiowy (1 dzieñ)
zts426e	Oddech pokonanego
zts427e	Poziom ataku i obrony wyniesie 0.
zts428e	Poziom ataku i obrony wyniesie 0, a szybkoœæ poruszania siê zmniejszy siê o 2.
zts429e	Poziom ataku i obrony wyniesie 0, a celnoœæ zmniejszy siê o 20.
zts430e	Lodowy ³añcuch
zts431e	Szybkoœæ poruszania siê zostaje zmniejszona o 3.
zts432e	Przekazanie many
zts433e	Zwiêksza twoj¹ si³ê obrony i zmniejsza jednoczeœnie otrzymane obra¿enia o 30%, jednoczeœnie zu¿ywaj¹c twoj¹ manê.
zts434e	Dziêki wzmocnieniu przez 10 minut otrzymasz 30% wiêcej punktów doœwiadczenia w walce i profesji.
zts437e	Razem ze swoim przyjacielem otrzymujesz podwójne doœwiadczenie. Wzmocnienie zniknie, gdy przyjaciel siê wyloguje.
zts439e	Kl¹twa Calvinas
zts440e	Calvinas rzuci³a na ciebie kl¹twê. Twoja szybkoœæ poruszania zostaje zmniejszona.
zts441e	Absorpcja many
zts442e	Kradnie manê twojemu przeciwnikowi.
zts443e	S³aboœæ
zts444e	Ujawnia przeciwnikowi twój s³aby punkt.
zts445e	Nie mo¿esz siê poruszaæ, poniewa¿ zosta³eœ pora¿ony pr¹dem.
zts446e	Zu¿ywa P¯, aby zwiêkszyæ si³ê ataku.
zts447e	Kl¹twa komendanta
zts448e	Kl¹twa komendanta. Wartoœæ ataku i obrony zostaje zmniejszona na 60 sekund.
zts449e	Szok wybuchowy
zts450e	Szybkoœæ poruszania siê zostaje zmniejszona i nie mo¿na wykonaæ uniku przed atakiem.
zts451e	Kl¹twa elitarnego komendanta
zts452e	Kl¹twa elitarnego komendanta. Zmniejsza si³ê ataku i obrony na 120 sekund.
zts453e	Zdobyte punkty doœwiadczenia zostaj¹ zwiêkszone o 100%. Mo¿na u¿yæ z b³ogos³awieñstwem Ancelloan.
zts454e	Zdobyte punkty doœwiadczenia zostaj¹ zwiêkszone o 50%. Mo¿na u¿yæ z b³ogos³awieñstwem Ancelloan.
zts455e	Zdobyte punkty doœwiadczenia zostaj¹ zwiêkszone o 20%. Mo¿na u¿yæ z b³ogos³awieñstwem Ancelloan.
zts456e	Gniew komendanta
zts457e	Komendant jest rozgniewany.
zts458e	B³ogos³awieñstwo ochronne
zts459e	B³ogos³awieñstwo ochronne zwiêksza si³ê obrony komendanta.
zts460e	Kl¹twa komendanta. Zmniejsza si³ê ataku i obrony na 90 sekund.
zts462e	Zwiêksza P¯/PM na 3200 sek. o 10%.
zts463e	Zmniejsza atak przeciwnika dziêki lodowej tarczy
zts464e	Ma³e b³ogos³awieñstwo walentynkowe
zts465e	Twoja si³a ataku i obrony zostaje zwiêkszona o 5%.
zts466e	B³ogos³awieñstwo walentynkowe
zts467e	Du¿e B³ogos³awieñstwo Walentynkowe
zts468e	Twoja si³a ataku i obrony zostaje zwiêkszona o 20%.
zts469e	Ma³e b³ogos³awieñstwo bia³ego dnia
zts470e	Du¿e b³ogos³awieñstwo bia³ego dnia
zts475e	Wesele
zts476e	Bojowe punkty doœwiadczenia zostaj¹ zwiêkszone o 5%.
zts477e	B³ogos³awieñstwo upiora
zts478e	Zwiêksza si³ê ataku. Wszystkie ataki +100%
zts479e	Kl¹twa upiora
zts480e	Zmniejsza si³ê ataku. Wszystkie ataki -50%
zts481e	Warczenie psa wartowniczego
zts482e	Okrzyk wojenny stra¿y
zts483e	Wœciek³oœæ upiora
zts484e	Dyniowa kl¹twa
zts485e	Jeœli doznasz jeszcze wiêcej obra¿eñ mroku, nie bêdziesz móg³ przez krótki czas atakowaæ.
zts486e	Kl¹twa oddzia³ów eskorty
zts487e	Poprzez kl¹twê oddzia³ów eskorty tracisz P¯.
zts495e	Zwiêksza siê twoja si³a obrony oraz celnoœæ. 30% zadanych tobie obra¿eñ zostanie odjêtych od twoich PM zamiast od P¯.
zts496e	¯o³nierska Wola
zts497e	Hartuje cia³o, by zwiêkszyæ obronê.
zts501e	Gigantyczne noworoczne b³ogos³awieñstwo
zts502e	Szczêœliwego Nowego Roku
zts503e	W tym roku bêdziesz mia³ wiele szczêœcia.
zts506e	Zdezorientowany
zts507e	Twój NosKumpel jest zszokowany i przez 30 minut zdezorientowany.
zts508e	Bardzo zdezorientowany
zts509e	Twój NosKumpel jest zszokowany i na 50 minut zdezorientowany.
zts512e	Dopalacz prêdkoœci
zts513e	Maksymalizacja prêdkoœci przez krótki czas.
zts514e	Po wygranej w Bitwie Têczowego kKyszta³u otrzymasz moc, która przyda ci siê w Glacernon.
zts515e	Rana postrza³owa
zts516e	Odnios³eœ ciê¿k¹ ranê postrza³ow¹.
zts517e	Skryj siê w beczce rumu
zts518e	Szukasz ochrony przed atakami wroga.
zts519e	¯ar p³on¹cego miecza
zts520e	¯ar nieprzerwanie spala energiê ¿yciow¹.
zts521e	Olej z lodowych kwiatów
zts522e	Dziêki mro¿¹cemu olejowi z lodowych kwiatów bêdziesz w stanie wytrzymaæ ten olbrzymi upa³.
zts523e	B³ogos³awieñstwo Kertosa
zts524e	B³ogos³awieñstwo Kertosa zwiêksza si³ê ataku.
zts525e	Spalenie
zts526e	Znajdziesz siê w wielkim niebezpieczeñstwie, jeœli otrzymasz obra¿enia w wyniku ataku krótkodystansowego.
zts527e	Pajêczyna
zts528e	Zapl¹tujesz siê w pajêczynie, staj¹c siê ³atw¹ ofiar¹ dla wroga.
zts529e	Uszkodzenie wzroku
zts530e	Promieniowanie na pewien czas uszkadza ci wzrok.
zts531e	Tarcza ¯aru
zts532e	Twoja odpornoœæ wzrasta dziêki tarczy po³yskuj¹cego ¿aru.
zts533e	Erupcja lawy
zts534e	P³omienny ¿ar lawy zadaje wrogom potê¿ne obra¿enia.
zts535e	Wielka erupcja lawy
zts536e	P³omienny ¿ar lawy zadaje wrogom potê¿ne obra¿enia.
zts537e	P³omienna trucizna
zts538e	Stopniowo tracisz P¯ wskutek dzia³ania p³omiennej trucizny.
zts539e	P³omienne tchnienie Feniksa
zts540e	Wskutek p³omiennego tchnienia Feniksa tracisz ducha walki.
zts541e	Mieni¹ce siê znamiê
zts542e	Wskutek mieni¹cego siê znamienia nie mo¿esz siê poruszaæ ani atakowaæ.
zts543e	Kl¹twa czerwonego p³omienia
zts544e	Wskutek kl¹twy czerwonego p³omienia zmniejsza siê twoja odpornoœæ na p³omienn¹ aurê. Poza tym wzrasta prawdopodobieñstwo odniesienia trafienia krytycznego.
zts546e	Przejœciowy stan zamroczenia wskutek wtórnego wstrz¹su powybuchowego.
zts547e	Rana we wra¿liwym miejscu
zts548e	Powa¿nie zraniony w wyniku rany we wra¿liwym miejscu.
zts549e	Wœciek³y krzakogon Rudolf
zts550e	Krzakogon Rudolf wœcieka siê i jego si³a ataku zwiêksza siê.
zts551e	Okrzyk bojowy Centuriona
zts552e	Okrzyk bojowy Centuriona sprawia, ¿e przeciwnik zawsze otrzymuje trafienie krytyczne.
zts553e	Kajdany
zts554e	Silny rozk³ad
zts555e	Uszkadza pancerz i broñ za pomoc¹ silnego kwasu.
zts556e	Podczas dzia³ania kajdan nie mo¿esz siê poruszaæ.
zts565e	Szansa na kontratak
zts566e	Mo¿liwoœæ pojedynczego krytycznego kontrataku.
zts567e	Knockdown
