zts1e	Atak specjalny
zts122e	Poziom obrony zostaje zwiêkszony o %s.
zts123e	Poziom obrony zostaje zmniejszony o %s.
zts124e	Zmiany uniku i % si³y obrony.
zts125e	Zmiany wszystkich uników.
zts126e	Zmiana uniku ataków krótkodystansowych.
zts127e	Zmiana uniku ataków d³ugodystansowych.
zts128e	Zmiana % si³y obrony.
zts129e	Unik zostaje zwiêkszony o %s.
zts130e	Unik zostaje zmniejszony o %s.
zts131e	Unik ataków krótkodystansowych zostaje zwiêkszony o %s.
zts132e	Unik ataków krótkodystansowych zostaje zmniejszony o %s.
zts133e	Unik ataków d³ugodystansowych zostaje zwiêkszony o %s.
zts134e	Unik ataków d³ugodystansowych zostaje zmniejszony o %s.
zts135e	Obrona zostaje zwiêkszona o %s%%.
zts136e	Obrona zostaje zmniejszona o %s%%.
zts137e	Zmiana obrony.
zts138e	Zmiana wszystkich wariantów obrony.
zts139e	Zmiana obrony ataków krótkodystansowych.
zts140e	Zmiana obrony ataków d³ugodystansowych.
zts141e	Zmiana obrony ataków magicznych.
zts142e	Obra¿enia od wszystkich ataków zostaj¹ zwiêkszone z prawdopodobieñstwem %s%% o %s%%.
zts143e	Obra¿enia od wszystkich ataków zostaj¹ zmniejszone z prawdopodobieñstwem %s%% o %s%%.
zts144e	Obra¿enia od ataków krótkodystansowych zostaj¹ zwiêkszone o %s%% z prawdopodobieñstwem %s%%.
zts145e	Obra¿enia od ataków krótkodystansowych zostaj¹ zmniejszone o %s%% z prawdopodobieñstwem %s%%.
zts146e	Obra¿enia od ataków d³ugodystansowych zostaj¹ zwiêkszone o %s%% z prawdopodobieñstwem %s%%.
zts147e	Obra¿enia od ataków d³ugodystansowych zostaj¹ zmniejszone o %s%% z prawdopodobieñstwem %s%%.
zts148e	Obra¿enia od ataków magicznych zostaj¹ zwiêkszone o %s%% z prawdopodobieñstwem %s%%.
zts149e	Obra¿enia od ataków magicznych zostaj¹ zmniejszone o %s%% z prawdopodobieñstwem %s%%.
zts150e	Zmiana absorpcji.
zts151e	Zmiany wszystkich absorpcji.
zts152e	Zmiana absorpcji krótkodystansowej.
zts153e	Zmiana absorpcji d³ugodystansowej.
zts154e	Zmiana magicznej absorpcji.
zts155e	Obra¿enia od wszystkich ataków poni¿ej poziomu (+%s) zostaj¹ zwiêkszone o %s%%.
zts156e	Wszystkie ataki poni¿ej poz. (+%s) zadaj¹ %s%% mniej obra¿eñ.
zts157e	Obra¿enia od ataków krótkodystansowych poni¿ej poziomu (+%s) zostaj¹ zwiêkszone o %s%%.
zts158e	Obra¿enia od ataków krótkodystansowych poni¿ej poziomu (+%s) zostaj¹ zmniejszone o %s%%.
zts159e	Obra¿enia od ataków d³ugodystansowych poni¿ej poziomu (+%s) zostaj¹ zwiêkszone o %s%%.
zts160e	Obra¿enia od ataków d³ugodystansowych poni¿ej poziomu (+%s) zostaj¹ zmniejszone o %s%%.
zts161e	Obra¿enia od ataków magicznych poni¿ej poziomu (+%s) zostaj¹ zwiêkszone o %s%%.
zts162e	Obra¿enia od magicznych ataków poni¿ej poziomu (+%s) zostaj¹ zmniejszone o %s%%.
zts163e	Zmiana odpornoœci ¿ywio³u.
zts164e	Zmiana wszystkich odpornoœci.
zts165e	Zmiana odpornoœci na ogieñ.
zts166e	Zmiana odpornoœci na wodê.
zts167e	Zmiana odpornoœci na œwiat³o.
zts168e	Zmiana odpornoœci na mrok.
zts169e	Odpornoœæ na wszystkie ¿ywio³y zostaje zwiêkszona o %s.
zts170e	Odpornoœæ na wszystkie ¿ywio³y zostaje zmniejszona o %s.
zts171e	Odpornoœæ na ogieñ zostaje zwiêkszona o %s.
zts172e	Odpornoœæ na ogieñ zostaje zmniejszona o %s.
zts173e	Odpornoœæ na wodê zostaje zwiêkszona o %s.
zts174e	Odpornoœæ na wodê zostaje zmniejszona o %s.
zts175e	Odpornoœæ na œwiat³o zostaje zwiêkszona o %s.
zts176e	Odpornoœæ na œwiat³o zostaje zmniejszona o %s.
zts177e	Odpornoœæ na mrok zostaje zwiêkszona o %s.
zts178e	Odpornoœæ na mrok zostaje zmniejszona o %s.
zts179e	Zmiana odpornoœci przeciwnika.
zts180e	Zmiana wszystkich odpornoœci przeciwnika.
zts181e	Zmiana odpornoœci przeciwnika na ogieñ.
zts182e	Zmiana odpornoœci przeciwnika na wodê.
zts183e	Zmiana odpornoœci przeciwnika na œwiat³o.
zts184e	Zmiana odpornoœci przeciwnika na mrok.
zts185e	Zwiêksza odpornoœæ na ¿ywio³ przeciwnika o %s.
zts186e	Ka¿da odpornoœæ ¿ywio³u przeciwnika zostaje zmniejszona o %s.
zts187e	Zwiêksza odpornoœæ przeciwnika na ogieñ o %s.
zts188e	Zmniejsza odpornoœæ przeciwnika na ogieñ o %s.
zts189e	Zwiêksza odpornoœæ przeciwnika na wodê o %s.
zts190e	Zmniejsza odpornoœæ przeciwnika na wodê o %s.
zts191e	Zwiêksza odpornoœæ przeciwnika na œwiat³o o %s.
zts192e	Zmniejsza odpornoœæ przeciwnika na œwiat³o o %s.
zts193e	Zwiêksza odpornoœæ przeciwnika na mrok o %s.
zts194e	Zmniejsza odpornoœæ przeciwnika na mrok o %s.
zts195e	Zmiana obra¿eñ.
zts196e	Zmiana wszystkich obra¿eñ.
zts197e	Zmiana obra¿eñ od ataków krótkodystansowych.
zts198e	Zmiana obra¿eñ od ataków d³ugodystansowych.
zts199e	Zmiana magicznych obra¿eñ.
zts200e	Obra¿enia zostaj¹ zwiêkszone o %s%%.
zts201e	Obra¿enia zostaj¹ zmniejszone o %s%%.
zts202e	Obra¿enia od ataków krótkodystansowych zostaj¹ zwiêkszone o %s%%.
zts203e	Obra¿enia od ataków krótkodystansowych zostaj¹ zmniejszone o %s%%.
zts204e	Obra¿enia od ataków d³ugodystansowych zostaj¹ zwiêkszone o %s%%.
zts205e	Obra¿enia od ataków d³ugodystansowych zostaj¹ zmniejszone o %s%%.
zts206e	Obra¿enia od ataków magicznych zostaj¹ zwiêkszone o %s%%.
zts207e	Obra¿enia od ataków magicznych zostaj¹ zmniejszone o %s%%.
zts208e	Blokuje zmianê skupienia i umo¿liwia uniki ataków d³ugodystansowych.
zts209e	Zmiana bezwarunkowego skupienia.
zts210e	Zmiana % bezwarunkowego uniku.
zts211e	Brak kary dla du¿ych odleg³oœci
zts212e	Im wiêksza odleg³oœæ, tym wiêksze obra¿enia.
zts213e	Zawsze trafia z prawdopodobieñstwem %s%%.
zts214e	Zawsze chybia celu z prawdopodobieñstwem %s%%.
zts215e	Brak kary przy ataku d³ugodystansowym ze zbyt bliska
zts216e	Si³a ataku z dystansu zwiêksza siê ustawicznie wraz ze zwiêkszaniem siê odleg³oœci od przeciwnika.
zts217e	Zmiana morale.
zts218e	Zmiana wartoœci morale.
zts219e	Podwaja wartoœæ morale.
zts220e	Bez wp³ywu na morale
zts221e	Zmiana czasu odnowy.
zts222e	Ignoruje morale.
zts223e	Wartoœæ morale zostaje zwiêkszona o %s.
zts224e	Wartoœæ morale zostaje zmniejszona o %s.
zts225e	Wartoœæ morale zostaje podwojona.
zts226e	Wartoœæ morale zostaje zmniejszona o po³owê.
zts227e	Bez wp³ywu na wartoœæ morale
zts228e	Czas odnowy umiejêtnoœci zostaje zwiêkszony o %s%%.
zts229e	Czas odnowy umiejêtnoœci zostaje zmniejszony o %s%%.
zts230e	Podczas ataku ignoruje wartoœæ morale przeciwnika.
zts231e	Rzucanie czarów
zts232e	Zmiana czasu rzucania czarów.
zts233e	Zmiana zu¿ycia many.
zts234e	Zmiana szybkoœci ataku.
zts235e	Rzucanie czarów nie powiod³o siê
zts236e	Przerwij rzucanie czarów
zts237e	Czas rzucania czarów zostaje zwiêkszony o %s%%.
zts238e	Czas rzucania czarów zostaje zmniejszony o %s%%.
zts239e	Zu¿ycie many podczas zastosowania umiejêtnoœci zostaje zwiêkszone o %s%%. (Dotyczy tylko magii.)
zts240e	Zu¿ycie many podczas zastosowania umiejêtnoœci zostaje zmniejszone o %s%%. (Dotyczy tylko magii.)
zts241e	Szybkoœæ ataku zostaje zwiêkszona o %s%%.
zts242e	Szybkoœæ ataku zostaje zmniejszona o %s%%.
zts243e	U¿ycie umiejêtnoœci nie powiod³o siê (Dotyczy tak¿e magii.)
zts244e	Przerwij dzia³anie (dotyczy tak¿e magii)
zts245e	Ruch
zts246e	Przerywa ruch
zts247e	Zmiana szybkoœci poruszania siê.
zts248e	Zmiana szybkoœci poruszania siê.
zts249e	Zwiêkszenie/zmniejszenie szybkoœci poruszania siê.
zts250e	Ruch niemo¿liwy
zts251e	Szybkoœæ poruszania siê zostaje zwiêkszona o %s%%.
zts252e	Szybkoœæ poruszania siê zostaje zmniejszona o %s%%.
zts253e	Szybkoœæ poruszania siê wynosi %s.
zts254e	Szybkoœæ poruszania siê zostaje zwiêkszona o %s.
zts255e	Szybkoœæ poruszania siê zostaje zmniejszona o %s.
zts256e	Odbicie
zts257e	Zmienia P¯ odpowiednio do doznanych procentowo obra¿eñ.
zts258e	Zmienia PM odpowiednio do doznanych procentowo obra¿eñ.
zts259e	Zmiana P¯ zgodnie z % otrzymanych obra¿eñ.
zts260e	Zmiana PM zgodnie z % otrzymanych obra¿eñ.
zts261e	P¯ zosta³y zwiêkszone o %s%% zadanych obra¿eñ.
zts262e	P¯ zosta³y zmniejszone o %s%% zadanych obra¿eñ.
zts263e	PM zosta³y zwiêkszone o %s%% zadanych obra¿eñ.
zts264e	PM zosta³y zmniejszone o %s%% zadanych obra¿eñ.
zts265e	P¯ przeciwnika zostaj¹ zwiêkszone o %s%% otrzymanych przeze mnie obra¿eñ.
zts266e	P¯ przeciwnika zostaj¹ zmniejszone o %s%% otrzymanych przeze mnie obra¿eñ.
zts267e	PM przeciwnika zostaj¹ zwiêkszone o %s%% otrzymanych przeze mnie obra¿eñ.
zts268e	PM przeciwnika zostaj¹ zmniejszone o %s%% otrzymanych przeze mnie obra¿eñ.
zts269e	Absorbuj i skradnij
zts270e	Zmiana PM na P¯.
zts271e	Zmiana P¯ na PM.
zts272e	Kradzie¿ P¯.
zts273e	Kradzie¿ PM.
zts274e	Kradzie¿ P¯ i absorpcja PM.
zts275e	Pozyskaj %s P¯ poprzez zu¿ycie %s PM.
zts276e	Pozyskaj %s PM poprzez zu¿ycie %s P¯.
zts277e	Daje przeciwnikowi %s P¯ z prawdopodobieñstwem %s%%.
zts278e	Zabiera przeciwnikowi z prawdopodobieñstwem %s%% %s P¯.
zts279e	Przekazuje przeciwnikowi %s PM z prawdopodobieñstwem %s%%.
zts280e	Zabiera przeciwnikowi z prawdopodobieñstwem %s%% %s PM.
zts281e	Zamienia %s PM przeciwnika na P¯ przeciwnika.
zts282e	Zamienia %s P¯ przeciwnika na w³asne PM.
zts283e	Leczenie/Spalanie i rzucanie czarów
zts284e	Leczenie P¯/Spalanie
zts285e	Leczenie PM/Spalanie
zts286e	Zmiana P¯ podczas rzucaniu czarów.
zts287e	Zmiana P¯ podczas zaburzeñ koncentracji.
zts288e	Przemiana tylu P¯ w PM, ile zosta³o zu¿ytych podczas rzucania czarów.
zts289e	Regeneracja %s P¯.
zts290e	P¯ zostan¹ zmniejszone o %s.
zts291e	Odnowa %s PM.
zts292e	Zmniejszenie PM o %s.
zts293e	Przywrócenie %s P¯ podczas rzucania czarów.
zts294e	Utrata %s P¯ podczas rzucania czarów.
zts295e	Przywrócenie %s PM w przypadku przerwania czaru.
zts296e	Utrata %s P¯ w przypadku przerwania czaru.
zts297e	%s%% P¯ zostaje przywróconych podczas zu¿ycia PM.
zts298e	Utrata %s%% P¯ od liczby zu¿ytych pkt many.
zts299e	Zmiana P¯/PM.
zts300e	Zmiana pozosta³ych P¯.
zts301e	Zmiana pozosta³ych PM.
zts302e	Zmiana tymczasowych P¯.
zts303e	Zmiana tymczasowych PM.
zts304e	Otrzymanie dodatkowych P¯/PM
zts305e	Regeneracja %s%% utraconych P¯.
zts306e	Utrata pozosta³ych P¯ o %s%%.
zts307e	Regeneracja %s%% utraconych PM.
zts308e	Zmniejsza pozosta³e PM o %s%%.
zts309e	Regeneracja %s P¯.
zts310e	Utrata %s P¯.
zts311e	Regeneracja %s PM.
zts312e	Zmniejszenie PM o %s.
zts313e	Otrzymujesz %s dodatkowych P¯. (Nie mo¿na przekroczyæ %s%% twoich maks. P¯.)
zts314e	Otrzymujesz dodatkowe %s PM. (Nie mog¹ przekroczyæ %s%% twoich maksymalnych PM.)
zts315e	Specjalna procedura
zts316e	Specjalne obra¿enia
zts317e	Prawdopodobieñstwo szczególnie krytycznego ataku.
zts318e	Zwiêksza obra¿enia przeciwko: %s o %s.
zts319e	Jeœli %s zaatakuje gracza, obra¿enia zostan¹ zmniejszone o %s.
zts320e	Szansa na cios krytyczny w %s zostaje zwiêkszona o %s.
zts321e	Gdy %s zaatakuje gracza, szansa na cios krytyczny maleje o %s.
zts322e	Wzmocnienie
zts323e	Zastosuj/Przerwij wzmocnienie
zts324e	Odpornoœæ na okreœlone grupy wzmocnieñ
zts325e	Przeniesienie wzmocnienia w celu zwiêkszenia okreœlonego poziomu.
zts326e	Specjalna odpornoœæ
zts327e	Rozwi¹¿ okreœlon¹ grupê
zts328e	Z prawdopodobieñstwem %s%% wytwarza %s.
zts329e	Z prawdopodobieñstwem %s%% zostanie usuniêty %s.
zts330e	Wysokie prawdopodobieñstwo zapobie¿enia negatywnemu efektowi.
zts331e	Zadaje %s obiektom w pobli¿u powy¿ej poziomu %s.
zts332e	Zadaje %s obiektom w pobli¿u poni¿ej poziomu %s.
zts333e	Generuje odpornoœæ na konkretny efekt.
zts334e	Usuñ efekty dla konkretnej grupy.
zts335e	Usuwa skutki zatrucia dla wybranego celu lub grupy.
zts336e	Przywo³ania
zts337e	Przywo³ania œmierci
zts338e	Przywo³ania potworów
zts339e	Przywo³anie atrapy treningowej
zts340e	Czasowe przywo³ania
zts341e	Przywo³ania duchów
zts342e	Przywo³uje po œmierci %s z %s potworów.
zts343e	Przywo³uje po œmierci %s z prawdopodobieñstwem %s%.
zts344e	Przywo³uje %s razy %s.
zts345e	Z prawdopodobieñstwem %s%% zostanie przywo³any %s.
zts346e	Przywo³uje %s z %s potworów. (Atrapa do æwiczeñ)
zts347e	Z prawdopodobieñstwem %s%% zostanie przywo³any %s. (Atrapa treningowa)
zts348e	Przywo³uje %s z %s potworów. (Znikaj¹ po jakimœ czasie.)
zts349e	Z prawdopodobieñstwem %s%% zostanie przywo³any %s. (Znika po jakimœ czasie.)
zts350e	Przywo³uje ducha z %s PM z %s potworów.
zts351e	Przywo³uje ducha z %s PM z prawdopodobieñstwem %s%%.
zts352e	Specjalne efekty
zts353e	Krzyk
zts354e	Zmiana nielubianych ataków.
zts355e	Kac
zts356e	Tryb PvP
zts357e	Opuœciæ t³o.
zts358e	O %s%% zmniejsza P¯ przeciwnika, który ciê pokona³.
zts359e	O %s%% zwiêksza P¯ przeciwnika, który ciê pokona³.
zts360e	Zmiana na ulubiony atak z prawdopodobieñstwem %s%%.
zts361e	Zmiana na nielubiany atak z prawdopodobieñstwem %s%%.
zts362e	wygadywane s¹ g³upoty
zts363e	Mo¿liwoœæ walki z graczami w trybie PvP
zts364e	Pojawia siê zarys postaci.
zts365e	Schwytanie
zts366e	Chwytanie zwierz¹t
zts367e	Chwytaj zwierzêta o ni¿szym poziomie od twojego, aby nastêpnie sta³y siê twoimi domowymi zwierzakami.
zts368e	Specjalny atrybut: Obra¿enia i Wybuchy
zts369e	Ognisty wybuch
zts370e	Wybuch otoczenia
zts371e	Atak otoczenia
zts372e	Z prawdopodobieñstwem %s%% dojdzie do eksplozji, która zada %s pkt obra¿eñ.
zts373e	Wybuch zadaje obra¿enia w obrêbie %s pól w wysokoœci %s.
zts374e	Z prawdopodobieñstwem %s%% zadaje obra¿enia w pobliskich %s komórkach.
zts375e	Specjalne efekty 2
zts376e	Kpina
zts377e	Teleport
zts378e	Wzmocnienie broni g³ównej
zts379e	Wzmocnienie broni dodatkowej
zts380e	Z³y towarzysz
zts381e	Skupia na tobie uwagê przeciwnika.
zts382e	Uwolnij siê od zainteresowania przeciwnika.
zts383e	Teleportuje ciê na dystans %s komórek.
zts384e	Przy u¿yciu broni g³ównej z prawdopodobieñstwem %s%% generuje %s.
zts385e	Przy u¿yciu broni drugorzêdnej z prawdopodobieñstwem %s%% generuje %s .
zts386e	Pewne grupy potworów omy³kowo uznaj¹ ciê za przyjaciela.
zts387e	Obliczanie poziomu
zts388e	Poziom ataku 0
zts389e	Poziom obrony 0
zts390e	Obliczony poziom ataku 0
zts391e	Obliczony poziom obrony 0
zts392e	Regeneracja
zts393e	Zmiana regeneracji P¯.
zts394e	Zmiana regeneracji PM.
zts395e	Regeneracja P¯ zostaje zwiêkszona o %s.
zts396e	Regeneracja P¯ zostaje zmniejszona o %s.
zts397e	Regeneracja PM zostaje zwiêkszona o %s.
zts398e	Regeneracja PM zostaje zmniejszona o %s.
zts399e	Maksymalne P¯/PM
zts400e	Zmiana maksymalnych P¯.
zts401e	Zmiana maksymalnych PM.
zts402e	Maksymalna iloœæ P¯ zostaje zwiêkszona o %s.
zts403e	Maksymalna iloœæ P¯ zostaje zmniejszona o %s.
zts404e	Maksymalna iloœæ PM zostaje zwiêkszona o %s.
zts405e	Maksymalna iloœæ PM zostaje zmniejszona o %s.
zts406e	Potêguje si³ê ataku.
zts407e	Potêguje ³¹czn¹ si³ê ataków.
zts408e	Potêguje si³ê ataków krótkodystansowych.
zts409e	Potêguje si³ê ataków d³ugodystansowych.
zts410e	Potêguje si³ê magicznych ataków.
zts411e	Si³a wszystkich ataków zostaje zwiêkszona %s-krotnie.
zts412e	Si³a wszystkich ataków zostaje zmniejszona %s-krotnie.
zts413e	Si³a ataków krótkodystansowych zostaje zwiêkszona %s-krotnie.
zts414e	Si³a ataków krótkodystansowych zostaje zmniejszona %s-krotnie.
zts415e	Si³a ataków d³ugodystansowych zostaje zwiêkszona %s-krotnie.
zts416e	Si³a ataków d³ugodystansowych zostaje zmniejszona %s-krotnie.
zts417e	Si³a ataków magicznych zostaje zwiêkszona %s-krotnie.
zts418e	Si³a ataków magicznych zostaje zmniejszona %s-krotnie.
zts419e	Potêguje si³ê obrony.
zts420e	Potêguje wszystkie si³y obrony.
zts421e	Pomna¿a obronê ataków krótkodystansowych.
zts422e	Pomna¿a obronê ataków d³ugodystansowych.
zts423e	Pomna¿a obronê magiczn¹.
zts424e	Wszystkie obrony zostaj¹ zwiêkszone %s-krotnie.
zts425e	Wszystkie obrony zostaj¹ zmniejszone %s-krotnie.
zts426e	Si³a obrony krótkodystansowej zostaje zwiêkszona %s-krotnie.
zts427e	Si³a obrony krótkodystansowej zostaje zmniejszona %s-krotnie.
zts428e	Si³a obrony d³ugodystansowej zostaje zwiêkszona %s-krotnie.
zts429e	Si³a obrony d³ugodystansowej zostaje zmniejszona %s-krotnie.
zts430e	Si³a obrony magicznej zostaje zwiêkszona %s-krotnie.
zts431e	Si³a obrony magicznej zostaje zmniejszona %s-krotnie.
zts432e	Umiejêtnoœci krêgu czasu
zts433e	Zbierz energiê
zts434e	Zabezpiecz P¯
zts435e	Zabezpiecz PM
zts436e	Anuluj wszystkie wzmocnienia
zts437e	Nie mo¿na u¿yæ przedmiotu.
zts438e	Zbierz %s pkt do nastêpnego ataku.
zts439e	Brak zu¿ycia P¯
zts440e	Brak regeneracji P¯
zts441e	Brak zu¿ycia PM
zts442e	Brak regeneracji PM
zts443e	Przerywa wszystkie wzmocnienia.
zts444e	Nie mo¿na u¿yæ przedmiotu.
zts446e	Odnowa P¯ w %
zts447e	Regeneracja PM w %
zts448e	Odzyskano %s%% P¯.
zts449e	P¯ zostaj¹ zmniejszone o %s%%.
zts450e	Odzyskano %s%% PM.
zts451e	PM zostaj¹ zmniejszone o %s%%.
zts452e	Liczenie
zts453e	Po policzeniu przywo³aj potwory.
zts454e	Przywo³uje %s z %s potworów, gdy PM spadn¹ do 0.
zts455e	Przywo³uje %s z prawdopodobieñstwem %s%%, gdy PM spadn¹ do 0.
zts456e	Brak pora¿ek i zero obra¿eñ
zts457e	To nie zwyciêstwo i nie klêska
zts458e	Niemo¿noœæ otrzymywania i zadawania obra¿eñ
zts459e	Si³a obserwacji
zts460e	Zmniejsza P¯, ale nie umiera.
zts461e	Zmniejsza P¯, ale nie zabija.
zts462e	Nigdy nie otrzymuje obra¿eñ.
zts463e	Nigdy nie zadaje obra¿eñ.
zts464e	Si³a ataku przeciwnika staje siê twoj¹ si³¹.
zts465e	Specjalne akcje
zts466e	Przepychanka
zts467e	Poci¹gnij
zts468e	Poœpiech
zts469e	Ucieczka
zts470e	Ukrycie
zts471e	Odepchnij swojego przeciwnika %s komórki w ty³.
zts472e	Przyci¹gnij do siebie przeciwnika, który znajduje siê w zasiêgu %s x komórki.
zts473e	Szar¿uj na przeciwników w zasiêgu %s komórek.
