zts1e	New Item
zts128e	Finished to a high quality.[n][n]
zts129e	Leather Shoes
zts130e	Shoes made of leather.[n][n]
zts131e	Roller Skates
zts132e	Can slide very fast.[n]Originally used for dancing.[n][n]
zts133e	Master's Sword
zts134e	This sword is used by experienced adventurers.[n][n]
zts135e	Master's Catapult
zts136e	Experienced adventurers use this weapon after completing their basic training.[n][n]
zts137e	Beginner's Crossbow
zts138e	Secondary weapon for trainee Swordsmen.[n][n]
zts139e	Oak Crossbow
zts140e	Sturdy crossbow made of oak.[n][n]
zts141e	Fairy Crossbow
zts142e	The forest guardian's crossbow with an increased hit rate.[n][n]
zts143e	Slim Gloves
zts144e	Useless.[n][n]
zts145e	Rubber Gloves
zts146e	Coated gloves.[n]Make carrying even the heaviest of items child's play.[n][n]
zts147e	Steel Crossbow
zts148e	A heavy crossbow made out of steel. Increases attack power.[n][n]
zts149e	Masterpiece Crossbow
zts150e	This luxurious and well-balanced crossbow is a work of genius from a renowned blacksmith.[n][n]
zts151e	Shadow Crossbow
zts152e	An everyday crossbow with a comfortable grip which is surrounded by a dark aura.[n][n]
zts153e	Beechwood Crossbow
zts154e	The meticulous attention to detail in this weapon's construction makes it easy to reload it quickly.[n][n]
zts155e	Crossbow of Courage
zts156e	The spirits of the noble-minded swordsmen who once carried this weapon increase its owner's morale.[n][n]
zts157e	Beginner's Dagger
zts158e	Secondary weapon for trainee Archers.[n][n]
zts159e	Dagger
zts160e	A common-looking dagger that is made out of steel.[n][n]
zts161e	Dirk of Ordeals
zts162e	In perilous situations, this dagger increases the chance of landing a critical hit.[n][n]
zts163e	Refined Dirk
zts164e	A decorated dagger with increased attack power.[n][n]
zts165e	Masterpiece Dirk
zts166e	This luxurious and well-balanced dagger is a work of genius from a renowned blacksmith.[n][n]
zts167e	Brazen Dagger
zts168e	A regular dagger made of bronze.[n][n]
zts169e	Ruby Dagger
zts170e	This ruby-studded dagger is the pride of any self-respecting Archer.[n][n]
zts171e	Dagger of Spirit
zts172e	Filled with spiritual energy, this dagger uses all the elements.[n][n]
zts173e	Beginner's Spell Gun
zts174e	Secondary weapon for trainee Sorcerers.[n][n]
zts175e	Small Spell Gun
zts176e	A small and not very powerful weapon, particularly suited to learners of magic.[n][n]
zts177e	Magic Spell Gun
zts178e	This weapon exudes an aura of white magic, leaving black magic no chance to destroy it.[n][n]
zts179e	Gold Spell Gun
zts180e	Adorned conspicuously in gold, it attracts the attention of sorcerers of all shades and is highly coveted as a result.[n][n]
zts181e	Masterpiece Spell Gun
zts182e	This weapon is the masterpiece of a famous blacksmith. Thanks to its high stability and attack power, you can deal some serious damage to your enemies with it.[n][n]
zts183e	Brass Spell Gun
zts184e	A heavy but durable weapon made of brass.[n][n]
zts185e	Dignified Spell Gun
zts186e	Noble-minded sorcerers find this weapon particularly appealing because it increases magic attacks.[n][n]
zts187e	Spell Gun of Shadows
zts188e	This powerful weapon deals serious damage to enemies.[n][n]
zts189e	Trainee Swordsman's Armour
zts190e	Part of every Swordsman's basic kit.[n][n]
zts191e	Padded Armour
zts192e	Padded armour with weak defence power.[n][n]
zts193e	Quilted Armour
zts194e	Multiple layers of quilted cotton,[n]light and warm.[n][n]
zts195e	Leather Armour
zts196e	A piece of armour made of tanned leather.[n][n]
zts197e	Armour of Stamina
zts198e	Increases power and stamina.[n][n]
zts199e	Studded Leather Armour
zts200e	Leather armour reinforced with pieces of metal.[n]Does not provide much defence power.[n][n]
zts201e	Reinforced Leather Armour
zts202e	Two-layered armour made of tanned leather.[n]Light as a feather with high defence power.[n][n]
zts203e	Scale Armour
zts204e	Made out of metal scales.[n][n]
zts205e	Armour of Morale
zts206e	This armour improves your morale.[n][n]
zts207e	Plate Armour
zts208e	A suit of armour reinforced with metal plates.[n][n]
zts209e	Golden Rivet Armour
zts210e	A beautifully decorated piece of armour with golden rivets.[n]It may be heavy but it greatly increases magic defence.[n][n]
zts211e	Brigandine
zts212e	This armour has more densely packed steel than Plate Armour.
zts213e	Armour of Valour
zts214e	Increases attack power.[n][n]
zts215e	Trainee Archer's Tunic
zts216e	Part of every Archer's basic kit.[n][n]
zts217e	Lambskin Tunic
zts218e	A tunic made of lambskin.[n][n]
zts219e	Velour Tunic
zts220e	Comfortable artificial leather.[n]Slightly increases the probability of critical hits for all weapons.[n][n]
zts221e	Goat Leather Tunic
zts222e	A tunic made from goat's leather.[n][n]
zts223e	Tunic of Evasion
zts224e	It feels some comfortable and light, it's almost as if you weren't wearing any armour.[n]Leaves you more agile and better able to dodge melee attacks.[n][n]
zts225e	Calfskin Tunic
zts226e	A tunic made of calfskin.[n][n]
zts227e	Suede Tunic
zts228e	A warm and comfortable tunic made of soft leather.[n]Restores HP and MP.[n][n]
zts229e	Cow Leather Tunic
zts230e	A tunic made of cow leather.[n][n]
zts231e	Eagle-Eyed Tunic
zts232e	The improved vision increases your attack power.[n][n]
zts233e	Peccary Tunic
zts234e	A tunic made of pig leather.[n][n]
zts235e	Nubuck Tunic
zts236e	Soft yet rough cow leather.[n]Protects you in melee combat.[n][n]
zts237e	Tuscany Tunic
zts238e	Lined with soft fur.[n][n]
zts239e	Spirit Tunic
zts240e	This tunic is under the protection of spirits and provides high defensive stats.[n][n]
zts241e	Trainee Sorcerer's Robe
zts242e	Part of every Sorcerer's basic kit.[n][n]
zts243e	Cotton Robe
zts244e	A robe made of cotton.[n][n]
zts245e	Magic Cotton Robe
zts246e	Surrounds you with magic.[n]Restores HP.[n][n]
zts247e	Linen Robe
zts248e	A thin robe from tightly woven fibres.[n]Blocks ranged attacks.[n][n]
zts249e	Recovery Robe
zts250e	Sharpens your mind.[n]Restores MP and blocks melee attacks.[n][n]
zts251e	Tweed Robe
zts252e	A robe made of durable tweed.[n]It protects you from melee attacks and is fire resistant.[n][n]
zts253e	Reinforced Linen Robe
zts254e	The robe, made of cotton and linen, increases resistance.[n]It also cushions the impact of melee hits.[n][n]
zts255e	Muslin Robe
zts256e	A light, warm, and elastic robe.[n][n]
zts257e	Elemental Robe
zts258e	Increases all element resistances.[n][n]
zts259e	Silk Robe
zts260e	A luxurious robe made of silk.[n][n]
zts261e	Chequered Robe
zts262e	Its unusual pattern increases magic effects.[n][n]
zts263e	Herringbone Robe
zts264e	The elegant pattern makes the wearer look like an intellectual.[n][n]
zts265e	Robe of Darkness
zts266e	Dooms those who attack you.[n][n]
zts267e	Old Adventurers' Cloak
zts268e	Popular among older adventurers.[n][n]
zts269e	Kovolt Mask (GM)
zts270e	Gladius
zts271e	A short sword for gladiators.[n]Increases morale and the chance of inflicting critical hits.[n][n]
zts272e	Walloon Sword
zts273e	A regular steel sword.[n][n]
zts274e	Viking Sword
zts275e	A sabre imbued with dark energy for steadfast warriors.[n][n]
zts276e	Cutlass
zts277e	Those who use this sword will experience higher morale.[n][n]
zts278e	Katzbalger
zts279e	Increases the chance of critical hits and amplifies damage.[n][n]
zts280e	Knight's Sword
zts281e	A blade for brave knights infused with the energy of light.[n][n]
zts282e	Slayer
zts283e	Deals critical damage with its dark powers.[n][n]
zts284e	Bow of Life
zts285e	A narrow bow which can inflict critical damage.[n][n]
zts286e	Flame Bow
zts287e	A bow with the fire element.[n][n]
zts288e	Synthetic Bow
zts289e	A tough and deadly bow.[n][n]
zts290e	Double Bow
zts291e	The bow causes extra damage by harnessing the light element.[n][n]
zts292e	Wild Bow
zts293e	Filled with dark energy it makes you fearless.[n][n]
zts294e	Large Bow
zts295e	This bow inflicts great damage on your enemies with the help of the water element.[n]
zts296e	Siege Bow
zts297e	Using the fire element it inflicts increased critical damage.[n][n]
zts298e	Magic Wand of Life
zts299e	Invigorates the bearer with the energy of life.[n][n]
zts300e	Magic Wand of Flame
zts301e	Increases fire element but simultaneously reduces water element.[n][n]
zts302e	Ice Wand
zts303e	The pure concentrated energy of water transforms this wand into a powerful weapon.[n][n]
zts304e	Loon's Wand
zts305e	A spell has been cast on this wand to increase damage.[n][n]
zts306e	Magic Spell Wand
zts307e	This wand draws its power from two different energy sources which greatly reduces MP consumption.[n][n]
zts308e	Holy Wand
zts309e	The holy powers increase resistance to the forces of evil and give Sorcerers dedicated to good magic extraordinary powers.[n][n]
zts310e	Soul Wand
zts311e	A powerful spiritual force protects the bearer of this weapon.[n][n]
zts312e	Combat Crossbow
zts313e	This deadly crossbow was made for battle.[n][n]
zts314e	Siege Crossbow
zts315e	This weapon fires arrows charged with the fire element.[n][n]
zts316e	Highlander Dirk
zts317e	A dangerous dagger which provides a high chance of critical hits.[n][n]
zts318e	Poignard Dagger
zts319e	A dagger filled with dark energy.[n][n]
zts320e	Normal Spell Gun
zts321e	A spell gun with an extremely high attack power.[n][n]
zts322e	Bronze Spell Gun
zts323e	This spell gun makes use of the water element.[n][n]
zts324e	Durable Armour
zts325e	Some extremely strong armour.[n][n]
zts326e	Hard Leather Armour
zts327e	Armour with high defensive stats and fire resistance.[n][n]
zts328e	Victor's Armour
zts329e	Can block ranged attacks.[n][n]
zts330e	Guardian Armour
zts331e	Reduces damage from melee attacks.[n][n]
zts332e	Knight's Armour
zts333e	Armour for knights which has high evasion and blocking potential.[n][n]
zts334e	Stone Armour
zts335e	Special armour with the ability to both absorb and block damage.[n][n]
zts336e	Flash Tunic
zts337e	Improves ranged and magic defence.[n][n]
zts338e	Tunic of Nature
zts339e	Filled with the energy of nature this tunic increases HP and MP.[n][n]
zts340e	Sharkskin Tunic
zts341e	Blocks melee and magic attacks.[n][n]
zts342e	Breath Tunic
zts343e	Permeated with the breath of death.[n][n]
zts344e	Wind Tunic
zts345e	Blocks all types of attack.[n][n]
zts346e	Dryad Tunic
zts347e	Contains all elemental powers and resistances.[n]Reduces mana consumption.[n][n]
zts348e	Beginner's Robe
zts349e	Improves melee and ranged defence.[n][n]
zts350e	Soft Robe
zts351e	Blocks ranged attacks.[n][n]
zts352e	Robe of Clarity
zts353e	Great for melee defence and resistant to fire.[n][n]
zts354e	Patterned Robe
zts355e	Provides light and water resistance.[n][n]
zts356e	Magic Robe
zts357e	Decreases the caster's mana consumption.[n][n]
zts358e	Robe of Origins
zts359e	Block all attacks with a certain probability.[n][n]
zts360e	Amulet of Attack Level
zts361e	Amulet of Defence Level
zts362e	Amulet of Attack and Defence Levels
zts363e	Amulet of Attack Power
zts364e	Amulet of Defence
zts365e	Amulet of Healing
zts366e	Amulet of Fire Resistance
zts367e	Amulet of Light Resistance
zts368e	Amulet of Water Resistance
zts369e	Amulet of Shadow Resistance
zts370e	Amulet of Resistance
zts371e	Amulet of Critical Hits
zts372e	Amulet of Critical Damage
zts373e	Amulet of Physical Absorption
zts374e	Amulet of Magic Absorption
zts375e	Amulet of Ranged Absorption
zts376e	Amulet of All Attack Absorption
zts377e	Amulet of Physical Blocking
zts378e	Amulet of Magic Blocking
zts379e	Amulet of Ranged Blocking
zts380e	Headband
zts381e	Protects the head from powerful attacks.[n][n]
zts382e	Soft Hat
zts383e	A soft hat.[n][n]
zts384e	Leaves for Disguise
zts385e	They don't seem to be particularly useful.[n][n]
zts386e	Mandra Ear Defenders
zts387e	They wrap tightly around your ears.[n]Provide a chance of protection from the Mandra's scream.[n][n]
zts388e	Hippo Hat
zts389e	A very soft hippo-shaped hat.[n]Provides a high chance of protection from Blackouts.[n][n]
zts390e	Smart Glasses
zts391e	Kovolt Mask
zts392e	This mask disguises you as a Kovolt.[n]Even if you attack a Kovolt miner, other Kovolts will not attack you.[n]
zts393e	Antler Hat
zts394e	Increases HP.[n]Provide a chance of protection from the Mandra's scream.[n][n]
zts395e	Plunger Hat
zts396e	Head Gear
zts397e	Provides a high chance of protection from Bleeding.[n][n]
zts398e	Feelers
zts399e	Oracle's Headband
zts400e	Funny Fish Hat
zts401e	Beanie Hat
zts402e	Water Buffalo Horn
zts403e	Rectangular Glasses
zts404e	Winking Mask
zts405e	Bat Mask
zts406e	Monocle
zts407e	X Mask
zts408e	Beard and Make-up
zts409e	Amulet for Blocking All Attacks
zts410e	Amulet of Fire
zts411e	Amulet of Water
zts412e	Amulet of Light
zts413e	Amulet of Shadow
zts414e	Amulet for Increasing Dark Energy
zts415e	Little Chick
zts417e	Dancing Chicky
zts418e	Grumbly Chicky
zts419e	Amulet of Betting Protection (Weapon)
zts420e	If you lose when gambling and have this amulet with you,[n]you will lose the amulet rather than the weapon.[n](Can be used up to three times)[n][n]
zts421e	Amulet of Betting Protection (Equipment)
zts422e	If you lose when gambling and have this amulet with you,[n]you will lose the amulet rather than the equipment.[n](Can be used up to three times)[n][n]
zts423e	Amulet for Increasing Rarity
zts424e	When you have this with you, the rarity level when gambling will be increased by 1.[n](No failure)[n][n]
zts425e	Amulet for Improving Fixed-Level Weapons
zts426e	Using this item you can improve your fixed-level weapon[n]with the standard probability.[n]There is a chance of receiving the fixed level again.[n]Otherwise the level will be released upon successful improvement.[n][Note][n]If the improvement fails, the item may disappear.[n](Can be used up to two times)[n][n]
zts427e	Amulet of Reinforced Equipment
zts428e	Using this item you can improve your fixed-level armour[n]with the standard probability.[n]There is a chance of receiving the fixed level again.[n]Otherwise the level will be released upon successful improvement.[n][Note][n]If the improvement fails, the item may disappear.[n](Can be used up to two times)[n][n]
zts429e	Elvin's Sword
zts430e	This sword is surrounded by a holy aura.[n][n]
zts431e	Glorious Sabre
zts432e	Replete with all elements and resistances, this sabre is an extremely useful weapon for any Swordsman.[n][n]
zts433e	Broken Elemental Sword
zts434e	A blow from this sword reduces your enemy's elemental resistance and the damage from critical hits.[n][n]
zts435e	Red Bow
zts436e	Leeches HP from the enemy[n]and increases melee attack power.[n][n]
zts437e	Bow of Peace
zts438e	The power of nature increases damage.[n][n]
zts439e	Majestic Bow
zts440e	All elements protect the bearer of this weapon from magic attack damage.[n][n]
zts441e	Red Sage Wand
zts442e	This magic wand is powered by the fire element and steal enemies' souls.[n][n]
zts443e	Ghost Whisper Wand
zts444e	The power of the spirits dwelling within this wand nullify enemies' elemental resistances and transform this into additional energy to strengthen its bearer.[n][n]
zts445e	Majestic Wand
zts446e	Wise people carry a weapon like this with them for their own protection.[n][n]
zts447e	Blue Robe of the Wise
zts448e	Trial Robe
zts449e	Solaris
zts450e	This lovely pet increases its owner's attack power by 30% using the power of the light element.[n][n]
zts451e	Sellaim
zts452e	The fire fairy grows to level 70.[n]Cannot be traded with other players![n][n]
zts453e	Woondine
zts454e	The water fairy grows to level 70.[n]Cannot be traded with other players![n][n]
zts455e	Eperial
zts456e	The light fairy grows to level 70.[n]Cannot be traded with other players![n][n]
zts457e	Turik
zts458e	The shadow fairy grows to level 70.[n]Cannot be traded with other players![n][n]
zts459e	Grown Sellaim
zts460e	Grown Woondine
zts461e	Grown Eperial
zts462e	Grown Turik
zts463e	Blessing Amulet
zts465e	Protection Amulet
zts467e	Amulet of Reinforcement
zts468e	Can reinforce fixed-level equipment.[n]It does not protect it from destruction, however. You require an extra Equipment Protection Scroll for this. Normally used for weapons and equipment.[n](Can be used 3 times)[n][n]
zts469e	Pet Bead
zts470e	Using this item you can[n]place your NosMate in a bead[n]and store it in your inventory[n]or warehouse.[n]NosMates in beads can be[n]traded with other players.[n][n][Instructions][n]Select your NosMate and[n]double-click on the bead.[n][n][Note][n]Your NosMate's name will be lost[n]when you store it in this bead.[n]If your NosMate's level is higher than yours,[n]you can release it in your Miniland[n]but it cannot accompany you[n]on missions.[n][n]
zts471e	Partner Bead
zts472e	Using this item you can[n]place your partner in a bead[n]and store it in your inventory[n]or warehouse.[n]Partners in beads can be[n]traded with other players.[n][n][Instructions][n]Select your partner and[n]double-click on the bead.[n][n][Note][n]Your partner's name will be lost[n]when you store it in this bead.[n]If your partner's level is higher than yours,[n]you can release it in your Miniland[n]but it cannot accompany you[n]on missions.[n][n]
zts473e	Specialist Card Holder
zts474e	Used for storing a Specialist Card.[n]Can be traded between players.[n][Instructions][n]First put on the Specialist Card that you want to store.[n]Then double-click on the Card Holder to remove the Specialist Card and store it inside.[n]Double-click on the Card Holder to take the Specialist Card back out again.[n][Note][n]If the Specialist Card has any outstanding skill points, these need to be assigned in order to store the card successfully.[n]The Card Holder will disappear when you take the Specialist Card out again.[n][n]
zts475e	NosMall Inauguration Amulet
zts476e	Scrammer
zts477e	Kris
zts478e	Winslet Crossbow
zts479e	Balenty Crossbow
zts480e	Plaz Spell Gun
zts481e	Ray Spell Gun
zts482e	Sentinel Look
zts483e	Robe of Light
zts484e	Brave Defender
zts485e	Splendid Defender
zts486e	Flamberge
zts487e	A powerful sword which can inflict incredible damage.[n][n]
zts488e	Piercing Force Bow
zts489e	This bow can inflict serious damage on certain monsters.[n][n]
zts490e	Kai's Wand
zts491e	Used by outstanding Sorcerers.[n][n]
zts492e	Raid Box
zts493e	What could be in this chest?[n]Double-click it to find out.[n]If you get an equipment item, it will have the same rarity level as the chest.[n][n]
zts494e	Noble Orichalcum Necklace
zts495e	Ancient Orichalcum Necklace
zts496e	Noble Orichalcum Ring
zts497e	Ancient Orichalcum Ring
zts498e	Noble Orichalcum Bracelet
zts499e	Ancient Orichalcum Bracelet
zts500e	Ancient Crystal Necklace
zts501e	Ancient Crystal Ring
zts502e	Ancient Crystal Bracelet
zts503e	Ancient Diamond Necklace
zts504e	Ancient Diamond Ring
zts505e	Ancient Diamond Bracelet
zts506e	Flame Gloves
zts507e	Storm Gloves
zts508e	Divine Gloves
zts509e	Death Gloves
zts510e	Blaze Shoes
zts511e	Wave Shoes
zts512e	Sparkle Shoes
zts513e	Shadow Shoes
zts514e	Radal's Red Ring
zts515e	One of the two rings Radal cherished when he was alive. This item is used for important missions.[n][n]
zts516e	Radal's Blue Ring
zts517e	Insoluble Gloves
zts518e	These gloves are resistant to acid and barely oxidise.[n][n]
zts519e	Simple Gold Necklace
zts520e	Refined Gold Necklace
zts521e	Silver Ring
zts522e	Fashionable Bracelet
zts523e	Ancient Mano Necklace
zts524e	Ancient Mano Ring
zts525e	Ancient Mano Bracelet
zts526e	Noble Mano Necklace
zts527e	Noble Mano Ring
zts528e	Noble Mano Bracelet
zts529e	Luxurious Mano Bracelet
zts530e	Cat's Eye Necklace
zts531e	Cat's Eye Ring
zts532e	Cat's Eye Bracelet
zts533e	Noble Cat's Eye Necklace
zts534e	Noble Cat's Eye Ring
zts535e	Noble Cat's Eye Bracelet
zts536e	Luxurious Cat's Eye Necklace
zts537e	Luxurious Cat's Eye Bracelet
zts538e	Crystal Necklace
zts539e	Crystal Ring
zts540e	Crystal Bracelet
zts541e	Noble Crystal Necklace
zts542e	Noble Crystal Ring
zts543e	Noble Crystal Bracelet
zts544e	Luxurious Crystal Ring
zts545e	Luxurious Crystal Bracelet
zts546e	Diamond Necklace
zts547e	Diamond Ring
zts548e	Diamond Bracelet
zts549e	Noble Diamond Necklace
zts550e	Noble Diamond Ring
zts551e	Noble Diamond Bracelet
zts552e	Luxurious Diamond Necklace
zts553e	Luxurious Diamond Ring
zts554e	Luxurious Diamond Bracelet
zts555e	Light Gloves
zts556e	Light but durable gloves[n]Slightly increases evasion.[n][n]
zts557e	Silk Gloves
zts558e	Soft and luxurious gloves and filled with magic spirit.[n]Increases magic attack power.[n][n]
zts559e	Magic Gloves
zts560e	Filled with a magic spirit which increases MP.[n][n]
zts561e	Light Gauntlets
zts562e	These gloves provide better melee defence than others.[n][n]
zts563e	Fast Gloves
zts564e	Being highly streamlined, you can move faster thanks to the reduced wind resistance.[n][n]
zts565e	Battle Gauntlets
zts566e	These provide better melee defence than regular gloves.[n][n]
zts567e	Chain Gauntlets
zts568e	Highly popular among swordsmen.[n][n]
zts569e	Flash Gloves
zts570e	Light Boots
zts571e	Light boots which reach up to your ankles.[n][n]
zts572e	Fast Shoes
zts573e	Increases your movement speed[n]but have no effect on defence power.[n][n]
zts574e	Chain Boots
zts575e	Boots with high defence power.[n][n]
zts576e	Leather Boots
zts577e	These boots were made from the skin of an ancient demon.[n]Absorb magic attacks.[n][n]
zts578e	Steel Boots
zts579e	Protective Boots
zts580e	Wind Boots
zts581e	Heavy Metal Boots
zts582e	Oven Mitts
zts583e	Protect your hands from hot objects.[n][n]
zts584e	Shining Gloves
zts585e	You will be protected from a spirit of the light.[n][n]
zts586e	Wind Gloves
zts587e	These gloves feel as though a light breeze were blowing over your hands.[n]Provide evasion power.[n][n]
zts588e	Gloves of Resistance
zts589e	Shadow Gloves
zts590e	Filled with dark energy.[n][n]
zts591e	Black Shoes
zts592e	Water Shoes
zts593e	Provide additional water resistance.[n][n]
zts594e	Punk Boots
zts595e	Filled with the energy of light.[n][n]
zts596e	Flame Boots
zts597e	Filled with the energy of the flames.[n][n]
zts598e	Deep Sea Boots
zts599e	Shrouded in dark energy[n]with increase light resistance.[n][n]
zts600e	Fire Fairy
zts601e	Elemental Fairy[n][n]The longer you have this fairy by your side in combat, the stronger her elemental attack power becomes.[n](against monsters +/-15 levels)[n]This is added to your character's elemental power.[n]The fairy can increase your elemental power by up to 50%.[n][n]
zts602e	Water Fairy
zts603e	Light Fairy
zts604e	Shadow Fairy
zts605e	Pyjama Specialist Card
zts606e	Hey, let's just enjoy life.[n]What's the hurry? Relax![n][n]
zts607e	Warrior Specialist Card
zts608e	Specialist Card - Fire Element[n][n]Dominate the battlefield with the might of the sword. The furious fighting style of these daring sword fighters gives even the strongest opponents second thoughts in close combat.[n][n]
zts609e	Ninja Specialist Card
zts610e	Specialist Card - Water Element[n][n]The eyes of these sword fighters well up with hatred. Anyone who gets in the way of these mighty warriors is liable to become acquainted with the business end of their swords.[n][n]
zts611e	Ranger Specialist Card
zts612e	Specialist Card - Water Element[n][n]Rangers initiate fights by firing a deadly rain of arrows on their opponents. Taking advantage of speed and the element of surprise, the enemy never sees the attack coming.[n][n]
zts613e	Assassin Specialist Card
zts614e	Specialist Card - Shadow Element[n][n]A fierce and bloodthirsty warrior hides behind the calm exterior of this mask. Enemies who spot him in their vicinity would do well not to take their eyes off him.[n][n]
zts615e	Red Magician Specialist Card
zts616e	Specialist Card - Fire Element[n][n]These magicians are the very embodiment of destruction and demise. Their destructive power has its roots in the most powerful of fire spells.[n][n]
zts617e	Holy Mage Specialist Card
zts618e	Specialist Card - Light Element[n][n]The guardians of light, order and balance. These wise mages act according to Erenia's divine will, using the power of good to defeat their enemies.[n][n]
zts619e	Weapon for Partner (Melee)
