zts1e	Servizio migliore
zts45e	La familiarità del compagno raggiunge il massimo.[n]Il livello aggiuntivo è migliorato di 1.[n] E' disponibile solo quando il livello dell'animale è di 5 livelli più bassi di quello del giocatore [n] (Se il giocatore  è al Lv.50, potrà essere migliorato fino al Lv. 45)[n]
zts46e	Non lasciare il tuo animale domestico
zts47e	Perla animale domestico
zts48e	Puoi collocare il tuo NosMate in una perla e custodire quest'ultima nell'Inventario o nel Deposito.[n]Si può scambiare con altri giocatori.[n][Attenzione][n]I valori dell'animale rimangono invariati, ma esso perderà il nome.[n]Se il tuo NosMate dovesse avere un livello più alto del tuo, puoi lasciarlo libero nella Miniland, ma non potrai portarlo con te in missione.[n]
zts49e	Commerciare anche il compagno?
zts50e	Perla per il mantenimento del compagno
zts51e	Con questo oggetto puoi collocare il tuo NosMate in una perla e custodire quest'ultima nell'Inventario o nel Deposito.[n]I NosMate nelle perle possono essere scambiati con altri giocatori.[n][Istruzioni][n]Seleziona il NosMate e clicca due volte sulla perla.[n][Attenzione][n]I valori dell'animale rimangono invariati, ma esso perderà il nome.[n]Se il tuo NosMate dovesse avere un livello più alto del tuo, puoi lasciarlo libero nella Miniland, ma non potrai portarlo con te in missione.[n]
zts52e	Commercia la carta Speciale!
zts53e	Supporto per Carta speciale
zts54e	Puoi mettere 1 carta Speciale.[n]Abilità il commercio o lo scambio con gli altri giocatori nel carrello.[n] Il livello e l'esperienza verrà protetta.[n]
zts55e	Goditi lo Specialista tutte le volte che vuoi!!
zts56e	Caricatore Piccolo Speciale
zts57e	Ricarica HP.[n] Gli SP verranno aumentati di 30.000 in più [n]
zts58e	Ricarica Media Speciale
zts59e	Ricarica HP.[n] Gli SP verranno aumentati di 70.000 in più [n]
zts60e	Sii uno Specialista tutte le volte che vuoi!!
zts61e	Caricatore Grande Speciale
zts62e	Tutti gli HP/MP risanati e gli effetti negativi scompariranno.[n] Gli SP verranno aumentati di 180.000 in più [n]
zts63e	Fai scommesse sicure!
zts64e	Amuleto della benedizione di Dio
zts65e	Puoi prenderlo 3 volte [n] Aumenta la probabilità di successo della scommessa del 10%, e protegge l'arma dal fallimento[n] Può essere usato per l'arma e l'equipaggiamento [n]
zts66e	Scommesse? Ora...non sono nervoso!
zts67e	Amuleto della protezione di Dio
zts68e	Babbo Natale
zts69e	Riutilizza l'equipaggiamento
zts70e	Amuleto per il rinforzo del Lv Bloccato
zts71e	Puoi prenderlo 3 volte[n] Puoi migliorare l'arma anche se il livello è bloccato[n] Può essere usato per l'arma e per l'equipaggiamento [n]
zts72e	Vai a bere!!
zts73e	99 Pozioni complete molto grandi
zts74e	Acquista 99 Pozioni complete Molto grandi[n]
zts78e	Questa pozione è disponibile solo in NosMall!!
zts79e	70 Acque primaverili di Cylloan
zts80e	Recupera 3.000 HP/MP
zts84e	Mi manchi, amico.
zts85e	10 Ali dell'Amicizia
zts86e	Può teletrasportare chiunque sia registrato come amico.[n] Può essere usato solo quando il tuo amico è su un terreno normale.[n]Per teletrasportarti, premi il pulsante nel messenger.[n]
zts87e	Decora te e il tuo compagno!!!
zts88e	Cera dello Spadaccino A, sembra bella!!
zts89e	Quello sopra è un esempio di spadaccino. [n] Per gli arcieri e gli incantatori ci sono altri riferimenti [n] [n] Ye~~ Devo essere diverso dagli altri.  La stessa pettinatura? No grazie~~. Sono unico, così come la mia pettinatura.  Cambia la tua pettinatura con un'arte [n] Gli avventurieri non possono usarlo.
zts90e	Cera dell'Arciere A, ti amo, piccola!!
zts91e	Questo è un esempio dell'arciere.[n]Per i maghi e gli spadaccini esistono altri modelli di riferimento.[n][n]Devo distinguermi dagli altri. La stessa pettinatura? No grazie! Il mio stile è unico, come la mia pettinatura. Rendiamo i capelli un'opera d'arte.[n]Purtroppo, gli avventurieri non possono usarlo.
zts92e	Cera dell'Incantatore A, sei il migliore!!
zts93e	Quello sopra è un esempio di Incantatore. [n] Per gli arcieri e gli spadaccini ci sono altri riferimenti [n] [n] Ye~~ Devo essere diverso dagli altri.  La stessa pettinatura? No grazie~~. Sono unico, così come la mia pettinatura.  Cambia la tua pettinatura con un'arte [n] Gli avventurieri non possono usarlo.
zts94e	Sei davvero un bel tipo!!!
zts95e	Cambio della Cera dello Spadaccino B
zts96e	Quello sopra è un esempio di spadaccino. [n] Per gli arcieri e gli incantatori ci sono altri riferimenti [n] [n] Ye~~ Devo essere diverso dagli altri.  La stessa pettinatura? No grazie~~. Sono unico, così come la mia pettinatura.  Cambia la tua pettinatura con un'arte [n] Gli avventurieri non possono usarlo.
zts97e	Rinascita dell'Arciere, Cera B!
zts98e	Ritorno dell'Incantatore, Cera B!
zts99e	Nuovo Colore per Capelli
zts100e	Colorante rosso per i capelli
zts101e	Desideri avere una testa rossa meravigliosa, usa questo stampo, per colorarla.[n]
zts102e	Crea un colore magnifico per i tuoi capelli!
zts103e	Tinta verde per i capelli
zts104e	Tinte verdi per i capelli.[n]
zts105e	In quale sala dai bellezza è stato fatto?
zts106e	Tinta bianca per i capelli
zts107e	Sbianca i capelli.[n]
zts108e	Rivoluziona il colore dei capelli!
zts109e	Tinta blu per i capelli
zts110e	Tinta blu per i capelli.[n]
zts111e	Il look è molto bello per te
zts112e	Tinta nera per i capelli
zts113e	Tinta nera per i capelli.[n]
zts114e	E' tempo di PR nel gioco.
zts115e	Intruduzione
zts116e	Inserisci una breve introduzione che possono leggere gli altri.[n] (Viene mostrata quando clicchi con il pulsante destro) [n] Inserisci massimo 60 caratteri[n]
zts117e	Invia le parole
zts118e	12 Altoparlanti
zts119e	Inoltra quello che scrivi a tutti i giocatori presenti sul server.[n]Il testo verrà mostrato nella finestra di chat.[n][Istruzioni][n]Fai doppio click sull'altoparlante e inserisci il tuo messaggio.
zts120e	Parole importanti che dovrebbero essere di lunga durata
zts121e	Fumetto
zts122e	Il messaggio rimane visibile per 30 minuti.[n]Il testo non può più essere modificato e scompare quando si esce dal gioco.[n][Istruzioni][n]Fai doppio click sul fumetto e digita il messaggio.[n]Per chiuderlo, digita semplicemente "$close" nella finestra.[n]Se digiti un nuovo messaggio prima di chiudere la finestra, il messaggio precedente scompare.
zts123e	Le ragazze dicono che sono davvero attraente!!
zts124e	Pelle di Bob
zts125e	Dà Bob un buon aspetto [n] e incrementa la velocità di 2.[n] Ma la pelle può sparire quando si tiene la perla del compagno. [n]
zts126e	Haha...Sei caduto per me?
zts127e	Pelle di Tom
zts128e	Dà Tom un buon aspetto [n] e incrementa la velocità di 2.[n] Ma la pelle può sparire quando tiene la perla del compagno. [n]
zts129e	E' il cane della storica famiglia.
zts130e	Pelle di Kliff
zts131e	Dà a Kliff un buon aspetto [n] e incrementa la velocità di 2.[n] Ma la pelle può sparire quando tiene la perla del compagno. [n]
zts132e	Aumento di base di SP per 30 giorni
zts133e	Medaglia dello Specialista
zts134e	Una buona notizia per la gente che diventa specialista per almeno un'ora al giorno[n][n]Gli SP giornalieri saranno 10.000 + 30.000 punti [n] In totale 40.000 punti. (Se non sono completamente utilizzati, il 10% viene risparmiato). Goditi 40.000 punti ogni 30 giorni.
zts135e	Regalo dell'Evento del Compagno segreto
zts136e	Medaglia dell' Amicizia
zts137e	La medaglia dall'evento del compagno Segreto[n] In uso, l'attacco e l'esperienza di lavoro aumentano del 5%.[n] Indossando la medaglia in un gruppo con altre persone che la possiedono,[n]verrà aggiunta esperienza pari al 5%.[n] Può essere usata per 10 giorni.
zts138e	Pensavo fosse abbastanza
zts139e	99 Semi di Potenza
zts140e	Acquistati 99Semi del Caos [n]
zts141e	La mia dignità cade a terra!
zts142e	3 pozioni per la dignità
zts143e	Restituisce 100 Dignità [n]
zts144e	Effettuare l' aggiornamento e scommesse sicure!
zts145e	Attrezzature di protezione a scorrimento
zts146e	Può rafforzare immediatamente la scommessa [n] Anche se il rafforzamento delle scommesse fallisce, l'equipaggiamento non scompare. [n ]Se nella scommessa Il Lv. attuale è più basso del Lv. raro [n] il Lv. attuale è protetto. [n] La finestra comparirà per abilitarti e rafforzare la scommessa immediatamente. [n] [n] Comunemente usato per l'arma e per l'equipaggiamento [n] Uno sarà consumato ogni volta che si rafforza o scommette. [n] [n]
zts147e	Pergamena per annullare il Lv. bloccato
zts148e	Abilita il miglioramento dell'equipaggiamento al Lv. Bloccato[n]Fai doppio click sulla pergamena e clicca sull'oggetto[n] il livello bloccato verrà annullato.[n] Comunemente usato per l'arma e per l'equipaggiamento[n]
zts149e	5 Equipaggiamenti  di Protezione a scorrimento
zts150e	5 Pergamene per annullare il Livello Bloccato
zts151e	Nuova Moda!
zts152e	Cappello di Gatto
zts153e	La resistenza di tutti gli elementi aumenta di 1[n]La potenza di tutti gli elementi è aumentata di 10[n]
zts154e	Scelta Speciale
zts155e	Cappello d' Asino
zts156e	Hai alcune possibilità di essere protetto dalla Mandragora.[n]Gli HP aumentano massimo di 100.[n]Gli MP aumentano massimo di 50[n]
zts157e	Dà grande stile all' aspetto
zts158e	Capello di Cowboy
zts159e	La possibilità di lanciare un 'colpo critico' aumenta del 2%.[n]Nel colpo critico, il danno aumenta del 10%.[n]La possibilità di essere colpiti da un colpo critico diminuisce dell'1%.[n]
zts160e	Così Attraente
zts161e	Cappello di Scimmia
zts162e	Hai basse possibilità di essere protetto dagli effetti speciali.[n]Ti protegge dagli effetti negativi di Lv.2 con il 10% di possibilità.
zts163e	Mostra la tua forza!
zts164e	Cappello del Corno d'Antilope
zts165e	Max HP aumenta 200.[n]Max MP aumenta 200.[n]
zts166e	Con un profumo affascinante
zts167e	Cappello della Giornata della Gloria
zts168e	La possibilità di ricevere un danno critico diminuisce del  2%.[n] Quando si riceve un colpo critico, i danni diminuiscono del 20%
zts169e	Totteringly
zts170e	Cappello del Pinguino
zts171e	Aumento di tutta la difesa di 15.[n] Aumento di tutti gli attacchi di 15.[n]
zts172e	Mostra stile antico
zts173e	Cappello del vecchio gentleman
zts174e	Diminuisce del 4% il danno agli attacchi magici con la possibilità dell'8%. [n]Diminuisce del 4% il danno degli attacchi lontani. [n]
zts175e	Oggetto bello ma forte
zts176e	Fascia per le orecchie grandi
zts177e	Previene da effetti specifici con alte possibilità. [n] Aumenta il Morale di 5.[n]
zts178e	Ami la natura?
zts179e	Cappello con il vaso di fiori
zts180e	Causa 70 di danno aggiuntivo ai mostri di alto livello.[n] Causa 100 di danno aggiuntivo agli animali di alto livello.[n]
zts181e	Educa elegantemente il tuo animale ~
zts182e	Cibo per animale domestico furbo
zts183e	Una volta che l'animale mangia quest'oggetto, ha l'abilità di raccogliere gli oggetti caduti.[n]Non ha bisogno di cibo continuo.[n] Come nutrirlo: Clicca sull'animale e fai doppio click sul cibo.[n][n][funzione]Il tuo animale raccoglie l'oggetto caduto in modo automatico[n](Lavorando solo in modalità D), prenderà solo gli oggetti del proprietario[n] Anche lo stesso personaggio può prendere l'oggetto[n]che verrà inserito nell'inventario del proprietario[n][n][Attenzione] Se metti il tuo animale nel mirino, questa funzione sarà cancellata.
zts184e	La resistenza contro tutti gli elementi aumenta di 1.[n] Tutti gli attacchi aumentano di 10.[n]Questo item non può essere commerciato.[n]
zts185e	Ti protegge dall'Urlo dei Mandra.[n] Gli HP aumentano al massimo di 100[n] Gli MP aumentano al massimo di 50[n] Questo oggetto non può essere commerciato.[n]
zts186e	Incrementa del 2% la probabilità di eseguire un colpo critico.[n]In caso di colpo critico i danni aumentano del 10%.[n]Riduce dell'1% la probabilità di subire un colpo critico.[n]L'item non si può commerciare.[n]
zts187e	Ci sono possibilità alte di essere protetto dagli effetti speciali.[n]Ti protegge dagli effetti cattivi al Lv.2 con una possibilità del 10. [n]Questo oggetto non può essere commerciato tra i giocatori.[n]
zts188e	Gli HP aumentano massimo di 200.[n] Gli MP aumentano massimo di 200.[n] Questo oggetto non può essere commerciato tra i giocatori[n]
zts189e	Ci sono possibilità del 2% di diminuire i colpi critici.[n] Quando ricevi il colpo critico, il danno diminuisce del 20%[n]Questo oggetto non può essere commerciato tra gli utenti[n]
zts190e	Tutta la difesa aumenta di 15.[n] Tutti gli attacchi aumentano di 15.[n]Questo oggetto non può essere commerciato tra gli utentis[n]
zts191e	Diminuisce il 4% dei danni degli attacchi magici con l'8% di probabilità.[n]Diminuisce il 4% dei danni causati da attacchi lontani.[n]Questo oggetto non può essere commerciato tra i giocatori [n]
zts192e	Ha alte possibilità di prevenire gli effetti specifici.[n] Aumenta il morale di 5.[n] Questo oggetto non può essere commerciato  tra i giocatori.[n]
zts193e	Causa 70 di danno aggiuntivo ai mostri di alto livello.[n]Causa 100 di danno aggiuntivo agli animali di alto livello.[n]Questo oggetto non può essere commerciato tra i giocatori.[n]
zts194e	Non utilizzabile
zts195e	Non utilizzabile
zts196e	Non utilizzabile
zts197e	Non utilizzabile
zts198e	Non utilizzabile
zts199e	Non utilizzabile
zts200e	Non utilizzabile
zts201e	Non utilizzabile
zts202e	Non utilizzabile
zts203e	Non utilizzabile
zts204e	Uso illimitato!
zts205e	Deposito Extra largo (permanente)
zts206e	Se costruisci nella Mini-Land, puoi usare tutti e 56 slot.[n] E' possibile usarlo in modo permanente.[n]
zts207e	Interrior Your Terrace
zts208e	Non utilizzabile
zts209e	Non utilizzabile
zts210e	Non utilizzabile
zts211e	Non utilizzabile
zts212e	Non utilizzabile
zts213e	Non utilizzabile
zts214e	Non utilizzabile
zts215e	Non utilizzabile
zts216e	Non utilizzabile
zts217e	Non utilizzabile
zts218e	Non utilizzabile
zts219e	Non utilizzabile
zts220e	Non utilizzabile
zts221e	Fata del Fuoco ; Può crescere fino a 70.[n] Ha la stesse abilità della fata del fuoco.[n]Non può essere commerciata quando si è equipaggiati con essa.[n]
zts222e	Spirito dell'acqua ; può crescere fino a 70. [n] Ha le stesse abilità della fata dell'acqua.[n] Non può essere commerciata quando si è equipaggiati con essa.[n]
zts223e	Spirito della Luce ; Può crescere fino a 70.[n] Ha le stesse abilità della fata della luce.[n] Non può essere commerciata quando si è equipaggiati con essa.[n]
zts224e	Spirito dell'Oscurità ; Può crescere fino a 70.[n] Ha le stesse abilità della fata oscura.[n]Non può essere commerciata quando si è equipaggiati con essa.[n]
zts225e	Spirito del fuoco ; Può crescere fino a 70.[n]  E' già a 40, quindi non devi aumentarlo partendo da 1.[n]Ha la stesse abilità della fata di fuoco.[n] Non è possibile commerciarlo mentre si è equipaggiati con esso[n]
zts226e	Spirito dell'acqua ; Può crescere fino a 70.[n]  E' già a 40, quindi non devi aumentarlo partendo da 1.[n]Ha la stesse abilità della fata di fuoco.[n] Non può essere commerciato se si è equipaggiati con esso[n]
zts227e	Spirito della luce ; Può crescere fino a 70.[n]  E' già a 40, quindi non devi aumentarlo partendo da 1.[n]Ha la stesse abilità della fata di fuoco.[n] Non può essere commerciato se si è equipaggiati con esso[n]
zts228e	Spirito dell'oscurità ; Può crescere fino a 70.[n]  E' già a 40, quindi non devi aumentarlo partendo da 1.[n]Ha la stesse abilità della fata di fuoco.[n] Non può essere commerciato se si è equipaggiati con esso[n]
zts229e	Difesa fisica 4[n]Difesa a lungo raggio 4[n] Resistenza contro la magia [n] Evasione 4[n] Aumento delle resistenze di tutti gli elementi 1 [n] Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato mentre si è equipaggiati con esso[n]
zts230e	Difesa Fisica 4[n]Difesa a lungo raggio 5[n] Protezione dalla mandragora, quando si è equipaggiati.[n] Aumento degli HP Max 100[n] Aumento degli MP Max 50[n] Solo gli spadaccini, arcieri e incantatori possono indossarlo.[n] Non può essere commerciato quando si è equipaggiati con esso[n]
zts231e	Difesa Fisica 3[n] Difesa a lungo raggio 6[n] Resistenza contro la magia 4[n] Evasione 2[n] Le possibilità di lanciare un colpo critico aumentano del 2%[n]Il danno dei colpi critici aumentano del 10%[n]Le possibilità di ricevere un colpo critico diminuiscono dell'1%[n] Solo gli spadaccini, arcieri e incantatori possono indossarlo.[n]Non può essere commerciato quando si è equipaggiati con esso.[n]
zts232e	Difesa Fisica 5[n]Difesa 3[n] Resistenza contro la magia 1[n] Diminuisce notevolmente la possibilità di perdere la coscienza mentre si è equipaggiati con esso[n] Ti protegge dagli effetti negativi di Lv. 2 con il 10% di possibilità.[n] Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts233e	Difesa Fisica 13[n]Difesa 13[n] Resistenza contro la magia 13[n] aumenta gli HP Max di 200[n] Aumenta gli MP Max di 200[n] Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts234e	Difesa 7[n]Resistenza contro la magia 3[n]Evasione 2[n] Ha il 2% di possibilità di diminuire i colpi critici[n]Diminuisce del 20% i danni dei colpi critici[n]Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts235e	Difesa fisica 5[n]Difesa 5[n]Resistenza contro la magia 5[n] Evasione 5[n]Tutta la difesa aumenta di 15[n]Tutto l'attacco aumenta di 15[n]Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts236e	Difesa fisica 1[n]Difesa 2[n]Resistenza contro la magia 14[n]Diminuisce del 4% l'attacco magico con l'8% di possibilità[n]Diminuisce del 4% l'attacco distante con l'8% di possibilità.[n] Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts237e	Difesa fisica 12[n]Diminuisce notevolmente la possibilità di sanguinare[n]La morale aumenta di 5[n]Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts238e	Difesa fisica 2[n]difesa 10[n]Resistenza contro la magia 3[n] Dà un danno aggiuntivo ai diavoli di alto livello pari a 70.[n]Solo gli spadaccini, arcieri e incantatori possono indossarlo[n]Non può essere commerciato se si è equipaggiati con esso[n]
zts239e	Zaino dell'Avventuriero per 10 giorni
zts240e	Non utilizzabile
zts241e	Zaino dell'Avventuriero per 30 giorni
zts242e	Zaino dell'avventuriero per 60 giorni
zts243e	Zaino del compagno (10 giorni)
zts244e	Zaino del compagno (30 giorni)
zts245e	Zaino del compagno (60 giorni)
zts246e	Cestino di consegna dell'animale (10 giorni)
zts247e	Cestino di consegna dell'animale (30 giorni)
zts248e	Cestino di consegna dell'animale (60 giorni)
zts249e	Lo zaino imposta 10 giorni
zts250e	Lo zaino imposta 30 giorni
zts251e	Lo zaino imposta 60 giorni
zts252e	5 Benedizioni di Erenia
zts253e	10 Benedizioni di Erenia
zts254e	Benedizioni dell'Angelo Guardiano 10 pcs
zts255e	10 Benedizioni di Zenas
zts256e	La benedizione imposta 5 pezzi
zts257e	La benedizione imposta 10 pezzi
zts258e	Coupon per il caricamento della durabilità (40 pezzi)
zts259e	Coupon per  la ricarica della durabilità (99 pezzi)
zts260e	Coupon per la ricompensa doppia (10 pezzi)
zts261e	Coupon per i punti produzione (10 pezzi)
zts262e	Coupon per i punti produzione (30 pezzi)
zts263e	Scatola Misteriosa A
zts264e	Scatola Misteriosa B
zts265e	Scatola Misteriosa C
zts266e	[n]
zts267e	Modo facile per ricaricare la durabilità
zts268e	Si può utilizzare tramite il pulsante "Utilizza coupon" [n] nella finestra del campo di produzione[n] Un coupon aumenta la durata di 300
zts269e	Raddoppia la ricompensa dei mini giochi!
zts270e	Se hai dei coupon nell'inventario, chiederai se vuoi usarlo.[n] Con il suo uso, otterrai una doppia ricompensa sull'oggetto selezionato.[n]
zts271e	Produci di più di quanto vuoi!
zts272e	Caricatore dei punti produzione (10 pezzi)
zts273e	Ogni coupon fa aumentare di 500 i punti produzione.[n] Limite massimo: 2000[n]
zts274e	Caricatore di punti di Produzione (30 pezzi)
zts275e	Usa tutti gli oggetti nell' inventario.
zts276e	Può usare tutti gli oggetti nell'inventario.[n]Per 10 giorni[n]la medaglia non può essere usata.
zts277e	Puoi utilizzare tutti gli oggetti nell'inventario[n]Per 30 giorni[n]la medaglia non può essere utilizzata.
zts278e	Puoi utilizzare tutti gli oggetti nell'inventario[n]Per 60 giorni[n]la medaglia non può essere utilizzata.
zts279e	L'inventario del compagno è lo stesso
zts280e	Per mezzo del Compagno, puoi usare 50 spazi aggiuntivi per l'inventario.[n]Solo per 10 giorni[n]
zts281e	Per mezzo del Compagno, puoi usare 50 spazi aggiuntivi per l'inventario.[n]Solo per 30 giorni[n]
zts282e	Per mezzo del Compagno, puoi usare 50 spazi aggiuntivi per l'inventario.[n]Solo per 60 giorni[n]
zts283e	Usa i depositi ovunque
zts284e	Usando l'animale, puoi aprire un deposito dove vuoi.[n] Solo per 10 giorni[n]
zts285e	Usando l'animale, puoi aprire il deposito ovunque.[n]Solo 30 giorni[n]
zts286e	Usa in una volta tutti gli oggetti dell'inventario.
zts287e	Acquista in una sola volta lo zaino dell'Esploratore, quello del Compagno, il cestino di consegna dell'animale [n]
zts288e	Ricevi la benedizione di Ancelloan.
zts289e	5 Benedizioni di Ancelloan.
zts290e	L'esperienza delle battaglie e del lavoro sono aumentate del 100%[n] per un'ora. Senza limite al livello. [n] Non è possibile usarla con la medaglia.
zts291e	10 Benedizioni di Ancelloan.
zts292e	Benedici il NosMate
zts293e	Benedizione dell'Angelo Guardiano (5 pezzi)
zts294e	Aumenta del 50% l'esperienza del NosMate.[n]Velocità +2[n] Puoi utilizzarlo per un'ora[n]
zts295e	Incantesimo della doppia ricompensa
zts296e	Vieni fuori, oggetto buono!
zts297e	Ottieni una Maschera Feroce A, [n] Maschera Feroce B,[n] Maschera Feroce C, [n] Perla di Opossum,[n]Perla di Opossum Gladiatore,[n]Perla di Opossum Disinfestatore
zts298e	Ottieni una Maschera del Silenzio A, [n] Maschera del Silenzio B,[n] Maschera del Silenzio C, [n]Perla di Opossum,[n]Perla di Opossum Gladiatore,[n]Perla di Opossum Disinfestatore
zts299e	Ottieni una benda dell'Abisso A, [n]Benda dell'abisso B,[n] Benda dell'abisso C,[n] Perla di Opossum,[n]Perla di Opossum Gladiatore,[n]Perla di Opossum Disinfestatore
zts300e	L'esperienza di combattimento e l'esperienza di lavoro è aumentata del 100%[n] per un'ora. Senza limite al livello. [n]
zts301e	Ottieni una Maschera Feroce A, Maschera Feroce B, Maschera Feroce C, Pietra di Opossum,[n] Pietra di Opossum elegante, [n] 5 item in denaro
zts302e	Ottieni una Maschera del Silenzio A, Maschera del Silenzio B, Maschera del Silenzio C, Pietra di Opossum,Pietra di Opossum elegante, Pietra di Opossum nero, [n] 5 item in denaro
zts303e	Ottieni una Benda dell'abisso A, Benda dell'abisso B, Benda dell'abisso C, Pietra di Opossum, Pietra di Opossum elegante, Pietra di Opossum nero [n] 5 item in denaro
zts304e	Tori come un mio animale
zts305e	Sfera Tori Tori
zts306e	E' possibile registrare i Tori come un mio animale.[n]
zts307e	Sfera del gladiatore Tori
zts308e	Sfera nera di Tori
zts309e	Ottieni una Maschera Feroce A, Maschera Feroce B, Maschera Feroce C,[n] Opossum, Opossum Disinfestatore, Opossum Gladiatore,[n] Pergamena per la protezione dell'equipaggiamento, Pergamena per annullare il Lv bloccato, Cibo per animali abili[n] Acqua primaverile di Cylloan, Caricatore di SP grande
zts310e	Ottieni uno dei seguenti item: Maschera del Silenzio A, Maschera del Silenzio B, Maschera del Silenzio C,[n]Perla con Opossum marrone, Perla con Opossum gladiatore, Perla con Opossum disinfestatore,[n]Pergamena per la protezione dell'equipaggiamento, Pergamena della liberazione, Cibo per animali speciale,[n]Acqua di fonte di Cylloan, Pozione speciale grande.
