zts1e	Negozio degli attrezzi di Teo
zts67e	Ah, a volte faccio degli errori. Per questo, non posso offrirti alcuna garanzia per quanto riguardo la sicurezza dei tuoi item.
zts68e	Davvero? Com'è possibile?
zts69e	Beh, non succede spesso Inoltre, se il livello di rarità è negativo, la probabilità di successo è ancora più alta!
zts70e	Cosa succede se il livello di rarità è alto?
zts71e	Beh, non ne sono molto sicuro...
zts72e	Se quando si viene a contatto con l'item, esso non scompare, si tratta sicuramente di un item con un livello di rarità da 1 a 7.
zts74e	Info NosCamp
zts101e	Termina conversazione
zts102e	Cosa ti interessa sapere?
zts104e	Che differenza c'è, nello Spazio-tempo, tra una missione e la Sfida dei record?
zts119e	Di fatto c'è solo una differenza sostanziale: i punti conquistati in una missione vengono assegnati in base della prestazione.
zts120e	Se giochi alla "Sfida dei record", puoi cercare di battere il record più alto ottenuto da un altro avventuriero.
zts121e	Quali sono i vantaggi della Sfida dei record? A me sembra che non ce ne siano...
zts122e	Se batti il record, il tuo nome sarà registrato sulla Pietra spazio-temporale. Ogni giocatore ti rispetterà. Non è semplicemente fantastico?
zts123e	Stando alle voci, prima o poi, Lord Cuarry elargirà delle grosse ricompense ai giocatori più capaci. Tra l'altro, la tua fama di avventuriero è ciò cui tieni di più, no?
zts124e	Non credi che si debba tentare più volte di battere i record per immortalare il proprio nome sulla Pietra spazio-temporale?
zts125e	Le Sfide dei record non si affrontano solo per la gloria. Si devono ricompensare con l'oro. Se non si è sicuri di superare un record, è solo uno spreco di denaro.
zts126e	Rifletti bene prima di provare a superare il record.
zts127e	Non dobbiamo per forza sostenere le Sfide di record.
zts128e	Certo, senza dubbio! Perché ti comporti come un codardo? Dimostra di essere un avventuriero che si rispetti: accetta le sfide! Le sfide sono il dovere di un avventuriero valoroso.
zts129e	Ok, capisco. Ci penserò.
zts130e	Che possiate vivere grandi avventure!
zts131e	Che lavoro vorresti fare?
zts132e	Vorrei fare lo spadaccino. Voglio diventare un maestro del combattimento corpo a corpo.
zts133e	Vorrei fare l'arciere. Voglio diventare un arciere estremamente rapido.
zts134e	Mago. Voglio dominare il campo di battaglia con i poteri magici.
zts135e	Se cambi mestiere, non potrai più utilizzare il tuo equipaggiamento da avventuriero.
zts136e	Per questo motivo devi prima disfarti del tuo equipaggiamento. Te ne daremo uno nuovo, adatto al tuo lavoro. Sei d'accordo?
zts137e	Come è il nuovo equipaggiamento?
zts138e	L'equipaggiamento è di ottima qualità e ti sarà sicuramente utile per il nuovo mestiere.
zts139e	Ok, capisco.
zts140e	Lord Cuarry non ci offrirà più il suo supporto a lungo e ne pagheremo le conseguenze.
zts141e	Vuoi cambiare mestiere?
zts142e	Sì, ora vorrei cambiare mestiere.
zts143e	No, tornerò più tardi.
zts156e	Una famiglia è una comunità che si crea con altri amici incontrati su NosTale. Condividi gioie e dolori con le tue compagne e i tuoi compagni. Supportatevi a vicenda... Solo in questo modo una famiglia si può definire felice.
zts157e	Come posso esserti d'aiuto?
zts158e	Vorrei creare una famiglia.
zts159e	Voglio sciogliere la famiglia.
zts160e	Come si crea una famiglia?
zts161e	Quali sono i comandi per gestire una famiglia?
zts162e	Grazie per l'aiuto. A presto!
zts163e	Per costituire una famiglia, ti servono tre avventurieri che abbiano scelto il loro lavoro e concluso l'Atto 1-1 con successo.
zts164e	Inoltre, i tre giocatori in questione devono trovarsi nello stesso gruppo. Poi, uno di loro dovrà rivolgersi a me per costituire la famiglia e pagare la tassa richiesta. Il costo è di 200.000 unità di oro.
zts165e	Infine, deve inserire il nome della famiglia. Il giocatore che si è rivolto a me e ha pagato la tassa diventa il Capofamiglia. Gli altri due membri del gruppo diventano Vice-capofamiglia.
zts166e	Perdonami, ma il menù della famiglia non è stato ancora completato. Al momento, alcune funzioni non si potranno utilizzare.
zts167e	Per piacere sii paziente. Stiamo facendo del nostro meglio per aiutarti il più velocemente possibile.
zts168e	Capito.
zts169e	Per usare la chat della famiglia basta inserire ":" (i due punti) prima di ogni messaggio.
zts170e	Per usare un comando per la famiglia nella finestra della chat, inserisci "%" prima del comando.
zts171e	Se vuoi far entrare qualcuno nella tua Famiglia, usa il seguente comando: [%Invita] Nome del personaggio. Solo il Capofamiglia e il Guardiano della famiglia possono servirsi di questo comando.
zts172e	Esistono due possibilità per espellere un giocatore dalla famiglia: con il comando "%Uscita dalla famiglia", un membro può abbandonare la famiglia. In qualsiasi momento, quando lo ritiene necessario, il Capofamiglia può espellere un giocatore dalla famiglia con il comando "Espulsione Nome del personaggio".
zts173e	Il Capofamiglia e i Guardiani della famiglia non si possono espellere in modo diretto. Quando uno di loro viene espulso, è necessario attendere tre giorni prima che questi possa costituire o entrare in una nuova famiglia.
zts174e	Ogni famiglia deve avere un Capofamiglia e due Guardiani della famiglia. Per cambiare un Guardiano della famiglia, usa il comando "%Guardiano della famiglia" guardiano attuale nuovo guardiano
zts175e	Quando vuoi cedere il ruolo di Capofamiglia a un altro giocatore, è necessario che quest'ultimo sia un Guardiano della famiglia. Con il seguente comando, puoi cedere la posizione di più alto rilievo all'interno della famiglia: [%Capofamiglia] Nuovo capofamiglia
zts176e	Per inviare un messaggio a tutti i membri della famiglia, usa il comando: [%Avviso] messaggio. Riceveranno la tua comunicazione non appena effettueranno il login.
zts177e	Anche se al momento il sistema per la gestione della famiglia non è semplice da utilizzare, spero tu possa fare esperienza e divertirti insieme agli amici.
zts178e	Non appena sarà possibile, introdurremo delle nuove funzioni.
zts179e	Allenamento NosVille
zts191e	Cosa ti interessa sapere?
zts192e	A cosa serve l'allenamento?
zts193e	Cosa sono le abilità di base?
zts194e	Che cosa sono le abilità aggiuntive?
zts195e	Come posso eliminare le abilità?
zts196e	Durante la formazione, acquisisci diverse abilità passive che migliorano il tuo potenziale in battaglia.
zts197e	Ovviamente, la formazione non è gratuita. Si deve, infatti, corrispondere una certa somma di oro. Inoltre, bisogna scegliere un lavoro e raggiungere un certo livello di combattimento, per poter partecipare alle lezioni.
zts198e	Come si incrementa il livello di combattimento?
zts199e	Per ogni mostro sconfitto, si ottengono dei punti esperienza attraverso i quali aumenta il livello di combattimento. Esistono tre livelli di formazione: basso, medio e alto. Non è obbligatorio completare il livello di formazione basso per passare a quello medio.
zts200e	Possono presentarsi degli svantaggi o verificarsi dei problemi?
zts201e	No. In pratica, è indifferente iniziare dal livello medio oppure completare tutti i livelli in ordine crescente.
zts202e	Tuttavia, sarà più semplice effettuare la formazione per gradi.
zts203e	Le abilità di base sono quelle che si possono utilizzare successivamente in battaglia.
zts204e	Per apprendere un'abilità base, sono richiesti una determinata quantità di oro e CP. Inoltre, bisogna aver raggiunto il livello di lavoro corrispettivo.
zts205e	Cosa si intende per CP e livello di lavoro?
zts206e	Il livello di lavoro incrementa ogni volta che si elimina un mostro. Per ogni incremento del livello di lavoro, si acquisiscono i CP. Essi servono per l'apprendimento delle abilità.
zts207e	Non si potrà mai disporre di un numero sufficiente di CP per apprendere tutte le abilità. Pertanto, bisogna scegliere le proprie abilità in modo strategico.
zts208e	Le abilità plus sono delle abilità speciali che rafforzano le abilità di base.
zts209e	Prendiamo come esempio l'abilità di base "Colpo potente". Se si apprende l'abilità plus "Colpo insidioso", essa verrà eseguita in modo automatico dopo che si effettua "Colpo potente".
zts210e	Quindi la stessa abilità può avere effetti diversi a seconda dell'abilità plus appresa?
zts211e	Esatto, proprio così. Si possono apprendere fino a quattro tipi di abilità plus per abilità di base.
zts212e	Bisogna però tenere presente che le abilità plus devono essere tutte contrassegnate da un simbolo diverso. Non se ne possono apprendere due con lo stesso simbolo. Nell'angolo delle abilità in basso a destra, si possono vedere dei simboli quali il cerchio o il quadrato.
zts213e	Qual è il significato di quei simboli?
zts214e	Aprendo la finestra della abilità, si possono visualizzare diversi slot con dei simboli differenti. Questi segni indicano in quale slot si devono inserire le abilità.
zts215e	Capisco. Un'abilità plus deve avere lo stesso simbolo dello slot corrispettivo. Quindi, si può apprendere solo un tipo di abilità plus per simbolo.
zts216e	Se si acquisisce un'abilità plus avente lo stesso simbolo di un'altra già appresa, quest'ultima verrà eliminata. Ma non ci si deve preoccupare. In questo caso, si riceverà un messaggio di avviso.
zts217e	Se a un certo punto un'abilità dovesse risultarti inutile o dovessero servirti i CP già utilizzati per apprendere un'abilità, potrai eliminare l'abilità appresa.
zts218e	Per eliminare un'abilità, bisogna selezionarla facendo doppio clic quando ci si trova nel menù dell'apprendimento delle abilità.
zts219e	Quando si elimina un'abilità, i CP consumati per l'apprendimento di quella skill verranno restituiti. Attenzione però: per eliminare un'abilità bisogna pagare lo stesso importo di unità d'oro versato per l'apprendimento della stessa.
zts220e	Non dimenticare: le abilità di base si possono eliminare solo dopo che sono state cancellate le abilità plus legate ad essa.
zts221e	Le abilità apprese durante la formazione non si possono eliminare. Dato che non ti sono costate alcun CP, non perderai niente.
zts222e	Associazione d'Alchimia
zts233e	Mercato di Nosville
zts257e	Boutique di moda
zts266e	Ok, dimmi.
zts267e	Dimmi qualcosa sugli accessori.
zts268e	Gli accessori completano l'abbigliamento e indicano lo status sociale di chi li indossa.
zts269e	Comunque, credo che a te interessi il lato meramente pratico della faccenda.
zts270e	Gli accessori hanno dei poteri magici sorprendenti. Si potrebbe spiegare in questo modo: la magia è stata instillata nei singoli componenti tramite processo di fusione.
zts271e	Inoltre, essi possiedono anche degli slot opzione tramite i quali si possono aggiungere dei nuovi poteri.
zts272e	Sì? Puoi spiegarmelo in modo più dettagliato?
zts273e	Ah! Sapevo che me l'avresti chiesto! Ok, cominciamo.
zts274e	Gli accessori possiedono degli slot opzione e dei livelli opzione.
zts275e	Gli slot opzione ti mostrano quali opzioni puoi utilizzare. Il livello opzione indica invece fino a quale livello sia possibile. Mi stai seguendo?
zts276e	Sì... Ma... come posso inserire un'opzione?
zts277e	Per fare questo ti serve un Cellon. Le Cellon sono delle gemme luccicanti.
zts278e	Il livello del Cellon è decisivo per il livello dell'opzione. Quindi, maggiore è il livello del Cellon e meglio è.
zts279e	Ah, purtroppo non è possibile scegliere quali opzioni utilizzare. Saranno il destino e la fortuna ha scegliere per te.
zts280e	Dove posso ottenere i Cellon?
zts281e	Un Cellon si ottiene dalla raffinazione delle Pietre Gillion. Ma per poterlo fare bisogna avere un Raffinatore di Cellon.
zts282e	Il raffinatore si può acquistare presso l'Associazione di Alchimia.
zts283e	Circolo del Tempo (NosVille)
zts285e	Entra nell'Arena Individuale infinita.
zts286e	Entra nell'Arena Famiglia infinita.
zts287e	Controlla la lista del Circolo del Tempo.
zts290e	Dove vuoi andare?
zts291e	Monte Krem Ovest (1.000 unità d'oro)
zts292e	Manysales (Città Kovolt)
zts294e	Articolo di lusso di Mary
zts297e	Ufficio costruzioni Clang Clang (Città Kovolt)
zts299e	Centro acquisti (Città Kovolt)
zts301e	Circolo del Tempo (Koaren)
zts304e	NosVille (0 unità d'oro)
zts305e	Vai al Circolo del Tempo.
zts306e	Entra direttamente nell'Arena e nel Circolo del Tempo!
zts307e	Atto 1 - Introduzione
zts308e	Atto 1 - L'Albero Fernon
zts309e	Attenzione, avventuriero! Ora ti assegnerò la prima missione.
zts310e	Metti fine alla rivolta dei Kovolt.
zts311e	La situazione si fa sempre più tesa. Si rischia che sfoci in una guerra, se nessuno interviene.
zts312e	Per evitare che si precipiti nel caos, abbiamo bisogno di veri eroi!
zts313e	Apparirà un nuovo nemico e tenterà di bloccarti.
zts314e	La resurrezione dell'Albero di Fernon potrebbe gettare il mondo nel disordine.
zts315e	Te la senti di iniziare questa avventura?
zts316e	E questo è solo l'inizio...
zts317e	Mi raccomando, fai attenzione! Ci sono altri avventurieri là fuori!
zts318e	Atto 2 - Introduzione
zts319e	Insieme potremmo superare la crisi.
zts320e	In ogni caso, niente è perduto! L'Albero di Fernon potrebbe ridestarsi in qualsiasi momento e non c'è modo di prevederlo.
zts321e	I Catty, una misteriosa tribù, custodiscono il Sigillo dell'Albero di Fernon da tempo immemore.
zts322e	Tuttavia, Kovolt e Catty sono stati nemici per secoli.
zts323e	Se alimentassero di nuovo i vecchi dissapori, scoppierebbe una guerra letale.
zts324e	La crisi non è stata ancora superata.
zts325e	Si profila una nuova catastrofe! Per evitarla dovrai confrontarti con numerosi avventurieri!
zts326e	Atto 2 - Resurrezione del diavolo
zts327e	Preparati!
zts328e	Conversazione NPC NosVille
zts329e	Sei tu il novizio, vero?
zts330e	Sì, e in ogni caso darò il meglio di me!
zts331e	Il coraggio non ti manca... Attenzione, però... non andrà sempre secondo i piani!
zts332e	Che vuoi dire? I Kovolt hanno intenzione di attaccare?
zts333e	Beh... Le loro condizioni di lavoro sono orribili e... insomma, non c'è niente che vada bene...
zts334e	Ah! Forse il tuo atteggiamento nei loro confronti non era proprio... ehm... benevolo! Devo insegnare loro le buone maniere?
zts335e	Ahah... Sì... Però, avremmo bisogno di più informazioni...
zts336e	Che informazioni?! Quelle bestie sono l'esempio principe della pigrizia. Si lamentano e basta!
zts337e	Kovolt... La loro rivolta è più violenta di quanto ci si aspettasse, vero?
zts338e	Ora... pare che il mondo stia piombando nel caos... Un problemino di dimensioni non proprio trascurabili!
zts339e	Di sicuro ci sono dei motivi...
zts340e	Che motivi?! Quei mentecatti hanno la pessima abitudine di lamentarsi di continuo!
zts341e	Finirà mai questa guerra?
zts342e	Chi vincerà la guerra? Gli Umani o i Kovolts?
zts343e	Come hai fatta a risolvere la situazione così facilmente? Non pensavo che i Kovolt fossero così incompetenti.
zts344e	Non avrei mai creduto che una guerra potesse terminare così facilmente. Chi avrebbe mai immaginato che i Kovolt avessero dei problemi all'interno della loro comunità?
zts345e	Che succederà adesso? Le preoccupazioni non mi fanno dormire.
zts346e	Non possiamo arrenderci proprio ora. Dobbiamo fare del nostro meglio fino alla fine.
zts347e	No! Ormai non possiamo più fare nulla. Sono decisamente più forti di noi!
zts348e	Guardami! Perché ho dovuto passare tutto questo? Perché ho dovuto soffrire in questo modo?
zts349e	Che bello rivederti! Come va?
zts350e	Ehilà! Durante le tue avventure non puoi permetterti di fidarti di chiunque. Ti auguro tutto il meglio.
zts351e	Per favore! Ti supplico! Continua a combattere per il nostro villaggio!
zts352e	Uno sciopero? Accidenti... Spero non sia successo niente di brutto.
zts353e	L'inquietudine è in costante aumento. In ogni caso, non dobbiamo lasciarci intimidire.
zts354e	Che situazione orribile!
zts355e	Grazie per aver lavorato cosi diligentemente.
zts356e	Tutto questo mi... deprime... Non ho voglia di parlarne!
zts357e	Ottimo! Sei il mio eroe!
zts358e	Mi ricordi i giorni della mia infanzia.
zts359e	Perché allora mi comportavo così? Forse il mio livello di idiozia era simile al tuo? Ahahahah...
zts360e	Vuoi sentire una storia divertente? *risatina*
zts361e	Dunque, una volta nel campo estivo...
zts362e	*risatina*
zts363e	È talmente divertente che ora non riesco più a raccontartela!
zts364e	Bentornato! Ti ricordi cosa ti volevo raccontare l'altra volta?
zts365e	Ora te lo posso raccontare. Stavolta tratterrò le risate.
zts366e	È...
zts367e	C'era una volta un criceto spinoso...
zts368e	...
zts369e	Pfff...
zts370e	Pfff... Ahahahahah... Fa troppo ridere! Come ci è arrivato lì il criceto spinoso! Ahahahahah!
zts371e	Continuerò con la storia un'altra volta. Ahahahah...
zts372e	Non perderti mai d'animo nei momenti difficili.
zts373e	Per tenere alto il morale, ora ti racconto una storia che fa davvero ridere!
zts374e	Ehi! Perché te ne vai? Non vuoi sentire la mia storia fino alla fine?
zts375e	Ehi...
zts376e	Una storia divertente, no eh? Vuoi davvero raccontarmi questa storia adesso?
zts377e	Grazie, sei stato davvero gentile. Per contraccambiare ti vorrei raccontare una storia divertente... Ehi! Dove vai?
zts378e	Oggi ho una bella storia pronta da raccontare. Riguarda Lanetan e l'Albero di Fernon.
zts379e	Se esplodono si trasformano in patatine fritte? Ahahahah...
zts380e	Muhahahaha...
zts381e	Accidenti! Non è per niente divertente! Dovrei forse morire qui?!
zts382e	Ehiehiehi, ehilà! Mi è venuta in mente una cosa divertentissima!
zts383e	Cosa succede se i Lanetan esplodono?
zts384e	Non la sai? La risposta è...
zts385e	Si trasformano in patatine fritte! Non è semplicemente esilarante? Ahahahah...
zts386e	Il cavallo di battaglia delle mie barzellette! Ahahahah...
zts387e	Ehi! Ehi, le reclute devono comportarsi come si deve. E devono essere svelte!
zts388e	Dai... Perché perdi tempo in questo modo? Su, dai! Più veloce!
zts389e	Sporchi Kovolt! Chiassosi Kovolt!
zts390e	Che giorno assurdo!
zts391e	E ora che succederà a NosVille?
zts392e	Moriremo tutti! È la fine! Siamo spacciati!
zts393e	Vieni, di qua! Nessuno mi crederà quando dirò che siamo amici. Fammi un autografo. Servirà da prova.
zts394e	Il tempo è magnifico e non devo lavorare. Ah, questa sì che è vita!
zts395e	Come mai ora sei nel NosCamp? Non è ancora troppo tardi per entrare a far parte dei Cavalieri di Lord Cuarry...
zts396e	Smettila di lagnarti. Vai via! Devo capire se sta arrivando la pattuglia.
zts397e	Che rabbia, non riesco a sopportarlo! Perché adesso i Kovolt devono scioperare?
zts398e	E fai qualcosa! Non è questo il tuo dovere?
zts399e	Questi Kovolt... Fanno troppo rumore!
zts400e	Ottimo lavoro!
zts401e	Giusto per peggiorare la situazione potrebbe scoppiare una guerra!
zts402e	Come osano i Kovolt a combattere contro gli Umani?! Ahah!
zts403e	Non dire niente. La mia vita è finita.
zts404e	Fedeltà! Va tutto bene!
zts405e	Dialogo con Schluri
zts406e	A quanto pare, alcuni avventurieri non sono tornati. Se ne sente ancora la mancanza... In ogni caso, ti auguro buona fortuna!
zts407e	Oh, e quindi non ti hanno ammazzato?! Quindi la situazione non era così tragica... Comunque sia, ti auguro il meglio!
zts408e	Ho sentito che ti distingui tra tutti gli avventurieri. Questo non significa comportarsi da arroganti, ok?
zts409e	Cosa? Chiaramente sarebbe meglio non farsi notare, o no? Vabbè, comunque sia...
zts410e	Il numero di serie della Spada dell'avventuriero è NTR40U-10X. Un articolo di ottima qualità con rapporto qualità-prezzo fenomenale. Per questo Teoman Topp ha avviato la produzione.
zts411e	Per lucidare la spada, ti consigliamo di usare un panno in poliestere. I panni in poliestere sono noti per avere un effetto di raffreddamento sulla lama.
zts412e	Quando ci si trova di fronte a un nemico con una armatura in pelle, solleva la tua spada e poi dirigila verso il basso ad un angolo di 36,5 gradi. Abbiamo scoperto che un colpo sferrato a quell'angolatura fende il collagene nella pelle più facilmente.
zts413e	Esistono due tipi di corde per arco: la prima variante consiste di tre corde attorcigliate assieme 20 volte, mentre la seconda è costituita da cinque corde attorcigliate assieme 40 volte. Teoricamente, il secondo tipo dovrebbe ridurre la pressione sulle dita dello 0,2%, ma nessuno pare aver notato la differenza.
zts414e	Questo equipaggiamento? Se avessi comprato questo quando hai acquistato gli altri attrezzi, avresti ricevuto pure un regalo.
zts415e	Discussione con il Manager della miniera Mudog!
zts416e	Le miniere di Lord Cuarry producono un'ingente quantità di Pietre Gillion in questa zona. La gente ne trae beneficio.
zts417e	A volte, qualcuno riesce a fare il colpaccio ai danni del padrone.
zts418e	Questi Kovolt! Se continua così, di sicuro non vivrò a lungo.
zts419e	Ma dimmi tu, in che mondo viviamo... Una guerra contro i Kovolt... Ahah...
zts420e	È questo il momento di rilassarsi? Sapevo che i Kovolt stessero tramando qualcosa.
zts421e	Hic! Bevo per soffocare il mio dolore. Ormai la mia vita non ha più senso. Le radici di Fernon, maledette siano, non ci uccideranno, vero? Hic!
zts422e	I Kovolt hanno lavorato sodo. Pochi giorni fa, Lord Cuarry ha premiato un minatore particolarmente capace. I malintesi sono stati chiariti. Non è semplicemente grandioso?
zts423e	Manager all'ingresso della miniera
zts424e	Avventuriero! So che sembra ridicolo, ma i Kovolt mi hanno cacciato dalla miniera.
zts425e	Perché si stanno comportando in questo modo?
zts426e	Avventuriero, non è per caso compito tuo occuparti della situazione? Fai qualcosa!
zts427e	Cosa? Uno sciopero? Ma di cosa stanno parlando!?
zts428e	Hanno fatto ciò che non avrebbero dovuto fare. Perché dicono così? Non sopporto di vivere a contatto con i Kovolt!
zts429e	Cosa? Una guerra? Ahahahahah... Muahahahahahahahah!!!
zts430e	Vedi? Sapevo che sarebbe accaduto. Guerra? Non pensarci nemmeno!
zts431e	Che rabbia! E ora chi dovrebbe riportare l'ordine?
zts432e	Di recente, il mio comportamento nei confronti degli amici Kovolt è stato poco esemplare. Vedrò di assumere un atteggiamento più generoso...
zts433e	Guardia Koaren 1
zts434e	*woof* Perché siete qui voi Umani?!
zts435e	Avvicinati, Umano! Non ti preoccupare, sei tra amici!
zts436e	Guardia Koaren 2
zts437e	Bene, abbiamo cominciato. Grazie tante!
zts438e	Guardia Koaren 3
zts439e	I Koaren sono furiosi! I Kenko sono stati eliminati.
zts440e	Guardia Koaren 4
zts441e	Umani! La guerra è finita! *woof*
zts442e	Capo minatore Koaren
zts443e	Gli altri minatori mi hanno raccontato parecchio su di te. Grazie tante per l'aiuto.
zts444e	Minatore Koaren
zts445e	Andiamo a faticare! Nel nome di Stakanov! Andiamo! *woof*
zts446e	Pop up dello Shop privato
zts447e	Usa lo Shop!
zts604e	Allenamento da avventuriero per principianti
zts605e	Per migliorare le tue abilità di avventuriero, devi allenarti costantemente. L'allenamento è la chiave del tuo successo!
zts606e	Più velocemente raggiungerai i tuoi obiettivi e maggiore sarà il supporto che ti potrò offrire.
zts607e	Nada.
zts608e	Ottimo lavoro! Spero che tu continui a sviluppare le tue abilità in modo così rapido.
zts609e	Proteggi NosVille 1 (inizio)
zts610e	Ci sono molte piante velenose e animali vicino la città. Date queste condizioni, nessuno osa entrare in città.
zts611e	E se il NosCamp offrisse il proprio supporto in modo un po' più attivo? Abbiamo bisogno di avventurieri come te per salvare la città!
zts612e	Proteggi NosVille 1 (completato)
zts614e	Proteggi NosVille 1 (inizio)
zts615e	I Kovolt causano problemi di continuo. La città e i suoi dintorni sono sempre meno sicuri.
zts616e	Solo gli avventurieri del NosCamp sarebbero in grado di riportare l'ordine. Per favore, dai una mano agli abitanti di NosVille.
zts617e	Proteggi NosVille 2 (completato)
zts618e	Il tuo aiuto è stato molto prezioso. Mi aspetto che tu continui a starci vicino per offrirci il tuo supporto.
zts619e	Metti ordine nel tempio! 1 (inizio)
zts620e	Ormai non possiamo più entrare nell'Avamposto Fernon. È troppo pericoloso. Abbiamo bisogno dell'aiuto di un avventuriero!
zts621e	Metti ordine nel tempio! 1 (completato)
zts622e	Metti ordine nel tempio! 2 (inizio)
zts623e	Il tempio pullula di mostri sempre più potenti! Avventuriero, sei la nostra unica speranza!
zts624e	Metti ordine nel tempio! 2 (completato)
zts625e	Deve essere stata dura combattere contro i mostri, vero? Hai combattuto con audacia.
zts626e	Proteggi le miniere! (inizio)
zts627e	Ehi! Aiutami! Dobbiamo cacciare via tutti i minatori Kovolt!
zts628e	Grazie mille! Sei stato di grande aiuto.
zts629e	Combattimento Kovolt 1 (inizio)
zts630e	È Calvin. Da ora in poi, riceverai una ricompensa dal NosCamp, se catturi dei soldati Koaren.
zts631e	Gli avventurieri non dovrebbero lasciarsi sfuggire questa occasione.
zts632e	Combattimento Kovolt 1 (completato)
zts633e	Hai fatto un ottimo lavoro.
zts634e	Combattimento Kovolt 2 (inizio)
zts635e	È Calvin. Da ora in poi, riceverai una ricompensa dal NosCamp, se catturi dei soldati Kenko.
zts636e	Combattimento Kovolt 2 (completato)
zts637e	Lavoro part-time all'Associazione di Alchimia 1 (inizio)
zts638e	Eheh... Ciao! Cerco qualcuno che mi porti una cosa che mi serve urgentemente. Eheh...
zts639e	Lavoro part-time all'Associazione di Alchimia 1 (inizio)
zts640e	Eheh... Grazie. Perché mi porti questa roba qui?
zts641e	Ah, giusto! Grazie mille. Eheh...
zts642e	Lavoro part-time all'Associazione di Alchimia 1 (inizio)
zts643e	Lavoro part-time all'Associazione d'Alchimia 2 (completato)
zts644e	Lavoro part-time all'Associazione di Alchimia 3 (inizio)
zts645e	Lavoro part-time all'Associazione d'Alchimia 3 (completato)
zts646e	Lavoro part-time all'Associazione di Alchimia 4 (inizio)
zts647e	Lavoro part-time all'Associazione d'Alchimia 4 (completato)
zts648e	Lavoro part-time all'Associazione di Alchimia 5 (inizio)
zts649e	Lavoro part-time all'Associazione d'Alchimia 5 (completato)
zts650e	Lavoro part-time all'Associazione di Alchimia 6 (inizio)
