zts1e	Neuer Gegenstand
zts309e	Die heiligen Kräfte erhöhen den Widerstand gegen böse Mächte und verleihen Magiern, die sich der guten Magie verschrieben haben, außergewöhnliche Kräfte.[n][n]
zts310e	Zauberstab der Seele
zts311e	Die Macht der Seelen beschützt den Träger dieser Waffe.[n][n]
zts312e	Kampfarmbrust
zts313e	Diese tödliche Armbrust wurde für den Kampf geschaffen.[n][n]
zts314e	Belagerungsarmbrust
zts315e	Diese Waffe feuert Pfeile ab, die mit dem Feuerelement versehen wurden.[n][n]
zts316e	Highlanderdolch
zts317e	Ein gefährlicher Dolch, der dir eine hohe Chance auf kritische Treffer gewährt.[n][n]
zts318e	Poignard-Dolch
zts319e	Ein von Dunkelenergie erfüllter Dolch.[n][n]
zts320e	Normale Zauberwaffe
zts321e	Eine Zauberwaffe mit besonders hoher Angriffskraft.[n][n]
zts322e	Bronzene Zauberwaffe
zts323e	Diese Zauberwaffe besitzt das Wasserelement.[n][n]
zts324e	Sicherheitsrüstung
zts325e	Eine besonders robuste Rüstung.[n][n]
zts326e	Harte Lederrüstung
zts327e	Eine Rüstung mit hoher Verteidigungskraft und Feuerresistenz.[n][n]
zts328e	Rüstung des Siegers
zts329e	Kann Fernangriffe abwehren.[n][n]
zts330e	Rüstung des Beschützers
zts331e	Verringert den Schaden im Nahkampf.[n][n]
zts332e	Ritterrüstung
zts333e	Eine Rüstung für Ritter. Sie ermöglicht Flucht und Blockieren.[n][n]
zts334e	Steinrüstung
zts335e	Eine besondere Rüstung, die Schaden sowohl absorbieren als auch blocken kann.[n][n]
zts336e	Blitztunika
zts337e	Verstärkt die Fernangriffs- und Magieverteidigung.[n][n]
zts338e	Naturtunika
zts339e	Angefüllt mit der Energie der Natur[n]erhöht diese Tunika die HP und MP.[n][n]
zts340e	Hailedertunika
zts341e	Blockiert Nah- und Magieangriffe.[n][n]
zts342e	Atemtunika
zts343e	Durchdrungen vom Atem des Todes.[n][n]
zts344e	Windtunika
zts345e	Blockiert sämtliche Angriffe.[n][n]
zts346e	Dryadentunika
zts347e	Beinhaltet sämtliche Elementarkräfte und Resistenzen.[n]Verringert den Manaverbrauch.[n][n]
zts348e	Anfängergewand
zts349e	Verstärkt die Nah- und Fernangriffsverteidigung.[n][n]
zts350e	Weiche Robe
zts351e	Blockiert Fernangriffe.[n][n]
zts352e	Gewand der Klarheit
zts353e	Eignet sich zur Nahangriffsverteidigung und ist gegen Feuer resistent.[n][n]
zts354e	Gemusterte Robe
zts355e	Verleiht Wasser- und Lichtresistenz.[n][n]
zts356e	Zaubergewand
zts357e	Verringert den Manaverbrauch des Wirkenden.[n][n]
zts358e	Gewand der Quelle
zts359e	Blockiert mit einer gewissen Wahrscheinlichkeit sämtliche Angriffe.[n][n]
zts360e	Amulett des Angriffslevels
zts361e	Amulett des Verteidigungslevels
zts362e	Amulett des Angriff- und Verteidigungslevels
zts363e	Amulett der Angriffskraft
zts364e	Amulett der Verteidigung
zts365e	Amulett der Heilung
zts366e	Amulett der Feuerresistenz
zts367e	Amulett der Lichtresistenz
zts368e	Amulett der Wasserresistenz
zts369e	Amulett der Schattenresistenz
zts370e	Amulett der Resistenz
zts371e	Amulett des kritischen Treffers
zts372e	Amulett des kritischen Schadens
zts373e	Amulett der körperlichen Absorption
zts374e	Amulett der magischen Absorption
zts375e	Amulett der Absorption von Fernangriffen
zts376e	Amulett der Absorption sämtlicher Angriffe
zts377e	Amulett des körperlichen Blockierens
zts378e	Amulett des magischen Blockierens
zts379e	Amulett des Blockierens von Fernangriffen
zts380e	Haarreif
zts381e	Schützt den Kopf vor starken Angriffen.[n][n]
zts382e	Weicher Hut
zts383e	Ein weicher Hut.[n][n]
zts384e	Blätter zur Tarnung
zts385e	Sie scheinen nicht besonders nützlich zu sein.[n][n]
zts386e	Mandra-Ohrenschützer
zts387e	Liegt fest an den Ohren an.[n]Schützt mit einer gewissen Wahrscheinlichkeit vor dem Mandra-Schrei.[n][n]
zts388e	Flusspferdhut
zts389e	Sehr weicher Flusspferdhut [n] Schützt mit hoher Wahrscheinlichkeit vor einem Blackout [n][n]
zts390e	Trendige Brille
zts391e	Kovoltmaske
zts392e	Die Maske tarnt dich als Kovolt.[n]Selbst wenn du einen der Bergmänner der Kovolts angreifst, werden dich die anderen Kovolts nicht angreifen.[n]
zts393e	Geweihhut
zts394e	Erhöht die HP.[n]Schützt mit einer gewissen Wahrscheinlichkeit vor dem Mandra-Schrei.[n][n]
zts395e	Pümpelhut
zts396e	Haarschmuck
zts397e	Schützt mit großer Wahrscheinlichkeit vor Blutungen.[n][n]
zts398e	Fühler
zts399e	Stirnband des Orakels
zts400e	Funny Fish-Hut
zts401e	Scheitelkäppchen
zts402e	Wasserbüffelhorn
zts403e	Rechteckige Brille
zts404e	Zwinkernde Maske
zts405e	Schlägermaske
zts406e	Monokel
zts407e	X-Maske
zts408e	Bart und Makeup
zts409e	Amulett des Blockierens sämtlicher Angriffe
zts410e	Amulett des Feuerelements
zts411e	Amulett des Wasserelements
zts412e	Amulett des Lichtelements
zts413e	Amulett des Schattenelements
zts414e	Amulett zur Steigerung der dunklen Energie
zts415e	Hüpfendes Chicky
zts417e	Tanzendes Chicky
zts418e	Grimmiges Chicky
zts419e	Amulett des Wettschutzes (Waffe)
zts420e	Wenn du beim Wetten verlierst und dieses Amulett bei dir hast,[n]verlierst du statt deiner Waffe nur das Amulett.[n](insgesamt bis zu 3-mal verwendbar)[n][n]
zts421e	Amulett des Wettschutzes (Ausrüstung)
zts422e	Wenn du beim Wetten verlierst und dieses Amulett bei dir hast,[n]verlierst du statt deiner Ausrüstung nur das Amulett.[n](insgesamt bis zu 3-mal verwendbar)[n][n]
zts423e	Amulett für den Aufstieg des seltenen Levels
zts424e	Wenn du es bei dir trägst, wird dein Seltenheitslevel beim Wetten um 1 erhöht.[n](Kein Fehlschlag)[n][n]
zts425e	Amulett für die Verstärkung einer Waffe mit fixiertem Level
zts426e	Mit diesem Item kannst du deine Waffe mit fixiertem Level[n]mit der üblichen Wahrscheinlichkeit verstärken.[n]Dabei besteht die Möglichkeit, erneut das fixierte Level zu erhalten.[n]Bei erfolgreicher Verstärkung wird das Level freigesetzt.[n]Vorsicht:[n]Wenn die Verstärkung fehlschlägt, kann das Item verschwinden.[n](insgesamt bis zu 2-mal verwendbar)[n][n]
zts427e	Amulett der Rüstungsverstärkung
zts428e	Mit diesem Item kannst du deine Ausrüstung mit fixiertem Level[n]mit der üblichen Wahrscheinlichkeit verstärken.[n]Dabei besteht die Möglichkeit, erneut das fixierte Level zu erhalten.[n]Bei erfolgreicher Verstärkung wird das Level freigesetzt.[n]Vorsicht:[n]Wenn die Verstärkung fehlschlägt, kann das Item verschwinden.[n](insgesamt bis zu 2-mal verwendbar)[n][n]
zts429e	Elvins Schwert
zts430e	Dieses Schwert ist von einer heiligen Aura umgeben.[n][n]
zts431e	Glorreicher Säbel
zts432e	Mit allen Elementen und Resistenzen ausgestattet, ist dieser Säbel eine wertvolle Waffe für jeden Schwertkämpfer.[n][n]
zts433e	Abgebrochenes Elementarschwert
zts434e	Ein Angriff mit diesem Schwert verringert die Elementresistenz deines Gegners und den Schaden durch kritische Treffer.[n][n]
zts435e	Roter Bogen
zts436e	Entzieht dem Gegner HP[n]und erhöht die Nahangriffskraft.[n][n]
zts437e	Bogen des Friedens
zts438e	Die Kraft der Natur erhöht den Schaden.[n][n]
zts439e	Majestätischer Bogen
zts440e	Sämtliche Elemente schützen den Träger dieser Waffe vor Schaden durch magische Angriffe.[n][n]
zts441e	Legendärer Zauberstab
zts442e	Dieser Zauberstab beherrscht das Feuerelement und stiehlt Gegnern ihre Seelen.[n][n]
zts443e	Zauberrute des Geistes
zts444e	Die Mächte der Geister, die in dieser Rute stecken, entziehen dem Gegner jegliche Resistenz gegen die Kraft der Elemente und verwandelt diese in zusätzliche Energie, um seinen Besitzer zu stärken.[n][n]
zts445e	Majestätischer Zauberstab
zts446e	Weise Leute tragen diese Waffe zur ihrem eigenen Schutz.[n][n]
zts447e	Blaues Gewand des Weisen
zts448e	Testrobe
zts449e	Solaris
zts450e	Dieses liebliche Haustier verstärkt die Angriffskraft seines Besitzers um 30% durch die Macht des Lichtelements.[n][n]
zts451e	Sellaim
zts452e	Die Feuerfee entwickelt sich bis Level 70.[n]Unter Spielern nicht handelbar![n][n]
zts453e	Woondine
zts454e	Die Wasserfee entwickelt sich bis Level 70.[n]Unter Spielern nicht handelbar![n][n]
zts455e	Eperial
zts456e	Die Lichtfee entwickelt sich bis Level 70.[n]Unter Spielern nicht handelbar![n][n]
zts457e	Turik
zts458e	Die Schattenfee entwickelt sich bis Level 70.[n]Unter Spielern nicht handelbar![n][n]
zts459e	Große Sellaim
zts460e	Große Woondine
zts461e	Große Eperial
zts462e	Große Turik
zts463e	Amulett des Segens
zts465e	Amulett des Schutzes
zts467e	Amulett der Verstärkung
zts468e	Kann Ausrüstung im fixierten Level verstärken. [n] Es schützt aber nicht vor Zerstörung, dafür wird gleichzeitig noch eine Ausrüstungsschutzrolle benötigt. Wird normalerweise für Waffen und Ausrüstung benutzt [n] (Kann 3 mal benutzt werden). [n][n]
zts469e	Haustierperle
zts470e	Mit diesem Gegenstand kannst du[n]dein NosMate in eine Perle[n]setzen und diese im Inventar[n]oder im Warenhaus aufbewahren.[n]NosMates, die in Perlen gesetzt[n]wurden, können mit anderen[n]Spielern getauscht werden.[n][n][Anleitung][n]Wähle dein NosMate an und klicke[n]zweimal auf die Perle.[n][n]Hinweis:[n]Durch die Aufbewahrung des NosMates[n]in dieser Perle wird sein Name[n]verloren gehen. Sollte dein[n]NosMate ein höheres Level haben[n]als du, kannst du es zwar[n]im Miniland freilassen, aber nicht[n]mit auf Missionen nehmen.[n][n]
zts471e	Partnerperle
