zts1e	Rest
zts236e	Increases the ranged attack power of Slingshot.
zts237e	A powerful spinning blow which causes additional damage to the enemy.
zts238e	Extra Bleeding
zts239e	Enhances Beat-Up with the fire element and it also causes minor Bleeding.
zts240e	Powerful Energy Bolt
zts241e	Increases magic attack power of Energy Bolt and adds the water element.
zts242e	Strengthen Slash
zts243e	Increases melee attack power of Slash.
zts244e	Skilful Slash
zts245e	Specialised Slash for High-level Plants
zts246e	Increases melee attack power against high-level plants.
zts247e	Strengthen Crossbow Shot
zts248e	Increases ranged attack power of Crossbow Shot.
zts249e	Demon Shooter
zts250e	Extreme Damage
zts251e	Using the fire element there is a certain chance that the damage is doubled.
zts252e	Critical hits cause massive amounts of damage.
zts253e	Enhances Hit of Rage with the fire element.
zts254e	Strengthen Hit of Rage
zts255e	Increases the melee attack power and hit rate of Hit of Rage.
zts256e	Skilful Hit of Rage
zts257e	Increases melee attack power.
zts258e	Targeted Shot
zts259e	Increases the chance of critical hits with Counterstrike.
zts260e	Kovolt Attack
zts261e	Attack takes advantage of Kovolt weaknesses to inflict critical damage on them.
zts262e	Enhances Counterstrike with the water element.
zts263e	Strengthen Cutting
zts264e	Increases the melee attack power of Cutting.
zts265e	Increased Range
zts266e	Increases the sword's range.
zts267e	Perfect Hit
zts268e	Land a Perfect Hit on your enemy and cause a Blackout.
zts269e	Heavy Earth Wave
zts270e	Increases the attack power of Earth Wave.
zts271e	Brutal Earth Wave
zts272e	Strengthened Blow Wield
zts273e	Increases the attack power of Blow Wield and causes a Blackout to the enemy.
zts274e	Enhances Blow Wield with the water element.
zts275e	Enfeeble Enemy
zts276e	Double Attack reduces your opponent's attack level for a certain time.
zts277e	Strengthen Double Attack
zts278e	Increases the intensity of the attack.
zts279e	Strengthened Dynamic Shot
zts280e	Increases the attack power of Dynamic Shot.
zts281e	Bull's Eye
zts282e	Dynamic Shot always hits.
zts283e	Additional Charge Power
zts284e	Increases the melee attack of Charge Power.
zts285e	Powerful Blood Oath
zts286e	Increases attack power during the Blood Oath.
zts287e	Increase Dash Attack Range
zts288e	Increases range of attack.
zts289e	Drawing Shot
zts290e	Taunt Shot draws the enemy's attention to you.
zts291e	Dynamic Archery
zts292e	Increases ranged attack power of Archery.
zts293e	Masterful Archery
zts294e	Specialised Shot for High-level Plants
zts295e	Increases attack power against high-levelled plants.
zts296e	Strengthened Dagger Stab
zts297e	Increases the power of Dagger Stab.
zts298e	Lethal Dagger Stab
zts299e	Increases the probability of causing a critical hit with a Dagger Stab.
zts300e	Strengthened Elaborate Shot
zts301e	Enhances Elaborate Shot with the water element and increases the attack power.
zts302e	Enhances Elaborate Shot with the water element.
zts303e	Increases the probability of critical hits with Elaborate Shot.
zts304e	There is a certain probability that damage will be doubled.
zts305e	Strengthen Piercing Shot
zts306e	Piercing Shot increases the damage of critical hits.
zts307e	Synchronised Attack
zts308e	Multiple enemies are attacked simultaneously with the Jump Shot.
zts309e	Kovolt Shot
zts310e	Increases attack power against Kovolts.
zts311e	Strengthened Fast Shot
zts312e	Increases the attack power of Fast Shot.
zts313e	Strengthened Rain of Arrows
zts314e	Increases the attack power of Rain of Arrows.
zts315e	Range
zts316e	Increases the range of Rain of Arrows.
zts317e	Short Stab causes Bleeding to the enemy.
zts318e	Strengthened Short Stab
zts319e	Increases the attack power of Short Stab.
zts320e	Increased Probability
zts321e	Increases the chance of interrupting movement when executing a Turning Count.
zts322e	Increases the attack power of Death Charge.
zts323e	Increases movement speed.
zts324e	Speed Boost
zts325e	Strengthened Ritual of Hawk
zts326e	During the Ritual of Hawk the attack power is increased.
zts327e	Herb Mastery
zts328e	A cure to high levels of poisoning.
zts329e	Dizzying Venom
zts330e	Applies a Dizzying Venom to simple daggers.
zts331e	Deadly Poison
zts332e	Applies a Deadly Poison to simple daggers.
zts333e	Push
zts334e	Push your enemy back.
zts335e	Powerful Energy Bolt
zts336e	Increases magic attack power of Energy Bolt.
zts337e	Increases range of Energy Bolt.
zts338e	Strengthened Spell Gun
zts339e	Increases the attack power of the Spell Gun.
zts340e	Specialised for High-level Plants
zts341e	Flame Explosion
zts342e	Firing a Fire Bolt causes a Flame Explosion.
zts343e	Powerful Fire Bolt
zts344e	Increases attack power of Fire Bolt.
zts345e	Freeze
zts346e	Using Ice Bolts freezes the enemy.
zts347e	Ice Lightning
zts348e	Increases attack power of Ice Bolt.
zts349e	Strengthened Magic Missile
zts350e	Increases attack power of Magic Missile.
zts351e	Range Boost
zts352e	Increases range of Magic Missile.
zts353e	Immense Flame Column
zts354e	Increases attack power of Fire Column.
zts355e	Powerful Tornado
zts356e	Increases attack power of Tornado.
zts357e	Increased Recovery
zts358e	Improves HP recovery.
zts359e	Improved Red Drain
zts360e	Increases HP stolen by Red Drain.
zts361e	Tumble
zts362e	Meteor
zts363e	Spin Attack
zts364e	Spin Attack 2
zts365e	Sticky Pad
zts366e	Blackout Aura
zts367e	Strong Sticky Pad
zts368e	Summon Miner
zts369e	Summon Miner 2
zts370e	Summon Miner 3
zts371e	Strong Spin Attack (Kenko)
zts372e	High Toss
zts373e	Bite
zts374e	Ice Storm
zts375e	Korrkoaren's Spin Slash
zts376e	Kenel's Dash
zts377e	Kenko's Spin Attack
zts378e	Turtle's Spin Attack
zts379e	Darkwitch's Curse
zts380e	Bloodwitch's Command Attack
zts381e	Madame's Command Attack
zts382e	Dead Madame's Hand
zts383e	Kenel's Attack
zts384e	Lion Wolf's Attack
zts385e	Low-Level Monsters' Attack
zts386e	Polluted Boing
zts387e	Spider King's Draw
zts388e	Spider King's Spin Attack
zts389e	Kukukeen's Spin Attack
zts390e	Kukukeen's Sneeze
zts391e	DustDeath's Fireball
zts392e	Catlotte's 1st Skill
zts393e	Catrisha's 1st Skill
zts394e	Catrisha's 2nd Skill
zts395e	NPC's Strong Attack
zts396e	Catlotte's 2nd Skill
zts397e	Ginseng's Recovery
zts398e	Ginseng's Spin Attack
zts399e	Castra's Lightning
zts400e	Castra's Smoke
zts401e	Slade's Howling
zts402e	Slade's Stone Throw
zts403e	Basic Magic Attack
zts404e	Giant Black Spider's Basic Attack
zts405e	Giant Black Spider Web
zts406e	Slade's Basic Attack
zts407e	Castra's Teleport
zts408e	Mandra Dash
zts409e	Iron Hammer Attack
zts410e	Avalanche Attack
zts411e	Spider Attack
zts412e	Black Meteorite Attack
zts413e	Skull Archer's Fast Shot
zts414e	Skull Archer Strong Shot
zts415e	Skull Attack
zts416e	Death Dust Firestorm
zts417e	Hunchbacked Zombie Guard's Gas
zts418e	Quest Holder
zts419e	Pillow Fight
zts420e	Play Dead
zts421e	Sleep
zts422e	Bored
zts423e	Lie Down
zts424e	Morning Stretches
zts425e	Teatime
zts426e	Play Tambourine
zts427e	Lean On You
zts428e	Forgive Me
zts429e	Read Books
zts430e	Two-Handed Sword Attack
zts431e	The basic attack of the Warrior.
zts432e	Triple Slash
zts433e	The attack inflicts triple damage on the enemy.
zts434e	Iron Skin
zts435e	Temporarily increases your defence power.
zts436e	Whirlwind
zts437e	Use the power of your sword to create a mighty Whirlwind.
zts438e	Provoke
zts439e	Attracts the attention of enemies within a certain radius.
zts440e	Finishing Blow
zts441e	Attack multiple enemies in a row, piercing them with your sword.
zts442e	Intimidate
zts443e	Intimidate your enemies with a terrifying cry.
zts444e	The greater the difference in level between you and your enemies, the weaker the effect.
zts445e	Shoulder Charge
zts446e	Charge into your helpless enemy with your shoulder armour, injuring them with a precise blow.
zts447e	Fury
zts448e	Utter a terrifying roar to boost you and your group's fighting spirit.
zts449e	Earth Shock
zts450e	Focuses the energy of your sword into the earth, causing quakes and inflicting great damage on your enemies.
zts451e	Rising Dragon
zts452e	Using your sword's Spinning Hit to cause critical damage.
zts453e	Use this to obtain powerful and destructive powers.
zts454e	Cutting
zts455e	The basic attack of the Ninja.
zts456e	Cross Cutting
zts457e	You slash your sword this way and that, inflicting heavy damage on your enemy.
zts458e	Energy Blade
zts459e	Wielding your sword is enough to rend the earth asunder and obliterate even distant enemies.
zts460e	Chain Attack
zts461e	A multiple attack which confuses the enemy, putting them out of action.
zts462e	Blade Protection
zts463e	Converts your enemy's attack power to boost your own strength.
zts464e	Sword Storm
zts465e	Attack your enemies by wielding the sword like lightning.
zts466e	Light Speed Attack
zts467e	Carry out an attack at the speed of light.
zts468e	Breath of Recovery
zts469e	Meditate to recover your physical and mental strength.
zts470e	Lethal Blow
zts471e	Concentrates all energies to carry out a targeted Lethal Blow.
zts472e	Sharp Edge
zts473e	Sharpens your blade.
zts474e	Dancing Sword
zts475e	Wield your sword to hit your enemies.
zts476e	Hawk Eye
zts477e	Use the precision of a hawk to carry out an attack with an increased hit rate.
zts478e	Head Shot
zts479e	A precise shot to the head deals critical damage.
zts480e	Wind Walker
zts481e	Increases movement speed for a certain time.
zts482e	Flashbang
zts483e	Your enemy is blinded by a bright flash and cannot counterattack.
zts484e	Triple Arrow
zts485e	Use this skill to wound multiple enemies with one shot.
zts486e	Range Boost
zts487e	Increases the range of ranged attacks.
zts488e	Screw Bolt
zts489e	Causes great damage to every enemy who comes into contact with this bolt.
zts490e	Covering Fire
zts491e	Bolts strike the area around you at random.
zts492e	Rapid Recovery
zts493e	Reduces the skill's cooldown time for a certain period.
zts494e	Thunderstorm
zts495e	Arrows rain down on the enemy like a thunderstorm.
zts496e	Dagger Attack
zts497e	The basic attack of the Assassin.
zts498e	Critical Hit
zts499e	Increases the chance of inflicting a critical hit.
zts500e	Slash
zts501e	Execute a rough and mean attack on your enemy.
zts502e	Thick Smog
zts503e	Create a Thick Smog which decreases your enemies' hit rate.
zts504e	Chain Hook Throw
zts505e	Throws the Chain Hook to pull the enemy in front of you.
zts506e	Dodge
zts507e	If you successfully dodge an attack, some of your energy will be restored.
zts508e	Tomahawk
zts509e	Attack your enemies with throwing axes.
zts510e	Shadow
zts511e	A shadow hides you from your enemies, but it will disappear again if you attack or are attacked.
zts512e	Storm Slash
zts513e	Carry out a lightning fast spinning blow with a dagger.
zts514e	Deadly Strike
zts515e	Carry out a sudden attack to cause critical damage.
zts516e	Can be used efficiently with the shadow element.
zts517e	Bomb
zts518e	Jump back, leaving a bomb to explode at the enemy's feet.
zts519e	Trip
zts520e	The basic attack of the Red Magician.
zts521e	Fire Burst
zts522e	Causes a small explosion inflicting damage on the enemy.
zts523e	Fiery Breath
zts524e	The enemy is burned by the Fiery Breath.
zts525e	Mana Transfusion
zts526e	Converts some of your HP into MP.
zts527e	Firestorm
zts528e	Firestorm burns all nearby enemies.
zts529e	Firelance
zts530e	Summons a powerful Firelance to destroy enemies.
zts531e	Fire Blessing
zts532e	Increases fire element and fire resistance.
zts533e	Firewall
zts534e	Summons a Firewall to inflict damage on enemies.
zts535e	Meteor Shower
zts536e	A powerful Meteor Storm rains down on the enemy.
zts537e	Inferno
zts538e	A powerful column of fire appears and causes gravity to weaken.
zts539e	Meteor Strike
zts540e	Summons a huge meteor, destroying the target and the surrounding area.
zts541e	Holy Attack
zts542e	A holy ball of light develops to attack enemies.
zts543e	A special spell which doesn't consume MP.
zts544e	Healing
zts545e	Heal a selected character.
zts546e	Holy Light
zts547e	A Holy Light comes down from the sky and damages enemies.
zts548e	Mana Shield
zts549e	Creates a shield around you.
zts550e	Heaven Song
zts551e	The Heaven Song causes enemies around you to lose the will to fight for a certain time.
zts552e	Cure All
zts553e	Removes all bad effects on you and your fellow players.
zts554e	Undead Purge
zts555e	Inflicts critical damage on undead.
zts556e	Group Healing
zts557e	Restores your companions' HP.
zts558e	Holy Weapon
zts559e	Blesses your weapon with the light element for a certain time.
zts560e	Blessing
zts562e	Holy Hammer
zts563e	A Holy Hammer hurtles down from the heavens and causes huge damage to your enemies.
zts564e	Love (Alt + Q)
zts565e	Greet (Alt + W)
zts566e	Grin (Alt + E)
zts567e	Laugh (Alt + R)
zts568e	Shy (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Ooops (Alt + U)
zts571e	Ahhh (Alt + I)
zts572e	Embarrassed (Alt + O)
zts573e	Victory (Alt + P)
zts574e	What? (Alt + A)
zts575e	Are you kidding me? (Alt + S)
zts576e	Awesome! (Alt + D)
zts577e	You're Nuts (Alt + F)
zts578e	Angry (Alt + G)
zts579e	You'll pay! (Alt + H)
zts580e	Gotcha (Alt + J)
zts581e	STOP! (Alt + K)
zts582e	Tears (Alt + L)
zts583e	Cry (Alt + Z)
zts584e	Sob (Alt + X)
zts585e	Burnout (Alt + C)
zts586e	Cute Boy (Alt + V)
zts587e	Cute Girl (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Bleh (Alt + M)
zts590e	Long Face (Alt + ,)
zts591e	Jerico's Spinning Kick
zts592e	Upgrade
zts594e	Increases physical strength by 30.
zts595e	Increases agility by 30.
zts596e	[Advanced] Intelligence Course
zts597e	Increases intelligence by 35.
zts598e	[Expert] Intelligence Course
zts599e	Increases HP permanently by 400.
zts600e	Increases MP permanently by 400.
zts601e	[Advanced] Effective Attack
zts602e	Increases attack power by 20.
zts603e	[Expert] Effective Attack
zts604e	[Advanced] Self-defence Course
zts605e	Increases defence by 20.
zts606e	[Expert] Self-defence Course
zts607e	Increases HP recovery by 100.
zts608e	Increases MP recovery by 120.
zts609e	Natural Healing
zts610e	With a stylish effect.
zts611e	Skill strength increased further.
zts612e	Shining Blade
zts613e	Monster Tornado
zts614e	Strengthened Magic Bullet
zts616e	Storm Slash
zts617e	Elemental Resistance Boost
zts618e	Sudden Attack
zts619e	Stun Shot
zts620e	Exploding Shot
zts621e	Flaming Arrow
zts622e	Shining Arrow
zts623e	Target Weak Points
zts624e	Ice Auger
zts625e	Judgement of Light
zts626e	Magma Zone
zts627e	Magic Beam
zts628e	Loser's Breath
zts629e	Chicken King's Jump
zts630e	Chicken King's Cry
zts631e	Increases nearby companions' defence and resistance for a certain period.
zts632e	Protects from critical hits.
zts633e	Kick
zts634e	Cry
zts635e	Jump
zts636e	Strengthen Explosive Magic Bullet
zts637e	Chicken King's Medium Jump
zts638e	Chicken King's Quick Jump
zts639e	Attack quickly and effectively with Bamboo Sticks.
zts640e	Jajamaru Boss Trap
zts641e	Shuriken Attack
zts642e	Shuriken Jump
zts643e	Flame Fires
zts644e	Bomb Drop
zts645e	Replace
zts646e	Stealth Mode
zts647e	Summon Kamapakun
zts648e	Creation
zts649e	Power of Empty Heart
zts650e	Strengthen Explosive Magic Bullet 2
zts651e	Ninja Shuriken Attack
zts652e	Namaju's Stomping
zts653e	Summon Namaju
zts654e	Armoured Attack
zts655e	Maple Leaf Attack
zts656e	Laser Beams
zts657e	Summon Spirits
zts658e	Magic Hands
zts659e	Poisonous Fog
zts660e	Trip
zts661e	Kovolt Ghost Archer's Attack
zts662e	Jajamaru's basic attack. Throws shurikens at enemies.
zts663e	Jumps and throws several shurikens toward nearby enemies.
zts664e	A fire attack on bunched together enemies.
zts665e	Throws a powerful bomb at the enemies.
zts666e	Teleports to a certain point, leaving wooden splinters at the original location.
zts667e	Hides you until yours or someone else's next attack.
zts668e	Rides a Kamapakun and attacks nearby enemies.
zts669e	Summons the Jajamaru miniatures which attack and then disappear again.
zts670e	This skill can only be used for Namaju.
zts671e	Restores energy for a limited period and causes Namaju to take damage.
zts672e	Beast Dash
zts673e	Kovolt Warrior's Sudden Attack
zts674e	Devil Lady's Teleport
zts675e	Fog Poison
zts676e	Revenant Skeleton Warrior's Basic Attack
zts677e	Blinds the reborn devil.
zts678e	Skull Hawk's Basic Attack
zts679e	Death Warrior's Basic Attack
zts680e	Death Warrior's Whirlwind
zts681e	Death Warrior's Silence
zts682e	Death Warrior's Phantom Teleport
zts683e	Hell Knight's Basic Attack
zts684e	Hell Knight's Earth Shock
zts685e	Hell Knight's Cry
zts686e	Hell Knight's Stun Shield
zts687e	Flying Fire Devil's Basic Attack
zts688e	Flying Fire Devil's Fire Star
zts689e	Grasslin Fairy Jump
zts690e	Grasslin Fairy Roar
zts691e	Grasslin Fairy Medium Jump
zts692e	Grasslin Fairy Quick Jump
zts693e	Fire Drake's Basic Attack
zts694e	Bone Drake's Basic Attack
zts695e	Elemental Attack
zts696e	Holy Bolt
zts697e	Triple Bolt
zts698e	Siege Mode
zts699e	Defence Mode
zts700e	Prayer of Recovery
zts701e	Holy Cross
zts702e	Growth Shield
zts703e	Prayer of Defence
zts704e	Prayer of Offence
zts705e	Concentrate 1
zts706e	Axe Swing
zts707e	Bash
zts708e	Rage
zts709e	Sonic Rush
zts710e	Adrenaline Strike
zts711e	Frenzied Attack
zts712e	Big Swing
zts713e	Split Tornado
zts714e	Berserker
zts715e	Life and Death
zts716e	Break Armour
zts717e	Fire Shotgun
zts718e	Rapid Shot
zts719e	Lucky Wideshot
zts720e	Speed Boost
zts721e	Bomber
zts722e	Poison Gas Shell
zts723e	Burst Shot
zts724e	Miraculous Healing
zts725e	Boom Shot
zts726e	Fire Mine
zts727e	Hell Drop
zts728e	Boomerang Blast
zts729e	Snake Rush
zts730e	Beast Claw
zts731e	Eagle Spirit
zts732e	Elemental Shining
zts733e	Boomerang Throw
zts734e	Wolf Spirit
zts735e	Elemental Leech
zts736e	Ivy
zts737e	Bear Spirit
zts738e	Forest Power
zts739e	Ice Ball
zts740e	Ice Shard
zts741e	Freezing Blast
zts742e	Ice Lance
zts743e	Ice Chain
zts744e	Frozen Shield
zts745e	Glacier
zts746e	Blessing of Water
zts747e	Heavy Hail
zts748e	Intense Cold
zts749e	Blizzard
zts750e	Chrysos Bubble Attack
zts751e	Treekun's Root Attack
zts752e	Holy Breath
zts753e	Triple Charging
zts754e	Shining Effect
zts755e	Concentrate 2
zts756e	Booster On
zts757e	Ice Chain
zts758e	Spell Revolver
zts759e	Combination Shot
zts760e	Magic Blitz
zts761e	Ghost Guard
zts762e	Curse Blitz
zts763e	Dark Force
zts764e	Possession
zts765e	Ghost Recharge
zts766e	Evil Potion
zts767e	Requiem
zts768e	Ghost Invasion
zts769e	Stump Attack
zts770e	Special Electric Attack
zts771e	Summon Jellyfish
zts772e	Erikiel in Spear Mode
zts773e	Mole Attack
zts774e	Basilisk Fossilisation Attack
zts775e	Moth Powder Attack
zts776e	Skilled Attack
zts777e	Greylander Attack
zts778e	Greylander Stun
zts779e	Chrysos Basic Attack
zts780e	Mole Cricket Attack
zts781e	Concentrated Power
zts782e	Bomb Explosion
zts783e	Bomb Explosion 2
zts784e	Aggressive Attack
zts785e	Landmine Explosion
zts786e	Basic Catapult Attack
zts787e	Catapult Glider
zts788e	Daisy's Basic Attack
zts789e	Daisy Gas Shell
zts790e	Seina's Basic Attack
zts791e	Seina's Holy Cross
zts792e	Big Swing
zts793e	Rage
zts794e	Break Armour
zts795e	The basic attack of the Crusader.
zts796e	Fire off a Holy Bolt and wound your enemies.
zts797e	The threefold attack inflicts heavy damage on your enemies.
zts798e	Nearby creatures are weakened by the powerful light element of the Holy Breath.
zts799e	Increases all attack power for a certain time.
zts800e	The target is wrapped in a holy light.
zts801e	HP is restored.
zts802e	The spirit of light causes an explosion which creates a huge Holy Cross.
zts804e	Increases you and your group's stamina and defence.
zts805e	Increases you and your party's attack power and morale.
zts806e	Your target and surrounding enemies are defeated by the summoning of Concentrated Power.
zts807e	The basic attack of the Destroyer.
zts808e	A rapidly fired shot inflicts high damage on enemies.
zts809e	Defeats all nearby enemies.
zts810e	Accelerate your movements with a powerful boost.
zts811e	Attacks nearby enemies through the explosion of a special bomb. The bomb automatically defuses itself after 40 seconds.
zts812e	Poisons nearby enemies by exploding a Poison Gas Shell.
zts813e	Increases the shotgun's penetrating power.
zts814e	Heals all bad effects caused by enemies.
zts815e	Attack enemies by throwing a bomb.
zts816e	Fire mines rush at the enemy.
zts817e	The strongest bomb is fired at random.
zts818e	The basic attack of the Blue Magician.
zts819e	Defeat enemies with sharp Ice Shards.
zts820e	The enemy is frozen by a powerful frost spell.
zts821e	Pierce your enemies with an ice lance.
zts822e	Ties the enemy to an icy chain.
zts823e	A protective shield of ice lessens the enemy's attacks.
zts824e	Icy shapes form around the caster.
zts825e	Blessing of Water
zts826e	Increases resistance to the water element.
zts827e	Enemies suffer massive damage from falling hailstones.
