zts1e	Специальные Атаки
zts90e	Сила элемента света повышена на %s
zts91e	Сила элемента света понижена на %s
zts92e	Сила элемента тьмы повышена на %s
zts93e	Сила элемента тьмы понижена на %s
zts94e	Усиление всех элементов на %s
zts95e	Ослабление всех элементов на %s
zts96e	Увеличивает урон.
zts97e	Увеличивает Вероятность.
zts98e	Урон повышается с вероятностью в %s%% на %s%%.
zts99e	C %s%% вероятностью понижает урон на %s%%.
zts100e	Элемент огня повышается на %s.
zts101e	Элемент огня понижается на %s.
zts102e	Сила элемента воды повышена на %s
zts103e	Сила элемента воды понижена на %s
zts104e	Сила элемента света повышена на %s
zts105e	Сила элемента света понижена на %s
zts106e	Элемент тьмы повышается на %s.
zts107e	Элемент тьмы понижается на %s.
zts108e	Изменяет силу защиты
zts109e	Изменяет все силы защиты
zts110e	Изменяет защиту в ближнем бою
zts111e	Изменяет защиту от дальних атак
zts112e	Изменяет защиту от магии
zts113e	Изменяет уровень защиты
zts114e	Защита повышена на %s
zts115e	Защита понижена на %s
zts116e	Защита в ближнем бою повышена на %s
zts117e	Защита в ближнем бою понижена на %s
zts118e	Защита в дальнем бою повышена на %s
zts119e	Защита в дальнем бою понижена на %s
zts120e	Защита от магии повышена на %s
zts121e	Защита от магии понижена на %s
zts122e	Уровень защиты повышен на %s
zts123e	Уровень защиты понижен на %s
zts124e	Уклонение и % силы защиты изменяются
zts125e	Изменяет все уклонения
zts126e	Изменяет уклонение в ближнем бою
zts127e	Изменяет уклонение от дальних атак
zts128e	Изменяет % силы защиты
zts129e	Уклонение от всех атак повышено на %s
zts130e	Уклонение от всех атак понижено на %s
zts131e	Уклонение в ближнем бою повышено на %s
zts132e	Уклонение в ближнем бою понижено на %s
zts133e	Уклонение в дальнем бою увеличено на %s
zts134e	Уклонение от дальних атак понижено на %s
zts135e	Защита повышена на %s%%
zts136e	Защита понижена на %s%%
zts137e	Изменяет защиту.
zts138e	Изменяет защиту всех типов.
zts139e	Изменяет защиту в ближнем бою.
zts140e	Изменяет защиту в дальнем бою.
zts141e	Изменяет магическую защиту.
zts142e	С вероятностью %s%% урон от всех атак повышается на %s%%.
zts143e	С вероятностью %s%% урон от всех атак понижается на %s%%.
zts144e	Урон от Атак Ближнего Боя повышен на %s%% с вероятностью %s%%
zts145e	C вероятностью %s%% урон от атак ближнего боя понижается на %s%%.
zts146e	Урон от дальних атак повышается на %s%% с вероятностью %s%%
zts147e	C вероятностью %s%% урон от атак дальнего боя понижается на %s%%.
zts148e	Урон от магических атак повышается на %s%% с вероятностью %s%%
zts149e	С вероятностью %s%% урон от магической атаки снижен на %s%%
zts150e	Модифицирует Поглощение Урона
zts151e	Модифицирует Поглощение любого Урона
zts152e	Модифицирует Поглощение Урона в Ближнем Бою
zts153e	Модифицирует Поглощение Урона в Дальнем Бою
zts154e	Модифицирует Поглощение Магического Урона
zts155e	Все атаки ниже уровня (+%s) наносят на %s%% больше урона.
zts156e	Урон от Всех Атак ниже уровня (+%s) понижен на %s%%
zts157e	Атаки ближнего боя ниже уровня (+%s) наносят на %s%% больше урона.
zts158e	Атаки ближнего боя ниже уровня (+%s) наносят на %s%% меньше урона.
zts159e	Атаки дальнего боя ниже уровня (+%s) наносят на %s%% больше урона.
zts160e	Атаки дальнего боя ниже уровня (+%s) наносят на %s%% меньше урона.
zts161e	Магические атаки ниже уровня (+%s) наносят на %s%% больше урона.
zts162e	Магические атаки ниже уровня (+%s) наносят на %s%% меньше урона.
zts163e	Изменение сопротивления элементам
zts164e	Изменяет все сопротивления.
zts165e	Изменение сопротивления элементу огня
zts166e	Изменение сопротивления элементу воды
zts167e	Изменение сопротивления элементу света
zts168e	Изменение сопротивления элементу тьмы
zts169e	Сопротивление всем элементам повышено на %s
zts170e	Сопротивления всем элементам понижаются на %s.
zts171e	Повышение сопротивления элементу огня на %s
zts172e	Понижение сопротивления элементу огня на %s
zts173e	Сопротивление элементу воды повышено на %s
zts174e	Понижение сопротивления элементу воды на %s
zts175e	Сопротивление элементу света увеличено на %s
zts176e	Понижение сопротивления элементу света на %s
zts177e	Повышение сопротивления элементу тьмы на %s
zts178e	Понижение сопротивления элементу тьмы на %s
zts179e	Изменяет сопротивления противника.
zts180e	Изменяет сопротивления противника.
zts181e	Изменение сопротивления элементу огня противника
zts182e	Изменение сопротивления элементу воды противника
zts183e	Изменение сопротивления элементу света противника
zts184e	Изменение сопротивления элементу тьмы
zts185e	Повышает противнику сопротивления элементам на %s.
zts186e	Понижает сопротивление противника каждому элементу на %s
zts187e	Повышает противнику сопротивление огню на %s.
zts188e	Понижает противнику сопротивление огню на %s.
zts189e	Повышает противнику сопротивление воде на %s.
zts190e	Понижает противнику сопротивление воде на %s.
zts191e	Повышает противнику сопротивление свету на %s.
zts192e	Понижает противнику сопротивление свету на %s.
zts193e	Повышает противнику сопротивление тьме на %s.
zts194e	Понижает противнику сопротивление тьме на %s.
zts195e	Изменить Урон
zts196e	Модифицировать все виды Урона
zts197e	Модифицировать Урон в Ближнем Бою
zts198e	Модифицировать Урон в Дальнем Бою
zts199e	Модифицировать Магический Урон
zts200e	Урон повышен на %s%%
zts201e	Урон понижен на %s%%
zts202e	Урон от Атак в Ближнем Бою повышен на %s%%
zts203e	Урон от Атак в Ближнем Бою понижен на %s%%
zts204e	Урон от Атак в Дальнем Бою повышен на %s%%
zts205e	Урон от Атак в Дальнем Бою понижен на %s%%
zts206e	Магический урон повышен на %s%%
zts207e	Магический урон понижен на %s%%
zts208e	Предотвращает смену фокуса и гарантирует уклонение от атак дальнего боя.
zts209e	Гарантированно меняет фокус.
zts210e	Изменяет гарантированное уклонение в процентном соотношении.
zts211e	Нет штрафа за дальнюю дистанцию
zts212e	Чем больше Дистанция, тем больше Урон
zts213e	С вероятностью %s%% все атаки попадают в цель
zts214e	Уклонение от атак цели с вероятностью в %s%%.
zts215e	Атакуя с дальней дистанции, нет штрафа за ближнюю дистанцию
zts216e	Сила атаки в дальнем бою повышается тем сильнее, чем дальше находится противник.
zts217e	Модифицирует Уровень Морали
zts218e	Модифицирует Уровень Морали
zts219e	Дает Удвоенный Уровень Морали
zts220e	Не влияет на Мораль
zts221e	Изменение времени отката
zts222e	Игнорирует Мораль
zts223e	Мораль повышена на %s
zts224e	Мораль понижена на %s
zts225e	Мораль повышена вдвое
zts226e	Мораль понижена вдвое
zts227e	Не влияет на Уровень Морали
zts228e	Время на использование умений повышено на %s%%
zts229e	Время перезарядки используемых во время действия эффекта навыков сокращается на %s%%.
zts230e	Игнорирование морали цели во время атаки.
zts231e	Кастование
zts232e	Модифицировать Время Каста
zts233e	Модифицирует Расход Маны
zts234e	Изменяет скорость атаки.
zts235e	Заклинание не сработало
zts236e	Заклинание прервано
zts237e	Длительность заклинания повышена на %s%%
zts238e	Длительность заклинания понижена на %s%%
zts239e	Мана на использование навыков повышается на %s%%. (Включая магию.)
zts240e	Мана на использование навыков понижается на %s%%. (Включая магию.)
zts241e	Скорость Атаки повышена на %s%%
zts242e	Скорость Атаки понижена на %s%%
zts243e	Ошибка при использовании Умения (включая Магию)
zts244e	Прерывает использование заклинаний (включая магию)
zts245e	Передвигаться
zts246e	Прерывает передвижение
zts247e	Модифицирует Скорость Передвижения
zts248e	Изменяет скорость передвижения.
zts249e	Повышает/Понижает Скорость Передвижения
zts250e	Передвижение невозможно
zts251e	Скорость передвижения повышена на %s%%
zts252e	Скорость передвижения понижается на %s%%.
zts253e	Скорость Передвижения становится %s
zts254e	Скорость передвижения повышена на %s
zts255e	Скорость передвижения понижается на %s.
zts256e	Отражение
zts257e	Изменяет ОЗ в зависимости от пропорционального полученного урона
zts258e	Изменяет ОМ пропорционально полученному урону.
zts259e	Изменяет ОЗ в зависимости от процентного полученного урона
zts260e	Изменяет ОМ пропорционально полученному урону.
zts261e	Повышает ОЗ на %s%% от нанесенного урона
zts262e	Понижает ОЗ на %s%% от нанесенного урона
zts263e	OM повышены на %s%% от нанесенного Урона
zts264e	OM понижены на %s%% от нанесенного Урона
zts265e	ОЗ противника повышаются на %s%% от полученного мной урона
zts266e	ОЗ противника понижаются на %s%% от полученного мной урона
zts267e	ОМ противника повышаются на %s%% от полученного мной урона.
zts268e	ОМ противника понижаются на %s%% от полученного мной урона
zts269e	Утечка
zts270e	Конвертирует ОМ в ОЗ
zts271e	Конвертирует ОЗ в ОМ
zts272e	Крадет ОЗ
zts273e	Крадет OM
zts274e	Крадет ОЗ и осушает ОМ
zts275e	Дает %s ОЗ за %s ОМ
zts276e	Дает %s ОМ за %s ОЗ
zts277e	С вероятностью %s%% дает твоему противнику %s ОЗ
zts278e	%s%% шанс высосать %s ОЗ из противника.
zts279e	Дает %s OM Противнику с вероятностью %s%%
zts280e	С вероятностью %s%% высасывает %s ОМ из твоего противника.
zts281e	Конвертирует %s ОМ противника в его ОЗ
zts282e	Конвертирует %s ОЗ противника в твои ОМ
zts283e	Лечение/Сжигание и Колдовство
zts284e	ОЗ исцеление/сжигание
zts285e	Лечение OM/Сжигание
zts286e	Изменяет количество ОЗ при использовании заклинаний
zts287e	Изменяет количество ОЗ в случае прерывания концентрации
zts288e	Конвертирует столько ОЗ в ОМ, сколько нужно для выполнения заклинания
zts289e	Восстанавливает %s ОЗ
zts290e	Понижает ОЗ на %s
zts291e	Восстанавливает %s ОМ.
zts292e	ОМ понижаются на %s.
zts293e	Восстанавливает %s ОЗ во время использования заклинания
zts294e	Понижает ОЗ на %s во время использования заклинания
zts295e	Восстанавливает %s ОЗ в случае прерывания заклинания
zts296e	Понижает ОЗ на %s в случае прерывания заклинания
zts297e	Восстанавливает %s%% ОЗ благодаря потреблению ОМ
zts298e	%s%% ОЗ понижается от количества потребленных ОМ.
zts299e	Изменяет количество ОЗ/ОМ
zts300e	Изменяет количество оставшихся ОЗ
zts301e	Модифицирует Оставшиеся OM
zts302e	Изменяет количество временных ОЗ
zts303e	Модифицирует Временные OM
zts304e	Добавляет дополнительные ОЗ/ОМ
zts305e	Восстанавливает %s%% потерянных ОЗ
zts306e	Понижает оставшиеся ОЗ на %s%%
zts307e	Восстанавливает %s%% от потерянных OM
zts308e	Понижает %s%% от оставшихся OM
zts309e	Восстанавливает %s ОЗ
zts310e	Понижает ОЗ на %s
zts311e	%s ОМ восстанавливается.
zts312e	ты теряешь %s ОМ
zts313e	Ты получаешь дополнительно %s ОЗ. (Но не больше %s%% от твоих максимальных ОЗ)
zts314e	Добавляет %s дополнительных OM (не может быть больше %s%% от Максимума OM)
zts315e	Особые Приемы
zts316e	Особый Урон
zts317e	Возможность Особой Фатальной Атаки
zts318e	Повышает Урон у %s на %s
zts319e	Понижает Урон у %s на %s
zts320e	Вероятность Фатальной Атаки повышена на %s для каждой %s
zts321e	Вероятность Фатальной Атаки понижена на %s для каждой %s
zts322e	Положительный эффект
zts323e	Наложить/снять положительный эффект
zts324e	Иммунитет к определенным положительным эффектам группы
zts325e	Передача положительного эффекта для усиления его до определенного уровня.
zts326e	Особый иммунитет
zts327e	Распустить группу
zts328e	С вероятностью %s%% накладывает %s
zts329e	[%s] удаляется с вероятностью %s%%
zts330e	Высокая вероятность предотвращения негативного эффекта.
zts331e	Находящиеся рядом объекты выше %s уровня получают %s.
zts332e	Находящиеся рядом объекты ниже %s уровня получают %s.
zts333e	Создает Сопротивление против определенного эффекта
zts334e	Снимает эффекты с определенной группы.
zts335e	Противодействует получению ядовитых эффектов выбранной целью или группой.
zts336e	Заклинания Вызова
zts337e	Вызов Мертвых
zts338e	Вызов Монстра
zts339e	Призыв тренировочного манекена
zts340e	Временный Вызов
zts341e	Вызов Призрака
zts342e	Вызов [%s] %s Монстров до смерти
zts343e	После смерти с вероятностью %s%% призывает %s.
zts344e	Вызов %s раз(а) %s.
zts345e	[%s] вызывается с вероятностью %s%%
zts346e	Вызывает [%s] %s Монстров (тренировочная кукла)
zts347e	С вероятностью %s%% призывает %s. Тренировочный манекен
zts348e	Вызывает [%s] %s Монстров (Исчезают через определенное время)
zts349e	Вызывает [%s] с вероятностью %s%% (Исчезает через определенное время)
zts350e	Призывает призрака с %s ОМ от %s монстров.
zts351e	Вызывает призрака с %s OM с вероятностью %s%%
zts352e	Особые Эффекты
zts353e	Крик
zts354e	Модификация второстепенной Атаки
zts355e	Похмелье
zts356e	Режим ПвП
zts357e	Оставить Фон
zts358e	Понижает ОЗ противника, который убил тебя с помощью %s%%
zts359e	Повышает ОЗ противника, который убил тебя с помощью %s%%
zts360e	Изменяет на предпочитаемую Атаку с вероятностью %s%%
zts361e	Меняет атаку на не предпочтительную с вероятностью %s%%
zts362e	разговаривает на непонятном языке
zts363e	Возможность сражаться против людей в режиме ПвП
zts364e	Укрепление тела.
zts365e	Приручить
zts366e	Приручение животных
zts367e	Превращение животных, чей уровень меньше, чем твой, в питомцев
zts368e	Особый Аттрибут: Урон и Взрывы
zts369e	Огненный Взрыв
zts370e	Окружающий Взрыв
zts371e	Окружающая Атака
zts372e	Происходит Взрыв с вероятностью %s%% и наносит %s урона
zts373e	Взрыв наносит %s урона на %s клетки
zts374e	Наносит урон с вероятностью %s%% на %s ближайшие клетки.
zts375e	Особые Эффекты 2
zts376e	Насмешка
zts377e	Телепорт
zts378e	Бафф на Главное Оружие
zts379e	Бафф на Второстепенное Оружие
zts380e	Ошибка как компаньон
zts381e	Фокусирует Противника на тебе
zts382e	Снимает с тебя внимание противника.
zts383e	Телепортирует тебя в радиусе %s клеток
zts384e	[%s] происходит с вероятностью %s%% при использовании Главного Оружия
zts385e	[%s] происходит с вероятностью %s%% при использовании Второстепенного Оружия
zts386e	Некоторые монстры принимают тебя за своего
zts387e	Посчитать Уровень
zts388e	Уровень Атаки 0
zts389e	Уровень Защиты 0
zts390e	Посчитанный Уровень Атаки 0
zts391e	Посчитанный Уровень Защиты 0
zts392e	Восстановление
zts393e	Изменяет скорость восстановления ОЗ
zts394e	Модифицирует Силу Восстановления OM
zts395e	Скорость восстановления ОЗ повышена на %s
zts396e	Скорость восстановления ОЗ понижена на %s
zts397e	Сила восстановления OM повышена на %s
zts398e	Сила Восстановления E3 понижена на %s
zts399e	Максимальные ОЗ/ОМ
zts400e	Изменяет максимальное количество ОЗ
zts401e	Модифицирует максимальные OM
zts402e	Повышает максимальное количество ОЗ на %s
zts403e	Понижает максимальное количество ОЗ на %s
zts404e	Максимальные OM повышены на %s
zts405e	Максимальные OM понижены на %s
zts406e	Умножает Силу Атаки
zts407e	Умножает все Атаки
zts408e	Умножает Атаку в Ближнем Бою
zts409e	Умножает Атаку в Дальнем Бою
zts410e	Умножает Магические Атаки
zts411e	Общая сила атаки повышается в %s раз.
zts412e	Общая сила атаки понижается в %s раз.
zts413e	Сила атаки в ближнем бою повышена в %s раз(а).
zts414e	Сила атаки в ближнем бою понижена в %s раз(а).
zts415e	Сила атаки в дальнем бою повышена в %s раз(а).
zts416e	Сила атаки в дальнем бою понижена в %s раз(а).
zts417e	Сила магической атаки повышена в %s раз(а).
zts418e	Сила магической атаки понижена в %s раз(а).
zts419e	Умножает Силу Защиты
zts420e	Умножает все Защиты
zts421e	Умножает Защиту в Ближнем Бою
zts422e	Умножает Защиту в Дальнем Бою
zts423e	Повышает магическую защиту
zts424e	Сила всех защит повышается в %s раз.
zts425e	Сила всех защит понижается в %s раз.
zts426e	Сила защиты в ближнем бою повышается в %s раз.
zts427e	Сила защиты в ближнем бою понижается в %s раз.
zts428e	Сила защиты в дальнем бою повышается в %s раз.
zts429e	Сила защиты в дальнем бою понижается в %s раз.
zts430e	Сила магической защиты повышается в %s раз.
zts431e	Сила магической защиты понижается в %s раз.
zts432e	Навыки Спирали времени
zts433e	Собирать Энергию
zts434e	Закрепление ОЗ
zts435e	Закреплять OM
zts436e	Отменять все Баффы
zts437e	Предмет не может быть использован
zts438e	Собирает %s очков для следующей атаки.
zts439e	Без потребления ОЗ
zts440e	Без восстановления ОЗ
zts441e	Нет расхода OM
zts442e	Нет восстановления OM
zts443e	Отменить все Баффы
zts444e	Предмет не может быть использован
zts446e	Восстанавливает определенный процент от ОЗ
zts447e	Восстанавливает % OM
zts448e	Восстанавливает %s%% ОЗ
zts449e	ОЗ понижены на %s%%
zts450e	%s%% OM восстановлено
zts451e	OM понижены на %s%%
zts452e	Подсчет
zts453e	Вызвать Монстра после подсчета
zts454e	[%s] вызывает %s Монстра при уменьшении OM до 0
zts455e	При уменьшении OM до 0 вызывается [%s] с вероятностью %s%%
zts456e	Нет убийств и нет урона
zts457e	Ноль побед и ноль поражений
zts458e	Нельзя нанести или получить Урон
zts459e	Сила Наблюдения
zts460e	Понижает ОЗ, но не умирает
zts461e	Понижает ОЗ, но не убивает
zts462e	Никогда не получает урон.
zts463e	Никогда не наносит урон.
zts464e	Сила атаки противника становится твоей силой атаки.
zts465e	Особые Действия
zts466e	Толкать
zts467e	Тяга
zts468e	Спешка
zts469e	Побег
zts470e	Скрываться
zts471e	Толкает противника на %s клетки.
zts472e	Отталкивание противника на %s клеток от тебя.
zts473e	Подбежать к Противнику в радиусе %s клеток
zts474e	Побег от противника
zts475e	Подкрадываться
zts476e	Видеть Скрытое
zts477e	Меняет Режим
zts478e	Изменяет дальность.
zts479e	Единственный Эффект
zts480e	Изменяет скорость атаки.
zts481e	Меняет Режим
zts482e	Перейти на другого Монстра
zts483e	Дальность меняется на %s.
zts484e	Дальность возвращается к обычному значению.
zts485e	Применяет Эффект но не наносит Урона
zts486e	Наносит прямой Урон
zts487e	Время Атаки повышено на %s
zts488e	Время Атаки понижено на %s
zts489e	Режим меняется с вероятностью %s%%
zts490e	С вероятностью %s%% появляется %s.
zts491e	Нет характеризующего значения
zts492e	Нет характеризующего значения
zts493e	Нет характеризующего значения огня
zts494e	Нет характеризующего значения воды
zts495e	Нет характеризующего значения света
zts496e	Нет характеризующего значения тьмы
zts497e	Все силы персонажа были аннулированы.
zts498e	Все сопротивления персонажа были аннулированы.
zts499e	Сила Огня не может быть применена
zts500e	Сопротивление огню аннулируется.
zts501e	Сила Воды не может быть применена
zts502e	Сопротивление воде аннулируется.
zts503e	Сила Света не может быть применена
zts504e	Сопротивление свету аннулируется.
zts505e	Элемент тьмы обнуляется
zts506e	Сопротивление тьме аннулируется.
zts507e	Свет и Тьма
zts508e	Щит Маны
zts509e	Исцеление
zts510e	Превратиться в Зомби
zts511e	Скрываться и Атаковать
zts512e	Исцеление %s%% от нанесенного урона за счет ОМ
zts513e	Повышает OM поглощая %s%% от нанесенного Урона
zts514e	Снимает все негативные эффекты до %s уровня
zts515e	Снимает все положительные Эффекты ниже %s Уровня
zts516e	Нанесение урона нежити с более низким уровнем
zts517e	Лечит Нежить с более низким Уровнем
zts518e	%s дополнительного Урона при Скрытной Атаке
zts519e	Атаки на Скрытого Противника могут нанести %s дополнительного Урона
zts520e	Предмет
zts521e	Повышает Опыт
zts522e	Повышает Силу Атаки
zts523e	Брошенные предметы
zts524e	Количество получаемого опыта повышено на %s%%
zts525e	Сила всех атак повышена на %s%%
zts526e	Для %s Раундов, если ты атакован, выпадают Предметы
zts527e	Сопротивление негативным эффектам
zts528e	Ненормальное сопротивление негативным эффектам
zts529e	Нормальное сопротивление негативным эффектам
zts530e	Ненормальное сопротивление магии
zts531e	Сопротивление ядам
zts532e	Ненормальное сопротивление болезням
zts533e	Ниже %s уровня вероятность получения негативного эффекта повышается на %s%%.
zts534e	Негативные эффекты %s и ниже уровней не накладываются с %s%% вероятностью.
zts535e	Ниже %s уровня вероятность получения плохого общего эффекта повышена на %s%%
zts536e	Ниже %s уровня вероятность не получить плохой основной эффект равна %s%%
zts537e	Ниже %s уровня вероятность получения магического вредного эффекта повышена на %s%%
zts538e	Ниже %s уровня вероятность не получить магический вредный эффект равна %s%%
zts539e	Ниже %s Уровня вероятность получения отравляющего вредного Эффекта повышена на %s%%
zts540e	Ниже %s Уровня вероятность не получить отравляющий вредный Эффект равна %s%%
zts541e	Ниже %s уровня вероятность получения эффекта болезни повышается на %s%%.
zts542e	Ниже %s уровня есть %s%% вероятность никогда не получать эффекты болезни.
zts543e	Особое Поведение
zts544e	Случайный Телепорт
zts545e	Перейти на Область
zts546e	Заразить окрестности
zts547e	Телепортирует в случайное место на карте
zts548e	Ты запрыгиваешь на любой объект в пределах %s клеток.
zts549e	На расстоянии в %s мы распредилимся [%s] с нашей силой.
zts550e	На расстоянии в %s распределимся мы [%s] против наших врагов
zts551e	Задание
zts552e	Наблюдатель поисков
zts553e	Вызывает Монстра основываясь на Правилах
zts554e	Процентное восстановление и урон
zts555e	Процентный урон
zts556e	Понижает ОЗ противника на %s%%
zts557e	При получении урона персонажем его ОЗ понижаются на %s%%
zts558e	Преобразовывает окружение.
zts559e	Преобразует [%s] в [%s]
zts560e	Оплаченный Предмет
zts561e	Сила Свитка была предоставлена
zts562e	Увеличивает получение золота
zts563e	Количество получаемого золота увеличивается на %s%%
zts564e	Изменяет максимальное количество ОЗ в процентном соотношении. (Используется только в положительных эффектах)
zts565e	Модифицирует максимум OM % (только для Баффа)
zts566e	Повышает максимальное количество ОЗ на %s%%
zts567e	Понижает максимальное количество ОЗ на %s%%
zts568e	Повышает максимальные OM на %s%%
zts569e	Понижает максимальные OM на %s%%
zts570e	Все защиты повышены на %s%%
zts571e	Вторая карта специалиста
zts572e	Установить бомбу
zts573e	Взорвать бомбу
zts574e	Устанавливает бомбу при твоей атаке.
zts575e	Уничтожить все вокруг
zts576e	Призыв бомбы. Бомба срабатывает при повторной активации навыка.
zts577e	Призыв трех самоактивирующихся бомб.
zts578e	Святое Дыхание
zts579e	Накладывает Бафф на Атакующего
zts580e	Понижает способности врагов, не использующих элемент Света
zts581e	Наносит урон атакующему с вероятностью %s%% с помощью %s
zts582e	Улучшение карты специалиста
zts583e	Начальный свиток защиты карт
zts584e	Финальный свиток защиты карт
zts585e	Использовать начальный свиток защиты карт.
zts586e	Использовать финальный свиток защиты карт.
zts587e	Большой Снеговик
zts588e	Холод 1
zts589e	Холод 2
zts590e	Снежная Буря. Все стоящие игроки получают до 99% Урона.
zts591e	Землетрясение. Все лежащие игроки получают до 99% Урона.
zts592e	Утечка
zts593e	Истощение цели
zts594e	Истощение ОЗ
zts595e	Применяет Утечку на противника
zts596e	ОЗ противника понижаются на %s, а ОЗ твоего персонажа повышаются на столько же
zts597e	Нападение Босса
zts598e	Мастер...Моркос
zts599e	Наносит Игроку, удаленному на %s клеток %s%% Урона
zts600e	Теряет Отражение и ОМ.
zts601e	Потеря оставшихся ОМ с определенной вероятностью.
zts602e	Не использовать эту часть
zts603e	С вероятностью %s%% уничтожить %s%% оставшихся OM
zts604e	Специализация и сопротивление положительным эффектам
zts605e	Сопротивление положительным эффектам
zts606e	ПвП специализация
zts607e	Снимает положительный эффект ниже определенного уровня.
zts608e	%s%% сопротивление следующему эффекту: %s и ниже.
zts609e	Увеличивает урон в ПвП на %s.
zts610e	Понижает урон в ПвП на %s.
zts611e	С вероятностью %s%% снимает вредные эффекты ниже %s уровня.
zts612e	Взрыв наносит %s%% Урона в %s окружающих Клетках
zts613e	Лорд Хатус
zts614e	Нападение Драконьей Головы.
zts615e	Наносит %s%% Урона Игрокам в определенном Месте
zts616e	Леди Кальвинас
zts617e	Вызвать Змею
zts618e	SE Специалист
zts619e	Энергия Щита
zts620e	Распространение положительных эффектов
zts621e	Движение Ауры
zts622e	Жизнь и Смерть
zts623e	Введи количество положительных эффектов и значение урона (1/1000).
zts624e	Введи количество положительных эффектов.
zts625e	При движении Аура оказывает влияние на окружающую местность.
zts626e	Тебе не нужно ничего давать.
zts627e	Чем меньше у тебя ОЗ, тем сильнее эффект
zts628e	4. Глацернон. Семейный рейд
zts629e	4. Глацернон. Навыки
zts630e	Все противники, которые находятся в радиусе %s клеток, получат %s%% урона.
zts631e	Все противники, которые находятся в радиусе %s клеток, получат %s%% урона.
zts632e	Атака вызванного монстра
zts633e	Убрать вызванного монстра
zts634e	Ты наносишь [%s] сильный урон в размере %s%%.
zts638e	Повышает максимальное количество ОЗ на %s%%, но не больше, чем на 5000 ОЗ
zts639e	Понижает максимальное количество ОЗ на %s%%, но не больше, чем на 5000 ОЗ
zts651e	Благодаря Ускорителю твоя скорость увеличится.
zts652e	На некоторое время твоя скорость увеличится до максимально возможной.
zts657e	Спрятаться в бочке из-под рома
zts663e	Вызывает 1 [%s] с вероятностью %s%%.
