zts1e	Descansar
zts222e	Al utilizarlo, el oponente se duerme y no se puede mover ni atacar #13#10 El oponente se despierta en cuanto le atacan
zts223e	Absorción de HP
zts224e	Absorbe los HP del oponente y los convierte en MP propios
zts225e	Cegarse
zts226e	Hace que el oponente se quede ciego durante unos segundos #13#10 Los ataques de larga distancia no son posibles durante ese rato
zts227e	Teletransporte
zts228e	Te teletransportas a un lugar dentro de un determinado campo
zts229e	Golpe disimulado
zts230e	Ataque reforzado mediante el elemento fuego y aturdimiento
zts231e	Golpe reforzado
zts232e	Aumenta el poder de ataque y el índice de acierto del golpe con el arma.
zts233e	Tiro reforzado de catapulta
zts234e	Aumenta el ataque y la distancia del tiro
zts235e	Ataque aumentado
zts236e	Mejora los ataques a larga distancia de la catapulta
zts237e	Un golpe girador fuerte causa al oponente daños adicionales
zts238e	Hemorragia
zts239e	Añade el elemento fuego y causa pequeñas hemorragias al usar el golpe múltiple
zts240e	Pernos energéticos intensivos
zts241e	Añade el elemento agua a los pernos energéticos y aumentarás el ataque mágico
zts242e	Cuchillada de espada reforzada
zts243e	Aumenta el efecto de la cuchillada de la espada
zts244e	Cuchillada de espada maestra
zts245e	Cuchillada especial para aniquilar plantas
zts246e	Mejora los ataques a corta distancia contra las plantas de niveles altos
zts247e	Tiro de ballesta reforzado
zts248e	Aumenta los ataques a larga distancia con la ballesta
zts249e	Tiro del Diablo
zts250e	Daños extremos
zts251e	Mediante la utilización del elemento fuego se duplican los daños
zts252e	en combinación con un acierto crítico causa grandes daños
zts253e	Une el golpe de furia con un elemento fuego
zts254e	Golpe de furia reforzado
zts255e	Aumenta el poder de ataque cuerpo a cuerpo y el índice de acierto de Golpe de furia.
zts256e	Golpe de furia maestro
zts257e	Aumenta los ataques a corta distancia
zts258e	Tiro al objetivo seguro
zts259e	Aumenta la probabilidad de impacto crítico de Golpe de venganza.
zts260e	Ataque duende
zts261e	Básicamente, el ataque se concentra en los puntos débiles del duende para ocasionarle daños mortales
zts262e	Le añade el elemento agua al golpe de venganza
zts263e	Energía de espada reforzada
zts264e	Refuerza la energía de la espada para aumentar el ataque de corta distancia
zts265e	Aumento de la distancia de tiro
zts266e	Aumenta la distancia de la cuchillada de la espada para conseguir una mayor fuerza de ataque
zts267e	Acierto perfecto
zts268e	Mediante un acierto perfecto con el ataque estelar aumenta la probabilidad de que el oponente caiga inconsciente
zts269e	Temblor fuerte
zts270e	Aumenta el ataque del temblor
zts271e	Temblor brutal
zts272e	Ráfaga de viento fugaz
zts273e	Aumenta la probabilidad de que el oponente caiga inconsciente
zts274e	Añade el elemento agua a la ráfaga de viento
zts275e	Debilitar al enemigo
zts276e	Debilita al enemigo durante un tiempo definido tras la utilización de un ataque doble
zts277e	Ataque doble reforzado
zts278e	Aumenta la potencia del ataque doble
zts279e	Tiro fugaz
zts280e	Aumenta el ataque del tiro dinámico
zts281e	Acierto total
zts282e	Utilizando el tiro dinámico ocasionas daños al oponente siempre
zts283e	Recargo de energía reforzado
zts284e	Mejora el ataque de corta distancia del recargo de energía
zts285e	Pacto de sangro reforzado
zts286e	Aumenta la probabilidad de causar hemorragias con éxito
zts287e	Distancia del ataque fugaz
zts288e	Aumenta la distancia del ataque fugaz
zts289e	Tiro atrayente
zts290e	Intenta llamar la atención del oponente mediante un tiro burlón
zts291e	Tiro con arco reforzado
zts292e	Aumenta el ataque a larga distancia del tiro con arco
zts293e	Tiro con arco maestro
zts294e	Tiro aniquilador de plantas
zts295e	Ataque mejorado contra las plantas de niveles altos
zts296e	Puñalada reforzada
zts297e	Aumenta la potencia de las puñaladas
zts298e	Puñalada mortal
zts299e	Aumenta la probabilidad de asestar una puñalada crítica
zts300e	Tiro al objetivo reforzado
zts301e	Refuerza el tiro al objetivo seguro añadiendo el elemento agua
zts302e	Aumenta el ataque a larga distancia mediante un tiro bien apuntado
zts303e	Mediante un tiro bien apuntado aumenta la probabilidad de acertar y provocar daños críticos
zts304e	Posibilidad de duplicar los daños ocasionados
zts305e	Tiro desgarrador
zts306e	Los aciertos críticos aumentan los daños mediante la utilización del tiro desgarrador
zts307e	Ataque sincrónico
zts308e	Ataque doble durante la realización de un salto
zts309e	Tiro duende
zts310e	Aumenta el ataque contra los duendes
zts311e	Ataque fugaz reforzado
zts312e	Refuerza el ataque del tiro fugaz
zts313e	Lluvia de flechas reforzada
zts314e	Refuerza el ataque de la lluvia de flechas
zts315e	Distancia del ataque
zts316e	Aumenta la distancia del ataque de la lluvia de flechas
zts317e	La puñalada mortal ocasiona una hemorragia al oponente
zts318e	Puñalada mortal reforzada
zts319e	Aumenta la potencia de la puñalada mortal
zts320e	Cuchillada fugaz reforzada
zts321e	Mediante una cuchillada fugaz reforzada aumenta la probabilidad de que el oponente se quede paralizado
zts322e	La potencia del ataque aumenta mediante la utilización del tiro mortal
zts323e	Aumento de la velocidad
zts324e	Acelera la velocidad
zts325e	Ojo de Falcón reforzado
zts326e	Durante el ritual del falcón aumenta la potencia del ataque
zts327e	Conocimientos de medicina
zts328e	Curación de envenenamientos de alto nivel
zts329e	Veneno Mareador
zts330e	Utiliza el veneno mareador junto con un puñal simple
zts331e	Veneno mortal
zts332e	Añade nuevo veneno mortal al puñal simple
zts333e	Empujar
zts334e	Empuja a tu oponente
zts335e	Pernos energéticos reforzados
zts336e	Aumenta el ataque mágico de los pernos energéticos
zts337e	Aumenta la distancia de tiro de los pernos energéticos
zts338e	Tiro mágico
zts339e	Refuerza la potencia de ataque del arma mágica
zts340e	Magia de aniquilación de plantas
zts341e	Explosión en llamas
zts342e	Causa una explosión con llamas mediante la utilización de los pernos de fuego
zts343e	Pernos de fuegos poderosos
zts344e	Refuerza la potencia de ataque de los pernos de fuego
zts345e	Hielo
zts346e	Congela a tu oponente mediante los pernos de hielo
zts347e	Rayo de hielo
zts348e	Refuerza la potencia de ataque de los pernos de hielo
zts349e	Cohetes sobrenaturales
zts350e	Aumenta la potencia de ataque de los cohetes mágicos
zts351e	Radio expandido
zts352e	Expande la distancia de tiro de los cohetes mágicos
zts353e	Columna de fuego enorme
zts354e	Aumenta la potencia del ataque de la columna de fuego
zts355e	Tornado violento
zts356e	Aumenta la potencia de ataque el tornado
zts357e	Refuerza la renovación
zts358e	Refuerza la renovación del nivel de HP
zts359e	Retirada de HP
zts360e	Aumenta el efecto de la absorción de HP
zts361e	Tambalearse
zts362e	Meteorito
zts363e	Ataque rodeador
zts364e	Ataque rodeador 2
zts365e	Bloque escupitajo pegajoso
zts366e	Aturdimiento alrededor
zts367e	Escupe bloques pegajosos
zts368e	Llamar a los mineros
zts369e	Llamar a los mineros 2
zts370e	Llamar a los mineros 3
zts371e	Golpe destruye-entornos fuerte (Kenko)
zts372e	Tiro por encima del brazo
zts373e	Morder
zts374e	Tormenta de hielo
zts375e	Golpe girador de Korrkoaren
zts376e	Sprint de Kenel
zts377e	Golpe destruye-entornos de Hurukenko
zts378e	Ataque destruye-entornos de las tortugas
zts379e	Huida de la Bruja de las Tinieblas
zts380e	Ataque ordenante de la Bruja de Sangre
zts381e	Ataque ordenante de Madame
zts382e	Mano de la dama muerta
zts383e	Ataque de Kennel
zts384e	Ataque de los lobo-leones
zts385e	Ataque del monstruo de nivel inferior
zts386e	Boing sucio
zts387e	Atracción del Rey Araña
zts388e	Ataque destruye-entornos del Rey Araña
zts389e	Ataque destruye-entornos de Kulluk Kins
zts390e	Estornudo de Kulluk Kin
zts391e	Bola de fuego de la Muerte Polvorienta
zts392e	Talento de Carlota
zts393e	Talento de Catrisha 1
zts394e	Talento de Catrisha 2
zts395e	Ataque fuerte de NPC
zts396e	Talento de Carlota
zts397e	Recuperación del Ginseng
zts398e	Ataque rotatorio del Ginseng
zts399e	Iluminación de Castra
zts400e	Conjurar humo
zts401e	Slade llorón
zts402e	Slade apedreador
zts403e	Magia básica utilizada
zts404e	Ataque de la araña negra gigante
zts405e	Telaraña de la araña negra gigante
zts406e	Ataque básico de Slade
zts407e	Utilizar teletransporte
zts408e	Sprint de Mandra
zts409e	Ataque con el martillo de hierro
zts410e	Ataque del alud
zts411e	Ataque de araña
zts412e	Ataque de los meteoritos negros
zts413e	Tiro rápido del arquero-calavera
zts414e	Arquero-calavera - tiro fuerte
zts415e	Ataque del martillo-calavera
zts416e	Tormenta de fuego de la Muerte Polvorienta
zts417e	Cañón Pesado de Guardia-Zombie
zts418e	Observador de la aventura
zts419e	Batalla de Almohadas
zts420e	Juego con cadáveres
zts421e	Dormir
zts422e	Aburrido
zts423e	Estar tumbado
zts424e	Ejercicios de cama
zts425e	Hora del té
zts426e	Tocar la pandereta
zts427e	Apoyarse en ti
zts428e	Perdóname
zts429e	Leer libros
zts430e	Ataque de espada con las dos manos
zts431e	Ataque básico de los guerreros intrépidos
zts432e	Batalla Triple
zts433e	Mediante el ataque a corta distancia mejorado, el oponente sufre daños tres veces más grandes.
zts434e	Piel de acero
zts435e	Mejora brevemente tu poder de defensa.
zts436e	Torbellino
zts437e	Con el poder de tu espada provocas un potente torbellino
zts438e	Provocación
zts439e	Hace que los oponentes que se encuentran cerca de ti reparen en ti
zts440e	Golpe último
zts441e	Los oponentes que estén en fila serán atravesados por tu espada.
zts442e	Intimidación
zts443e	Intimida a tus enemigos con un grito aterrorizador.
zts444e	Cuanto más alta sea la diferencia de niveles entre tú y tu enemigo, más débil será el efecto
zts445e	Fisura del hombro
zts446e	Te lanzas con la armadura de tu hombro izquierdo hacia un enemigo para herirle con un golpe certero.
zts447e	Estimulación
zts448e	Sueltas un grito estimulador para subir tu moral y la de los miembros de tu grupo.
zts449e	Terremoto
zts450e	Focaliza la energía de tu espada para hacer temblar la tierra y así provocar grandes daños a tus enemigos.
zts451e	Dragón volador
zts452e	Mediante la fuerza y el talento del dragón, utilizas el golpe de tu espada para causar daños mortales.
zts453e	De ese modo logras fuerzas poderosas y destructivas
zts454e	Ataque con espada
zts455e	Ataque básica del Guerrero-Ninja
zts456e	Cuchillada de cruz
zts457e	Pega un golpe con tu espada alrededor y causarás graves daños a tus enemigos
zts458e	Cuchilla energética
zts459e	Sólo mediante el golpe de tu espada puedes partir la tierra para acabar con los enemigos que se encuentren lejos de ti.
zts460e	Ataque en cadena
zts461e	Ataque triple que confunde a tu enemigo y acaba con él.
zts462e	Protector de cuchillas
zts463e	Para aumentar tu fuerza transformas la fuerza de taque de tu oponente en tu propia energía.
zts464e	Tormenta de espadas
zts465e	Un ataque tormentoso con la espada hacia tu oponente le causará graves heridas.
zts466e	Ataque a la velocidad de la luz
zts467e	Movimiento hacia adelante con ataque rápido
zts468e	Recuperación espiritual
zts469e	Mediante la meditación te sanas física y psíquicamente para recuperar tu energía.
zts470e	Cuchillada mortal
zts471e	Reunir toda tu energía para acertar el punto donde asestar una rápida cuchillada.
zts472e	Borde afilado
zts473e	Agudiza la vista
zts474e	Espada danzante
zts475e	Deja volar tu espada para matar a tus oponentes
zts476e	Ataque de falcón
zts477e	Realizas tu ataque con la precisión de un halcón y un mayor índice de acierto.
zts478e	Tiro de cabeza
zts479e	Causa daños críticos mediante un tiro certero a la cabeza.
zts480e	Corredor de viento
zts481e	Aumenta tu velocidad durante un tiempo concreto
zts482e	Ataque relámpago
zts483e	Tu enemigo quedará ciego por el impacto de un relámpago cegador y no será capaz de contraatacar.
zts484e	Flecha triple
zts485e	Esta técnica se usará para herir a varios oponentes de una vez y así causarles grandes daños.
zts486e	Aumento de larga distancia
zts487e	Aumenta la distancia de tus ataques a larga distancia
zts488e	Rayo de espiral
zts489e	Causa heridas mortales a todos los enemigos que reciban el impacto del rayo
zts490e	Explosión relámpago
zts491e	Hace que repentinamente caigan rayos a tu alrededor
zts492e	Recuperación rápida
zts493e	Disminuye el tiempo de regeneración de tus técnicas durante un tiempo determinado.
zts494e	Tormenta
zts495e	Caen flechas sobre tu oponente, como si de una tormenta se tratara.
zts496e	Puñalada
zts497e	Ataque básico del asesino por encargo
zts498e	Acierto crítico
zts499e	Aumenta la probabilidad de causar un acierto crítico
zts500e	Cuchillada sangrante
zts501e	Ataque malévolo que puede causar una hemorragia mortal a tu enemigo
zts502e	Niebla espesa
zts503e	Hace aparecer una niebla consistente que reduce el índice de acierto del enemigo.
zts504e	Lanzar ganchos de cadena
zts505e	Lanza ganchos de cadena para estirar a tu oponente del suelo
zts506e	Salto para esquivar el ataque
zts507e	Cuando un esquivas un ataque satisfactoriamente aumenta tu energía ligeramente
zts508e	Tomahawk
zts509e	Disparar al oponente con dagas voladoras
zts510e	Sombra
zts511e	Mediante una sombra oscura puedes pasar por delante de tus oponentes escondido. Si atacas a un oponente la sombra desaparecerá.
zts512e	Cuchillada giradora
zts513e	Cuchillada giradora muy rápida con el puñal que causa profundas heridas a tu enemigo.
zts514e	Cuchillada mortal
zts515e	Ataque adicional reforzado que causa daños mortales.
zts516e	Cuando tienes la sombra puede ser utilizado de manera eficiente
zts517e	Bomba
zts518e	Salta hacía atrás y deja explotar una bomba ante los pies del enemigo.
zts519e	La misma función que la de tambalearse
zts520e	Talento del Mago Rojo
zts521e	Llamarada de fuego
zts522e	Causa una pequeña explosión que ocasiona daños al enemigo
zts523e	Aliento de fuego
zts524e	El oponente se quemará con tu aliento de fuego
zts525e	Transfusión Mana
zts526e	Convierte una parte de tus HP en MP
zts527e	Tormenta de fuego
zts528e	Quema al oponente mediante una potente tormenta de fuego
zts529e	Lanza de fuego
zts530e	Invoca una fuerte lanza de fuego para reducir a tu oponente
zts531e	Bendición de fuego
zts532e	Mejora la energía de fuego y aumenta la resistencia al fuego
zts533e	Muro de fuego
zts534e	Invoca un muro de fuego para causar daños a tu enemigo
zts535e	Lluvia de meteoritos
zts536e	Una intensa lluvia de meteoritos caerá encima de tu oponente.
zts537e	Inferno
zts538e	Aparece una columna mágica de fuego que acaba con la gravedad.
zts539e	Ataque de los meteoritos
zts540e	Invoca un gran meteorito que destruye a tu enemigo y a todo lo que se encuentre a su alrededor.
zts541e	Ataque santo
zts542e	Bola de luz santa para el ataque de tus enemigos.
zts543e	Hechizo especial que no necesita MP
zts544e	Cura
zts545e	Cura al personaje seleccionado
zts546e	Luz santa
zts547e	Brilla una luz santa desde el cielo que daña a tus enemigos.
zts548e	Escudo mana
zts549e	Crea un escudo mágico para protegerte
zts550e	Canto del cielo
zts551e	Tus enemigos pierden por un momento las ganas de luchar.
zts552e	Efecto cura
zts553e	Elimina los efectos dañinos de los hechizos perpetrados contra ti y contra todos tus miembros.
zts554e	Resucitar
zts555e	Ocasiona daños críticos a los vivos
zts556e	Cura de grupo
zts557e	Recupera el nivel de HP de los miembros de tu equipo
zts558e	Arma santa
zts559e	Bendice tu arma actual con el elemento de la luz durante un tiempo limitado.
zts560e	Bendición
zts562e	Martillo santo
zts563e	Un martillo santo baja del cielo y le causa grandes daños a tu enemigo
zts564e	Amor (Alt + Q)
zts565e	Saludar (Alt+W)
zts566e	Sonreír (Alt + E)
zts567e	Reírse (Alt +R)
zts568e	Tímido (Alt + T)
zts569e	Jeje (Alt + Y)
zts570e	Uuups (Alt + U)
zts571e	Ahhh (Alt + I)
zts572e	Avergonzado (Alt + O)
zts573e	Victoria (Alt + P)
zts574e	¿Cómo? (Alt + A)
zts575e	¿Te estás quedando conmigo? (Alt + S)
zts576e	Necesidad (Alt + D)
zts577e	Vergüenza (Alt + F)
zts578e	Furioso (Alt + G)
zts579e	Pagaré (Alt + H)
zts580e	Te tengo (Alt + J)
zts581e	Reflejar (Alt + K)
zts582e	Lágrimas (Alt + L)
zts583e	Llorar (Alt + Z)
zts584e	Buaaaah (Alt + X)
zts585e	Quemar (Alt + C)
zts586e	Chico nervioso (Alt + V)
zts587e	Chica nerviosa (Alt + B)
zts588e	Hmmmmm (Alt + N)
zts589e	Hmms (Alt + M)
zts590e	Caralarga (Alt + ,)
zts591e	Jericoo Patada Giradora
zts592e	Optimizar
zts594e	Aumentan en 18 los daños mínimos y máximos en los ataques a corta distancia y aumenta en 9 la defensa en la lucha a corta distancia
zts595e	Aumentan en 18 los daños mínimos y máximos en los ataques a corta distancia y aumenta en 9 la defensa en la lucha a corta distancia, la velocidad en los ataques a corta distancia aumentan en 28, y los de larga distancia, en 36. La capacidad de agacharse en los ataques de corta y larga distancia mejoran en 18.
zts596e	[Alto] Aumento de Inteligencia
zts597e	Aumenta la defensa mágica en 10
zts598e	[Maestro] Aumento de Inteligencia
zts599e	Aumento duradero de 250 HP
zts600e	Aumento duradero de 250 MP
zts601e	[Alto] Fuerza de Ataque efectivo
zts602e	Daños mínimos y máximos en los ataques a corta y larga distancia aumentados en 14
zts603e	[Maestro] Fuerza de Ataque efectivo
zts604e	[Alto] Autodefensa
zts605e	Aumenta en 12 la defensa en la lucha mágica de larga y corta distancia
zts606e	[Maestro] Autodefensa
zts607e	Aumento de 100 en la Recuperación de HP
zts608e	Aumento de 100 en la Recuperación de MP
zts609e	Curación Natural
zts610e	Con un efecto con estilo
zts611e	Fuerza de las técnicas - aumenta la energía
zts612e	Cuchilla brillante
zts613e	Tornado Optimización 2
zts614e	Optimiza el poder de la bala mágica
zts616e	Choque de tormenta
zts617e	Resistencia al elemento reforzada
zts618e	Ataque repentino
zts619e	Tiro ensordecedor
zts620e	Tiro explosivo
zts621e	Flecha en llamas
zts622e	Flecha brillante
zts623e	Atacar los puntos débiles
zts624e	Muro de hielo
zts625e	Juicio de la luz
zts626e	Magmazona
zts627e	Destello mágico
zts628e	Aliento del perdedor
zts629e	Salto del Rey Pollo
zts630e	Grito del Rey Pollo
zts631e	Aumenta la defensa y la resistencia de aliados cercanos durante un tiempo limitado.
zts632e	Protege de aciertos críticos
zts633e	Dar una patada
zts634e	Llorar
zts635e	Saltar
zts636e	Reforzar la bomba mágica explosiva
zts637e	Salto medio del Rey Pollo
zts638e	Salto rápido del Rey Pollo
zts639e	Ataque con caña de bambú
zts640e	Trampa de Jajamaru Boss
zts641e	Ataque de Shuriken
zts642e	Salto de Shuriken
zts643e	Fuego
zts644e	Caída de bombas
zts645e	Sustituir
zts646e	Modo sigiloso
zts647e	Invocación de Kamapakun
zts648e	Creación
zts649e	Energía del corazón vacío
zts650e	Optimización de la bomba mágica explosiva 2
zts651e	Ataque del Ninja Shuriken
zts652e	Patada de Namaju
zts653e	Invocar a Namaja
zts654e	Ataque del equipamiento
zts655e	Ataque de las Hojas de Arce
zts656e	Destellos de láser
zts657e	Invocar a los fantasmas
zts658e	Manos mágicas
zts659e	Niebla tóxica
zts660e	Sandalia
zts661e	Ataque de los duendes arqueros fantasma
zts662e	Ataque básico de Jajamaru. Tira a Shuriken hacia los enemigos
zts663e	Salta y tira a Shuriken hacia los enemigos
zts664e	Ataque de fuego hacia los enemigos alineados
zts665e	Tira una bomba energética a los enemigos y les causa daños
