zts1e	Новый предмет
zts114e	Только самым уважаемым волшебникам[n] разрешено использовать эту волшебную палочку для борьбы с силами зла.
zts115e	Волшебная палочка с кристаллом
zts116e	Украшена роскошным кристаллом.
zts117e	Волшебная палочка эрудиции
zts118e	Проясняет душу своего владельца при помощи силы элементов и повышает таким образом его ману и пункты жизни.
zts119e	Волшебная палочка тени
zts120e	Заряженная темной энергией палочка, которая может устроить твоим противникам серьезные неприятности.[n][n]
zts121e	Кожаные перчатки
zts122e	Перчатки, сделанные из мягкой кожи,[n] защищает руки своего владельца[n] и увеличивают силу[n] дистанционной атаки.[n] [n]
zts123e	Прочные перчатки
zts124e	Не дает оружию выскользнуть из твоих рук.[n]Повышает силу атаки в ближнем бою.[n][n]
zts125e	Обувь искателя приключений
zts126e	Только для искателей приключений.[n][n]
zts127e	Обувь с усиленной подошвой
zts128e	Высокое качество.[n][n]
zts129e	Кожаные ботинки
zts130e	Сделаны из кожи
zts131e	Ролики
zts132e	Могут очень быстро скользить,[n] первоночально использовались для танцев.[n][n]
zts133e	Меч  опытного искателя приключений
zts134e	Опытные искатели приключений могут  использовать это оружие после окончания своего обучения.
zts135e	Рогатка мастера
zts136e	Опытные авантюристы используют это оружие на финальной стадии своего обучения[n][n]
zts137e	Арбалет новичка
zts138e	Подарок Мими Ментор всем ученикам, изучающим искусство боя на мечах. Искатели приключений не могут использовать это оружие.
zts139e	Арбалет из дерева дуба
zts140e	Надежный арбалет, сделанный из дуба[n][n]
zts141e	Арбалет фей
zts142e	Арбалет хранителя леса с повышенной точностью.[n][n]
zts143e	Тонкие перчатки
zts144e	Слишком тонкие перчатки, чтобы от них был толк.
zts145e	Резиновые перчатки
zts146e	Перчатки с покрытием.[n]С их помощью становится проще переносить самые тяжелые предметы.[n][n]
zts147e	Арбалет из стали
zts148e	Тяжелый арбалет, сделанный из стали. Повышает силу атаки.[n][n]
zts149e	Арбалет наивысшего качества
zts150e	Этот драгоценный и хорошо сбалансированный арбалет является произведением знаменитого кузнеца.
zts151e	Арбалет
zts152e	Обычный арбалет с удобной рукояткой.[n][n]
zts153e	Арбалет из носорожьего рога
zts154e	Весьма прочен,[n] к тому же можно быстро перезарядить[n][n]
zts155e	Арбалет благородства
zts156e	Духи благородных воинов[n] повышают мораль его владельца.[n][n]
zts157e	Дирк неопытного лучника
zts158e	Подарок наставника Мими всем ученикам, которые изучают искусство стрельбы из лука. Искатели приключений не могут использовать это оружие.
zts159e	Кинжал
zts160e	Обычный кинжал, сделанный из стали.[n][n]
zts161e	Дирк Испытания
zts162e	В сложнейших ситуациях этот кинжал[n] увеличивает вероятность критического удара.[n][n]
zts163e	Изящный дирк
zts164e	Украшенный драгоценностями кинжал[n] увеличивает силу атаки.[n][n]
zts165e	Мастеровой дирк
zts166e	Этот драгоценный и хорошо сбалансированный кинжал является произведением искусства знаменитого кузнеца.
zts167e	Кинжал
zts168e	Обычный кинжал для низких уровней.
zts169e	Кинжал с рубином
zts170e	Этот кинжал украшен рубинами и является гордостью любого стрелка.
zts171e	Кинжал Духа
zts172e	Наполнен духовной энергией.[n] Содержит все четыре элемента.[n][n]
zts173e	Волшебный пистолет для начинающих магов
zts174e	Подарок от инструктора Мими всем, изучающим магию. Искатели приключений не могут использовать это оружие.
zts175e	Небольшой волшебный пистолет
zts176e	Маленькое, не очень сильное оружие.
zts177e	Волшебный пистолет
zts178e	Использует магию, и неплохо.
zts179e	Золотой волшебный пистолет
zts180e	Магия усилена золотом.[n][n]
zts181e	Мастеровой волшебный пистолет
zts182e	Это оружие является произведением знаменитого кузнеца.[n] Весьма стабильно и смертельно опасно.[n][n]
zts183e	Латунный волшебный пистолет
zts184e	Сделан из латуни.[n] Тяжелый, но очень прочный.[n][n]
zts185e	Резной волшебный пистолет
zts186e	Украшен резьбой.[n] Увеличивает магическую мощь.[n][n]
zts187e	Волшебный пистолет тьмы
zts188e	Предназначено, чтобы совершать смертельные нападения на противника.[n] Обладает огромной силой тьмы.[n][n]
zts189e	Экипировка начинающего воина
zts190e	Дают всем воинам на начальном уровне.[n][n]
zts191e	Стеганый доспех
zts192e	Доспех обшит вставками.[n] Но защиты немного.[n][n]
zts193e	Стеганая броня
zts194e	Обшиты легкими и теплыми хлопковыми вставками.[n][n]
zts195e	Кожаная броня
zts196e	Броня из дубленой кожи.[n][n]
zts197e	Броня выносливости
zts198e	Повышает силу и выдержку [n][n]
zts199e	Шипованая кожаная броня
zts200e	Кожа обшита кусками железа.[n] Но защиты дает ненамного больше.[n][n]
zts201e	Улучшенная кожаная экипировка
zts202e	При создании этой экипировки был добавлен[n] двойной слой пропитанной в масле кожи,[n] поэтому она лёгкая и имеет хороший уровень защиты.[n][n]
zts203e	Чешуйчатая броня
zts204e	Сделан из металлических чешуек.[n][n]
zts205e	Броня морали
zts206e	Данное снаряжение не влияет на мораль. [n][n]
zts207e	Пластинчатая броня
zts208e	Обшита стальными пластинами.[n][n]
zts209e	Золотой проклепаный доспех
zts210e	Украшенная золотыми заклепками броня.[n]Довольно тяжелая, но она отлично защищает от магии.[n][n]
zts211e	Бригантина
zts212e	Имеет более толстые стальные пластины, чем "броня из пластин"
zts213e	Броня доблести
zts214e	Повышает силу атаки.[n][n]
zts215e	Туника стрелка-новичка
zts216e	Дают всем новичкам, которые хотят стать лучниками.[n][n]
zts217e	Туника из овчины
zts218e	Туника из овчины.[n][n]
zts219e	Туника Велоа
zts220e	Очень удобная кожаная туника.[n]Слегка повышает вероятность критического урона для всех видов оружия.[n][n]
zts221e	Туника из козлиной кожи
zts222e	Сделана из кожи козы [n][n]
zts223e	Туника уклонения
zts224e	Эта броня настолько легкая и удобная, что тебе кажется, будто на тебе вообще ничего не надето.[n]В ней твоя ловкость повышается и тебе становится проще уклоняться от атак ближнего боя.[n][n]
zts225e	Туника из телячьей кожи
zts226e	Сделана из телячьей кожи [n][n]
zts227e	Замшевая туника
zts228e	Теплая и удобная туника из мягкой кожи.[n]Восстанавливает ОЗ и ОМ.[n][n]
zts229e	Туника из коровьей кожи
zts230e	Сделана из кожи коровы.
zts231e	Туника видимости
zts232e	Улучшенное зрение повышает твою силу атаки.[n][n]
zts233e	Туника из дикой свиньи
zts234e	Сделана из кожи свиньи.
zts235e	Туника из нубука
zts236e	Сделано из гладкой, но жесткой коровьей кожи.[n]Защищает в ближнем бою.[n][n]
zts237e	Туника Тоскана
zts238e	С подкладкой из мягкого меха.[n][n]
zts239e	Туника духа
zts240e	Духи защищают ее.[n] Имеет высокий уровень защиты.[n][n]
zts241e	Одежда ученика волшебника
zts242e	Часть базового комплекта снаряжения магов.[n][n]
zts243e	Хлопковая роба
zts244e	Сделана из хлопка.
zts245e	Волшебная хлопковая роба
zts246e	Окутывает тебя магией.[n]Восстанавливает ОЗ.[n][n]
zts247e	Льняная роба
zts248e	Тонкая вязаная роба,[n] может блокировать дальние атаки.[n][n]
zts249e	Роба восстановления
zts250e	Очисти свой разум.[n] Восстанавливает МР и помогает в ближнем бою.[n][n]
zts251e	Роба из твида
zts252e	Мантия, сделанная из прочной пряжи.[n]Помогает выдерживать урон в ближнем бою и дает сопротивление огню.[n][n]
zts253e	Улучшенная льняная роба
zts254e	Сделанная из хлопка и льна, эта мантия повышает сопротивление[n]и смягчает удары в ближнем бою.[n][n]
zts255e	Роба из муслина
zts256e	Легкая, теплая и эластичная мантия.[n][n]
zts257e	Стихийная роба
zts258e	Повышает сопротивляемость всем элементам.
zts259e	Шелковая роба
zts260e	Роскошная шелковая роба.
zts261e	Роба из тартана
zts262e	Оригинальный рисунок этой одежды усиливает волшебный эффект.
zts263e	Роба с вышивкой елочкой
zts264e	Одежда из твида с роскошной вышивкой. Одежда интеллектуала [n][n]
zts265e	Роба тьмы
zts266e	Казни тех, кто решился напасть на тебя.
zts267e	Плащ старого искателя приключений
zts268e	Популярен среди престарелых искателей приключений.
zts269e	Маска Ковольта (GM)
zts270e	Гладиатор
zts271e	Короткий меч, сделанный специально для гладиаторов. Обладает высоким процентом вероятности нанесения смертельной раны и увеличивает уровень морали воина.
zts272e	Валлонский меч
zts273e	Обычный меч, сделан кузнецами в валлонском регионе.
zts274e	Сабля викинга
zts275e	Эта сабля обладает силой чёрной магии[n] и использовалась в многочисленных кровавых боях.[n][n]
zts276e	Абордажная сабля
zts277e	Тот воин, который использует этот меч в борьбе со злом, познакомится с высокой моралью.
zts278e	Кацбалгер
zts279e	Повышает шанс нанесения критического урона и усиливает урон.[n][n]
zts280e	Меч рыцаря
zts281e	Наполненный энергией света клинок для храбрых рыцарей.[n][n]
zts282e	Меч-убийца
zts283e	Очень сильно бьет критическим ударом.
zts284e	Тонкий лук
zts285e	Тонкий, но бьет серьезно.
zts286e	Лук пламени
zts287e	Лук обладает мощной энергией огня, которая усиливает наносимые им ранения.
zts288e	Синтетический лук
zts289e	Стабильный и прочный лук, который может наносить смертельные ранения.
zts290e	Двойной лук
zts291e	Причиняет повреждения силой света.[n][n]
zts292e	Дикий лук
zts293e	Наполненный темной энергией лук, делающих своего владельца по-настоящему бесстрашным.[n][n]
zts294e	Большой лук
zts295e	Этот лук наносит твоим врагам огромный урон благодаря элементу воды.[n]
zts296e	Лук осады
zts297e	Сильно бьет и крит высок.
zts298e	Волшебная палочка жизни
zts299e	Наполняет заклинателя энергией жизни.[n][n]
zts300e	Волшебная палочка пламени
zts301e	Наделённая волшебными силами огня, это оружие усиливает энергию огня своего владельца.[n] С другой стороны, сила огня лишает его энергии воды.[n][n]
zts302e	Волшебная палочка льда
zts303e	Сконцентрированная энергия воды делает эту волшебную палочку могущественным оружием волшебников.
zts304e	Волшебная палочка Луун
zts305e	Первоначально, эта волшебная палочка находилась во власти могущественного волшебника Лууна. Она увеличивает могущество стихий и повышает урон.
zts306e	Волшебная палочка
zts307e	Эта палочка берет силу из двух разных энергетических источников, что снижает потребление ОМ.[n][n]
zts308e	Святая волшебная палочка
zts309e	Маги, выбравшие свет, получают сопротивление силам зла и невероятную мощь.[n][n]
zts310e	Волшебная палочка души
zts311e	Души умерших на поле боя волшебников наполняют это оружие и повышают защиту его владельца против всех элементов.
zts312e	Боевой арбалет
zts313e	Создан для боя и очень эффективен.[n][n]
zts314e	Осадный арбалет
zts315e	Это оружие стреляет стрелами, которые наполнены энергией огня.
zts316e	Кинжал гор
zts317e	Опасный кинжал, повышающий шанс нанесения критического урона.[n][n]
zts318e	Кинжал Пойгнарда
zts319e	Наполнен энергией тьмы.[n] [n]
zts320e	Обычный магический пистолет
zts321e	Обычный магический пистолет, обладающей невероятной мощью.[n][n]
zts322e	Бронзовый волшебный пистолет
zts323e	Украшенное бронзой волшебное оружие обладает особыми способностями воды.
zts324e	Прочная броня
zts325e	Очень прочная броня.[n][n]
zts326e	Плотная кожаная броня
zts327e	Обладает высокими защитными качествами и защищает от огня.[n][n]
zts328e	Броня победителя
zts329e	Имеет способность поглощать атаки с расстояния.
zts330e	Доспех стражника
zts331e	При помощи защиты света она уменьшает вероятность ранения в ближнем бою.
zts332e	Рыцарский доспех
zts333e	Рыцарский доспех. Повышает шанс уклонения и блокировки. [n][n]
zts334e	Каменная броня
zts335e	Специальная броня, способная как поглощать урон, так и блокировать его.
zts336e	Туника быстроты
zts337e	Повышенная защита от дальних атак и магии.[n][n]
zts338e	Туника природы
zts339e	Эта туника, наполненная энергией природы, повышает ОЗ и ОМ носящего ее персонажа.[n][n]
zts340e	Туника из акульей кожи
zts341e	Блокирует рукопашные и магические атаки.
zts342e	Туника дыхания
zts343e	Наполнена дыханием мертвецов
zts344e	Туника ветра
zts345e	Блокирует все виды атак
zts346e	Туника дриады
zts347e	Включает в себя все виды энергии и сопротивления. Уменьшает использование Маны.
zts348e	Роба новичка
zts349e	Повышает защиту в ближнем и дальнем бою.[n][n]
zts350e	Роба нежности
zts351e	Блокирует атаки с динстанции
zts352e	Роба ясности
zts353e	Усиливает защиту в ближнем бою и устойчива против огня.
zts354e	Роба с узорами
zts355e	Наполнена защитой от света и воды
zts356e	Волшебная роба
zts357e	Уменьшает использование Маны для заколдованных [n][n]
zts358e	Роба истока
zts359e	С определенной вероятностью блокирует все атаки.
zts360e	Амулет атаки
zts361e	Амулет защиты
zts362e	Амулет атаки и защиты
zts363e	Амулет, увеличивающий силу атаки
zts364e	Амулет, увеличивающий защиту
zts365e	Амулет исцеления
zts366e	Амулет сопротивления огню
zts367e	Амулет сопротивления свету
zts368e	Амулет сопротивления воде
zts369e	Амулет сопротивления тьме
zts370e	Амулет сопротивления
zts371e	Амулет смертельного попадания.
zts372e	Амулет смертельного ранения
zts373e	Амулет физического поглощения
zts374e	Амулет магического поглощения
zts375e	Амулет поглощения дальних атак
zts376e	Амулет для поглощения всех атак
zts377e	Амулет физического блокирования
zts378e	Амулет магического блокирования
zts379e	Амулет блокирования дальних атак
zts380e	Обруч
zts381e	Защищает голову от серьезных повреждений.[n][n]
zts382e	Мягкая шапка
zts383e	Это мягкая шапка.
zts384e	Маскировочный листок
zts385e	Кажутся не очень полезными.[n][n]
zts386e	Защита ушей от Мандры
zts387e	Прилегает плотно к ушам. Защищает от крика Мандры с большой вероятностью.
zts388e	Шапка бегемота
zts389e	Очень мягкая шапка бегемота.[n]Дает высокую вероятность защиты от Отключек.[n][n]
zts390e	Модные очки
zts391e	Маска Ковольта
zts392e	Если ты наденешь эту маску, ковольты будут принимать тебя за своего.[n]Даже если ты нападешь на ковольта-шахтера, другие ковольты не станут агрессивны по отношению к тебе.[n]
zts393e	Шапка оленя
zts394e	Повышает количество ОЗ.[n]Дает определенную вероятность защиты от крика мандры.[n][n]
zts395e	Шапка-вантуз
zts396e	Налобная повязка
zts397e	Предотвращает кровотечение с высокой долей вероятности [n][n]
zts398e	Антенны
zts399e	Повязка Оракула
zts400e	Шапка-дразнилка
zts401e	Шапка Бини
zts402e	Рог водяного индийского буйвола
zts403e	Квадратные очки
zts404e	Подмигивающая маска
zts405e	Маска летучей мыши
zts406e	Монокль
zts407e	X маска
zts408e	Борода и косметика
zts409e	Амулет для блокировки всех ударов
zts410e	Амулет огня
zts411e	Амулет энергии воды
zts412e	Амулет света
zts413e	Амулет тьмы
zts414e	Амулет, повышающий энергию тьмы
zts415e	Маленький цыпленок
zts417e	Новорожденный цыпленок
zts418e	Цыпленок
zts419e	Амулет защиты пари (оружие)
zts420e	Надень этот амулет перед игрой на уровень редкости,[n]и в случае неудачи ты потеряешь амулет вместо оружия.[n](Можно использовать 3 раза)[n][n]
zts421e	Амулет защиты пари (одежда)
zts422e	Надень этот амулет перед игрой на уровень редкости,[n]и в случае неудачи ты потеряешь амулет вместо брони.[n](Можно использовать 3 раза)[n][n]
zts423e	Амулет для повышения редкого уровня
zts424e	Надень его, и во время игры на повышение уровня ты повысишь уровень редкости на 1. (Без неудачи) [n][n]
zts425e	Амулет для увеличения уровня зафиксированного оружия
zts426e	Если ты его сохранишь,[n] ты можешь увеличить установленный уровень твоего оружия.[n] Усиление происходит в обычном порядке.[n] Но ты можешь получить фикс еще раз.[n] Если ты успешно повысил уровень,[n] предмет исчезает.[n] Если ты проиграешь пари,[n] предмет может исчезнуть.[n] Будь внимателен! (может быть использован 2 раза).[n][n]
zts427e	Амулет усиления для брони с фиксом.
zts428e	Используя этот предмет, ты можешь с обычной вероятностью[n]улучшать свою экипировку с фиксированным уровнем.[n]Есть вероятность повторного получения фиксированного уровня.[n]В ином при успехе случае фиксированный уровень снимается.[n][Внимание][n]При неудаче предмет может исчезнуть.[n](Можно использовать 2 раза)[n][n]
zts429e	Меч рыцаря Элвина
zts430e	Святая аура, которая окружает этот меч великого рыцаря Элвина, защищает своего владельца от злых сил и повышает его пункты жизни.
zts431e	Прославленная сабля
zts432e	Благодаря обладанию всеми элементами и сопротивлениями, эта сабля невероятно полезна для мечника.[n][n]
zts433e	Сломанный элементальный меч
zts434e	Удары этого меча понижают сопротивление элементам твоих врагов и урон от критических ударов.[n][n]
zts435e	Красный лук
zts436e	Высасывает ОЗ из противника[n]и повышает силу атаки в ближнем бою.[n][n]
zts437e	Лук мира
zts438e	Сила природы повышает силу наносимого урона.[n][n]
zts439e	Королевский лук
zts440e	Обьединяет все элементы, благодаря чему владелец получает меньше урона от магических атак.
zts441e	Волшебная палочка мудрости
zts442e	Эта волшебная палочка усилена элементом огня.[n]И еще она крадет души противников.[n][n]
zts443e	Шепот духов
zts444e	Таинственные силы духов, которые окружают эту палочку, повышают элементальную силу владельца и понижают сопротивление элементам у противников.
zts445e	Королевская волшебная палочка
zts446e	Этот предмет, украшенный  по-королевски богато, был создан много лет тому назад самыми знаменитыми кузнецами для их короля. Сегодня это оружие носят только самые опытные волшебники.
zts447e	Синяя роба мудрости
zts448e	Судебная мантия
zts449e	Любимчик
zts450e	Эта милая фея увеличивает твой элемент света на 30%.[n][n]
zts451e	Селлаим
zts452e	Фея огня растет до 70 уровня.[n]Этот предмет нельзя передать другим игрокам![n][n]
zts453e	Ундина
zts454e	Фея воды развивается до 70-го уровня. Не является предметом торга или обмена!
zts455e	Эпериал
zts456e	Фея света развивается до 70-го уровня. Не является предметом торга или обмена!
zts457e	Турик
zts458e	Фея тьмы растет до 70 уровня.[n]Этот предмет нельзя передать другим игрокам![n][n]
zts459e	Большая Селлаим
zts460e	Большая Ундина
zts461e	Большая Эпериал
zts462e	Большая Турик
zts463e	Амулет благословения
zts465e	Амулет защиты
zts467e	Амулет усиления
zts468e	Может усиливать экипировку на установленном уровне. [n] Но не защищает от разрушения. Для этого понадобится дополнительно защитный свиток экипировки. Обычно используется для оружия и экипировки [n] (Может быть использован 3 раза). [n][n]
zts469e	Жемчужина питомца
zts470e	С помощью этого предмета ты можешь[n]поместить своего питомца в жемчужину[n]и положить ее в инвентарь[n]или на склад.[n]Питомцев в жемчужинах[n]можно передавать другим игрокам.[n][n][Инструкция][n]Выбери питомца[n]и дважды нажми на жемчужину.[n][n][Внимание][n]Имя твоего питомца сотрется,[n]когда ты поместишь его в жемчужину.[n]Если уровень питомца выше твоего,[n]ты сможешь выпустить его[n]в своей мини-стране,[n]но не сможешь взять с собой.[n][n]
zts471e	Жемчужина партнера
zts472e	С помощью этого предмета ты можешь[n]поместить своего партнера в жемчужину[n]и положить ее в инвентарь[n]или на склад.[n]Партнеров в жемчужинах[n]можно передавать другим игрокам.[n][n][Инструкция][n]Выбери партнера[n]и дважды нажми на жемчужину.[n][n][Внимание][n]Имя твоего партнера сотрется,[n]когда ты поместишь его в жемчужину.[n]Если уровень партнера выше твоего,[n]ты сможешь выпустить его[n]в своей мини-стране,[n]но не сможешь взять с собой.[n][n]
zts473e	Держатель для карт специалиста
zts474e	В этот предмет можно поместить карту специалиста.[n]Он нужен для передачи карт другим игрокам.[n][Инструкция][n]Надень карту специалиста, которую хочешь поместить в держатель.[n]Затем нажми дважды на держатель, чтобы поместить ее внутрь.[n]Нажми дважды на держатель, чтобы достать карту.[n][Внимание][n]Если на карте есть нераспределенные очки навыков, их нужно распределить перед помещением карты в держатель.[n]Держатель исчезнет, когда карта будет изъята из него.[n][n]
zts475e	Амулет для празднования дня открытия НосМолл
zts476e	Скраммер
zts477e	Крисс
zts478e	Арбалет Винслет
zts479e	Арбалет Баленти
zts480e	Волшебный пистолет Плаза
zts481e	Лучевой волшебный пистолет
zts482e	Взгляд стража
zts483e	Роба света
zts484e	Смелый защитник
zts485e	Великолепный защитник
zts486e	Старинный меч
zts487e	Могущественный меч, наносящий невероятный урон.[n][n]
zts488e	Пронзающая Сила
zts489e	По некоторым монстрам этот лук бьет сильнее, благодаря своей мощи.
zts490e	Посох Каис
zts491e	Давным давно жил могущественный маг по имени Каис. Когда он покидал страну, он передал эту волшебную палочку своему лучшему ученику.
zts492e	Коробка с рейда
zts493e	Что находится в коробке?[n] Выясни это, нажав на нее дважды.[n] Если находящийся там предмет - броня или оружие,[n] то он получает тот же уровень редкости, что и у коробки.[n][n]
zts494e	Хорошее орихарконовое ожерелье
zts495e	Древнее орихарконовое ожерелье
zts496e	Хорошее орихарконовое кольцо
zts497e	Древнее орихарконовое кольцо
zts498e	Хороший орихарконовый браслет
zts499e	Древний орихарконовый браслет
zts500e	Древнее кристальное ожерелье
zts501e	Древнее кристальное кольцо
zts502e	Древний кристальный браслет
zts503e	Древнее алмазное ожерелье
zts504e	Древнее алмазное кольцо
zts505e	Древний алмазный браслет
zts506e	Перчатка пламени
zts507e	Перчатка шторма
zts508e	Божественная перчатка
zts509e	Перчатка смерти
zts510e	Обувь огня
zts511e	Обувь волн
zts512e	Сияющие ботинки
zts513e	Ботинки тени
zts514e	Красное кольцо Радаля
zts515e	Одно из заветных колец Радаля.[n] Используется для важных миссий.[n][n]
zts516e	Синее кольцо Радаля
zts517e	Нерастворимая перчатка
zts518e	Крайне редко окисляется [n] благодаря сопротивлению [n][n]
