zts1e	L'arbre de Fernon
zts2856e	Augmentation générale des points de la SP de : %s<NEW_TYPE><0>
zts2857e	Gagne plus d'or: %s%%<NEW_TYPE><0>
zts2858e	Gagne plus d'XP : %s%%<NEW_TYPE><0>
zts2859e	Gagne plus de level de métier : %s%%<NEW_TYPE><0>
zts2866e	Réduit toutes les résistances de l'adversaire en PVP: %s%% <NEW_TYPE><0>
zts2871e	25 % de chance que la résistance à l'eau de l'adversaire soit ignorer en PVP
zts2872e	25% de chance que la résistance à la lumière de l'adversaire soit ignorer en PVP
zts2873e	25% de chance que la résistance à l'obscurité de l'adversaire soit ignorer en PVP
zts2874e	Rétablissement des SP pour chaque adversaire abattu en PVP : %s%%<NEW_TYPE><0>
zts2875e	Augmente la défense en combat rapproché : %s%%<NEW_TYPE><0>
zts2876e	Augmente la défense des attaques à distance: %s%%<NEW_TYPE><0>
zts2877e	Augmente la défense des attaques magiques: %s%%<NEW_TYPE><0>
zts2905e	Augmente la production du Mini-jeu : %s%%<NEW_TYPE><0>
zts2906e	La nourriture guérit mieux : %s%%<NEW_TYPE><0>
zts2907e	%% pour tous les points de défense en PVP : %s%%<NEW_TYPE><0>
zts2908e	Évite les attaques au corps en PVP: %s%%<NEW_TYPE><0>
zts2909e	Évite les attaques à distance en PVP: %s%%<NEW_TYPE><0>
zts2912e	Protège vos MP en PVP
zts2913e	Immunisé contre les dégâts de feu en PVP
zts2914e	Immunisé contre les dégâts d'eau en PVP
zts2915e	Immunisé contre les dégâts de lumière en PVP
zts2916e	Immunisé contre les dégâts de l'Obscurité en PVP
zts2917e	C-
zts2918e	B-
zts2919e	A-
zts2920e	S-
zts2921e	Objectif de la Mission
zts2922e	Classement
zts2946e	Cachot de la plage Radikun
zts2947e	Cachot du cercueil de cristal scintillant
zts2968e	Bateau vers la Couronne de Glace
zts3073e	Contributions: %s Points<NEW_TYPE><0>
zts3095e	Les résistances sont fusionnées
zts3109e	Ajoutez l'équipement runée
zts3110e	Vous en deviendrez propriétaire
zts3118e	Mettez l'item que vous désirez convertir
zts3145e	La porte du Raid est ouverte !
zts3146e	Les pièces s'ouvrent au passage du chef
zts3155e	Devenir membre de l'équipe
zts3211e	Liste des quêtes
zts3212e	Quête principale
zts3213e	Quête secondaire
zts3214e	Quête des fleurs à son
zts3215e	Contenue de la quête
zts3216e	Acte.%d %s chapitre %d<NEW_TYPE><0,1,2>
zts3217e	Accepter
zts3218e	Utilisable seulement dans le Mini-pays
zts3219e	Tu ne peut qu'avoir 5 quêtes secondaire, tout comme pour les quêtes de fleurs à son.
zts3220e	Chasse pour commencer : [%d]~[%d] de [%s]. <NEW_TYPE><0,1,2>
zts3221e	Collectionne : [%d]~[%d] des [%s]. <NEW_TYPE><0,1,2>
zts3222e	Chasse [%s] et récolte [%d]~[%d] [%s]. <NEW_TYPE><0,1,2,3>
zts3223e	Rapporte [%d]~[%d] [%s] à [%s]. <NEW_TYPE><0,1,2,3>
zts3224e	Attrape pour commencer [%d]~[%d] [%s]. <NEW_TYPE><0,1,2>
zts3225e	Attrape pour commencer [%d]~[%d] [%s]. <NEW_TYPE><0,1,2>
zts3226e	Absolvez [%d]~[%d] l'espace temps.
zts3227e	Créer [%d]~[%d] [%s]. <NEW_TYPE><0,1,2>
zts3228e	Augmente le nombre des tués [%d] fois
zts3229e	Augmente la réputation de [%d] points.
zts3230e	[%d] des pierres espaces temps doivent avoirs atteints [%d] minimum
zts3231e	Parle avec [%s]. <NEW_TYPE><0>
zts3232e	Récolte dans l'espace temps [%d] [%s]. <NEW_TYPE><0,1>
zts3233e	Prend [%d] [%s] et parle avec [%s]. <NEW_TYPE><0,1,2>
zts3234e	Equipe toi avec [%s] et parle avec [%s]. <NEW_TYPE><0,1>
zts3235e	Equipe toi avec [%s] et parle avec [%s]. <NEW_TYPE><0,1>
zts3236e	Chasse [%s] et collectionne [%d] [%s]. <NEW_TYPE><0,1,2>
zts3237e	Apporter [%s] [%d] d'or
zts3238e	Va à l'endroit indiqué sur la carte [%s].
zts3239e	Collectionne en [%s] [%d] [%s]. <NEW_TYPE><0,1,2>
zts3240e	Utilise [%s] dans [%s]. <NEW_TYPE><0,1>
zts3241e	Procure toi des informations plus fiables auprès de [%s] . <NEW_TYPE><0>
zts3242e	Utilise [%s] dans [%s]. <NEW_TYPE><0,1>
zts3243e	Procure toi des informations plus fiables auprès de [%s]. <NEW_TYPE><0>
zts3244e	Utilise [%s] <NEW_TYPE><0>
zts3245e	Tir de relique
zts3246e	Dépose la relique à examiner la dessus
zts3247e	Veut tu examiner tel quel ?
zts3248e	Début de l'examen.
zts3249e	Examen de la relique...
zts3250e	Tu à examiner avec succès.
zts3251e	Parchemin de récompense.
zts3252e	Liste des récompenses.
zts3253e	Parchemins nécessaire
zts3254e	Récompense reçut
zts3255e	Les parchemins sont échanger...
zts3256e	Il n'y a pas assez de parchemins.
zts3257e	Choisit ta récompense.
zts3258e	Veut tu échanger le parchemin ?
zts3259e	Le trésor s'ouvre...
zts3260e	Capture possible
zts3261e	Capture n'est pas possible
zts3262e	Chasse [%d] [%s]<NEW_TYPE><0,1>
zts3263e	Collectione [%d] [%s] dans [%s] <NEW_TYPE><0,1,2>
zts3264e	Examine [%s] (%d/%d) <NEW_TYPE><0,1,2>
zts3265e	Examine [%s] <NEW_TYPE><0>
zts3266e	Bandits du désert
zts3270e	Jack O´Lantern
zts3289e	Bonhomme de neige géant
zts3290e	Archipel oublié
zts3291e	Les orcs et la Tour céleste
zts3292e	Le continent flottant du Repaire céleste
