zts1e	Volpe piccola
zts355e	Opossum di luce
zts356e	Opossum dell'ombra
zts357e	Diavolo degli inferi
zts358e	Palo per l'allenamento
zts360e	Slade del fuoco
zts361e	Sanguisuga
zts362e	Talpa
zts363e	Guardia Sam
zts364e	Guardia Jim
zts365e	Manager della miniera Mudog
zts366e	Manager della miniera Krispo
zts368e	Jerico
zts369e	Comandante Ray Ramos
zts370e	Generale dei Cavalieri Ramos
zts371e	Capitano dei Cavalieri Ramos
zts372e	Spia Koaren
zts373e	Minatore borbottante
zts374e	Rumbler
zts375e	Re Rumbler
zts376e	Occhio in piedi
zts377e	Spada incantata
zts378e	Arco incantato
zts379e	Stella del mattino stregata
zts380e	Tonaca strappata
zts381e	Moscerino debole
zts382e	Scorpione scuro
zts383e	Cavalletta acquatica
zts384e	Farfalla di fiamme
zts385e	Albero animato chiaro
zts386e	Albero animato oscuro
zts387e	Albero animato freddo
zts388e	Albero animato caldo
zts389e	Anima incatenata
zts390e	Cerbero
zts391e	Servitore del demonio
zts392e	Cavaliere Pinto
zts393e	Erba profumata
zts394e	Pozzo profondo
zts395e	Tavola rossa spezzata
zts396e	Tronco d'albero
zts397e	Cespuglio fiorito
zts398e	Statua Kovolt
zts399e	Pentacolo
zts400e	Cerchio dell'oscurità
zts401e	Ramo sacro
zts402e	Altare sacro
zts403e	Ramo magico
zts404e	Nido dei Ficcanaso
zts405e	Vite spaventosa (Cancello 1)
zts406e	Vite spaventosa (Cancello 2)
zts407e	Vite spaventosa (Cancello 3)
zts408e	Tronchi
zts409e	Assegnatore di missioni lv 20
zts410e	Assegnatore di missioni lv 21-1
zts411e	Assegnatore di missioni lv 21-2
zts412e	Assegnatore di missioni lv 21-3
zts413e	Assegnatore di missioni lv 21-4
zts414e	Assegnatore di missioni lv 21-5
zts415e	Assegnatore di missioni lv 21-6
zts416e	Assegnatore di missioni lv 22-1
zts417e	Assegnatore di missioni lv 22-2
zts418e	Assegnatore di missioni lv 22-3
zts419e	Grano
zts420e	Minerale di ferro
zts421e	Assegnatore di missioni lv 25-1
zts422e	Assegnatore di missioni lv 25-2
zts423e	Assegnatore di missioni lv 25-3
zts424e	Assegnatore di missioni lv 25-4
zts425e	Assegnatore di missioni lv 25-5
zts426e	Assegnatore di missioni lv 25-6
zts427e	Assegnatore di missioni lv 25-7
zts428e	Assegnatore di missioni lv 25-8
zts429e	Assegnatore di missioni lv 25-9
zts430e	Assegnatore di missioni lv 25-10
zts431e	Orma strana
zts432e	Capitano Lance
zts434e	Eggy
zts438e	Gallo combattente
zts439e	Re pollo
zts440e	Pozzo misterioso
zts441e	Pozzo misterioso
zts442e	Nido
zts443e	Nido dorato
zts444e	Pozzo magico
zts445e	Pozzo insolito
zts446e	Guardia
zts447e	Chicky saltellante
zts448e	Chicky ballerino
zts449e	Chicky truce
zts450e	Occhio volante
zts451e	Corpo dell'anima incatenata
zts452e	Portatore della tonaca strappata
zts453e	Tavola con l'elenco dei ricercati
zts454e	Capo dei Koaren
zts455e	Colly
zts456e	Anni
zts457e	Doggo
zts458e	Verme
zts459e	Mostro terra
zts460e	Grillotalpa grande
zts461e	Gigante di nebbia
zts462e	Anima di un guerriero
zts463e	Anima di un arciere
zts464e	Bestia
zts465e	Spia Kenko
zts466e	Torturatore pizzicante
zts467e	Torturatore con ruota
zts468e	Torturatore frustante
zts469e	Lady Diavolo
zts470e	Statua di Shinebone pungente
zts471e	Posto di guardia danneggiato
zts472e	Terreno morbido
zts473e	Terreno duro
zts474e	Pietra luccicante
zts475e	Scopa
zts476e	Carta da parati sospetta
zts477e	Statua dello spavento
zts478e	Ninja nano saltellante
zts479e	Nano ninja armato
zts480e	Nano ninja ubriaco
zts481e	Ninja
zts482e	Nonomaru
zts483e	Fantasma innamorato
zts484e	Namaju
zts485e	Ninja nano triste
zts486e	Jajamaru piccolo
zts487e	Principessa Sakura
zts488e	Namaju imbestialito
zts489e	Semino brutale
zts490e	Dander impazzito
zts491e	Pollo brutale
zts492e	Minatore Expy Yobby
zts493e	Jajamaru
zts494e	Frammento di meteorite
zts495e	Lapide grande
zts496e	Lapide piccola
zts497e	Trappola di Jajamaru
zts498e	Canne di bambù
zts499e	Torturatore d'acciaio
zts500e	Namaju brutale
zts501e	Moscerino grande
zts502e	Vaso Jajamaru
zts503e	Cristallo arcobaleno grande
zts504e	Cristallo arcobaleno medio
zts505e	Cristallo arcobaleno piccolo
zts506e	Bestia maledetta
zts507e	Gigante di nebbia maledetto
zts508e	Lady Diavolo dannata
zts509e	Strega rosaspina
zts510e	Strega bianca forte
zts511e	Statua di Shinebone
zts512e	Albero da frutta
zts513e	Tabellone
zts514e	Pietra rossa
zts515e	Statua rotta di Shinebone
zts516e	Spia Kenko 1 assegnatore
zts517e	Spia Kenko 2 assegnatore
zts518e	Spia Kenko 3 assegnatore
zts519e	Spia Kenko 4 assegnatore
zts520e	Strega Rosaspina
zts521e	Guerriero scheletro resuscitato
zts522e	Falco teschio
zts523e	Guerriero della morte
zts524e	Cavaliere dell'inferno
zts525e	Diavolo infuocato volante
zts526e	Npc Nuovo
zts527e	Fata Grasslin
zts528e	Fata Grasslin
zts529e	Grasslin gigante
zts530e	Drago di fuoco
zts531e	Drago di ossa
zts532e	Grasslin piccolo
zts533e	Pianta di riso
zts534e	Cancello della Terra dei Morti
zts535e	Opossum gladiatore
zts536e	Catrisha
zts537e	Catlotta
zts538e	Jack Lumber
zts539e	Rody Windsinger
zts540e	Rudy Steward
zts541e	Eri Windspear
zts542e	Truppa di Erikiel
zts543e	Soty Bystander
zts544e	Khanty Darkstaker
zts545e	Rect Lat
zts546e	Recturus Lightelusion
zts547e	Conchiglia gigante
zts548e	Treekun
zts549e	Re sanguisuga
zts550e	Golem di fuoco
zts551e	Basilisco
zts552e	Larva gigante
zts553e	NotUse
zts554e	Medusa grande
zts555e	Medusa piccola
zts556e	Antico spirito arboreo
zts557e	Graylander
zts558e	Sanguisuga gigante
zts559e	Angelo
zts560e	Falena
zts561e	Grillotalpa
zts562e	Talpa giovane
zts563e	Madre talpa
zts564e	Cerbero grande
zts565e	Enkidu
zts566e	Larva
zts567e	Margheritine
zts568e	Giaggiolo
zts569e	Statua di Chrysos
zts570e	Pozzo
zts571e	Grande fiore rosso
zts572e	Chrysos
zts573e	Guerriero Yak
zts574e	Mago Yak
zts575e	Talpa giovane
zts576e	Bomba da tiro
zts577e	Bomba
zts578e	Guardiana
zts579e	Grillotalpa
zts580e	Bomba
zts581e	Mina di fuoco
zts582e	Fabian Gelo
zts583e	Daisy Akamur
zts584e	Seina Reiya
zts585e	Justin Darkflame
zts586e	Whitney Catherine
zts587e	Guardiano demoniaco
zts588e	Guardia infernale
zts589e	Terribile guardia infernale
zts590e	Kartos
zts591e	Benteruke
zts592e	Pelicert
zts593e	Archtheridon Hellduke
zts594e	Echekaruel Mysticaron
zts595e	Unsichtbarer
zts596e	Anima antica
zts597e	Pietra dell'anima d'oro
zts598e	Pozzo sacro
zts599e	Opossum
zts600e	Opossum disinfestatore
zts601e	Kupei Karus
zts602e	Arcke
zts603e	Angelo Jabiniel
zts604e	Angelo Israel
zts605e	Angelo Reedwhanel
zts606e	Pietra dell'anima grigia
zts607e	Mercante d'armi
zts608e	Mercante di armature
zts609e	Mercante di merci di produzione
zts610e	Cuoco
zts611e	Stilista
zts612e	Alchimista
zts613e	Giardiniere
zts614e	Torre del Teletrasporto
zts615e	Cartello Airwaves
zts616e	Babbo Natale
zts617e	Pupazzo di neve
zts618e	Testa di pupazzo di neve
zts619e	Grossa testa di pupazzo di neve
zts620e	Maggiordomo Benito
zts621e	Ratto felice
zts622e	Aurelius Roshu
zts623e	Rudin Albisco
zts624e	Leika Cutlass
zts625e	Rifugiato del sigillo
zts626e	NotUse
zts627e	Cappen
zts628e	Kangpen
zts629e	Jackpen
zts630e	Gnoll esploratore
zts631e	Soldato Gnoll
zts632e	NotUse
zts633e	Yeti
zts634e	Golem^di^ghiaccio
zts635e	Prota
zts636e	Strega del ghiaccio
zts637e	Lace
zts638e	NotUse
zts639e	Verme glaciale
zts640e	Lord Mukraju
zts641e	Ross Hisrant
zts642e	Piccolo falò
zts643e	Grande falò
zts644e	Ross Hisrant
zts645e	Guerriero Mokan
zts646e	Cacciatore Mokan
zts647e	Guerriero Moldas
zts648e	Stregone Moldas
zts649e	Maestro Morcos
zts650e	Jjinta
zts651e	Portale d'Evocazione dei Mostri
zts652e	Hemil Melius
zts653e	Amelia Glacia
zts654e	Fata delle uova
zts655e	Gnoll esploratore sospetto piccolo
zts656e	Gnoll esploratore sospetto
zts657e	Gnoll esploratore molto sospetto
zts658e	Gnoll esploratore estremamente sospetto
zts659e	Fata delle uova
zts660e	Arnold Artisan
zts661e	Isaac Artisan
zts662e	Noelia Rosa
zts663e	Margaret
zts664e	Alice Bellia
zts665e	Marvin Magicus
zts666e	Edward
zts667e	Sentinella oscura
zts668e	Cacciatore oscuro
zts669e	Predatore dell'oscurità
zts670e	Eremita oscuro
zts671e	Maestro Hatus
zts672e	Nuovo stalliere Selvic
zts673e	Principiante Seloin
zts674e	Teodor Topp in pensione
zts675e	Teoman Topp in pensione
zts676e	Frank il ricercatore
zts677e	Schluri vagabondo
zts678e	Capitano dei cavalieri Pinto
zts679e	Mimi Mentor indaffarata
zts680e	Eva Energy pigrona
zts681e	Yeti brutale
zts682e	Guerriero Moldas potente
zts683e	Stregone Moldas potente
zts684e	Foca bianca
zts685e	Alfred Erudio
zts686e	Pulcino gigante
zts687e	Mandra millenaria
zts688e	Cane della guardia infernale
zts689e	Gallo combattente gigante
zts690e	Patata millenaria
zts691e	Cane di Satana
zts692e	Warepardo gigante
zts693e	Boing satellite
zts694e	Diavolo radice
zts695e	Slade muscoloso
zts696e	Re delle ombre
zts697e	Golem Slade
zts698e	Mini Castra
zts699e	Cavaliere della morte
zts700e	Sanguisuga grossa
zts701e	Ginseng millenario
zts702e	Re basilisco
zts703e	Guerriero gigante
zts704e	Albero maledetto
zts705e	Re granchio
zts706e	Yeti Docile
zts707e	Fabian Gelo
zts708e	Cane da guardia della Grotta dei Cristalli
zts709e	Guardiano della Grotta dei Cristalli
zts710e	Sacerdote della Grotta dei Cristalli
zts711e	Guardiano della Grotta dei Cristalli
zts712e	notuse
zts713e	notuse
zts714e	notuse
zts715e	Barone Berios
zts716e	Cacciatore oceanico
zts717e	Guardiano oceanico
zts718e	Anemone sorvegliante
zts719e	Pesce inseguitore
zts720e	Lady Calvinas
zts721e	Gelatiera
zts722e	Campo Base degli Angeli
zts723e	Campo Base dei Demoni
zts724e	Santuario degli angeli
zts725e	Altare dei demoni
zts726e	Opossum acquatico
zts727e	Viandante 1
zts728e	Viandante 2
zts729e	Fiammetta
zts730e	Meteorina
zts731e	Vulcanina
zts732e	Correntella
zts733e	Fulminella
zts734e	Shockerella
zts735e	Brividotto
zts736e	Tenebrotto
zts737e	Fantasmotto
zts738e	Appiccichetty
zts739e	Squaletty
zts740e	Magichetty
zts741e	Infernonzo
zts742e	Tuberonzo
zts743e	Titanonzo
zts744e	Fenri
zts745e	Scheggia
zts746e	Frosti
zts747e	Pegasus
zts748e	Coniglio carino
zts749e	Sanguisuga
zts750e	Yeti gigante
zts751e	Recturus Lightelusion
zts752e	Khanty Darkstaker
zts753e	Pollo addestrato
zts754e	Ginseng forte
zts755e	Basilisco forte
zts756e	Pecora addestrata
zts757e	Muflone addestrato
zts758e	Ariete addestrato
zts759e	Criceto addestrato
zts760e	Criceto velenoso addestrato
zts761e	Criceto d'acciaio addestrato
zts762e	Volpe addestrata
zts763e	Volpe Dusi addestrata
zts764e	Volpe Oto addestrata
zts765e	Jelly rosa addestrato
zts766e	Jelly rosso addestrato
zts767e	Jelly scuro addestrato
zts768e	Folletto addestrato
zts769e	Folletto cornuto addestrato
zts770e	Diavoletto addestrato
zts771e	Lupo addestrato
zts772e	Leonlupo addestrato
zts773e	Re Cappen
zts774e	Cucciolo di Gnoll
zts775e	Verme glaciale gigante
zts776e	Prota gigante
zts777e	Enkidu gigante
zts778e	Fata del ghiaccio gigante
zts779e	Gallo combattente aggressivo
zts780e	Fantasma Mandra
zts781e	Vampy forte
zts782e	Guerriero d'élite dei Koaren
zts783e	Arciere d'élite dei Koaren
zts784e	Predatore Kenko pericoloso
zts785e	Capo dei Pedoni di Pietra
zts786e	Warepardo arrabbiato
zts787e	Guardiano degli angeli
zts788e	Guardiano dei demoni
zts789e	Vampy spaventapasseri
zts790e	Kovolt spaventapasseri
zts791e	Opossum spaventapasseri
zts792e	Kenko spaventapasseri
zts793e	Warepardo spaventapasseri
zts794e	Catsy spaventapasseri
zts795e	Teschio spaventapasseri
zts796e	Allenatore di NosMate (principianti)
zts797e	Allenatore di NosMate (intermedio)
zts798e	Allenatore di NosMate (pro)
zts799e	Fantasma dello stregone perfido
zts800e	Bruco imbestialito
zts801e	Ape regina evocata
zts802e	Bruco gigante
zts803e	Verme viscido
zts804e	Golem grande
zts805e	Boing corno d'acciaio
zts806e	Ragno soldato
zts807e	Mostro dell'oscurità
zts808e	Cane da caccia infernale
zts809e	Slade asceta
zts810e	Cavaliere scheletro crudele
zts811e	Scheletro arciere crudele
zts812e	Guardiano gigante
zts813e	Guardiano gigante
zts814e	Slade minaccioso
zts815e	Deront, il cavaliere nero
zts816e	Sanguisuga piccola
zts817e	Larva velenosa
zts818e	Cavaliere corazzato Lantess
zts819e	Medusa divisa
zts820e	Pontiff di nebbia oscura
zts821e	Pedone di pietra gigante
zts822e	Re granchio
zts823e	Regina talpa
zts824e	Cavaliere mistico
zts825e	Mysticaron
zts826e	Warepardo antico
zts827e	Re delle ombre antico
zts828e	Mini Castra vetusto
zts829e	Diavolo radice antico
zts830e	Jelly rosa gigante
zts831e	Cavaliere gigante forte
zts832e	Graylander forte
zts833e	Legna da ardere
zts834e	Legna da ardere
zts835e	Pietra dell'anima dello spadaccino
zts836e	Pietra dell'anima dell'arciere
zts837e	Pietra dell'anima dello stregone
zts838e	Attacco di ghiaccio dell'angelo
zts839e	Attacco ghiacciato dei demoni
zts840e	Palo per l'allenamento
zts841e	Colonna per l'allenamento
zts842e	Sfera di cristallo dello spadaccino
zts843e	Sfera di cristallo dell'arciere
zts844e	Sfera di cristallo del mago
zts845e	Predatore Kenko gigante
zts846e	Zona dei Vampy spaventapasseri
zts847e	Rudolf brutto
zts848e	Rudolf ripugnante
zts849e	Pupazzo di neve empio
zts850e	Super Babbo Opossum
zts851e	Diavolo infuocato debole
zts852e	Opossum toro
zts853e	Verme glaciale
zts854e	Esploratore combattente Gnoll Junior
zts855e	Prota irritata
zts856e	Esploratore Gnoll Junior
zts857e	Enkidu junior
zts858e	Jackpen evocato
zts859e	Kangpen evocato
zts860e	Basilisco delle nevi
zts861e	Leone delle nevi
zts862e	Volpe delle nevi
zts863e	Opossum samurai
zts867e	Inferno
zts889e	Pesce Sabbiadeserto
zts890e	Prota Sabbiadeserto
zts891e	Foglielama Sabbiadeserto
zts892e	Predatore Sabbiadeserto
zts893e	Rettile Sabbiadeserto
zts894e	Rettile appuntito Sabbiadeserto
zts895e	Corno tagliente Sabbiadeserto
zts896e	Volpe Sabbiadeserto
zts897e	Cactus Sabbiadeserto
zts898e	Mantide Sabbiadeserto
zts899e	Scorpione Sabbiadeserto
zts900e	Basilisco Sabbiadeserto
zts901e	Monaco della preghiera
zts902e	Spirito della preghiera
zts903e	Sacerdote della preghiera
zts904e	Capo della preghiera
zts905e	Comandante Neil
zts906e	Comandante Melky
zts907e	Comandante Keru
zts908e	Comandante Garton
zts909e	Samurai della Truppa di Ricognizione di Neil
zts910e	Assassino della Truppa di Ricognizione di Neil
zts911e	Cacciatore della Truppa di Ricognizione di Neil
zts912e	Incendiario della Truppa di Ricognizione di Neil
zts913e	Guardiano di Neil
zts914e	Guardia dell'accampamento di Neil
zts915e	Maestro delle chiavi di Neil
zts916e	Spia della Truppa di Ricognizione di Neil
zts917e	Ibrahim
zts918e	Comandante Shoran
zts919e	Comandante Shay
zts920e	Esploratore della Truppa di Ricognizione di Neil
zts921e	Bufera di sabbia
zts922e	Spirito di sabbia
zts923e	Gigante di sabbia
zts924e	Nano di sabbia
zts925e	Amministratore dei cimeli antichi
zts926e	Spirito Ventosabbioso
zts927e	Gladiatore Ventosabbioso
zts928e	Arciere Ventosabbioso
zts929e	Mago Ventosabbioso
zts930e	Guardiano dell'antica rovina
zts933e	Re del fuoco Valakus
zts935e	Kertos, il cane demoniaco
zts947e	Dio del fuoco Greniga
zts948e	Jin Hamadin
zts949e	Guardiano del faro Chilton
zts950e	Guardia portuale Tom
zts951e	Presidente Noah
zts952e	Hazel
zts953e	Sacerdotessa Serizad
zts954e	Sommo sacerdote Eladin
zts955e	Sacerdotessa Vera
zts956e	Riana
zts957e	Serena
zts958e	Nephi
zts959e	Semia
zts960e	Paul
zts961e	Delmon Milow
zts962e	Guardia dei Mercanti Akamur
zts963e	Rappresentante dei Mercanti Akamur
zts964e	Mercante Akamur
zts965e	Abitante
zts966e	Spirito di un cercatore di tesoro
zts967e	Ricercatore di tesoro morto
zts968e	Anima di un sacerdote
zts969e	Sacerdote morto
zts970e	Bandito morto
zts971e	Cammello
zts972e	Hamid
zts973e	Sharif prigioniero
zts974e	Rushaldin
zts975e	Kamil
zts976e	Michol
zts977e	Xavier
zts978e	Velmon
zts979e	Unità Militare Caos
zts980e	Saccheggiatore del Deserto Maloren
zts981e	Bolporti, il tessitore di seta
zts982e	Abitante dell'Area del Caos
zts983e	Ispettore Serges
zts984e	Viaggiatore misterioso
zts985e	Fantasma di Greniga
zts1086e	Irukur
zts1192e	Cactus Sabbiaspirito
zts1193e	Volpe Sabbiadeserto
zts1194e	Volpe Sabbiaspirito
zts1195e	Prigioniero
zts1196e	Guardia dell'accampamento di Neil
zts1197e	Rappresentante Mursha
zts1198e	Fico d'India
zts1199e	Cassetta della posta di Neil
zts1200e	Prigioniero Humad
zts1201e	Sacerdotessa Nora
zts1202e	Guardia Putran
zts1203e	Cartomante Nuki
zts1204e	Assistente Shane
zts1205e	Scrigno perduto dei mercanti Akamur
zts1206e	Merce distrutta
zts1207e	Merce saccheggiata
zts1208e	NPC che procura le bandiere
zts1209e	NPC - Regione 1
zts1210e	NPC - Regione 2
zts1211e	NPC - Regione 3
zts1212e	NPC - Regione 4
zts1213e	NPC - Regione 5
zts1214e	NPC - Regione 6
