zts1e	Nowy przedmiot
zts54e	Miecz pokryty z³otem, który dziêki ¿ywio³owi ognia zwiêksza szansê na zadanie ciosu krytycznego.[n][n]
zts55e	Szeroki Miecz
zts56e	Miecz o nadzwyczaj szerokiej klindze.[n][n]
zts57e	D³ugi Miecz Mocy
zts58e	Mroczna moc zwiêksza obra¿enia.[n][n]
zts59e	Szeroki Miecz
zts60e	Zwyczajny szeroki miecz z wygodn¹ rêkojeœci¹[n][n]
zts61e	Skyabona
zts62e	Tajemnicza si³a chroni w³aœciciela tego miecza przed wrogimi atakami.[n][n]
zts63e	Claymore
zts64e	Tylko najlepsi wojownicy otrzymuj¹ ten miecz.[n]Zwiêksza si³ê ataku ¿ywio³u wody.[n][n]
zts65e	£uk Nowicjusza
zts66e	Prezent dla pocz¹tkuj¹cych ³uczników.[n]Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts67e	Ma³y £uk
zts68e	Ma³y ³uk z drewna.[n][n]
zts69e	£uk Szybkoœci
zts70e	Lekki i szybki ³uk, którego szybkoœæ znacznie zwiêksza celnoœæ.[n][n]
zts71e	£uk Bambusowy
zts72e	Niestabilny ³uk wykonany z drzewa bambusowego.[n][n]
zts73e	Magiczny £uk
zts74e	Wzmocniony ³uk prêdkoœci.[n]Zwiêksza obra¿enia i celnoœæ.[n][n]
zts75e	£uk z Dêbowego Drzewa
zts76e	Aby solidnie ukszta³towaæ ten ³uk, u¿yto dêbiny.[n][n]
zts77e	£uk Wiatru
zts78e	£uk ten zosta³ wykonany przez sêdziwego badacza wiatru.[n]Wykorzystaj wiatr do wzmocnienia swojej si³y ataku.[n][n]
zts79e	£uk z Rogu
zts80e	Bardzo popularny ³uk z rogiem.[n][n]
zts81e	Skórzany £uk
zts82e	£uk pokryty cielêc¹ skór¹.[n]Zadaje obra¿enia krytyczne.[n][n]
zts83e	£uk Myœliwski
zts84e	Bardzo stabilny typowy ³uk myœliwski.[n][n]
zts85e	£uk Odwagi
zts86e	Broñ dla odwa¿nego ³ucznika.[n]Wskutek dodania ¿ywio³u ognia obra¿enia zostan¹ zwiêkszone.[n][n]
zts87e	D³ugi £uk
zts88e	Wyró¿nia siê niespotykan¹ d³ugoœci¹.[n][n]
zts89e	£uk z Br¹zu
zts90e	£uk odwagi zwiêkszona si³ê obrony[n]dziêki chwytowi pokrytemu br¹zem.[n][n]
zts91e	£uk Ducha
zts92e	£uk wzmocniony si³¹ ducha.[n]Wzmacnia wszystkie ¿ywio³y.[n][n]
zts93e	Ró¿d¿ka Nowicjusza
zts94e	Prezent dla pocz¹tkuj¹cego maga.[n] Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts95e	Ró¿d¿ka z Czerwon¹ Per³¹
zts96e	Magiczna ró¿d¿ka z ozdobn¹, czerwon¹ per³¹.[n][n]
zts97e	Laska Ducha
zts98e	Tajemnicza si³a pere³ zwiêksza magiczn¹ si³ê ataku twojej ró¿d¿ki w celu zdobycia wiêkszej iloœci many.[n][n]
zts99e	Ró¿d¿ka z Rubinem
zts100e	Ta ró¿d¿ka jest popularna poœród m³odych magów ze wzglêdu na ozdobê w postaci sporego rubinu.[n][n]
zts101e	Magiczna Ró¿d¿ka
zts102e	Poprzez moc tajemniczego pudru broñ ta otrzymuje szczególne umiejêtnoœci ³agodzenia magicznych ataków.[n][n]
zts103e	Ró¿d¿ka z B³êkitn¹ Per³¹
zts104e	Ró¿d¿ka, na której koñcu umieszczono niebiesk¹ per³ê.[n][n]
zts105e	Ró¿d¿ka Œwiat³a
zts106e	Tajemnicze œwiat³o otacza tê broñ i zwiêksza twój atak, podczas gdy dodatkowo polepsza twoj¹ regeneracjê.[n][n]
zts107e	Ró¿d¿ka Zdobiona Opalami
zts108e	Ta czarodziejska ró¿d¿ka wysadzana jest opalami, przez co wygl¹da naprawdê cudownie.[n][n]
zts109e	Ró¿d¿ka Many
zts110e	Zwiêksza twój zapas many oraz jej regeneracjê.[n][n]
zts111e	Koralowa Ró¿d¿ka
zts112e	Ta ró¿d¿ka zosta³a ozdobiona koralami z g³êbi oceanu.[n][n]
zts113e	Ró¿d¿ka Honoru
zts114e	Tylko szacownym magom jest dozwolone u¿ywanie tej ró¿d¿ki przeciwko mocom z³a.[n][n]
zts115e	Kryszta³owa Ró¿d¿ka
zts116e	Stalowy b³ysk luksusowych kryszta³ów, które zosta³y wkomponowane w tê broñ, napawa twych przeciwników ogromnym strachem.[n][n]
zts117e	Ró¿d¿ka Inteligencji
zts118e	Oczyszcza duszê w³aœciciela za pomoc¹ mocy ¿ywio³ów i tym samym zwiêksza liczbê PM i P¯.[n][n]
zts119e	Ró¿d¿ka Mroku
zts120e	Ró¿d¿kê tê wype³nia mroczna moc, nios¹ca zgubê twoim wrogom.[n][n]
zts121e	Skórzane Rêkawice
zts122e	Rêkawice te wykonane zosta³y z miêkkiej skórki i zwiêkszaj¹ si³ê ataku d³ugodystansowego.[n][n]
zts123e	Trwa³e Rêkawice
zts124e	Zapobiega wyœlizgiwaniu siê broni. [n]Zwiêkszona si³a ataku krótkodystansowego[n][n]
zts125e	Buty Poszukiwacza Przygód
zts126e	Tylko dla poszukiwaczy przygód.[n][n]
zts127e	Buty na Koturnie
zts128e	Opracowano z wielk¹ starannoœci¹.[n][n]
zts129e	Buty Skórzane
zts130e	Buty zrobione ze skóry.[n][n]
zts131e	Wrotki
zts132e	Mo¿esz przesuwaæ siê bardzo szybko,[n]pierwotnie u¿ywane do tañca[n][n]
zts133e	Miecz Mistrza
zts134e	Miecza tego u¿ywaj¹ doœwiadczeni poszukiwacze przygód.[n][n]
zts135e	Katapulta Mistrza
zts136e	Doœwiadczeni poszukiwacze przygód u¿ywaj¹ tej broni po zakoñczeniu nauki.[n][n]
zts137e	Kusza Nowicjusza
zts138e	Broñ drugorzêdna dla pocz¹tkuj¹cych wojowników.[n][n]
zts139e	Kusza z Dêbowego Drewna
zts140e	Stabilna kusza z drzewa dêbowego.[n][n]
zts141e	Kusza Wró¿ki
zts142e	Kusza stra¿nika lasu o zwiêkszonej celnoœci.[n][n]
zts143e	Cienkie Rêkawice
zts144e	Bezu¿yteczny przedmiot[n][n]
zts145e	Gumowe Rêkawice
zts146e	Wyœcie³ane rêkawice.[n]Dziêki nim mo¿na bez trudu przenosiæ ciê¿kie przedmioty.[n][n]
zts147e	Stalowa Kusza
zts148e	Ciê¿ka stalowa kusza. Zwiêksza si³ê ataku.[n][n]
zts149e	Mistrzowska Kusza
zts150e	Ta luksusowa i dobrze wywa¿ona kusza to dzie³o sztuki znanego kowala.[n][n]
zts151e	Kusza Mroku
zts152e	Zwyczajna kusza z wygodnym uchwytem, otoczona jest ciemnymi mocami.[n][n]
zts153e	Kusza z Bukowego Drewna
zts154e	Pieczo³owite wykonanie z drewna bukowego zapewnia mo¿liwoœæ szybkiego prze³adowania tej broni w dowolnym momencie.[n][n]
zts155e	Kusza Odwagi
zts156e	Wype³niona walecznym duchem wojownika, który niegdyœ nosi³ tê broñ, zwiêksza morale swego w³aœciciela.[n][n]
zts157e	Sztylet Nowicjusza
zts158e	Broñ drugorzêdna dla pocz¹tkuj¹cych ³uczników.[n][n]
zts159e	Sztylet
zts160e	Niepozorny sztylet wykonany ze stali.[n][n]
zts161e	Sztylet Mêki
zts162e	W drastycznych sytuacjach sztylet ten zwiêksza prawdopodobieñstwo ciosu krytycznego.[n][n]
zts163e	Szlachetny Sztylet
zts164e	Sztylet ozdobiony bi¿uteri¹, który zwiêksza znacznie si³ê ataku.[n][n]
zts165e	Mistrzowski Sztylet
zts166e	Ten luksusowy i dobrze wywa¿ony sztylet to dzie³o sztuki znanego kowala.[n][n]
zts167e	Mosiê¿ny Sztylet
zts168e	Zwyk³y sztylet z mosi¹dzu.[n][n]
zts169e	Sztylet Ozdobiony Rubinami
zts170e	Ten ozdobiony rubinami sztylet jest dum¹ ka¿dego ³ucznika.[n][n]
zts171e	Sztylet Ducha
zts172e	Dziêki duchowej mocy po u¿yciu tego sztyletu wszystkie ¿ywio³y zostan¹ wzmocnione.[n][n]
zts173e	Miotacz Zaklêæ Nowicjusza
zts174e	Broñ drugorzêdna dla pocz¹tkuj¹cych magów.[n][n]
zts175e	Ma³y Miotacz Zaklêæ
zts176e	Ma³a, niezbyt wydajna broñ, która nadaje siê szczególnie dla pocz¹tkuj¹cych magów.[n][n]
zts177e	Magiczny Miotacz Zaklêæ
zts178e	Ta broñ jest otoczona dobr¹ i potê¿n¹ magi¹. Nie daje czarnej magii szans, aby j¹ zniszczyæ.[n][n]
zts179e	Z³oty Miotacz Zaklêæ
zts180e	Jego wyró¿niaj¹ca siê z³ota ozdoba przyci¹ga uwagê wszystkich magów i jest dlatego bardzo popularna.[n][n]
zts181e	Mistrzowski Miotacz Zaklêæ
zts182e	Broñ ta to dzie³o znanego kowala. Stabilnoœæ i si³a ataku wyj¹tkowo skutecznie odpieraj¹ ataki twoich przeciwników.[n][n]
zts183e	Mosiê¿ny Miotacz Zaklêæ
zts184e	Ciê¿ka, ale wytrzyma³a broñ z mosi¹dzu.[n][n]
zts185e	Dostojny Miotacz Zaklêæ
zts186e	Dostojni Magowie wybieraj¹ tê broñ ze wzglêdu na mo¿liwoœæ ulepszenia magicznych ataków.[n][n]
zts187e	Miotacz Zaklêæ Mroku
zts188e	Ta potê¿na broñ zadaje przeciwnikom spore obra¿enia.[n][n]
zts189e	Zbroja Pocz¹tkuj¹cego Wojownika
zts190e	Podstawowe wyposa¿enie wojownika.[n][n]
zts191e	Wyœcie³ana Zbroja
zts192e	Wyœcie³any pancerz o ma³ej sile obrony.[n][n]
zts193e	Obszyty Pancerz
zts194e	Wielowarstwowa bawe³na,[n]lekka i ciep³a.[n][n]
zts195e	Skórzany Pancerz
zts196e	Zbroja z garbowanej skóry.[n][n]
zts197e	Zbroja Wytrzyma³oœci
zts198e	Zwiêksza si³ê i wytrzyma³oœæ [n][n]
zts199e	P³ytowy Skórzany Pancerz
zts200e	Skórzany pancerz z metalowym wzmocnieniem.[n]Nie posiada zbyt du¿ej si³y obrony.[n][n]
zts201e	Wzmocniony Skórzany Pancerz
zts202e	Pancerz podbity podwójn¹ warstw¹ garbowanej skóry.[n]Zbroja ta jest lekka jak pióro i posiada wysok¹ si³ê obrony.[n][n]
zts203e	£uskowy Pancerz
zts204e	Wykonano z metalowych ³usek.[n][n]
zts205e	Zbroja Moralnoœci
zts206e	Pancerz ten wzmacnia twoje morale.[n][n]
zts207e	Pancerz P³ytowy
zts208e	Pancerz ze stalowymi p³ytami.[n][n]
zts209e	Z³oty Nitowany Pancerz
zts210e	Pancerz przepiêknie zdobiony z³otymi nitami.[n]Wprawdzie jest ciê¿ki, jednak znacznie zwiêksza obronê magiczn¹.[n][n]
zts211e	Ulepszony Pancerz P³ytowy
zts212e	Zawiera gêstsze p³yty stali ni¿ 'pancerz p³ytowy'.
zts213e	Zbroja Odwagi
zts214e	Zwiêksza si³ê ataku osoby, która to nosi.[n][n]
zts215e	Tunika Pocz¹tkuj¹cego £ucznika
zts216e	Podstawowe wyposa¿enie ³ucznika.[n][n]
zts217e	Tunika z Owczej Skóry
zts218e	Tunika z owczej skóry.[n][n]
zts219e	Welurowa Tunika
zts220e	Wygodny miêkki sztuczny zamsz.[n]Zwiêksza prawdopodobieñstwo ciosu krytycznego dla wszystkich rodzajów broni.[n][n]
zts221e	Skórzana Kozia Tunika
zts222e	Zrobiona z koziej skóry.[n][n]
zts223e	Tunika Uniku
zts224e	Zbroja tak lekka i wygodna, ¿e cz³owiek kompletnie nie czuje jej ciê¿aru.[n]Dziêki temu mo¿na swobodnie siê poruszaæ i skuteczniej atakowaæ podczas walki wrêcz.[n][n]
zts225e	Tunika z Cielêcej Skóry
zts226e	Zrobiona z cielêcej skóry.[n][n]
zts227e	Zamszowa Tunika
zts228e	Wygodna, ciep³a tunika z miêkkiego zamszu.[n]Przywraca P¯ i PM.[n][n]
zts229e	Tunika z Krowiej skóry
zts230e	Tunika z cielêcej skóry.[n][n]
zts231e	Tunika Sokolego Oka
zts232e	Wyostrzony wzrok zwiêksza si³ê ataku[n][n]
zts233e	Tunika Pekari
zts234e	Zrobiona ze œwiñskiej skóry.[n][n]
zts235e	Tunika Nubuk
zts236e	Miêkko wyprawiona skóra wo³owa.[n]Chroni ciê podczas walki wrêcz[n][n]
zts237e	Tunika Toskana
zts238e	Podbity miêkkim futerkiem[n][n]
zts239e	Tunika Ducha
zts240e	Tunika ta ochraniana jest przez duchy i posiada du¿o si³y obrony.[n][n]
zts241e	Szata Pocz¹tkuj¹cego Maga
zts242e	Podstawowe wyposa¿enie maga.[n][n]
zts243e	Bawe³niana Szata
zts244e	Szata wykonana z bawe³ny.[n][n]
zts245e	Magiczna Bawe³niana Szata
zts246e	Otacza ciê magiczn¹ moc¹.[n]Regeneruje P¯ [n][n]
zts247e	Lniana Szata
zts248e	Cienka tkana szata z plecionych w³ókien.[n]Blokuje ataki d³ugodystansowe.[n][n]
zts249e	Szata Regeneracji
zts250e	Wyostrza zmys³y.[n]Przywraca PM i blokuje ataki krótkodystansowe.[n][n]
zts251e	Tweedowa Szata
zts252e	Szata szyta solidn¹ nici¹,[n]nadaj¹ca siê do ataków krótkodystansowych i chroni¹ca przed ogniem.[n][n]
zts253e	Ulepszona Lniana Szata
zts254e	P³ócienna szata z bawe³ny i lnu zwiêkszaj¹ca odpornoœæ[n]i niweluj¹ca otrzymane ciosy od ataku krótkodystansowego.[n][n]
zts255e	Szata Musselin
zts256e	Lekka, ciep³a i elastyczna szata.[n][n]
zts257e	Szata ¯ywio³ów
zts258e	Podwy¿sza odpornoœæ na wszystkie ¿ywio³y.[n][n]
zts259e	Jedwabna Szata
zts260e	Luksusowa szata wykonana z jedwabiu.[n][n]
zts261e	Szata w Kratkê
zts262e	Niespotykane wzory, które wzmacniaj¹ magiczne efekty.[n][n]
zts263e	Szata Ozdobiona Rybimi Oœæmi
zts264e	Elegancki wzór sprawia, ¿e wygl¹dasz na uczonego.[n][n]
zts265e	Szata Ciemnoœci
zts266e	Skazuje na zag³adê tych, którzy oœmiel¹ siê zaatakowaæ ciê.[n][n]
zts267e	Szata Starych Poszukiwaczy Przygód
zts268e	Popularny wœród starych poszukiwaczy przygód.[n][n]
zts269e	Maska Kovolta
zts270e	Gladius
zts271e	Krótki miecz dla gladiatorów.[n]Zwiêksza morale i prawdopodobieñstwo zadania obra¿eñ krytycznych.[n][n]
zts272e	Miecz Waloñski
zts273e	Niepozorny miecz ze stali.[n][n]
zts274e	Szabla Wikinga
zts275e	Przepe³niona mroczn¹ energi¹ szabla dla nieustraszonych wojowników.[n][n]
zts276e	Kordelas
zts277e	Zwiêksza morale tych, którzy u¿ywaj¹ tego miecza.[n][n]
zts278e	Koci £omot
zts279e	Zwiêksza szansê na zadanie ciosu krytycznego i obra¿enia.[n][n]
zts280e	Miecz Rycerski
zts281e	Ostrze dla odwa¿nych rycerzy, zawieraj¹ce energiê potê¿nego œwiat³a.[n][n]
zts282e	Zabójca
zts283e	Mroczna moc zadaje przeciwnikowi obra¿enia krytyczne.[n][n]
zts284e	£uk ¯ycia
zts285e	Cienki ³uk, który mo¿e zadawaæ obra¿enia krytyczne.[n][n]
zts286e	P³omienny £uk
zts287e	£uk z ¿ywio³em ognia.[n][n]
zts288e	Syntetyczny £uk
zts289e	Stabilny ³uk, który potrafi zadaæ œmiertelne obra¿enia[n][n]
zts290e	Mistrzowski £uk
zts291e	Poprzez atak przy u¿yciu ¿ywio³ów œwiat³a ³uk ten zadaje dodatkowe obra¿enia.[n][n]
zts292e	Dziki £uk
zts293e	Nape³niony mroczn¹ energi¹ i czyni nieustraszonym.[n][n]
zts294e	Du¿y £uk
zts295e	Dziêki potêdze ¿ywio³u wody ³uk ten zadaje przeciwnikowi rozleg³e obra¿enia.[n]
zts296e	£uk Oblê¿niczy
zts297e	Zwiêkszone obra¿enia krytyczne dziêki dodanemu ¿ywio³owi ognia.[n][n]
zts298e	Ró¿d¿ka ¯ycia
zts299e	Nape³nia swojego u¿ytkownika energi¹ ¿ycia.[n][n]
zts300e	P³omienna Ró¿d¿ka
zts301e	Zwiêksza ¿ywio³ ognia, jednoczeœnie zmniejszaj¹c ¿ywio³ wody.[n][n]
zts302e	Lodowa Ró¿d¿ka
zts303e	Skoncentrowana energia wody zmienia tê ró¿d¿kê w potê¿n¹ broñ.[n][n]
zts304e	Ró¿d¿ka Loona
zts305e	Na ró¿d¿kê zosta³ na³o¿ony czar zwiêkszaj¹cy obra¿enia.[n][n]
zts306e	Czarodziejska Ró¿d¿ka
zts307e	Ta ró¿d¿ka czerpie sw¹ moc z dwóch ró¿nych Ÿróde³ energii, przy czym zu¿ycie PM zostanie znacznie zmniejszone.[n][n]
zts308e	Œwiêta Ró¿d¿ka
zts309e	Œwiête moce zwiêkszaj¹ odpornoœæ na z³e moce i nadaj¹ szczególnych mocy magom, którzy wybrali dobr¹ magiê.[n][n]
zts310e	Ró¿d¿ka Duszy
zts311e	Moc dusz chroni u¿ytkownika tej broni.[n][n]
zts312e	Kusza Bojowa
zts313e	Œmiertelnie niebezpieczna kusza stworzona do walki.[n][n]
zts314e	Kusza Oblê¿nicza
zts315e	Broñ ta wystrzeliwuje strza³y wyposa¿one w ¿ywio³ ognia.[n][n]
zts316e	Sztylet Górala
zts317e	Niebezpieczny sztylet, daj¹cy ci du¿¹ szansê na zadanie ciosu krytycznego.[n][n]
zts318e	Sztylet Poignard
zts319e	Sztylet wype³niony mroczn¹ energi¹.[n][n]
zts320e	Zwyk³y Miotacz Zaklêæ
zts321e	Jest to miotacz zaklêæ posiadaj¹cy wyj¹tkowo potê¿n¹ si³ê ataku.[n][n]
zts322e	Miotacz Zaklêæ z Br¹zu
zts323e	Miotacz zaklêæ, który zawiera ¿ywio³ wody.[n][n]
zts324e	Pancerz Bezpieczeñstwa
zts325e	Wyj¹tkowo solidny pancerz.[n][n]
zts326e	Twardy Pancerz P³ytowy
zts327e	Zbroja ta posiada du¿¹ si³ê obrony i chroni jej posiadacza przed ogniem.[n][n]
zts328e	Zbroja Zwyciêzcy
zts329e	Zabezpiecza przed atakami d³ugodystansowymi.[n][n]
zts330e	Zbroja Obroñcy
zts331e	Zmniejsza obra¿enia od ataków w walce wrêcz.[n][n]
zts332e	Zbroja Rycerska
zts333e	Zbroja rycerska. Umo¿liwia ucieczkê i blokowanie.[n][n]
zts334e	Kamienna Zbroja
zts335e	Wyj¹tkowy pancerz, który zarówno absorbuje jak i blokuje obra¿enia.[n][n]
zts336e	B³yskawiczna Tunika
zts337e	Zwiêksza obronê przed d³ugodystansowymi i magicznymi atakami.[n][n]
zts338e	Tunika Natury
zts339e	Wype³niona energi¹ natury[n]tunika ta zwiêksza P¯ i PM.[n][n]
zts340e	Skórzana tunika rekina
zts341e	Blokuje magiczne ataki i ataki krótkodystansowe.[n][n]
zts342e	Tunika Oddechu
zts343e	Przesi¹kniêta oddechem œmierci.[n][n]
zts344e	Tunika Wiatru
zts345e	Blokuje wszystkie rodzaje ataków.[n][n]
zts346e	Tunika Driad
zts347e	Zawiera wszystkie rodzaje si³y ¿ywio³ów i odpornoœci.[n]Zmniejsza zu¿ycie many.[n][n]
zts348e	Szata Nowicjusza
zts349e	Zwiêksza obronê przed atakami krótko- i d³ugodystansowymi.[n][n]
zts350e	Miêkka Szata
zts351e	Blokuje ataki d³ugodystansowe.[n][n]
zts352e	Szata Œwiat³oœci
zts353e	Dobra w obronie przed atakami krótkodystansowymi i chroni¹ca przed ogniem.[n][n]
zts354e	Wzorzysta Szata
zts355e	Daje odpornoœæ na œwiat³o i wodê.[n][n]
zts356e	Czarodziejska Szata
zts357e	Zmniejsza zu¿ycie many.[n][n]
zts358e	Szata ród³a
zts359e	Z pewnym prawdopodobieñstwem jest w stanie zablokowaæ wszystkie ataki.[n][n]
zts360e	Amulet Poziomu Ataku
zts361e	Amulet Poziomu Obrony
zts362e	Amulet Poziomu Ataku i Obrony
zts363e	Amulet Si³y Ataku
zts364e	Amulet Si³y Obrony
zts365e	Amulet Uleczenia
zts366e	Amulet Odpornoœci na Ogieñ
zts367e	Amulet Odpornoœci na Œwiat³o
zts368e	Amulet Odpornoœci na Wodê
zts369e	Amulet Odpornoœci na Mrok
zts370e	Amulet Odpornoœci
zts371e	Amulet Ciosu Krytycznego
zts372e	Amulet Obra¿eñ Krytycznych
zts373e	Amulet Fizycznej Absorpcji
zts374e	Amulet Magicznej Absorpcji
zts375e	Amulet absorpcji ataków d³ugodystansowych
zts376e	Amulet Absorpcji Wszystkich Ataków
zts377e	Amulet Blokowania Ataków Fizycznych
zts378e	Amulet Blokowania Ataków Magicznych
zts379e	Amulet Blokowania Ataków D³ugodystansowych
zts380e	Opaska
zts381e	Ochrania g³owê przed silnymi atakami.[n][n]
zts382e	Miêkki Kapelusz
zts383e	Miêkki kapelusz.[n][n]
zts384e	Liœæ do Kamufla¿u
zts385e	Nie wygl¹da na zbyt u¿yteczny.[n][n]
zts386e	Nauszniki Mandry
zts387e	Dobrze przylegaj¹ do uszu.[n]Chroni przed krzykiem Mandry z okreœlonym prawdopodobieñstwem.[n][n]
zts388e	Kapelusz Hipopotama
zts389e	Bardzo miêkki kapelusz w kszta³cie hipopotama.[n]Z du¿ym prawdopodobieñstwem chroni przed zamroczeniem.[n][n]
zts390e	Modne Okulary
zts391e	Maska Kovolta
zts392e	Maska twarzy kovolta.[n] Nawet jeœli zaatakujesz górnika kovolt, inni górnicy nie bêd¹ ciebie atakowaæ.[n]
zts393e	Kapelusz-Poro¿e
zts394e	Zwiêksza P¯.[n]Z pewnym prawdopodobieñstwem chroni przed krzykiem Mandry.[n][n]
zts395e	Kapelusz w Kszta³cie Przepychacza
zts396e	Opaska na W³osy
zts397e	Z du¿ym prawdopodobieñstwem chroni przed krwawieniem.[n][n]
zts398e	Czu³ki
zts399e	Opaska Wyroczni
zts400e	Kapelusz Zabawnej Ryby
zts401e	Kapelusz w Kszta³cie Czubka
zts402e	Róg Wodnego Bawo³a
zts403e	Kanciaste Okulary
zts404e	Mrugaj¹ca Maska
zts405e	Maska Nietoperza
zts406e	Monokl
zts407e	Maska X
zts408e	Broda i Makija¿
zts409e	Amulet Blokowania Wszystkich Ataków
zts410e	Amulet ¯ywio³u Ognia
zts411e	Amulet ¯ywio³u Wody
zts412e	Amulet ¯ywio³u Œwiat³a
zts413e	Amulet ¯ywio³u Mroku
zts414e	Amulet Zwiêkszaj¹cy Mroczn¹ Energiê
zts415e	Skoczne Pisklê
zts417e	Tañcz¹ce Pisklê
zts418e	Rozgniewane Pisklê
zts419e	Amulet bezpiecznych zak³adów (broñ)
zts420e	Jeœli obstawianie nie powiedzie siê, a ty bêdziesz mia³ przy sobie amulet,[n]zamiast broni utracisz jedynie amulet.[n] (Mo¿na u¿yæ do 3 razy)[n][n]
zts421e	Amulet Bezpiecznych Zak³adów (Wyposa¿enie)
zts422e	Jeœli obstawianie nie powiedzie siê, a ty bêdziesz mia³ przy sobie amulet,[n]zamiast wyposa¿enia utracisz jedynie amulet.[n] (Mo¿na u¿yæ do 3 razy)[n][n]
zts423e	Amulet Awansu na Rzadki Poziom
zts424e	Gdy masz to przy sobie, poziom unikalnoœci podczas zak³adu zostanie zwiêkszony o 1.[n](Zawsze koñczy siê powodzeniem)[n][n]
zts425e	Amulet wzmocnienia broni o utrwalonym poziomie
zts426e	Dziêki temu przedmiotowi mo¿esz wzmocniæ broñ z utrwalonym poziomem[n]z pospolitym prawdopodobieñstwem.[n] Istnieje mo¿liwoœæ ponownego zdobycia utrwalonego poziomu.[n]Gdy wzmocnienie siê uda, poziom zostanie uwolniony.[n]Uwaga:[n]Jeœli ci siê nie powiedzie, przedmiot mo¿e znikn¹æ.[n](mo¿na u¿yæ w sumie maks. 2 razy)[n][n]
zts427e	Amulet Wzmocnienia Zbroi
zts428e	Dziêki temu przedmiotowi mo¿esz wzmocniæ wyposa¿enie z utrwalonym poziomem[n]z pospolitym prawdopodobieñstwem.[n]Istnieje mo¿liwoœæ ponownego zdobycia utrwalonego poziomu.[n]Gdy wzmocnienie siê uda, poziom zostanie uwolniony.[n]Uwaga:[n]Jeœli ci siê nie powiedzie, przedmiot mo¿e znikn¹æ.[n](mo¿na u¿yæ w sumie maks. 2 razy)[n][n]
zts429e	Miecz Elvina
zts430e	Miecz ten otoczony jest œwiêt¹ aur¹.[n][n]
zts431e	Chwalebna Szabla
