zts1e	Ausruhen
zts71e	[Mittel] Naturheilung
zts72e	[Fortgeschritten] Naturheilung
zts73e	[Einfach] Waffenkunde
zts74e	[Mittel] Waffenkunde
zts75e	[Fortgeschritten] Waffenkunde
zts76e	[Einfach] Angriffsausbildung
zts77e	[Mittel] Angriffsausbildung
zts78e	[Fortgeschritten] Angriffsausbildung
zts79e	[Einfach] Giftresistenz
zts80e	[Mittel] Giftresistenz
zts81e	[Fortgeschritten] Giftresistenz
zts82e	[Einfach] Krankheitsresistenz
zts83e	[Mittel] Krankheitsresistenz
zts84e	[Fortgeschritten] Krankheitsresistenz
zts85e	[Einfach] Magieresistenz
zts86e	[Mittel] Magieresistenz
zts87e	[Fortgeschritten] Magieresistenz
zts88e	[Einfach] Allgemeine Resistenz
zts89e	[Mittel] Allgemeine Resistenz
zts90e	[Fortgeschritten] Allgemeine Resistenz
zts91e	[Einfach] Verteidigungskräfte
zts92e	[Mittel] Verteidigungskräfte
zts93e	[Fortgeschritten] Verteidigungskräfte
zts94e	[Einfach] Yoga
zts95e	[Mittel] Yoga
zts96e	[Fortgeschritten] Yoga
zts97e	Waffenschlag
zts98e	Grundausbildung für Abenteurer
zts99e	Steinschleuderschuss
zts100e	Grundausbildung für Abenteurer.
zts101e	Harter Schlag
zts102e	Mit einem harten Schlag verursachst du einen größeren Schaden.
zts103e	Schleuderschuss
zts104e	Ein präziser Schuss lässt deine Gegner mehr Schaden erleiden.
zts105e	Drehschlag
zts106e	Alle in der Nähe befindlichen Gegner werden mit einem heftigen Drehschlag angegriffen.
zts107e	Multipler Schlag
zts108e	Greife den Gegner mit mehreren Schlägen an.
zts109e	Schlachtschrei
zts110e	Erhöht den Angriff und die Verteidigung.
zts111e	Moralschrei
zts112e	Der Schrei erhöht die Moral.
zts113e	Energieschlag
zts114e	Die Energie wird komplett aufgefüllt, damit der darauffolgende Angriff stärker ist.
zts115e	Einfangen
zts116e	Energiebolzen
zts117e	Grundausbildung für Abenteurer.
zts118e	Ultra-Supermogelskill
zts119e	Dies ist der Supermogelskill.
zts120e	Administratoren-Mogelskill
zts121e	Schwerthieb
zts122e	Grundausbildung für Schwertkämpfer
zts123e	Armbrustattacke
zts124e	Grundausbildung für Armbrustschützen
zts125e	Wutschlag
zts126e	Erziele einen bedeutenden Treffer und verfalle mit einer Wahrscheinlichkeit von 2% in Zorn.
zts127e	Racheschlag
zts128e	Greift den Schwachpunkt des Gegners an.
zts129e	Schwertstoß
zts130e	Der Schwertstoß verursacht bei den Gegnern, die um dich herumstehen, Schaden.
zts131e	Basis-Skill: Licht
zts132e	Sternenangriff
zts133e	Mit einem gewaltigen Schlag mit dem Griff des Schwertes, verursachst du bei deinem Gegner einen Blackout.
zts134e	Erdwelle
zts135e	Ein heftiger Schlag auf den Boden verursacht eine Schockwelle, die allen Gegnern in der Umgebung Schaden zufügt.
zts136e	Basis-Skill: Feuer
zts137e	Windstoß
zts138e	Ein schneller Windstoß lässt alle Gegner vor dir Schaden erleiden.
zts139e	Doppelangriff
zts140e	Schwinge das Schwert, um den Gegner zweimal zu treffen.
zts141e	Dynamischer Schuss
zts142e	Ermöglicht eine schnellere Schussabfolge mit der Armbrust.
zts143e	Verspottender Schuss
zts144e	Die Aufmerksamkeit des Gegners wird auf dich gelenkt.
zts145e	Energieladung
zts146e	Sammelt die Energie, damit der darauffolgende Angriff stärker ist.
zts147e	Blutfluch
zts148e	Für eine erhöhte Angriffskraft verringert sich die Menge deiner HP für eine bestimmte Zeit.
zts149e	Einschüchtern
zts150e	Senkt die Moral des Gegners für eine bestimmte Zeit.
zts151e	Funktioniert nur bei Gegnern, deren Level niedriger, oder maximal 3 Level höher ist, als dein eigenes.
zts152e	Sturmangriff
zts153e	Stürme auf den Gegner zu und greife ihn schnell an.
zts154e	Blutung stillen
zts155e	Heilt Blutungen bis Level 3
zts156e	Es wird ein Verband benötigt.
zts157e	Neuer Skill
zts158e	Bogenschießen
zts159e	Grundausbildung für Bogenschützen
zts160e	Dolchstoß
zts161e	Grundausbildung für Bogenschützen
zts162e	Zielschuss
zts163e	Verursacht zusätzlich Schaden bei Fernangriffen und erhöht die Hitrate.
zts164e	Starker Schuss
zts165e	Der Gegner erleidet erhöhten Schaden durch einen starken Fernangriff.
zts166e	Durchdringender Schuss
zts167e	Durchbohrt die Gegner und verursacht dabei kritischen Schaden.
zts168e	Zielerfassung
zts169e	Durch einen gezielten Angriff auf die Beine des Gegners wird dieser verlangsamt.
zts170e	Sprungschuss
zts171e	Ein Angriff aus dem Sprung heraus, der dem Gegner Schaden zufügt, ohne eine Strafe zu erhalten.
zts172e	Schnellschuss
zts173e	Der Gegner wird mit drei aufeinanderfolgenden rasanten Schüssen angegriffen.
zts174e	Pfeilregen
zts175e	Lässt einen Pfeilregen auf den Gegner niederprasseln.
zts176e	Tödlicher Stich
zts177e	Führe einen zusätzlichen Angriff mit dem Dolch aus.
zts178e	Giftiger Dolch
zts179e	Ein mit lähmendem Gift versehener Dolch, der die Nahangriffskraft des Gegners schwächt.
zts180e	Zur Verwendung werden Giftpflanzen benötigt.
zts181e	Sturmhieb
zts182e	Ein Dolchhieb, der die Bewegung des Gegners unterbricht.
zts183e	Tödliches Geschoss
zts184e	Sammelt Energie für den nächsten Fernangriff.
zts185e	Tempo
zts186e	Erhöht deine Bewegungsgeschwindigkeit für eine bestimmte Zeit.
zts187e	Ritual des Falken
zts188e	Angriffskraft und Hitrate des eigenen Charakters und von Begleitern werden erhöht.
zts189e	Entgiftungsritual
zts190e	Um Begleiter oder Freunde zu entgiften, werden Heilpflanzen benötigt.
zts191e	Giftige Pfeilspitze
zts192e	Für eine bestimmte Zeit werden die Pfeilspitzen mit Gift versehen.
zts193e	Energiebolzen
zts194e	Grundausbildung für Magier
zts195e	Magischer Schuss
zts196e	Grundausbildung für Magier
zts197e	Feuerbolzen
zts198e	Ein magischer Angriff, der deinen Gegner mit Feuerbolzen verletzt.
zts199e	Eisbolzen
zts200e	Ein magischer Angriff, der den Gegner mit Eisbolzen verletzt.
zts201e	Magische Rakete
zts202e	Verschießt magische Raketen, die den Gegner verletzen.
zts203e	Steinwurf
zts204e	Ein gewaltiger Stein fällt auf den Gegner herab und verursacht bei ihm einen Blackout.
zts205e	Feuersäule
zts206e	Erzeuge eine Feuersäule, die den Gegnern Schaden zufügt.
zts207e	Tornado
zts208e	In der Nähe befindliche Gegner werden von einem mächtigen Tornado erfasst.
zts209e	Zaubergeschoss
zts210e	Die Durchschlagskraft der Zauberwaffe ist mit dem Zaubergeschoss noch höher.
zts211e	Explosives Geschoss
zts212e	Der Gegner erleidet durch das explosive Geschoss großen Schaden.
zts213e	Magieerholung
zts214e	Sammelt die magische Energie für spätere Angriffe, um höheren Schaden zu verursachen.
zts215e	Frostschild
zts216e	Erzeugt ein Schild, dass den Schaden durch Fernangriffe verringert.
zts217e	Erholungsaura
zts218e	Heilt die HP des Gruppenmitglieds für eine bestimmte Zeit.
zts219e	Schützendes Licht
zts220e	Erzeugt einen Schutz vor Angriffen für alle Gruppenmitglieder.
zts221e	Schlaf
zts222e	Der Gegner schläft ein und kann sich nicht bewegen oder angreifen. Der Gegner erwacht jedoch, wenn er angegriffen wird.
zts223e	HP-Entzug
zts224e	Entzieht dem Gegner HP und wandelt sie in eigene MP um.
zts225e	Erblindung
zts226e	Lässt den Gegner für einige Sekunden erblinden. Fernangriffe sind in dieser Zeit nicht möglich.
zts227e	Teleport
zts228e	Teleportiert dich, innerhalb eines gewissen Umkreises, woanders hin.
zts229e	Hinterhältiger Schlag
zts230e	Ein Angriff, der mit dem Feuerelement verstärkt ist und einen Blackout verursacht.
zts231e	Verstärkter Schlag
zts232e	Erhöht die Angriffskraft und die Hitrate des Waffenschlages.
zts233e	Verstärkter Steinschleuderschuss
zts234e	Erhöht die Angriffskraft und die Reichweite.
zts235e	Erhöhte Angriffskraft
zts236e	Erhöht die Fernangriffskraft des Schleuderschusses.
zts237e	Ein gewaltiger Drehschlag verursacht beim Gegner zusätzlichen Schaden.
zts238e	Zusätzliche Blutung
zts239e	Fügt ein Feuerelement hinzu und der multiple Schlag verursacht kleinere Blutungen.
zts240e	Starker Energiebolzen
zts241e	Erhöht die Magieangriffskraft und fügt dem Energiebolzen das Wasserelement hinzu.
zts242e	Verstärkter Schwerthieb
zts243e	Erhöht die Nahangriffskraft des Schwerthiebes.
zts244e	Meisterhafter Schwerthieb
zts245e	Spezialhieb für hochlevelige Pflanzen
zts246e	Erhöht die Nahangriffskraft gegen hochlevelige Pflanzen.
zts247e	Verstärkte Armbrustattacke
zts248e	Erhöht die Fernangriffskraft der Armbrustattacke.
zts249e	Dämonenschuss
zts250e	Heftiger Schaden
zts251e	Durch die Benutzung des Feuerelements wird der Schaden mit einer bestimmten Wahrscheinlichkeit verdoppelt.
zts252e	Bei einem kritischen Treffer wird großer Schaden verursacht.
zts253e	Füge dem Wutschlag das Feuerelement hinzu.
zts254e	Verstärkter Wutschlag
zts255e	Erhöht die Nahangriffskraft und die Hitrate von Wutschlag.
zts256e	Meisterhafter Wutschlag
zts257e	Erhöht die Nahangriffskraft.
zts258e	Exakter Zielschuss
zts259e	Erhöht die Chance auf kritische Treffer von Racheschlag.
zts260e	Kovoltattacke
zts261e	Die Attacke nutzt die Schwächen der Kovolts aus und verursacht bei ihnen dadurch kritischen Schaden.
zts262e	Füge dem Racheschlag das Wasserelement hinzu.
zts263e	Verstärkter Schwertstoß
zts264e	Erhöht die Nahangriffskraft des Schwertstoßes.
zts265e	Erweiterung der Reichweite
zts266e	Erhöht die Reichweite des Schwertes.
zts267e	Perfekter Treffer
zts268e	Lande einen perfekten Treffer und verursache damit beim Gegner einen Blackout.
zts269e	Starke Erdwelle
zts270e	Erhöht die Angriffskraft der Erdwelle.
zts271e	Brutale Erdwelle
zts272e	Rasanter Windstoß
zts273e	Erhöht die Angriffskraft des Windstoßes und verursacht beim Gegner einen Blackout.
zts274e	Füge dem Windstoß das Wasserelement hinzu.
zts275e	Entkräftigung des Gegners
zts276e	Der Doppelangriff verringert das Angriffslevel deines Gegners für eine gewisse Zeit.
zts277e	Verstärkter Doppelangriff
zts278e	Verstärkt die Intensität des Angriffs.
zts279e	Stürmischer Schuss
zts280e	Erhöht die Angriffskraft des dynamischen Schusses.
zts281e	Volltreffer
zts282e	Der dynamische Schuss trifft jedes Mal.
zts283e	Zusätzliche Energieladung
zts284e	Verbessert den Nahangriff für die Energieladung.
zts285e	Mächtiger Blutfluch
zts286e	Während des Blutfluchs ist die Angriffskraft erhöht.
zts287e	Erweiterte Sturmreichweite
zts288e	Erhöht die Reichweite des Angriffs.
zts289e	Schuss mit Sogwirkung
zts290e	Der verspottende Schuss zieht die Aufmerksamkeit des Gegners auf dich.
zts291e	Dynamisches Bogenschießen
zts292e	Erhöht die Fernangriffskraft des Bogenschießens.
zts293e	Meisterhaftes Bogenschießen
zts294e	Spezialschuss für hochlevelige Pflanzen
zts295e	Erhöht die Angriffskraft gegen hochlevelige Pflanzen.
zts296e	Verstärkter Dolchstoß
zts297e	Erhöht die Wucht des Dolchstoßes.
zts298e	Tödlicher Dolchstoß
zts299e	Erhöht die Wahrscheinlichkeit, einen kritischen Treffer mit einem Dolchstoß zu verursachen.
zts300e	Verstärkter Zielschuss
zts301e	Erhöht die Angriffskraft des Zielschusses durch das Hinzufügen des Wasserelements.
zts302e	Füge dem Zielschuss das Wasserelement hinzu.
zts303e	Erhöht die Wahrscheinlichkeit eines kritischen Treffers mit dem Zielschuss.
zts304e	Der Schaden wird mit einer gewissen Wahrscheinlichkeit verdoppelt.
zts305e	Durchbohrender Schuss
zts306e	Der durchdringende Schuss erhöht den Schaden von kritischen Treffern.
zts307e	Synchroner Angriff
zts308e	Mit dem Sprungschuss werden mehrere Gegner gleichzeitig angegriffen.
zts309e	Kovoltschuss
zts310e	Erhöht die Angriffskraft gegen Kovolts.
zts311e	Rasanter Schnellschuss
zts312e	Verbessert die Angriffskraft des Schnellschusses.
zts313e	Verstärkter Pfeilregen
zts314e	Verbessert die Angriffskraft des Pfeilregens.
zts315e	Reichweite
zts316e	Erhöht die Reichweite des Pfeilregens.
zts317e	Der tödliche Stich verursacht eine Blutung beim Gegner.
zts318e	Effizienter tödlicher Stich
zts319e	Verbessert die Angriffskraft des tödlichen Stiches.
zts320e	Hohe Wahrscheinlichkeit
zts321e	Erhöht bei einem Sturmhieb die Wahrscheinlichkeit, dass die Bewegung unterbrochen wird.
zts322e	Erhöht die Angriffskraft des tödlichen Geschosses.
zts323e	Erhöht die Bewegungsgeschwindigkeit.
zts324e	Temposteigerung
zts325e	Verschärftes Falkenauge
zts326e	Während des Rituals des Falken wird die Angriffskraft erhöht.
zts327e	Kenntnisse der Heilkunde
zts328e	Eine Heilung für starke Vergiftungen.
zts329e	Benommenheitsgift
zts330e	Versieht einen einfachen Dolch mit einem Benommenheitsgift.
zts331e	Todesgift
zts332e	Versieht einen einfachen Dolch mit einem Todesgift.
zts333e	Stoßen
zts334e	Stoße deinen Feind zurück.
zts335e	Kraftvoller Energiebolzen
zts336e	Erhöht die Magieangriffskraft des Energiebolzens.
zts337e	Erhöht die Reichweite des Energiebolzens.
zts338e	Verstärkte Zauberwaffe
zts339e	Verbessert die Angriffskraft der Zauberwaffe.
zts340e	Spezialzauber für hochlevelige Pflanzen
zts341e	Flammenexplosion
zts342e	Das Abschießen eines Feuerbolzens verursacht eine Flammenexplosion.
zts343e	Mächtiger Feuerbolzen
zts344e	Verbessert den Angriff des Feuerbolzens.
zts345e	Frost
zts346e	Die Benutzung des Eisbolzens friert den Gegner ein.
zts347e	Eisblitz
zts348e	Erhöht die Angriffskraft des Eisbolzens.
zts349e	Übersinnliche Rakete
zts350e	Erhöht die Angriffskraft der magischen Rakete.
zts351e	Erweiterte Reichweite
zts352e	Erhöht die Reichweite der magischen Rakete.
zts353e	Enorme Feuersäule
zts354e	Erhöht die Angriffskraft der Feuersäule.
zts355e	Gewaltiger Tornado
zts356e	Erhöht die Angriffskraft des Tornados.
zts357e	Verbesserte Erneuerung
zts358e	Verbessert die HP-Erholung.
zts359e	Starker HP-Entzug
zts360e	Verstärkt die Wirkung des HP-Entzugs.
zts361e	Taumeln
zts362e	Meteor
zts363e	Rundumangriff
zts364e	Rundumangriff 2
zts365e	Klebriger Block
zts366e	Blackout-Aura
zts367e	Starker klebriger Block
zts368e	Minenarbeiter herbeirufen
zts369e	Minenarbeiter herbeirufen 2
zts370e	Minenarbeiter herbeirufen 3
zts371e	Starker Rundumschlag (Kenko)
zts372e	Hochschleudern
zts373e	Beißen
zts374e	Eissturm
zts375e	Korrkoarens Drehstoß
zts376e	Kenels Spurt
zts377e	Kenkos Rundumangriff
zts378e	Rundumangriff der Schildkröte
zts379e	Fluch der Dunkelhexe
zts380e	Befehlsangriff der Bluthexe
zts381e	Angriffsbefehl der Dame
zts382e	Hand der toten Dame
zts383e	Kenels Angriff
zts384e	Wolfslöwen-Angriff
zts385e	Angriff für niedrig-levelige Monster
zts386e	Verschmutztes Boing
zts387e	Anziehender Spinnenkönig
zts388e	Rundumangriff des Spinnenkönigs
zts389e	Kukukeens Rundumangriff
zts390e	Kukukeens Niesen
zts391e	Nachtschatten-Feuerball
zts392e	Catlottes 1. Talent
zts393e	Catrishas 1. Talent
zts394e	Catrishas 2. Talent
zts395e	Harter Schlag eines NPCs
zts396e	Catlottes 2. Talent
zts397e	Genesung des Ginsengs
zts398e	Rundumangriff des Ginsengs
zts399e	Castras Blitz
zts400e	Castras Rauch
zts401e	Slades Gebrüll
zts402e	Steinwerfen des Slades
zts403e	Magischer Basisangriff
zts404e	Basisangriff der schwarzen Riesenspinne
zts405e	Netz der schwarzen Riesenspinne
zts406e	Basisangriff des Slades
zts407e	Teleport von Castra
zts408e	Mandra-Spurt
zts409e	Eisenhammerangriff
zts410e	Lawinenangriff
zts411e	Spinnenangriff
zts412e	Angriff des schwarzen Meteoriten
zts413e	Schnellschuss des Totenkopfbogenschützen
zts414e	Starker Schuss des Totenkopfbogenschützen
zts415e	Totenkopf-Angriff
zts416e	Todesstaubfeuersturm
zts417e	Gas der buckligen Zombiewache
zts418e	Questträger
zts419e	Kissenschlacht
zts420e	Tot stellen
zts421e	Schlafen
zts422e	Langweilen
zts423e	Hinlegen
zts424e	Frühsport
zts425e	Teezeit
zts426e	Tamburin spielen
zts427e	An dich anlehnen
zts428e	Vergib mir.
zts429e	Bücher lesen
zts430e	Zweihänderangriff
zts431e	Das ist der Basisangriff des Kriegers.
zts432e	Dreifachschlag
zts433e	Der Angriff führt zu dreifachem Schaden beim Gegner.
zts434e	Stahlhaut
zts435e	Verbessert kurzzeitig deine Verteidigungskraft.
zts436e	Wirbelwind
zts437e	Mit der Macht deines Schwertes lässt du einen heftigen Wirbelwind entstehen.
zts438e	Provokation
zts439e	Lässt Feinde in einem bestimmten Umkreis auf dich aufmerksam werden.
zts440e	Ultimativer Schlag
zts441e	Mehrere Gegner in einer Reihe werden von deinem Schwert durchbohrt.
zts442e	Einschüchterung
zts443e	Schüchtert deine Feinde mit einem angsteinflößendem Schrei ein.
zts444e	Je größer der Levelunterschied zu deinen Gegnern ist, desto schwächer ist die Wirkung.
zts445e	Schulterschlag
zts446e	Stürze dich mit dem Panzer deiner Schulter voran auf deinen hilflosen Gegner, um ihn mit einem gezielten Schlag zu verletzen.
zts447e	Jähzorn
zts448e	Stoße einen beängstigenden Schrei aus, um deinen Kampfgeist sowie den deiner Gruppe zu erhöhen.
zts449e	Erdschock
zts450e	Richte die Energie deines Schwertes in den Boden, um die Erde beben und deine Gegner schweren Schaden erleiden zu lassen.
zts451e	Fliegender Drache
zts452e	Nutze den Drehschlag deines Schwertes, um kritischen Schaden zu verursachen.
zts453e	Dadurch erlangst du mächtige und zerstörerische Kräfte.
zts454e	Schwertstoß
zts455e	Das ist der Basisangriff des Ninjas.
zts456e	Kreuzhieb
zts457e	Du schwingst dein Schwert kreuz und quer, sodass dein Gegner schwer verwundet wird.
zts458e	Energieklinge
zts459e	Mit dem Hieb deines Schwertes kannst du die Erde zerteilen, sodass auch weit entfernte Gegner vernichtet werden.
zts460e	Kettenangriff
zts461e	Mehrfachangriff, der den Gegner verwirrt und ihn somit außer Gefecht setzt.
zts462e	Klingenschutz
zts463e	Wandelt die Angriffskraft des Gegners in deine eigene Stärke um.
zts464e	Schwertsturm
zts465e	Greife deine Gegner blitzartig mit dem Schwert an.
zts466e	Angriff in Lichtgeschwindigkeit
zts467e	Führt eine Attacke in rasendem Tempo aus.
zts468e	Durchatmen
zts469e	In tiefer Meditation erholst du dich geistig und körperlich, um wieder Kraft zu gewinnen.
zts470e	Todesstoß
zts471e	Sammelt alle Energien, um den Todesstoß an einer gezielten Stelle auszuführen.
zts472e	Scharfe Schneide
zts473e	Es schärft deine Klinge.
zts474e	Tanzendes Schwert
zts475e	Schwinge dein Schwert, um deine Gegner zu treffen.
zts476e	Falkenauge
zts477e	Präzise wie ein Falke führst du einen Angriff mit erhöhter Hitrate aus.
zts478e	Kopfschuss
zts479e	Ein gezielter Schuss auf den Kopf verursacht kritischen Schaden.
zts480e	Windläufer
zts481e	Erhöht die Bewegungsgeschwindigkeit für eine gewisse Zeit.
zts482e	Blitzknall
zts483e	Dein Gegner wird durch den Einschlag eines hellen Blitzes geblendet und kann dadurch keinen Gegenangriff starten.
zts484e	Dreifacher Pfeil
zts485e	Verwende diesen Skill, um gleich mehrere Gegner mit nur einem Schuss zu verletzen.
zts486e	Reichweitensteigerung
zts487e	Erhöht die Reichweite deiner Fernangriffe.
zts488e	Spiralenblitz
zts489e	Verursache bei jedem Gegner, der mit diesem Blitz in Berührung kommt, großen Schaden.
zts490e	Blitzexplosion
zts491e	Blitzpfeile schlagen zufällig in deiner direkten Umgebung ein.
zts492e	Schnelle Erholung
zts493e	Verringert die Abklingzeit der Fähigkeit für eine bestimmte Zeit.
zts494e	Gewitter
zts495e	Wie ein Gewitter prasseln deine Pfeile auf den Gegner nieder.
zts496e	Dolchangriff
zts497e	Das ist der Basisangriff des Schurken.
zts498e	Kritischer Treffer
zts499e	Erhöht die Wahrscheinlichkeit, einen kritischen Treffer zu verursachen.
zts500e	Bluthieb
zts501e	Startet einen bösartigen und derben Angriff auf deinen Gegner.
zts502e	Dichter Nebel
zts503e	Erzeuge einen dichten Nebel, um die Hitrate deiner Gegner zu senken.
zts504e	Kettenhakenwurf
zts505e	Wirft einen Kettenhaken, um den Gegner vor dich zu ziehen.
zts506e	Verteidigungssprung
zts507e	Wenn du einen Angriff erfolgreich ausweichst, wird ein Teil deiner Energie aufgeladen.
zts508e	Tomahawk
zts509e	Beschieße deine Gegner mit Wurfäxten.
zts510e	Schatten
zts511e	Ein Schatten verdeckt dich vor deinen Feinden. Durch einen Angriff auf dich oder von dir ausgehend wird er verschwinden.
zts512e	Drehhieb
zts513e	Führt einen schnellen, drehenden Hieb mit einem Dolch aus.
zts514e	Tödlicher Hieb
zts515e	Führe einen plötzlichen Angriff aus, um kritischen Schaden zu verursachen.
zts516e	Kann effizient in Verbindung mit dem Schattenelement genutzt werden.
zts517e	Bombe
zts518e	Springt zurück und lässt eine Bombe vor den Füßen des Gegners explodieren.
zts519e	Stolpern
zts520e	Das ist der Basisangriff des Feuermagiers.
zts521e	Feuersbrunst
zts522e	Verursacht eine kleine Explosion, die dem Gegner Schaden zufügt.
zts523e	Feuerhauch
zts524e	Der Gegner wird durch einen Feuerhauch verbrannt.
zts525e	Mana-Transfusion
zts526e	Ein Teil deiner HP wird in MP umgewandelt.
zts527e	Feuersturm
zts528e	Der Feuersturm verbrennt alle in der Nähe befindlichen Gegner.
zts529e	Feuerlanze
zts530e	Beschwört eine mächtige Feuerlanze, um den Gegner zu vernichten.
zts531e	Feuersegen
zts532e	Verstärkt das Feuerelement und erhöht die Feuerresistenz.
zts533e	Feuerwand
zts534e	Beschwört eine Feuerwand, die dem Gegner Schaden zufügt.
zts535e	Meteoritenschauer
zts536e	Ein mächtiger Meteoritenschauer prasselt auf den Gegner herab.
zts537e	Inferno
zts538e	Eine mächtige Feuersäule erscheint, die die Schwerkraft schwinden lässt.
zts539e	Meteoriteneinschlag
zts540e	Lässt einen großen Meteoriten einschlagen, der den Gegner und alles in der Nähe zerstört.
zts541e	Heiliger Angriff
zts542e	Ein heiliger Lichtball formt sich zum Angriff von Feinden.
zts543e	Ein Spezialzauber, der keine MP verbraucht.
zts544e	Heilung
zts545e	Heilt einen auserwählten Charakter.
zts546e	Heiliges Licht
zts547e	Ein heiliges Licht strahlt vom Himmel und schädigt deine Gegner.
zts548e	Manaschild
zts549e	Du wirst von einem Schild umgeben.
zts550e	Himmelslied
zts551e	Durch das Himmelslied verlieren deine Gegner für eine bestimmte Zeit den Kampfwillen.
zts552e	Universalheilung
zts553e	Entfernt alle schlechten Effekte von dir und deinen Mitspielern.
zts554e	Läuterung der Untoten
zts555e	Fügt Untoten kritischen Schaden zu.
zts556e	Gruppenheilung
zts557e	Stellt die HP deiner Gefährten wieder her.
zts558e	Heilige Waffe
zts559e	Segnet deine Waffe für eine bestimmte Zeit mit dem Lichtelement.
zts560e	Segnung
zts562e	Heiliger Hammer
zts563e	Ein heiliger Hammer saust vom Himmel herab und fügt deinen Gegnern gewaltigen Schaden zu.
zts564e	Liebe (Alt + Q)
zts565e	Grüßen (Alt + W)
zts566e	Grinsen (Alt + E)
zts567e	Lachen (Alt + R)
zts568e	Schüchtern (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Uuups (Alt + U)
zts571e	Ahhh (Alt + I)
zts572e	Schämen (Alt + O)
zts573e	Sieg (Alt + P)
zts574e	Was? (Alt + A)
zts575e	Willst du mich auf den Arm nehmen? (Alt + S)
zts576e	Super! (Alt + D)
zts577e	Ist klar!? (Alt + F)
zts578e	Hast du ein Problem? (Alt + G)
zts579e	Dafür wirst du bezahlen! (Alt + H)
zts580e	Hab dich (Alt + J)
zts581e	STOP! (Alt + K)
zts582e	Tränen (Alt + L)
zts583e	Weinen (Alt + Z)
zts584e	Schluchzen (Alt + X)
zts585e	Entkräftet (Alt + C)
zts586e	Braver Junge (Alt + V)
zts587e	Braves Mädchen (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Spucken (Alt + M)
zts590e	Langes Gesicht (Alt + ,)
zts591e	Jericos Drehkick
zts592e	Verbessern
zts594e	Erhöht die Körperkraft um 30.
zts595e	Erhöht die Geschicklichkeit um 30.
zts596e	[Fortgeschritten] Geistesverstärkung
zts597e	Erhöht die Geisteskraft um 35.
zts598e	[Hervorragend] Geistesverstärkung
zts599e	Erhöht die HP dauerhaft um 400.
zts600e	Erhöht die MP dauerhaft um 400.
zts601e	[Fortgeschritten] Effizienter Angriff
zts602e	Erhöht die Angriffskraft um 20.
zts603e	[Hervorragend] Effizienter Angriff
zts604e	[Fortgeschritten] Selbstverteidigung
zts605e	Erhöht die Verteidigung um 20.
zts606e	[Hervorragend] Selbstverteidigung
zts607e	Erhöht die HP-Erholung um 100.
