zts1e	Riposo
zts275e	Indebolisci il livello d'attacco dell'avversario
zts276e	Riduce per un determinato periodo di tempo, la potenza di attacco nemico nel corso di un doppio attacco
zts277e	Rafforza l'attacco doppio
zts278e	Aumenta la potenza d'attacco nell'Attacco Doppio
zts279e	Rafforza il colpo dinamico
zts280e	Aumenta la potenza d'attacco del Colpo Dinamico
zts281e	Colpo totale
zts282e	Colpisce gli obiettivi che usano il Colpo Dinamico
zts283e	Aumenta Potenza
zts284e	Aumenta la potenza d'attacco della Potenza Caricata
zts285e	Rafforza il Patto di Sangue
zts286e	Aumenta la potenza d'attacco per il Patto di Sangue
zts287e	Aumento del Raggio del Lancio
zts288e	Aumenta il raggio del Lancio
zts289e	Tiro
zts290e	Prova a spostare l'avversario con il Deviatore
zts291e	Rafforza gli arcieri
zts292e	Aumenta la potenza degli attacchi lontani degli arcieri
zts293e	Rafforza gli arcieri per la seconda volta
zts294e	Colpi specializzati per le Piante di alto livello
zts295e	Aumenta la potenza d'attacco per gli attacchi delle piante di alto livello
zts296e	Rafforza la pugnalata
zts297e	Aumenta la potenza d'attacco della pugnalata
zts298e	Pugnalata mortale
zts299e	Aumenta la probabilità di un colpo critico usando la Pugnalata
zts300e	Rafforza il Colpo Elaborato
zts301e	Aggiunge un elemento d'acqua ad un Colpo Elaborato ed aumenta la potenza d'attacco
zts302e	Converte un Colpo Elaborato in Elemento d'Acqua
zts303e	Aumenta la probabilità di un colpo critico in un Colpo Elaborato
zts304e	Hai una probabilità maggiore di causare danni doppi
zts305e	Rafforza il Danno Pungente
zts306e	Aumenta il danno mortale lanciando un Colpo Pungente
zts307e	Attacco Contemporaneo
zts308e	Dopo aver lanciato un Colpo Volante attacca contemporaneamente i nemici nel bersaglio
zts309e	Colpo Kovolt
zts310e	Aumenta la potenza d'attacco durante i combattimenti contro i Kovolt
zts311e	Potenzia il Colpo Rapido
zts312e	Aumenta la potenza d'attacco del Colpo rapido
zts313e	Potenzia il Colpo Alto
zts314e	Aumenta la potenza d'attacco del Colpo alto
zts315e	Aumenta il Raggio d'attacco
zts316e	Aumenta la il raggio d'attacco del Colpo Alto
zts317e	Una pugnalata corta fa sanguinare l'avversario
zts318e	Rafforza Pugnalata breve
zts319e	Aumenta la potenza d'attacco della Pugnalata Corta
zts320e	Aumento probabilità
zts321e	Aumenta la probabilità di "Bloccare il Movimento" mentre lanci un Movimento Rotante
zts322e	Aumenta il potere d'attacco usando la Carica Mortale
zts323e	Aumento della Velocità
zts324e	Velocizza la furia
zts325e	Rafforza il Rituale del Falco
zts326e	La potenza d'attacco viene aumentata durante il Rituale
zts327e	Migliora la conoscenza delle erbe medicinali
zts328e	Aumenta il livello del veleno
zts329e	Aggiunge veleno che dà le vertigini
zts330e	Aggiungi il Veleno sul Pugnale
zts331e	Aggiunge Veleno Mortale
zts332e	Aggiungi il veleno mortale al pugnale semplice
zts333e	Spinta
zts334e	Fai indietreggiare il tuo nemico
zts335e	Potenzia la Saetta d'Energia
zts336e	Aumenta l'attacco della Saetta d'Energia
zts337e	Aumenta il raggio d'azione della Saetta d'Energia
zts338e	Potenzia la Pistola Magica
zts339e	Aumenta il potere di attacco della Pistola Magica
zts340e	Specializzato per le piante di alto livello
zts341e	Aggiungi esplosione
zts342e	Causa un'esplosione di fiamme quando la Saetta di Fuoco viene usata
zts343e	Rafforza la Saetta di Fuoco
zts344e	Aumenta la potenza d'attacco quando la Saetta di Fuoco viene usata
zts345e	Aggiungi Gelo
zts346e	Congela l'avversario quando la Saetta di Ghiaccio viene usata
zts347e	Rafforza la Saetta di Ghiaccio
zts348e	Aumenta la potenza d'attacco della Saetta di Ghiaccio
zts349e	Rafforza i Missili Magici
zts350e	Aumenta la potenza d'attacco dei Missili Magici
zts351e	Espandi
zts352e	Aumenta il raggio d'attacco dei Missili Magici
zts353e	Rafforza la Colonna di Fuoco
zts354e	Aumenta la potenza d'attacco della Colonna di Fuoco
zts355e	Rafforza il Vortice
zts356e	Aumenta la potenza d'attacco del Vortice
zts357e	Aumenta il Recupero
zts358e	Aumenta il Recupero degli HP
zts359e	Aumenta Furto
zts360e	Aumenta gli MP rubati dall'Avversario
zts361e	Caduta
zts362e	Meteo
zts363e	Attacco roteante
zts364e	Attacco Circostante 2
zts365e	Sputo appiccicoso
zts366e	Perdita di sensi circostante
zts367e	Sputo appiccicoso forte
zts368e	Evoca un Minatore
zts369e	Evoca Minatore 2
zts370e	Chiamata per il Minatore 3
zts371e	Forte colpo tutt'intorno (kenko)
zts372e	Lancio
zts373e	Morso
zts374e	Tempesta di Ghiaccio
zts375e	Colpo rotatorio di Korrkoaren
zts376e	Balzo di Akuku Kenne
zts377e	Attacco roteante di HuruKenko
zts378e	Attacco roteante della Tartaruga
zts379e	Maledizione della Strega Oscura
zts380e	Comando d'attacco della Strega Insanguinata
zts381e	Comando d'attacco di Madame
zts382e	Mano di Madame Morta
zts383e	Assalto di Kennel
zts384e	Assalto del Leonlupo
zts385e	Assalto ai Mostri di Basse Livello
zts386e	Boing inquinato
zts387e	Tiro del Re Ragno
zts388e	Attacco Roteante del Re Ragno
zts389e	Attacco roteante di Kulluk Kin
zts390e	Starnuto di Kulluk Kin
zts391e	Sfera di Fuoco di DustDeath
zts392e	Abilità di Catlotte
zts393e	Abilità di Catrisha 1
zts394e	Abilità di Catrisha 2
zts395e	Attacco Forte NPC
zts396e	Abilità di Catlotte
zts397e	Guarigione del Ginseng
zts398e	Attacco roteante del Ginseng
zts399e	Illuminazione di Castra
zts400e	Lancio del Fumo
zts401e	Ululato di Slade
zts402e	Lancio della pietra
zts403e	Lancia una Magia di Base
zts404e	Attacco del Ragno Nero Gigante
zts405e	Ragnatela del Ragno Nero Gigante
zts406e	Attacco di base di Slade
zts407e	Lancia Teletrasporto
zts408e	Scatto della Mandra
zts409e	Attacco del martello di ferro
zts410e	Frana
zts411e	Attacco del Ragno
zts412e	Attacco del Meteorite Nero
zts413e	Colpo veloce dell'Arciere Teschio
zts414e	Arciere Teschio - Colpo forte
zts415e	Attacco del Martello del Teschio
zts416e	Tempesta di polvere infuocata
zts417e	Gas della Guardia Zombie
zts418e	Spettatore della missione
zts419e	Battaglia coi cuscini
zts420e	Cadavere giocante
zts421e	Dormita
zts422e	Annoiato
zts423e	Strati Pieni
zts424e	Esercizio di base
zts425e	Te-time
zts426e	Tamburello giocante
zts427e	Appoggio su di te
zts428e	Perdonami
zts429e	Lettura
zts430e	Attacco dello Spadone
zts431e	Attacco dal Guerriero
zts432e	Collisione Tripla
zts433e	Triplo Colpo
zts434e	Pelle di Ferro
zts435e	Migliora per un breve periodo la tua forza di difesa.
zts436e	Colpo rotante
zts437e	Attacca facendo roteare la spada
zts438e	Provocazione
zts439e	Attira l'attenzione del nemico per farti attaccare.
zts440e	Colpo Finale
zts441e	Attacca i nemici in linea così da mettere la tua spada tra i loro colpi.
zts442e	Grido di Paura
zts443e	Spaventa i nemici con un forte grido minaccioso.
zts444e	Il livello dei nemici più elevato, per te è il meno potente.
zts445e	Spallata
zts446e	Colpisci i tuoi nemici per danneggiarli con la spalla destra della tua armatura
zts447e	Urlo
zts448e	Grido per incoraggiare te stesso gli altri.
zts449e	Spaccatura
zts450e	Concentra l'energia della spada sulla terra per attaccare i nemici
zts451e	Dragone Crescente
zts452e	Questa è un'abilità potente e distruttiva che usa il potere della tua spada per colpire.
zts453e	Ha una potenza distruttiva
zts454e	Taglio
zts455e	Attacco di base del Samurai
zts456e	Taglio a Croce
zts457e	Sfregia la tua spada per danneggiare i nemici.
zts458e	Lama Energica
zts459e	La spada è sufficiente per spaccare la terra ed attaccare i nemici distanti
zts460e	Attacco incatenato
zts461e	Esegue una serie di tre attacchi, per confondere i nemici.
zts462e	Protezione del Samurai
zts463e	Taglia gli attacchi dei nemici aumentando la tua energia
zts464e	Tempesta di Spade
zts465e	Una tempesta di Spade si scatena sui nemici
zts466e	Attacco alla Velocità della Luce
zts467e	Ti muovi ad una velocità molto elevata per attaccare
zts468e	Recupera il Fiato
zts469e	Medita per recuperare il controllo fisico e mentale
zts470e	Colpo Mortale
zts471e	Raccoglie tutta l'energia per spaccare una zona con un taglio corto
zts472e	Bordo Affilato
zts473e	Crea il tuo bordo affilato.
zts474e	Spada Danzante
zts475e	Fai volare la tua spada uccidendo i nemici
zts476e	Occhio del Falco
zts477e	Sferri un attacco ad alto tasso di HitRate con la precisione di un falco.
zts478e	Colpo alla Testa
zts479e	Fa un danno mortale ai Nemici con un colpo concentrato.
zts480e	Combattente del vento
zts481e	Aumenta la tua velocità per un tempo determinato.
zts482e	Colpo abbagliante
zts483e	Acceca i nemici colpendoli con un Colpo Abbagliante
zts484e	Freccia Tripla
zts485e	Attacca i nemici con una serie di frecce infuocate
zts486e	Crescita del raggio d'attacco
zts487e	Può colpire da una lunga distanza.
zts488e	Saetta roteante
zts489e	Crea danni ad ogni tocco dei nemici
zts490e	Protezione di Fuoco
zts491e	Alcune frecce di fuoco ti proteggono
zts492e	Rapidità
zts493e	Riduce il tempo di avvio dell'abilità, per un determinato periodo.
zts494e	Tempesta di Fulmini
zts495e	Le frecce piovono sull'area bersagliata.
zts496e	Pugnalata
zts497e	Attacco di Base di un Assassino
zts498e	Colpo critico
zts499e	Aumenta la probabilità di infliggere colpi critici
zts500e	Sfregio
zts501e	Attacco forte e rapido sui nemici.
zts502e	Smog Dannoso
zts503e	Produci una nebbia fitta che riduce l'HitRate dei tuoi avversari.
zts504e	Catena Uncinata
zts505e	Lancia una Catena Uncinata per attirare il nemico
zts506e	Salto per evitare l'attacco.
zts507e	Se eviti l'attacco con successo, l'energia può essere ricaricata
zts508e	Thoma Hawk
zts509e	Attacca i nemici facendo volare lance.
zts510e	Oscurità
zts511e	Ti nascondi finché non attacchi o non vieni attaccato
zts512e	Tempesta di Colpi
zts513e	Giri velocemente su te stesso con i pugnali in mano per attaccare i nemici
zts514e	Attacco mortale
zts515e	Effettua un attacco improvviso per causare danni mortali.
zts516e	Efficiente da usare nell'oscurità
zts517e	Bomba
zts518e	Salta indietro e fa esplodere una bomba esplode ai piedi del nemico.
zts519e	La stessa funzione della caduta
zts520e	Abilità del Mago Rosso
zts521e	Scoppio di Fuoco
zts522e	Causa un piccola esplosione su un determinato bersaglio.
zts523e	Soffio infuocato
zts524e	Soffia per bruciare gli altri
zts525e	Trasfusione della Mana
zts526e	Brucia un po' della tua vitalità per aumentare la Mana.
zts527e	Tempesta di Fuoco
zts528e	Brucia gli altri grazie ad una Tempesta di Fuoco.
zts529e	Lancia infuocata
zts530e	Evoca la Lancia infuocata per attaccare i Nemici.
zts531e	Benedizione del Fuoco
zts532e	Aumenta l'Elemento di Fuoco e la Resistenza di Fuoco a te e ai personaggi circostanti
zts533e	Muro di Fuoco
zts534e	Evoca il Muro di Fuoco per attaccare i Nemici.
zts535e	Sciame di Meteore
zts536e	Evoca i meteoriti per farli cadere sui Nemici.
zts537e	Inferno
zts538e	Una colonna di fuoco potente esce e la gravità scompare.
zts539e	Colpo di Meteora
zts540e	Evoca un enorme meteorite per distruggere il bersaglio e la zona circostante.
zts541e	Attacco Sacro
zts542e	La Sfera di Luce sacra vola per attaccare i nemici.
zts543e	Magia Speciale che non consuma MP
zts544e	Guarigione
zts545e	Guarisci il personaggio selezionato
zts546e	Luce Sacra
zts547e	Una Luce sacra scende dal cielo per danneggiare i nemici.
zts548e	Scudo della Mana
zts549e	Crea uno Scudo intorno a te.
zts550e	Canzone Divina
zts551e	I nemici intorno a te perdono la voglia di combattere per un determinato periodo.
zts552e	Guarigione Totale
zts553e	Elimina gli effetti negativi degli incantesimi fatti sui tuoi Membri.
zts554e	Trasforma non morto
zts555e	Causa danni mortali al non morto dell'oscurità.
zts556e	Guarigione di Gruppo
zts557e	I tuoi membri recuperano potenza velocemente.
zts558e	Arma Sacra
zts559e	Benedice l'arma attuale con l'elemento di Luce per un periodo limitato.
zts560e	Benedizione
zts562e	Martello Sacro
zts563e	Il Martello Sacro colpisce dal cielo.
zts564e	Amore (Alt + Q)
zts565e	Ciao (Alt + W)
zts566e	Smorfia (Alt + E)
zts567e	Risata (Alt + R)
zts568e	Timido (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Ooops (Alt + U)
zts571e	Ahhh (Alt + l)
zts572e	Imbarazzato (Alt + O)
zts573e	Vittoria (Alt + P)
zts574e	Cosa? (Alt + A)
zts575e	Mi prendi in giro?
zts576e	Esigenza (Alt + D)
zts577e	Disonore (Alt + F)
zts578e	Arrabbiato (Alt + G)
zts579e	La pagherai (Alt + H)
zts580e	Pesca (Alt + J)
zts581e	Rifletti (Alt + K)
zts582e	Lacrime (Alt + L)
zts583e	Pianto (Alt + Z)
zts584e	Singhiozzo (Alt + X)
zts585e	Solitudine (Alt + C)
zts586e	Ragazzo carino (Alt + V)
zts587e	Ragazza carina (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Bleh (Alt + M)
zts590e	Mento lungo (Alt +,)
zts591e	Calcio rotante di Jericoo
zts592e	Upgrade
zts594e	Aumenta l'abilità fisica di 30
zts595e	Aumenta la Destrezza di 30.
zts596e	[Avanzato] Corso d'intelligenza
zts597e	Aumenta l'intelligenza di 35
zts598e	[Corso migliore] Corso d'intelligenza
zts599e	Aumenta gli HP di 250
zts600e	Aumenta gli MP di 250
zts601e	[Avanzato] Attacco effettivo
zts602e	Aumenta tutti gli Attacchi di 20
zts603e	[Migliore] Attacco effettivo
zts604e	[Avanzato] Difesa Personale
zts605e	Aumenta tutta la difesa di 20
zts606e	[Top] Difesa Personale
zts607e	Aumenta il Recupero degli HP di 100
zts608e	Aumenta il Recupero MP di 120
zts609e	Guarigione naturale
zts610e	Con un effetto più elegante.
zts611e	Potenza dell'abilità - aumenta potenza
zts612e	Lama brillante
zts613e	Migliora il Vortice 2
zts614e	Migliora la potenza dei proiettili magici
zts616e	Tempesta distruttiva
zts617e	Rinforza la resistenza contro gli elementi
zts618e	Attacco improvviso
zts619e	Stordimento
zts620e	Colpo esplosivo
zts621e	Freccia infuocata
zts622e	Freccia brillante
zts623e	Attacca i punti deboli
zts624e	Trivella di ghiaccio
zts625e	Giudizio della Luce
zts626e	Zona magmatica
zts627e	Raggio magico
zts628e	Soffio del perdente
zts629e	Salto del Re Pollo
zts630e	Pianto del Re Pollo
zts631e	Per un certo periodo di tempo, incrementa la difesa e la resistenza dei compagni presenti nelle vicinanze.
zts632e	Protegge dai colpi critici
zts633e	Calcio
zts634e	Piangere
zts635e	Salto
zts636e	Potenzia la Bomba Magica Esplosiva
zts637e	Mezzo salto del Re Pollo
zts638e	Salto rapido del Re Pollo
zts639e	Attacca con un Bastone di Bambù
zts640e	Trappola del Boss JajaMaru
zts641e	Attacco Shuriken
zts642e	Salto Shuriken
zts643e	Fiamme
zts644e	Lancio della bomba
zts645e	Restituzione
zts646e	Modalità segreta
zts647e	Evocazione Kamapakun
zts648e	Creazione
zts649e	Potenza di un cuore vuoto
zts650e	Potenzia la Bomba Magica Esplosiva 2
zts651e	Attacco Shuriken Ninja
zts652e	Calpesta Namaju
zts653e	Evocazione di Namaju
zts654e	Attacco degli ingranaggi
zts655e	Attacco delle foglie d'acero
zts656e	Raggio laser
zts657e	Evocazione degli spiriti
zts658e	Mani magiche
zts659e	Nebbia avvelenata
zts660e	Flip-flop
zts661e	Attacco degli arcieri fantasma dei Kovolt
zts662e	Attacco di Base di JajaMaru. Vengono gettati gli Shuriken contro i nemici
zts663e	Salta e lancia più Shuriken contro i nemici
zts664e	Attacchi di fuoco per coprire i nemici
zts665e	Lancia una bomba potente contro il nemico per fare danni
zts666e	Ti teletrasporta in un determinato punto e lascia pezzi di legno nel posto originale
zts667e	Nasconde il Personaggio. Verrà visto se attacca o se viene attaccato.
zts668e	Gira su Kamapakun Re della Polvere Lucente ed attacca i nemici vicini
zts669e	Evoca l'incarnazione di JajaMaru, attacca i nemici e poi scompare
zts670e	L'abilità ha effetto solo su Namaju
zts671e	Ripristina la potenza per un periodo limitato e causa danni a Namaju
zts672e	Scatto animale
zts673e	Attacco improvviso del Guerriero Kovolt
zts674e	Teletrasporto della donna cattiva
zts675e	Pozione della confusione
zts676e	Attacco di Base del Diavolo rinato
zts677e	Acceca il Diavolo rinato
zts678e	Attacco di base del Teschio del Falco
zts679e	Attacco di base di Death Lander
zts680e	Muovi il vento di Death Lander
zts681e	Silenzio di Death Lander
zts682e	Teletrasporto fantasma di Death Lander
zts683e	Attacco di base del Cavaliere Gigante
