zts1e	Тренировка новых искателей приключений
zts77e	Расправься со злыми рогатыми бесами!
zts78e	Сразись с нервными каменными ходоками!
zts79e	Сразись с веппардами!
zts80e	Сразись с сильными Гаргсами!
zts81e	Сразись с демоническими бесами!
zts82e	Сразись с безумными Гаргсами!
zts83e	Сразись с Гаргсами!
zts84e	Сразись с большими демоническими бесами!
zts85e	Охраняй шахты!
zts86e	Сразись со счастливыми шахтерами!
zts87e	Сразись с малоопытными шахтерами!
zts88e	Сразись с шахтерами!
zts89e	Сразись со злыми шахтерами!
zts90e	Сразись с опытными шахтерами!
zts91e	Сразись с усталыми главными шахтерами!
zts92e	Сразись с сильными опытными шахтерами!
zts93e	Сразись с главными шахтерами!
zts94e	Сразись с нервными главными шахтерами!
zts95e	Собери руду!
zts96e	Собери киркомотыги!
zts97e	Собери сломанные флейты!
zts98e	Битва Ковольтов!
zts99e	Сразись с мечниками Коаренами!
zts100e	Уничтожь лучников коаренов!
zts101e	Сразись с рыцарями Коаренами!
zts102e	Сразись с элитными мечниками Коаренами!
zts103e	Сразись с элитными лучниками Коаренами!
zts104e	Сразись с элитными воинами коаренами!
zts105e	Сразись с неопытными мечниками кенко!
zts106e	Сразись с неопытными копьеносцами кенко!
zts107e	Сразись с неопытными мародерами кенко!
zts108e	Сразись с мечниками кенко!
zts109e	Сразись с копьеносцами кенко!
zts110e	Сразись с мародерами кенко!
zts111e	Сразись с умелыми мечниками кенко!
zts112e	Сразись с умелыми копьеносцами кенко!
zts113e	Сразись с умелыми мародерами кенко!
zts114e	Защити гору Крем!
zts115e	Сразись с большим демоническим бесом!
zts116e	Сразись с сильными Гаргсами!
zts117e	Сразись со злыми королевами пчел!
zts118e	Сразись с волками!
zts119e	Сразись с малыми ядовитыми пауками!
zts120e	Сразись с малыми осами!
zts121e	Сразись со странной личинкой комара!
zts122e	Сразись с шипастым горохом!
zts123e	Сразись со свиньями!
zts124e	Сразись с горными черепахами!
zts125e	Сразись со слабыми пауками!
zts126e	Сразись с жестокими волками!
zts127e	Сразись с ядовитыми пауками!
zts128e	Сразись с плевателями!
zts129e	Сразись с волкольвами!
zts130e	Сразись со слабыми пауками!
zts131e	Сразись с малыми осами!
zts132e	Расправься с шустрым терновым горохом!
zts133e	Сразись со скальными черепахами!
zts134e	Сразись с личинками комаров!
zts135e	Сразись с жестокими волкольвами!
zts136e	Сразись с сильными пауками!
zts137e	Сразись с большими ядовитыми пауками!
zts138e	Сразись со свирепыми плевателями!
zts139e	Сразись с сильными свиньями!
zts140e	Уничтожь опасные ульи!
zts141e	Сразись с опасными королевами пчел!
zts142e	Сразись с большими осами!
zts143e	Расправься со злыми личинками комаров!
zts144e	Сразись с жестокими плевателями!
zts145e	Битва Кэтси
zts146e	Сразись с темными колдуньями!
zts147e	Сразись с кровавыми ведьмами!
zts148e	Сразись с темными колдуньями!
zts149e	Сразись с сильной кровавой ведьмой!
zts150e	Сразись с Леди Савинами Даркси!
zts151e	Сразись с черными ведьмами!
zts152e	Сразись с сильными темными ведьмами!
zts153e	Сразись с сильными черными ведьмами!
zts154e	Уничтожь нежить!
zts155e	Сразись со слабым костяным воином!
zts156e	Сразись со старыми ночными тенями!
zts157e	Сразись со слабыми лавовыми големами!
zts158e	Сразись с костяными воинами!
zts159e	Сразись с лавовыми големами!
zts160e	Сразись с ночными тенями!
zts161e	Сразись с сильными костяными воинами!
zts162e	Сразись с сильными лавовыми големами!
zts163e	Сразись с древними ночными тенями!
zts164e	Сразись с яростным черепом!
zts165e	Сразись со свирепыми лавовыми големами!
zts166e	Сразись с проклятыми черепами!
zts167e	Сразись с грустной ночной тенью!
zts168e	Сразись со свирепыми черепами!
zts169e	Сразись с жестокими лавовыми големами!
zts170e	Сразись с подавленной ночной тенью!
zts171e	Малкольм Микс просит тебя раздобыть для него кое-что!
zts172e	Собери лисьи хвосты!
zts173e	Собери колючки хомяков!
zts174e	Собери шерсть!
zts175e	Собери мандрагоры!
zts176e	Собери семена дандеров!
zts177e	Собери листья сидлей!
zts178e	Собери маленькие горошины!
zts179e	Сразись с желе и собери красные кубики!
zts180e	Собери рога беса!
zts181e	Собери шары вампиров!
zts182e	Убивая ходоков, Коаренов и Кенко, собери осколки зеленого стекла.
zts183e	Уничтожь Гаргсов и собери кусочки темноты!
zts184e	Собери волчью гриву!
zts185e	Собери панцири черепах!
zts186e	Собери паучью сеть!
zts187e	Сразись с яростными черепами, лавовыми големами и ночными тенями и собери жемчужины мрака!
zts188e	Дай Пижаме одеяло!
zts189e	Собери шерсть, чтобы сделать одеяло!
zts190e	Дай Пижаме подушку!
zts191e	Собери перья свирепых куриц!
zts192e	Поговори с феей-пижамой!
zts193e	Все перья собраны. Поговори еще раз с феей-пижамой!
zts194e	Дай Пижаме кровать!
zts195e	Собери 40 штук плохой древесины!
zts196e	Дай Пижаме матрас!
zts197e	Сразись с желе и собери синие кубики!
zts198e	Поговори с феей-пижамой!
zts199e	Матрас сделан! Отнеси его фее-пижаме!
zts200e	Закончи пространственно-временную миссию, полученную от феи-пижамы!
zts201e	Какое приключение ждет впереди?
zts202e	Поговори с дерзкой феей-пижамой!
zts203e	Обман Пижамы! Это невозможно простить!
zts204e	Найди сердце Бессильного Короля Пыли!
zts205e	Войди в пространственно-временной камень и отыщи сердце бессильного короля пыли!
zts206e	Вернись к камню души!
zts207e	Сердце найдено. Иди к камню души и поговори с ним.
zts208e	Отыщи кость Бессильного короля пыли!
zts209e	Войди в пространственно-временной камень и отыщи кость Бессильного короля пыли!
zts210e	Вернись к камню души!
zts211e	Вместо кости ты находишь странный меч. Вернись и доложи о своей находке!
zts212e	Уничтожь Бессильного короля пыли!
zts213e	Это последняя глава старой вражды. Войди в пространственно-временной камень!
zts214e	Поговори с камнем души!
zts215e	Бессильный король пыли повержен. Вернись и сообщи об этом!
zts216e	Собери лилии!
zts217e	Собери 100 лилий, убивая монстров своего уровня.
zts218e	Все лилии собраны! Вернись к камню души.
zts219e	Утешь Светлого мага!
zts220e	Преследуй убийцу!
zts221e	Следуй за Убийцей и войди в пространственно-временной камень!
zts222e	Защити Самурая!
zts223e	Защити самурая внутри портала, войдя через камень души.
zts224e	Вернись к камню души!
zts225e	Самурай в безопасности. Возвращайся!
zts226e	Недоразумение и истина
zts227e	Войди в пространственно-временной камень!
zts228e	Расскажи правду самураю.
zts229e	Событие, посвященное открытию НосМола!
zts230e	Сражайся с монстрами такого же уровня или выше и собирай шарики.
zts231e	Тайна лаборатории
zts232e	Найди вход в первый скрытый камень лаборатории с помощью кусочка пространственно-временного портала (лаборатория)!
zts233e	Найди вход во второй скрытый камень лаборатории с помощью кусочка пространственно-временного портала (лаборатория)!
zts234e	Найди вход в третий скрытый камень лаборатории с помощью кусочка пространственно-временного портала (лаборатория)!
zts235e	Встреться на третьем этаже лицом к лицу с атакующим стражником по завету Радаля!
zts236e	Успокой Радаля!
zts238e	Обучение новичка
zts240e	Приручи курицу с помощью специального навыка
zts241e	Расправься со слабыми сидлями вместе со своим питомцем!
zts242e	Сходи к тренеру Кальвину, чтобы улучшить свои навыки
zts244e	Загляни к алхимику Малкольму Миксу
zts245e	Зайди в магазин Тео
zts246e	Сходи на рынок НосВилля и купи что-нибудь съестное
zts247e	Приключение в пространственно-временном камне
zts248e	Отправляйся к пространственно-временному камню в северо-южной части деревни
zts249e	Выйди на патрулирование лугов НосВилля
zts250e	Профилактические меры против инфекционных болезней
zts251e	Устрани причину страшной инфекции
zts252e	Устрани причину страшной инфекционной болезни!
zts253e	Подави эту ужасную инфекционную болезнь!
zts254e	Сильная нежить
zts255e	Уничтожь нежить!
zts256e	Вернись в НосВилль и поговори со стражем Сэмом
zts257e	Выполни задание стража Джима
zts258e	Сообщи обо всем стражу Джиму
zts260e	Иди по стрелке и выясни, что происходит
zts261e	Кажется, случилось что-то странное. Поговори с Мими Ментор!
zts262e	Создай ожерелье с помощью этого набора
zts263e	Поговори с Сорайей Стиль, экспертом по аксессуарам
zts264e	Отнеси обед тренеру Кальвину
zts265e	Разузнай, что нужно Малкольму Миксу
zts267e	Поговори с Малкольмом Миксом
zts268e	Зайди к Эве Энерджи, которая работает на рынке НосВилля
zts269e	Собери пять маленьких горошин для Евы Энерджи
zts270e	Отнеси все собранные ингредиенты Еве Энерджи
zts271e	Зловещая тень над НосВиллем
zts272e	Останови монстров на лугах НосВилля!
zts273e	Уничтожь сбежавших монстров, чтобы вокруг стало безопаснее
zts274e	Здесь снова безопасно. Возвращайся в деревню
zts275e	Вернись к Мими после того, как закончишь подготовку
zts276e	Собери необходимые предметы
zts277e	Уничтожь монстров на западных равнинах
zts278e	Ковольт в шахте
zts281e	Все молотки собраны. Поговори с Мадогом еще раз
zts282e	Отнеси молотки Теоману Топпу
zts283e	Загляни к Мими Ментор
zts284e	Возьми следующее задание у Мадога
zts285e	Возьми следующее задание у начальника шахт Мадога
zts286e	Исследуй местность, о которой рассказали шахтеры
zts287e	Вернись в деревню и сообщи обо всем Мими Ментор
zts288e	Достань две пары обуви искателя приключений и отнеси их Малкольму Миксу
zts289e	Защити дядю Малкольма Микса в западной шахте 1!
zts290e	Надень маску ковольтов и выведай их планы!
zts291e	Всеобщая забастовка Ковольтов
zts292e	Сообщи начальнику шахты Мадогу о забастовке ковольтов
zts293e	Останови забастовку ковольтов!
zts294e	Поговори с начальником шахты Мадогом еще раз
zts295e	Узнай больше о забастовке Ковольтов
zts296e	Поговори о проблемах ковольтов с Мими Ментор
zts297e	Поохоться на монстров, пока ждешь ответа Лорда Куарри
zts298e	Выслушай Мими
zts299e	Новая встреча
zts301e	Проверь странные звуки, которые доносятся с западных равнин
zts302e	Осмотри окружающую местность
zts303e	Забери оружие стража у Теомана Топпа
zts304e	Иди к месту сбора стражи
zts305e	Попроси Кальвина Тренера перевести надписи с черной доски
zts307e	Уничтожь монстров, находящихся поблизости
zts308e	Найди Боба и помоги ему расправиться с монстрами
zts309e	Поговори с начальником шахты Мадогом
zts310e	Разберись с ковольтами в западной шахте 2
zts311e	Сообщи обо всем начальнику шахты Мадогу
zts312e	Защити начальника шахты Криспо!
zts313e	Помоги страже разбить основные силы ковольтов
zts314e	Непобедимый враг
zts316e	Послушай рассказ Евы о феях.
zts317e	Поговори со Шлури!
zts319e	Выясни, почему монстры продолжают появляться!
zts320e	Расскажи жителям НосВилля о темном гаргсе!
zts321e	Поделись с рыцарем Пинто последними новостями.
zts322e	Подозрительный страж
zts323e	Найди капитана Лэнса на солнечных лугах!
zts324e	Принеси завтрак капитану Лэнсу!
zts325e	Охраняй территорию, пока капитан Лэнс кушает.
zts326e	Найди портсигар капитана Лэнса.
zts328e	Спроси Рыцаря Пинто о Томе!
zts329e	Расспроси Кальвина Тренера о Томе.
zts331e	Принеси Теодору Топпу то, что он хочет!
zts332e	Поймай зверей, которых хочет Теодор Топп!
zts333e	Расспроси Теодора Топпа о секретном месте встречи!
zts334e	Отправляйся к месту, где собралась стража
zts335e	Соперник
zts337e	Спроси Малкольма об одеколоне следопыта.
zts338e	Собери душистую траву на лугах НосВилля.
zts340e	Собери цветки мандры с травяных мандр!
zts341e	Попроси Малкольма изготовить для тебя немного одеколона следопыта!
zts342e	Отнеси одеколон следопыта Теодору Топпу.
zts345e	Следуй за Томом!
zts346e	Направляйся к Джерико
zts347e	Уничтожь находящихся поблизости монстров!
zts348e	Отыщи стражу!
zts349e	Иди к Джерико и потренируйся с ним.
zts350e	Покажи Джерико, что ты можешь!
zts351e	Пройди через первые врата!
zts352e	Поговори с Джерико
zts353e	Найди Тома и вызови его на дуэль!
zts354e	Расскажи Джерико о результатах дуэли с Томом
zts355e	Серая буря
zts356e	Возвращайся в деревню
zts357e	Принеси немного пшеницы с Солнечных лугов!
zts358e	Собери несколько мандрагор для производства зелья!
zts359e	Добудь немного стали у Бригадира Мадога
zts360e	Добудь немного стали в западной шахте 1!
zts362e	Сообщи Мими Ментор о результатах!
zts363e	Направляйся на солнечные луга и приготовься к битве с Ковольтами!
zts364e	Присоединись к битве против ковольтов!
zts365e	Сообщи жителям деревни то, что тебе удалось узнать.
zts366e	Отправляйся к лагерю на аванпосту Фернон и расскажи командиру Рэю Рамосу о том, что происходит.
zts367e	Сразись с солдатами ковольтов!
zts368e	Сообщи в лагерь стражи о выполнении миссии.
zts370e	Вихрь войны
zts372e	Найди стражей!
zts373e	Убери бревна, закрывающие путь!
zts374e	Направляйся к месту, где собрались рыцари
zts375e	Отнеси документы генералу рыцарей Рамоса!
zts376e	Рассыпь магическую пудру на разбитую красную плиту.
zts377e	Коарены снова нападают. Защищайся!
zts378e	Иди в лагерь стражи!
zts379e	Постарайся выполнить главное задание генерала рыцарей Рамоса!
zts380e	Прими предложение Теодора Топпа!
zts381e	Отправляйся в Западные равнины!
zts383e	Вернись в западные равнины
zts384e	Поговори с генералом рыцарей Рамосом!
zts385e	Друг и враг
zts386e	Присоединяйся к битве!
zts388e	Выясни, есть ли у Теодора печать!
zts389e	Принеси мечи генералу рыцарей Рамоса!
zts390e	Сообщи капитану рыцарей Рамоса новости о событиях, произошедших у демонов!
zts391e	Очисти дорогу для нападения рыцарей!
zts392e	Возвращайся в лагерь стражи!
zts393e	Возвращайся в деревню
zts395e	Собери деньги для Теодора Топпа!
zts396e	Добудь кроваво-красный рубин!
zts399e	Проникни в лагерь врага и получи информацию!
zts400e	Доставь информацию в деревню
zts401e	Доставь информацию в лагерь стражи!
zts402e	Проникни в ряды врагов и уничтожь их!
zts403e	Сообщи в лагерь стражи.
zts404e	Конфликт и предательство
zts405e	Сразись с Корркоареном!
zts406e	Следуй за Корркоареном по зачарованной тропе!
zts408e	Сразись с маленькими дандерами!
zts409e	Отправляйся на охоту на дандеров
zts410e	Поймай счастливую овечку!
zts411e	Собери красные фрукты в 10 камне на лугу НосВилля
zts412e	Встреть начальника шахты Мадога у входа в шахту
zts413e	Отыщи потерянные деревянные молоты в ближайшем камне
zts414e	Добудь немного руды у ковольтов-шахтеров
zts415e	Добудь старые кирки у ковольтов-шахтеров
zts416e	Помоги страже остановить атаку монстров!
zts417e	Исследуй Солнечные луга!
zts418e	Отправляйся на встречу с Томом!
zts419e	Поговори с Теоманом Топпом
zts420e	Найди нюхача у входа в северную шахту
zts421e	Иди по стрелке
zts422e	Поговори с тренером Кальвином
zts423e	Поговори с Мими Ментор
zts424e	Расспроси Малкольма Микса о собранных материалах и документах!
zts425e	Отнеси кроваво-красный рубин Теодору Топпу!
zts426e	Пройди через вторые врата!
zts427e	Пройди через третьи врата!
zts428e	Поспеши в северную шахту, чтобы остановить атаку Ковольтов!
zts429e	Доставь портсигар!
zts430e	Наполни пустую бутылку водой из колодца в Западных равнинах!
zts431e	Уничтожь огненного слейда в Закрытой шахте 1!
zts432e	Попроси совета у Теодора Топпа!
zts433e	Достань маленькие кроваво-красные рубины в пространственно-временном камне 37 уровня!
zts434e	Иди по стрелке в луга НосВилля
zts435e	Поговори со стражем Джимом
zts436e	Поговори с Теоманом Топпом
zts437e	Поговори с Евой Энерджи!
zts438e	Догони коарена!
zts439e	Поучись новому в битве с солдатами кенко.
zts440e	Спроси Малкольма Микса о том, что ему известно
zts441e	Поищи новую подсказку!
zts442e	Спроси Малкольма Микса, может ли он перевести надписи на черной доске
zts443e	Войди в жилище адской гончей!
zts444e	Добудь ошейник адской гончей!
zts445e	Найди статую ковольта в Закрытой шахте 1!
zts446e	Поговори со слугой демона!
zts447e	Достань усы кротов!
zts448e	Иди на место встречи коаренов и кенко.
zts449e	Поиск таинственного сокровища
zts450e	Отнеси магические ингредиенты Малкольму Миксу!
zts451e	Поиск нового сокровища
zts452e	Отнеси ингредиенты Еве Энерджи
zts453e	Послушай, что говорит Шлури о сокровище!
zts458e	Отнеси расширенный набор Шлури!
zts460e	Отнеси сокровище Мими Ментор!
zts461e	Иди в изолированную комнату на первом этаже храма.
zts462e	Освободи пойманного шпиона коаренов!
zts463e	Новый альянс
zts465e	Сообщи, что случилось со шпионом коаренов!
zts466e	Победи кенко и возьми образец!
zts468e	Защищай отряд коаренов!
zts469e	Попроси совета у Малкольма Микса!
zts470e	Выкачай энергию из солдата Кенко с помощью воронки.
zts471e	Отправляйся в заброшенную Волшебную башню, которая находится на Волшебной тропе к востоку от храма Фернон!
zts472e	Отнеси это Малкольму Миксу!
zts473e	Проберись в лагерь кенко через загадочные врата!
zts477e	Поговори со шпионом коаренов!
zts478e	Дерево Фернон
zts479e	Проберись в убежище кенко в храме Фернон -2!
zts482e	Спроси Малкольма о круге зла!
zts483e	Найди святую ветку в храме Фернон 1!
zts485e	Отправляйся к спиральному лабиринту В!
zts487e	Разорви первый источник энергии!
zts489e	Разорви второй источник энергии!
zts491e	Разорви третий источник энергии!
zts493e	Разорви четвертый источник энергии!
zts494e	Отправляйся в храм Фернон 10!
zts495e	Сразись со скованной душой!
zts497e	Поспеши к сердцу Фернон!
zts498e	Быстрее отправляйся к корням Фернон!
zts499e	Поищи кротов в закрытой шахте 1!
zts500e	Ищи следы коаренов на улице!
zts502e	Найди сокровище в храме Фернон -1!
zts503e	Найди второе сокровище!
zts504e	Найди третье сокровище!
zts505e	Найди четвертое сокровище!
zts506e	Отдай образец шпиону коаренов!
zts507e	Отправляйся к скалистому утесу в солнечных лугах
zts508e	Исследуй храм Фернон -1!
zts509e	Отправляйся к северному выходу храма Фернон -1!
zts510e	Отправляйся к восточному выходу храма Фернон -1!
zts511e	Отправляйся к западному выходу храма Фернон -1!
zts512e	Иди к святому алтарю в волшебной башне 8!
zts513e	Отправляйся в храм Фернона -2 и следуй за Клиффом!
zts514e	Спроси Клиффа, как запечатать Фернон!
zts515e	Уничтожь демонов!
zts516e	Иди к шпиону коаренов!
zts517e	Отправляйся к Извилистой тропе в храме Фернон -2!
zts518e	Добудь янтарь света на в храме Фернон 2 или 3!
zts519e	Добудь янтарь тьмы в храме Фернон 4 или 5!
zts520e	Добудь янтарь воды на в храме Фернон 6 или 7!
zts521e	Добудь янтарь огня на в храме Фернон 8 или 9!
zts522e	Забери сокровище у Тренера Кальвина обратно!
zts523e	Задание Дадамару
zts524e	Спроси про странный камень!
zts525e	Закажи у Теомана Топпа огромный железный молот!
zts526e	Отнеси сырье Теоману Топпу!
zts527e	Передай огромный железный молот опытному шахтеру Йобби!
zts528e	Помоги опытному шахтеру Йобби уничтожить осколок метеорита!
zts529e	Сразись с дикими монстрами, обитающими около метеорита!
zts530e	Быстрее проверь надгробный камень!
zts531e	Проверь камень, связанный с видением!
zts532e	Исследуй камень в форме шляпы!
zts533e	Преследуй Намаджу!
zts534e	Спроси Малкольма Микса о сущности духа!
zts535e	Иди к Еве и возьми немного пыльцы феи
zts536e	Принеси Еве Энерджи приправ для готовки!
zts537e	Отдай пыльцу феи Малкольму Миксу
zts538e	Возвращайся к тренеру Кальвину!
zts539e	Найди шпильку принцессы Сакуры!
zts540e	Воспользуйся печатью Принцессы Сакуры
zts541e	Принеси Сорайе то, что она попросила!
zts542e	Найди сущность духа!
zts543e	Отдай сущность души Сорайе Стиль
zts544e	Выполни задание Сорайи Стиль
zts545e	Отдай сырье Теоману Топпу!
zts546e	Сущность души у тебя. Возвращайся к Сорайе.
zts547e	Поспеши проверить надгробный камень!
zts601e	Сразись со следующим монстром!
zts602e	Организуй штаб деревни на горе Крем!
zts603e	Поговори с вождем коаренов!
zts604e	Иди на западную сторону горы и омой статую блестящей кости фруктовым соком!
zts605e	Иди на восточную сторону горы и омой статую блестящей кости фруктовым соком!
zts606e	Расскажи Колли о разрушенной статуе блестящей кости!
zts607e	Собери глину, чтобы сделать статую!
zts608e	Сделай статую!
zts609e	Возведи завершенную статую!
zts610e	Расскажи о своих успехах!
zts611e	Доставь сообщение о возведении лагеря стражи НосВилля!
zts612e	Отремонтируй разрушенный пост стражи!
zts613e	Посади лужайку на мягком грунте рядом с городом!
zts614e	Разровняй твердый грунт!
zts615e	Передай карту сокровищ!
zts616e	Иди к месту, которое отмечено на карте сокровищ, и найди сокровище!
zts617e	Передай сокровище!
zts618e	Отправляйся к Колли!
zts619e	Найди дриад Фернон в Глубокой пещере!
zts620e	Узнай, где находятся дриады!
zts621e	Расправься со всеми дриадами!
zts622e	Сообщи о кэтси!
zts623e	Ищи кэтси!
zts624e	Не дай монстрам поймать тебя!
zts625e	Спроси о местонахождении кэтси!
zts626e	Исследуй тропу, ведущую к кэтси!
zts627e	Ковольты и кэтси
zts628e	Встреться с информатором!
zts629e	Найди источник!
zts630e	Уничтожь демонов в горной пещере 5!
zts631e	Поговори со слугой демона!
zts632e	Узнай, как сделать шапку, которую попросил слуга демона!
zts633e	Получи силу сверкающих камней!
zts634e	Отнеси Энни сверкающий камень!
zts635e	Отнеси материалы Энни!
zts636e	Получи информацию!
zts637e	Иди туда, где часто бывают кэтси!
zts638e	Покажи Энни ключ и получи больше информации!
zts639e	Отправляйся на Утес вечерней зари на горе Крем!
zts640e	Спроси о красной маске!
zts641e	Найди принцессу Кэтлотт в Туманной долине!
zts642e	Уничтожь монстров в Туманной долине!
zts643e	Найди Кэтлотт!
zts644e	Спроси о местонахождении Кэтлотт!
zts645e	Узнай местоположение подземной тюрьмы!
zts646e	Принеси зуб бестии из пещеры духов!
zts647e	Передай зуб бестии!
zts648e	Освободи принцессу Кэтлотт из подземной Тюрьмы в горной пещере 4!
zts649e	Воскрешение кенко
zts650e	Найди бесценное сокровище!
zts651e	Принеси драгоценную вазу Энни!
zts652e	Найди Сенил!
zts653e	Узнай, как решить проблему!
zts654e	Передай сообщение Сенил от Коаренов!
zts655e	Вернись в штаб деревни на горе Крем!
zts656e	Поговори с магом Ковольтов!
zts657e	Спроси про Кенко!
zts658e	Найди шпиона Кенко в Горной пещере 6!
zts659e	Найди шпиона Кенко в Горной пещере 6!
zts660e	Покажи письмо вождю Коаренов!
zts661e	Сорви планы кенко!
zts662e	Смерть Кенко
zts663e	Отправляйся на аванпост Фернон и найди Нюхача!
zts664e	Спроси про духи Кэтлотт!
zts665e	Следуй по запаху и иди к темнице Шанера -1!
zts666e	Уничтожь всех монстров!
zts667e	Поищи где-то здесь Кэтлотт!
zts668e	Поищи Кэтлотт без помощи Кэтриши!
zts669e	Поищи подозрительные обои!
zts670e	Найди тайное место!
zts671e	Успокой разозленных белых колдуний роз!
zts672e	Проверь место, на которое указала белая колдунья Роза!
zts673e	Выследи Кенко!
zts674e	Найди печать скрытого алтаря!
zts675e	Стащи молот у стального палача!
zts676e	Разбей статую ужаса!
zts677e	Сломай печать лабиринта боли!
zts678e	Собери черные бриллианты!
zts679e	Отремонтируй ключ!
zts680e	Иди к скрытому алтарю!
zts681e	Освободи Кэтлотту и защити печать Фернон!
zts682e	Достань сеть для поимки нюхача!
zts683e	Отправляйся к назначенному месту!
zts685e	Прими вызов! Испытание на рекорд пространственно-временного камня
zts687e	Пройди пространственно-временной камень, набрав больше очков, чем требуется! (Выбери режим Рекорд)
zts688e	Исследуй секретную лабораторию!
zts689e	Встреться с Энни в пещере штаба на горе Крем
zts690e	Встреться с вождем Коаренов!
zts691e	Встреться с Энни!
zts692e	Иди в секретную лабораторию 1!
zts693e	Заверши 76-й пространственно-временной камень!
zts694e	Расскажи Энни, что случилось в секретной лаборатории!
zts695e	Попроси защиты у Догго!
zts696e	Заверши 67-й пространственно-временной камень!
zts697e	Отыщи завещание Радаля!
zts698e	Сообщи Энни о своих исследованиях в лаборатории!
zts699e	Все становятся странными.
zts700e	Расспроси Сорайю, эксперта по аксессуарам, насчет кольца Радала. Поиск кольца начинается со свитка озарения в секретной лаборатории 3.
zts701e	Найди Кэтси, чтобы узнать что-нибудь о кольцах Радаля!
zts702e	Найди кэтси!
zts703e	Найди того, кто знает что-нибудь о жемчужине заката!
zts704e	Отправляйся на Скалистый утес!
zts705e	Достань холодные сердца!
zts706e	Собери 10 лилий и 10 маргариток!
zts707e	Положи собранные ингредиенты в рот статуи краба!
zts708e	Заверши 68-й пространственно-временной камень!
zts709e	Расскажи Кэтлотт, где находится жемчужина заката.
zts710e	Позаботься о воде для вазы!
zts711e	Отнеси бутылку с водой Кэтлотт!
zts712e	Осмотри НосВилль!
zts713e	Сразись с 99 маленькими ящерицами!
zts714e	Поговори с Мими Ментор и узнай, как у нее дела
zts715e	Сразись с летучими енотами и достань 99 хвостов летучих енотов.
