zts1e	Özel saldýrý
zts267e	Rakiplerin BP si aldýðým hasarýn %s%% deðeri kadar yükseldi
zts268e	Rakiplerin YP si aldýðým asarýn %s%% deðeri kadar azaldý.
zts269e	Çalmak
zts270e	BP yi YP ye çevirir
zts271e	YP yi BP ye çevirir
zts272e	YP çalar
zts273e	BP çalar
zts274e	YP çal ve BP aktar
zts275e	%s YP elde edimi %s BP harcanmasý ile
zts276e	%s YP karþýlýðýnda %s MP kazanýmý
zts277e	%s deðerinde YP yi rakibe  %s%% oranýnda verir.
zts278e	%s%% olasýlýk ile düþmandan %s YP azaltýlýr ve kendininkine ekler.
zts279e	%s deðerinde BP yi rakibe %s%% oranýnda verir.
zts280e	%s%% olasýlýk ile düþmandan %s BP azaltýlýr ve kendininkine ekler.
zts281e	Rakibin BP deðerini %s YP deðerine dönüþtürür.
zts282e	Rakibin YP deðerini %s kendi BP deðerine dönüþtürür
zts283e	Ýyileþtirme/Yanma ve kullaným
zts284e	YE arttýrýr/Yanma
zts285e	BE arttýrýr/Yanma
zts286e	Kullaným esnasýnda YP deðiþtir
zts287e	Odaklanmanýn bozulmasý halinde YP deðerini deðiþtir
zts288e	Kullaným sýrasýndaki YP gideri kadarýný BP deðerine dönüþtürür
zts289e	Tekrar  %s  YP restore eder.
zts290e	YP %s   azalýr
zts291e	Tekrar %s BP restore eder
zts292e	BP %s azalýr.
zts293e	Kullaným esnasýnda %s YP tekrar restore edilir.
zts294e	Kullaným esnasýnda %s YP azalýr
zts295e	Büyü kullanýmýnýn engellenmesi durumunda %s YP restore edilir
zts296e	Büyü kullanýmýnýn engellenmesi durumunda %s YP kaybolur
zts297e	%s%% YP büyü enerjisi kullanýmý esnasýnda restore edilir.
zts298e	YP, harcanan BP'nin %%%s kadarý azalýr.
zts299e	YP/BP deðiþtirir
zts300e	Kalan YP deðiþtirir
zts301e	Kalan BP deðiþtirir
zts302e	Zaman YP deðiþtir
zts303e	Zaman BP deðiþtir
zts304e	Ayrýca YP/BP ekle
zts305e	Kaybolan YP den  %s%%  geri getirilir
zts306e	Kalan BP deðerinden %s%% at
zts307e	Kaybolan MP den  %s%%  geri getirilir
zts308e	Kalan BP deðerinden  %s%%  at
zts309e	%s YP restore edilir
zts310e	%s YP atýldý
zts311e	%s MP atýldý
zts312e	%s BP kaybediyorsun
zts313e	Ayrýca %s YP eklenir (Maksimum YP deðerinin %s%% üstüne çýkamaz)
zts314e	Ayrýca %s BP eklenir (Maksimum BP deðerinin %s%% üstüne çýkamaz)
zts315e	Özel yöntem
zts316e	Özel hasar
zts317e	Özel   öldürücü  bir saldýrý için imkan
zts318e	%s deki hasarý %s arttýrýr
zts319e	Hasar %s azaldý , %s saldýrýsýnda.
zts320e	%s saldýrýsý esnasýnda ölümcül isabet verme ihtimali %s yükseldi
zts321e	%s saldýrýsý esnasýnda ölümcül isabet verme ihtimali %s azaldý
zts322e	Güçlendirici büyü
zts323e	Güçlendirici büyünün kabulu/iptali
zts324e	Bazý güçlendirici büyü gruplarý içerisinde baðýþýklýk
zts325e	Belirli seviyeyi yükseltmek için güçlendirici büyü aktarýmý
zts326e	Özel baðýþýklýk
zts327e	bir grubu daðýtmak
zts328e	%%%s olasýlýkla [%s] gerçekleþir.
zts329e	%s%% olasýlýk ile [%s]   kaldýrýlýr.
zts330e	Kötü bir efektin engellenme olasýlýðý yüksek.
zts331e	[%s] yakýn olan objeleri, %s seviyesi altýna ekle
zts332e	[%s] yakýn olan objeleri %s seviyesi üzerine ekle
zts333e	Belirli bir efekte karþý direnç gücü oluþturur
zts334e	Belirli efektler iyileþtirir
zts335e	Belirli bir hedef için veya grup için zehir etkisini ortadan kaldýrýr
zts336e	Yaratýlan
zts337e	Ölüm çaðýrýlarý
zts338e	Yaratýk  çaðýrýlarý
zts339e	Taklit çaðýrýlarý
zts340e	Zaman bazlý çaðýrým
zts341e	Ruh çaðýrýmý
zts342e	%s yaratýklarýn ölene kadar  [%s] çaðýrýmý
zts343e	%s%% ihtimali ile ölene kadar   [%s] çaðýrým
zts344e	%s kere %s çaðýrýr.
zts345e	%s%% ihtimal ile [%s] çaðýrýlýr.
zts346e	%s yaratýklardan [%s] çaðýrýlýr (eðitim kuklasý)
zts347e	%s%% olasýlýk ile [%s] çaðýrýlýr (eðitim kuklasý)
zts348e	%s yaratýklardan [%s] çaðýrýlýr ( belirli bir süre sonra kaybolur)
zts349e	[%s]  %s%% olasýlýk ile çaðýrýlýr (belirli bir süre sonra kaybolur)
zts350e	%s BP ile %s yaratýklardan bir ruh çaðýrýr
zts351e	%s BP li  bir ruh %s%% olasýlýk ile çaðýrýlýr
zts352e	Özel efektler
zts353e	Çýðlýk
zts354e	Tercih edilmeyen saldýrýlarýn deðiþimi
zts355e	Kalýntý
zts356e	PvP durumu
zts357e	Arkaplan býrak
zts358e	Seni öldüren rakibin  %s%% oranýnda YP si azalýr
zts359e	Seni öldüren rakibin %s%% oranýnda YP si yükselir
zts360e	%s%% ihtimal ile tercih edilen saldýrýya deðiþtirir
zts361e	%s%% olasýlýk ile tercih edilmeyen saldýrýya deðiþtirir
zts362e	abuk sabuk konuþtu
zts363e	PvP modunda diðer oyunculara karþý savaþma imkaný
zts364e	Hayali bir vücut ortaya çýkar.
zts365e	Ele geçirme
zts366e	Hayvan evcilleþtirmek
zts367e	Düþük seviye yaratýklarý ev hayvanýn yapmak için yakala.
zts368e	Özel nitelik : Hasar ve patlama
zts369e	Alev patlamasý
zts370e	Civar patlamasý
zts371e	Çevre saldýrýsý
zts372e	%s%% ihtimal ile bir patlama oluþur ve %s hasar verir
zts373e	Patlama %s alan içerisinde %s hasar meydana getirir.
zts374e	%%%s ihtimal ile çevredeki %s alana hasar verir
zts375e	Özel efektler 2
zts376e	Alay et
zts377e	Iþýnlanmak
zts378e	Ana silah için güçlendirici büyü
zts379e	Ýkincil silah için güçlendirici büyü
zts380e	Refakatçý olarak hata
zts381e	Rakibin sana sabitlendi
zts382e	Rakibin ilgisinden kendini kurtar
zts383e	%s hücre birim içerisinde ýþýnlanýrsýn
zts384e	%s%% olasýlýk ile  ana silah kullanýmý sayesinde   [%s] oluþturur.
zts385e	%s%% olasýlýk ile ikincil silah kullanýmý sayesinde   [%s] oluþturur.
zts386e	Bazý tip yaratýklar seni arkadaþlarý sanarlar
zts387e	Seviye hesapla
zts388e	Saldýrý seviyesi 0
zts389e	Savunma seviyesi 0
zts390e	Hesaplanan saldýrý seviyesi 0
zts391e	Hesaplanan savunma seviyesi 0
zts392e	Restorasyon
zts393e	YP restorasyon gücünü deðiþtirir
zts394e	BP restorasyon gücünü deðiþtirir
zts395e	YP restorasyon gücü %s yükselir
zts396e	YP restorasyon gücü %s azalir
zts397e	BP restorasyon gücü %s yükselir
zts398e	YP restorasyon gücü %s azalýr
zts399e	Maksimum YP/BP
zts400e	Maksimum YP deðiþtirir
zts401e	Maksimum BP yi deðiþtirir
zts402e	Maksimum YP %s yükseldi
zts403e	Maksimum YP %s azaldý
zts404e	Maksimum BP %s yükseldi
zts405e	Maksimum BP %s azaldý
zts406e	Saldýrý gücünü çarparak deðiþtirir
zts407e	Bütün saldýrýlarý çarparak deðiþtirir
zts408e	Bütün yakýn mesafe saldýrýlarý çarparak deðiþtirir
zts409e	Uzak mesafe saldýrýlarý çarparak deðiþtirir.
zts410e	Büyü saldýrýlarýný çarparak deðiþtirir
zts411e	Saldýrý gücü %s kat yükselir.
zts412e	Saldýrý gücü %s kat düþer.
zts413e	Yakýn mesafe saldýrý gücü %s kere yükselir
zts414e	Yakýn mesafe saldýrý gücü %s kere azalýr
zts415e	Uzak mesafe saldýrý gücü %s kere azalýr
zts416e	Uzak mesafe saldýrý gücü %s kere  azalýr
zts417e	Büyü saldýrý gücü %s kere yükseldi
zts418e	Büyü saldýrý gücü %s kere azalýr
zts419e	Savunma gücünü çarparak deðiþtirir
zts420e	Bütün savunma deðerlerini çarparak deðiþtirir
zts421e	Yakýn mesafe savunma deðerini çarparak deðiþtirir
zts422e	Uzak mesafe savunma deðerini çarparak deðiþtirir
zts423e	Büyü savunma deðerini çarparak deðiþtirir
zts424e	Tüm savunmalar %s kat yükselir.
zts425e	Tüm savunmalar %s kat düþer.
zts426e	Yakýn saldýrý savunmasý %s kat yükselir.
zts427e	Yakýn saldýrý savunmasý %s kat düþer.
zts428e	Uzak saldýrý savunmasý %s kat yükselir.
zts429e	Uzak saldýrý savunmasý %s kat düþer.
zts430e	Büyü savunmasý %s kat yükselir.
zts431e	Büyü savunmasý %s kat düþer.
zts432e	Zaman sarmalý özellikleri
zts433e	Enerji topla
zts434e	YP güvenle
zts435e	BP güvenle
zts436e	Bütün güçlendirici büyüleri iptal et
zts437e	Eþya kullanýlamaz
zts438e	Bir sonraki saldýrý için %s enerji biriktir
zts439e	YP gideri yok
zts440e	YP restorasyonu yok
zts441e	BP gideri yok
zts442e	BP restorasyonu yok
zts443e	Bütün güçlendirici büyüleri iptal et
zts444e	Eþya kullanýlamýyor
zts446e	% YP restore et
zts447e	% BP restore et
zts448e	%s%% YP tekrar restore edildi
zts449e	YP %s%% oranýnda azaldý
zts450e	%s%% BP  tekrar restore edildi
zts451e	BP %s%% azaldý
zts452e	Saymak
zts453e	Sayým sonunda yaratýklarý çaðýr
zts454e	Eðer BP deðeri 0 olursa %s yaratýklardan [%s] çaðýrýlýr
zts455e	Eðer BP 0 olursa , %s%% olasýlýk ile [%s] çaðýrýlýr
zts456e	Öldürmek  ve hasar yok
zts457e	Ölü ve öldürmek yok
zts458e	Hasar alma ve hasar vermek yok
zts459e	Gözlem gücü
zts460e	YP yi azaltýr ama  ölmez
zts461e	YP azaltýr ama öldürmez
zts462e	Asla hasar alma
zts463e	Asla hasar verme
zts464e	Düþman  saldýrýsýný kendi gücüne çevirme
zts465e	Özel aksiyonlar
zts466e	Ýtelemek
zts467e	Çekmek
zts468e	Atýlmak
zts469e	Kaçmak
zts470e	Saklanmak
zts471e	Rakibini %s alan geri it
zts472e	%s hücre birim çevredeki düþmanlarýn dikkati senin üstüne toplanýr
zts473e	%s blok içerisinde düþmanýn arasýna atýl
zts474e	Düþmandan kaç
zts475e	Sessizce süzülme
zts476e	Görünmez þeyleri görmek
zts477e	Durumu deðiþtir
zts478e	Atýþ menzilini deðiþtirir
zts479e	Sadece efekt
zts480e	Tempoyu deðiþtirir
zts481e	Durumu deðiþtirir
zts482e	Diðer yaratýklarýn üstüne atla
zts483e	Atýþ menzili %s deðerine deðiþtirildi.
zts484e	Atýþ menzili tekrar normal olacak
zts485e	Efekt uygulanýr ama hasar vermez.
zts486e	Direk hasar verir
zts487e	Saldýrý süresi %s yükseldi
zts488e	Saldýrý süresi %s azaldý
zts489e	%s%% olasýlýk ile durum deðiþir
zts490e	%s%% olasýlýk ile [%s] görülür
zts491e	Karakteristik bir deðer deðil
zts492e	Karakteristik deðer deðil
zts493e	Ateþ karakteristiði taþýmayan deðer
zts494e	Su karakteristiði taþýmayan deðer
zts495e	Iþýk karakteristiði taþýmayan deðer
zts496e	Karan enerji karakteristiði taþýmayan deðer
zts497e	Bütün karakteristik güçler kullanýlamaz
zts498e	Bütün karakteristik dirençler kullanýlamaz
zts499e	Ateþ gücü kullanýlamýyor
zts500e	Ateþ direnci kullanýlamýyor
zts501e	Su gücü kullanýlamýyor
zts502e	Su direnci kullanýlamýyor
zts503e	Iþýk gücü kullanýlamýyor
zts504e	Iþýk direnci kullanýlamýyor
zts505e	Karanlýk enerji kullanýlamýyor
zts506e	Karanlýk enerji direnci kullanýlamýyor
zts507e	Iþýk ve karanlýk
zts508e	Büyü enerjisi kalkaný
zts509e	Ýyileþtirme
zts510e	Ölümsüz kov
zts511e	Saklan ve saldýr
zts512e	BP  kullanýlarak verilmiþ hasarýn %s%% deðerini tedavi et.
zts513e	Verilen hasarýn %s%% deðerini emerek BP  yükselt.
zts514e	Seviye %s  kadar olan bütün zararlý efektleri kaldýrýr.
zts515e	Seviye %s altýndaki bütün iyi efektleri kaldýrýr
zts516e	Düþük seviyedeki ölümsüzlere hasar
zts517e	Seviyem altýndaki ölümsüzleri iyileþtir
zts518e	Gizlenmiþ saldýrýlarda %s ekstra hasar
zts519e	Gizlenmiþ düþmanlara karþý saldýrý %s ekstra hasar verir
zts520e	Eþya
zts521e	Tecrübeyi yükseltir
zts522e	Saldýrý gücünü yükseltir
zts523e	Düþmüþ eþyalar
zts524e	Tecrübe puaný %%%s yükseldi.
zts525e	Bütün saldýrý güçleri %s%% yükseldi
zts526e	%s  tur boyunca ,saldýrýldýðýn her zaman eþyalar düþer.
zts527e	Güçlendirici büyülerin etki azaltýlmasý büyüsüne karþý direnç
zts528e	Normal olmayan form direnci
zts529e	Normal kondisyon direnci
zts530e	Olaðandýþý büyü direnci
zts531e	Zehir direnci
zts532e	Olaðandýþý hastalýk direnci
zts533e	%s seviye altýnda  kötü efekte yakalanmanýn olasýlýðý %s%%  yükseldi
zts534e	%s seviye ve altýnda hiçbir kötü efekte yakalanmama olasýlýðý %%%s.
zts535e	Seviye %s altýnda  genel bir kötü efekte yakalanma olasýlýðý %s%% yükseldi.
zts536e	Seviye %s altýnda  genel bir kötü efekte yakalanmama  olasýlýðý %s%%.
zts537e	Seviye %s altýnda  kötü büyü efektine yakalanma olasýlýðý %s%% yükseldi.
zts538e	Seviye %s altýnda kötü, büyülü efekte yakalanmama olasýlýðý %s%%
zts539e	Seviye %s altýnda  kötü zehirli efekte yakalanma olasýlýðý %s%% yükseldi
zts540e	Seviye %s altýnda kötü,hastalýklý efekte yakalanmama olasýlýðý %s%%
zts541e	Seviye %s altýnda  kötü hastalýklý efekte yakalanma olasýlýðý %s%% yükseldi
zts542e	Seviye %s altýnda kötü hastalýk efektine yakalanmama  olasýlýðý %s%%.
zts543e	Özel davranýþ
zts544e	Rastgele ýþýnlanma
zts545e	Bir bölgeye zýpla
zts546e	Etrafýna enfekte et
zts547e	Harita üzerinden rastgele bir yere ýþýnlar
zts548e	%s mesafesindeki her objenin üzerine zýplamak
