zts1e	Yeni nesne
zts182e	Büyü silahlarý ünlü demirci ustasý tarafýndan yapýlmýþ. Yüksek dengesi ve saldýrý gücü rakibine karþý kuvvetli saldýrýlar gerçekleþtirir.[n][n]
zts183e	Pirinç alaþýmlý büyü silahý
zts184e	Pirinç alaþýmdan yapýlmýþ olan aðýr ama epey dirençli bir silah.[n][n]
zts185e	Cesaretin büyülü silahý
zts186e	Cesur Büyücü'ler büyü enerjisini yükselttiði için bu silahý çok sever. [n][n]
zts187e	Gölgenin büyülü silahý
zts188e	Bu güçlü silah rakiplere çok büyük hasar verir.[n][n]
zts189e	Amatör kýlýç savaþçýsý zýrhý
zts190e	Kýlýç Savaþçý'larýnýn temel ekipmanlarýndandýr[n][n]
zts191e	Takviyeli zýrh
zts192e	Takviyeli olan bu zýrhýn savunma gücü düþük.[n][n]
zts193e	Pamuklu zýrh
zts194e	Birkaç katmanlý pamuklu kumaþ,[n]hafif ve sýcak[n][n]
zts195e	Deri zýrh
zts196e	Tabaklanmýþ deriden üretilmiþ bir zýrh.[n][n]
zts197e	Dayanýklýlýðýn zýrhý
zts198e	Güç ve dayanýklýlýðý yükseltir.[n][n]
zts199e	Çivili deri zýrh
zts200e	Metal parçalarýyla güçlendirilen deri zýrh.[n]Savunma gücü pek yüksek sayýlmaz.[n][n]
zts201e	Güçlendirilmiþ deri zýrh
zts202e	Yaðlý deriye çift katmanlý bir zýrh.[n]Tüy gibi hafif ve savunma gücü yüksek.[n][n]
zts203e	Pullu zýrh
zts204e	Metal pullarýndan oluþur.[n][n]
zts205e	Moral zýrhý
zts206e	Bu zýrh moralini artýrýr.[n][n]
zts207e	Plaka zýrh
zts208e	Ýç tarafýna çelik plaka iþlenmiþ bir zýrh.[n][n]
zts209e	Altýn perçin zýrh
zts210e	Perçinlerle çok güzel bir þekilde süslenmiþ görkemli bir zýrh.[n]Aðýr ancak büyü savunmasýnda çok etkili.[n][n]
zts211e	Brigandine
zts212e	'Plaka zýrha' göre daha yoðun çelik plakalarý var.
zts213e	Mertlik zýrhý
zts214e	Taþýyanýn saldýrý gücünü yükseltir.[n][n]
zts215e	Acemi Okçu tuniði
zts216e	Okçu'larýn temel ekipmanlarýndandýr.[n][n]
zts217e	Koyun derisinden tunik
zts218e	Koyun derisinden üretilmiþtir[n][n]
zts219e	Kadife tunik
zts220e	Taþýmasý rahat yapay tüylü deri.[n]Bütün silahlar için ölümcül isabet olasýlýðýný biraz geliþtirir.[n][n]
zts221e	Keçi derisi tuniði
zts222e	Keçi derisinden üretilmiþ tuniði.[n][n]
zts223e	Savuþturma tuniði
zts224e	Öyle hafif ve rahat ki sanki üzerinde hiç zýrh yok.[n]Böylece daha hareketli hale gelir ve yakýn saldýrýlardan daha iyi sýyrýlabilirsin.[n][n]
zts225e	Dana derisinden tunik
zts226e	Dana postundan üretilmiþ olan bir tunik.[n][n]
zts227e	Süet tunik
zts228e	Yumuþak bir deriden oluþan rahat ve sýcak bir tunik.[n]YP ve BP yeniler.[n][n]
zts229e	Ýnek derisinden tunik
zts230e	Ýnek derisinden yapýlmýþ olan bir tunik.[n][n]
zts231e	Kartal göz tuniði
zts232e	Geliþtirilmiþ görme gücü saldýrý gücünü yükseltir[n][n]
zts233e	Pekari tuniði
zts234e	Domuz derisinden üretilmiþ bir tunik.[n][n]
zts235e	Nubuk tunik
zts236e	Yumuþak pütürlü dana derisi.[n]Seni yakýn savaþta korur.[n][n]
zts237e	Toskana tuniði
zts238e	Yumuþacýk kürklü[n][n]
zts239e	Ruh tuniði
zts240e	Bu tunik ruhlar tarafýndan korunur ve güçlü bir savunma gücü vardýr.[n][n]
zts241e	Acemi Büyücü cübbesi
zts242e	Büyücü'lerin temel ekipmanlarýndandýr.[n][n]
zts243e	Kumaþ cübbe
zts244e	Kumaþtan üretilen bir giysi.[n][n]
zts245e	Büyülü kumaþ cübbe
zts246e	Seni büyülü güçlerle çevreler.[n]YP yeniler.[n][n]
zts247e	Keten cübbe
zts248e	Dokunmuþ ince bir giysi.[n]Uzak mesafeli saldýrýlarý bloklar.[n][n]
zts249e	Yeniden Oluþturma Cübbesi
zts250e	Zekaný güçlendirir.[n]BP yeniler ve yakýn saldýrýlarý bloklar.[n][n]
zts251e	Tüvit cübbe
zts252e	Yakýn savaþ savunmasýna uygun ve ateþe dayanýklý[n]saðlam bir iplikten yapýlmýþ bir cübbe.[n][n]
zts253e	Geliþtirilmiþ keten giysi
zts254e	Pamuk ve ketende oluþan bu keten cübbe direnç gücünü artýrýr.[n]Ve yakýn savaþ isabetlerinin etkisini azaltýr.[n][n]
zts255e	Muslin cübbesi
zts256e	Hafif, sýcak ve elastik bir cübbe.[n][n]
zts257e	Element cübbesi
zts258e	Tüm element dirençlerini yükseltir.[n][n]
zts259e	Ýpek cübbe
zts260e	Ýpekten üretilmiþ lüks bir cübbe.[n][n]
zts261e	Karo cübbe
zts262e	Sýra dýþý deseni büyülü efektleri güçlendirir.[n][n]
zts263e	Kýlçýk cübbesi
zts264e	Bu zarif desen taþýyanýna entelektüel bir görünüm kazandýrýr.[n][n]
zts265e	Karanlýðýn cübbesi
zts266e	Sana saldýranlarý lanetler[n][n]
zts267e	Yaþlý maceracýnýn mantosu
zts268e	Yaþlý maceracýlar arasýnda yaygýn.[n][n]
zts269e	Kovolt maskesi (OY)
zts270e	Gladyatör
zts271e	Gladyatörler için kýsa kýlýç.[n]Kritik hasar oluþturma olasýlýðýný ve morali yükseltir.[n][n]
zts272e	Wallon kýlýcý
zts273e	Çelikten üretilmiþ dikkat çekici olmayan bir kýlýç.[n][n]
zts274e	Vikingli kýlýcý
zts275e	Korkusuz savaþçýlar için karanlýk enerji ile dolu olan bir pala.[n][n]
zts276e	Orak
zts277e	Bu kýlýcý kullanan kimsenin moralini yükseltir.[n][n]
zts278e	Katzbalger
zts279e	Kritik isabet þansýný ve hasarý yükseltir.[n][n]
zts280e	Þövalyenin kýlýcý
zts281e	Güçlü bir ýþýðýn enerjisine sahip, cesur þövalyelerin kýlýcý.[n][n]
zts282e	Ölüm vurucu
zts283e	Karanlýk güçleri rakiplere kritik hasar verir.[n][n]
zts284e	Hayat yayý
zts285e	Kritik hasarlar verebilen ince bir yay.[n][n]
zts286e	Alev yayý
zts287e	Ateþ elementi içeren bir yay.[n][n]
zts288e	Sentetik yay
zts289e	Saðlam ve ölümcül bir yay.[n][n]
zts290e	Çift yay
zts291e	Bu yay ýþýk elementi saldýrýsý sayesinde ekstradan hasar verir.[n][n]
zts292e	Vahþi yay
zts293e	Karanlýk enerjiyle doludur ve korkusuz hale getirir.[n][n]
zts294e	Büyük yay
zts295e	Bu yay su elementinin gücü sayesinde rakiplerine büyük hasar verir.[n]
zts296e	Kuþatma yayý
zts297e	Ateþ elementi kullanýmý sayesinde yükseltilmiþ kritik hasar verir.[n][n]
zts298e	Yaþamýn sihirli deðneði
zts299e	Taþýyana hayat enerjisi verir.[n][n]
zts300e	Alevli sihirli deðnek
zts301e	Ateþ elementini yükseltirken ayný zamanda su elementini düþürür.[n][n]
zts302e	Buzlu sihirli çubuk
zts303e	Suyun konsantre enerjisi bu çubuðu güçlü bir silaha dönüþtürür.[n][n]
zts304e	Loon sihirli deðnek
zts305e	Bu çubuk sihirle donatýlarak verdiði hasar artýrýldý.[n][n]
zts306e	Sihirli deðnek
zts307e	Bu sihirli deðnek gücünü iki farklý enerji kaynaðýndan aldýðý için BP harcamasý oldukça düþer.[n][n]
zts308e	Kutsal sihirli deðnek
zts309e	Kutsal güçler kötü güçlere karþý direnci artýrýr ve kendini iyi büyüye adamýþ Büyücü'lere olaðanüstü güçler saðlar.[n][n]
zts310e	Ruhun sihirli deðneði
zts311e	Ruhlarýn gücü bu silahýn taþýyanýný korur.[n][n]
zts312e	Savaþ arbaleti
zts313e	Bu ölümcül arbalet savaþ için hazýrlandý.[n][n]
zts314e	Kuþatma arbaleti
zts315e	Bu silah ateþ elementi içeren oklar fýrlatýr.[n][n]
zts316e	Ýskoç hançeri
zts317e	Yüksek bir kritik isabet þansý saðlayan tehlikeli bir hançer.[n][n]
zts318e	Poignard hançeri
zts319e	Karanlýk enerji içeren bir hançer.[n][n]
zts320e	Normal büyülü silah
zts321e	Çok yüksek bir saldýrý gücüne sahip bir büyülü silah.[n][n]
zts322e	Bronz büyülü silah
zts323e	Bu büyülü silah su elementine sahip.[n][n]
zts324e	Güvenlik zýrhý
zts325e	Çok saðlam bir zýrh.[n][n]
zts326e	Sert deri zýrh
zts327e	Yüksek savunma gücüne sahip ve ateþe karþý dirençli bir zýrh.[n][n]
zts328e	Galip zýrhý
zts329e	Uzak saldýrýlarý savuþturabilir.[n][n]
zts330e	Koruyucunun zýrhý
zts331e	Yakýn mesafe saldýrýlarýn hasarýný azaltýr.[n][n]
zts332e	Þövalye zýrhý
zts333e	Bir þövalye zýrhý. Firar ve blok imkaný saðlar.[n][n]
zts334e	Taþ zýrh
zts335e	Hasarý hem absorbe eden hem de bloklayabilen özel bir zýrh.[n][n]
zts336e	Þimþek tunik
zts337e	Uzak mesafe ve büyü savunmasýný güçlendirir.[n][n]
zts338e	Doða tuniði
zts339e	Doðanýn enerjisiyle dolu olan bu[n]tunik YP ve BP'ni yükseltir.[n][n]
zts340e	Köpekbalýðý derisi tuniði
zts341e	Yakýn mesafe ve büyü saldýrýlarýný bloklar.[n][n]
zts342e	Nefes tuniði
zts343e	Ölülerin nefesi ile doludur.[n][n]
zts344e	Rüzgar tuniði
zts345e	Bütün saldýrýlarý engeller.[n][n]
zts346e	Orman Perisi Tuniði
zts347e	Bütün element güçlerini ve dirençleri içerir.[n]Büyü enerjisi harcamasýný azaltýr.[n][n]
zts348e	Acemi Kaftaný
zts349e	Yakýn ve uzaktan saldýrýlara karþý savunma deðerini güçlendirir.[n][n]
zts350e	Yumuþak Cübbe
zts351e	Uzak saldýrýlarý bloklar.[n][n]
zts352e	Netlik Kaftaný
zts353e	Yakýn mesafe savunmaya uygundur ve ateþe dayanýklýdýr.[n][n]
zts354e	Süslü Cübbe
zts355e	Su ve ýþýk direnci kazandýrýr.[n][n]
zts356e	Sihir Kaftaný
zts357e	Büyü yapan kiþinin büyü enerjisi harcamasýný azaltýr.[n][n]
zts358e	Kaynaðýn Kaftaný
zts359e	Belirli bir olasýlýkla bütün saldýrýlarý engeller.[n][n]
zts360e	Saldýrý Seviyesi Týlsýmý
zts361e	Savunma Seviyesi Týlsýmý
zts362e	Saldýrý ve Savunma Seviyesi Týlsýmý
zts363e	Saldýrý Gücü Týlsýmý
zts364e	Savunma Týlsýmý
zts365e	Þifa Týlsýmý
zts366e	Ateþ Direnci Týlsýmý
zts367e	Iþýk Direnci Týlsýmý
zts368e	Su Direnci Týlsýmý
zts369e	Gölge Direnci Týlsýmý
zts370e	Direnç Týlsýmý
zts371e	Kritik Ýsabet Týlsýmý
zts372e	Kritik Hasar Týlsýmý
zts373e	Bedensel Emme Týlsýmý
zts374e	Sihir Emme Týlsýmý
zts375e	Uzak Saldýrýlarý Emme Týlsýmý
zts376e	Bütün Saldýrýlarý Emme Týlsýmý
zts377e	Bedensel Engelleme Týlsýmý
zts378e	Büyülü Engelleme Týlsýmý
zts379e	Uzak Saldýrýlarý Engelleme Týlsýmý
zts380e	Saç Bandý
zts381e	Baþý güçlü saldýrýlardan korur.[n][n]
zts382e	Yumuþak Þapka
zts383e	Yumuþak bir þapka.[n][n]
zts384e	Kamuflaj Yapraklarý
zts385e	Pek iþe yaramýyor gibiler.[n][n]
zts386e	Mandra Kulak Koruyucusu
zts387e	Kulaklara sýkýca oturur.[n] Belirli bir olasýlýkla Mandra çýðlýðýndan korur.[n][n]
zts388e	Hipopotam Þapkasý
zts389e	Çok yumuþak hipopotam þapkasý [n] Yüksek olasýlýkla baygýnlýktan korur[n][n]
zts390e	Modaya Uygun Gözlük
zts391e	Kovolt Maskesi
zts392e	Maske seni Kovolt olarak kamufle eder.[n]Kovolt madencilerinden birine saldýrsan bile diðer Kovoltlar sana saldýrmaz.[n]
zts393e	Boynuzlu Þapka
zts394e	YP'yi artýrýr.[n]Belli bir olasýlýkla Mandra çýðlýðýna karþý korur.[n][n]
zts395e	Pompa Þapkasý
zts396e	Saç Süsü
zts397e	Büyük olasýlýkla kanamalardan korur.[n][n]
zts398e	Dokunaç
zts399e	Kahin Saç Bandý
zts400e	Funny Fish Þapkasý
zts401e	Kasket Þapka
zts402e	Su Bizonu Boynuzu
zts403e	Dikdörtgen Gözlük
zts404e	Göz Kýrpan Maske
zts405e	Kavgacý Maskesi
zts406e	Monokl
zts407e	X Maske
zts408e	Sakal ve Makyaj
zts409e	Tüm Saldýrýlarý Engelleme Týlsýmý
zts410e	Ateþ Elementi Týlsýmý
zts411e	Su Elementi Týlsýmý
zts412e	Iþýk Elementi Týlsýmý
zts413e	Gölge Elementi Týlsýmý
zts414e	Karanlýk Enerjiyi Yükseltme Týlsýmý
zts415e	Zýplayan Tavukçuk
zts417e	Dans Eden Tavukçuk
zts418e	Hiddetli Tavukçuk
zts419e	Bahis Koruma Týlsýmý (Silah)
zts420e	Bahis kaybettiðinde bu týlsým üzerindeyse,[n] silahýn yerine yalnýzca týlsýmý kaybedersin.[n](Toplam 3 kereye kadar kullanýlabilir)[n][n]
zts421e	Bahis Koruma Týlsýmý (Teçhizat)
zts422e	Bahis kaybettiðinde bu týlsým üzerindeyse,[n]teçhizatýnýn yerine yalnýzca týlsýmý kaybedersin.[n](Toplam 3 kereye kadar kullanýlabilir)[n][n]
zts423e	Nadir seviyenin yükseliþ týlsýmý
zts424e	Bunu yanýnda taþýrsan, bahislerdeki nadirlik seviyen 1 puan artar.[n] (Baþarýsýzlýk olmaz)[n][n]
zts425e	Sabit Seviyeli Bir Silahý Güçlendirme Týlsýmý
zts426e	Bu eþya sayesinde sabit seviyeli silahýný[n]sýradan olasýlýkla güçlendirebilirsin.[n]Bunu yaparken, tekrar sabit seviyeyi elde edebilirsin.[n]Güçlendirme baþarýlý olursa, seviye serbest býrakýlýr.[n]Dikkat et:[n]Güçlendirme baþarýsýz olursa, eþya yok olabilir.[n](Toplam 2 kereye kadar kullanýlabilir)[n][n]
zts427e	Zýrh Güçlendirme Týlsýmý
zts428e	Bu eþya sayesinde sabit seviyeli teçhizatýný[n]sýradan olasýlýkla güçlendirebilirsin.[n]Bunu yaparken, tekrar sabit seviyeyi elde edebilirsin.[n]Güçlendirme baþarýlý olursa, seviye serbest býrakýlýr.[n]Dikkat et:[n]Güçlendirme baþarýsýz olursa, eþya yok olabilir.[n](Toplam 2 kereye kadar kullanýlabilir)[n][n]
zts429e	Elvin'in Kýlýcý
zts430e	Bu kýlýç kutsal bir auraya sahip.[n][n]
zts431e	Görkemli Pala
zts432e	Bütün elementlerle ve dirençlerle donatýlan bu pala, her Kýlýç Savaþçýsý için deðerli bir silah.[n][n]
zts433e	Kýrýk Elementer Kýlýcý
zts434e	Bu silahla yapýlan bir saldýrý rakibinin element direncini ve kritik isabetlerin verdiði hasarý azaltýr.[n][n]
zts435e	Kýrmýzý Yay
zts436e	Rakibin YP'sini çalar[n]ve yakýn saldýrý gücünü artýrýr.[n][n]
zts437e	Barýþ Yayý
zts438e	Doðanýn gücü verilen hasarý artýrýyor.[n][n]
zts439e	Asil Yay
zts440e	Bütün elementler bu silahý taþýyan kiþiyi büyü saldýrýlarýnýn vereceði hasardan korur.[n][n]
zts441e	Efsanevi Sihirli Deðnek
zts442e	Bu sihirli deðnek ateþ elementine hakimdir ve rakiplerin ruhlarýný çalar.[n][n]
zts443e	Ruhun Sihirli Deðneði
zts444e	Bu deðnekte barýnan ruhlarýn güçleri rakibin elementlerin güçlerine karþý sahip olduðu bütün dirençleri çalar ve sahibini güçlendirmek için bunlarý fazladan enerjiye dönüþtürür.[n][n]
zts445e	Asil Sihirli Deðnek
zts446e	Bilge kiþiler bu silahý kendini korumak için taþýr.[n][n]
zts447e	Bilgenin Mavi Kaftaný
zts448e	Deneme Cübbesi
zts449e	Solaris
zts450e	Bu sevimli evcil hayvan, ýþýk elementinin gücü sayesinde sahibinin saldýrý gücünü %30 artýrýr.[n][n]
zts451e	Sellaim
zts452e	Ateþ perisi 70. seviyeye kadar yükselir.[n]Oyuncular arasýnda pazarlanamaz![n][n]
zts453e	Woondine
zts454e	Su perisi 70. seviyeye kadar yükselir.[n]Oyuncular arasýnda pazarlanamaz![n][n]
zts455e	Eperial
zts456e	Iþýk perisi 70. seviyeye kadar yükselir.[n]Oyuncular arasýnda pazarlanamaz![n][n]
zts457e	Turik
zts458e	Gölge perisi 70. seviyeye kadar yükselir.[n]Oyuncular arasýnda pazarlanamaz![n][n]
zts459e	Büyük Sellaim
zts460e	Büyük Woondine
zts461e	Büyük Eperial
zts462e	Büyük Turik
zts463e	Kutsama Týlsýmý
zts465e	Koruma Týlsýmý
zts467e	Güçlendirme Týlsýmý
