zts1e	En iyi servis
zts269e	Mini-oyunlarýn ödüllerini iki katýna çýkar!
zts270e	Envanterinde kupon var ise,kullanmak isteyip istemediðin sorulur.[n]Kullanýldýðýnda gösterilenin iki katý ödül verilmesini saðlar.[n]
zts271e	Ýstediðin kadar üret!
zts272e	Üretim puanlarý restore edici (10 tane)
zts273e	1 Kupon kullanýldýðýnda üretim puanlarý 500 yükseltilir[n]Maksimum 2000 üretim puaný mümkündür[n]
zts274e	Üretim puaný restore edici (30 tane)
zts275e	Envanterdeki bütün eþyalarý kullan.
zts276e	Envanter içerisindeki bütün eþyalarý[n]10 gün boyunca kullanabilirsin.[n]Madalyon ile birlikte kullanýlamaz.
zts277e	Envanter içerisindeki bütün eþyalarý[n]30 gün boyunca kullanabilirsin.[n]Madalyon ile birlikte kullanýlamaz.
zts278e	Envanter içerisindeki bütün eþyalarý[n]60 gün boyunca kullanabilirsin.[n]Madalyon ile birlikte kullanýlamaz.
zts279e	Partner içinde envanter
zts280e	Ekstradan Partnerinin 50 envanter yerini kullanabilirsin.[n]Sadece 10 gün için.[n]
zts281e	Ekstradan Partnerinin 50 envanter yerini kullanabilirsin.[n]Sadece 30 gün için.[n]
zts282e	Ekstradan Partnerinin 50 envanter yerini kullanabilirsin.[n]Sadece 60 gün için.[n]
zts283e	Depoyu her yerde kullan
zts284e	Hayvanýn üzerinden deponu her yerden açabilirsin.[n]10 gün boyunca kullanýlabilir.[n]
zts285e	Hayvan kullanýlarak depo her yerden açýlabilir.[n]Sadece 30 gün için[n]
zts286e	Envanterdeki bütün eþyalarý bir anda kullan.
zts287e	Keþif sýrt çantasýný, partner sýrt çantasýný ve hayvanýn taþýnma çantasýný bir kerede al[n]
zts288e	Ancellon kutsamasýný al
zts289e	5 Ancellon kutsamasý
zts290e	Savaþ ve meslek tecrübesi bir saatliðine %100 yükselir.[n]Seviye sýnýrý olmadan.[n]Madalyon ile birlikte kullanýlamaz.
zts291e	10 Ancellon kutsamasý
zts292e	NosMate'in kutsamasý
zts293e	5 koruyucu melek kutsamasý
zts294e	%50 NosMate tecrübe yükselimi[n]Hýz +2[n]1 saat boyunca etkilidir[n]
zts295e	Ýki kat ödül sihiri
zts296e	Eþsiz eþyayý kendine al!
zts297e	Bunlardan birini alýrsýn : Kýzgýn maske A,[n]Kýzgýn maske B,[n]Kýzgýn maske C,[n]Çalýkuyruk incisi,[n]Gladyatör Çalýkuyruk incisi,[n]Böceklerden arýndýran Çalýkuyruk incisi
zts298e	Bunlardan birini alýrsýn : Durgun maske A,[n]Durgun maske B,[n]Durgun maske C,[n]Çalýkuyruk incisi,[n]Gladyatör Çalýkuyruk incisi,[n]Böceklerden arýndýran Çalýkuyruk
zts299e	Bunlardan birisini al : Derinliðin göz bandý A,[n]Derinliðin göz bandý B,[n]Derinliðin göz bandý C,[n]Çalýkuyruk incisi,[n]Gladyatör çalýkuyruk incisi,[n]Böceklerden arýndýran Çalýkuyruk incisi
zts300e	Savaþ ve meslek tecrübesi 1 saat boyunca %100 yükselir[n]Her seviye için[n]
zts301e	Bunlardan birini al  Kýzgýn maske A,Kýzgýn maske B,Kýzgýn maske C, Çalýkuyruk incisi,Gladyatör Çalýkuyruk incisi, Böceklerden arýndýran Çalýkuyruk incisi,[n]5 Para eþyasý
zts302e	Bunlardan birini al Durgun maske A,Durgun maske B,Durgun maske C, Çalýkuyruk incisi, Gladyatör Çalýkuyruk incisi, Böceklerden arýndýran Çalýkuyruk incisi,[n] 5 para eþyasý
