zts1e	Teos Werkzeugladen
zts67e	Ah, das liegt daran, dass mir manchmal Fehler unterlaufen. Deshalb kann ich keine Garantie für die Sicherheit der Items geben.
zts68e	Wirklich? Wie ist das möglich?
zts69e	So häufig kommt das nicht vor. Und bei einem negativen Seltenheitslevel ist die Erfolgschance noch höher!
zts70e	Was passiert bei einem hohen Seltenheitslevel?
zts71e	Also, da bin ich mir wirklich nicht sicher ...
zts72e	Wenn das Item bei Berührung nicht verschwindet, erhält es mit Sicherheit ein Seltenheitslevel von 1 bis 7.
zts74e	NosCamp-Info
zts101e	Gespräch beenden
zts102e	Was möchtest du wissen?
zts104e	Was ist bei einem Timespace der Unterschied zwischen einer Mission und einer Rekordmission?
zts119e	Im Grunde gibt es nur einen kleinen Unterschied: Bei einer Mission werden Punkte je nach Leistung des Abenteurers vergeben.
zts120e	Wenn du die Rekordmission startest, forderst du den höchsten Rekord, den ein Abenteurer mit seinen Punkten erzielt hat, heraus.
zts121e	Wozu ist die Rekordmission gut? Ich erkenne keine Vorteile ...
zts122e	Wenn es dir gelingt, den Rekord zu brechen, wird dein Name auf dem Timespacestein verewigt und alle Spieler werden dich respektieren. Ist das nicht großartig?
zts123e	Gerüchten zufolge wird Lord Cuarry früher oder später große Belohnungen an die erfolgreichsten Spieler vergeben. Außerdem ist dir als Abenteurer dein Ruf besonders wichtig, nicht wahr?
zts124e	Denkst du nicht, dass dann jeder mehrmals versuchen wird, den Rekord zu brechen, um sich auf dem Timespacestein zu verewigen?
zts125e	Die Rekordmissionen sind nicht umsonst, eine Herausforderung muss mit Gold bezahlt werden. Wenn man sich nicht sicher ist den Rekord brechen zu können, ist es eine reine Geldverschwendung.
zts126e	Denke also gut darüber nach, bevor du versucht den Rekord zu brechen.
zts127e	Wir müssen die Rekordmissionen ja nicht unbedingt bestreiten.
zts128e	Doch, natürlich! Warum verhältst du dich wie ein Feigling? Wenn du ein wahrer Abenteurer bist, nimmst du die Herausforderungen an! Das ist schließlich die Pflicht eines tapferen Abenteurers!
zts129e	Okay, ich verstehe. Ich werde darüber nachdenken.
zts130e	Mögest du großartige Abenteuer erleben!
zts131e	Welchen Beruf möchtest du erlernen?
zts132e	Schwertkämpfer. Ich möchte ein Meister des Nahkampfes sein.
zts133e	Bogenschütze. Ich möchte ein besonders schneller Schütze sein.
zts134e	Magier. Ich möchte das Schlachtfeld mit magischen Kräften dominieren.
zts135e	Wenn du deinen Beruf wechselst, kannst du deine Abenteurer-Ausrüstung nicht mehr verwenden.
zts136e	Daher musst du zunächst deine komplette Ausrüstung ablegen. Du erhältst dafür eine neue Ausrüstung, die zu deinem Beruf passt. Bist du damit einverstanden?
zts137e	Wie gut ist die neue Ausrüstung?
zts138e	Die Ausrüstung ist ganz gut und wird sich bei deinem neuen Beruf als sehr nützlich erweisen.
zts139e	Okay, ich verstehe.
zts140e	Lord Cuarry unterstützt uns nicht länger und wir bleiben auf den Kosten sitzen.
zts141e	Möchtest du deinen Beruf wechseln?
zts142e	Ja, ich möchte meinen Beruf jetzt wechseln.
zts143e	Nein, ich werde später wiederkommen.
zts156e	Eine Familie ist eine Gemeinschaft, die du mit anderen NosTale Spielern gründen kannst. Teile mit deinen Familienmitglieder eure Freuden und Sorgen. Seit für einander da... Das ist es was eine glückliche Familie ausmacht!
zts157e	Wie kann ich dir behilflich sein?
zts158e	Ich möchte eine Familie gründen.
zts159e	Ich möchte meine Familie auflösen.
zts160e	Was ist nötig, um eine Familie zu gründen?
zts161e	Mit welchen Kommandos kann ich meine Familie leiten?
zts162e	Vielen Dank für deine Hilfe. Bis bald!
zts163e	Um eine Familie zu gründen, benötigst du drei Abenteurer, die erfolgreich ihren Beruf gewählt und Akt 1-1 abgeschlossen haben.
zts164e	Diese drei Spieler müssen in der gleichen Gruppe sein. Einer von ihnen muss dann mit mir sprechen, um die Familie zu gründen und die Gebühr dafür zu zahlen. Die Gründung kostet einmalig 200.000 Gold.
zts165e	Anschließend muss er nur noch den Familiennamen eintragen. Der Spieler, der mich angesprochen und die Gebühr bezahlt hat, wird das Familienoberhaupt. Die beiden anderen Gruppenmitglieder werden die Familienvertreter.
zts166e	Bitte entschuldige, aber das Familien-Menü ist leider noch nicht vollständig entwickelt. Einige Funktionen können daher zur Zeit noch nicht genutzt werden.
zts167e	Bitte hab etwas Geduld. Wir tun unser Bestes, um so schnell wie möglich zu helfen.
zts168e	Verstanden.
zts169e	Setze einen ":" vor deine Nachricht, um den Familienchat zu nutzen.
zts170e	Setze ein "%" vor den Befehl, um Familienbefehle im Chatfenster zu verwenden.
zts171e	Wenn du jemanden in deine Familie einladen möchtest, verwende folgenden Befehl: [%Familieneinladung] Charaktername - nur das Familienoberhaupt oder die Familienverwalter können diesen Befehl ausführen.
zts172e	Es gibt zwei verschiedene Möglichkeiten, einen Spieler aus einer Familie zu entfernen: Mithilfe des Befehls "%Familienaustritt" kann ein Mitglied die Familie verlassen. Das Familienoberhaupt kann einen Spieler gegen seinen Willen mit dem Befehl "%Familienentlassung Charaktername" aus der Familie ausschließen.
zts173e	Das Familienoberhaupt und die Familienvertreter können nicht direkt entfernt werden. Jeder, der entfernt wurde, muss drei Tage warten, bevor er eine neue Familie gründen oder einer anderen beitreten kann.
zts174e	Eine Familie braucht neben dem Familienoberhaupt zwei Familienvertreter. Um einen Familienvertreter zu ändern, benutze den Befehl "%Familienvertreter" AktuellerVertreter NeuerVertreter
zts175e	Wenn du die Position des Familienoberhauptes an einen anderen Spieler abgeben möchtest, ist es nötig das dieser auf einer Familienverwalter Position ist. Mit folgendem Befehl kannst du deine Familie übergeben: [%Familienoberhaupt] NeuesOberhaupt
zts176e	Um eine Nachricht für alle Familienmitglieder zu hinterlassen, benutze den Befehl [%Hinweis] für deine Nachricht. Sie werden deine Botschaft erhalten, sobald sie sich ins Spiel einloggen.
zts177e	Auch wenn die Familienverwaltung momentan nicht einfach ist, hoffe ich, dass du gute Erfahrungen mit deiner Gemeinschaft sammeln und viel Spaß haben wirst.
zts178e	Wir werden so bald wie möglich weitere nützliche Funktionen einbauen.
zts179e	NosVille-Training
zts191e	Was möchtest du wissen?
zts192e	Erzähl mir mehr über die Ausbildung.
zts193e	Was sind Basis-Skills?
zts194e	Was ist ein Plus-Skill?
zts195e	Wie kann ich Skills löschen?
zts196e	Bei der Ausbildung erwirbst du verschiedene passive Skills, die deine Fähigkeiten im Kampf permanent verbessern.
zts197e	Natürlich ist diese Ausbildung nicht umsonst, sondern kostet einen bestimmten Goldbetrag. Sobald du einen Beruf gewählt und ein bestimmtes Kampflevel erreicht hast, kannst du am Unterricht teilnehmen.
zts198e	Wie kann ich mein Kampflevel erhöhen?
zts199e	Für jeden Sieg über ein Monster erhältst du Erfahrungspunkte, durch die sich dein Kampflevel erhöht. Die Ausbildung ist in drei Stufen eingeteilt: einfach, mittel und fortgeschritten. Es ist jedoch nicht notwendig, die niedrige Stufe abzuschließen, ehe du mit der mittleren anfangen kannst.
zts200e	Können dadurch Probleme oder Nachteile entstehen?
zts201e	Nein. Es macht keinen großen Unterschied, ob du direkt bei der mittleren Stufe anfängst oder sie der Reihe nach absolvierst.
zts202e	Es wird jedoch für dich einfacher sein, wenn du eine nach der anderen erlernst.
zts203e	Basis-Skills sind jene Fähigkeiten, die du später im Kampf einsetzen wirst.
zts204e	Um einen Basis-Skill erlernen zu können, benötigst du eine bestimmte Menge an CP und an Gold. Außerdem musst du über das dazugehörige Joblevel verfügen.
zts205e	Was meinst du mit CP und Joblevel?
zts206e	Dein Joblevel steigt jedes Mal, wenn du ein Monster erledigst. Mit jeder Steigerung deines Joblevels erhältst du CP, die du brauchst, um Skills zu erlernen.
zts207e	Allerdings wirst du nie über ausreichend CP verfügen, um alle Skills erlernen zu können. Wähle deine Skills daher mit Bedacht.
zts208e	Plus-Skills sind spezielle Skills, die deine Basis-Skills verstärken.
zts209e	Nehmen wir zum Beispiel den Basis-Skill Harter Schlag. Wenn du dazu den Plus-Skill Hinterhältiger Schlag erlernst, wird dieser jedes Mal automatisch mitbenutzt, sobald du einen Harten Schlag ausführst.
zts210e	Ein Skill kann also unterschiedliche Effekte haben, abhängig davon, welchen Plus-Skill man erlernt?
zts211e	Ja, das ist richtig. Du kannst bis zu vier verschiedene Arten an Plus-Skills pro Basis-Skill erlernen.
zts212e	Allerdings musst du dabei mit Bedacht vorgehen, denn du kannst keine Plus-Skills erlernen, die dasselbe Symbol haben. In der unteren rechten Ecke deiner Skills kannst du Symbole wie Kreise oder Quadrate sehen.
zts213e	Welche Bedeutung haben diese Symbole?
zts214e	Wenn du dein Skill-Fenster öffnest, siehst du dort verschiedene Slots mit unterschiedlichen Symbolen. Diese Symbole zeigen dir an, in welchem Slot du einen Skill ablegen musst.
zts215e	Ich verstehe. Der Plus-Skill muss das gleiche Symbol haben wie der zugehörige Slot. Deshalb kann ich auch nur eine Art Plus-Skill pro Symbol erlernen.
zts216e	Erlernst du einen Plus-Skill mit einem bereits belegten Symbol, wird der alte Skill dabei überschrieben. Aber du musst dir keine Sorgen machen. In einem solchen Fall wirst du eine Warnung erhalten.
zts217e	Solltest du für einen erlernten Skill keine Verwendung mehr haben oder die bereits verbrauchten CP benötigen, um einen anderen Skill zu erlernen, kannst du den erlernten Skill auch löschen.
zts218e	Dazu musst du lediglich den zu löschenden Skill mittels Doppelklick auswählen, während du dich im Menü zum Erlernen von Skills befindest.
zts219e	Wenn du einen Skill löschst, erhältst du dafür die beim Erlernen des Skills verbrauchten CP zurück. Allerdings muss du zum Löschen eines Skills den gleichen Goldbetrag zahlen, den das Erlernen gekostet hat.
zts220e	Allerdings können Basis-Skills erst dann gelöscht werden, wenn zuvor alle zugehörigen Plus-Skills gelöscht wurden.
zts221e	Skills, die du im Rahmen der Ausbildung erlernt hast, können nicht gelöscht werden. Da sie dich keine CP gekostet haben, verlierst du damit allerdings auch nichts.
zts222e	Alchemieverband
zts233e	NosVille-Markt
zts257e	Modeladen
zts266e	Okay, sag es mir.
zts267e	Erzähl mir was über die Accessoires.
zts268e	Accessoires vervollständigen die Kleidung und zeigen zugleich den sozialen Status des Trägers.
zts269e	Aber vermutlich interessierst du dich eher für ihren praktischen Nutzen.
zts270e	Accessoires verfügen über erstaunliche magische Kräfte. Man könnte es so erklären, dass die Magie beim Schmelzvorgang in die einzelnen Teile mit eingeflossen ist.
zts271e	Zudem haben sie auch Optionsslots, mit Hilfe derer man ihnen weitere Kräfte hinzufügen kann.
zts272e	Ja? Kannst du mir das genauer erklären?
zts273e	Ha! Wusste ich doch, dass dich dieser Teil interessiert! Okay, ich werde es dir erzählen.
zts274e	Accessoires haben sogenannte Optionsslots und Optionslevel.
zts275e	Die Optionsslots zeigen an, wie viele Optionen du nutzen kannst. Das Optionslevel gibt an, bis zu welchem Level dies möglich ist. Kannst du mir soweit folgen?
zts276e	Ja ... Aber wie kann ich eine Option hinzufügen?
zts277e	Dafür benötigst du einen Cellon. Cellons sind funkelnde Edelsteine.
zts278e	Das Level des Cellon ist für das Level der Option entscheidend. Je höher das Level des Cellon, desto besser ist es.
zts279e	Oh, du kannst dir allerdings nicht aussuchen, welche Option du nutzt. Das alles hängt von deinem Schicksal und von deinem Glück ab.
zts280e	Wo bekomme ich Cellons?
zts281e	Cellon kann durch die Veredelung von Gillionsteinen gewonnen werden. Allerdings braucht man dafür einen Cellonveredler.
zts282e	Den Veredler kannst du beim Alchemieverband erwerben.
zts283e	Zeitkreis (NosVille)
zts285e	Betrete die unbegrenzte individuelle Arena!
zts286e	Betrete die unbegrenzte Familienarena!
zts287e	Betrachte die Liste der Zeitkreise.
zts290e	An welchen Ort möchtest du reisen?
zts291e	Westlicher Mount Krem (1.000 Gold)
zts292e	Manysales (Kovoltstadt)
zts294e	Marys Luxusartikel
zts297e	Krawumm-Baubüro (Kovoltstadt)
zts299e	Einkaufsladen (Kovoltstadt)
zts301e	Zeitkreis (Koaren)
zts304e	NosVille (0 Gold)
zts305e	Geh zum Zeitkreis.
zts306e	Betrete direkt die Arena und den Zeitkreis!
zts307e	Akt 1 - Intro
zts308e	Akt 1 - Der Fernonbaum
zts309e	Aufgepasst, Abenteurer! Ich gebe dir nun deine erste Mission:
zts310e	Beende den Aufstand der Kovolts!
zts311e	Die Lage spitzt sich mit jedem Tag weiter zu und wird zu einem Krieg führen, wenn niemand etwas tut.
zts312e	Um das zu verhindern, brauchen wir wahre Helden!
zts313e	Ein neuer Feind taucht auf und versucht, dich aufzuhalten.
zts314e	Die Wiederauferstehung des Fernonbaumes kann die ganze Welt in den Abgrund stürzen!
zts315e	Bist du bereit, dieses Abenteuer zu bestreiten?
zts316e	Doch das ist erst der Anfang ...
zts317e	Pass gut auf! Dir stehen viele Abenteuer bevor!
zts318e	Akt 2 - Intro
zts319e	Gemeinsam konnten wir die Krise überwinden.
zts320e	Doch es ist noch lange nicht vorbei! Der Fernonbaum kann jederzeit erwachen und niemand kann vorhersagen, wann.
zts321e	Der mysteriöse Stamm der Catsy bewahrt seit jeher das Siegel des Fernonbaumes auf.
zts322e	Doch seit Jahrhunderten sind der Stamm der Kovolt und der Catsy verfeindet.
zts323e	Sollten sie erneut anfangen zu kämpfen, könnte das zu einem furchtbaren Krieg führen.
zts324e	Die Krise ist längst noch nicht überstanden!
zts325e	Es zeichnet sich eine neue Katastrophe ab! Um diese abzuwenden, wirst du viele neue Abenteuer bestreiten müssen.
zts326e	Akt 2 - Die Wiederauferstehung der Teufel
zts327e	Mach dich bereit!
zts328e	NosVille-NPC-Dialog
zts329e	Du bist doch der Neuling, oder?
zts330e	Ja und ich werde auf jeden Fall mein Bestes geben!
zts331e	Du bist mutig ... Aber sei gewarnt, es wird nicht immer alles nach Plan laufen!
zts332e	Was meinst du? Werden die Kovolts angreifen?
zts333e	Naja ... Die fürchterlichen Arbeitsbedingungen und ... es ist alles so schlimm ...
zts334e	Pah! Wahrscheinlich hast du sie nicht richtig behandelt! Soll ich ihnen mal Manieren beibringen?
zts335e	Haha ... Ja ... Aber wir brauchen mehr Informationen ...
zts336e	Was denn für Informationen?! Diese faulen Hunde wollen doch nur herum jammern!
zts337e	Diese Kovolts ... Ihr Aufstand ist heftiger als gedacht, oder?
zts338e	Nun ... die Welt scheint im Chaos zu versinken ... Das ist ein riesiges Problem!
zts339e	Aber offenbar ... gibt es dafür Gründe ...
zts340e	Welche Gründe?! Diese Einfaltspinsel haben schlicht die Angewohnheit, sich ständig zu beklagen!
zts341e	Wird dieser Krieg je enden?
zts342e	Wer wird im Kampf zwischen den Menschen und den Kovolts siegreich sein?
zts343e	Wie konnte diese Angelegenheit so einfach gelöst werden? Ich hätte die Kovolts nicht für so inkompetent gehalten.
zts344e	Ich hätte nie erwartet, dass der Krieg so einfach endet ... Wer hätte gedacht, dass die Kovolts interne Probleme haben könnten?
zts345e	Was wird nun passieren? Vor lauter Sorgen kann ich kaum noch schlafen.
zts346e	Wir können jetzt nicht aufgeben! Wir müssen bis zum Ende unser Bestes geben!
zts347e	Nein! Es gibt nichts, was wir noch tun könnten. Sie sind viel stärker als wir!
zts348e	Sie mich an! Wieso musste ich das alles durchmachen? Warum musste ich so leiden?
zts349e	Schön dich zu sehen! Wie geht es dir?
zts350e	Hallo! Du solltest auf deinen Abenteuern nicht jedem vertrauen. Ich wünsche dir alles Gute!
zts351e	Bitte, ich flehe dich an! Kämpfe weiterhin für unser Dorf!
zts352e	Ein Streik? Verdammt ... Hoffentlich ist nichts Schlimmes passiert ...
zts353e	Die Besorgnis nimmt immer mehr zu ... Doch lasst uns nicht den Mut verlieren.
zts354e	Was für eine schreckliche Situation!
zts355e	Danke für deine harte Arbeit.
zts356e	Das deprimiert mich ... Ich möchte nicht darüber reden!
zts357e	Ausgezeichnet! Du bist mein Held!
zts358e	Du erinnerst mich an meine Kindheit.
zts359e	Wie war ich denn damals eigentlich so? War ich auch so dumm wie du? Hahahaha ...
zts360e	Möchtest du eine lustige Geschichte hören? *kicher*
zts361e	Also, einmal im Ferienlager ...
zts362e	*kicher*
zts363e	Es ist so lustig, dass ich es dir jetzt nicht mehr erzählen kann!
zts364e	Willkommen zurück! Erinnerst du dich noch an das, was ich dir beim letzten Mal erzählen wollte?
zts365e	Ich kann es dir jetzt erzählen. Diesmal werde ich mein Lachen zurückhalten.
zts366e	Es ist ...
zts367e	Vor langer, langer Zeit lebte ein Hamster mit Dornen ...
zts368e	...
zts369e	Pfff ...
zts370e	Pfff ... Hahahahaha ... Es ist so lustig, wie der dornige Hamster dorthin gekommen ist! Hahahahaha!!!
zts371e	Ich werde dir die Geschichte ein anderes Mal weitererzählen. Hahahaha ...
zts372e	Verliere niemals deinen Mut, ganz gleich, welch finstere Zeiten dir bevorstehen!
zts373e	Um unsere Stimmung zu heben, werde ich dir jetzt eine wirklich witzige Geschichte erzählen!
zts374e	Hey! Warum gehst du weg? Willst du meine Geschichte denn nicht zu Ende hören?
zts375e	Hey ...
zts376e	Eine witzige Geschichte? Bist du sicher, dass du mir diese Geschichte jetzt erzählen willst?
zts377e	Danke, dass du so nett zu mir bist! Im Gegenzug für deine Freundlichkeit werde ich dir nun eine lustige Geschichte erzählen ... Hey! Wo gehst du hin?
zts378e	Heute habe ich eine besondere Geschichte parat. Sie handelt von Lanetan und dem Fernonbaum.
zts379e	Wenn sie explodieren, sind sie dann automatisch zu Kartoffelchips? Hahahaha ...
zts380e	Muhahahaha ...
zts381e	Verdammt! Das ist nicht lustig! Soll ich hier etwa sterben?!
zts382e	Hallihallo! Da fällt mir gerade eine witzige Geschichte ein!
zts383e	Was passiert, wenn ein Lanetan explodiert?
zts384e	Die Antwortet lautet:
zts385e	Sie verwandeln sich automatisch in Kartoffelchips! Ist das nicht witzig? Hahahaha ...
zts386e	Da ist mein bester Witz! Hahahaha ...
zts387e	Hey! Wenn du der Neuling bist, dann musst du dich benehmen! Und du musst schnell sein!
zts388e	Komm schon ... Warum trödelst du so? Los! Schneller!
zts389e	Dreckige Kovolts! Laute Kovolts!
zts390e	Das war ein Tag!
zts391e	Und was passiert jetzt mit NosVille?
zts392e	Wir werden alle sterben! Das ist das Ende! Wir sind erledigt!
zts393e	Komm herein! Niemand wird mir glauben, dass wir beide befreundet sind! Gib mir bitte ein Autogramm als Beweis.
zts394e	Das Wetter ist wunderbar und ich muss nicht arbeiten ... Ahhh, das ist das wahre Leben!
zts395e	Warum hast du dich dem NosCamp angeschlossen? Es ist noch nicht zu spät, Lord Cuarrys Rittern beizutreten ...
zts396e	Hör auf zu jammern! Verschwinde! Ich muss herausfinden, ob die Patrouille kommt.
zts397e	Ich bin so verärgert! Warum um alles in der Welt müssen die ausgerechnet jetzt streiken?!
zts398e	Unternehme endlich was! Ist das nicht deine Aufgabe?
zts399e	Diese Kovolts ... Sie sind so laut!
zts400e	Gute Arbeit!!
zts401e	Zu allem Unglück könnte es auch noch einen Krieg geben!
zts402e	Wie können die Kovolts es wagen, gegen die Menschen zu kämpfen?! Haha!!
zts403e	Sag nichts. Mein Leben ist vorbei.
zts404e	Loyalität! Alles ist okay!
zts405e	Unterhaltung mit Schluri
zts406e	Angeblich sind einige Abenteurer nicht zurückgekehrt. Sie werden immer noch vermisst ... Ich wünsche dir auf jeden Fall viel Glück!
zts407e	Oh, du bist ja noch am Leben?! Dann war es wohl doch nicht so schlimm ... Wie dem auch sei, ich wünsche dir natürlich alles Gute!
zts408e	Ich habe gehört, dass du besser bist als die anderen Abenteurer. Du solltest deswegen aber nicht arrogant werden, okay?
zts409e	Was? Du solltest doch kein großes Aufsehen darum machen, oder? Naja, wie dem auch sei ...
zts410e	Das Schwert des Abenteurers hat die Seriennummer NTR40U-10X. Es weist ein hervorragendes Preis-Leistungs-Verhältnis auf. Deshalb hat Teoman Topp die Produktion eingestellt.
zts411e	Zum Polieren deines Schwertes empfehlen wir dir einen Lappen aus Polyester. Diese Lappen sind dafür bekannt, eine kühlende Wirkung auf die Klinge zu haben.
zts412e	Wenn du einem Gegner in Lederrüstung begegnest, hebe dein Schwert und führe es in einem Winkel von 36,5 Grad nach unten. Unsere Untersuchungen haben ergeben, dass das Leder unter diesem Winkel besonders leicht aufgetrennt werden kann.
zts413e	Es gibt zwei Arten von Bogensehnen: Die erste Variante besteht aus drei Sehnen, die 20-mal miteinander verdrillt werden, während die zweite Variante fünf Sehnen umfasst, die 40-mal miteinander verdrillt werden. Angeblich reduziert der zweite Typ den Druck auf die Finger um 0,2%, doch keiner spürt diesen Unterschied.
zts414e	Diese Ausrüstung? Mann, hättest du sie gekauft, als du die anderen Werkzeuge erworben hast, hättest du ein Geschenk bekommen.
zts415e	Unterhaltung mit Minenmanager Mudog
zts416e	Die Minen von Lord Cuarry produzieren die größte Menge an Gillionsteinen in dieser Gegend. Die Leute profitieren davon.
zts417e	Manchmal beißt ein Hund seinen Meister.
zts418e	Diese Kovolts! Ich könnte auf diese Art kein langes Leben führen.
zts419e	In was für einer Welt leben wir nur ... Ein Krieg gegen die Kovolts ... Haha ...
zts420e	Ist jetzt die richtige Zeit, um sich zurückzulehnen und zu entspannen? Ich wusste, dass die Kovolts etwas im Schilde führen.
zts421e	Hicks! Ich trinke, um meine Sorgen zu ertränken. In meinem Leben gibt es keinen Spaß mehr. Fernons verdammte Wurzeln werden uns nicht töten, oder? Hicks!
zts422e	Die Kovolt haben auch schwer gearbeitet. Vor ein paar Tagen hat Lord Cuarry einen guten Bergmann belohnt. Die Missverständnisse wurden geklärt. Ist das nicht super?
zts423e	Manager am Mineneingang
zts424e	Abenteurer! Ich weiß, es klingt lächerlich, aber die Kovolts haben mich aus der Mine geworfen!
zts425e	Warum verhalten sie sich so?
zts426e	Ist es nicht deine Aufgabe, dich darum zu kümmern, Abenteurer? Mach was!
zts427e	Was? Streik? Wovon reden die überhaupt?
zts428e	Sie haben nicht Nichts gemacht. Warum sagen sie das? Ich hasse es, mit den Kovolts zusammenzuleben!!
zts429e	Was? Ein Krieg? Hahahahaha ... Muhahahahahahaha!!!
zts430e	Siehst du? Ich wusste, dass das passieren würde. Krieg? Denk nicht mal dran!!!
zts431e	Was für ein Ärger! Wer soll das nur wieder in Ordnung bringen?
zts432e	Ich habe meine Kovolt-Freunde in letzter Zeit nicht allzu gut behandelt. Ich werde ihnen gegenüber wieder etwas großzügiger sein ...
zts433e	Koaren-Wache 1
zts434e	*wuff* Warum kommt ihr Menschen hierher?!
zts435e	Komm näher, Mensch! Du bist unser Freund!
zts436e	Koaren-Wache 2
zts437e	Der Anfang ist gemacht. Vielen Dank dafür!
zts438e	Koaren-Wache 3
zts439e	Die Koaren sind sehr wütend! Die Kenkos sind erledigt!
zts440e	Koaren-Wache 4
zts441e	Menschen! Der Krieg ist beendet! *wuff*
zts442e	Koaren-Ober-Bergmann
zts443e	Die anderen Bergmänner haben mir bereits viel von dir erzählt. Vielen Dank für deine Hilfe.
zts444e	Koaren-Bergmann
zts445e	Lasst uns hart arbeiten! Los! *wuff*
zts446e	Pop-up des privaten Shops
zts447e	Nutze den Shop!
zts604e	Abenteurertraining für Anfänger
zts605e	Du musst immer weiter trainieren, um deine Abenteurer-Skills zu verbessern. Training ist der Schlüssel zum Erfolg!
zts606e	Je schneller du deine Ziele erreichst, umso mehr Unterstützung kann ich dir dabei geben.
zts607e	Nichts.
zts608e	Gute Arbeit. Ich hoffe, dass du dich weiterhin so schnell entwickeln wirst.
zts609e	Beschütze NosVille 1 (Start)
zts610e	In der Umgebung der Stadt gibt so viele bösartige Pflanzen und Tiere! Unter diesen Umständen wagt es keiner, in die Stadt zu reisen.
zts611e	Wie wäre es, wenn sich das NosCamp etwas aktiver einsetzen würde? Wir brauchen mutige Abenteurer wie dich, um die Stadt zu retten!
zts612e	Beschütze NosVille 1 (Abgeschlossen)
zts614e	Beschütze NosVille 1 (Start)
zts615e	Die Kovolts sorgen ständig für Probleme und die Umgebung der Stadt wird auch zusehends gefährlicher.
zts616e	Um diese Angelegenheit können sich nur Abenteurer vom NosCamp kümmern. Bitte hilf den Bewohnern von NosVille.
