zts1e	Teo's Tool Shop
zts49e	Ha! No, he's pretty lazy. He is also very careless. I don't trust him and wouldn't give him any jobs.
zts50e	Oh, by the way...
zts51e	I heard that he has been doing something very strange with the equipment. Do not be fooled by his mysterious behaviour.
zts52e	Really? Okay, I will take your advice.
zts53e	Teo's Tool Shop
zts62e	What can I use as a wager?
zts64e	If you have any weapons or armour that don't have any unique properties, then show them to me!
zts65e	I will use my divine powers to craft a rare item for you.
zts66e	Really? Are you sure? But why is it called a bet?
zts67e	Ah, that's because I occasionally make mistakes. That's why I can't guarantee the safety of the items.
zts68e	Really? I don't understand.
zts69e	Well, it doesn't happen often. And the chances of success are even better with a negative rarity level!
zts70e	What happens if the rarity level is high?
zts71e	To be honest, I'm not really sure...
zts72e	As long as the item doesn't disappear when I touch it, it will receive a rarity level between 1 and 7.
zts74e	NosCamp Info
zts101e	End Dialogue
zts102e	What do you want to know?
zts104e	What's the difference between a standard mission and a record mission in Time-Spaces?
zts119e	There's basically only one difference. When you start a mission, your score is based on your performance.
zts120e	When you select a record mission, you attempt to beat the highest score any adventurer has set in the Time-Space.
zts121e	What's the point of challenging the record? I don't see any benefit...
zts122e	If you manage to break the record, your name will appear on the Time-Space Stone for all players to see. Isn't that awesome?
zts123e	Rumour has it that Lord Cuarry is going to give large rewards to the players with the highest scores sometime in the future. And as an adventurer, your reputation is really important after all, right?
zts124e	Don't you think everyone will go trying to break the records to get their names written large on the Time-Space Stones?
zts125e	Well, challenging the record isn't free. It costs a certain amount of gold to make a challenge. If you aren't confident about being able to break the record, it would be a waste of time and money.
zts126e	So think carefully before challenging any records.
zts127e	If you aren't interested, there's no need to attempt to break any records.
zts128e	Of course there is! Why are you behaving like such a coward? If you're a real adventurer, then take the challenge! It's what any brave adventurer would do.
zts129e	Okay, I understand. I'll think about it.
zts130e	May you have many wonderful adventures!
zts131e	Which profession do you want to learn?
zts132e	Swordsman. I want to be a master of melee combat.
zts133e	Archer. I want to be a quick shot.
zts134e	Mage. I want to dominate the battlefield with magical powers.
zts135e	Once you change your profession, you can no longer use your Adventurer's equipment.
zts136e	You should therefore remove all your equipped gear first. Instead, we will give you equipment that suits your new profession. Is that okay with you?
zts137e	How good is the new equipment?
zts138e	The equipment is quite good and will certainly prove useful to you in your new profession.
zts139e	Okay, I understand.
zts140e	Lord Cuarry is no longer supporting us and we've been left to pay the costs.
zts141e	Do you want to change your profession?
zts142e	Yes, I want to change my profession.
zts143e	No, I will come back later.
zts156e	A family is a community which you can form with other NosTale players. Be there for one another and share your greatest joys and terrible sorrows! That's what family is all about!
zts157e	How can I help you?
zts158e	I want to start a family.
zts159e	I want to disband my family.
zts160e	What do you need to start a family?
zts161e	What commands can I use to manage my family?
zts162e	Thanks for your help. See you later!
zts163e	In order to found a family, you require three adventurers who have chosen a profession and completed Act 1-1.
zts164e	These three players must be together in the same party. One of them should then come and talk to me with the necessary fee. Founding a family costs a one-time payment of 200,000 gold.
zts165e	They then need to provide a name for the family. The player who applies to found the family and pays the fee becomes the Family Head. The other two party members become Family Deputies.
zts166e	Also, I must apologise, but the family menu isn't complete yet, and certain functions are currently unavailable.
zts167e	Please be patient. We are doing our best to help you as quickly as possible.
zts168e	Okay, I understand.
zts169e	Place a colon (:) in front of your message to use the family chat.
zts170e	Place a percentage sign (%) in front of commands to use family commands in the chat box.
zts171e	If you want to invite someone to your family, the Family Head or Family Keepers can type %Familyinvite followed by the character name.
zts172e	There are two ways for a player to leave a family. The player can type the command %Familyleave to leave the family voluntarily. Or the Family Head can kick them from the family with the command %Familydismiss followed by the character name.
zts173e	The Family Head and Family Deputies cannot be removed directly. Each person removed from a family must wait three days before they can join or found a new family.
zts174e	A family needs a Family Head and two Family Deputies. To change the Family Deputies, use the command: %Familydeputy CurrentDeputy NewDeputy
zts175e	If you want to pass on the position of Family Head to another player, they must first be in the position of a Family Keeper. You can then pass on the family with the following command: %Familyhead NewCharacterName
zts176e	Send messages to all family members using the command: %Notice yourMessage. They will receive your message as soon as they log into the game.
zts177e	Even though the family system isn't perfect yet, I hope you have lots of fun and enjoy the experience with your family members.
zts178e	We will add more useful functions as soon as possible.
zts179e	NosVille Training
zts191e	What do you want to know?
zts192e	Tell me more about training.
zts193e	What are basic skills?
zts194e	What are plus skills?
zts195e	How can I delete skills?
zts196e	You can use training to learn a variety of passive skills which permanently increase your abilities in combat.
zts197e	Training isn't free, of course, but costs a certain amount of gold. As soon as you have chosen a profession and reached a certain combat level, you can take a course.
zts198e	How can I improve my combat level?
zts199e	Every time you defeat a monster, you receive experience which increases your combat level. Training is divided into three levels: basic, intermediate and expert. However, it isn't necessary to complete the lower level before continuing with intermediate.
zts200e	Are there any problems or disadvantages associated with this?
zts201e	No. It doesn't really make any difference whether you take the training in order or start with the middle level.
zts202e	However, it will be easier for you if you learn them in order.
zts203e	Basic skills are those which you later use in combat.
zts204e	Learning basic skills requires a certain amount of gold and CP. You also have to reach the corresponding job level.
zts205e	What do you mean by CP and job level?
zts206e	Your job level steadily improves when you kill monsters. Each time your job level increases, you receive CP, which are required for learning skills.
zts207e	However you will never have enough CP to unlock and learn every skill. Choose your skills wisely!
zts208e	Plus skills are special skills which improve your basic skills.
zts209e	For example, take the basic skill Strong Hit. If you learn the plus skill Devious Strike as well, this will automatically be used every time you carry out a Strong Hit.
zts210e	So the same skill can have different effects depending on which plus skill you learn?
zts211e	Yes, exactly. You can learn up to four different types of plus skill for each basic skill.
zts212e	There is however one restriction, and that being you cannot learn two plus skills bearing the same symbol. These symbols look like squares and circles and can be found in the bottom-right corner of the skills.
zts213e	What do those symbols mean?
zts214e	If you look in the skill window, you can see various slots with different symbols. These signs correspond to the slot where you must place a skill.
zts215e	I see. Plus skills must go into the same slot as the symbol they possess, which is why you can only learn one type of plus skill per symbol.
zts216e	If you learn a plus skill with a symbol that has already been occupied, the previous skill will be overwritten. Don't worry though. If you try to do this accidentally, you will receive a warning first.
zts217e	If you no longer use a skill you have learned or need the CP to learn another skill, you can always delete the existing skill.
zts218e	To delete an existing skill, double-click the skill you wish to delete in the skill learning window.
zts219e	When you delete a skill, the CP that you spent on that skill will be refunded. However, you must pay the same fee in gold which you needed to learn the skill in the first place.
zts220e	However, you can only delete basic skills once you have removed all related plus skills.
zts221e	Skills learned through training cannot be deleted. However, since they don't cost any CP, you don't lose anything either.
zts222e	Alchemy Association
zts233e	NosVille Market
zts257e	Fashion Boutique
zts266e	Okay, tell me.
zts267e	Tell me something about accessories.
zts268e	Accessories complement your outfit and are also an indication of your social standing.
zts269e	But I guess you're more interested in their practical uses.
zts270e	Accessories have surprising magical powers. You could say that magic seeped into the individual accessories when they were created.
zts271e	They also feature option slots which can be used to give them additional powers.
zts272e	Oh really? Could you explain that to me in more detail?
zts273e	Ha! I knew that bit would whet your appetite! Okay, let me tell you some more.
zts274e	Accessories have what are known as option slots and option levels.
zts275e	The number of options you can use is dictated by the number of slots. Meanwhile the option level indicates up to which level this is possible. Are you with me so far?
zts276e	I think so... but how can I add an option?
zts277e	You will need a Cellon to add an option. Cellons are special shiny gemstones.
zts278e	The level of Cellon you use is important for the level of the option. The higher the level of the Cellon, the better it is.
zts279e	Ah, but you cannot choose which option you end up using. That is decided by fate and fortune alone.
zts280e	Where can I get Cellons?
zts281e	Cellons can be obtained by refining Gillion Stones. This process requires a Cellon Refiner.
zts282e	The Refiner can be purchased from the Alchemy Association.
zts283e	Time Circle (NosVille)
zts285e	Enter the Unlimited Individual Arena!
zts286e	Enter the Unlimited Family Arena!
zts287e	View the Time Circle List
zts290e	Where do you wish to travel?
zts291e	Western Mount Krem (1,000 Gold)
zts292e	Manysales (Kovolt Town)
zts294e	Mary's Luxury Goods
zts297e	Kerbang Construction Office (Kovolt Town)
zts299e	Shop (Kovolt Town)
zts301e	Time Circle (Koaren)
zts304e	NosVille (0 Gold)
zts305e	Go to Time Circle.
zts306e	Join the Arena and the Time Circle directly!
zts307e	Act 1 - Intro
zts308e	Act 1 - The Tree of Fernon
zts309e	Listen up, adventurer! I will give you your first mission:
zts310e	Put a stop to the Kovolt riot!
zts311e	The situation is getting worse day by day. This will only escalate into a war if we don't do something.
zts312e	We need some real heroes to make sure that doesn't happen!
zts313e	A new enemy appears and tries to stop you.
zts314e	The resurrection of the Fernon Tree could throw the whole world into chaos!
zts315e	Are you ready to take on this adventure?
zts316e	But this is just the beginning...
zts317e	Keep your wits about you. Many great adventures await!
zts318e	Act 2 - Intro
zts319e	Together we were able to overcome the crisis.
zts320e	But it is far from over yet! The Tree of Fernon may wake at any moment, but no one can say exactly when.
zts321e	Since time immemorial, the mysterious Catsy tribe has safeguarded the seal of the Fernon tree.
zts322e	However, the Kovolts and Catsies have been enemies for centuries.
zts323e	If they start fighting again, it will end in a terrible war.
zts324e	The crisis is far from over!
zts325e	A new crisis is brewing on the horizon, and you'll have to go on many more adventures to avert it!
zts326e	Act 2 - The Resurrection of the Devils
zts327e	Get ready!
zts328e	NosVille NPC Conversation
zts329e	You're the rookie, aren't you?
zts330e	Yes. However, I will do my best!
zts331e	You have courage, but be warned that things don't always go as planned.
zts332e	What do you mean? Are the Kovolts going to attack?
zts333e	Well, the working conditions are terrible... the situation is dire...
zts334e	Bah! You probably didn't treat them properly! Shall I teach them some manners?
zts335e	Haha... You could do... but we need some more information.
zts336e	What sort of information? Those lazy dogs are only going to moan again!
zts337e	The Kovolts are protesting more severely than we thought, right?
zts338e	Meanwhile the world seems to be slipping into chaos. It's a massive problem!
zts339e	But it seems there must be good reasons for it.
zts340e	What reasons? Those simpletons just love complaining all the time!
zts341e	Will this war ever end?
zts342e	Who will win out in the war between the humans and the Kovolts?
zts343e	How did the situation get resolved so easily? I didn't think the Kovolts were so incompetent.
zts344e	I never expected the war could end so easily. Who would have thought that the Kovolt could have internal troubles?
zts345e	What will happen now? I'm so worried I can barely sleep.
zts346e	We can't give up now. We have to give our all to the very last!
zts347e	No! There is nothing more we can do now. They're much stronger than us!
zts348e	Look at me! Why did I have to go through all this? Why did I have to suffer so much?
zts349e	Great to see you! How's it going?
zts350e	Hello! Be careful who you trust on your adventures. I wish you all the best!
zts351e	Please! I beg you! Keep fighting for our village!
zts352e	A strike? Damn! I hope nothing bad happens...
zts353e	There is a growing sense of worry. Let's keep our spirits up though.
zts354e	What a terrible situation!
zts355e	Thanks for your hard work.
zts356e	It's so depressing... I don't want to talk about it!
zts357e	Excellent! You are my hero!
zts358e	You remind me of my childhood.
zts359e	What was I like back then? Was I really as foolish as you? Hahahaha!
zts360e	Do you want to hear a funny story? *giggle*
zts361e	Okay, this one time, at band camp...
zts362e	*giggle*
zts363e	Oh god, it's so funny I can't tell you any more now!
zts364e	Welcome back! Do you remember what I was going to tell you about the other day?
zts365e	Well I can tell you now. I'm sure I'll be able to hold back my laughter this time.
zts366e	It was like this...
zts367e	A long time ago there was a hamster with thorns...
zts368e	...
zts369e	Pfff...
zts370e	Pfff... hahahaha... aaah, it's so funny how that thorny hamster got there! Hahahahaha!!!
zts371e	Well, I'll continue the story some other time. Hahaha...
zts372e	Don't lose heart, no matter how difficult the times ahead look!
zts373e	To keep our spirits up, let me tell you a really funny story!
zts374e	Hey! Where are you going? Don't you want to hear the rest of my story?
zts375e	Hey...
zts376e	A funny story, eh? Are you sure you want to tell me that story now?
zts377e	Thank you for being so nice to me! To return your kindness, let me tell you a funny... Hey! Where are you going?
zts378e	Today, I've got a special story ready for you, a story about Lanetan and the Tree of Fernon.
zts379e	If they blow up, do they immediately turn into crisps? Hahaha...
zts380e	Mwuhahaha...
zts381e	Damn it! That isn't funny! What if I were to die?!
zts382e	Well hello! That reminds me of a funny story!
zts383e	What happens when a Lanetan explodes?
zts384e	Give up? The answer is...
zts385e	It turns into crisps! Isn't that hilarious? Hahaha...!
zts386e	That's my funniest joke ever! Hahaha...
zts387e	Hey, if you are just a rookie, you need to behave yourself. And you need to be quick!
zts388e	Come on... why are you dawdling? Get a move on! Chop chop!
zts389e	Filthy, noisy Kovolts!
zts390e	What a day!
zts391e	What will happen to NosVille now?
zts392e	We're all going to die! This is the end! We're finished!
zts393e	Come in! No one will believe me when I tell them that the two of us are friends. Give me your autograph so I can prove it!
zts394e	The weather is beautiful and I don't have to do any work. Ah, this is the life!
zts395e	Why haven't you joined the NosCamp? It isn't too late to join Lord Cuarry's Knights...
zts396e	Stop whining! Be gone with you! I need to find out if the patrol is coming.
zts397e	I am so annoyed! Why of all times must the Kovolts decide to go on strike now?!
zts398e	Do something for god's sakes! Isn't this your duty?
zts399e	Kovolts! Such noisy creatures!
zts400e	Great job!
zts401e	To make matters worse, this might even end in war!
zts402e	How dare the Kovolts start fighting against the humans?! Haha!
zts403e	Don't say anything. My life is over!
zts404e	Loyalty! Everything is fine!
zts405e	Conversation with Slugg
zts406e	I've heard that some adventurers haven't returned from their adventures. They are still missing... Anyway, I wish you good luck!
zts407e	Wow, you're still alive?! I guess it wasn't all that difficult then... Whatever the case, I wish you all the best!
zts408e	I heard that you're better than the other adventurers. Don't let that go to your head though, okay?
zts409e	What? You shouldn't be making a big fuss about that. Well, anyway...
zts410e	The Adventurer's Sword bears the serial number NTR40U-10X. It offers some serious bang for your buck, which is why Teoman Topp has stopped making them.
zts411e	We recommend you up use polyester cloth for polishing your sword, as the polyester produces cooling effects on the blade.
zts412e	When you find yourself facing an enemy in leather armour, lift your sword and bring it down at an angle of 36.5 degrees. Our tests have shown that this is the optimal angle for slicing through leather.
zts413e	There are two types of bow strings. The first type is made out of three strands twisted together twenty times. The second variety comprises five strands which are twisted together forty times. According to our research, the second type reduces the stress on the fingers by 0.2%, but nobody really feels the difference.
zts414e	This gear? Bah, if you'd bought this when you bought the other tools, you'd have earned yourself a free gift.
zts415e	Conversation with Mine Manager Mudog
zts416e	Lord Cuarry's mines produce the largest volumes of Gillion Stones in the area. Everyone benefits from the industry.
zts417e	Sometimes dogs bite the hand which feeds.
zts418e	Kovolts! I wouldn't last long leading a life like theirs.
zts419e	What kind of mad world are we living in nowadays? War with the Kovolts? Madness...
zts420e	Is this really the right time to sit back and relax? I knew the Kovolts had something sneaky up their sleeves.
zts421e	*hic* I got drunk to drown my sorrows. There is no joy in my life any more. Fernon's rotten roots won't kill us, will they? *hic*
zts422e	The Kovolts worked hard too. A few days ago, Lord Cuarry rewarded a good Kovolt miner. The misunderstandings have been cleared up. Isn't that great?
zts423e	Manager at Mine Entrance
zts424e	Adventurer! I know it sounds ridiculous... but the Kovolts have thrown me out of the mines!
zts425e	Why are they acting like this?
zts426e	Isn't it your job to handle things like this, Adventurer? Do something!
zts427e	What? A strike? What are they rambling on about?
zts428e	They didn't exactly do nothing. Why do they say that? I hate having to live together with these Kovolts!
zts429e	What? A war? Hahaha... mwahahahaha!!!
zts430e	See? I knew this would happen. War? Even don't dream about it!
zts431e	What a disaster! Who's going to clear up after this mess?
zts432e	I've been treating my Kovolt friends pretty badly recently. I will try to be more generous toward them...
zts433e	Koaren Guard 1
zts434e	*woof* What do you human beings want here?
zts435e	Come closer, human! You are our friend!
zts436e	Koaren Guard 2
zts437e	This is the beginning. Thank you!
zts438e	Koaren Guard 3
zts439e	The Koarens are very angry! The Kenkos are finished!
zts440e	Koaren Guard 4
zts441e	Humans! The war is over! *woof*
zts442e	Koaren Chief Miner
zts443e	I've heard much about you from the other miners. Thanks for your help.
zts444e	Koaren Miner
zts445e	Let's put our backs into it! Back to work! *woof*
zts446e	Private Shop Pop-up
zts447e	Use the shop!
zts604e	Adventurer Training for Rookies
zts605e	You have to constantly train to improve your adventuring skills. Training is the key to success!
zts606e	The quick you accomplish yours goal, the more support I can give you along the way.
zts607e	Nothing.
zts608e	Great job! I hope you continue to improve with the same speed.
zts609e	Protect NosVille 1 (Start)
zts610e	There are so many nasty plants and animals near the town! No one dares visit the town when it's like this.
zts611e	Why isn't the NosCamp a little more proactive? We need brave adventurers like you to rescue the town!
zts612e	Protect NosVille 1 (Completed)
zts614e	Protect NosVille 1 (Start)
zts615e	People have a lot of problems with the Kovolts and the area around the town is becoming ever more dangerous.
zts616e	The NosCamp adventurers should deal with this. Please help the people of NosVille!
zts617e	Protect NosVille 2 (Completed)
zts618e	You did a great job, thanks for your help. I hope we can rely on your support again in the future.
zts619e	Temple Mission 1 (Start)
zts620e	We can no longer enter the Fernon Outpost because it's too dangerous. We need the help of an adventurer!
zts621e	Temple Mission 1 (Completed)
zts622e	Temple Mission 2 (Start)
zts623e	More and more powerful monsters are invading the temple! Adventurer, you're our only hope!
zts624e	Temple Mission 2 (Completed)
zts625e	I bet it wasn't easy fighting off those monsters. You did a great job!
zts626e	Protect the Mines (Start)
zts627e	Hey! Help me! We need to drive out the Kovolt miners!
zts628e	Thank you! You were a great help.
zts629e	Kovolt Battle 1 (Start)
zts630e	It's Calvin! You'll receive a reward from the NosCamp for taking Koaren soldiers prisoner.
zts631e	All interested adventurers should take notice.
zts632e	Kovolt Battle 1 (Completed)
zts633e	Thanks, you did a good job.
zts634e	Kovolt Battle 2 (Start)
zts635e	It's Calvin! You'll receive a reward from the NosCamp for taking Kenko soldiers prisoner.
zts636e	Kovolt Battle 2 (Completed)
zts637e	Moonlighting at the Alchemy Association 1 (Start)
zts638e	Hehe... Hello! I'm looking for someone who can bring me something I desperately need. Hehe...
zts639e	Moonlighting at the Alchemy Association 1 (Start)
zts640e	Hehe... Thanks. But why are you giving me that?
zts641e	Oh yeah! Right! Thank you. Hehe...
zts642e	Moonlighting at the Alchemy Association 1 (Start)
zts643e	Moonlighting at the Alchemy Association 2 (Completed)
zts644e	Moonlighting at the Alchemy Association 3 (Start)
zts645e	Moonlighting at the Alchemy Association 3 (Completed)
zts646e	Moonlighting at the Alchemy Association 4 (Start)
zts647e	Moonlighting at the Alchemy Association 4 (Completed)
zts648e	Moonlighting at the Alchemy Association 5 (Start)
zts649e	Moonlighting at the Alchemy Association 5 (Completed)
zts650e	Moonlighting at the Alchemy Association 6 (Start)
zts651e	Moonlighting at the Alchemy Association 6 (Completed)
zts652e	Moonlighting at the Alchemy Association 7 (Start)
zts653e	Moonlighting at the Alchemy Association 7 (Completed)
zts654e	Moonlighting at the Alchemy Association 8 (Start)
zts655e	Moonlighting at the Alchemy Association 8 (Completed)
zts656e	Secret Mission 1 (Start)
zts657e	Don't ask any questions! Just bring me the animal I want, alright?
zts658e	Secret Mission 1 (Completed)
zts659e	Excellent work! You can go now.
zts660e	Don't ask any questions! Just bring me the animal I want, alright?
zts661e	Protect Mount Krem 1 (Start)
zts662e	Mount Krem is in chaos.
zts663e	We need the help of adventurers to rescue the miserable Koaren tribe.
zts664e	Protect Mount Krem 1 (Start)
zts665e	The Koaren are very grateful to you. Thank you for your help.
zts666e	Protect Mount Krem 2 (Start)
zts667e	There are lots of scary monsters on Mount Krem. Please help us!
zts668e	Protect Mount Krem 2 (Start)
zts669e	Mount Krem is much safer again, thanks to your help <pname>!
zts670e	Catsy Battle (Start)
zts671e	The Darksies are a tribe of Catsies who support Kenel.
zts672e	We have no choice but to fight them if we're to keep Mount Krem safe.
zts673e	Please kill the Darksies dominating the Shanera Dungeon!
zts674e	Catsy Battle (Completed)
zts675e	You must have had a hard time dealing with the Darksies' magic. I'm very grateful for all your help!
zts676e	There are many terrible things in this world, and the undead definitely fall into that category!
zts677e	They're ugly as sin and don't have a thread of fashion sense! Truly disgusting!
zts678e	I will reward whoever destroys the undead.
zts679e	Oh! Thank you, <pname>! You dealt with everything. Would you like a little financial incentive now?
zts680e	Time-Space Scenario
zts681e	(You are overcome by a terrible feeling as you enter the Time-Space.)
zts682e	(The air is humid and sticky. You find it difficult to breath.)
zts683e	What's going on here?
zts684e	Are you crazy? What on earth are you doing all the way down here?
zts685e	There are traps everywhere you look!
zts686e	This isn't the place for a greenhorn like you!
zts687e	Wow, you put up a great fight! I didn't think you'd be capable of it.
zts688e	Do you want to know how to get out of here?
zts689e	You need to find and pull the right lever.
zts690e	Only then will the door open. Now go, you'd better hurry!
zts691e	Wow, you managed to make it this far? I'm impressed...
zts692e	The lever is in the next room.
zts693e	What are you waiting for? Get a move on!
zts694e	The exit can't be much further now. And look, there's the lever!
zts695e	Hopefully that was the lever for the door to the outside...
zts696e	Time-Space Scenario 2
zts697e	(There's an eerie silence in this Time-Space.)
zts698e	It's quiet... almost too quiet! I have a bad feeling about this.
zts699e	This place is terrifying. I'd better make sure I get out of here soon.
zts700e	I can't seem to see a door anywhere.
zts701e	Am I trapped in here?!
zts702e	Ah, over there! A lever!
zts703e	Oh no, what's that! The ground's beginning to shake! Feels like everything's about to collapse!
zts704e	Let's get out of here!
zts705e	There's no exit to this room. I'd better turn back quickly.
zts706e	Finally, there's the exit!
zts707e	Let's get out of here, before it's too late!
zts708e	Time-Space Scenario 3
zts709e	Hmm... two paths! One must be a trap.
zts710e	I need to choose one of the paths.
zts711e	I almost get the feeling that someone's playing tricks on me.
zts712e	Two levers... and one of them is probably a trap.
zts713e	If you don't make a decision, then the door will never open.
zts714e	Gentle sunshine and sweet smells... and...
zts715e	Time-Space Scenario 4
zts716e	The demon servants are coming straight for me! Help!
zts717e	Be careful! These demons are absolutely merciless. Look out, here they come!
zts718e	It's not over yet.
zts719e	We've almost made it. Now follow me!
zts720e	We have to block the path that the monsters are coming through.
zts721e	Pull the lever to open the exit.
zts722e	Hurry! Pull the lever before it's too late!
zts723e	Time-Space Scenario 5
zts724e	(A ice-cold wind brushes past you sending shivers up your spine. You catch what you think sound like whispers in the air.)
zts725e	The monsters are coming!
zts726e	They're trying to escape from the Time-Space...
zts727e	Something has startled them, they're in uproar!
zts728e	(You see an injured person lying on the ground.)
zts729e	Such a strange smell... but no time to be intimidated! I need to find out what's going on here.
zts730e	A m... m... monster! A terrifying monster! It's coming this way...
zts731e	Run away while you still can! Or you'll suffer the same fate all the other adventurers here fell to...
zts732e	(He's passed out. And it doesn't look like he'll come to any time soon.)
zts733e	You think you can stop me, you little worm?!
zts734e	Argh! It's too strong! I cannot stop him!
zts735e	Guard 1: Help the adventurer!
zts736e	Guard 2: Time to teach this monster a thing or two!
zts737e	Guard 3: Attack!
zts738e	Guard 1: Victory is ours!
zts739e	Guard 2: Ha! We showed him!
zts740e	Guard 3: The monster is dead!
zts741e	I've never seen a monster so strong before. Something weird is going on... but who's behind it all?
zts742e	Time-Space Scenario 6
zts743e	All the paths have been opened without any obvious reason.
zts744e	The Time-Space gap is shaking. It looks like it might collapse at any moment.
zts745e	We need to hurry!
zts746e	Over there! I can see the lever!
zts747e	Maybe that will lead to the way out.
zts748e	(Once the battle is over, you discover the hidden exit.)
zts749e	(It appears to be the only way out.)
zts750e	Time-Space Scenario 7
zts751e	Woah... such a strong wind. I can barely stay on my feet.
zts752e	This Time-Space is extremely unstable. What's going on here?
zts753e	I have to do something!
zts754e	There's a small path over there... It's emitting some mysterious energy.
zts755e	Could that be an exit?
zts756e	Damn it! It's locked.
zts757e	I bet there's a mechanism to open it around here somewhere.
zts758e	I can see a big stone sculpture. Hm... maybe I should try moving that.
zts759e	*The strong wind suddenly drops to a gentle breeze.*
zts760e	A seal appears to have opened.
zts761e	(A warm breeze strokes your cheeks.)
zts762e	It's suddenly completely still... the seal has opened!
zts763e	I should try to find the exit now!
zts764e	The path is wide open.
zts765e	Someone created this magical sculpture and curved this Time-Space. Whoever is responsible for this is playing with the lives of the people of this world.
zts766e	I need to find him and put a stop to it!
zts767e	Time-Space Scenario 8
zts768e	Imps in a Time-Space?
zts769e	We've found it!
zts770e	Grab it! Don't let it get away!
zts771e	Argh... we missed it!
zts772e	It got away!
zts773e	Damn... it's slipped away!
zts774e	No! How did I miss it?!
zts775e	Almost!
zts776e	Please, help me!
zts777e	Where are you?
zts778e	Ah, there you are... I'm coming!
zts779e	Darn! We'll get it next time!
zts780e	Wait!
zts781e	They're like greased lightning...
zts782e	Thank you! You saved my life.
zts783e	Are you alright?
zts784e	I'll be fine... But these little monsters seem to be a serious threat. We have to wipe them out!
zts785e	Then I'll hunt them down straight away!
zts786e	I'll give you a hand!
zts787e	Imp 1: Ha! That's what I was waiting for!
zts788e	Imp 2: The enemies of my friend!
zts789e	Let's kill them one by one.
zts790e	Woah, that was close!
zts791e	It's not over yet. Look over to the east!
zts792e	A secret passageway appears in the east.
zts793e	That's their base!
zts794e	Time's running out. Hurry!
zts795e	We'll deal with these pesky little terrors some other time!
zts796e	Time-Space Scenario 10
zts797e	(You hear a strange grinding noise!)
zts798e	I have to find out what's happening here and do something about it. The world is in danger, I can feel it!
zts799e	Are you here because of those strange noises? Then help me!
zts800e	You have to close the seal, or these monsters will overrun NosVille!
zts801e	What should I do?
zts802e	Go and seal off the five paths. I'll help you to fight off the monsters!
zts803e	All this chaos started because someone broke the seal.
zts804e	(The grinding noise starts to recede!)
zts805e	(But the Time-Space continues to quake!)
zts806e	(The shaking continues unabated.)
zts807e	(The grinding noise gets ever quieter)
zts808e	(The grinding becomes even quieter)
zts809e	Almost there!
zts810e	(The grinding noise has stopped!)
zts811e	(You have sealed off all the paths)
zts812e	I can see the exit. Come on, let's get out of here.
zts813e	Awesome job, you made it!
zts814e	Thanks, you were a great help. What's your name?
zts815e	The name's Bob. I teach martial arts in NosVille.
zts816e	The outbreak of chaos led me here.
zts817e	Wait! Look out!
zts818e	Thank you for saving me! I think we're finished here.
zts819e	I should really be getting back to NosVille. So long!
zts820e	I hope we'll meet again under different circumstances.
zts821e	Bob is a very brave man. Sadly, guys like him are a rare sight these days.
zts822e	I feel like something ominous is waiting for us.
zts823e	Time-Space Scenario 11
zts824e	The guards seem to be very nervous.
zts825e	They don't appear to be particularly thrilled with their mission...
zts826e	Maybe I should have a word with them.
zts827e	Guard 1: The Kovolts are rioting!
zts828e	Guard 2: This mission doesn't suit me one little bit. The Kovolts have tricked us into their ambush often enough already.
zts829e	Guard 3: I wish I was back home in my bed!
