zts1e	El mejor servicio
zts111e	¡Te queda bien!
zts112e	Tinte Negro
zts113e	Tiñe el pelo de negro [n]
zts114e	¿Quién eres?
zts115e	Autopresentación
zts116e	Escribe una autodescripción que puedas mostrar a los demás[n](Se mostrará cuando hagas clic sobre el botón derecho)[n]Utiliza hasta 60 caracteres[n]
zts117e	Esto sirve para todos
zts118e	12 Altavoces
zts119e	Puede dirigir tus palabras a todos aquellos que se encuentren en el servidor.[n]Tu texto se abrirá en una ventana de chat.[n][Instrucciones][n] Haz doble clic sobre el altavoz y luego inserta el mensaje.
zts120e	Llévalo hasta el fin del mundo
zts121e	Bocadillo
zts122e	Una vez creado, las palabras permanecen durante 30 minutos.[n]Sin embargo, el mensaje no se puede modificar y al abandonar el juego, desaparecerá.[n][Instrucciones][n]Haz doble clic sobre el globo e inserta el mensaje.[n]Cuando lo quieras cerrar, inserta el término '$close' en la ventana.[n]Cada vez que insertes un mensaje antes de cerrar la ventana, el mensaje anterior desaparecerá.
zts123e	¿Siempre quisiste ser otro?
zts124e	Traje para Bob
zts125e	Cuando Bob lleva puesto el traje, su velocidad aumenta en 2.[n] No conserves a tu compañero en una perla si no quieres que el traje desaparezca.[n]
zts126e	¿Complacido con el cambio de cara?
zts127e	Traje para Tom
zts128e	Cuando Tom lleva puesto el traje, su velocidad aumenta en 2.[n] No conserves a tu compañero en una perla si no quieres que el traje desaparezca.[n]
zts129e	¡Un perro con árbol genealógico!
zts130e	Traje para Kliff
zts131e	Cuando Kliff lleva puesto el traje, su velocidad aumenta en 2.[n] No conserves a tu compañero en una perla si no quieres que el traje desaparezca.[n]
zts132e	Aumenta los SP básicos durante 30 días
zts133e	Medalla del Especialista
zts134e	Una buena noticia para todos aquellos que sean especialistas al menos una hora al día.[n][n]A partir de ahora, el nivel diario de SP será de 10.000+30.000 [n] Es decir, en total 40.000 puntos (si los utilizas todos, ahorrarás un 10%). Disfruta de los 40.000 puntos durante los 30 días.
zts135e	Regalo del evento del compañero secreto
zts136e	Medalla de la Amistad
zts137e	El amuleto del evento del compañero secreto[n] Cuando se utiliza, la experiencia laboral y la de ataque aumentarán un 5%.[n]Cuando formes un grupo con otros personajes que también tengan el amuleto,[n] aumentarán otro 5% más.[n] Solo se puede utilizar durante 10 días.
zts138e	Pensaba que sería suficiente
zts139e	99 Semillas del Poder
zts140e	Compra 99 Semillas del Poder [n]
zts141e	¿Qué has hecho con tu dignidad?
zts142e	3 Pociones para la dignidad
zts143e	Tu dignidad vuelve a estar a 100
zts144e	¡Haz que los reforzamientos y las apuestas sean más seguras!
zts145e	Pergamino Protector de Equipamiento
zts146e	Puede reforzar o apostar inmediatamente[n] Aunque el refuerzo o la apuesta den error, el ítem no desaparece.[n] Al apostar, si sale un nivel inferior al nivel especial actual,[n] el nivel actual quedará protegido.[n] Se abrirá una ventana para que puedas apostar o reforzar de manera inmediata.[n][n]Normalmente se utiliza para las armas y el equipamiento[n] Uno de ellos se consumirá, sea para optimizar o para apostar.[n][n]
zts147e	Pergamino de liberación
zts148e	Permite optimizar el equipamiento de nivel fijo.[n] Haz doble clic sobre el pergamino y luego sobre el ítem,[n] el nivel fijado desaparecerá.[n]Se utiliza normalmente para armas y equipamiento[n]
zts149e	5 Pergaminos Protectores de Equipamiento
zts150e	5 Pergaminos de la Liberación
zts151e	¡A la última moda!
zts152e	Sombrero de Gato
zts153e	Aumentan las resistencias contra los elementos en 1[n] Todos los poderes del elemento aumentan en 10[n]
zts154e	¿Defensa con estilo?
zts155e	Sombrero de Asno
zts156e	Te protege del grito de los Mandras con una cierta probabilidad.[n]El nivel de HP aumenta como máximo hasta 100[n] El nivel de MP aumenta como máximo hasta 50[n]
zts157e	Hace que estés guapísimo
zts158e	Sombrero de Vaquero
zts159e	La probabilidad de acertar el "Golpe Crítico" aumenta un 2%[n] Con un Golpe Crítico, los daños ocasionados aumentan un 10%.[n] La probabilidad de recibir un golpe crítico disminuye un 1%[n]
zts160e	Que dulce
zts161e	Sombrero de mono
zts162e	Te protege de efectos especiales con una baja probabilidad.[n]Te protege de los efectos del nivel 2 con un 10% de probabilidad.
zts163e	¡Hace que parezcas más fuerte!
zts164e	Sombrero de Antílope
zts165e	El nivel máximo de HP aumenta 200. [n]El nivel máximo de MP aumenta 200.[n]
zts166e	¡Con un olor fascinante!
zts167e	Sombrero de Embudo
zts168e	La probabilidad de recibir un Golpe crítico se disminuye a un 2%.[n]Si se recibe un Golpe crítico, el daño se disminuye a un 20%.
zts169e	¿Fuerte como un pingüino?
zts170e	Sombrero de Pingüino
zts171e	Todas las defensas aumentan un 15%.[n]Todos los ataques aumentan un 15%.[n]
zts172e	Muestra tu estilo Old-School
zts173e	Sombrero de Caballero
zts174e	Disminuye los daños ocasionados por ataques mágicos en 4% con una probabilidad del 8%.[n] Disminuye los daños ocasionados por ataques a larga distancia en un 4%.[n]
zts175e	Dulce pero fuerte
zts176e	Cinta de pelo de orejotas
zts177e	Evista efectos especiales con una alta probablididad[n] Aumenta la moral en 5[n]
zts178e	¿Amas la naturaleza?
zts179e	Sombrero de Florero
zts180e	Causa 70 daños adicionales a los monstruos de niveles altos[n] Causa 100 daños adicionales a las mascotas de niveles altos.[n]
zts181e	Envía a tu mascota a la escuela
zts182e	Alimento exclusivo para mascotas
zts183e	En cuanto tu animal se haya comido este ítem podrá levantar todos los ítems caídos[n] No es necesario alimentarlo todo el rato[n] Cómo alimentarlo: Haz clic sobre la mascota y luego haz doble clic sobre el ítem[n][n][Función] Tu animal levantará el ítem caído automáticamente[n](Sólo funciona en Modo D). Solo levanta los ítems de su propietario[n] El personaje mismo también puede levantar los ítems. [n]Los ítems pasarán a formar parte del inventario del propietario[n][n] [Atención] Cuando la mascota esté en la perla, la función quedará interrumpida.
zts184e	La resistencia contra todos los elementos aumenta en 1.[n]Todos los poderes elementales aumentan en 10.[n]No se puede comerciar con este objeto.[n]
zts185e	Te protege del Grito del Mandra. El nivel de HP aumenta como máximo en 10[n] El nivel de MP aumenta como máximo en 50[n] Este ítem no se puede intercambiado.[n]
zts186e	La probabilidad de asestar un impacto crítico aumenta un 2 %.[n]El daño por impacto crítico aumenta un 10 %.[n]La probabilidad de sufrir un impacto crítico disminuye un 1 %.[n]El objeto no es comerciable.[n]
zts187e	Te protege de efectos especiales con una gran probabilidad.[n] Te protege de los efectos dañinos del nivel 2 con una probabilidad del 10%.[n] Este ítem no se puede intercambiar.
zts188e	Nivel de HP máximos aumentados en 200.[n] Nivel de MP máximos aumentados en 200[n] Este ítem no se puede intercambiar[n]
zts189e	La probabilidad de recibir un Golpe crítico se disminuye a un 2%.[n]Si se recibe un Golpe crítico, el daño se disminuye a un 20%.[n] Este ítem no se puede intercambiar.[n]
zts190e	Todas las defensas aumentan en 15.[n] Todos los ataques aumentan en 15[n] Este ítem no se puede intercambiar.[n]
zts191e	Disminuye los daos ocasionados por los ataques mágicos en un 4% con una probabilidad del 8%.[n]Disminuye los daños ocasionados por ataques a larga distancia en un 4%.[n]Este ítem no se puede intercambiar.[n]
zts192e	Evita los efectos especiales con una alta probabilidad[n] Aumenta la moral en 5.[n] Este ítem no se puede intercambiar.[n]
zts193e	Causa 70 daños adicionales a los monstruos de niveles altos[n] Causa 100 daños adicionales a las mascotas de niveles altos.[n]Este ítem no se puede intercambiar.[n]
zts194e	No utilizar
zts195e	No utilizar
zts196e	No utilizar
zts197e	No utilizar
zts198e	No utilizar
zts199e	No utilizar
zts200e	NotUse
zts201e	NotUse
zts202e	NotUse
zts203e	NotUse
zts204e	¡Indestructible!
zts205e	Almacén enorme (permanente)
zts206e	56 plazas [n] Se puede utilizar por tiempo ilimitado.[n][n]
zts207e	Interior Tu Terraza
zts208e	NotUse
zts209e	NotUse
zts210e	NotUse
zts211e	NotUse
zts212e	NotUse
zts213e	NotUse
zts214e	NotUse
zts215e	NotUse
zts216e	NotUse
zts217e	NotUse
zts218e	NotUse
zts219e	NotUse
zts220e	NotUse
zts221e	Hada de Fuego: Puede crecer hasta 70.[n] Tiene las mismas habilidades que el Hada de Fuego[n] No se puede intercambiar[n]
zts222e	Espíritu del Agua: Puede crecer hasta 70.[n] Tiene las mismas habilidades que el Hada de Agua[n] No se puede intercambiar[n]
zts223e	Espíritu de la Luz: Puede crecer hasta 70.[n] Tiene las mismas habilidades que el Hada de la Luz[n] No se puede intercambiar[n]
zts224e	Espíritu de las tinieblas: Puede crecer hasta 70.[n] Tiene las mismas habilidades que el Hada de las Tinieblas[n] No se puede intercambiar.[n]
zts225e	Espíritu del Fuego: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de Fuego[n] No se puede intercambiar.[n]
zts226e	Espíritu de Agua: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de Agua[n] No se puede intercambiar.[n]
zts227e	Espíritu de la Luz: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de la Luz[n] No se puede intercambiar.[n]
zts228e	Espíritu de las tinieblas: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de las Tinieblas[n] No se puede intercambiar.[n]
zts229e	Defensa corporal 4[n] Defensa a larga distancia 4[n] Resistencia contra la magia 4[n] Capacidad de esquivar 4[n] Resistencia contra todos los demás elementos aumentada en 1[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts230e	Defensa corporal 4[n] Defensa a larga distancia 4[n] Resistencia contra el grito de los Mandras, cuando está colocado4[n] Nivel máximo de HP aumentado en 100[n] Nivel máximo de MP aumentado en 50[n] Únicamente pueden llevarlo los espadachines, arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts231e	Defensa corporal 4[n] Defensa a larga distancia 4[n] Resistencia contra la magia 4[n] Capacidad de esquivar 4[n] Probabilidad de acertar un golpe crítico aumentada en un 2%[n] Daños ocasionados por un golpe crítico aumentados en un 10%[n] Disminuye la probabilidad de recibir un golpe crítico en un 1%[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts232e	Defensa corporal 5[n] Defensa a larga distancia 3[n] Resistencia contra la magia 1[n] Impide en gran medida la probabilidad de que quedes aturdido[n] Te protege de los efectos dañinos del nivel dos con una probabilidad del 10%[n]Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts233e	Defensa corporal 13[n] Defensa a larga distancia 13[n] Resistencia contra la magia[n] Nivel máximo de HP aumentado en 200[n] Nivel máximo de MP aumentado en 200[n] Únicamente pueden llevarlo los espadachines, arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts234e	Defensa corporal 7[n] Defensa a larga distancia 3[n] Capacidad de esquivar 2[n] Disminuye la probabilidad de recibir un golpe crítico en un 2%[n] Disminuye los daños causado por un golpe crítico en un 20%[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts235e	Defensa corporal 5[n] Defensa a larga distancia 5[n] Resistencia contra la magia 5[n] Capacidad de esquivar 5[n] Todas las defensas aumentan en 15[n] Todos los ataques aumentan en 15[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts236e	Defensa corporal 1[n] Defensa a larga distancia 2[n] Resistencia contra la magia 14[n] Disminuye el 4% de los ataques mágicos con una probabilidad del 8%[n] Disminuye el 4% de los ataques a larga distancia con una probabilidad del 8%[n]Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando está colocado[n]
zts237e	Defensa corporal 12[n] Disminuye la probabilidad de hemorragias en gran medida[n] Aumenta la moral en 5[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando se lleva puesto[n]
zts238e	Defensa corporal 2[n] Defensa a larga distancia 10[n] Resistencia contra la magia 3[n] Causa 70 daños adicionales a los demonios de niveles altos[n] Únicamente pueden llevarlo los espadachines, Arqueros y magos[n] No se puede intercambiar cuando se lleva puesto[n]
zts239e	Mochila de la Aventura (10 días)
zts240e	NoUse
zts241e	Mochila de la Aventura (30 días)
zts242e	Mochila de la Aventura (60 días)
zts243e	Mochila del compañero (10 días)
zts244e	Mochila del compañero (30 días)
zts245e	Mochila del compañero (60 días)
zts246e	Cesta del NosMate (10 días)
zts247e	Cesta del NosMate (30 días)
zts248e	Cesta del NosMate (60 días)
zts249e	Mochila (10 días)
zts250e	Mochila (30 días)
zts251e	Mochila (60 días)
zts252e	5 Bendiciones de Erenia
zts253e	10 Bendiciones de Erenia
zts254e	Bendición del Ángel Guardián
zts255e	10 Bendiciones de Zenas
zts256e	Set de bendiciones (5 piezas)
zts257e	Set de bendiciones (10 piezas)
zts258e	Cupón para recuperar la durabilidad (40 piezas)
zts259e	Cupón para recuperar la durabilidad (99 piezas)
zts260e	Cupón de recompensa doble (10 piezas)
zts261e	Cupón para puntos de producción (10 piezas)
zts262e	Cupón para puntos de producción (30 piezas)
zts263e	Caja Misteriosa A
zts264e	Caja Misteriosa B
zts265e	Caja Misteriosa C
zts266e	[n]
zts267e	Restablece el nivel de durabilidad
zts268e	Se lo puede utilizar pulsando 'Utilizar cupón! botón en la ventana del espacio de producción[n]Un cupón aumenta la durabilidad en 300[n]
zts269e	¡Duplica la recompensa de los Mini-juegos!
zts270e	Cuando dispones de cupones en tu inventario te preguntarán si los deseas utilizar.[n] Cuando los utilizas obtienes el doble de la recompensa indicada.[n]
zts271e	¡Produce tanto como quieras!
zts272e	Restablecedor de puntos de producción (10 piezas)
zts273e	Los puntos de producción aumentan en 500 cuando utilizas un cupón[n] A veces es posible tener 2000 puntos de producción.[n]
zts274e	Restablecedor de puntos de producción (30 piezas)
zts275e	Utiliza todos los ítems de tu inventario.
zts276e	Puedes utilizar todos los ítems del inventario [n]durante 10 días.[n]  No se puede utilizar con el amuleto.
zts277e	Puedes utilizar todos los ítems del inventario [n]durante 30 días.[n]  No se puede utilizar con el amuleto.
zts278e	Puedes utilizar todos los ítems del inventario [n]durante 60 días.[n]  No se puede utilizar con el amuleto.
zts279e	Inventario también para tu compañero
zts280e	Puedes utilizar 50 plazas adicionales del inventario de tu compañero.[n]Únicamente durante 10 días[n]
zts281e	Puedes utilizar 50 plazas adicionales del inventario de tu compañero.[n]Únicamente durante 30 días[n]
zts282e	Puedes utilizar 50 plazas adicionales del inventario de tu compañero.[n]Únicamente durante 60 días[n]
zts283e	Utiliza todo el almacén
zts284e	Puedes abrir el almacén desde cualquier lado utilizando tu mascota.[n] Únicamente durante 10 días.[n]
zts285e	El almacén podrá ser abierto en cualquier lugar utilizando la mascota.[n] Sólo por 30 días[n]
zts286e	Utiliza de un solo golpe todos los Items en el inventario.
zts287e	Compra de un solo golpe la Mochila de Expedición, la Mochila del compañero y la Cesta de Entrega de la mascota[n]
zts288e	Recibe la Bendición de Ancelloan.
zts289e	5 Bendiciones de Ancelloan
zts290e	La experiencia combativa y laboral aumentan un [n]100% durante una hora. Sin límites de nivel.[n] No se puede utilizar junto con el amuleto.
zts291e	10 Bendiciones de Ancelloan
zts292e	Bendición del NosMate
zts293e	5 Bendiciones del Ángel Guardián
zts294e	Aumento del 50% de la experiencia del NosMate.[n]La velocidad +2[n] permanece por 1 hora[n]
zts295e	Hechizo de la recompensa doble
zts296e	¡Ve por el gran ítem!
zts297e	Consigue una máscara feroz A,[n] una máscara feroz B, [n]una máscara feroz C, [n]una piedra de la ardilla, [n] una piedra preciosa de la ardilla, [n] una piedra negra de la ardilla
zts298e	Utiliza una máscara de la calma A, [n] una máscara de la calma B, [n] una máscara de la calma C, [n] una piedra de la ardilla, [n] una piedra preciosa de la ardilla, [n] una piedra negra de la ardilla
zts299e	Consigue una venda de abismo A, [n] una venda del abismo B, [n] una venda del abismo C, [n] una piedra de Ardilla, [n] una piedra preciosa de la ardilla, [n] una piedra negra de la ardilla
zts300e	La experiencia de combate y de profesión aumenta en un 100% durante 1 hora[n] Para cada nivel[n]
zts301e	Recibe una Máscara Feroz A, Máscara Feroz B, Máscara Feroz C, Piedra de la Ardilla, Piedra Elegante de la Ardilla, Piedra Negra de la Ardilla, [n] 5 Cash Items
zts302e	Utiliza una máscara de la calma A, una máscara de la calma B, una máscara de la calma C,  una piedra de la ardilla, una piedra preciosa de la ardilla, una piedra negra de la ardilla [n] 5 ítems en efectivo
zts303e	Consigue una venda del abismo A, una venda del abismo B, una venda del abismo C, una piedra de la ardilla, una piedra preciosa de la ardilla, una piedra negra de la ardilla[n] 5 ítems en efectivo
zts304e	Tori como mi mascota
zts305e	Bola Tori Tori
zts306e	Inscribir al Tori entrañable como mascota[n]
zts307e	Tori Ball Gladiador
zts308e	Tori Ball negro
zts309e	Consigue una Máscara Feroz A, una Máscara Feroz B, una Máscara Feroz C, [n] Ardillas, Ardilla Cazaratones, Ardilla Gladiador, [n] Pergamino Protector del equipamiento, Pergamino para liberar el nivel, comida para mascotas inteligentes,[n] Agua de la fuente de Cylloan, Recargador grande de SP
zts310e	Recibe uno de los siguientes objetos: Máscara calmada A, Máscara calmada B, Máscara calmada C,[n]Perla de la ardilla marrón, Perla de ardilla gladiadora, Perla de ardilla fumigadora,[n]Pergamino de protección de equipamiento, Pergamino de la liberación, Alimento especial para mascotas,[n]Agua de la fuente de Cylloan, Poción especial grande.
zts311e	Consigue una Venda del Abismo A, una Venda del Abismo B, una Venda del Abismo C, [n] Ardillas, Ardillas Gladiadoras, Ardillas Aazaratones, [n] Pergamino Protector del equipamiento, Pergamino para liberar niveles, comida para mascotas inteligentes, [n] Agua de la fuente de Cylloan, Recargador grande de SP
zts312e	¡Aumenta la habilidad del hada!
zts313e	Fortalecedor de hada
zts314e	Acelera la habilidad de tu hada durante una 1 hora.[n]Cuando utilices el Acelerador de hadas, no podrás cambiar el hada durante la duración del efecto.
zts357e	¡Tengo el presentimiento de que tendré mucho éxito en el Año Nuevo!
zts358e	1 Sobre de regalo
zts359e	Puedes recibir uno de los siguientes items: Recargador mediano especial, Bendición de Ancelloan, Papiro para liberar, Pergamino de Equipamiento,...., Recargador grande especial, Mochila de la Aventura, Fuente de Agua de Cylloan, Poción grande completa, Casco de un Caballero Negro, Máscara de una Caballero Negro, Perlas de Congelación de la Ardilla, Cerdo de la Buena Suerte, Perlas del Ratón de la Buena Suerte.[n]
zts360e	10 Sobres de regalos
zts361e	5 Sobres de regalo
zts362e	1 Regalo de Cumpleaños
zts363e	En cuanto lo utilices, se activaran los siguientes efectos durante 15 días:[n][Efecto básico:][n]Tendrás en tu inventario en cada categoría "Equipamiento" "Principal" y "Otros" 4 posiciones más (un total de 12 posiciones).[n]Recibes un 10% más de experiencia.[n][Otros efectos:][n]Tu compañero y tu NosMate reciben un 10% más de experiencia.[n]El índice de ataque y defensa aumenta en un 10%.[n][Advertencia:][n]¡Si lo utilizas junto con la Mochila de la Aventura, tus posiciones de tu inventario NO se duplicaran![n]No puedes colocar el ítem en el almacén.[n][n]
zts364e	Levar un ratón pequeño.
zts365e	Sombrero de Ratón Entrañable
zts366e	Puedes tener un Ratón de la Buena Suerte como mascota.[n][n]
zts367e	Bendecido con un cerdo rosa
zts368e	¡Perla de Año Nuevo!
zts369e	Puedes tener un Cerdo de la Buena Surte como mascota.[n][n]Tu índice de ataque y defensa aumenta un 10% si te acompaña.[n]
zts370e	Frío para evitar accidentes.
