zts1e	Odpoczynek
zts80e	[Œredni] Odpornoœæ na truciznê
zts81e	[Zaawansowany] Odpornoœæ na truciznê
zts82e	[Pocz¹tkuj¹cy] Odpornoœæ na chorobê
zts83e	[Œredni] Odpornoœæ na chorobê
zts84e	[Zaawansowany] Odpornoœæ na chorobê
zts85e	[Pocz¹tkuj¹cy] Odpornoœæ na magiê
zts86e	[Œredni] Odpornoœæ na magiê
zts87e	[Zaawansowany] Odpornoœæ na magiê
zts88e	[Pocz¹tkuj¹cy] Ogólna odpornoœæ
zts89e	[Œredni] Ogólna odpornoœæ
zts90e	[Zaawansowany] Ogólna odpornoœæ
zts91e	[Pocz¹tkuj¹cy] Odpornoœæ zdrowotna
zts92e	[Œredni] Odpornoœæ zdrowotna
zts93e	[Zaawansowany] Odpornoœæ zdrowotna
zts94e	[Pocz¹tkuj¹cy] Joga
zts95e	[Œredni] Joga
zts96e	[Zaawansowany] Joga
zts97e	Zamach broni¹
zts98e	Szkolenie podstawowe dla poszukiwaczy przygód
zts99e	Strza³ kamieniem z procy
zts100e	Szkolenie podstawowe dla poszukiwaczy przygód
zts101e	Mocne uderzenie
zts102e	Dziêki mocniejszemu uderzeniu zadajesz wiêksze obra¿enia.
zts103e	Strza³ wiruj¹cy
zts104e	Precyzyjny strza³ pozwala na zadawanie przeciwnikom wiêkszych obra¿eñ.
zts105e	Uderzenie z obrotu
zts106e	Wszyscy przeciwnicy znajduj¹cy siê w pobli¿u zostaj¹ zaatakowani silnym uderzeniem z obrotu.
zts107e	Wielokrotne uderzenie
zts108e	Atakuje przeciwnika, wielokrotnie go uderzaj¹c.
zts109e	Okrzyk bojowy
zts110e	Zwiêksza atak i obronê.
zts111e	Okrzyk pokrzepienia
zts112e	Okrzyk wzmacnia morale.
zts113e	Uderzenie energetyczne
zts114e	Energia zostaje ca³kowicie nape³niona, aby zwiêkszyæ si³ê kolejnego ataku.
zts115e	Schwytanie
zts116e	Energetyczna kula
zts117e	Szkolenie podstawowe dla poszukiwaczy przygód
zts118e	Ultra Super Kogel-Mogel
zts119e	Jest to umiejêtnoœæ super kogel-mogel.
zts120e	Biurokratyczny kogel-mogel
zts121e	Uderzenie mieczem
zts122e	Szkolenie podstawowe dla wojowników
zts123e	Atak kusz¹
zts124e	Szkolenie podstawowe dla ³uczników
zts125e	Atak wœciek³oœci
zts126e	Zadaje potê¿ny cios i z prawdopodobieñstwem 2% popada w z³oœæ.
zts127e	Cios zemsty
zts128e	Trafia w s³aby punkt przeciwnika.
zts129e	Pchniêcie mieczem
zts130e	Pchniêcie mieczem zadaje obra¿enia przeciwnikom w pobli¿u.
zts131e	Podstawowa umiejêtnoœæ: œwiat³o
zts132e	GwieŸdzisty atak
zts133e	W wyniku potê¿nego uderzenia g³owic¹ miecza przeciwnik doznaje zamroczenia.
zts134e	Uziemiaj¹ca fala
zts135e	Potê¿ne uderzenie w ziemiê powoduje powstanie fali uderzeniowej, która zadaje otaczaj¹cym ciê przeciwnikom obra¿enia.
zts136e	Podstawowa umiejêtnoœæ: ogieñ
zts137e	Uderzenie wiatru
zts138e	Szybszy poryw wiatru pozwala na zadanie obra¿eñ wszystkim przeciwnikom.
zts139e	Podwójny atak
zts140e	Wymachuje mieczem tak, by zadaæ przeciwnikowi podwójny cios.
zts141e	Dynamiczny strza³
zts142e	Umo¿liwia oddawanie szybszych strza³ów za pomoc¹ kuszy.
zts143e	Szyderczy strza³
zts144e	Kieruje na ciebie uwagê przeciwnika.
zts145e	£adowanie energii
zts146e	Kumuluje energiê, aby kolejny atak by³ jeszcze mocniejszy.
zts147e	Kl¹twa krwi
zts148e	Na pewien czas, w zamian za zwiêkszon¹ si³ê ataku, zmniejszaj¹ siê twoje P¯.
zts149e	Zastraszenie
zts150e	Zmniejsza morale przeciwnika na pewien czas.
zts151e	Dzia³a tylko na przeciwnikach o poziomie ni¿szym albo maksymalnie o 3 wy¿szym ni¿ Twój w³asny.
zts152e	Atak szturmowy
zts153e	Szar¿uje na przeciwnika i szybko go atakuje.
zts154e	Tamowanie krwawienia
zts155e	Leczy krwawienia do poziomu 3
zts156e	Wymaga banda¿a.
zts157e	Nowa umiejêtnoœæ
zts158e	£ucznictwo
zts159e	Szkolenie podstawowe dla ³uczników
zts160e	Cios sztyletem
zts161e	Szkolenie podstawowe dla ³uczników
zts162e	Strza³ w dziesi¹tkê
zts163e	Zadaje dodatkowe obra¿enia przy atakach d³ugodystansowych i zwiêksza celnoœæ.
zts164e	Silny cios
zts165e	Zadaje wrogowi wiêksze obra¿enia za pomoc¹ silnego ataku d³ugodystansowego.
zts166e	Przeszywaj¹cy strza³
zts167e	Przeszywa przeciwników i zadaje przy tym obra¿enia krytyczne.
zts168e	Namierzenie celu
zts169e	Atakuje nogi przeciwnika, by go spowolniæ.
zts170e	Strza³ z wyskoku
zts171e	Atak z wyskoku, który zadaje przeciwnikom du¿e obra¿enia bez poniesienia kary.
zts172e	Szybki strza³
zts173e	B³yskawicznie oddaje trzy strza³y jeden po drugim.
zts174e	Deszcz strza³
zts175e	Zsy³a na wroga deszcz strza³.
zts176e	Œmiertelne pchniêcie
zts177e	Przypuœæ dodatkowy atak przy u¿yciu sztyletu.
zts178e	Zatruty sztylet
zts179e	Sztylet posmarowany trucizn¹ parali¿uj¹c¹, w celu os³abienia ataku krótkodystansowego przeciwnika.
zts180e	Do jego u¿ycia potrzeba truj¹cych roœlin.
zts181e	Cios szturmowy
zts182e	Cios sztyletem w celu obezw³adnienia przeciwnika.
zts183e	Œmiertelny strza³
zts184e	Zbiera energiê do kolejnego ataku d³ugodystansowego.
zts185e	Tempo
zts186e	Zwiêksza szybkoœæ poruszania siê na pewien czas.
zts187e	Rytua³ soko³a
zts188e	Zwiêksza si³ê ataku i celnoœæ w³asnej postaci, a wartoœci towarzyszy zostaj¹ zwiêkszone.
zts189e	Rytua³ odtrucia
zts190e	Do odtrucia towarzyszy i przyjació³ potrzeba roœlin leczniczych.
zts191e	Truj¹cy grot
zts192e	Na krótki czas groty strza³ bêd¹ zatrute.
zts193e	Energetyczna kula
zts194e	Szkolenie podstawowe dla magów
zts195e	Magiczny strza³
zts196e	Szkolenie podstawowe dla magów
zts197e	Ognista kula
zts198e	Atak magiczny, który rani przeciwnika, obrzucaj¹c go ognistymi kulami.
zts199e	Lodowa kula
zts200e	Magiczny atak, który przy u¿yciu lodowych kul rani przeciwnika.
zts201e	Magiczna rakieta
zts202e	Wystrzeliwuje magiczne pociski, które rani¹ przeciwnika.
zts203e	Spadaj¹cy g³az
zts204e	Zrzuca g³az na przeciwnika, powoduj¹c u niego z pewn¹ szans¹ na zamroczenie.
zts205e	S³up ognia
zts206e	Wytwarza s³up ognia, który spala przeciwnika.
zts207e	Tornado
zts208e	Przeciwnicy w pobli¿u s¹ atakowani przez potê¿ne tornado.
zts209e	Magiczny pocisk
zts210e	Za pomoc¹ wystrzelenia magicznego strza³u, si³a przebicia zwiêksza siê.
zts211e	Wybuchowy pocisk
zts212e	Wybuchowy pocisk zadaje przeciwnikowi du¿e obra¿enia.
zts213e	Kumulacja many
zts214e	Kumuluje magiczn¹ energiê na nastêpne ataki, by zadaæ jeszcze wiêksze obra¿enia.
zts215e	MroŸna tarcza
zts216e	Wytwarza tarczê, która zmniejsza obra¿enia od ataków d³ugodystansowych.
zts217e	Aura regeneracji
zts218e	Przez pewien czas leczy P¯ cz³onka grupy.
zts219e	Œwiat³o ochronne
zts220e	Wzmacnia obronê wszystkich pobliskich graczy.
zts221e	Sen
zts222e	Przeciwnik zasypia, nie mo¿e siê poruszaæ ani atakowaæ. Obudzi siê jednak, jeœli zostanie zaatakowany.
zts223e	Absorpcja P¯
zts224e	Kradnie przeciwnikowi P¯ i zamienia je na w³asne PM.
zts225e	Oœlepienie
zts226e	Powoduje oœlepienie przeciwnika na kilka sekund. W tym czasie ataki dalekodystansowe s¹ niemo¿liwe.
zts227e	Teleport
zts228e	Teleportuje ciê na pewien dystans.
zts229e	Podstêpny cios
zts230e	Wzmocniony ¿ywio³em ognia atak, który powoduje zamroczenie.
zts231e	Wzmocniony cios
zts232e	Zwiêksza si³ê ataku i celnoœæ zamachu broni¹.
zts233e	Wzmocniony strza³ kamieniem z procy
zts234e	Zwiêksza si³ê ataku i zasiêg.
zts235e	Zwiêkszona si³a ataku
zts236e	Wzmacnia si³ê ataku d³ugodystansowego strza³u z procy.
zts237e	Potê¿ne uderzenie z obrotu zadaje przeciwnikowi dodatkowe obra¿enia.
zts238e	Dodatkowe krwawienie
zts239e	Dodaje ¿ywio³ ognia i przy wielokrotnym uderzeniu powoduje lekkie krwawienie.
zts240e	Mocna energetyczna kula
zts241e	Zwiêksza si³ê ataku magicznego energetycznej kuli i dodaje do niej ¿ywio³ wody.
zts242e	Wzmocnione uderzenie mieczem
zts243e	Zwiêksza si³ê ataku krótkodystansowego uderzenia mieczem.
zts244e	Mistrzowskie uderzenie mieczem
zts245e	Specjalne uderzenie dla roœlin wysokiego poziomu
zts246e	Zwiêksza si³ê ataku krótkodystansowym roœlin wysokiego poziomu.
zts247e	Wzmocniony atak kusz¹
zts248e	Zwiêksza si³ê ataku d³ugodystansowego ataku kusz¹.
zts249e	Demoniczny strza³
zts250e	Ekstremalne obra¿enia
zts251e	Zastosowanie ¿ywio³u ognia sprawia, ¿e z pewnym prawdopodobieñstwem obra¿enia mog¹ zostaæ podwojone.
zts252e	W po³¹czeniu z ciosem krytycznym obra¿enia bêd¹ ogromne.
zts253e	Dodaje ¿ywio³ ognia do ataku wœciek³oœci.
zts254e	Wzmocniony atak wœciek³oœci
zts255e	Zwiêksza si³ê ataku krótkodystansowego i celnoœæ ataku wœciek³oœci.
zts256e	Mistrzowski atak wœciek³oœci
zts257e	Zwiêksza si³ê ataku krótkodystansowego.
zts258e	Dok³adny strza³ w dziesi¹tkê
zts259e	Zwiêksza szansê na zadanie ciosu krytycznego przez cios zemsty.
zts260e	Atak Kovoltów
zts261e	Atak koncentruje siê na s³abych punktach Kovoltów i zadaje w ten sposób krytyczne obra¿enia.
zts262e	Dodaje do ciosu zemsty ¿ywio³ wody.
zts263e	Wzmocnione uderzenie mieczem
zts264e	Zwiêksza si³ê ataku krótkodystansowego uderzenia mieczem.
zts265e	Zwiêkszenie zasiêgu
zts266e	Zwiêksza zasiêg miecza.
zts267e	Perfekcyjne trafienie
zts268e	Zadaje perfekcyjny cios i powoduje u przeciwnika zamroczenie.
zts269e	Silna uziemiaj¹ca fala
zts270e	Zwiêksza si³ê ataku uziemiaj¹cej fali.
zts271e	Brutalna uziemiaj¹ca fala
zts272e	Gwa³towne uderzenie wiatru
zts273e	Zwiêksza si³ê ataku uderzenia wiatru i wywo³uje u przeciwnika zamroczenie.
zts274e	Dodaje do uderzenia wiatru ¿ywio³ wody.
zts275e	Poziom ataku przeciwnika zostaje zmniejszony.
zts276e	Podwójny atak zmniejsza poziom ataku przeciwnika na pewien czas.
zts277e	Wzmocniony podwójny atak
zts278e	Wzmacnia intensywnoœæ ataku.
zts279e	Gwa³towny strza³
zts280e	Zwiêksza si³ê ataku dynamicznego strza³u.
zts281e	Celny strza³
zts282e	Dynamiczny strza³ trafia za ka¿dym razem.
zts283e	Dodatkowe ³adowanie energii
zts284e	Ulepsza atak krótkodystansowy do ³adowania energii.
zts285e	Potê¿na kl¹twa krwi
zts286e	Podczas kl¹twy krwi zwiêkszona zostaje si³a ataku.
zts287e	Zwiêkszenie zasiêgu szturmu
zts288e	Zwiêksza zasiêg ataku.
zts289e	Strza³ ss¹cy
zts290e	Przeœmiewczy strza³ œci¹ga na ciebie uwagê przeciwnika.
zts291e	Dynamiczne ³ucznictwo
zts292e	Zwiêksza si³ê ataku d³ugodystansowego ³ucznictwa.
zts293e	Mistrzowskie ³ucznictwo
zts294e	Specjalny strza³ na roœliny wysokiego poziomu
zts295e	Zwiêksza si³ê ataku na roœliny wysokiego poziomu.
zts296e	Wzmocniony cios sztyletem
zts297e	Zwiêksza si³ê ataku ciosu sztyletem.
zts298e	Œmiertelny cios sztyletem
zts299e	Przy ciosie sztyletem zwiêksza prawdopodobieñstwo zadania ciosu krytycznego.
zts300e	Wzmocniony strza³ w dziesi¹tkê
zts301e	Zwiêksza si³ê ataku poprzez dodanie ¿ywio³u wody.
zts302e	Dodaje do strza³u w dziesi¹tkê ¿ywio³ wody.
zts303e	Zwiêksza prawdopodobieñstwo zadania krytycznego ciosu strza³em w dziesi¹tkê.
zts304e	Podwaja obra¿enia z okreœlonym prawdopodobieñstwem.
zts305e	Przeszywaj¹cy strza³
zts306e	Przeszywaj¹cy strza³ zwiêksza obra¿enia od ciosu krytycznego.
zts307e	Synchroniczny atak
zts308e	Strza³ z wyskoku umo¿liwia zaatakowanie kilku przeciwników na raz.
zts309e	Strza³ Kovolta
zts310e	Zwiêksza si³ê ataku na Kovolty.
zts311e	Imponuj¹cy szybki strza³
zts312e	Zwiêksza si³ê ataku szybkiego strza³u.
zts313e	Wzmocniony deszcz strza³
zts314e	Zwiêksza si³ê ataku deszczu strza³.
zts315e	Zasiêg
zts316e	Zwiêksza zasiêg deszczu strza³.
zts317e	Œmiertelne pchniêcie powoduje u przeciwnika krwawienie.
zts318e	Skuteczne œmiertelne pchniêcie
zts319e	Zwiêksz si³ê ataku œmiertelnego pchniêcia.
zts320e	Du¿e prawdopodobieñstwo
zts321e	Zwiêksza prawdopodobieñstwo parali¿u ciosu szturmowego.
zts322e	Zwiêksza si³ê ataku œmiertelnego strza³u.
zts323e	Zwiêksza szybkoœæ poruszania siê.
zts324e	Zwiêkszenie tempa
zts325e	Wyostrzone sokole oko
zts326e	Podczas rytua³u soko³a si³a ataku zostaje zwiêkszona.
zts327e	Znajomoœæ lecznictwa
zts328e	Leczenie silnych zatruæ.
zts329e	Odurzaj¹ca trucizna
zts330e	Umieszcza odurzaj¹c¹ truciznê na zwyk³ym sztylecie.
zts331e	Œmiertelna trucizna
zts332e	Umieszcza œmierteln¹ truciznê na zwyk³ym sztylecie.
zts333e	Odpychanie
zts334e	Odepchnij przeciwnika.
zts335e	Mocna energetyczna kula
zts336e	Zwiêksza si³ê ataku magicznego energetycznej kuli.
zts337e	Zwiêksza zasiêg energetycznej kuli.
zts338e	Wzmocniona magiczna broñ
zts339e	Zwiêksza si³ê ataku magicznej broni.
zts340e	Specjalny czar na roœliny wysokiego poziomu
zts341e	Ognisty wybuch
zts342e	Wystrzelenie ognistej kuli wywo³uje ognisty wybuch.
zts343e	Potê¿na ognista kula
zts344e	Zwiêksza si³ê ataku ognistej kuli.
zts345e	Mróz
zts346e	U¿ycie lodowej kuli zamra¿a przeciwnika.
zts347e	Lodowy piorun
zts348e	Zwiêksza si³ê ataku lodowej kuli.
zts349e	Nadprzyrodzona rakieta
zts350e	Zwiêksza si³ê ataku magicznej rakiety.
zts351e	Powiêkszony zasiêg
zts352e	Zwiêksza zasiêg magicznej rakiety.
zts353e	Monstrualny s³up ognia
zts354e	Zwiêksza si³ê ataku s³upa ognia.
zts355e	Potê¿ne tornado
zts356e	Zwiêksza si³ê ataku tornada.
zts357e	Ulepszona odnowa
zts358e	Zwiêksza regeneracjê P¯.
zts359e	Zwiêkszona kradzie¿ P¯
zts360e	Zwiêksza kradzie¿ P¯ od przeciwnika.
zts361e	Zachwianie
zts362e	Meteor
zts363e	Atak obrotowy
zts364e	Atak obrotowy 2
zts365e	Lepki blok
zts366e	Aura zamroczenia
zts367e	Silny lepki blok
zts368e	Wezwanie górników
zts369e	Wezwanie górników 2
zts370e	Wezwanie górników 3
zts371e	Silny cios obrotowy (Kenko)
zts372e	Odwirowanie
zts373e	Ugryzienie
zts374e	Lodowy szturm
zts375e	Uderzenie obrotowe Korrkoaren
zts376e	Pêd Kenela
zts377e	Atak obrotowy Kenko
zts378e	Atak obrotowy ¿ó³wia
zts379e	Kl¹twa mrocznej wiedŸmy
zts380e	Rozkaz ataku krwawej wiedŸmy
zts381e	Rozkaz ataku damy
zts382e	Rêka martwej damy
zts383e	Atak Kenela
zts384e	Atak wilkolwów
zts385e	Atak potworów niskiego poziomu
zts386e	Zabrudzony boing
zts387e	Atrakcyjny król paj¹ków
zts388e	Atak obrotowy króla paj¹ków
zts389e	Atak obrotowy Kukukeen
zts390e	Kichniêcie Kukukeen
zts391e	Ognista kula zjawy nocy
zts392e	1. talent Catlotte
zts393e	Umiejêtnoœæ Catrishy 1
zts394e	Umiejêtnoœæ Catrishy 2
zts395e	Silny atak NPC
zts396e	2. talent Catlotte
zts397e	Uzdrowienie ¿eñ-szenia
zts398e	Atak obrotowy ¿eñ-szenia
zts399e	B³yskawica Castra
zts400e	Dym Castra
zts401e	Ryk Slade
zts402e	Miotanie kamieniami Slade
zts403e	Magiczny atak podstawowy
zts404e	Podstawowy atak gigantycznego czarnego paj¹ka
zts405e	Pajêczyna gigantycznego czarnego paj¹ka
zts406e	Podstawowy atak Slade
zts407e	Teleport Castry
zts408e	Pêd mandry
zts409e	Atak ¿elaznego m³ota
zts410e	Atak lawinowy
zts411e	Atak paj¹ka
zts412e	Atak czarnego meteoru
zts413e	Szybki strza³ ³ucznika trupiej czaszki
zts414e	Silny strza³ ³ucznika trupiej czaszki
zts415e	Atak trupiej czaszki
zts416e	Ogniowy szturm œmiercionoœnego py³u
zts417e	Garbaty Stra¿nik Zombie Gas
zts418e	Wykonuj¹cy misjê
zts419e	Bitwa na poduszki
zts420e	Zabawa w œmieræ
zts421e	Spanie
zts422e	Znudzenie
zts423e	Po³ó¿ siê
zts424e	Poranna gimnastyka
zts425e	Czas na herbatê
zts426e	Gra na tamburynie
zts427e	Opieram siê na tobie
zts428e	Wybacz mi.
zts429e	Lektura
zts430e	Oburêczny atak
zts431e	To podstawowy atak wojownika.
zts432e	Trzykrotne uderzenie
zts433e	Atak zadaje przeciwnikowi potrójne obra¿enia.
zts434e	Stalowa skóra
zts435e	Na krótki czas poprawia twoj¹ si³ê obrony.
zts436e	Tr¹ba powietrzna
zts437e	Moc miecza tworzy tr¹bê powietrzn¹.
zts438e	Prowokacja
zts439e	Œci¹ga na ciebie uwagê wrogów w pewnym zasiêgu.
zts440e	Ultymatywny cios
zts441e	Kilku przeciwników z rzêdu zostaje przebitych twoim mieczem.
zts442e	Zastraszanie
zts443e	Napêdza strachu przeciwnikom przez g³oœny przera¿aj¹cy krzyk.
zts444e	Im wy¿sza ró¿nica poziomu przeciwnika w stosunku do twojego, tym mniejsza skutecznoœæ.
zts445e	Rozrywaj¹ce ramiê
zts446e	Naprzyj opancerzonym lewym ramieniem na bezbronnego przeciwnika i zrañ go precyzyjnym uderzeniem.
zts447e	Porywczoœæ
zts448e	Dodaj¹cy otuchy okrzyk, dla wzmocnienia morale twojego i cz³onków twojej grupy.
zts449e	Ziemisty szok
zts450e	Skieruj energiê swojego miecza w ziemiê, by spowodowaæ trzêsienie ziemi i zadaæ przeciwnikowi powa¿ne obra¿enia.
zts451e	Lataj¹cy smok
zts452e	Wykorzystaj si³ê obrotow¹ swojego miecza, by zadaæ krytyczne obra¿enia.
zts453e	Otrzymujesz potê¿ne i niszczycielskie si³y.
zts454e	Pchniêcie mieczem
zts455e	To podstawowy atak Ninja.
zts456e	Ciêcie krzy¿owe
zts457e	Ciêcie mieczem wzd³u¿ i wszerz, tak by przeciwnik zosta³ powa¿nie zraniony.
zts458e	Energiczne ostrze
zts459e	Uderzenie mieczem, które jest w stanie rozpo³owiæ grunt i zniszczyæ przeciwnika z dystansu.
zts460e	Atak ³añcuchowy
zts461e	Wielokrotny atak dla zmylenia i wyeliminowania przeciwnika.
zts462e	Os³ona ostrza
zts463e	Przemienia si³ê ataku przeciwnika w twoj¹ w³asn¹.
zts464e	Szturm miecza
zts465e	Atakuje niczym burza za pomoc¹ miecza.
zts466e	Atak z prêdkoœci¹ œwiat³a
zts467e	Przypuszcza atak w b³yskawicznym tempie.
zts468e	Odetchniêcie
zts469e	Podczas stanu g³êbokiej medytacji regenerujesz swoj¹ si³ê fizyczn¹ i psychiczn¹.
zts470e	Œmiertelne uderzenie
zts471e	Koncentracja energii, w celu zadania œmiertelnego ciosu w wybrany cel.
zts472e	Ostre ostrze
zts473e	Ostrzy twoje ostrze.
zts474e	Tañcz¹cy miecz
zts475e	Wpraw w ruch swój miecz i celuj we wroga.
zts476e	Sokole oko
zts477e	Precyzyjnie niczym sokó³ przypuszcza atak o zwiêkszonej celnoœci.
zts478e	Strza³ w g³owê
zts479e	Celny strza³ w g³owê, który mo¿e zadaæ krytyczne obra¿enia.
zts480e	Pêdziwiatr
zts481e	Na pewien czas zwiêksza szybkoœæ poruszania siê.
zts482e	Uderzenie pioruna
zts483e	Przeciwnik zostaje oœlepiony uderzeniem jasnego pioruna i nie mo¿e poprzez to przypuœciæ kontrataku.
zts484e	Potrójna strza³a
zts485e	U¿yj tej umiejêtnoœci, jeœli chcesz pojedynczym strza³em za³atwiæ kilku przeciwników na raz.
zts486e	Zwiêkszony Zasiêg
zts487e	Zwiêksza zasiêg twojego ataku d³ugodystansowego.
zts488e	Wiruj¹cy piorun
zts489e	Zadaje powa¿ne obra¿enia wszystkim przeciwnikom, którzy zetkn¹ siê z tym piorunem.
zts490e	Eksplozja pioruna
zts491e	Strza³y, które z moc¹ pioruna losowo uderzaj¹ w cele, znajduj¹ce siê w twoim bezpoœrednim otoczeniu.
zts492e	Szybka regeneracja
zts493e	Na pewien czas zmniejsza czas odnowy umiejêtnoœci.
zts494e	Burza
zts495e	Strza³y niczym grad spadaj¹ na twojego przeciwnika.
zts496e	Atak sztyletem
zts497e	To podstawowy atak zabójcy.
zts498e	Cios krytyczny
zts499e	Zwiêksza prawdopodobieñstwo zadania ciosu krytycznego.
zts500e	Krwawy cios
zts501e	Bardzo ordynarny i silny atak na przeciwników.
zts502e	Gêsta mg³a
zts503e	Tworzy gêst¹ mg³ê, by zmniejszyæ celnoœæ przeciwników.
zts504e	Miotanie hakiem ³añcuchowym
zts505e	Miota hak ³añcuchowy, by powaliæ przeciwnika na ziemiê.
zts506e	Skok obronny
zts507e	Jeœli pomyœlnie unikniesz ataku, czêœæ energii mo¿e zostaæ przywrócona.
zts508e	Rzut Kunai
zts509e	Zaatakuj wroga, rzucaj¹c w niego kunai.
zts510e	Mrok
zts511e	Mrok skrywa ciê przed oczami wroga. Atak na ciebie lub atak z twojej inicjatywy sprawia, ¿e efekt znika.
zts512e	Cios z obrotu
zts513e	Bardzo szybki atak obrotowy ze sztyletami w rêku.
zts514e	Œmiertelny cios
zts515e	Nag³y atak, zadaj¹cy œmiertelne obra¿enia.
zts516e	Mo¿na go skutecznie u¿yæ w po³¹czeniu z ¿ywio³em mroku.
zts517e	Bomba
zts518e	Odskakuje do ty³u, zostawiaj¹c eksploduj¹c¹ bombê na stopach przeciwnika.
zts519e	Potkniêcie
zts520e	To podstawowy atak ognistego maga.
zts521e	Po¿oga
zts522e	Wywo³uje ma³a eksplozjê, która zadaje przeciwnikowi obra¿enia.
zts523e	Ognisty oddech
zts524e	Przeciwnik zostaje spalony tchnieniem ognistego oddechu.
zts525e	Transfuzja many
zts526e	Czêœæ twoich P¯ zostaje zmieniona w PM.
zts527e	Burza ognia
zts528e	Burza ognia spala przeciwników w pobli¿u.
zts529e	Ognista lanca
zts530e	Przyzywa potê¿n¹ ognist¹ lancê, by unicestwiæ ni¹ przeciwnika.
zts531e	B³ogos³awieñstwo ognia
zts532e	Wzmacnia ¿ywio³ ognia i zwiêksza odpornoœæ na ogieñ.
zts533e	Œciana ognia
zts534e	Wzywa œcianê ognia, która zadaje przeciwnikowi obra¿enia.
zts535e	Deszcz meteorów
zts536e	Potê¿ny deszcz meteorów spada na przeciwnika.
zts537e	Inferno
zts538e	Pojawia siê potê¿ny s³up ognia i sprawia, ¿e grawitacja zanika.
zts539e	Uderzenie meteorytu
zts540e	Zsy³a wielki meteor, by zniszczy³ wrogów i wszystko, co znajduje siê w pobli¿u.
zts541e	Œwiêty atak
zts542e	Œwiêta kula œwiat³a formuje siê do ataku na przeciwników.
zts543e	Specjalny czar, który nie zu¿ywa PM.
zts544e	Leczenie
zts545e	Leczy wybran¹ postaæ.
zts546e	Œwiête œwiat³o
zts547e	Œwiête œwiat³o zstêpuje z nieba i niszczy przeciwników.
zts548e	Tarcza many
zts549e	Dooko³a ciebie tworzy siê tarcza.
