zts1e	Objeto nuevo
zts66e	Un regalo para aprendices de arquero.[n]Los aventureros no pueden utilizar esta arma.[n][n]
zts67e	Arco pequeño
zts68e	Un arco pequeño de madera.[n][n]
zts69e	Arco de la velocidad
zts70e	Un arco liviano y rápido, cuya velocidad aumenta notablemente el índice de acierto.[n][n]
zts71e	Arco de bambú
zts72e	Se trata de un arco poco estable hecho de bambú.[n][n]
zts73e	Arco mágico
zts74e	Un arco de la velocidad reforzado.[n]Aumenta los daños y el índice de acierto.[n][n]
zts75e	Arco de madera de roble
zts76e	Para que este arco fuera muy robusto, fue fabricado a partir de madera de roble.[n][n]
zts77e	Arco del viento
zts78e	Un antiguo erudito que estudiaba los vientos le otorgo a este arco su forma.[n]Utiliza el viento para aumentar tu poder de ataque.[n][n]
zts79e	Arco de cuerno
zts80e	Un arco muy solicitado y adornado con un cuerno.[n][n]
zts81e	Arco de cuero
zts82e	Un Arco adornado con cuero de vaca.[n]Causa daños críticos.[n][n]
zts83e	Arco de caza
zts84e	Arco de caza típico, con una gran estabilidad. Resulta apropiado para cazar animales salvajes.[n][n]
zts85e	Arco del valor
zts86e	Arma arqueros valientes.[n]Al añadir el elemento fuego, el daño aumenta.[n][n]
zts87e	Arco largo
zts88e	Se diferencia de otros arcos por su longitud.[n][n]
zts89e	Arco de bronce
zts90e	El arco del valor está recubierto de placas de bronce[n]que sirven para aumentar el poder de defensa.[n][n]
zts91e	Arco del espíritu
zts92e	Arco fortalecido por el poder de los espíritus.[n]Aumenta todos los poderes elementales.[n][n]
zts93e	Varita de principiante
zts94e	Un regalo para aprendices de mago.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts95e	Varita mágica con perla roja
zts96e	Una simple varita mágica cuya punta está decorada con una perla roja.[n][n]
zts97e	Varita mágica del espíritu
zts98e	El poder misterioso de la perla azul le concede a esta varita mágica poderes mágicos adicionales capaces de aumentar tu maná.[n][n]
zts99e	Varita mágica de rubí
zts100e	Esta varita mágica es muy valorada entre los magos jóvenes debido al gran rubí que la decora.[n][n]
zts101e	Varita mágica
zts102e	Gracias a un polvo misterioso esta arma obtiene habilidades especiales que facilitan los ataques mágicos.[n][n]
zts103e	Varita mágica con perla azul
zts104e	Una simple varita mágica cuya punta está decorada con una perla azul.[n][n]
zts105e	Varita mágica de la Luz
zts106e	Una luz misteriosa rodea esta arma y refuerza tu ataque al mismo tiempo que mejora tu regeneración.[n][n]
zts107e	Varita mágica de ópalo
zts108e	Esta vara mágica está adornada con ópalos que le dan un aspecto maravilloso.[n][n]
zts109e	Varita mágica de maná
zts110e	Aumenta tus reservas de maná y tu regeneración de maná.[n][n]
zts111e	Varita mágica de corales
zts112e	Esta varita mágica está adornada con corales de las profundidades del océano.[n][n]
zts113e	Varita mágica del honor
zts114e	Solo los magos más honorables tienen permitido emplear esta varita mágica contra el mal.[n][n]
zts115e	Varita mágica de cristal
zts116e	El helado fulgor de los lujosos cristales con los que se adornó está arma provoca un terrible miedo en tus enemigos.[n][n]
zts117e	Varita mágica de la inteligencia
zts118e	Purifica el alma de su dueño con el poder de los elementos y aumenta así tus puntos de vida y de maná.[n][n]
zts119e	Varita mágica de la sombra
zts120e	Esta varita mágica está llena de energía de las tinieblas por lo cual tendrá consecuencias terribles para tu oponente. [n][n]
zts121e	Guantes de cuero
zts122e	Estos guantes de cuero blando aumentan el poder de ataque a distancia de quien los lleva.[n][n]
zts123e	Guantes resistentes
zts124e	Impedir que el arma se resbale. [n] Mejora la fuerza de ataque cuerpo a cuerpo[n][n]
zts125e	Zapatos de aventura
zts126e	Solo para aventureros. [n][n]
zts127e	Zapatos de tacón
zts128e	Elaborado de alta calidad.[n][n]
zts129e	Zapatos de cuero
zts130e	Zapatos hechos en cuero.[n][n]
zts131e	Patines
zts132e	Pueden deslizarse muy rápido [n] originalmente se utilizaban para bailar [n][n]
zts133e	Espada del maestro
zts134e	Esta espada la utilizan los aventureros experimentados.[n][n]
zts135e	Catapulta del maestro
zts136e	Los aventureros experimentados utilizan esta arma tras finalizar su formación.[n][n]
zts137e	Ballesta de principiante
zts138e	Un arma secundaria para aspirantes a espadachín.[n][n]
zts139e	Ballesta de madera de roble
zts140e	Ballesta robusta fabricada con madera de roble.[n][n]
zts141e	Ballesta de hadas
zts142e	Ballesta de los guardianes del bosque con un índice de acierto aumentado.[n][n]
zts143e	Guantes finos
zts144e	Inutilizable.[n][n]
zts145e	Guantes de caucho
zts146e	Guantes forrados.[n]Con ellos se pueden llevar incluso objetos pesados sin problemas.[n][n]
zts147e	Ballesta de acero
zts148e	Una ballesta pesada hecha de acero. Aumenta el poder de ataque.[n][n]
zts149e	Ballesta virtuosa
zts150e	Esta ballesta lujosa y equilibrada es la obra maestra de un herrero muy famoso.[n][n]
zts151e	Ballesta de la sombra
zts152e	Una ballesta común con un mango cómodo envuelta en poderes oscuro.[n][n]
zts153e	Ballesta de madera de haya
zts154e	La cuidadosa elaboración en madera de haya permite en todo momento cargar esta arma rápidamente.[n][n]
zts155e	Ballesta del valor
zts156e	El espíritu de los valientes espadachines que antaño llevaron esta arma aumentan la moral de su dueño.[n][n]
zts157e	Puñal de principiante
zts158e	Un arma secundaria para aspirantes a arquero.[n][n]
zts159e	Puñal
zts160e	Daga discreta hecha de metal.[n][n]
zts161e	Puñal de la tortura
zts162e	En situaciones drásticas , este puñal aumenta la probabilidad de un impacto crítico.[n][n]
zts163e	Puñal precioso
zts164e	Daga decorada con joyas con un poder de ataque claramente aumentado.[n][n]
zts165e	Puñal maestro
zts166e	Esta daga lujosa y equilibrada es la obra maestra de un herrero muy famoso.[n][n]
zts167e	Daga de latón
zts168e	Una daga común de latón [n][n]
zts169e	Daga de rubí
zts170e	Esta daga decorada con rubíes es el orgullo de todo arquero.[n][n]
zts171e	Daga del espíritu
zts172e	El poder del espíritu mejora todos los elementos cuando se usa esta daga.[n][n]
zts173e	Arma mágica de principiante
zts174e	Un arma secundaria para aspirantes a Mago.[n][n]
zts175e	Arma mágica pequeña
zts176e	Un arma pequeña no muy eficaz, especialmente adecuada para magos principiantes.[n][n]
zts177e	Arma mágica hechizada
zts178e	Esta arma está envuelta en una poderosa magia blanca y no deja posibilidad para que la magia negra la destruya.[n][n]
zts179e	Arma mágica dorada
zts180e	Su llamativa decoración dorada atrae la atención de todos los magos, lo que hace de este objeto muy codiciado.[n][n]
zts181e	Arma mágica maestra
zts182e	Esta arma es la obra maestra de un famoso herrero. Su gran estabilidad y su poder de ataque permiten someter a los enemigos a unos ataques particularmente fuertes.[n][n]
zts183e	Arma mágica de latón
zts184e	Un arma pesada y resistente fabricada en latón.[n][n]
zts185e	Arma mágica noble
zts186e	Los magos más nobles escogen esta arma porque refuerza los ataques mágico.[n][n]
zts187e	Arma mágica de la sombra
zts188e	Esta poderosa arma causa daños devastadores a los adversarios.[n][n]
zts189e	Armadura para aspirantes a espadachín
zts190e	Forma parte del equipamiento básico de todo espadachín.[n][n]
zts191e	Armadura acolchada
zts192e	Una armadura acolchada con poco poder de defensa.[n][n]
zts193e	Armadura de estepa
zts194e	Varias capas de algodón pespunteado,[n]ligero y caliente.[n][n]
zts195e	Armadura de piel
zts196e	Una armadura de piel curtida.[n][n]
zts197e	Armadura de la resistencia
zts198e	Aumenta fuerza y resistencia.[n][n]
zts199e	Armadura de piel y tachuelas
zts200e	Armadura de piel optimizada con piezas de metal.[n]Su poder de defensa no es nada especial.[n][n]
zts201e	Armadura de piel optimizada
zts202e	Una armadura de dos capas hecha en piel curtida.[n]Un peso pluma con un gran poder de defensa.[n][n]
zts203e	Armadura de escamas
zts204e	Está formada por escamas de metal.[n][n]
zts205e	Armadura de la moral
zts206e	Esta armadura refuerza tu moral.[n][n]
zts207e	Armadura de placas
zts208e	Una armadura provista de placas de acero.[n][n]
zts209e	Armadura dorada de tachuelas
zts210e	Una impresionante armadura decorada con tachuelas doradas[n] Es pesada, pero aumenta considerablemente la defensa mágica.[n][n]
zts211e	Brigandine
zts212e	Tiene planchas de acero más macizas que la "Armadura de placas"
zts213e	Armadura del valor
zts214e	Aumenta el poder de ataque.[n][n]
zts215e	Túnica para aspirantes a arquero.
zts216e	Forma parte del equipamiento básico de todo arquero.[n][n]
zts217e	Túnica de piel de cordero
zts218e	Una túnica de piel de cordero [n][n]
zts219e	Túnica de velour
zts220e	Un cuero sintético y rugoso cómodo de llevar[n]Aumenta ligeramente la probabilidad de impacto crítico para todas las armas.[n][n]
zts221e	Túnica de piel de cabra
zts222e	Una túnica de piel de cabra.[n][n]
zts223e	Túnica de la escapatoria
zts224e	Muy liviano y confortable, como si no llevaras nada de armadura.[n]Te vuelve más ágil y te facilita esquivar en combate cuerpo a cuerpo[n][n]
zts225e	Túnica de piel de ternero
zts226e	Una túnica de piel de ternero.[n][n]
zts227e	Bata de piel de venado
zts228e	Una túnica cómoda y caliente hecha de suave cuero rugoso.[n]Restablece HP y MP.[n][n]
zts229e	Túnica de piel de vaca
zts230e	Una túnica de piel de ternero.[n][n]
zts231e	Túnica del ojo de águila
zts232e	La visión mejorada aumenta tu poder de ataque.[n][n]
zts233e	Túnica de Peccary
zts234e	Una túnica hecha en piel de puerco.[n][n]
zts235e	Túnica de Nubuk
zts236e	Cuero de buey ligeramente cardado.[n]Te protege en la lucha cuerpo a cuerpo.[n][n]
zts237e	Túnica de Toscana
zts238e	Con un suave relleno de piel[n][n]
zts239e	Túnica de espíritus
zts240e	Esta túnica goza de la protección de los espíritus y tiene un gran poder de defensa.[n][n]
zts241e	Vestimenta para aprendices de mago
zts242e	Forma parte del equipamiento básico de todo mago.[n][n]
zts243e	Vestimenta de algodón
zts244e	Un atuendo fabricado en algodón.[n][n]
zts245e	Vestimenta mágica de algodón
zts246e	Te envuelve en magia.[n]Regenera HP.[n][n]
zts247e	Vestimenta de lino
zts248e	Un ropaje fino de hilos entretejidos.[n] Bloquea ataques a larga distancia.[n][n]
zts249e	Ropaje de recuperación
zts250e	Agudiza tu mente.[n]Restablece el nivel de MP y bloquea ataques cuerpo a cuerpo.[n][n]
zts251e	Ropaje de Tweed
zts252e	Un atuendo hecho de hilo grueso[n]que sirve para la defensa ante ataques cuerpo a cuerpo y ofrece una gran resistencia contra el fuego.[n][n]
zts253e	Vestimenta optimizada de lino
zts254e	Esta vestimenta, hecha de algodón y luno, aumenta la capacidad de resistencia.[n]También reduce los impactos en la lucha cuerpo a cuerpo.[n][n]
zts255e	Ropaje de Musselin
zts256e	Un ropaje liviano, cálido y elástico.[n][n]
zts257e	Ropaje de los elementos
zts258e	Aumenta todas las resistencias contra elementos.[n][n]
zts259e	Vestimenta de seda
zts260e	Una lujosa vestimenta de seda.[n][n]
zts261e	Ropaje a cuadros
zts262e	Su diseño poco habitual refuerza los efectos mágicos.[n][n]
zts263e	Ropaje de espinas de pescado
zts264e	Este elegante estampado confiere al portador un aspecto intelectual.[n][n]
zts265e	Vestimenta de las tinieblas
zts266e	Sentencia a todos los que te atacan.[n][n]
zts267e	Abrigo de antiguos aventureros
zts268e	Es muy popular entre los aventureros de más edad.[n][n]
zts269e	Máscara de duende (GM)
zts270e	Espada corta
zts271e	Espada corta para los gladiadores[n]Aumenta la moral y la probabilidad de causar daño crítico.[n][n]
zts272e	Espada valona
zts273e	Espada discreta elaborada en acero.[n][n]
zts274e	Sable de vikingo
zts275e	Un sable lleno de energía oscura para guerreros temerarios.[n][n]
zts276e	Alfanje
zts277e	Aumenta el nivel de moral de quien usa esta espada.[n][n]
zts278e	Katzbalger
zts279e	Aumenta la probabilidad de impacto crítico y el daño.[n][n]
zts280e	Espada de caballero
zts281e	Una hoja para jinetes osados provista de la energía de una luz poderosa.[n][n]
zts282e	Homicida
zts283e	Sus poderes oscuros causan daño crítico al enemigo.[n][n]
zts284e	Arco de la vida
zts285e	Un arco fino que causa daño crítico.[n][n]
zts286e	Arco de llamas
zts287e	Un arco con el elemento fuego.[n][n]
zts288e	Arco sintético
zts289e	Un arco robusto y letal.[n][n]
zts290e	Arco doble
zts291e	Por medio del ataque del elemento luz este arco causa daños adicionales.[n][n]
zts292e	Arco salvaje
zts293e	Está lleno de energía oscura y vuelve impávido.[n][n]
zts294e	Arco grande
zts295e	El poder del elemento agua permite a este arco causar grandes daños a tus enemigos.[n]
zts296e	Arco de asedio
zts297e	Daño crítico aumentado gracias a la incorporación del elemento fuego.[n][n]
zts298e	Varita mágica de la vida
zts299e	Insufla a su portador energía vital.[n][n]
zts300e	Varita mágica de llamas
zts301e	Aumenta el elemento fuego pero también reduce el elemento agua.[n][n]
zts302e	Vara mágica helada
zts303e	La energía concentrada del agua convierte esta vara en una poderosa arma.[n][n]
zts304e	Vara mágica de Loon
zts305e	Esta vara está hechizada de tal manera que aumenta los daños.[n][n]
zts306e	Varita mágica
zts307e	Esta varita mágica obtiene su poder de dos fuentes de energía diferentes, lo que reduce considerablemente tu consumo de MP.[n][n]
zts308e	Varita mágica bendita
zts309e	Los poderes sagrados aumentan la resistencia contra las fuerzas del mal y confieren poderes extraordinarios a los magos seguidores de la magia blanca.[n][n]
zts310e	Varita mágica del alma
zts311e	El poder de las almas protege al portador de esta arma.[n][n]
zts312e	Ballesta de combate
zts313e	Esta ballesta letal fue creada para la batalla.[n][n]
zts314e	Ballesta de asedio
zts315e	Esta arma dispara flechas provistas del elemento fuego.[n][n]
zts316e	Puñal de Highlander
zts317e	Una daga muy peligrosa que te otorga una alta probabilidad de impacto crítico.[n][n]
zts318e	Puñal de Poignard
zts319e	Un puñal lleno de energía oscura.[n][n]
zts320e	Arma mágica normal
zts321e	Un arma mágica con un poder de ataque particularmente fuerte.[n][n]
zts322e	Arma mágica de bronce
zts323e	Esta arma mágica posee el elemento agua.[n][n]
zts324e	Armadura de seguridad
zts325e	Una armadura especialmente robusta. [n][n]
zts326e	Armadura de cuero dura
zts327e	Una armadura con un alto poder de defensa y resistencia al fuego.[n][n]
zts328e	Armadura del vencedor
zts329e	Permite esquivar ataques de larga distancia.[n][n]
zts330e	Armadura del guardián
zts331e	Reduce el daño de la lucha cuerpo a cuerpo.[n][n]
zts332e	Armadura de caballero
zts333e	Una armadura para caballeros. Permite escapar y bloquear.[n][n]
zts334e	Armadura de piedra
zts335e	Una armadura especial que puede absorber y bloquear.[n][n]
zts336e	Túnica relámpago
zts337e	Refuerza la defensa contra ataques mágicos y de larga distancia.[n][n]
zts338e	Túnica de la naturaleza
zts339e	Llena de energía de la naturaleza,[n]esta túnica aumenta el nivel de HP y MP.[n][n]
zts340e	Túnica de piel de tiburón
zts341e	Bloquea los ataques mágicos y de lucha cuerpo a cuerpo [n][n]
zts342e	Túnica del aliento
zts343e	Lleno del aliento de la muerte.[n][n]
zts344e	Túnica del viento
zts345e	Bloquea todos los ataques.[n][n]
zts346e	Túnica de dríada
zts347e	Contiene todo tipo de poderes elementales y resistencias.[n]Disminuye el consumo de Mana.[n][n]
zts348e	Vestimenta de principiante
zts349e	Refuerza la defensa en lucha cuerpo a cuerpo y de larga distancia.[n][n]
zts350e	Ropaje suave
zts351e	Bloquea ataques a larga distancia.[n][n]
zts352e	Vestimenta de la claridad
zts353e	Sirve para la defensa en la lucha cuerpo a cuerpo y es resistente al fuego.[n][n]
zts354e	Ropaje estampado
zts355e	Confiere resistencia al agua y a la luz.[n][n]
zts356e	Vestimenta mágica
zts357e	Reduce el consumo de maná del afectado.[n][n]
zts358e	Vestimenta de la fuente
zts359e	Tiene cierta probabilidad de bloquear todos los ataques.[n][n]
zts360e	Amuleto del nivel de ataque
zts361e	Amuleto del nivel de defensa
zts362e	Amuleto de nivel de ataque y defensa
zts363e	Amuleto del poder de ataque
zts364e	Amuleto de la defensa
zts365e	Amuleto de la curación
zts366e	Amuleto de la resistencia al fuego
zts367e	Amuleto de la resistencia a la luz
zts368e	Amuleto de la resistencia al agua
zts369e	Amuleto de resistencia a las tinieblas
zts370e	Amuleto de la resistencia
zts371e	Amuleto del impacto crítico
zts372e	Amuleto del daño crítico
zts373e	Amuleto de la absorción corporal
zts374e	Amuleto de la absorción mágica
zts375e	Amuleto de la absorción de ataques a larga distancia
zts376e	Amuleto de la absorción de todos los ataques
zts377e	Amuleto del bloqueo físico
zts378e	Amuleto del bloqueo mágico
zts379e	Amuleto del bloqueo de ataques a larga distancia
zts380e	Diadema
zts381e	Protege la cabeza contra ataques fuertes.[n][n]
zts382e	Sombrero blando
zts383e	Un sombrero blando.[n][n]
zts384e	Hojas de camuflaje
zts385e	No parecen ser muy útiles.[n][n]
zts386e	Protector de oídos mandra
zts387e	Se ajusta bien sobre las orejas.[n]Tiene una cierta probabilidad de proteger frente al grito del Mandra.[n][n]
zts388e	Sombrero de hipopótamo
zts389e	Un sombrero muy blando en forma de hipopótamo[n] Tiene una alta probabilidad de proteger contra el aturdimiento [n][n]
zts390e	Gafas modernas
zts391e	Máscara de duende
zts392e	Máscara de cara de duende.[n]Aunque ataques a un Duende minero, los demás Duendes no te atacarán.[n]
zts393e	Sombrero de cornamenta
zts394e	Aumenta los HP.[n]&#9670;Tiene una cierta probabilidad de proteger frente al grito del Mandra.[n][n]
zts395e	Sombrero de desatascador
zts396e	Adorno para el pelo
zts397e	Protege de hemorragias con una probabilidad alta.[n][n]
zts398e	Antenas
zts399e	Diadema del oráculo
zts400e	Sombrero de Pooh Pooh
zts401e	Solideo
zts402e	Cuerno de búfalo de agua
zts403e	Gafas rectangulares
zts404e	Máscara guiñona
zts405e	Máscara golpeadora
zts406e	Monóculo
zts407e	Máscara X
zts408e	Barba y maquillaje
zts409e	Amuleto del bloqueo de todos los ataques
zts410e	Amuleto del elemento fuego
zts411e	Amuleto del elemento agua
zts412e	Amuleto del elemento luz
zts413e	Amuleto del elemento tinieblas
zts414e	Amuleto para elevar la energía oscura
zts415e	Chicky saltador
zts417e	Chicky bailador
zts418e	Chicky refunfuñón
zts419e	Amuleto de protección de apuestas (arma)
zts420e	Si pierdes al apostar y tienes este amuleto,[n]pierdes este en lugar de tu arma.[n](Se puede utilizar 3 veces)[n][n]
zts421e	Amuleto de protección de apuestas (equipamiento)
zts422e	Si pierdes al apostar y tienes este amuleto,[n]pierdes este en lugar de tu armadura.[n](Se puede utilizar 3 veces)[n][n]
zts423e	Amuleto de aumento del nivel de rareza
zts424e	Si lo llevas contigo, tu nivel de rareza al apostar aumentará en 1.[n](Sin fallo)[n][n]
zts425e	Amuleto para reforzar un arma con nivel fijo
zts426e	Si lo conservas, podrás reforzar tu arma del nivel fijado[n]con la probabilidad habitual.[n]Existe la posibilidad de obtener nuevamente el nivel fijado.[n]Si tienes éxito al reforzarlo, el nivel se liberará.[n]Cuidado:[n]Si fallas, el objeto puede desaparecer.[n](Se puede utilizar 2 veces) [n][n]
zts427e	Amuleto del refuerzo de armaduras
zts428e	Si lo conservas, podrás reforzar tu armadura del nivel fijado[n]con la probabilidad habitual.[n]Existe la posibilidad de obtener nuevamente el nivel fijado.[n]Si tienes éxito al reforzarla, el nivel se liberará.[n]Cuidado:[n]Si fallas, el objeto puede desaparecer.[n](Se puede utilizar 2 veces) [n][n]
zts429e	Espada de Elvin
zts430e	Esta espada está rodeada por un aura sagrada.[n][n]
zts431e	Sable glorioso
zts432e	Equipado con todos los elementos y resistencias, este sable es un arma valiosa para cualquier espadachín.[n][n]
zts433e	Espada elemental rota
zts434e	Un ataque con esta espada reduce la resistencia elemental de tu adversario y el daño por impacto crítico.[n][n]
zts435e	Arco rojo
zts436e	Absorbe los HP del oponente[n]y aumenta el poder de ataque a corta distancia.[n][n]
zts437e	Arco de la paz
zts438e	El poder de la naturaleza aumenta los daños.[n][n]
zts439e	Arco majestuoso
zts440e	Todos los elementos protegen al portador de esta arma del daño por ataques mágicos.[n][n]
zts441e	Varita mágica legendaria
zts442e	Esta varita mágica domina el elemento fuego y roba a los enemigos su alma.[n][n]
zts443e	Vara mágica del espíritu
zts444e	Los poderes de los espíritus que alberga esta vara roban al enemigo toda resistencia al poder de los elementos y la convierte en energía adicional que refuerza a su dueño.[n][n]
zts445e	Varita mágica majestuosa
zts446e	La gente sabia suele llevar esta arma para protegerse.[n][n]
zts447e	Túnica azul del sabio
zts448e	Ropaje de Prueba
zts449e	Solaris
zts450e	Esta adorable Mascota refuerza en un 30% el poder de ataque de su dueño gracias al poder del elemento luz.[n][n]
zts451e	Sellaim
zts452e	El Hada del fuego crece hasta el nivel 70.[n]¡No se puede intercambiar entre jugadores![n][n]
zts453e	Woondine
zts454e	El Hada del agua crece hasta el nivel 70.[n]¡No se puede intercambiar entre jugadores![n][n]
zts455e	Eperial
zts456e	El Hada de la luz crece hasta el nivel 70.[n]¡No se puede intercambiar entre jugadores![n][n]
zts457e	Turik
zts458e	El Hada de las tinieblas crece hasta el nivel 70.[n]¡No se puede intercambiar entre jugadores![n][n]
zts459e	Sellaim grande
zts460e	Woondine grande
zts461e	Eperial grande
zts462e	Turik grande
zts463e	Amuleto bendito
zts465e	Amuleto de la protección
zts467e	Amuleto del refuerzo
zts468e	Puede reforzar el equipamiento en el nivel fijado. [n]No obstante, este no protege al equipamiento de la destrucción; para evitarla se necesita un Pergamino de protección de equipamiento a la vez. Se utiliza normalmente para armas y equipamiento[n] (Puede utilizarse 3 veces).[n][n]
zts469e	Perla de mascota
zts470e	Con este objeto puedes[n]colocar a tu NosMate en una perla[n]y conservarla en tu inventario[n]o en el almacén.[n]Los NosMates que se encuentran dentro de una perla[n] se pueden intercambiar [n]con otros jugadores.[n][n][Instrucciones][n]Escoge tu NosMate y haz clic[n]dos veces sobre la perla.[n][n][Atención][n]El almacenamiento del NosMate[n]en esta perla provocará[n]la pérdida de su nombre. Si tu[n]NosMate tiene un nivel superior[n]al tuyo, puedes liberarlo[n]en el Mini-mundo, pero no[n]te lo puedes llevar de misión.[n][n]
zts471e	Perla de compañero
zts472e	Con este objeto puedes[n]colocar a tu compañero en una perla[n]y conservarla en tu inventario[n]o en el almacén.[n]Los compañeros que se encuentran dentro de una perla[n] se pueden intercambiar [n]con otros jugadores.[n][n][Instrucciones][n]Escoge tu compañero y haz clic[n]dos veces sobre la perla.[n][n][Atención][n]El almacenamiento del compañero[n]en esta perla provocará[n]la pérdida de su nombre. Si tu[n]compañero tiene un nivel superior[n]al tuyo, puedes liberarlo[n]en el Mini-mundo, pero no[n]te lo puedes llevar de misión.[n][n]
zts473e	Portador de tarjetas del especialista
zts474e	Sirve para almacenar una tarjeta del especialista.[n]Puede canjearse entre los jugadores.[n][Instrucciones][n]Primero debes equipar la tarjeta.[n]Después haz doble clic en el portador de la tarjeta del especialista para que esta se desprenda de tu cuerpo y se traslade al portador.[n]Si la quieres volver a extraer, haz doble clic en el Portador.[n][Atención][n]Si la tarjeta del especialista todavía tiene puntos de habilidad tienes que distribuirlos primero para guardarla con éxito.[n]El portador desaparecerá cuando vuelvas a extraer la tarjeta del especialista.[n][n]
zts475e	Amuleto para la inauguración de NosMall
zts476e	Scrammer
zts477e	Kris
zts478e	Ballesta de Winslet
zts479e	Ballesta de Balenty
zts480e	Arma mágica de Plaz
zts481e	Arma mágica de la Luz
zts482e	Mirada del guardián
zts483e	Túnica de la luz
zts484e	Defensor intrépido
zts485e	Defensor magnífico
zts486e	Montañas fogosas
zts487e	Una espada poderosa capaz de infligir importantes daños.[n][n]
zts488e	Arco del poder
zts489e	Este arco inflige grandes daños a determinados monstruos.[n][n]
zts490e	Varita mágica de Kai
zts491e	Utilizada por magos destacados.[n][n]
zts492e	Caja del raid
zts493e	¿Qué hay en el baúl?[n]Descubrelo abriendo el baúl con doble clic.[n]En caso de que el ítem recibido sea un ítem de equipamiento, este obtendrá el mismo nivel de rareza que el del baúl.[n][n]
zts494e	Collar precioso de Oriharcon
zts495e	Collar antiguo de Oriharcon
zts496e	Anillo precioso de Oriharcon
zts497e	Anillo antiguo de Oriharcon
zts498e	Brazalete precioso de Oriharcon
zts499e	Brazalete antiguo de Oriharcon
zts500e	Collar antiguo de cristal
zts501e	Anillo antiguo de cristal
zts502e	Brazalete antiguo de cristal
zts503e	Collar antiguo de diamantes
zts504e	Anillo antiguo de diamantes
zts505e	Brazalete antiguo de diamantes
zts506e	Guantes flamígeros
zts507e	Guantes de tormenta
zts508e	Guantes divinos
zts509e	Guantes de muerte
zts510e	Zapatos de fuego
zts511e	Zapatos ondulados
zts512e	Zapatos del fulgor
zts513e	Zapatos de las tinieblas
zts514e	Anillo rojo de Radal
zts515e	Uno de los anillos que se encontraba en posesión de Radal cuando estaba vivo. Este objeto se utiliza para misiones importantes.[n][n]
zts516e	Anillo azul de Radal
zts517e	Guantes insolubles
zts518e	Estos guantes son resistentes al ácido,[n]y no se oxida fácilmente.[n][n]
zts519e	Collar antiguo dorado
zts520e	Collar precioso dorado
zts521e	Anillo de plata
