zts1e	Attacco Speciale
zts124e	Modifica la probabilità di Evasione e la Difesa.
zts125e	Modifica l'Evasione.
zts126e	Modifica l'Evasione Ravvicinata.
zts127e	Modifica l'Evasione Distante.
zts128e	Modifica la percentuale della Difesa.
zts129e	Aumenta l'evasione da qualsiasi attacco di %s.
zts130e	L'evasione da tutti gli attacchi diminuisce di %s.
zts131e	L'evasione da tutti gli Attacchi Ravvicinati aumenta di %s.
zts132e	Diminuisce la possibilità di scansare attacchi ravvicinati di un %s.
zts133e	Aumenta l'evasione dagli Attacchi a Distanza di %s.
zts134e	Diminuisce l'evasione dagli Attacchi a Distanza di %s.
zts135e	Aumenta la Difesa del %s%%.
zts136e	Diminuisce la Difesa del %s%%.
zts137e	Modifica del Blocco
zts138e	Modifica tutti i Blocchi
zts139e	Modifica la Cella vicina
zts140e	Cambia la Cella a Distanza.
zts141e	Cambia la Cella Magica.
zts142e	%s%% di probabilità che il danno inflitto dagli attacchi aumenti del seguente valore: %s%%.
zts143e	%s%% di probabilità che il danno provocato dagli attacchi diminuisca del seguente valore: %s%%.
zts144e	Il danno provocato dagli attacchi ravvicinati aumenta con una probabilità di un %s%% di un %s%%.
zts145e	Vi è una probabilità del %s%% che i danni provocati dagli attacchi ravvicinati diminuiscano del %s%%.
zts146e	Il danno provocato dagli Attacchi Distanti aumenta con una probabilità di un %s%% di un %s%%.
zts147e	Vi è una probabilità del %s%% che i danni provocati dagli attacchi a distanza diminuiscano del %s%%.
zts148e	Il danno provocato dagli Attacchi Magici aumenta con una probabilità di un %s%% di un %s%%.
zts149e	Il danno provocato da un attacco magico diminuisce del %s%% con una probabilità del %s%%.
zts150e	Modifica l'Assorbimento.
zts151e	Modifica tutti gli Assorbimenti.
zts152e	Modifica l'Assorbimento Ravvicinato.
zts153e	Modifica l'Assorbimento a Distanza.
zts154e	Modifica l'Assorbimento Magico.
zts155e	Il danno provocato da tutti gli Attacchi al di sotto del Lv %s aumenta del %s%%.
zts156e	Il danno provocato da tutti gli Attacchi al di sotto del Lv %s diminuisce del %s%%.
zts157e	Il danno provocato da tutti gli Attacchi Ravvicinati al di sotto del Lv %s aumenta del %s%%.
zts158e	Il danno provocato da tutti gli Attacchi Ravvicinati al di sotto del Lv %s diminuisce del %s%%.
zts159e	Il danno provocato da tutti gli Attacchi Distanti al di sotto del Lv %s aumenta del %s%%.
zts160e	Il danno provocato da tutti gli Attacchi Distanti al di sotto del Lv %s diminuisce del %s%%.
zts161e	Il danno provocato da tutti gli Attacchi Magici al di sotto del Lv %s aumenta del %s%%.
zts162e	Il danno provocato da tutti gli Attacchi Magici al di sotto del Lv %s diminuisce del %s%%.
zts163e	Modifica la Resistenza Elementale
zts164e	Modifica tutte le Resistenze.
zts165e	Modifica la Resistenza Fuoco.
zts166e	Modifica la Resistenza Acqua.
zts167e	Modifica la Resistenza Luce.
zts168e	Modifica la Resistenza Oscura.
zts169e	Aumenta tutte le Resistenze di %s.
zts170e	Riduce (-%s) la resistenza contro tutti gli elementi.
zts171e	Aumenta la Resistenza Fuoco di %s.
zts172e	Diminuisce la Resistenza Fuoco di %s.
zts173e	Aumenta la resistenza all'acqua di %s.
zts174e	Diminuisce la Resistenza Acqua di %s.
zts175e	Aumenta la resistenza alla luce di %s.
zts176e	Diminuisce la Resistenza Luce di %s.
zts177e	Aumenta la Resistenza Oscura di %s.
zts178e	Diminuisce la Resistenza Oscura di %s.
zts179e	Modifica la Resistenza dell'Avversario.
zts180e	Modifica tutte le Resistenze dell'Avversario.
zts181e	Modifica la Resistenza Fuoco dell'Avversario.
zts182e	Modifica la Resistenza Acqua dell'Avversario.
zts183e	Modifica la Resistenza Luce dell'Avversario.
zts184e	Modifica la Resistenza Oscura dell'Avversario.
zts185e	Durante l'Attacco, aumenta la resistenza dell'Avversario di %s.
zts186e	Durante l'attacco, diminuisce la Resistenza dell'Avversario di %s.
zts187e	Durante l'attacco, aumenta la Resistenza Fuoco dell'Avversario di %s.
zts188e	Durante l'attacco, diminuisce la Resistenza Fuoco dell'Avversario di %s.
zts189e	Durante l'attacco, aumenta la Resistenza Acqua dell'Avversario di %s.
zts190e	Durante l'attacco, diminuisce la Resistenza Acqua dell'Avversario di %s.
zts191e	Durante l'attacco, aumenta la Resistenza Luce dell'Avversario di %s.
zts192e	Durante l'attacco, diminuisce la Resistenza Luce dell'Avversario di %s.
zts193e	Durante l'attacco, aumenta la Resistenza Oscura dell'Avversario di %s.
zts194e	Durante l'attacco, diminuisce la Resistenza Oscura dell'Avversario di %s.
zts195e	Modifica il Danno.
zts196e	Modifica tutti i Danni.
zts197e	Modifica il Danno Ravvicinato.
zts198e	Modifica il Danno a Distanza.
zts199e	Modifica il Danno Magico.
zts200e	Il danno subito in seguito ai vari attacchi aumenta del seguente valore: %s%%.
zts201e	Il danno subito è stato ridotto della seguente percentuale: %s%%.
zts202e	Aumenta l'Attacco Ravvicinato del %s%%.
zts203e	Diminuisce l'Attacco Ravvicinato de %s%%.
zts204e	Aumenta l'Attacco a Distanza del %s%%.
zts205e	Diminuisce l'Attacco a Distanza del %s%%.
zts206e	Aumenta l'Attacco Magico del %s%%.
zts207e	Diminuisce l'Attacco Magico del %s%%.
zts208e	Evasione incondizionata e Distanza
zts209e	Cambia % di Evasione
zts210e	Modifica la Percentuale di Evasione
zts211e	Non applica le penalità dell'Attacco a Distanza.
zts212e	Il danno inflitto è direttamente proporzionale alla distanza da cui esso viene lanciato.
zts213e	La probabilità di colpire sempre il bersaglio è del %s%%.
zts214e	Con la probabilità del %s%% è possibile evadere l'Attacco.
zts215e	In un attacco a distanza, non vengono applicate penalità.
zts216e	La forza di attacco a distanza aumenta di pari passo con l'incremento della lontananza dall'avversario.
zts217e	Modifica il Morale.
zts218e	Modifica il Morale.
zts219e	Raddoppia il Morale.
zts220e	Non ha nessun impatto sul Morale.
zts221e	Modifica tempo di caricamento.
zts222e	Ignora il Morale
zts223e	Aumenta il Morale di %s.
zts224e	Diminuisce il Morale di %s.
zts225e	Raddoppia il Morale.
zts226e	Dimezza il Morale.
zts227e	Non ha effetto sul Morale
zts228e	Aumenta del %s%% il Tempo di Caricamento delle Abilità.
zts229e	Riduce il tempo di ricarica delle abilità usate del seguente valore: %s%%.
zts230e	Durante l'attacco, ignora il morale dell'Avversario.
zts231e	Lancio
zts232e	Modifica Tempo di Lancio.
zts233e	Modifica il Consumo degli MP.
zts234e	Modifica il caricamento degli MP.
zts235e	Permette di far fallire il Lancio.
zts236e	Impedisce il Lancio di Abilità.
zts237e	Aumenta il Tempo di Lancio fino al %s%% (magie incluse).
zts238e	Diminuisce il Tempio di Lancio della Abilità del %s%% (magie incluse).
zts239e	Aumenta il consumo di MP del %s%% (magie incluse).
zts240e	Diminuisce il consumo di MP del %s%% (magie incluse).
zts241e	Aumenta la velocità d`Attacco del %s%%.
zts242e	Diminuisce la Velocità d'Attacco del %s%%.
zts243e	Impedisce il Lancio di Abilità (magie incluse).
zts244e	Disattiva il Tempo di Lancio (magie incluse).
zts245e	Spostamento
zts246e	Impedisce qualsiasi movimento.
zts247e	Modifica la velocità.
zts248e	Modifica la velocità dei movimenti.
zts249e	Aumenta/Diminuisce la velocità.
zts250e	Impedisce di muoversi.
zts251e	Aumenta la velocità di un %s%%.
zts252e	Diminuisce la velocità del %s%%.
zts253e	Velocità modificata: %s.
zts254e	Aumenta la velocità di %s.
zts255e	Diminuisce la Velocità di %s.
zts256e	Riflesso
zts257e	Modifica gli HP in base al danno inflitto %s.
zts258e	Il consumo degli MP varia in base al danno inflitto del %s.
zts259e	Gli HP variano in base al danno ricevuto di %s.
zts260e	Gli MP variano in base al danno ricevuto di %s.
zts261e	Aumenta gli HP del %s%% in base al danno inflitto.
zts262e	Diminuisce gli HP del %s%% in base al Danno inflitto.
zts263e	Aumenta gli MP fino al %s%% in base al Danno inflitto.
zts264e	Diminuisce gli MP del %s%% in base al Danno inflitto.
zts265e	Aumenta gli HP dell'Avversario del %s%% del danno ricevuto.
zts266e	Diminuisce gli HP dell'Avversario del %s%% del danno ricevuto.
zts267e	Aumenta gli MP dell'Avversario del %s%% del danno ricevuto.
zts268e	Diminuisce gli MP dell'Avversario del %s%% del danno ricevuto.
zts269e	Assorbimento
zts270e	Inverti gli MP con gli HP
zts271e	Inverti gli HP con gli MP
zts272e	Ruba HP
zts273e	Ruba MP
zts274e	Ruba HP e assorbi MP
zts275e	Accumula %s HP utilizzando %s MP.
zts276e	Scambia %s HP con %s MP
zts277e	Con una probabilità di un %s%% ricevi HP dall'avversario.
zts278e	Vi è una probabilità del %s%% che sottragga all'avversario %s HP e che li aggiunga ai propri.
zts279e	Dà %s MP all'avversario con una probabilità di un %s%%
zts280e	Vi è una probabilità del %s%% che sottragga all'avversario %s MP e che li aggiunga ai propri.
zts281e	Converte %s MP dell'avversario in HP.
zts282e	Converte %s HP dell'avversario in miei MP.
zts283e	Guarigione/Bruciatura e Lancio
zts284e	Guarigione HP/Bruciatura
zts285e	Guarigione MP/Bruciatura
zts286e	Modifica gli HP nel Lancio
zts287e	Modifica gli HP in caso di bruciature.
zts288e	Modifica gli HP in baso al consumo di MP usati nel Lancio
zts289e	Recupera %s HP.
zts290e	Perdi %s HP.
zts291e	Recupera %s MP.
zts292e	Gli MP diminuiscono di %s.
zts293e	Recuperi %s HP durante il lancio.
zts294e	Toglie %s HP durante il Lancio
zts295e	Recupera %s HP se i Lanci delle Magie vengono interrotti.
zts296e	Toglie %s HP se il Lancio delle Magie viene interrotto.
zts297e	Ricarica gli HP del %s%% degli MP usati.
zts298e	Perdi la seguente quantità di HP: %s%% degli MP consumati.
zts299e	Modifica HP/MP
zts300e	Modifica gli HP rimasti.
zts301e	Modifica gli MP rimasti.
zts302e	Modifica il Tempo degli HP.
zts303e	Modifica il Tempo degli MP.
zts304e	Aumenta gli HP/MP.
zts305e	Recupera il %s%% degli HP persi.
zts306e	Toglie il %s%% degli MP rimasti.
zts307e	Recupera %s%% degli MP persi.
zts308e	Toglie il %s%% degli MP rimasti.
zts309e	Recupera %s HP.
zts310e	Toglie %s HP.
zts311e	Recupera %s MP.
zts312e	perdi %s MP
zts313e	Aggiunge %s HP (Limite: %s%% degli HP attuali).
zts314e	Aggiunge %s MP (Limite: %s%% degli MP attuali).
zts315e	Trattamento speciale
zts316e	Danno Speciale
zts317e	[Probabilità di infliggere un Attacco Critico]
zts318e	Aumenta il danno da %s a %s.
zts319e	Diminuisce il danno da %s a %s.
zts320e	Aumenta di un %s la probabilità di infliggere un colpo critico per ogni %s.
zts321e	Diminuisce la Probabilità di infliggere un Colpo Critico di %s durante l'Attacco %s.
zts322e	Buff
zts323e	Applica/Annulla Buff
zts324e	Immunità ad un Certo Gruppo di Buff
zts325e	Il buff si trasferisce per spostare alcuni livelli
zts326e	Immunità Speciale
zts327e	Annulla un certo Gruppo
zts328e	Sussiste una probabilità (%s%%) di causare [%s].
zts329e	Con una probabilità di un %s%% rimuove l'effetto [%s].
zts330e	Ha un'alta probabilità di rendere immune ad alcuni effetti.
zts331e	Crea l'effetto [%s] [Livello Massimo: %s]
zts332e	Crea l'effetto [%s] [Livello Minimo: %s]
zts333e	Permette di resistere maggiormente ad alcuni effetti.
zts334e	Annulla alcuni tipi di effetti.
zts335e	Annulla gli effetti di un determinato gruppo.
zts336e	Evoca
zts337e	Evocazioni del Morto
zts338e	Evocazioni del Mostro
zts339e	Evocazioni degli stupidi
zts340e	Evocazioni basate sul tempo
zts341e	Evocazioni del Fantasma
zts342e	Evoca [%s] x %s al momento della morte.
zts343e	Dopo la morte, con una probabilità di un %s%% viene evocato [%s].
zts344e	Evoca %s volta/e %s.
zts345e	Con una probabilità di un %s%% viene evocato [%s].
zts346e	Evoca [%s] x %s.
zts347e	Con una probabilità di un %s%% viene evocato [%s] (gruppo di allenamento)
zts348e	Evoca [%s] x %s (scompaiono dopo un po').
zts349e	Evoca [%s] con una probabilità di un %s%% (scompare dopo un po').
zts350e	Evoca un fantasma che ha %s MP di %s mostri.
zts351e	Evoca un fantasma con %s MP con una probabilità di un %s%%.
zts352e	Effetto Speciale
zts353e	Urlo
zts354e	Cambia un attacco non-preventivo
zts355e	Avanzo
zts356e	Modalità PvP
zts357e	lasciare immagine residua
zts358e	Toglie il %s%% degli HP all'avversario che ti ha ucciso.
zts359e	Aumenta gli HP dell'avversario che ti ha ucciso del %s%%.
zts360e	Modifica l'Attacco in pre-emptive con una probabilità di un %s%%.
zts361e	Cambia l'Attacco in "non pre-emptive" con una probabilità di un %s%%.
zts362e	si inizia a parlare un linguaggio incomprensibile
zts363e	Puoi affrontare le persone in Modalità PvP.
zts364e	Il corpo diventa lucido e veloce.
zts365e	Cattura
zts366e	Cattura Animali
zts367e	Cattura gli animali con un livello inferiore al tuo.
zts368e	Danno Speciale ed Esplosione
zts369e	Esplosione infuocata
zts370e	Esplosione ad Area
zts371e	Attacchi ad Area
zts372e	Con una probabilità di un %s%% si crea un'esplosione che provoca %s danni.
zts373e	L'esplosione provoca danni nello spazio di %s campi. Danni: %s.
zts374e	Sussiste la probabilità (%s%%) che provochi danni in %s campi circostanti.
zts375e	2° Effetto Speciale
zts376e	Schermo
zts377e	Teletrasporto
zts378e	Buff sull'Arma Principale
zts379e	Buff sull'Arma Secondaria
zts380e	Accompagnatore sbagliato
zts381e	Attira l'attenzione del nemico.
zts382e	Permette di sbarazzarsi dell'attenzione dell'avversario.
zts383e	Permette di teletrasportarsi di %s campi.
zts384e	Crea l'effetto [%s] usando l'Arma Principale (Probabilità: %s%%).
zts385e	Crea l'effetto %s usando l'arma secondaria con una probabilità di un %s%%.
zts386e	Alcuni gruppi di mostri ti scambiano per loro amico
zts387e	Calcolo del Livello
zts388e	Livello Attacco 0
zts389e	Livello di difesa 0
zts390e	Calcola il Livello d'Attacco 0.
zts391e	Porta il livello della Difesa a 0.
zts392e	Recupero
zts393e	Modifica il Recupero HP
zts394e	Modifica il Recupero MP
zts395e	Aumenta il Recupero HP di %s.
zts396e	Diminuisce il Recupero HP di %s.
zts397e	Aumenta il Recupero MP di %s.
zts398e	Diminuisce il Recupero MP di %s.
zts399e	HP/MP massimi
zts400e	Modifica gli HP Massimi
zts401e	Modifica gli MP Massimi
zts402e	Aumenta gli HP Massimi di %s.
zts403e	Diminuisce gli HP di %s.
zts404e	Aumenta gli MP di %s.
zts405e	Diminuisce gli MP di %s.
zts406e	Moltiplica l'Attacco
zts407e	Moltiplica tutti gli Attacchi
zts408e	Moltiplica gli Attacchi Ravvicinati
zts409e	Moltiplica gli Attacchi a Distanza.
zts410e	Moltiplica gli Attacchi Magici
zts411e	Aumenta di %s volte la forza di attacco.
zts412e	Diminuisce di %s volte la forza di attacco.
zts413e	Aumenta di %s volte l'Attacco.
zts414e	Diminuisce di %s volte l'Attacco Ravvicinato
zts415e	Aumenta di %s volte l'Attacco a Distanza.
zts416e	Diminuisce di %s volte l'Attacco a Distanza.
zts417e	Aumenta di %s volte l'Attacco Magico.
zts418e	Diminuisce di %s volte l'Attacco Magico.
zts419e	Moltiplica la Difesa
zts420e	Moltiplica tutti i tipi di Difesa
zts421e	Moltiplica la Difesa Ravvicinata
zts422e	Moltiplica la Difesa a Distanza
zts423e	Moltiplica la difesa magica.
zts424e	Aumenta di %s volte tutte le difese.
zts425e	Diminuisce di %s volte tutte le difese.
zts426e	Aumenta di %s volte la difesa da attacco ravvicinato.
zts427e	Diminuisce di %s volte la difesa da attacco ravvicinato.
zts428e	Aumenta di %s volte la difesa da attacco a distanza.
zts429e	Diminuisce di %s volte la difesa da attacco a distanza.
zts430e	Aumenta di %s volte la difesa magica.
zts431e	Diminuisce di %s volte la difesa magica.
zts432e	Caratteristiche del Circolo del Tempo
zts433e	Raccolta Energia
zts434e	Blocca gli HP
zts435e	Blocca gli MP
zts436e	Annulla tutti i Buff
zts437e	Non è possibile usare quest'oggetto.
zts438e	Energia accumulata (%s) per il prossimo attacco.
zts439e	Nessun Consumo di HP
zts440e	Nessun Recupero HP
zts441e	Nessun Consumo MP
zts442e	Nessun Recupero MP
zts443e	Annulla tutti i Buff
zts444e	Non è possibile usare quest'oggetto.
zts446e	Recupera %s HP.
zts447e	Recupera una % degli MP
zts448e	Recupera il %s%% degli HP.
zts449e	Diminuisce il %s%% degli HP.
zts450e	Recupera il %s%% degli MP.
zts451e	Toglie il %s%% degli MP.
zts452e	Conta
zts453e	Evocazione Mostri dopo il calcolo
zts454e	Evoca [%s] x %s quando gli MP sono a 0.
zts455e	Quando gli MP scendono a 0, con una probabilità di un %s%% viene evocato [%s]
zts456e	Nessuna uccisione e nessun danno
zts457e	Nessuna Morte e nessuna uccisione
zts458e	Non provochi e non ricevi danno.
zts459e	Potere di osservazione
zts460e	Diminuisce gli Hp ma non provoca la morte.
zts461e	Diminuisce gli HP ma non uccide.
zts462e	Non ottiene mai danni.
zts463e	Non infligge mai danno.
zts464e	La forza di attacco dell'avversario diventa la tua forza.
zts465e	Azione Speciale
zts466e	Spinta
zts467e	Tiro
zts468e	Attira
zts469e	Fuga
zts470e	Invisibilità
zts471e	Respingi indietro l'avversario di %s campi.
zts472e	Farai avvicinare a te gli avversari presenti nello spazio di %s campi.
zts473e	Attacca gli avversari presenti nello spazio di %s campi.
zts474e	Scappa via dall'avversario
zts475e	Rende invisibili.
zts476e	Vede ogni cosa nascosta.
zts477e	Modifica Modalità
zts478e	Modifica il raggio d'azione
zts479e	Effetto
zts480e	Modifica la Velocità d'Attacco
zts481e	Modifica Modalità
zts482e	Salta gli altri mostri
zts483e	Modifca il raggio d'azione di %s.
zts484e	Il raggio d'azione ritorna normale.
zts485e	Applica l'effetto senza causare danni.
zts486e	Infligge un Danno diretto.
zts487e	Aumenta il tempo di Lancio di %s.
zts488e	Diminuisce il Tempo di Lancio di %s.
zts489e	Modifica la modalità con una probabilità di un %s%%
zts490e	Con una probabilità di un %s%% entra in gioco [%s].
zts491e	Nessun valore caratteristico
zts492e	Nessun valore caratteristico
zts493e	Nessuna Caratteristica di Fuoco
zts494e	Nessuna Caratteristica d'Acqua
zts495e	Nessuna Caratteristica di Luce
zts496e	Nessuna Caratteristica d'Oscurità
zts497e	Permette che non sia applicata nessuna caratteristica.
zts498e	Permette che non siano applicati gli effetti delle resistenze.
zts499e	Permette che non siano applicati gli effetti del fuoco.
zts500e	Permette che non siano applicate gli effetti delle Resistenze Fuoco.
zts501e	Permette che non siano applicate gli effetti d'Acqua.
zts502e	Permette che non siano applicate gli effetti delle Resistenze Acqua.
zts503e	Permette che non siano applicate gli effetti Luce.
zts504e	Permette che non siano applicati gli effetti delle Resistenze Luce.
zts505e	Permette che non siano applicati gli effetti dell`Oscurità.
zts506e	Permette che non siano applicati gli effetti delle Resistenze Oscure.
zts507e	Luce e oscurità
zts508e	Scudo della Mana
zts509e	Guarigione
zts510e	Attacca il Non-Morto
zts511e	Ti nascondi per attaccare
zts512e	Cura il %s%% del Danno Inflitto riducendo gli MP.
zts513e	Recupera MP assorbendo il %s%% del Danno Inflitto.
zts514e	Permette di rimuovere gli effetti negativi al di sotto del Lv %s.
zts515e	Permette di rimuovere gli Effetti Positivi al di sotto del Lv %s.
zts516e	Infligge danni ai Non-Morti al di sotto del tuo livello.
zts517e	Cura i Non-Morti con un livello inferiore al tuo.
zts518e	Causa un danno aggiuntivo (%s) se attacchi da invisibile.
zts519e	Causa un danno aggiuntivo (%s) se il bersaglio è invisibile.
zts520e	Oggetto
zts521e	Aumenta l'esperienza
zts522e	Aumenta l'Attacco
zts523e	Butta un oggetto
zts524e	I punti esperienza incrementano di un %s%%.
zts525e	Aumenta l'Attacco del %s%%.
zts526e	Ogni volta che vieni attaccato puoi ottenere oggetti (per %s volte).
zts527e	Resistenza al Debuff
zts528e	Resistenza in condizioni anormali
zts529e	Resistenza in condizioni normali
zts530e	Resistenza magica anormale
zts531e	Resistenza ai Veleni.
zts532e	Resistenza ad una malattia anormale
zts533e	[Al di sotto di %s livelli] La possibilità di venir colpito da un Effetto Negativo è del %s%%.
zts534e	[Fino al livello %s compreso] La probabilità di non venire mai colpiti da un effetto negativo è pari al seguente valore: %s%%%%.
zts535e	[Al di sotto di %s livelli] Aumenta la probabilità del %s%% di venire colpito da un Effetto Negativo.
zts536e	[Al di sotto di %s livelli] La probabilità di non venire colpito da un Effetto Negativo è del %s%%.
zts537e	[Al di sotto di %s livelli] Aumenta la possibilità del %s%% di venire colpito da una Magia Negativa.
zts538e	[Al di sotto di %s livelli] la possibilità di non venire colpito da una Magia Negativa è del %s%% .
zts539e	[Al di sotto di %s livelli] Aumenta la possibilità del %s%% di venire colpito da un Veleno.
zts540e	[Al di sotto di %s livelli] La possibilità di non venire colpito da un Veleno è del %s%%.
zts541e	[Al di sotto di %s livelli] La possibilità di venire colpito da una Malattia Negativa è del %s%%.
zts542e	[Al di sotto di %s livelli] Aumenta la possibilità di venire colpito da una Malattia Negativa del %s%%.
zts543e	Comportamento speciale
zts544e	Teletrasporto casuale
zts545e	Ti teletrasporta casualmente in un altro posto.
zts546e	Diffonde l'infezione nelle vicinanze.
zts547e	Ti teletrasporta in un posto casuale nella mappa.
zts548e	Lanciati su qualsiasi oggetto nello spazio di %s campo/i.
zts549e	(Ad una distanza di %s celle) Diffondiamo [%s] con le nostre forze.
zts550e	(Ad una distanza di %s celle) diffondiamo [%s] ai nostri avversari.
zts551e	Missione
zts552e	Osservatore della Missione
zts553e	Evoca Mostri basati sulle Regole
zts554e	Percentuale di Recupero e danno
zts555e	Percentuale di danno
zts556e	Diminuisce gli HP dell'avversario del %s%%
zts557e	Diminuisce gli HP del %s%% (con il danno).
zts558e	Ti trasforma in base alla circostanza.
zts559e	Trasforma  [%s] in [%s]
zts560e	Oggetto pagato
zts561e	Il potere della Pergamena è stato applicato.
zts562e	Aumenta l'oro
zts563e	Il valore del tasso di drop dell'oro aumenta del %s%%.
zts564e	Aumenta la % degli HP (solo buff).
