zts1e	Normaler Effekt
zts455e	Erhöht die Erfahrungspunkte um 20%. Kann mit Ancelloan Segen verwendet werden.
zts456e	Zorn des Kommandanten
zts457e	Der Kommandant ist erzürnt.
zts458e	Schutzsegen
zts459e	Der Schutzsegen erhöht die Verteidigungskraft des Kommandanten.
zts460e	Der Fluch des Kommandanten. Verringert die Angriffs- und Verteidigungskraft für 90 Sekunden.
zts462e	Erhöht die HP/MP für 3.200 Sekunden um 10%.
zts463e	Verringert den Angriff des Gegners durch ein schützendes Eis Schild
zts464e	Kleiner Valentinssegen
zts465e	Erhöht die Angriffs- und Verteidigungskraft jeweils um 5%.
zts466e	Valentinssegen
zts467e	Großer Valentinssegen
zts468e	Erhöht die Angriffs- und Verteidigungskraft jeweils um 20%.
zts469e	Kleiner White Day-Segen
zts470e	Großer White Day-Segen
zts475e	Hochzeitsfeier
zts476e	Die erhaltenen Erfahrungspunkte werden um 5% erhöht.
zts477e	Segen des Phantoms
zts478e	Erhöht die Angriffskraft. Sämtliche Angriffe +100%
zts479e	Fluch des Phantoms
zts480e	Verringert die Angriffskraft. Sämtliche Angriffe -100%
zts481e	Knurren des Wachhundes
zts482e	Schlachtruf der Wache
zts483e	Wut des Phantoms
zts484e	Kürbisfluch
zts485e	Wenn du noch mehr Angriffe mit dem Element Schatten erleidest, kannst du kurzzeitig nicht mehr angreifen.
zts486e	Fluch der Geleittruppen
zts487e	Durch den Fluch der Geleit-Truppen verlierst du HP.
zts495e	Deine Verteidungskraft und Zielgenauigkeit erhöht sich. 30% des dir zugefügten Schadens werden von deiner MP anstatt HP abgezogen.
zts496e	Wunderheilung
zts497e	Stählt den Körper, um die Verteidigung zu erhöhen.
zts501e	Gigantischer Neujahrssegen
zts502e	Frohes neues Jahr
zts503e	Du wirst dieses Jahr sehr viel Glück haben.
zts506e	Verstört
zts507e	Dein NosMate ist geschockt und für 30 Minuten verstört.
zts508e	Sehr verstört
zts509e	Dein NosMate ist geschockt und für 50 Minuten verstört.
zts512e	Speedbooster
zts513e	Maximiert kurzzeitig deine Geschwindigkeit.
zts514e	Nach gewonnener Regenbogenschlacht erhältst du diese Kraft, die dir in Glacernon nützlich ist.
zts515e	Schusswunde
zts516e	Du bist schwer verletzt durch eine Schusswunde.
zts517e	Im Rumfass verstecken
zts518e	Du suchst Schutz vor den Angriffen des Gegners.
zts519e	Hitze des brennenden Schwertes
zts520e	Die Lebensenergie nimmt durch die Hitze kontinuierlich ab.
zts521e	Eisblumenöl
zts522e	Mit frostigem Eisblumenöl kann man die große Hitze ertragen.
zts523e	Kertos' Segen
zts524e	Die Angriffskraft wird durch den Segen von Kertos erhöht.
zts525e	Verbrennen
zts526e	Du befindest dich in großer Gefahr, wenn du durch einen Nahangriff Schaden nimmst.
zts527e	Spinnennetz
zts528e	Du wirst im Spinnennetz aufgefangen und somit für den Feind eine leichte Beute.
zts529e	Verletzung des Sehvermögens
zts530e	Temporärer Sehverlust durch die Strahlung.
zts531e	Schild der gleißenden Hitze
zts532e	Du bist widerstandsfähiger durch das Schild der gleißenden Hitze.
zts533e	Lavaeruption
zts534e	Die feurige Hitze der Lava verursacht großen Schaden beim Gegner.
zts535e	Große Lavaeruption
zts536e	Die feurige Hitze der Lava verursacht riesengroßen Schaden beim Gegner.
zts537e	Flammengift
zts538e	Du verlierst mit der Zeit HP, da du durch das Flammengift vergiftet wurdest.
zts539e	Der feurige Hauch des Phönix
zts540e	Du verlierst deinen Kampfgeist durch den feurigen Hauch des Phönix.
zts541e	Gleißendes Brandmal
zts542e	Durch das gleißende Brandmal kannst du dich nicht mehr bewegen und keinen attackieren.
zts543e	Der Fluch der roten Flamme
zts544e	Durch den Fluch der roten Flamme verringert sich deine Resistenz gegen die Flammenaura. Die Wahrscheinlichkeit steigt, dass du einen kritischen Treffer erhältst.
zts546e	Für eine Weile einen Blackout bekommen durch ein Explosionsnachbeben.
zts547e	Wunde an empfindlicher Stelle
zts548e	Lebensgefährlich verletzt durch Wunde an empfindlicher Stelle.
zts549e	Wütendes Rudolf Buschi
zts550e	Das Rudolf Buschi wird wütend und seine Angriffskraft ist erhöht.
zts551e	Schlachtruf des Centurio
zts552e	Durch den Schlachtruf des Centurio erhält der Gegner immer einen kritischen Treffer.
zts553e	Fesselung
zts554e	Starke Zersetzung
zts555e	Beschädigt Rüstung und Waffen mithilfe einer starken Säure.
zts556e	Du kannst dich nicht bewegen während der Fesselung.
zts557e	Erhöhter Erfahrungsgewinn
zts558e	Erhöht für eine Stunde den Erfahrungsgewinn (20% für Familienmitglieder, 10% für andere Spieler).
zts559e	Erhöhter Goldgewinn
zts560e	Erhöht für eine Stunde den Goldgewinn (20% für Familienmitglieder, 10% für andere Spieler).
zts561e	Effekt "Große Ausdauer"
zts562e	Gewährt eine Stunde lang den Effekt "Große Ausdauer". So lange kannst du Gegenstände und Erfahrung erhalten, als wärst du im normalen Zustand.
zts565e	Chance auf Gegenangriff
zts566e	Möglichkeit auf einmaligen, kritischen Gegenangriff.
zts567e	Knockdown
zts568e	Sobald der Gegner einen Blackout hat oder angegriffen wird, wird der Knockdown aufgehoben. In Kombination mit dem Skill "Vollstreckung" erhält der Gegner zusätzlichen Schaden von 30%.
zts569e	Enorm gereizter Zustand
zts570e	Der enorm gereizte Zustand tritt ein durch das Verlieren der Fassung durch extreme Provokation des Gegners und führt zu zusätzlichem Schaden.
zts571e	Magische Reflexion
zts572e	Die Magische Reflexion spiegelt alle Debuffs des Gegners mit einer gewissen Wahrscheinlichkeit. Skills, die nur einen Debuff erzeugen und keinen Schaden zufügen, können nicht reflektiert werden.
zts573e	Gereizter Zustand
zts574e	Der gereizte Zustand tritt ein durch das Verlieren der Fassung durch extreme Provokation des Gegners.
zts575e	Blutwallung
zts576e	Angriffskraft und Bewegungsgeschwindigkeit sind erhöht durch die Begierde nach Blut.
zts577e	Seufzer des Verlierers
zts578e	Der Seufzer des Verlierers entmutigt dich durch eine Niederlage. In Kombination mit dem Skill "Vollstreckung" erhältst du einen zusätzlichen Schaden von 70%.
zts579e	Jubel der Menge
zts580e	Im Jubel der Menge wird der Kampfgeist verstärkt durch Freude über die Niederlage des Feindes.
zts581e	Verstärkung der Explosion
zts582e	Durch die Verstärkung der Explosion werden die Hitrate sowie die Angriffsdistanz erhöht.
zts583e	Siegesschrei
zts584e	Der Siegesschrei demonstriert die Teilnahme am Kampf mit starkem Willen zum Sieg.
zts585e	Erste Schockwelle
zts586e	Der Gegner verfällt in einen Schockzustand durch einen gewaltigen Donnerschlag.
zts587e	Magmaschild
zts588e	Der Magmaschild absorbiert die gegnerische Angriffskraft und zieht dabei MP ab.
zts589e	Giftiges Vulkangas
zts590e	Das giftige Vulkangas verursacht Schaden beim Gegner.
zts591e	Macht des Vulkans
zts592e	Die Macht des Vulkans maximiert alle Skills von Vulkano.
zts593e	Lavasumpf
zts594e	Der Lavasumpf verringert die Fähigkeit, anzugreifen.
zts595e	Lavaguss
zts596e	Der Lavaguss bewirkt, dass der Gegner durch die fest werdende Lava mit geringer Wahrscheinlichkeit erstarrt.
zts597e	Großer Lavaguss
zts598e	Der große Lavaguss bewirkt, dass der Gegner durch die fest werdende Lava mit einer gewissen Wahrscheinlichkeit erstarrt.
zts599e	Sprudelnder Lavaguss
zts600e	Der sprudelnde Lavaguss bewirkt, dass der Gegner durch die fest werdende Lava mit einer großen Wahrscheinlichkeit erstarrt.
zts601e	Brennender Lavaguss
zts602e	Der brennende Lavaguss bewirkt, dass der Gegner zügig erstarrt.
zts603e	Lavastarre
zts604e	Der Gegner kann in diesem Moment nichts gegen die Lavastarre unternehmen.
zts605e	Von den Beinen gerissen
