zts1e	Zorro pequeño
zts555e	Medusa pequeña
zts556e	Espectro de árbol antiguo
zts557e	Graylander
zts558e	Sanguijuela gigante
zts559e	Ángel
zts560e	Polilla
zts561e	Grillotopo
zts562e	Topo joven
zts563e	Madre topo
zts564e	Perro infernal grande
zts565e	Enkidu
zts566e	Larva
zts567e	Margarita
zts568e	Lirio
zts569e	Estatua de Crhysos
zts570e	Fuente
zts571e	Flor grande roja
zts572e	Chrysos
zts573e	Guerrero yak
zts574e	Mago yak
zts575e	Topo joven
zts576e	Bombatiro
zts577e	Bomba
zts578e	Guardián
zts579e	Grillotopo
zts580e	Bomba
zts581e	Mina de fuego
zts582e	Fabian Frost
zts583e	Daisy Akamur
zts584e	Seina Reiya
zts585e	Justin Darkflame
zts586e	Whitney Catherine
zts587e	Guardián demoníaco
zts588e	Guardián horripilante del infierno
zts589e	Guardián cruel del infierno
zts590e	Kartos
zts591e	Benteruke
zts592e	Pelicert
zts593e	Archtheridon Hellduke
zts594e	Echekaluel Misticaron
zts595e	Unsichtbarer
zts596e	Alma ancestral
zts597e	Gema del alma dorada
zts598e	Fuente sagrada
zts599e	Ardilla
zts600e	Ardilla fumigadora
zts601e	Kupei Karustier
zts602e	Arcke
zts603e	Ángel Jabiniel
zts604e	Ángel Israel
zts605e	Ángel Reedwhanel
zts606e	Gema del alma gris
zts607e	Comerciante de armas
zts608e	Comerciante de armaduras
zts609e	Comerciante de producción
zts610e	Cocinero
zts611e	Diseñador de moda
zts612e	Alquimista
zts613e	Jardinero
zts614e	Torre de teletransporte
zts615e	Escudo de Airwaves
zts616e	Santa Claus
zts617e	Muñeco de nieve
zts618e	Cabeza de muñeco de nieve
zts619e	Cabeza grande de muñeco de nieve
zts620e	Benito Butler
zts621e	Ratón feliz
zts622e	Aurelius Roshu
zts623e	Rudin Albisco
zts624e	Leika Passage
zts625e	Refugiado del sello
zts626e	NotUse
zts627e	Cappen
zts628e	Kangpen
zts629e	Jackpen
zts630e	Espía gnoll
zts631e	Soldado gnoll
zts632e	NotUse
zts633e	Yeti
zts634e	Gólem^de^hielo
zts635e	Prota
zts636e	Bruja de hielo
zts637e	Lace
zts638e	NotUse
zts639e	Gusano de hielo
zts640e	Lord Mukraju
zts641e	Ross Hisrant
zts642e	Hoguera pequeña
zts643e	Hoguera grande
zts644e	Ross Hisrant
zts645e	Guerrero mokan
zts646e	Cazador mokan
zts647e	Guerrero moldas
zts648e	Jefe brujo moldas
zts649e	Maestro Morcos
zts650e	Jjinta
zts651e	Portal de invocación de monstruos
zts652e	Hemil Melius
zts653e	Amelia Glacia
zts654e	Hada oval
zts655e	Espía gnoll sospechoso pequeño
zts656e	Espía gnoll sospechoso
zts657e	Espía gnoll muy sospechoso
zts658e	Espía gnoll definitivamente sospechoso
zts659e	Hada oval
zts660e	Arnold Artisan
zts661e	Isaac Artisan
zts662e	Noelia Rosa
zts663e	Margaret
zts664e	Alice Bellia
zts665e	Marvin Magicus
zts666e	Edward
zts667e	Ojo vigilante oscuro
zts668e	Cazador oscuro
zts669e	Predador de las tinieblas
zts670e	Eremita oscura
zts671e	Maestro Hatus
zts672e	Nuevo mozo Selvic
zts673e	Seloin principiante
zts674e	Jubilado Teodor Topp
zts675e	Jubilado Teoman Topp
zts676e	Frank, el investigador
zts677e	Esluri, el caminante
zts678e	Capitán de la guardia Pinto
zts679e	Mimi Mentor ocupada
zts680e	Eva Energy vaga
zts681e	Yeti feroz
zts682e	Guerrero moldas poderoso
zts683e	Jefe brujo moldas poderoso
zts684e	Foca blanca
zts685e	Alfred Erudio
zts686e	Pollito gigante
zts687e	Mandra milenaria
zts688e	Perro guardián del infierno
zts689e	Gallo de pelea gigante
zts690e	Patata milenaria
zts691e	Perro de Satanás
zts692e	Barepardo gigante
zts693e	Boing satélite
zts694e	Raíz demoníaca
zts695e	Slade musculoso
zts696e	Rey de las tinieblas
zts697e	Gólem slade
zts698e	Mini Castra
zts699e	Caballero de la muerte
zts700e	Sanguijuela gorda
zts701e	Ginseng milenario
zts702e	Rey basilisco
zts703e	Gigante guerrero
zts704e	Árbol maldito
zts705e	Rey cangrejo
zts706e	Yeti manso
zts707e	Fabian Frost
zts708e	Perro guardián de la Cueva de Cristal
zts709e	Guardián de la puerta de la Cueva de Cristal
zts710e	Sacerdote de la Cueva de Cristal
zts711e	Vigilante de la Cueva de Cristal
zts712e	Lord Berios arquero
zts713e	Lord Berios mago
zts714e	Lord Berios espadachín
zts715e	Lord Berios
zts716e	Cazador oceánico
zts717e	Guardián oceánico
zts718e	Anémona vigilante
zts719e	Pescado perseguidor
zts720e	Lady Calvina
zts721e	Máquina de helado
zts722e	Campamento base de los ángeles
zts723e	Campamento base de los demonios
zts724e	Altar de los ángeles
zts725e	Altar de los diablo
zts726e	Ardilla marinera
zts727e	Vagabundo 1
zts728e	Vagabundo 2
zts729e	Fuegorrillo
zts730e	Meteorrillo
zts731e	Magmorrillo
zts732e	Electrowollie
zts733e	Rayowollie
zts734e	Descargawollie
zts735e	Tenebriablillo
zts736e	Oscurablillo
zts737e	Fantasmablillo
zts738e	Mocojelly
zts739e	Colmillelly
zts740e	Magijelly
zts741e	Infierhámster
zts742e	Patatámster
zts743e	Titámster
zts744e	Muertelobo
zts745e	Frigilobo
zts746e	Hielobo
zts747e	Pegaso
zts748e	Conejo entrañable
zts749e	Sanguijuela
zts750e	Yeti gigante
zts751e	Recturus Lightelusion
zts752e	Khanty Darkstaker
zts753e	Pollo entrenado
zts754e	Ginseng fuerte
zts755e	Basilisco fuerte
zts756e	Wollie entrenado
zts757e	Muflón entrenado
zts758e	Carnero entrenado
zts759e	Hámster entrenado
zts760e	Hámster tóxico entrenado
zts761e	Hámster de acero entrenado
zts762e	Zorro entrenado
zts763e	Zorro dusi entrenado
zts764e	Zorro oto entrenado
zts765e	Jelly rosa entrenado
zts766e	Jelly rojo entrenado
zts767e	Jelly oscuro entrenado
zts768e	Diablillo entrenado
zts769e	Diablillo cornudo entrenado
zts770e	Diablillo demoníaco entrenado
zts771e	Lobo entrenado
zts772e	Lobo-león entrenado
zts773e	Rey cappen
zts774e	Gnoll joven
zts775e	Gusano de hielo gigante
zts776e	Prota gigante
zts777e	Enkidu gigante
zts778e	Hada de hielo gigante
zts779e	Gallo de pelea feroz
zts780e	Mandra fantasma
zts781e	Vampi fuerte
zts782e	Guerrero profesional koareniano
zts783e	Arquero profesional koareniano
zts784e	Ladrón peligroso kenkoniano
zts785e	Líder de los stonewalker
zts786e	Barepardo furioso
zts787e	Guardián de los ángeles
zts788e	Guardián de los demonios
zts789e	Vampi espantapájaros
zts790e	Duende espantapájaros
zts791e	Ardilla espantapájaros
zts792e	Espantapájaros kenkoniano
zts793e	Barepardo espantapájaros
zts794e	Catsy espantapájaros
zts795e	Calavera espantapájaros
zts796e	Entrenador de NosMate (principiante)
zts797e	Entrenador de NosMate (avanzado)
zts798e	Entrenador de NosMate (profesional)
zts799e	Fantasma del mago maligno
zts800e	Wiggler furioso
zts801e	Reina de las abejas invocada
zts802e	Wiggler gigante
zts803e	Gusano escurridizo
zts804e	Gólem grande
zts805e	Boing cuerno de acero
zts806e	Soldado araña
zts807e	Monstruo de la oscuridad
zts808e	Perro cazador demoníaco
zts809e	Slade serio
zts810e	Caballero esquelético cruel
zts811e	Arquero esquelético cruel
zts812e	Guardianes gigantes
zts813e	Guardianes enormes
zts814e	Slade amenazante
zts815e	Caballero de las tinieblas Deront
zts816e	Sanguijuela pequeña
zts817e	Larva venenosa
zts818e	Caballero acorazado Lantess
zts819e	Medusa partida
zts820e	Pontiff niebla tenebrosa
zts821e	Walker de piedra gigante
zts822e	Rey cangrejo
zts823e	Reina topo
zts824e	Caballero místico
zts825e	Misticaron
zts826e	Barepardo ancestral
zts827e	Rey ancestral de las tinieblas
zts828e	Mini Castra ancestral
zts829e	Raíz demoníaca ancestral
zts830e	Jelly rosa gigante
zts831e	Caballero gigante fuerte
zts832e	Graylander fuerte
zts833e	Hoguera
zts834e	Hoguera
zts835e	Gema del alma del espadachín
zts836e	Gema del alma del arquero
zts837e	Gema del alma del mago
zts838e	Ataque de hielo de los ángeles
zts839e	Ataque de hielo de los demonios
zts840e	Estaca de entrenamiento
zts841e	Cartel de la zona de entrenamiento
zts842e	Bola de cristal del espadachín
zts843e	Bola de cristal del arquero
zts844e	Bola de cristal del mago
zts845e	Ladrón kenkoniano gigante
zts846e	Zona de Vampi espantapájaros
zts847e	Rudolf feo
zts848e	Rudolf abominable
zts849e	Muñeco de nieve malvado
zts850e	Súper ardilla Santa
zts851e	Demonio de fuego débil
zts852e	Ardilla toro
zts853e	Gusano de hielo
zts854e	Espía de combate gnoll joven
zts855e	Prota furioso
zts856e	Espía gnoll joven
zts857e	Enkidu joven
zts858e	Jackpen invocado
zts859e	Kangpen invocado
zts860e	Basilisco de nieve
zts861e	León de Nieve
zts862e	Zorro Oto de Nieve
zts863e	Ardilla samurái
zts867e	Inferno
zts889e	Pez de arena del desierto
zts890e	Prota de arena del desierto
zts891e	Cuchilla de arena del desierto
zts892e	Predador de arena del desierto
zts893e	Rastrero de arena del desierto
zts894e	Rastrero espinoso de arena del desierto
zts895e	Cuernocuchilla de arena del desierto
zts896e	Zorro de arena del desierto
zts897e	Cactus de arena del desierto
zts898e	Mantis de arena del desierto
zts899e	Escorpión de arena del desierto
zts900e	Basilisco de arena del desierto
zts901e	Monje de la plegaria
zts902e	Espíritu de la plegaria
zts903e	Sacerdote de la plegaria
zts904e	Líder de la Plegaria
zts905e	Comandante Neil
zts906e	Comandante Melky
zts907e	Comandante Kerus
zts908e	Comandante Garton
zts909e	Samurái de la tropa espía de Neil
zts910e	Asesino de la tropa espía de Neil
zts911e	Cazador de la tropa espía de Neil
zts912e	Bombardero de la tropa espía de Neil
zts913e	Guardián de Neil
zts914e	Administrador del campamento de Neil
zts915e	Maestro de Llaves de Neil
zts916e	Fisgón de la tropa espía de Neil
zts917e	Ibrahim
zts918e	Comandante Shoran
zts919e	Comandante Shay
zts920e	Explorador de la tropa espía de Neil
zts921e	Tormenta de arena
zts922e	Espíritu de arena
zts923e	Gigante de arena
zts924e	Enano de arena
zts925e	Administrador de reliquias antiguas
zts926e	Espíritu arena del viento
zts927e	Gladiador arena del viento
zts928e	Arquero arena del viento
zts929e	Mago arena del viento
zts930e	Guardián de la ruinas antiguas
zts933e	Valakus, Rey del Fuego
zts935e	Kertos, el Perro Demonio
zts947e	Grenigas, el Dios del Fuego
zts948e	Jin Hamadin
zts949e	Torrero Chilton
zts950e	Guardia del puerto Tom
zts951e	Presidente Noah
zts952e	Hazel
zts953e	Sacerdotisa Serizad
zts954e	Sumo sacerdote Eladin
zts955e	Sacerdotisa Vera
zts956e	Riana
zts957e	Serena
zts958e	Nephi
zts959e	Semia
zts960e	Paul
zts961e	Delmon Milow
zts962e	Guardia de los comerciantes de Akamur
zts963e	Representante de los comerciantes de Akamur
zts964e	Comerciante de Akamur
zts965e	Habitante
zts966e	Espíritu de un cazador de tesoros
zts967e	Cazador de tesoros muerto
zts968e	Alma de un sacerdote
zts969e	Sacerdote muerto
zts970e	Ladrón muerto
zts971e	Camello
zts972e	Hamid
zts973e	Sharif prisionero
zts974e	Rushaldin
zts975e	Kamil
zts976e	Michol
zts977e	Xavier
zts978e	Velmon
zts979e	Milicia del caos
zts980e	Saqueador del desierto Maloren
zts981e	Bolporti, el Tejedor de Seda
zts982e	Habitante del Área del Caos
zts983e	Inspector Serges
zts984e	Viajero misterioso
zts985e	Fantasma de Grenigas
zts1086e	Irukur
zts1192e	Cactus de arena espectral
zts1193e	Zorro de arena del desierto
zts1194e	Zorro de arena espectral
zts1195e	Prisionero
zts1196e	Guardián del campamento de Neil
zts1197e	Representante Mursha
zts1198e	Higo chumbo
zts1199e	Buzón de Neil
zts1200e	Humad prisionero
zts1201e	Sacerdotisa Nora
zts1202e	Guardián Putran
zts1203e	Adivino Nuki
zts1204e	Asistente Shane
zts1205e	Cofre de los comerciantes de Akamur abandonado
zts1206e	Mercancía destruida
zts1207e	Mercancía saqueada
zts1208e	NPC que obtiene banderas
zts1209e	NPC - Región 1
zts1210e	NPC - Región 2
zts1211e	NPC - Región 3
zts1212e	NPC - Región 4
zts1213e	NPC - Región 5
zts1214e	NPC - Región 6
zts1215e	NPC de misión
zts1216e	Poción sospechosa
zts1217e	Baúl extraño de Keru
zts1218e	Baúl extraño de Garton
zts1219e	Reliquia robada de Keru
zts1220e	Antigüedades robadas de Garton
zts1221e	Ardilla boxeadora
zts1222e	Cazador oceánico invocado
zts1223e	Guardián oceánico invocado
zts1248e	Entrenador de NosMate (principiante)
zts1249e	Pez de arena marina
zts1250e	Prota de arena marina
zts1251e	Cuchilla de arena marina
zts1252e	Predador de arena marina
zts1253e	Rastrero de arena marina
zts1254e	Rastrero espinoso de arena marina
zts1255e	Cuernocuchilla de arena marina
zts1256e	Zorro de arena marina
zts1257e	Cactus de arena marina
zts1258e	Mantis de arena marina
zts1259e	Escorpión de arena marina
zts1260e	Basilisco de arena marina
zts1261e	Monje de la plegaria
zts1262e	Espíritu de la plegaria
zts1263e	Sacerdote de la plegaria
zts1264e	Líder de la plegaria
