zts1e	Nuovo item
zts82e	Arco impreziosito da un rivestimento in pelle di vitello.[n]Provoca danno critico.[n][n]
zts83e	Arco da caccia
zts84e	Tipico arco da caccia, particolarmente stabile.[n][n]
zts85e	Arco del coraggio
zts86e	Arma arcieri coraggiosi.[n]L'elemento fuoco be incrementa il danno.[n][n]
zts87e	Arco lungo
zts88e	Si distingue dagli archi tradizionali per via della lunghezza.[n][n]
zts89e	Arco di bronzo
zts90e	L'Arco del coraggio è stato munito di placche di bronzo[n]per incrementare la forza di difesa.[n][n]
zts91e	Arco dello spirito
zts92e	Arco potenziato dalla forza dello spirito.[n]Incrementa le forze elementali.[n][n]
zts93e	Bastone magico per principianti
zts94e	Un regalo per maghi principianti.[n]Gli avventurieri non possono usare questa arma.[n][n]
zts95e	Bastone magico Perla rossa
zts96e	Un bastone magico nella cui estremità è stata incastonata una sfera rossa.[n][n]
zts97e	Bastone magico dello spirito
zts98e	Il misterioso potere della perla blu conferisce ulteriori forze magiche a questo bastone. Esso incrementa il tuo mana.[n][n]
zts99e	Bastone magico Rubino
zts100e	Questo bastone magico impreziosito da un grosso rubino è particolarmente amato dai giovani maghi.[n][n]
zts101e	Bastone magico incantato
zts102e	Grazie al potere di una polvere misteriosa, questa arma acquisisce delle particolari proprietà che facilitano l'esecuzione degli attacchi magici. [n][n]
zts103e	Bastone magico Perla blu
zts104e	Un bastone magico la cui estremità è stata decorata con una perla blu.[n][n]
zts105e	Bastone magico della luce
zts106e	Questa arma è contornata da una luce misteriosa. Essa rafforza il tuo attacco e migliora la rigenerazione.[n][n]
zts107e	Scettro magico con opale
zts108e	Questa scettro magico impreziosito con degli opali si distingue per l'aspetto enigmatico.[n][n]
zts109e	Bastone magico ripristina-mana
zts110e	Incrementa le riserve e la rigenerazione del mana.[n][n]
zts111e	Bastone magico Corallo
zts112e	Un bastone magico decorato con dei coralli provenienti dalle profondità dell'oceano.[n][n]
zts113e	Bastone magico dell'onore
zts114e	Solo i maghi più ragguardevoli possono utilizzare questo bastone magico contro le forze del male.[n][n]
zts115e	Bastone magico Cristallo
zts116e	La lucentezza glaciale dei cristalli pregiati impreziosisce quest'arma e incute terrore ancestrale ai tuoi avversari.[n][n]
zts117e	Bastone magico dell'intelligenza
zts118e	Purifica l'anima del proprietario con la forza degli elementi e incrementa con essa gli MP e gli HP.[n][n]
zts119e	Bastone magico dell'ombra
zts120e	Pervaso di energia oscura, questo bastone magico si rivela una minaccia per i tuoi avversari.[n][n]
zts121e	Guanti in pelle
zts122e	Guanti di pelle morbida. Incrementano la forza di attacco a distanza di chi li indossa.[n][n]
zts123e	Guanti resistenti
zts124e	Impedisce che l'arma scivoli via. [n] Attacco ravvicinato migliorato [n][n]
zts125e	Scarpe dell'avventuriero
zts126e	Solo per avventurieri.[n][n]
zts127e	Scarpe con tacco alto
zts128e	Un lavoro pregiato.[n][n]
zts129e	Scarpe di pelle
zts130e	Scarpe realizzate in pelle.[n][n]
zts131e	Pattini
zts132e	Permettono movimenti rapidi [n] Originariamente si utilizzavano per ballare [n][n]
zts133e	Spada del maestro
zts134e	Questa spada viene utilizzata da degli avventurieri esperti.[n][n]
zts135e	Fionda del maestro
zts136e	Gli avventurieri esperti si servono di quest'arma dopo aver terminato il loro periodo da apprendisti.[n][n]
zts137e	Balestra da principiante
zts138e	Un'arma secondaria per spadaccini principianti.[n][n]
zts139e	Balestra in legno di quercia
zts140e	Una balestra robusta realizzata in legno di quercia.[n][n]
zts141e	Balestra delle fate
zts142e	Balestra dei Guardiani della foresta con un HitRate più alto.[n][n]
zts143e	Guanti sottili
zts144e	Inutilizzabile.[n][n]
zts145e	Guanti in gomma
zts146e	Guanti rivestiti.[n]Permettono di trasportare senza sforzo degli oggetti pesanti.[n][n]
zts147e	Balestra d'acciaio
zts148e	Una pesante balestra in metallo. Incrementa la forza di attacco.[n][n]
zts149e	Balestra capolavoro
zts150e	Questa balestra, bilanciata e sfarzosa, è il capolavoro di un fabbro rinomato.[n][n]
zts151e	Balestra dell'ombra
zts152e	Una comune balestra dotata di manico confortevole pervasa da dei poteri oscuri.[n][n]
zts153e	Balestra in legno di faggio
zts154e	La scrupolosa realizzazione in legno di faggio permette sempre una ricarica rapida per quest'arma.[n][n]
zts155e	Balestra del coraggio
zts156e	Gli spiriti dei nobili Spadaccini che un tempo usavano questa arma incrementano il morale del proprietario.[n][n]
zts157e	Pugnale Principiante
zts158e	Un'arma secondaria per Arcieri principianti. [n][n]
zts159e	Pugnale
zts160e	Pugnale in metallo poco appariscente.[n][n]
zts161e	Pugnale del tormento
zts162e	Nelle situazioni difficili questo pugnale incrementa la probabilità di effettuare un colpo critico.[n][n]
zts163e	Pugnale raffinato
zts164e	Pugnale impreziosito da dei gioielli. La sua forza di attacco incrementa notevolmente.[n][n]
zts165e	Pugnale capolavoro
zts166e	Questa pugnale, bilanciato e sfarzoso, è il capolavoro di un fabbro rinomato.[n][n]
zts167e	Pugnale di ottone
zts168e	Un pugnale comune realizzato in ottone.[n][n]
zts169e	Pugnale di rubino
zts170e	Questo pugnale tempestato di rubini è l'orgoglio di ogni arciere.[n][n]
zts171e	Pugnale dello spirito
zts172e	Quando si usa questo pugnale, tutti gli elementi verranno migliorati con il potere spirituale.[n][n]
zts173e	Pistola magica per principianti
zts174e	Un'arma secondaria per maghi principianti.[n][n]
zts175e	Pistola magica piccola
zts176e	Un'arma piccola di modeste prestazioni adatta ai principianti delle arti magiche.[n][n]
zts177e	Pistola magica incantata
zts178e	In questa arma è stata infusa un potente magia bianca. La magia nera non riuscirebbe neanche a scalfirla.[n][n]
zts179e	Pistola magica d'oro
zts180e	Il suo vistoso ornamento d'oro attira l'attenzione e l'invidia di tutti i maghi.[n][n]
zts181e	Pistola magica capolavoro
zts182e	Questa arma è il capolavoro di un fabbro rinomato. La sua elevata stabilità e la potente forza di attacco permettono di eseguire dei violenti attacchi contro gli avversari.[n][n]
zts183e	Pistola magica di ottone
zts184e	Un'arma pesante e resistente realizzata in ottone.[n][n]
zts185e	Pistola magica Spirito nobile
zts186e	I maghi di animo nobile si affidano spesso a questa arma per la sua capacità di rafforzare gli attacchi magici.[n][n]
zts187e	Pistola magica dell'ombra
zts188e	Questa potente arma infligge degli attacchi devastanti.[n][n]
zts189e	Armatura dello spadaccino principiante
zts190e	Fa parte dell'attrezzatura di base di ogni spadaccino.[n][n]
zts191e	Armatura imbottita
zts192e	Armatura imbottita con una forza di difesa ridotta.[n][n]
zts193e	Armatura trapuntata
zts194e	Diversi strati di cotone trapuntato,[n]caldo e leggero.[n][n]
zts195e	Armatura in pelle
zts196e	Un'armatura in pelle conciata.[n][n]
zts197e	Armatura della resistenza
zts198e	Incrementa forza e resistenza.[n][n]
zts199e	Armatura in pelle con borchie
zts200e	Armatura in pelle rafforza con degli elementi metallici.[n]La forza di difesa non è il suo tratto rilevante.[n][n]
zts201e	Armatura in pelle rinforzata
zts202e	Un'armatura doppio strato in pelle conciata.[n]La leggerezza si combina a una vigorosa forza di difesa.[n][n]
zts203e	Armatura a scaglia
zts204e	Si distingue per la realizzazione in lamelle metalliche.[n][n]
zts205e	Armatura della morale
zts206e	Questa armatura rafforza il morale.[n][n]
zts207e	Armatura a piastre
zts208e	Un'armatura con delle piastre d'acciaio.[n][n]
zts209e	Armatura con rivetti d'oro
zts210e	Armatura decorata in modo sontuoso con dei rivetti d'oro.[n]È pesante, ma incrementa la difesa magica in modo decisivo.[n][n]
zts211e	Brigantino
zts212e	Ha delle piastre d'acciaio più spesse rispetto a quelle dell''Armatura a piastre'.
zts213e	Armatura del coraggio
zts214e	Incrementa la forza di attacco.[n][n]
zts215e	Tunica per Arcieri principianti
zts216e	Fa parte dell'attrezzatura di base di ogni arciere.[n][n]
zts217e	Tunica di pelle di agnello
zts218e	Una tunica realizzata in pelle d'agnello.[n][n]
zts219e	Tunica di velluto
zts220e	Pelle grezza artificiale particolarmente comoda.[n]Incrementa in modo esiguo la probabilità di colpo critico di ogni arma.[n][n]
zts221e	Tunica di pelle di capra
zts222e	Una tunica in pelle di capra.[n][n]
zts223e	Tunica dell'elusione
zts224e	Ci si sente comodi e leggeri come se non si indossasse l'armatura.[n]La tua agilità incrementa e potrai schivare meglio gli attacchi ravvicinati.[n][n]
zts225e	Tunica di pelle di vitello
zts226e	Una tunica di pelle di vitello.[n][n]
zts227e	Tunica di camoscio
zts228e	Una tunica calda e comoda di morbido camoscio.[n]Ripristina HP e MP.[n][n]
zts229e	Tunica di pelle di vitello
zts230e	Una tunica di pelle di vitello.[n][n]
zts231e	Tunica Occhio d'aquila
zts232e	La visuale migliorata incrementa la tua forza di attacco[n][n]
zts233e	Tunica di Pecari
zts234e	Tunica di pelle di porco.[n][n]
zts235e	Tunica di nubuck
zts236e	Pelle di vitello morbida e irruvidita.[n]Offre protezione nei combattimenti corpo a corpo.[n][n]
zts237e	Tunica toscana
zts238e	Imbottito di morbida pelliccia.[n][n]
zts239e	Tunica degli spiriti
zts240e	Questa tunica è protetta dagli spiriti e possiede un'alta forza di difesa.[n][n]
zts241e	Veste per maghi apprendisti
zts242e	Fa parte dell'attrezzatura di base di ogni mago.[n][n]
zts243e	Veste di cotone
zts244e	Una veste in cotone.[n][n]
zts245e	Veste di cotone magica
zts246e	Ti cinge di magia.[n]Ripristina HP.[n][n]
zts247e	Veste di lino
zts248e	Una veste di fibre sottili intrecciate.[n]Blocca gli attacchi a distanza.[n][n]
zts249e	Toga del recupero
zts250e	Affina il tuo intelletto.[n]Ripristina MP e blocca gli attacchi ravvicinati.[n][n]
zts251e	Toga in tweed
zts252e	Una toga di tessuto robusto[n]perfetta per la difesa nei combattimenti corpo a corpo. Inoltre, resiste al fuoco.[n][n]
zts253e	Veste di lino migliorata
zts254e	Questa veste in lino e cotone incrementa la resistenza.[n]Inoltre, smorza gli attacchi ravvicinati.[n][n]
zts255e	Toga di mussola
zts256e	Una toga elastica, calda e leggera.[n][n]
zts257e	Toga elementale
zts258e	Incrementa le resistenze agli elementi.[n][n]
zts259e	Veste di seta
zts260e	Veste di seta pregiata.[n][n]
zts261e	Toga a quadretti
zts262e	Il suo motivo particolare rafforza gli effetti magici.[n][n]
zts263e	Toga Spina di pesce
zts264e	Questo elegante motivo dona un'aria intellettuale.[n][n]
zts265e	Veste dell'oscurità
zts266e	Condanna a morte chi ti attacca.[n][n]
zts267e	Mantello dei vecchi avventurieri
zts268e	Molto apprezzato dagli avventurieri di mezza età.[n][n]
zts269e	Maschera Kovolt (GM)
zts270e	Gladio
zts271e	Spada corta per gladiatori.[n]Incrementa la morale e la probabilità infliggere danni critici.[n][n]
zts272e	Spada vallone
zts273e	Spada in metallo poco appariscente.[n][n]
zts274e	Sciabola vichinga
zts275e	Sciabola carica di energia oscura per guerrieri impavidi.[n][n]
zts276e	Machete
zts277e	Incrementa la morale di chi usa questa spada.[n][n]
zts278e	Lanzichenetta
zts279e	Aumenta la probabilità di sferrare colpi critici e il danno.[n][n]
zts280e	Spada del cavaliere
zts281e	Una lama per cavalieri audaci, pervasa dalla potente energia della luce.[n][n]
zts282e	Slayer
zts283e	Il suo potere oscuro infligge danni critici all'avversario.[n][n]
zts284e	Arco della vita
zts285e	Un arco leggero che infligge danni critici.[n][n]
zts286e	Arco Fiamma
zts287e	Arco con l'Elemento fuoco.[n][n]
zts288e	Arco sintetico
zts289e	Un arco robusto e letale.[n][n]
zts290e	Arco doppio
zts291e	Grazie all'elemento luce questo arco provoca dei danni extra.[n][n]
zts292e	Arco feroce
zts293e	Al suo interno scorre l'energia oscura. Per questo rende impavidi[n][n]
zts294e	Arco grande
zts295e	Il potere dell'elemento acqua permette a questo arco di infliggere dei danni ingenti all'avversario.[n]
zts296e	Arco d'assedio
zts297e	Danno critico incrementato grazie all'elemento fuoco.[n][n]
zts298e	Bastone magico della vita
zts299e	Conferisce energia della vita a chi lo utilizza. [n][n]
zts300e	Bastone magico delle fiamme
zts301e	Incrementa l'elemento fuoco ma riduce l'elemento acqua.[n][n]
zts302e	Scettro magico del ghiaccio
zts303e	L'energia dell'acqua concentrata trasforma questo scettro in una potente arma.[n][n]
zts304e	Scettro magico di Loon
zts305e	La magia trasfusa in questo scettro incrementa i danni che provoca.[n][n]
zts306e	Bastone magico
zts307e	Questo bastone magico trae il suo potere da due fonti di energia differenti. Per questo motivo, il consumo di MP si riduce in modo evidente.[n][n]
zts308e	Bastone magico sacro
zts309e	Le forze sacre incrementano la resistenza contro le forze del male e conferiscono ai maghi buoni dei poteri straordinari.[n][n]
zts310e	Bastone magico dell'anima
zts311e	Il potere delle anime protegge chi usa questa arma.[n][n]
zts312e	Balestra da combattimento
zts313e	Questa letale balestra è stata realizzata esclusivamente per la battaglia.[n][n]
zts314e	Balestra d'assedio
zts315e	Questa arma scocca delle frecce dotate dell'elemento fuoco.[n][n]
zts316e	Pugnale Highlander
zts317e	Un pericoloso pugnale che conferisce una maggiore probabilità di sferrare colpi critici,[n][n]
zts318e	Pugnale-daga
zts319e	Un pugnale pervaso di energia oscura.[n][n]
zts320e	Pistola magica normale
zts321e	Una Pistola magica con una forza di attacco sorprendente.[n][n]
zts322e	Pistola magica di bronzo
zts323e	Questa Pistola magica possiede l'elemento acqua.[n][n]
zts324e	Armatura di sicurezza
zts325e	Armatura particolarmente robusta.[n][n]
zts326e	Armatura in pelle dura
zts327e	Un'armatura con una forza di difesa e resistenza elevate.[n][n]
zts328e	Armatura del vincitore
zts329e	Può neutralizzare gli attacchi a distanza.[n][n]
zts330e	Armatura del guardiano
zts331e	Riduce il danno degli attacchi ravvicinati.[n][n]
zts332e	Armatura da cavaliere
zts333e	Un'armatura per cavalieri. Permette di evadere e bloccare.[n][n]
zts334e	Armatura di pietra
zts335e	Un'armatura particolare che può assorbire e bloccare i danni.[n][n]
zts336e	Tunica del lampo
zts337e	Rafforza gli attacchi a distanza e la difesa magica.[n][n]
zts338e	Tunica della natura
zts339e	Pervasa dall'energia della natura[n]questa tunica incrementa MP e HP.[n][n]
zts340e	Tunica di pelle di squalo
zts341e	Blocca gli attacchi ravvicinati e gli attacchi magici.[n][n]
zts342e	Tunica del respiro
zts343e	Il respiro della morte ne caratterizza le qualità specifiche.[n][n]
zts344e	Tunica del vento
zts345e	Blocca tutti i tipi di attacco.[n][n]
zts346e	Tunica della Driade
zts347e	Contiene tutti i tipi di energia e resistenze.[n] Riduce il consumo del mana.[n][n]
zts348e	Veste del principiante
zts349e	Rinforza la difesa contro gli attacchi a lunga e a breve distanza.[n][n]
zts350e	Toga morbida
zts351e	Blocca gli attacchi a distanza[n][n]
zts352e	Veste della chiarezza
zts353e	Adatta per la difesa ravvicinata e per resistere al fuoco.[n][n]
zts354e	Toga lavorata
zts355e	Conferisce resistenza alla luce e all'acqua.[n][n]
zts356e	Veste magica
zts357e	Riduce il consumo di mana.[n][n]
zts358e	Veste della fonte
zts359e	Sussiste una determinata probabilità di bloccare qualsiasi attacco.[n][n]
zts360e	Amuleto del livello di attacco
zts361e	Amuleto del livello di difesa
zts362e	Amuleto del livello di attacco e di difesa
zts363e	Amuleto della forza di attacco
zts364e	Amuleto della difesa
zts365e	Amuleto della guarigione
zts366e	Amuleto della resistenza al fuoco
zts367e	Amuleto della resistenza alla luce
zts368e	Amuleto della resistenza all'acqua
zts369e	Amuleto della resistenza all'ombra
zts370e	Amuleto della resistenza
zts371e	Amuleto del colpo critico
zts372e	Amuleto del danno critico
zts373e	Amuleto dell'assorbimento fisico
zts374e	Amuleto dell'assorbimento magico
zts375e	Amuleto dell'assorbimento degli attacchi a distanza
zts376e	Amuleto dell'assorbimento di tutti gli attacchi
zts377e	Amuleto del blocco fisico
zts378e	Amuleto del blocco magico
zts379e	Amuleto del blocco degli attacchi a distanza
zts380e	Fascia per i capelli
zts381e	Protegge la testa dagli attacchi violenti.[n][n]
zts382e	Cappello morbido
zts383e	Un cappello morbido.[n][n]
zts384e	Foglie per la mimetizzazione
zts385e	Non sembrano molto utili.[n][n]
zts386e	Paraorecchie anti-Mandra
zts387e	Ripara le orecchie.[n]Sussiste una certa probabilità che ti protegga dall'urlo delle Mandre.[n][n]
zts388e	Cappello Ippopotamo
zts389e	Morbido cappello da ippopotamo[n]Protegge dal Blackout con un'alta probabilità[n][n]
zts390e	Occhiali trendy
zts391e	Maschera Kovolt
zts392e	Questa maschera permette di camuffarsi da Kovolt.[n]Anche se colpisci i minatori dei Kovolt, gli altri Kovolt non ti attaccheranno.[n]
zts393e	Cappello con corna
zts394e	Incrementa gli HP.[n]Sussiste una certa probabilità che ti protegga dall'urlo delle Mandre.[n][n]
zts395e	Cappello Sturalavandini
zts396e	Ornamento per capelli
zts397e	Protegge, con un'alta probabilità, dai sanguinamenti.[n][n]
zts398e	Antenne
zts399e	Fascia per capelli Oracolo
zts400e	Cappello Funny fish
zts401e	Cappello di Beanie
zts402e	Corno Bufalo d'acqua
zts403e	Occhiali rettangolari
zts404e	Maschera ammiccante
zts405e	Maschera da teppista
zts406e	Monocolo
zts407e	Maschera X
zts408e	Barba e trucco
zts409e	Amuleto del blocco degli attacchi totali
zts410e	Amuleto dell'elemento fuoco
zts411e	Amuleto dell'elemento acqua
zts412e	Amuleto dell'elemento luce
zts413e	Amuleto dell'elemento ombra
zts414e	Amuleto per l'aumento dell'energia oscura
zts415e	Chicky saltellante
zts417e	Chicky ballerino
zts418e	Chicky truce
zts419e	Amuleto protezione scommesse (arma)
zts420e	Se porti con te questo amuleto quando perdi una scommessa,[n]perdi solo l'amuleto e non l'arma.[n](Si può usare 3 volte)[n][n]
zts421e	Amuleto protezione scommesse (equipaggiamento)
zts422e	Se porti con te questo amuleto quando perdi una scommessa,[n]perdi solo l'amuleto e non l'equipaggiamento.[n](Si può usare 3 volte)[n][n]
zts423e	Amuleto per l'aumento del livello raro
zts424e	Quando ce l'hai con te, il tuo livello di rarità incrementa di 1 nelle scommesse[n](Successo garantito al 100%)[n][n]
zts425e	Amuleto per il rinforzo dell'arma di livello fisso
zts426e	Con questo item puoi rafforzare la tua arma di livello fisso[n]con la consueta probabilità.[n]Sussiste anche la possibilità di ottenere di nuovo lo stesso livello.[n]In caso di rafforzamento riuscito, verrà attivato il livello.[n]Attenzione:[n]Se il rafforzamento fallisce, l'item può scomparire.[n](Si può usare 2 volte)[n][n]
zts427e	Amuleto rafforzamento armatura
zts428e	Con questo item puoi rafforzare il tuo equipaggiamento di livello fisso[n]con la consueta probabilità.[n]Sussiste anche la possibilità di ottenere di nuovo lo stesso livello.[n]In caso di rafforzamento riuscito, verrà attivato il livello.[n]Attenzione:[n]Se il rafforzamento fallisce, l'item può scomparire.[n](Si può usare 2 volte)[n][n]
zts429e	Spada di Elvin
zts430e	Questa spada è cinta da un'aura sacra.[n][n]
zts431e	Sciabola della gloria
zts432e	Dotata di tutti gli elementi e resistenze, questa sciabola si rivela un'arma preziosa per ogni spadaccino.[n][n]
zts433e	Spada elementale spezzata
zts434e	Un attacco con questa spada riduce la resistenza agli elementi dell'avversario e il danno causato da colpo critico.[n][n]
zts435e	Arco rosso
zts436e	Sottrae HP all'avversario[n]e incrementa l'attacco ravvicinato.[n][n]
zts437e	Arco della pace
zts438e	La forza della natura incrementa il danno.[n][n]
zts439e	Arco maestoso
zts440e	Gli elementi proteggono dai danni provocati dagli attacchi magici.[n][n]
zts441e	Bastone magico leggendario
zts442e	Questo bastone magico controlla l'elemento fuoco e sottrae l'anima agli avversari.[n][n]
zts443e	Scettro magico dello spirito
zts444e	I poteri degli spiriti che fluiscono in questo scettro sottraggono all'avversario la resistenza alla forza degli elementi e la convertono in energia che rafforza il proprietario.[n][n]
zts445e	Bastone magico maestoso
zts446e	Le persone assennate portano con sé questa arma a fini difensivi.[n][n]
zts447e	Veste del saggio blu
zts448e	Toga da prova
zts449e	Solaris
zts450e	Questo amabile animale domestico incrementa del 30% la forza di attacco del suo proprietario con il potere dell'elemento luce.[n][n]
zts451e	Sellaim
zts452e	La Fata del fuoco si evolve fino al livello 70.[n]Non è commerciabile tra giocatori.[n][n]
zts453e	Woondine
zts454e	La Fata dell'acqua si evolve fino al livello 70.[n]Non è commerciabile tra giocatori.[n][n]
zts455e	Eperial
zts456e	La Fata della luce si evolve fino al livello 70.[n]Non è commerciabile tra giocatori.[n][n]
zts457e	Turik
zts458e	La Fata della luce si evolve fino al livello 70.[n]Non è commerciabile tra giocatori.[n][n]
zts459e	Sellaim grande
zts460e	Woondine grande
zts461e	Eperial grande
zts462e	Turik grande
zts463e	Amuleto della benedizione
zts465e	Amuleto della protezione
zts467e	Amuleto del rafforzamento
zts468e	Può rinforzare l'equipaggiamento di livello fisso. [n]Non protegge dalla distruzione. Per prevenire la distruzione è necessario utilizzare contemporaneamente una pergamena protettiva per equipaggiamento. Di solito si usa per le armi e l'equipaggiamento.[n](Si può utilizzare 3 volte).[n][n]
zts469e	Perla Animale domestico
zts470e	Con questo item puoi inserire[n]il tuo NosMate in una perla[n]e tenerlo nell'Inventario[n]o nel Deposito.[n]I NosMate inseriti[n]all'interno di una perla si possono[n]scambiare con altri giocatori.[n][n][Istruzioni][n]Scegli un NosMate e fai doppio clic[n]sulla perla.[n][n]Avvertenza:[n]Quando custodisci il NosMate[n]in questa perla, esso perderà[n]il nome. Se il tuo NosMate[n]dovesse avere un livello più alto[n]del tuo, puoi lasciarlo libero[n]nella Miniland, ma non[n]potrai portarlo con te in missione.[n][n]
zts471e	Perla Compagno
zts472e	Con questo item puoi mettere[n]il tuo compagno in una Perla[n]e tenerlo nell'Inventario[n]o nel Deposito.[n]I compagni che sono stati inseriti[n]all'interno di una perla possono essere[n]scambiati con altri giocatori.[n][n][Istruzioni][n]Scegli un compagno e fai doppio clic[n]sulla perla.[n][n]Avvertenza:[n]Conservando il compagno[n]nella perla, esso perderà[n]il proprio nome. Se il tuo compagno[n]dovesse avere un livello più alto[n]del tuo, puoi lasciarlo libero[n]nella Miniland, ma non[n]potrai portarlo con te in missione.[n][n]
zts473e	Supporto per Carta speciale
zts474e	Serve per custodire una Carta speciale.[n]Si può scambiare con altri giocatori. [n][Istruzioni][n]Scegli innanzitutto la Carta speciale che vuoi custodire.[n]Poi clicca due volte sul Supporto per Carta speciale per separarti dalla carta e inserirla nel Supporto per Carta speciale.[n]Per rimuovere la Carta speciale, clicca due volte sul Supporto per Carta speciale.[n][Avviso][n]Se la Carta speciale ha dei punti abilità ancora in sospeso, dovrai prima distribuirli, per poterla custodire.[n]Quando rimuovi la Carta speciale dal Supporto per Carta speciale, esso scompare.[n][n]
zts475e	Amuleto Inaugurazione NosMall
zts476e	Scrammer
zts477e	Kriss
zts478e	Balestra di Winslet
zts479e	Balestra Balenty
zts480e	Pistola magica Plaz
zts481e	Pistola magica della luce
zts482e	Sguardo del guardiano
zts483e	Toga della luce
zts484e	Difensore audace
zts485e	Difensore eccellente
zts486e	Flamberga
zts487e	Spada magica che provoca dei danni ingenti.[n][n]
zts488e	Arco della potenza
zts489e	Questo arco provoca dei danni ingenti su determinati mostri.[n][n]
zts490e	Bastone magico di Kais
zts491e	Un must per i maghi di alto livello.[n][n]
zts492e	Scrigno del raid
zts493e	Che cosa contiene questo scrigno?[n]Scoprilo facendo doppio clic.[n]Se ottieni un item di equipaggiamento, esso avrà lo stesso livello di rarità dello scrigno.[n][n]
zts494e	Collana di Oriharcon raffinata
zts495e	Collana di Oriharcon antica
zts496e	Anello di Oriharcon raffinato
zts497e	Anello di Oriharcon antico
zts498e	Braccialetto Oriharcon raffinato
zts499e	Braccialetto di Oriharcon antico
zts500e	Collana di cristallo antica
zts501e	Anello di cristallo antico
zts502e	Bracciale di cristallo antico
zts503e	Collana di diamanti antica
zts504e	Anello con diamante antico
zts505e	Bracciale di diamanti antico
zts506e	Guanti del fuoco
zts507e	Guanti della tempesta
zts508e	Guanti divini
zts509e	Guanti della morte
zts510e	Scarpe del fuoco
