zts1e	Основные эффекты
zts76e	Ледяной щит защищает тело с помощью барьера из льда и прерывает дистанционные атаки на тебя.
zts77e	Аура отдыха
zts78e	Окутывает тело теплой энергией, которая способствует восстановлению ОЗ.
zts79e	Свет Защиты
zts80e	Распространяет Яркий Свет по телу и защищает его.
zts81e	Сон
zts82e	Засыпает моментально, а просыпается сразу же, как кто-то до него дотронется.
zts83e	Слепота
zts84e	Видимость исчезает на несколько секунд
zts85e	Отравленный наконечник стрелы
zts86e	Окуни кончик стрелы в специальное отравляющее вещество, чтобы отравить твоего врага.
zts87e	Отравленный кинжал
zts88e	Окуни кончик кинжала в отравляющее вещество, чтобы отравить твоего врага.
zts89e	Сильное кровотечение
zts90e	Серьезное ранение, понижающее количество ОЗ
zts91e	Неспособность
zts92e	Делает невозможным нападение или защиту.
zts93e	Последствия возрождения
zts94e	Увеличенная сила атаки
zts95e	Улучшенная защита
zts96e	Улучшенная защита в ближнем бою
zts97e	Улучшенная защита в Дальном Бою
zts98e	Улучшенная защита от магических атак
zts99e	Неограниченная Мана
zts100e	Повышенная энергия
zts101e	Ускорение
zts102e	Невидимый щит
zts103e	Яд, вызывающий Конвульсии
zts104e	Атака невозможна. Ты можешь быть без сознания, пока яд не выйдет.
zts105e	Скрюченные руки
zts106e	Руки сведены судорогой, поэтому удар получается слабый.
zts107e	Чихание имеет побочные эффекты.
zts108e	Сейчас племя Клук-Клук уязвимо, может настал благоприятный момент для атаки?
zts109e	Сильный Яд Колючки
zts110e	Отравлен сильным Ядом Колючки.
zts111e	Тьма погибели
zts112e	Чем слабее элемент тьмы, тем слабее критический урон
zts113e	Рука смерти
zts114e	Смертельный Яд
zts115e	Время ожидания для Миссии.
zts116e	Ты можешь еще раз попытаться пройти миссию, когда выйдет время ожидания.
zts117e	Сейчас время использовать Магический Предмет.
zts118e	Дают информацию о длительности жизни Волшебного Предмета. После того, как Время Жизни закончено, Предмет исчезает.
zts119e	Остановка кровотечения
zts120e	Останавливает кровотечение ниже 4лвл. с вероятностью в 80%
zts121e	Ожог
zts122e	Продолжительное время теряет ОЗ из-за серьезного ожога
zts123e	Смертельные ожоги
zts124e	Смертельная отключка
zts125e	Нельзя двигаться или использовать предметы
zts126e	Благословение огнем
zts127e	Добавляет элемент огня и повышает сопротивление огню
zts128e	Ослабление защиты
zts129e	Защита понижена.
zts130e	Уничтожение щита
zts131e	Теряет всю защиту на несколько секунд.
zts132e	Шок
zts133e	Неожиданный удар прерывает атаку.
zts134e	Железная кожа
zts135e	Защита максимальна, но атака понижена.
zts136e	Повышение Морали.
zts137e	Повышает Мораль.
zts138e	Убегай!
zts139e	Беги подальше!
zts140e	Соколиный Глаз
zts141e	С большой долей вероятности ты сможешь  совершить успешную Атаку.
zts142e	Идущий по Ветру
zts143e	Позволяет быстрее бегать
zts144e	Внезапный взрыв
zts145e	На некоторое время прекращает атаку.
zts146e	Быстро
zts147e	Сокращает время отката умений.
zts148e	Слезть с транспорта
zts149e	Замедляет скорость каста заклинаний и скорость движений
zts150e	Поглощает атаку врага
zts151e	Поглощает атаку врага и заряжается от нее.
zts152e	Острое лезвие
zts153e	Делает клинок оружия острым!
zts154e	Рассечение
zts155e	Уменьшает количество маны и снимает половину защиты.
zts156e	Фатальное кровотечение
zts157e	Понижает ОЗ и предотвращает нанесение критического урона
zts158e	Смог
zts159e	Понижает точность.
zts160e	Психотропный яд
zts161e	Вызывает столько урона, сколько используется Мана Очков.
zts162e	Убежище
zts163e	Ты прячешься от противника.
zts164e	Усиливающий яд
zts165e	Понижает все сопротивления и ты всегда получаешь критический урон.
zts166e	Магический свет
zts167e	Понижает точность и количество ОЗ для элемента тьмы.
zts168e	Щит из маны
zts169e	Тратит часть ОМ на защиту от получения урона
zts170e	Священное оружие
zts171e	Повышает элемент света и сопротивление тьме.
zts172e	Уничтожение тьмы
zts173e	Отключает элемент тьмы
zts174e	Благословение
zts175e	Предотвращает получение критического урона, повышая уровень защиты.
zts176e	Критический удар
zts177e	Увеличивается процент смертельных попаданий и концентрация.
zts178e	Спринт
zts179e	Позволяет мгновенное быстрое передвижение.
zts180e	Благословение Любимого.
zts181e	Уменьшает использование Маны.
zts182e	Увеличивает опыт.
zts183e	Увеличивает получаемый опыт на короткое время.
zts184e	Повышает силу атаки
zts185e	Увеличивает атаку на короткое время.
zts186e	Отличная защита.
zts187e	Не производит и не отражает атаку некоторое время.
zts188e	Отчаяние
zts189e	Безнадежный бой
zts190e	Захват
zts191e	Удивление поимке.
zts192e	Короткая отключка
zts193e	Короткая отключка
zts194e	Выявление слабых мест
zts195e	Раскрывает слабые места и всегда получает критический урон
zts196e	Оцепенение
zts197e	Парализует тело, движение невозможно.
zts198e	Окисление
zts199e	Сжигает одежду и расплавляет оружие сильной кислотой.
zts200e	Заражение от Зомби
zts201e	Становится глупым Зомби и производит незнакомые, странные звуки. Очень заразно.
zts202e	Иммунитет к зомбированию
zts203e	Вакцина от зомбирования.
zts204e	Небесная песнь
zts205e	Увлеченный красивой песней, враг теряет волю к сражению
zts206e	Благословение свиньи удачи.
zts207e	Повышает уровень опыта на 10%
zts208e	Новогоднее благословение
zts209e	Повышает силу атаки и защиты на 10%.
zts210e	Благословение дня Святого Валентина
zts211e	Плач и всхлипы
zts212e	Всхлипывание со слезами на глазах
zts213e	Благословение Белого дня
zts214e	Не производит никаких звуков
zts215e	Используй свиток защиты
zts216e	Защищает экипировку во время улучшения и сохраняет текущий уровень редкости.
zts217e	Ядовитый туман
zts218e	Туман приостанавливает все движения
zts219e	Ларец со сладостями
zts220e	Для сезонных праздников. Опыт увеличивается на 30%.
zts221e	Энергия Радуги
zts222e	Сила от победы в битве за Радужный Кристалл. OC не уменьшаются.
zts223e	Энергия Радуги
zts224e	Улучшение брони
zts225e	Повышение Энергии
zts226e	Повышает максимальное количество ОЗ/ОМ на определенное время
zts227e	20% повышение опыта.
zts228e	Благославление Альтаира и Веги
zts229e	Благословение богини Анселлоан
zts230e	Повышение количества получаемого опыта на 100%.
zts231e	Благославления от Ангела-хранителя
zts232e	Повышает количество очков опыта, получаемых НосПомощниками, на 50%
zts233e	Электрошок
zts234e	Тебя парализует электрический удар и ты не можешь двигаться.
zts235e	Сильный электрический удар
zts236e	Тебя парализует сильный электрический удар и ты не можешь двигаться.
zts237e	Окаменение
zts238e	Ты не можешь двигаться из-за Окаменения.
zts239e	Яд Моли
zts240e	Яд Моли делает твои передвижения более медленными и тебе наносится смертельная атака.
zts241e	Чума
zts242e	Чума наносит серьезные повреждения, но их можно избежать, если использовать прививку от зомби.
zts243e	Высасывание крови
zts244e	Дает шанс поглощения ОЗ противника и нанесения ему урона
zts245e	Контроль над разумом
zts246e	Твой разум тебе неподвластен. Ты получаешь серьезный урон.
zts247e	Волшебство сокровища
zts248e	Пункты производства уменьшаются на 20%.
zts249e	Инфекция распространяется очень быстро
zts250e	Бафф "усилитель феи"
zts251e	Элемент феи увеличивается дополнительно на 30.
zts253e	Повышает все элементальные силы и скорость передвижения на 10 минут.
zts254e	Морозная дрожь
zts255e	Твоя скорость передвижения сильно понижается из-за переохлаждения
zts256e	Благословение водой
zts257e	Добавляет элемент воды и повышает сопротивление воде
zts258e	Заморозка
zts259e	Ты получаешь критический урон и не можешь атаковать, так как твое тело оцепенело от холода
zts260e	Усилитель активирован
zts261e	С усилителем движения очень быстрые
zts262e	Отравленный газ
zts263e	Оборона пала и ты не можешь использовать никакие способности.
zts264e	Мольба о защите
zts265e	Повышает уровень защиты партнера и его максимальные ОЗ/ОМ
zts266e	Мольба об атаке
zts267e	Увеличивает уровень атаки и усиливает Мораль.
zts268e	Первая тройная зарядка.
zts269e	Благословлен(а). Повышает силу атаки на какое-то время.
zts270e	Вторая тройная зарядка.
zts271e	Третья тройная зарядка
zts272e	Второй отравленный газ
zts273e	Вы не можете использовать навыки
zts274e	Ледяной щит
zts275e	Защищает тебя и производит "Мороз" на врагов.
zts276e	Светлое Дыхание
zts277e	Понижает силу врагов, не использующих элемент света.
zts278e	Повышает защиту на ограниченное время.
zts279e	Отражает получаемый урон
zts280e	Воздушные волны (жевательная резинка)
zts281e	Благословение камня души
zts282e	Повышение количества получаемого рабочего опыта карты специалиста на 50%.
zts283e	Использовать начальный свиток защиты карт.
zts284e	С этим предметом можно улучшать карту специалиста до 9 уровня улучшения.
zts285e	Использовать финальный свиток защиты карт.
zts286e	С этим предметом можно улучшать карту специалиста до 15 уровня улучшения.
zts287e	Берсерк
zts288e	Увеличивает атаку и скорость бега, но понижает защиту.
zts289e	Бронелом
zts290e	Понижает оборону врага, ломая доспехи.
zts291e	Дух орла
zts292e	Ты приобретаешь орлиную зоркость.
zts293e	Сияние стихий
zts294e	Дух леса повышает твое сопротивление свету.
zts295e	Дух волка
zts296e	Пробуждает в тебе дух волка.
zts297e	Потеря Элементов
zts298e	Сила Леса ослабляет врага.
zts299e	Дух медведя
zts300e	Пробуждает в тебе дух медведя.
zts301e	Призрачный страж
zts302e	Ложный бог окружает Стрелка Тьмы защитой.
zts303e	Темная сила
zts304e	Темное божество повышает твой элемент тьмы
zts305e	Одержимость
zts306e	Ложный бог контролирует дух противника.
zts307e	Зелье зла
zts308e	Темное божество вселяется в тело твоего врага
zts309e	Реквием
zts310e	Песнь ложного бога вселяет в противника ужас.
zts311e	Жизнь и Смерть
zts312e	Повышает силу атаки и защиты на 10% на определенное время.
zts313e	Благославление Нового Года
zts314e	Повышает количество получаемого боевого и рабочего опыта на 10% на определённое время.
zts315e	Потребляет ОЗ для повышения силы атаки
zts316e	Простуда
zts317e	Ты подхватываешь сильную простуду и теряешь контроль над своим телом.
zts318e	Чума
zts319e	Ты не можешь отражать вражеские атаки из-за потрясения.
zts320e	Положительный эффект первой годовщины
zts321e	Повышает максимальное количество ОЗ и ОМ на 10% на 1 час
zts322e	Возрождение
zts323e	Без эффекта ослабления при возрождении.
zts324e	Благославление Белого дня
zts325e	Непобедим  в ПвП.
zts326e	Твои ОЗ не будут снижаться в течение 5 секунд, пока тебя атакуют противники
zts327e	Уменьшает способности противника благодаря Светлому Свету.
zts328e	Повышает уровень  силы нападения в ПвП
zts329e	Если игрок находится в ПвП, его сила нападения увеличивается на один час на 50%. Действует только в Глацерноне.
zts330e	Повышает сопротивление в ПвП.
zts331e	Если игрок находится в ПвП, уровень его защиты увеличивается на один час на 50%. Действует только в Глацерноне.
zts332e	Повышает сопротивление в ПвП.
zts333e	Если игрок находится в ПвП,  его уровень сопротивления увеличивается на один час на 20%. Действует только в Глацерноне.
zts334e	После блокировки атакующий замораживается.
zts335e	Уровень игрока /%d
zts336e	Уровень игрока *%d
zts337e	Уровень /%d
zts338e	Уровень *%d
zts339e	Сохранение природы
zts340e	Усиливает сопротивление элементам.
zts341e	Усиленное сопротивление элементам
zts342e	Слегка отравленный Шип
zts343e	Сильно отравленный Шип
zts344e	Разжиженный  смертельный Яд
zts345e	Опасно смертельный яд
zts346e	Слабый нервно-паралитический Газ
zts347e	Нервно-паралитический Газ
zts348e	Сильный нервно-паралитический Газ
zts349e	Смертельный нервно-паралитический Газ
zts350e	Легкая простуда
zts351e	Сильный Холод
zts352e	Смертельный Холод
zts353e	Легкий ожог
zts354e	Тяжелый ожог
zts355e	Легкая отключка
zts356e	Фатальная отключка
zts357e	Повредить защитное вооружение
zts358e	Разрушить защитное вооружение
zts359e	Ослаблять оружие
zts360e	Повредить оружие
zts361e	Разрушить оружие
zts362e	Разрушить оружие
zts363e	Легкое оцепенение
zts364e	Оцепенение
zts365e	Сильное оцепенение
zts366e	Полное оцепенение
zts367e	Легкое отчаяние
zts368e	Серьезное отчаяние
zts369e	Смертельное сомнение
zts370e	Легкий страх
zts371e	Серьезный страх
zts372e	Смертельный Страх
zts373e	Легкий ужас
zts374e	Ужас
zts375e	Серьезный ужас
zts376e	Смертельный Ужас
zts377e	Легкое выведение из строя
zts378e	Сильное выведение из строя
zts379e	Сильная непригодность
zts380e	Легкое ослабление сопротивлений
zts381e	Ослабление сопротивления
zts382e	Сильное ослабление сопротивления
zts383e	Серьезное ослабление сопротивлений
zts384e	Слабое ослабление элементальной атаки
zts385e	Ослабление элементальной атаки
zts386e	Сильное ослабление элементельной атаки
zts387e	Серьезное ослабление элементальной атаки
zts388e	Легкая заморозка
zts389e	Сильный Мороз
zts390e	Серьезная заморозка
zts391e	Легкое окаменение
zts392e	Сильное Окаменение
zts393e	Серьезное окаменение
zts394e	Оцепенение
zts395e	Ты не можешь контролировать свое тело.
zts396e	Магический барьер
zts397e	Легкий одурманивающий яд
zts398e	Сильный одурманивающий яд
zts399e	Смертельный одурманивающий яд
zts400e	При атаке святыс Светом,  сопротивляемость Свету уменьшается.
zts401e	Нельзя нападать
zts402e	Плитка черного шоколада
zts403e	Уровень силы нападения увеличивается на 30 минут на 10%.
zts404e	Плитка белого шоколада
zts405e	Уровень защитной силы увеличивается на 30 минут на 10%.
zts406e	Звезда
zts407e	Количество полученных пунктов за опыт увеличивается на 50 минут на 10%.
zts408e	Ослабление функций сильной атаки.
zts409e	Серьезное ослабление элементальной атаки
zts410e	Гнев Бычка Пышнохвоста
zts411e	Бычок Пышнохвост злится и сила его атаки увеличивается.
zts412e	Повышенный уровень сопротивления
zts413e	Повышает силу защиты на определенное время.
zts414e	Увеличивает вероятность смертельного попадания.
zts415e	Повышает вероятность нанесения критического урона на определенное время.
zts416e	Делает атаки максимально сильными.
zts417e	Максимизирует магическую силу атаки на определенное время.
zts418e	Наэлектризованная тьма
zts419e	Увеличивает уровень силы сопротивления.
zts420e	Повышает уровень защиты в ближнем бою.
zts421e	Повышает урон от критического удара на определенное время.
zts422e	Наилучшая медаль (10 дней)
zts423e	Ты можешь использовать эффект до тех пор, пока он существует.
zts424e	Наилучшая медаль (30 дней)
zts425e	Наилучшая медаль (1 день)
zts426e	Дыхание проигравшего
zts427e	Уровень атаки и защиты становится 0.
zts428e	Уровни атаки и защиты падают до 0, а скорость передвижения понижается на 2.
zts429e	Уровни атаки и защиты падают до 0, а точность понижается на 20.
zts430e	Цепочка из льда
zts431e	Скорость передвижения понижается на 3.
zts432e	Переливание маны
zts433e	Увеличивает уровень силы защиты и одновременно сокращает полученные повреждения на 30%, при этом используется твоя Мана.
zts434e	Во время действия благословения, очки за опыт в бою/задании возрастают на 30% в течение 10 минут.
zts437e	Вы получаете с Вашим другом  в двое больше опыта. Если Ваш друг выходит из игры, этот эффект исчезает.
zts439e	Проклятье Кальвина
zts440e	Это проклятье Кальвина. Твоя скорость движения уменьшилась.
zts441e	Забирает Ману
zts442e	Забирает Ману у противника.
zts443e	Найти слабое место
zts444e	Твое слабое место стало известно противнику.
zts445e	Ты не можешь двигаться, потому что получил удар электрическим током.
zts446e	Ты жертвуешь своими ОЗ для повышения силы атаки
zts447e	Проклятие командира
zts448e	Проклятие командира. На 60 секунд твоя способность атаковать и защищаться понизится.
zts449e	Шок при взрыве
zts450e	Скорость перемещения понизится и нападений не удастся избежать.
zts451e	Проклятие элитного командира
zts452e	Проклятье элитного командира. На 120 секунд твоя способность нападать и защищаться понизится.
zts453e	Получаемый Вами опыт увеличивается на 100%. Благословение Анкеллона может быть использовано в это время.
zts454e	Получаемый Вами опыт увеличивается на 50%. Благословение Анкеллона может быть использовано в это время.
zts455e	Получаемый Вами опыт увеличивается на 20%. Благословение Анкеллона может быть использовано в это время.
zts456e	Гнев командира
zts457e	Командир рассержен.
zts458e	Защитное благословение
zts459e	Защитное благословение повышает обороноспособность командира.
zts460e	Проклятие великого командира. На 90 секунд твои способности нападать и защищаться понизятся.
zts462e	Повышает ОЗ/ОМ на 10% на 3200 секунд
zts463e	Защитный ледяной щит снижает атаку противника.
zts464e	Маленькое поздравление с Днем святого Валентина
zts465e	Твои силы атаки и защиты увеличиваются на 5%.
zts466e	Поздравление с Днем святого Валентина
zts467e	Большое поздравление с Днем святого Валентина
zts468e	Твои силы атаки и защиты увеличиваются на 20%.
zts469e	Маленькое поздравление на Белый день
zts470e	Большое поздравление на Белый день
zts475e	Бракосочетание
zts476e	Количество получаемых очков опыта повышается на 5%.
zts477e	Благословение Фантома
zts478e	Повышенная сила атаки. Все нападения +100%
zts479e	Проклятие Фантома
zts480e	Понижение силы атаки. -100% к силе всех атак.
zts481e	Рычание сторожевого пса
zts482e	Боевой клич стража
zts483e	Ярость Фантома
zts484e	Проклятье Тыковки
zts485e	Если по тебе попадет еще несколько атак с элементом тьмы, ты временно не сможешь атаковать.
zts486e	Проклятье охранных войск
zts487e	Из-за проклятья охранных войск ты теряешь ЕЗ.
zts495e	Твоя защита и точность увеличиваются. 30% ущерба, нанесенного тебе, вычитается из твоих ОМ вместо ЕЗ.
zts496e	Чудесное излечение
zts497e	Укрепляет тело и повышает защиту.
zts501e	Огромное Новогоднее благословение
zts502e	С Новым годом
zts503e	У тебя будет отличный год.
zts506e	Недееспособен
zts507e	Ваш питомец будет шокирован и недееспособен в течении следующих 30 минут.
zts508e	Крайне недееспособен
zts509e	Ваш питомец шокирован и недееспособен на ближайшие 50 минут.
zts512e	Ускоритель
zts513e	На короткое время твоя скорость становится максимальной.
zts514e	Ты получишь этот эффект после победы в Битве радужного кристалла. Он будет полезен на Глацерноне
zts515e	Огнестрельное ранение
zts516e	У тебя тяжелое огнестрельное ранение.
zts517e	Спрятаться в бочке из-под рома
zts518e	Ты ищешь, куда бы спрятаться от атаки врага.
zts519e	Жар Пылающего меча
zts520e	Количество ОЗ постепенно понижается из-за сильной жары.
zts521e	Масло из ледяных цветов
zts522e	Освежающее масло из ледяных цветов позволит тебе выдержать даже самый сильный жар.
zts523e	Благословение Кертоса
zts524e	Сила атаки увеличена благодаря благословению Кертоса.
zts525e	Горение
zts526e	Урон, получаемый от атак ближнего боя, увеличен.
zts527e	Паучья сеть
zts528e	Вы попали в паучью сеть и являетесь приоритетной целью для противника.
zts529e	Потеря зрения
zts530e	Временная потеря зрения, вызванная яркой вспышкой.
zts531e	Пылающий щит
zts532e	Твоя сопротивляемость возросла благодаря Пылающему щиту.
zts533e	Извержение вулкана
zts534e	Нестерпимый жар лавы наносит оппонентам серьезный урон.
zts535e	Крупное извержение вулкана
zts536e	Нестерпимый жар лавы наносит оппонентам серьезный урон.
zts537e	Пламенный яд
zts538e	Ты продолжительное время теряешь ОЗ из-за отравления Пламенным ядом
zts539e	Огненное дыхание Феникса
zts540e	Огненное дыхание феникса лишает тебя присутствия духа.
zts541e	Пламенеющая метка
zts542e	Пламенеющая метка лишает тебя возможно атаковать и обездвиживает.
zts543e	Проклятие красного пламени
zts544e	Проклятие красного пламени уменьшает твою сопротивляемость к огню. Вероятность получения критического урона возрастает.
zts546e	Наложение Отключки на определенный период времени после серьезного потрясения.
zts547e	Ранение в уязвимое место
zts548e	Тяжело ранен в уязвимое место
zts549e	Разозленный Рудольф-пышнохвостик
zts550e	Рудольф-пышнохвостик приходит в ярость, его атака увеличивается.
zts551e	Боевой крик Центуриона
zts552e	Находящейся под воздействием боевого крика Центуриона, противник всегда будет получать критический урон.
zts553e	Связывание
zts554e	Мощное разъедание
zts555e	Повреждает оружие и броню воздействием сильной кислоты.
zts556e	Ты связан и не можешь пошевелиться.
zts557e	Бонус к опыту
zts558e	Повышение количества очков получаемого опыта на один час (20% для членов семьи, 10% для других игроков)
zts559e	Бонус к золоту
zts560e	Повышение количества получаемого золота на один час (20% для членов семьи, 10% для других игроков)
zts561e	Бонус к выносливости
zts562e	Получение эффекта выносливости на один час.
zts565e	Вероятность контратаки
zts566e	Вероятной одиночной критической атаки.
zts567e	Сокрушительный удар
zts568e	Сокрушительный удар снимается после получения противником Отключки или урона. В сочетании с навыком "Уничтожение" противник получает на 30% урона больше.
zts569e	Чрезвычайно шаткое положение
zts570e	Чрезвычайно шаткое положение появляется из-за потери баланса, вызванной чрезмерной провокацией противника и приводит к получению дополнительного урона.
zts571e	Магическое отражение
zts572e	Магическое отражение отражает все негативные эффекты противников с определенной вероятностью. Навыки, которые производят только негативные эффекты, не могут быть отражены.
zts573e	Шаткое положение
zts574e	Шаткое положение появляется из-за потери баланса, вызванной чрезмерной провокацией противника.
zts575e	Обжорство
zts576e	Сила атаки и скорость передвижения увеличиваются благодаря жажде крови.
zts577e	Вздох неудачника
zts578e	Вздох неудачника обескураживает тебя поражением. В комбинации с навыком "Уничтожение" ты получишь на 70% урона больше.
zts579e	Крики толпы
zts580e	Крики толпы усиливают твой боевой дух благодаря радости от поражения врага.
zts581e	Взрывоопасное усиление
zts582e	Взрывоопасное усиление повышает твою точность и дальность атаки.
zts583e	Клич победы
zts584e	Клич победы во время битвы свидетельствует об огромном желании победить.
zts585e	Первая ударная волна
zts586e	Противник впадает в состояние шока в результате неистовых ударов грома.
zts587e	Щит из магмы
zts588e	Щит магмы поглощает силу атаки врага и ОМ.
zts589e	Ядовитый вулканический газ
zts590e	Ядовитый вулканический газ наносит противникам ущерб.
zts591e	Сила вулкана
zts592e	Сила вулкана увеличивает все навыки вулкана до максимума.
zts593e	Болото лавы
zts594e	Болото лавы уменьшает вероятность атаки.
zts595e	Поток лавы
zts596e	Поток лавы поглощает противника с небольшой вероятностью.
zts597e	Огромный поток лавы
zts598e	Огромный поток лавы поглощает противника с определенной вероятностью.
zts599e	Поток кипящей лавы
zts600e	Поток кипящей лавы поглощает противника с высокой вероятностью.
zts601e	Поток пылающей лавы
zts602e	Поток пылающей лавы беспрерывно поглощает противника.
zts603e	Неумолимость лавы
zts604e	Противник ничего не может сделать, чтобы остановить неумолимость лавы.
zts605e	Подножка
zts606e	Противник сбит с ног ударной взрывной волной.
zts607e	Огромная ударная взрывная волна
zts608e	Огромная ударная взрывная волна стирает все на пути.
zts609e	Турбо загрузчик
zts610e	Турбо загрузчик усиливает эффективность, модернизируя пушечное ядро.
zts611e	Помеха при загрузке
zts612e	Эффективности пушечного ядра препятствует неисправная конструкция.
zts613e	Покрытие магмой
zts614e	Покрытие магмой распространяется по твоей броне и обеспечивает высокую силу защиты.
zts615e	Вторая ударная волна
zts616e	Третья ударная волна
zts617e	Драконий страх
zts618e	Боязнь драконов не дает тебе двинуться.
zts619e	Шок, вызванный плохим приземлением
zts620e	Помещает цель в состояние шока, вызванное плохим приземлением.
zts621e	Бесконечная ударная волна
zts622e	Помещает цель в длительное состояние шока.
zts623e	Сокрушительный удар снимается после получения противником Отключки или урона. В сочетании с навыком "Уничтожение" противник получает на 20% урона больше.
zts624e	Эффективность тела увеличена благодаря жажде крови.
zts625e	Вздох неудачника обескураживает тебя поражением. В комбинации с навыком "Уничтожение" ты получишь на 40% урона больше.
zts626e	Пылающий поток лавы поглощает противника с высокой вероятностью.
zts627e	Защита оружия
zts628e	Защити себя от атак соперника с помощью пушки.
zts629e	Пылающий Адский огонь
zts630e	Противник продолжительное время теряет ОЗ из-за ослабления адским огнем
zts631e	Смертельное кровотечение
zts632e	Благословение Совы
zts633e	Сопротивление воде и сила атаки увеличены.
zts634e	Благословение Хеллоуина
zts635e	Благословение Хеллоуина увеличивает получаемый тобой опыт на 10%.
zts636e	Дракула-кровопийца
zts637e	Поглощает ОЗ твоего противника, повышая твою живучесть
zts638e	Благословение Руди
zts639e	Увеличивает эффективность восстанавливающих предметов и силу атаки на монстров ниже уровнем.
zts640e	Благословение Цветка-колокольчика
zts641e	Ты получишь это благословение после завершения Квеста Цветка-колокольчика.
zts642e	Лихорадка Цветка-колокольчика
zts643e	Щит Руди
zts644e	Невидимый щит Руди защищает его короткий промежуток времени.
zts645e	Благородный жест
zts646e	Ты получаешь урон вместо своего союзника.
zts648e	Дух освобожден благодаря медитации.
zts652e	Это состояние привело к повреждению внутренних органов.
zts655e	Травма от оков
zts656e	Состояние шока, которое возникает при ударе лезвия.
zts657e	Нехватка энергии
zts658e	Предотвращает получение вредных эффектов с определенной вероятностью.
zts659e	Сильная нехватка энергии
zts660e	Критическая нехватка энергии
zts661e	Синдром Кундалини
zts662e	В этом состоянии твоя физическая и духовная энергии сильно ограничены.
zts663e	Травма
zts664e	Тяжелая травма
zts665e	Опасная травма
zts666e	Дух жертвенности
zts667e	Водяной пузырь
zts668e	Водяной пузырь укрывает тебя и защищает от атак.
zts669e	Песнь сирен
zts670e	Услышав песнь сирен, любой потеряет самоконтроль.
zts671e	Небольшой водопад
zts672e	Скорость передвижения уменьшается из-за водопада.
zts673e	Водопад
zts674e	Огромный водопад
zts675e	Маленький электрошок
zts676e	Электрошок парализует все на какое-то время.
zts677e	Электрошок
zts678e	Большой электрошок
zts679e	Водяное давление
zts680e	Высокое водяное давление парализует все на какое-то время.
zts681e	Благословение океана
zts682e	Благословение святых морей защищает тебя от урона, наносимого оппонентом.
zts683e	Гнев Викинга (F)
zts684e	Гнев Викинга извергается.
zts685e	Гнев Викинга (E)
zts686e	Гнев Викинга (D)
zts687e	Гнев Викинга (C)
zts688e	Гнев Викинга (B)
zts689e	Гнев Викинга (A)
zts690e	Гнев Викинга (S)
zts691e	Удар плохого парня (F)
zts692e	Перехитри противника мужеством и отвагой.
zts693e	Удар плохого парня (E)
zts694e	Удар плохого парня (D)
zts695e	Удар плохого парня (C)
zts696e	Удар плохого парня (B)
zts697e	Удар плохого парня (A)
zts698e	Удар плохого парня (S)
zts699e	Материнская любовь (F)
