zts1e	Магазин инструментов Тео (использование)
zts172e	Покинуть семью можно двумя способами. Если игрок хочет выйти из семьи сам, он может ввести в общий чат команду %Покинуть. Если глава или представитель семьи хотят изгнать игрока, они могут ввести в общий чат команду %Выгнать ник_игрока.
zts173e	Выгнать главу семьи и представителей семьи нельзя. Все ушедшие из семьи члены не смогут вступить в новую семью в течение трех дней.
zts174e	В любой семье должны быть глава и два представителя. Если захочешь сменить представителя, введи %ПредставительСемьи старый_представитель новый_представитель.
zts175e	Если вы хотите сменить главу семьи, введите [%ГлаваСемьи ник_нового_главы]. Новый глава семьи должен быть одним из текущих заместителей.
zts176e	Ты можешь писать объявления для всех членов своей семьи с помощью команды %Объявление твое сообщение. Все, кто находится в сети, будут видеть их в верхней части своих экранов.
zts177e	Даже если управление семьёй на данный момент не так просто, как хотелось, я надеюсь, что ты получишь богатый опыт общения с твоим сообществом и тебе это понравится.
zts178e	Мы добавим еще полезных функций как только сможем.
zts179e	Тренировка в НосКэмп (Использовать)
zts191e	Что ты хочешь знать?
zts192e	Для чего мне нужно образование?
zts193e	Расскажи мне о Базовых Навыках.
zts194e	Что такое способность плюс?
zts195e	Как я могу удалить навыки?
zts196e	Обучение состоит из многочисленных пасивных  способностей, которые постоянно улучшают твои умения в бою.
zts197e	Конечно же обучение не бесплатно, ты должен  заплатить определённое количество золота, как только ты выбрал одну из профессий. Кроме того, ты должен достичь определённый боевой уровень, для того, чтобы иметь возможность учиться.
zts198e	Как я могу повысить свой боевой уровень?
zts199e	Каждый раз, как ты побеждаешь монстра, ты получаешь очки за опыт. Благодаря этим очкам твой боевой уровень повышается. Обучение поделено на три уровня: низкий, средний и высокий. Нет неоходимости заканчивать низший уровень, чтобы начать средний.
zts200e	С этим могут быть какие-то проблемы или неприятности?
zts201e	Нет. Нет большой разницы, если ты сразу пойдешь на второй уровень, вместо того чтобы делать все по порядку.
zts202e	Но тебе будет проще сделать все по порядку.
zts203e	Базовые навыки - это навыки, которые пригодятся тебе позже в бою.
zts204e	Чтобы изучить базовый навык понадобится определенное количество золота и ОВ. Кроме того, для изучения тебе понадобится соответствующий рабочий уровень.
zts205e	Что значит ОВ и рабочий уровень?
zts206e	Да. Рабочий опыт накапливается, когда ты убиваешь монстров. Повышая свой рабочий уровень, ты получаешь очки навыков. С их помощью можно учить новые навыки и улучшать старые.
zts207e	Выбирай навыки обдуманно, потому что тебе не хватит ОВ чтобы выучить все базовые и дополнительные навыки.
zts208e	Дополнительный навык - это специальное умение, которое дает бонус к базовому навыку.
zts209e	Вот например... Когда ты изучишь Внезапную Атаку и дополнительный навык к ней Прямое Попадание, он будет использоваться автоматически каждый раз при использовании Внезапной Атаки.
zts210e	То есть одинаковые навыки могут иметь разные эффекты в зависимости от дополнительных навыков?
zts211e	Верно. Ты можешь выучить до четырех различных видов дополнительных навыков для каждого базового навыка.
zts212e	Но нужно обращать внимание, т.к. ты не сможешь изучить дополнительные навыки, которые несут на себе одинаковый Символ. Ты видишь круг или квадрат в нижнем правом углу изображения с навыком.
zts213e	Какое значение имеют эти символы?
zts214e	Когда ты открываешь окно навыков, ты видишь там контейнеры с разными символами. Эти символы указывают на контейнер, в который нужно поместить определенный навык.
zts215e	А, понятно. Дополнительные навыки должны нести на себе тот же символ, что и контейнер. Поэтому можно выучить только один дополнительный навык на символ.
zts216e	Если ты захочешь изучить навык, который несет на себе уже выбранный тобой символ, старый навык будет перезаписан. Но не волнуйся, в этом случае ты получишь предупреждение.
zts217e	Если тебе больше не нужен какой-то навык, или тебе нужны ОВ для изучения другого навыка, ты можешь легко удалить ненужный.
zts218e	Чтобы удалить существующий навык дважды щелкни по навыку в меню.
zts219e	При удалении навыка ОВ, потраченные на него, возвращаются. Но для удаления навыка придется заплатить ту же сумму золота, что и для приобретения навыка.
zts220e	Базовые навыки могут быть удалены только после удаления всех дополнительных.
zts221e	Навыки, полученные во время обучения удалить невозможно. Ты ничего не теряешь, т.к. они не стоят ОВ.
zts222e	Алхимическое объединение (использовать)
zts233e	Рынок НосВилля (использовать)
zts257e	Модный бутик (воспользоваться)
zts266e	Хорошо, скажи мне.
zts267e	Расскажи мне об аксессуарах.
zts268e	Аксессуары дополняют одежду и показывают социальный статус владельца.
zts269e	Но я вижу, что ты ищешь что-то более полезное. Хмм...
zts270e	Аксессуары обладают удивительными магическими силами. Можно сказать, что магия как бы вплавлена в эти аксессуары.
zts271e	В них также есть ячейки для добавления дополнительных свойств.
zts272e	Что? Ты можешь объяснить поподробнее?
zts273e	Я знал, что тебя интересует эта часть, и поэтому расскажу тебе ее.
zts274e	У аксессуаров есть "Опциональные Слоты" и "Опциональный Уровень".
zts275e	Опциональный Слот показывает тебе, как много Опций ты можешь использовать. Опциональный Уровень указывает, до какого Уровня это возможно. Ты следишь за мыслью?
zts276e	Да, а как я могу добавлять опции?
zts277e	Для этого тебе понадобится Келлон. Келлон - это сверкающий драгоценный камень.
zts278e	Уровень Келлона определяет уровень свойства. Таким образом, чем выше уровень Келлона, тем лучше.
zts279e	Ах, ты, правда, не сможешь выбрать, какие именно Опции будут использованы. Это зависит лишь от судьбы и твоей удачи.
zts280e	Где я могу найти Целлон?
zts281e	Келлон может быть получен путем переработки камня Джиллион. Для этого понадобится Облагораживатель Келлона.
zts282e	Переработчик может быть приобретен в Ассоциации Алхимиков.
zts283e	Спираль времени (НосВилль)
zts285e	Войди на приватную неограниченную арену.
zts286e	Войти на семейную арену.
zts287e	Наблюдай список кругов времени.
zts290e	В какое место ты хочешь отправиться?
zts291e	Запад горы Крем (1000 золота)
zts292e	Менисейлс (Город ковольтов)
zts294e	Драгоценности Мэри
zts297e	Магазин всякой всячины (город ковольтов)
zts299e	Магазин (город ковольтов)
zts301e	Спираль времени (Коарены)
zts304e	НосВилль (0 золота)
zts305e	Иди к кругу Времени
zts306e	Войди сразу же на Арену и Круг Времени.
zts307e	Акт 1 - Начало
zts308e	Акт 1 - Дерево Фернон
zts309e	Внимани, Искатель Приключений! Я даю тебе твою первую миссию:
zts310e	Прекрати забастовку в городе Ковольтов.
zts311e	Но ситуация ухудшается и переходит в войну..
zts312e	И вот в последующем хаосе появляются Герои
zts313e	Появляется враг и пытается тебя остановить
zts314e	Возрождение дерева Фернон может повергнуть мир в хаос!
zts315e	Ты готов начать это приключение?
zts316e	Но ... мы же только что начали ...
zts317e	Тем не менее, слушай меня: Здесь начинается большая история молодого Искателя приключений!
zts318e	Акт 2 - Начало
zts319e	Каждый помогал другому, для того чтобы преодолеть кризис.
zts320e	Но еще далеко не конец! Оно может пробудиться в любой момент, но никто не знает точно, когда.
zts321e	У таинственного племени под названием кэтси веками хранится печать дерева Фернон.
zts322e	Всё же, Ковольт и Кэтси были врагами столетиями.
zts323e	Если вы начнете атаку, это приведет к войне.
zts324e	Кризис ещё не прошёл.
zts325e	Новый кризис приближается, который приведёт с собой новых искателей приключений!
zts326e	Акт 2 - Возрождение демонов
zts327e	Подожди! Моя белая овца плачет....
zts328e	Разговор с НПС из НосВилля
zts329e	Ты же новичок, не так ли?
zts330e	Да, чтобы ни было, я приложу все усилия!
zts331e	Ты храбрый, но будь осторожен, все не может всегда идти по плану!
zts332e	Как ты считаешь? Будут Ковольты нападать?
zts333e	Ну, это из-за ужасных условий труда. Всё плохо, кроме того....
zts334e	Па! Ты наверно не правильно обращался с ними. Может мне стоит показать им хорошие манеры?
zts335e	Хаха! Да, но мы должны собрать больше информации.
zts336e	Информацию? Что за информацию? Итак всё понятно. Ленивые ублюдки сново хотят плакать!
zts337e	Ковольты протестуют более активно, чем мы это себе представляли, или?
zts338e	Мир погружается в хаос. Это большая проблема.
zts339e	Да, но мне кажется, для этого есть основания.
zts340e	Причины? Какие причины? Это глупое создание имеет привычку постоянно жаловаться!
zts341e	Война когда-нибудь закончится?
zts342e	Кто победит в битве между людьми и Ковольтами?
zts343e	Как это такая ситуация была так легко решена? Я не думаю, что Ковольты были так некомпетентны.
zts344e	Я не ждал, что война закончится так быстро. Кто мог подумать, что у Ковольтов были внутренние разногласия?
zts345e	Что будет дальше? Я так волнуюсь, что не могу спать.
zts346e	Мы сейчас не можем бросить работу! Мы будем стараться до самого конца.
zts347e	Нет! Мы уже ничего не можем поделать. Они гораздо сильнее, чем мы.
zts348e	Посмотри на меня! Почему я должен через всё это пройти? Почему я должен так страдать?
zts349e	Рад тебя видеть! Как у тебя дела?
zts350e	Эй, ты не должен доверять всем во время своего приключения. Всего хорошего тебе!
zts351e	Пожалуйста! Я тебя умоляю! Борись дальше за нашу деревню.
zts352e	Забастовка? Чёрт подери. Я надеюсь, ничего плохого не случится.
zts353e	Тревога возрастает постоянно. Давай всё же не терять мужество.
zts354e	Что за ужасная ситуация!
zts355e	Спасибо тебе за твой упорный труд.
zts356e	Это меня удручает.  Я не хотел бы об этом говорить!
zts357e	Прекрасно! Ты мой герой!
zts358e	Ты напоминаешь мне о моём детстве.
zts359e	Каким был я тогда? Я был таким же глупым? Ха-Ха...
zts360e	Хочешь послушать забавную историю? *Смех*
zts361e	Итак, однажды в летнем лагере....
zts362e	*Смех*
zts363e	Это так смешно, что я тебе не могу этого рассказать сейчас.
zts364e	Добро пожаловать обратно. Ты помнишь ещё , что я хотела тебе рассказать в тот день?
zts365e	Я могу тебе это сейчас объяснить.  Я могу сдержать мой смех.
zts366e	Это...
zts367e	Однажды, давным давно жила колючая мышь.
zts368e	.......
zts369e	....пфф
zts370e	...пфф..ха ха ха ха.. Как может туда прийти колючая мышь? ....Ну ты дал.. хахахаха.
zts371e	Хорошо, я продолжу историю позже. Хахахаха...
zts372e	Никогда не теряй свое мужество, не взирая ни на какие тяжелые времена.
zts373e	Для того, чтобы наши духи не засыпали. Давай ка я тебе расскажу одну смешную историю.
zts374e	Эй, почему ты уходишь? Почему ты не хочешь дослушать мою историю до конца?
zts375e	Эй...
zts376e	Веселая история, не так ли? Ты уверен, что хочешь мне ее сейчас рассказать?
zts377e	Спасибо, что ты так любезен. Чтобы отблагодарить тебя, я расскажу тебе веселую историю... Эй! Куда же ты?
zts378e	Сегодня я расскажу тебе особую историю про Ланетан и дерево Фернон.
zts379e	Если они сами на себя охотились, то теперь они как картошка во фритёре! ХАХАХА!
zts380e	ХА ХА ХА ХА ....
zts381e	Чёрт подери, это не смешно! Мне тут что, здохнуть!?
zts382e	Эй, мне это напоминает одну веселую историю, которая только что всплыла в памяти.
zts383e	Что произойдёт, если Ланетан взлетит на воздух?
zts384e	Ты этого не знаешь? Ответ на это....
zts385e	Картофельные чипсы!! Разве это невесело?
zts386e	Эта моя самая лучшая шутка!
zts387e	Эй, если ты новичок, веди себя прилично. И будь пошустрее!
zts388e	Пошли... ну давай, пошли....... чего ты тут капаешся? Давай....беги! Быстрее!
zts389e	Пятьдесят Ковольтов! Шумные Ковольты!
zts390e	Это был великий день!
zts391e	А что сейчас происходит в НосВилле?
zts392e	Мы погибнем. Это конец. Все позади.
zts393e	Входи! Мне никто не верит, если я говорю, что я твой хороший друг. Дай мне, пожалуйста, твой автограф, как подтверждение нашей с тобой дружбы.
zts394e	Погода прекрасная и мне надо работать... Ах, вот это настоящая жизнь!
zts395e	Зачем тебе этот НосЛагерь? Присоединяйся к солдатам лорда Куарри!
zts396e	Прекрати плакать. Уходи! Я должен разузнать, прийдёт ли стража.
zts397e	Я так разозлён. Почему именно сейчас они проводят свою забастовку?
zts398e	Сделай что-нибудь! Разве это не твоя задача?
zts399e	Ковольт! Шумное создание!
zts400e	Хорошая работа!
zts401e	Возможно, будет война, это еще ухудшит ситуацию!
zts402e	Да ну? Они  на самом деле отваживаются сражаться с людьми? Ха-ха!
zts403e	Не говори ничего. Моя жизнь окончена.
zts404e	Привет! Все в порядке!
zts405e	Разговор со Шлури
zts406e	Говорят, некотрые искатели приключений еще не вернулись со своих миссий... И никто о них с тех пор ничего не слышал. В любом случае, я желаю тебе удачи!
zts407e	Ты еще жив? Хм..Итак, там было все не так плохо, как я ожидал. Как бы то ни было, желаю удачи!
zts408e	Я слышал, что ты лучше других путешественников. Как бы то ни было, ты не должен становиться высокомерным. Хорошо?
zts409e	Что? Тебе не нужно сильно волноваться по этому поводу, не так ли? Как бы то ни было...
zts410e	Серийный номер меча путешественника NTR40U-10X. За свою цену он имеет превосходную силу. Из-за этого Теоман Топп перестал делать их.
zts411e	При полировке меча мы рекомендуем тебе использовать тряпку из полиэфира. Тряпки из полиэфира известны тем, что они оказывают охлаждающий эффект на клинок.
zts412e	Если ты встретишь противника в кожаном снаряжении, то подними твой меч и опусти его под углом в 36,5 градусов. Мы выяснили, что при таком угле кожу очень легко разрезать.
zts413e	Есть две модели тетив лука. Первая модель состоит из 3 тетив, которые 20 раз переплетены между собой. Вторая модель состоит из 5 тетив, которые 40 раз переплетены между собой. Вторая модель, как считается, уменьшает напряжение твоих пальцев на 0,2 %. Но никто фактически не чувствует эту разницу.
zts414e	Это снаряжение? Если бы ты его покупал также, как ты покупал инструменты, то тебе бы его отдали просто бесплатно.
zts415e	Разговор с начальником шахты Мадогом
zts416e	В шахтах лорда Куарри добывают очень много джиллионов. Это выгодно всем.
zts417e	Иногда собака кусает своего хозяина.
zts418e	Эти ковольты... Не будет с ними спокойствия.
zts419e	Что это за мир, в котором мы живём? Война с Ковольтами? ...ХА-Ха....
zts420e	Сейчас подходящее время для отдыха? Я знал, что Ковольты что-то подобное имели на уме.
zts421e	Ик! Я пью, чтобы утопить свою печаль. В моей жизни больше нет места радости. Гнилые корни дерева Фернон убьют всех нас, не так ли? Ик!
zts422e	Ковольты тоже очень тяжело работали. Несколько дней назад Лорд Куарри вознаградил одного хорошего шахтёра Ковольта. Все проблемы были решены. Разве это не классно?
zts423e	Управляющий у входа в шахту
zts424e	Искатель приключений! Я понимаю, это звучит смешно, но ковольты вышвырнули меня из шахты...
zts425e	Почему они ведут себя так?
zts426e	Это твоя работа разбираться с такими вещами, так?! Вот и сделай что-нибудь!
zts427e	Что? Забастовка? О чем они?
zts428e	Они вообще ничего не сделали. Почему отвечают они подобным образом? Я ненавижу жить вместе с Ковольтами.
zts429e	Что? Война? Хахахаха? Мухахахахаха!!!
zts430e	Посмотри-ка! Я знал, что это произойдет. Война? Даже не мечтай об этом!
zts431e	Какая проблема! Кто решит ее?
zts432e	Я плохо обращался с моими друзьями Ковольтами в последние дни. Я должен обходиться с ними более щедро.
zts433e	Коарены Стража 1
zts434e	*Гав* Что вам здесь нужно, люди?
zts435e	Послушай, иди сюда! Ты наш друг!
zts436e	Коарены Стража 2
zts437e	Это начало! Я благодарю тебя.
zts438e	Коарены Стража 3
zts439e	Коарены в сильной ярости! Кенко, вы трупы!
zts440e	Коарены Стража 4
zts441e	Люди! Война окончена! *Гав*
zts442e	Главный шахтер Коаренов
zts443e	Я уже часто слышал о тебе от других шахтеров. Спасибо тебе за помощь.
zts444e	Коарен-шахтер
zts445e	На это поставлены наши жизни! Возвращайтесь к работе! *Гав*
zts446e	частный магазин
zts447e	Используй магазин!
zts604e	Тренировка начинающих искателей приключений
zts605e	Ты должен постоянно тренироваться для того, чтобы твои способности искателя приключений улучшались. Тренировка - это ключ к твоему успеху!
zts606e	Я  буду тебя больше поддерживать, если ты быстрее достигнешь цели.
zts607e	ничего...
zts608e	Хорошая работа! Удачи в будущем в твоем совершенствовании....
zts609e	Защита НосВилля 1 (Начало)
zts610e	Возле города столько злых растений и животных. Никто не решается войти в город из-за этого.
zts611e	НосЛагерю нужно немного поднапрячься. Чтобы спасти город, нам нужны такие смелые искатели приключений, как ты!
zts612e	Защита НосВилля 1 (Завершено)
zts614e	Защита НосВилля 1 (Начало)
zts615e	У людей много проблем с Ковольтами, но в то же время местность вокруг города становится все опаснее.
zts616e	Только искатели приключений смогут справиться с этим. Пожалуйста, помоги жителям НосВилля!
zts617e	Защита НосВилля 2 (Завершено)
zts618e	Это для нас такая помощь. Мы ждем и дальнейшей твоей поддержки.
zts619e	Миссия в храме 1 (Начало)
zts620e	Мы больше не можем появляться на аванпосту Фернон, так как там слишком опасно. Нам нужна помощь искателя приключений!
zts621e	Миссия в храме 1 (Завершено)
zts622e	Миссия в храме 2 (Начало)
zts623e	Все больше сильных демонов появляется около Храма. Путешественник, только ты можешь нам помочь!!!
zts624e	Миссия в храме 2 (Завершено)
zts625e	Тяжело было сражаться с Демонами? Ты отлично дрался!!!
zts626e	Защита шахт (Начало)
zts627e	Эй, помогите мне кто-нибудь! Уберите рабочих из шахт Ковольтов!
zts628e	Спасибо! Ты мне очень помогла.
zts629e	Битва ковольтов 1 (Начало)
zts630e	Сообщение от Кальвина. Сообщение от Кальвина. Ты получишь награду от НосЛагеря, если захватишь солдатов коаренов.
zts631e	Все заинтересованные Путешественники должны об этом помнить.
zts632e	Битва ковольтов 1 (Завершено)
zts633e	Спасибо. Ты хорошо выполнил свою работу!!
zts634e	Битва ковольтов 2 (Начало)
zts635e	Сообщение от Кальвина. Ты получишь награду от НосЛагеря, если захватишь солдатов кенко.
zts636e	Битва ковольтов 2 (Завершено)
zts637e	Ночная работа в Ассоциации алхимии 1 (Начало)
zts638e	Хехе... Привет! Я ищу кого-нибудь, кто принесет мне кое-что очень срочно. Хехе...
zts639e	Ночная работа в Ассоциации алхимии 1 (Начало)
zts640e	Спасибо. Но зачем ты мне это даешь?
zts641e	О, да!!! Спасибо тебе.
zts642e	Ночная работа в Ассоциации алхимии 1 (Начало)
zts643e	Ночная работа в Ассоциации алхимии 2 (Завершено)
zts644e	Ночная работа в Ассоциации алхимии 3 (Начало)
