zts1e	Genel efektler
zts106e	Eli ufaltýr ve saldýrý gücünü azaltýr
zts107e	Hapþýrmanýn yan etkileri vardýr
zts108e	Kuluck Kuluck Kin için zayýf bir an , belki de saldýrmak için iyi bir fýrsat ?
zts109e	Güçlü diken zehiri
zts110e	Güçlü bir Zehir-Diken tarafýndan zehirlendi
zts111e	DOOM'un karanlýðý
zts112e	Karanlýk zayýfladýkça  ölümcül saldýrýnýn etkisi artar
zts113e	Ölümün eli
zts114e	Öldürücü zehir
zts115e	Görev için bekleme süresi
zts116e	Bekleme süresi dolduktan sonra görevi tekrar yapabilirsin.
zts117e	Þimdi büyülü bir eþyayý kullanma zamaný
zts118e	Büyülü eþyalarýn yaþam süresi hakkýnda sana  bilgi verir.Eðer yaþam süresi dolmuþ ise eþya kaybolur.
zts119e	Sadýk
zts120e	-4 seviye durumunda  %80 ihtimal ile kanamayý durdur.
zts121e	Yanmak
zts122e	Ateþ saldýrýlarýnda zayýflar ve  devamlý yaþam gücünü azaltýr
zts123e	Ölümcül yanma
zts124e	Ölümcül bayýlma
zts125e	Hareketsizleþtirildi.Hareket etmek veya herhangi bir eþyayý kullanmak mümkün deðil.
zts126e	Ateþ kutsamasý
zts127e	Ateþ gücü elde edilir ve ateþ direnci yükselir
zts128e	Savunma gücünü zayýflatma
zts129e	Savunma seviyesi düþer ve savunma gücü azalýr
zts130e	Kalkaný yok et
zts131e	Bütün savunma gücü bir kaç saniyeliðine kaybedilir.
zts132e	Þok
zts133e	Çok sarsýlmýþ bir haldeyken saldýrýn yarýda kesildi
zts134e	Çelik gibi deri
zts135e	Kýsa süreliðine savunma gücünü iyileþtirir.
zts136e	Moral yükselimi
zts137e	Morali yükseltir
zts138e	Kaç!!!
zts139e	Uzaða kaç!!!
zts140e	Kartal gözü
zts141e	Baþarýlý bir saldýrý yapabilmek için büyük bir olasýlýk verir.
zts142e	Rüzgar koþucusu
zts143e	Hýzlý hareket etmeye izin verir
zts144e	Þimþek Patlamasý
zts145e	Saldýrýyý bir süreliðine durdurur
zts146e	Hýzlý
zts147e	Tekrar süresini azaltýr
zts148e	Ýnme
zts149e	Büyü uygulama süresini ve hareket etme hýzýný yavaþlatýr.
zts150e	Saldýrý gücünü emme
zts151e	Baþkalarýnýn saldýrýsýný emip kendisinikini doldurur
zts152e	Keskin aðýz
zts153e	Silahýn kenarýný keskinleþtirir!!
zts154e	Kesme
zts155e	BP azaltýr ve savunma gücünü yarýya kadar indirir
zts156e	Ölümcül kanama
zts157e	YP azaltýr ve ölümcül saldýrýlarý kullaným dýþý býrakýr
zts158e	Smog
zts159e	Ýsabet oranýný düþürür.
zts160e	Zihinsel zehir
zts161e	BP kullanýmý kadar hasar verir
zts162e	Sýðýnak
zts163e	Düþmandan saklanmak
zts164e	Güçlendirici zehir
zts165e	Bütün dirençleri azaltýr ve bütün ölümcül saldýrýlarý alýr.
zts166e	Büyünün ýþýðý
zts167e	Hem isabet oraný hem de gölge elementinin YP deðeri azalýr.
zts168e	Büyü enerjisi kalkaný
zts169e	BP hasarýn bir kýsmýnýn yerine geçer
zts170e	Kutsal silah
zts171e	Gölge direncini yükseltir ve ýþýk gücü ekler
zts172e	Karanlýðý kapat
zts173e	Karanlýk enerji akýmýný keser
zts174e	Kutsama
zts175e	Savunma ve direnci artýrýr.
zts176e	Kritik Ýsabet
zts177e	Konsantre olarak ölümcül isabet oraný yükselir
zts178e	Depar
zts179e	Anýnda hýzlý hareket etmeye imkan tanýr
zts180e	Sevgilinin kutsamasý
zts181e	Büyü enerjisi gideri azaldý
zts182e	Tecrübe yükseltmek
zts183e	Kýsa bir süre için tecrübe puanlarýný yükseltir
zts184e	Saldýrý gücü yükseldi
zts185e	Saldýrý gücünü kýsa bir süre için yükseltir
zts186e	Mükemmel koruma
zts187e	Kýsa bir süre için saldýrý alamazsýn & saldýramazsýn
zts188e	Umutsuzluk
zts189e	Umutsuzluk içerisindeki savaþlar
zts190e	Zaptetme
zts191e	Zaptedildiðine bu kadar þaþýrdýn mý?
zts192e	Kýsa süreli bayýlma
zts193e	çok kýsa süreli bayýlma
zts194e	Zayýf nokta açýða çýkarmak
zts195e	Zayýf noktalarý açýða çýkarýr ve ölümcül saldýrýlarý tanýr
zts196e	Uyuþma
zts197e	Vücudu hareket edemeyecek þekilde paralize eder
zts198e	Oksitlenme
zts199e	Kýyafetleri ve silahlarý güçlü bir asit ile  yakar & eritir
zts200e	Zombi enfeksiyonu
zts201e	Aptal zombi olur , saçma ve komik gürültüler çýkartýr.Aþýrý derecede bulaþýcý
zts202e	Zombi baðýþýklýðý
zts203e	Zombi enfeksiyonuna karþý baðýþýklý
zts204e	Cennetin þarkýsý
zts205e	Çok hoþ bir þarký tarafýndan ilgisi daðýtýlýr ve savaþma isteðini kaybeder.
zts206e	Þans domuzcuðunun kutsamý
zts207e	Tecrübeyi %10 yükseltir
zts208e	Yeni Yýl Kutsamasý
zts209e	Saldýrý ve savunma gücünü 10% yükseltir
zts210e	Sevgililer günü kutsamasý
zts211e	Hýçkýrmak & aðlamak
zts212e	Gözyaþlarý ile hýçkýrýyor
zts213e	Beyaz günün kutsamasý
zts214e	Gürültü yapmamak
zts215e	Koruyucu parþömeni kullan
zts216e	Teçhizatý geliþtirir ve o anki az bulunurluk seviyesini korur
zts217e	Sis zehir
zts218e	Sis bütün hareketleri durdurur.
zts219e	Tatlý bölme
zts220e	Sezonluk organizasyonlar için.Tecrübe puanlarý 30% yükselir.
zts221e	Gökkuþaðý enerjisi
zts222e	Gökkuþaðý savaþý galibiyetinden elde edilen güç. UP'ni azaltmaz!
zts223e	Gökkuþaðý enerjisi
zts224e	Zýrh yükselimi
zts225e	Enerji yükselimi
zts226e	Belirli bir süre için maksium YP/BP yükseldi.
zts227e	Tecrübe seviyesinin 20% artýþý
zts228e	Altair ve Wega'nýn kutsamasý
zts229e	Ancelloan'ýn kutsamasý
zts230e	Alýnan tecrübe puanýný %100 yükseltir.
zts231e	Koruyucu melek kutsamalarý
zts232e	NosMate'nin tecrübe puaný %100 yükselir.
zts233e	Elektrik þoku
zts234e	Elektrik þoku tarafýndan felç edildin ve hareket edemiyorsun.
zts235e	Þiddetli elektrik þoku
zts236e	Þiddetli bir elektrik þoku tarafýndan felç edildin ve hareket edemiyorsun.
zts237e	Taþ kesilme
zts238e	Taþ kesilme sebebi yüzünden kaba etin biraz uyuþmuþ hissediliyor.
zts239e	Güve zehiri
zts240e	Güve zehiri yüzünden yavaþladýn ve ölümcül hasar aldýn.
zts241e	Veba
zts242e	Veba yüzünden bitkiler ciddi bir þekilde hasar almýþlar, ancak bu zombi aþýsý ile engellenebilir.
zts243e	Kan emmek
zts244e	Düþmanýn YP deðerini emmeye  ve hasar vermeye imkan saðlar.
zts245e	Zihin kontrolü
zts246e	Zihnin bir baþkasýnýn kontrolü altýnda ve bu ciddi bir þekilde hasar yaratýyor.
zts247e	Sevgilinin büyüsü
zts248e	Üretim puanlarýnda %20 azalým
zts249e	Veba  bitki örtüsüne ciddi hasarlar verdi.
zts250e	Peri yükseltici güçlendirici büyüsü
zts251e	Perinin  elementi ekstradan 30 yükselir
zts253e	Bütün element yeteneklerini  ve tempoyu 10 dakika yükseltir
zts254e	Titreme Nöbeti
zts255e	Vücudun soðuktan dolayý neredeyse donduðu için hareket hýzýn oldukça yavaþladý.
zts256e	Suyun kutsamasý
zts257e	Su elementi ekler ve su direncini yükseltir
zts258e	Dondurucu
zts259e	Ölümcül bir vuruþ tarafýndan isabet aldýðýn  ve vücudun soðuktan uyuþtuðu için herhangi bir saldýrý giriþiminde bulunamazsýn.
zts260e	Yükseltici açýk
zts261e	Yükseltici kullanýldýðý zaman hýzlanýrsýn.
zts262e	Zehirli gaz
zts263e	Savunman düþtü ve hiç bir yetenek uygulayamazsýn.
zts264e	Savunma duasý
zts265e	Partnerin savunma seviyesini ve maksimum YP/BP deðerini yükseltir
zts266e	Saldýrý duasý
zts267e	Saldýrý seviyesini yükseltir ve morali güçlendirir.
zts268e	1.üçlü yükleme
zts269e	Kutsal element sayesinde bir süre için saldýrý gücünü yükseltir.
zts270e	2. üçlü yükleme
zts271e	3. üçlü yükleme
zts272e	2. Zehirli gaz
zts273e	Herhangi bir yetenek uygulanamaz.
zts274e	Donmuþ kalkan
zts275e	Kendini koruma ve 'donmak' büyüsünü düþmanlarýn üzerinde kullan.
zts276e	Kutsal nefes
zts277e	Iþýk gücü içerisinde olmayan bütün düþmanlarýn gücünü azaltmak.
zts278e	Sýnýrlý bir süre için savunma güçlerini yükseltmek.
zts279e	Hasarý tamamen engeller.
zts280e	Airwaves
zts281e	Ruh taþý kutsamasý
zts282e	Bir uzman kartý taþýdýðýnda uzman kartýnýn tecrübe kazanýmý ekstradan %50 yükselir.
zts283e	Düþük seviyeler için uzmanlýk koruma parþömenini kullan.
zts284e	Oyuncu tarafýndan kullanýldýðýnda 0~9 seviyesindeki  uzmanlýk kartý geliþtirilebilir.
zts285e	Yüksek seviyeler için uzmanlýk koruma parþömenini kullan.
zts286e	Oyuncu tarafýndan kullanýldýðýnda 10~14 seviyesindeki  uzmanlýk kartý  geliþtirilebilir.
zts287e	Berserker
zts288e	Saldýrý ve yürüme hýzýný yükseltir , savunmayý azaltýr.
zts289e	Zýrh parçalamak
zts290e	Düþmanýn defansif  zýrhýna zarar vererek savunmasýný azaltýr.
zts291e	Kartalýn ruhu
zts292e	Ýçindeki kartalýn ruhunu uyandýrýr.
zts293e	Temel parlama
zts294e	Ormanýn ruhunun ýþýk direncini yükseltir
zts295e	Kurt ruhu
zts296e	Ýçindeki ay ýþýðý kurdunun ruhunu açýða çýkartýr.
zts297e	Elementlerin kayýbý
zts298e	Kötü etkilere ve ormanýn zarar görmesine yol açar.
zts299e	Ayý Ruhu
zts300e	Ýçindeki ayý ruhunu ortaya çýkartýr.
zts301e	Ruhani muhafýz
zts302e	Bir put silahþörün etrafýný onu bir süre korumak için sarmalar.
zts303e	Karanlýk güç
zts304e	Karanlýk element bir put tarafýndan yükseltildi.i
zts305e	Saplantý
zts306e	Düþmanýn ruhunu bir put kontrol ediyor.
zts307e	Kötülük Ýksiri
zts308e	Düþmanýnýn vücudunu yanlýþ bir tanrý, bir put ele geçiriyor.
zts309e	Rekiyem
zts310e	Putlarýn þarkýsý düþmaný korkudan titretiyor.
zts311e	Yaþam ve ölüm
zts312e	Belirli bir zamanda saldýrý ve savunma güçlerini %10 oranýna kadar yükseltir.
zts313e	Yeni yýlýn kutsamasý
zts314e	Savaþ ve meslekten kazanýlan tecrübeyi belirli bir süre için %10 yükseltir.
zts315e	Saðlýðýn, savaþýn maliyetini büyük oranda arttýrýyor
zts316e	Soðuk algýnlýðý
zts317e	Ciddi bir soðuk algýnlýðýna yakalandýn ve vücudun üzerindeki hakimiyetini yitirdin.
zts318e	Salgýn hastalýk
zts319e	Oldukça sersemlediðin için düþmanlarýnýn saldýrýlarýný savuþturamýyorsun.
zts320e	1 Yeni yýl hediyesi
zts321e	YP ve BP deðerlerin 1 saatliðine %10 yükseldi.
zts322e	Yeniden canlandýrma
zts323e	Yeniden canlandýrmanýn zayýflatýcý etkisi olmadan
zts324e	Beyaz günün kutsamasý
zts325e	PvP esnasýnda yenilmez
zts326e	Düþman tarafýndan saldýrýldýðýn sürede, 5 saniyeliðine YP deðeri azalmaz.
zts327e	Düþman yeteneklerini kutsal ýþýk sayesinde azaltýr.
zts328e	PvP de saldýrý gücünü yükseltir.
zts329e	Eðer oyuncu PvP de ise  saldýrý gücü bir saatliðine %50 yükselir.Sadece Glacernon için geçerli.
zts330e	PvP de savunmayý yükseltir
zts331e	Oyuncu PvP de ise savunmasý bir saatliðine %50 yükselir.Sadece Glacernon içinde.
zts332e	Pvp de dirençleri yükseltir
zts333e	Eðer oyuncu Pvp de ise bir saat boyunca dirençler %20 oranýnda yükselir.Sadece Glacernon için geçerli.
zts334e	Blok sonrasý saldýran donar
zts335e	Oyuncunun  svy./%d
zts336e	Oyuncunun Svy.*%d
zts337e	Seviye/%d
zts338e	Seviye*%d
zts339e	Doðanýn korunmasý
zts340e	Direnç özelliklerinin kuvvetlendirilmesi
zts341e	Direnç özelliklerinin yükseltilmesi
zts342e	Hafif zehirli diken
zts343e	Tehlikeli zehirli diken
zts344e	Ýnceltilmiþ ölüm zehiri
zts345e	Ciddi ölümcül zehir
zts346e	Hafif ölüm gazý
zts347e	Sinir gazý
zts348e	Güçlü sinir gazý
zts349e	Ölümcül sinir gazý
zts350e	Hafif soðuk
zts351e	Kötü soðuk
zts352e	Ölümcül soðuk
zts353e	Hafif yanma
zts354e	Þiddetli yanma
zts355e	Hafif baygýnlýk
zts356e	Ölümcül baygýnlýk
zts357e	Savunma silahýna zarar ver
zts358e	Savunma silahýnýn parçalanmasý
zts359e	Silahý güçsüzleþtir
zts360e	Silah bozmak
zts361e	Silah parçalamak
zts362e	Silah yoketmek
zts363e	Hareket etme hafif bir þekilde engellendi
zts364e	Hareket etmeyi engellemek
zts365e	Hareket etmeyi ciddi þekilde engellemek
zts366e	Hareket etmeyi aþýrý þekilde engellemek
zts367e	Hafif umutsuzluk
zts368e	Ciddi umutsuzluk
zts369e	Ölümcül umutsuzluk
zts370e	Hafif korku
zts371e	Ciddi korku
zts372e	Ölümcül korku
zts373e	Hafif dehþet
zts374e	Dehþet
zts375e	Ciddi dehþet
zts376e	Ölümcül dehþet
zts377e	Hafif yetersizlik
zts378e	Güçlü yetersizlik
zts379e	Ciddi yetersizlik
zts380e	Dirençlerin hafif þekilde zayýflatýlmasý
zts381e	Direnç zayýflatma
zts382e	Dirençlerin güçlü þekilde zayýflatýlmasý
zts383e	Ciddi þekilde dirençlerin zayýflatýlmasý
zts384e	Saldýrý özelliklerinin hafif þekilde zayýflatýlmasý
zts385e	Saldýrý özelliklerinin zayýflatýlmasý
zts386e	Saldýrý özelliklerinin güçlü þekilde zayýflatýlmasý
zts387e	Saldýrý özelliklerinin ciddi þekilde zayýflatýlmasý
zts388e	Hafif Don
zts389e	Tehlikeli Don
zts390e	Ciddi korku
zts391e	Hafif taþlaþtýrma
zts392e	Güçlü taþlaþtýrma
zts393e	Ciddi taþlaþtýrma
zts394e	Sertlik
zts395e	Vücudumu kontrol edemiyorum
zts396e	Büyülü bariyer
zts397e	Hafif baþ döndürücü zehir
zts398e	Kuvvetli baþ döndürücü zehir
zts399e	Öldürücü baþ döndüren zehir
zts400e	Kutsal ýþýk ile olan saldýrýlarda  ýþýk direnci azalýr.
zts401e	Saldýrýlamaz
zts402e	Siyah çukulata çubuðu
zts403e	Saldýrý gücü 30 dakikalýðýna %10 yükseldi.
zts404e	Beyaz çukulata çubuðu
zts405e	Savunma gücü 30 dakikalýðýna %10 yükseldi.
zts406e	Yýldýz
zts407e	50 dakikalýðýna alýnan tecrübe puaný oraný %10 yükseldi.
zts408e	Kuvvetli saldýrý özelliðinin zayýflamasý
zts409e	Ciddi saldýrý özelliðinin zayýflamasý
zts410e	Boða Çalýkuyruk Öfkesi
zts411e	Boða Tori öfkelendi ve saldýrý gücü arttý.
zts412e	Savunma Arttýrma
zts413e	Bir süreliðine savunma gücünü arttýrýr.
zts414e	Kritik isabet þansýný yükseltir.
zts415e	Belirli bir süre boyunca Kritik isabet þansýný yükseltir.
zts416e	Büyü saldýrýsýný Maksimum'a çýkartýr.
zts417e	Büyü saldýrýný belirli bir süre boyunca Maksimum'a çýkartýr.
zts418e	Elektrikli Gölgeler
zts419e	Savunma gücünü arttýrýr.
zts420e	Yakýn mesafe dövüþ savunmaný arttýrýr.
zts421e	Kritik vuruþun verdiði hasarý belirli bir süre boyunca arttýrýr.
zts422e	Premium Madalya (10 gün)
zts423e	Süre boyunca etkilerinden faydalanabilirsin.
zts424e	Premium Madalya (30 gün)
zts425e	Premium Madalya (1 gün)
zts426e	Kaybeden'in nefesi
zts427e	Saldýrý/Savunma Lv.'li 0 olur.
zts428e	Saldýrý/Savunma Lv.'li 0 olur ve hareket hýzý 2 azalýr.
zts429e	Saldýrý/savunma seviyesi 0 olur ve isabet oraný 20 düþer.
zts430e	Buz zinciri
zts431e	Hareket hýzý 3 azalýr.
zts432e	Mana Taþýnmasý
zts433e	Mana'ný kullanarak Defans gücünü arttýrýp, Aldýðýn hasarý %30 azaltabilirsin.
zts434e	Kutsama süresi boyunca 10 dakikalýðýna elde ettiðin dövüþ ve meslek seviyesi tecrübe puanlarýn %30 artar.
zts437e	Arkadaþýnla beraberken iki katý exp. kazanýmý. Eðer arkadaþýn oyundan çýkarsa, bu kutsama etkisini kaybeder.
zts439e	Kelvinas'ýn Laneti
zts440e	Kelvinas'ýn Laneti. Hareket hýzýn azalýr.
zts441e	Mana Çekiþi
zts442e	Düþmanýnýn Mana'sýný çal.
zts443e	Kritik Kör Noktasý
zts444e	Zayýf noktan düþmana maruz kalýr.
zts445e	Elektrik þokuna maruz kaldýðýn için hareket edemezsin.
zts446e	Yaþam enerjinden ödün vererek Saldýrý gücün yükselir.
zts447e	Komutanýn Laneti
zts448e	Komutanýn Laneti. 60 saniye boyunca Saldýrý ve Savunma gücün azalýr.
zts449e	Patlama Þoku
zts450e	Hareket hýzý azalýr ve Saldýrýlarý savuþturma imkansýzlaþýr.
zts451e	Seçkin Komutanýn Laneti
zts452e	Seçkin Komutanýn Laneti. 120 saniye boyunca Saldýrý ve Savunma oranlarýn azalýr.
zts453e	Kazandýðýn tecrübe puanlarý %100 oranýnda artar. Ancelloan'ýn kutsamasý bu süre zarfýnda kullanýlabilir.
zts454e	Kazandýðýn tecrübe puanlarý %50 oranýnda artar. Ancelloan'ýn kutsamasý bu süre zarfýnda kullanýlabilir.
zts455e	Kazandýðýn tecrübe puanlarý %20 oranýnda artar. Ancelloan'ýn kutsamasý bu süre boyunca kullanýlabilir.
zts456e	Komutanýn Hiddeti
zts457e	Komutan kýzgýn.
zts458e	Koruma Kutsamasý
zts459e	Koruma Kutsamasý Komutanýn savunma gücünü arttýrýr.
zts460e	Büyük Komutanýn Laneti. 90 saniye boyunca Saldýrý ve Defans gücün azalýr.
zts462e	YP/BP'yi 3.200 saniye boyunca %10 yükseltir.
zts464e	Küçük Sevgililer Günü Tebrikleri
zts465e	Saldýrý ve Defans gücün %5 artar.
zts466e	Sevgililer Günü Tebrikleri
zts467e	Büyük Sevgililer Günü Tebrikleri
zts468e	Saldýrý ve Defans gücün %20 artar
zts469e	Küçük Beyaz Gün Tebrikleri
zts470e	Büyük Beyaz Gün Tebrikleri
zts475e	Düðün
zts476e	Alýnan tecrübe puanlarý %5 yükselir.
zts477e	Fantom Kutsamasý
zts478e	Saldýrý Gücü yükseldi. Bütün Saldýrý Güçleri +%100
zts479e	Fantom Bedduasý
zts480e	Saldýrý gücünü düþürür. Tüm saldýrýlar -%100
zts481e	Bekçi Köpeði Hýrlamasý
zts482e	Bekçi Köpeði Havlamasý
zts483e	Fantom Öfkesi
zts484e	Balkabaðý Bedduasý
zts485e	Karanlýktan gelen saldýrýlarýn artmasý, saldýrýya geçmeni kýsa bir süre için engelliyor.
zts486e	Refakatçý Ekibinin Bedduasý
zts487e	Refakatçi Ekibin bedduasý yüzünden YP kaybediyorsun.
zts495e	Savunma gücü ve hedef isabeti yükselir. Sana verilen hasarýn %30'u YP'n yerine BP'nden kesilir.
zts496e	Mucizevi Þifa
zts497e	Savunmayý yükseltmek için bedeni çelikleþtirir.
zts501e	Devasa Yeni Yýl Kutsamasý
zts502e	Mutlu Yýllar
zts503e	Bu yýl çok þanslý olacaksýn.
zts506e	Þaþkýn
zts507e	NosMate'in þok geçirdiði için 30 dakika boyunca þaþkýna dönmüþ olacak.
zts508e	Oldukça Þaþkýn
zts509e	NosMate'in þok geçirdiði için 50 dakika boyunca þaþkýna dönmüþ olacak.
zts512e	Speed Booster
zts513e	Hýzýn, kýsa süreliðine en yüksek düzeye çýkarýlacak.
zts514e	Gökkuþaðý savaþýný kazanýrsan Glacernon'da ihtiyaç duyacaðýn bu gücü elde edeceksin.
zts515e	Kurþun yarasý
zts516e	Kurþunla aðýr yaralandýn.
zts517e	Rom fýçýsýna saklan
zts518e	Düþman saldýrýsýna karþý koruma arýyorsun.
zts519e	Yanan Kýlýç'ýn Sýcaklýðý
zts520e	Sýcaklýk, yaþam enerjinin aralýksýz olarak azalmasýna neden olur.
zts521e	Buzçiçeði Yaðý
zts522e	Donuk buzçiçeði yaðý sayesinde aþýrý sýcaklýða dayanýlýr.
zts523e	Kertosun Kutsamasý
zts524e	Kertosun kutsamasý sayesinde saldýrý gücün artar.
zts525e	Yanýk
zts526e	Yakýn saldýrýdan hasar alman seni büyük tehlikeye sokar.
zts527e	Örümcek Aðý
zts528e	Örümcek aðýna takýlýp düþmanýnýn eline düþersin.
zts529e	Görme yetisinin yaralanmasý
zts530e	Iþýma nedeniyle geçici bir görme kaybý.
zts531e	Kor sýcaklýk kalkaný
zts532e	Kor sýcaklýk kalkaný seni daha dirençli yapar.
zts533e	Lav patlamasý
zts534e	Lav ateþinin sýcaklýðý rakibe büyük hasar verir.
zts535e	Büyük lav patlamasý
zts536e	Lav ateþinin sýcaklýðý rakibe büyük hasar verir.
zts537e	Alev Zehri
zts538e	Alev zehriyle zehirlendiðin için gitgide YP kaybedersin.
zts539e	Feniksin ateþli nefesi
zts540e	Feniksin ateþli nefesi mücadele ruhunu kaybetmene neden olur.
zts541e	Daðlayan damga
zts542e	Daðlayan damga, hareket etmeni ve birine saldýrmaný engeller.
zts543e	Kýrmýzý alevin laneti
zts544e	Kýrmýzý alevin laneti, alev aurasýna karþý olan direncini azaltýr. Kritik darbe alma olasýlýðýný artýrýr.
zts546e	Patlama sonrasý sarsýntýsý nedeniyle bilinç kararmasý yaþa.
zts547e	Hassas bölgede yaralanma
zts548e	Hayati tehlike arz eden hassas bölgede yaralandý
zts549e	Öfkeli Rudolf Çalýkuyruk
zts550e	Rudolf Çalýkuyruk sinirlendi ve saldýrý gücü arttý.
zts551e	Centurio'nun Savaþ Çýðlýðý
zts552e	Centurio'nun Savaþ Çýðlýðý sayesinde rakib her daim kritik isabet alýr.
zts553e	Bað
zts554e	Þiddetli Sarsýntý
zts555e	Keskin asit yardýmýyla zýrh ve silahlara zarar verir.
zts556e	Baðlýyken hareket edemezsin.
zts557e	Artýrýlmýþ tecrübe kazanýmý
zts558e	Bir saatliðine tecrübe kazanýmýný (aile üyeleri için %20, diðer oyuncular için %10) artýrýr.
zts559e	Artýrýlmýþ altýn kazanýmý
zts560e	Bir saatliðine altýn kazanýmýný (aile üyeleri için %20, diðer oyuncular için %10) artýrýr.
zts561e	"Büyük Dayanýklýlýk" Etkisi
zts562e	Bir saatliðine "Büyük Dayanýklýlýk" etkisi verir. Normal bir durumdaymýþsýn gibi bu süre boyunca nesne ve tecrübe alabilirsin.
zts565e	Karþý saldýrý þansý
zts566e	Bir kerelik, ölümcül bir karþý saldýrý olanaðý.
zts567e	Yere serilme
