zts1e	Ataques especiales
zts56e	Modifica la probabilidad de ataques fatales del oponente
zts57e	Modifica daños mediante ataques fatales del oponente
zts58e	La probabilidad de impacto crítico aumenta en un %s %%.
zts59e	La probabilidad de ocasionar un acierto mortal ha disminuido un %s%%
zts60e	El daño critico ha aumentado en %s%%
zts61e	Al hacer un impacto crítico, el daño disminuye en un %s %%.
zts62e	El daño aumenta en %s%% con una probabilidad del %s%%
zts63e	Los daños disminuyen en %s%% con una probabilidad del %s%%.
zts64e	La probabilidad de recibir un ataque fatal ha aumentado un %s%%
zts65e	La probabilidad de recibir un ataque fatal ha disminuido un %s%%
zts66e	Los daños críticos han aumentado un %s%%
zts67e	Los daños críticos han disminuido un %s%%
zts68e	Ataque fatal especial
zts69e	Haz un ataque incondicionalmente fatal
zts70e	No puede hacer un ataque incondicionalmente fatal
zts71e	Obtener siempre un ataque fatal
zts72e	Obtener a veces un ataque fatal
zts73e	Probabilidad regular de un ataque fatal
zts74e	Hacer siempre una ataque fatal
zts75e	No hacer nunca un ataque fatal
zts76e	Recibir siempre un ataque fatal
zts77e	No recibir nunca un ataque fatal
zts78e	Ocasiona aciertos críticos en una probabilidad del %s%%
zts79e	Recibir siempre un ataque fatal con una probabilidad del %s%%
zts80e	Modificar elemento
zts81e	Modificar Energía del Fuego
zts82e	Modificar Energía del Agua
zts83e	Modificar Energía de la Luz
zts84e	Modificar Energía de las Tinieblas
zts85e	Modificar todos los elementos emergentes
zts86e	La Energía de Fuego ha aumentado %s
zts87e	La Energía de Fuego ha disminuido %s
zts88e	La Energía de Agua ha aumentado en %s.
zts89e	La Energía de Agua ha disminuido en %s.
zts90e	La energía de la luz ha aumentado en un %s.
zts91e	La Energía de la Luz ha disminuido %s
zts92e	La Energía de las Tinieblas ha aumentado %s
zts93e	La Energía de las Tinieblas ha disminuido %s
zts94e	Todos los elementos aumentan en %s
zts95e	Todos los elementos han disminuido %s
zts96e	Aumenta los daños
zts97e	Aumenta la probablidad
zts98e	Tiene una probabilidad del %s %% de aumentar el poder de ataque en un %s %%.
zts99e	Tiene una probabilidad del %s%% de reducir el daño en un %s%%.
zts100e	Aumento de %s en la Fuerza del Fuego
zts101e	Disminución de %s en la Fuerza del Fuego
zts102e	Aumento de %s en la Fuerza del Aqua
zts103e	La fuerza del elemento agua se reduce en %s.
zts104e	Aumento de %s en la Fuerza de la Luz
zts105e	Disminución de %s en la Fuerza de la Luz
zts106e	Aumento de %s en la Fuerza de la Sombra
zts107e	Disminución de %s en la Fuerza de la Sombra
zts108e	Cambia la fuerza de defensa
zts109e	Modifica todos los poderes de ataque
zts110e	Modifica la defensa en cortas distancias
zts111e	Modifica la defensa en largas distancias
zts112e	Modifica la defensa mágica.
zts113e	Modifica el nivel de defensa
zts114e	Aumento de la Defensa en %s
zts115e	Disminución de la Defensa en %s
zts116e	El nivel de defensa en cortas distancias ha aumentado %s
zts117e	El nivel de defensa en cortas distancias ha disminuido en %s
zts118e	El nivel de defensa en largas distancias ha aumentado %s
zts119e	El nivel de defensa en largas distancias ha disminuido %s
zts120e	El nivel de defensa mágica aumenta %s
zts121e	El nivel de defensa mágica disminuye %s
zts122e	El nivel de defensa aumenta %s
zts123e	El nivel de defensa disminuye %s
zts124e	Capacidad de esquivar y  % poder de defensa modificados
zts125e	Modifica todas las capacidades de esquivar
zts126e	Modifica la capacidad de esquivar en cortas distancias
zts127e	Modifica la capacidad de esquivar en largas distancias
zts128e	Modifica % de la fuerza de defensa
zts129e	La capacidad de esquivar ha aumentado %s
zts130e	La capacidad de esquivar ha disminuido %s
zts131e	La capacidad de esquivar ataques de corta distancia ha aumentado %s
zts132e	La capacidad de esquivar ataques de corta distancia ha disminuido %s
zts133e	La capacidad de esquivar ataques de larga distancia ha aumentado %s
zts134e	La capacidad de esquivar ataques de larga distancia ha disminuido %s
zts135e	El nivel de defensa ha aumentado %s%%
zts136e	El nivel de defensa ha disminuido %s%%
zts137e	Modificar bloque
zts138e	Modificar todos los bloques
zts139e	Modificar Bloque Cercano
zts140e	Modificar bloque lejano
zts141e	Modificar bloques mágicos
zts142e	Tiene una probabilidad del %s %% de aumentar el daño de todos los ataques en un %s %%.
zts143e	Tiene una probabilidad del %s %% de reducir el daño de todos los ataques en un %s %%.
zts144e	Los daños ocasionados por todos los ataques de corta distancia han aumentado %s%% en una probabilidad del %s%%
zts145e	Los daños ocasionados por un ataque de corta distancia disminuye en %s%% con una probabilidad del %s%%.
zts146e	Los daños ocasionados por todos los ataques de larga distancia han aumentado %s%% en una probabilidad del %s%%
zts147e	Los daños ocasionados por un ataque de larga distancia disminuye en %s%% con una probabilidad del %s%%.
zts148e	Los daños ocasionados por un ataque mágico aumentan %s%% en una probabilidad del %s%%
zts149e	Los daños ocasionados por un ataque mágico disminuyen en un %s%% con una probabilidad del %s%%
zts150e	Absorción modificada
zts151e	Todas las absorciones modificadas
zts152e	Absorción a corta distancia modificada
zts153e	Absorción a larga distancia modificada
zts154e	Absorción mágica modificada
zts155e	Los daños ocasionados por todos los ataques de los niveles inferiores a (+%s) aumentan un %s%%
zts156e	Los daños ocasionados por todos los ataques de los niveles inferiores a (+%s) disminuyen un %s%%
zts157e	Los daños ocasionados por todos los ataques de corta distancia de los niveles inferiores a (+%s) aumentan un %s%%
zts158e	Los daños ocasionados por todos los ataques de corta distancia de los niveles inferiores a (+%s) disminuyen un %s%%
zts159e	Los daños ocasionados por todos los ataques de larga distancia de los niveles inferiores a (+%s) aumentan un %s%%
zts160e	Los daños ocasionados por todos los ataques de los niveles inferiores a (+%s) disminuyen un %s%%
zts161e	Los daños ocasionados por un ataque mágico de los niveles inferiores a (+%s) aumentan un %s%%
zts162e	Los daños ocasionados por un ataque mágico de los niveles inferiores a (+%s) disminuyen un %s%%
zts163e	Resistencia del elemento modificada
zts164e	Modificar todas las resistencias
zts165e	Modificar la resistencia al fuego
zts166e	Modificar la resistencia al agua
zts167e	Modificar la resistencia a la luz
zts168e	Modificar la resistencia a las tinieblas
zts169e	El nivel de defensa contra todos los elementos aumenta un %s
zts170e	La resistencia contra todos los elementos se reduce en %s.
zts171e	La resistencia al fuego aumenta un %s
zts172e	La resistencia al fuego disminuye un %s
zts173e	La resistencia al agua aumenta un %s
zts174e	La resistencia al agua disminuye un %s
zts175e	La resistencia a la luz aumenta un %s
zts176e	La resistencia a la luz disminuye un %s
zts177e	La resistencia a las tinieblas aumenta un %s
zts178e	La resistencia a las tinieblas disminuye un %s
zts179e	Modifica la resistencia de tu oponente
zts180e	Modifica todas las resistencias de tu oponente
zts181e	Modifica las resistencias al fuego de tu oponente
zts182e	Modifica las resistencias al agua de tu oponente
zts183e	Modifica las resistencias a la luz de tu oponente
zts184e	Modifica las resistencias a las tinieblas de tu oponente
zts185e	Aumenta la resistencia de cada uno de los elementos de tu oponente en un %s
zts186e	Disminuye la resistencia de cada uno de los elementos de tu oponente en un %s
zts187e	Aumenta la resistencia al fuego de tu oponente en un %s
zts188e	Disminuye la resistencia al fuego de tu oponente en un %s
zts189e	Aumenta la resistencia al agua de tu oponente en un %s
zts190e	Disminuye la resistencia al fuego de tu oponente en un %s
zts191e	Aumenta la resistencia a la luz de tu oponente en un %s
zts192e	Disminuye la resistencia al fuego de tu oponente en un %s
zts193e	Aumenta la resistencia a las tinieblas de tu oponente en un %s
zts194e	Disminuye la resistencia al fuego de tu oponente en un %s
zts195e	Modificar daños
zts196e	Modificar todos los daños
zts197e	Modificar todos los daños a corta distancia
zts198e	Modificar todos los daños a larga distancia
zts199e	Modificar los daños mágicos
zts200e	El daño recibido de todos los ataques se incrementa en un %s %%.
zts201e	El daño recibido disminuye en un %s %%.
zts202e	Los daños ocasionados por los ataques a corta distancia aumentan un %s%%
zts203e	Los daños ocasionados por los ataques a corta distancia disminuyen un %s%%
zts204e	Los daños ocasionados por los ataques a larga distancia aumentan un %s%%
zts205e	Los daños ocasionados por los ataques a larga distancia disminuyen un %s%%
zts206e	Los daños ocasionados por los ataques mágicos aumentan un %s%%
zts207e	Los daños ocasionados por los ataques mágicos disminuyen un %s%%
zts208e	Esquivar Foco Incondicional y Distancia Remota
zts209e	Modificar el foco %
zts210e	Otras capacidades de esquivar incondicionalmente %
zts211e	No hay penalización por largas distancias
zts212e	En cuanto más larga sea la distancia, mayores serán los daños ocasionados
zts213e	Índice de acierto de %s%%
zts214e	Evitar siempre el objetivo con una probabilidad del %s%%
zts215e	En una Batalla de Distancia Remota, no hay penalización por un ataque de corta distancia
zts216e	El poder de ataque a distancia aumenta de manera ininterrumpida cuando la distancia al enemigo se incrementa.
zts217e	Modifica el nivel de moral
zts218e	Modifica el nivel de moral
zts219e	Duplica el nivel de moral
zts220e	No surte efecto en el nivel de moral
zts221e	Tiempo Frío, modificar
zts222e	Ignora el nivel de moral
zts223e	El nivel de moral ha aumentado un %s
zts224e	El nivel de moral ha disminuido un %s
zts225e	El nivel de moral se ha duplicado
zts226e	El nivel de moral se ha reducido a la mitad
zts227e	No surte efecto en el nivel de moral
zts228e	El tiempo de desactivación ha aumentado %s%%
zts229e	Reduce el tiempo de espera de habilidades empleadas en un %s%%.
zts230e	Durante el ataque, ignorar el nivel de moral del oponente
zts231e	Surtir Efecto
zts232e	Los cambios de tiempo surten efecto
zts233e	Modifica el gasto de maná
zts234e	Modifica la velocidad de mana
zts235e	Operación errónea
zts236e	Operación interrumpida
zts237e	El tiempo de efecto ha aumentado hasta %s%% (incluyendo la magia)
zts238e	El tiempo de efecto disminuye un %s%%
zts239e	Los costes mana aumentan un %s%%
zts240e	Los costes de maná han disminuido en un %s%%
zts241e	El tiempo de ataque ha aumentado %s%%
zts242e	La velocidad de ataque ha disminuido un %s%%
zts243e	Error durante el efecto de la técnica (incluyendo la magia)
zts244e	Efecto interrumpido
zts245e	Mover
zts246e	Movimiento interrumpido
zts247e	Modifica la velocidad del movimiento
zts248e	Modifica el nivel de velocidad de movimiento
zts249e	Aumenta/Disminuye la velocidad de movimiento
zts250e	No es posible mover
zts251e	El tiempo de ataque aumenta un %s%%
zts252e	El tiempo de ataque disminuye un %s%%
zts253e	La velocidad de movimiento es %s
zts254e	El tiempo de ataque aumenta un %s
zts255e	El tiempo de ataque disminuye un %s
zts256e	Reflejo
zts257e	Modifica el nivel de HP y los daños ocasionados en %as
zts258e	Modifica el nivel de MP y daños ocasionados en %as
zts259e	Modifica el nivel de HP y de daños recibidos en %as
zts260e	Modifica el nivel de MP y los daños recibidos en %as
zts261e	El nivel de HP aumenta un %s%% de los daños ocasionados
zts262e	El nivel de HP disminuye un %s%% de los daños ocasionados
zts263e	El nivel de HP aumenta un %s%% de los daños ocasionados
zts264e	El nivel de MP disminuye un %s%% de los daños ocasionados
zts265e	El nivel de HP del oponente aumenta un %s%% de mis daños recibidos
zts266e	El nivel de HP del oponente disminuye un %s%% de mis daños recibidos
zts267e	El nivel de MP del oponente aumenta un %s%% de mis daños recibidos
zts268e	El nivel de MP del oponente disminuye un %s%% de mis daños recibidos
zts269e	Extraer
zts270e	Convierte MP en HP
zts271e	Convierte HP en MP
zts272e	Roba HP
zts273e	Roba MP
zts274e	Roba HP y desvía MP
zts275e	Recibe %s HP por la utilización de %s MP
zts276e	Cambia %s HP por %s MP
zts277e	Proporciona HP de %s al oponente en una tasa del %s%%
zts278e	Hay una probabilidad de un %s%% de quitarle al oponente %s HP y añadirlos a los tuyos.
zts279e	Proporciona MP de %s al oponente en una tasa del %s%%
zts280e	Hay una probabilidad de un %s%% de quitarle al oponente %s Mana y añadirlos a los tuyos.
zts281e	Convierte los MP del oponente %s en HP
zts282e	Convierte los HP del oponente en %s MP propios
zts283e	Curar/Quemar y Surtir Efecto
zts284e	Cura HP/Quema
zts285e	Cura MP/Quema
zts286e	Modifica el efecto de los HP
zts287e	Modifica los HP en caso de una interrupción del foco
zts288e	Convierte todos los HP que se necesitan para conseguir un efecto en MP
zts289e	Restaura el nivel de %s HP.
zts290e	El nivel de HP disminuye %s
zts291e	Restaura el nivel de MP #13#10 %s
zts292e	Los MP disminuyen en un %s.
zts293e	El nivel de HP se restaura en %s después de conseguir un efecto
zts294e	El nivel de HP disminuye en un %s durante el efecto
zts295e	Se restaurarán %s HP en caso de una interrupción del efecto mágico
zts296e	Se perderán %s HP en caso de una interrupción del efecto mágico
zts297e	Se restaurarán %s%% HP por la utilización de MP.
zts298e	El nivel de HP disminuye en un %s%% de los MP consumidos.
zts299e	Modifica HP/MP
zts300e	Modifica los HP restantes
zts301e	Modifica los MP restantes
zts302e	Modifica el tiempo de HP
zts303e	Modifica el tiempo de MP
zts304e	Añadir más HP/MP
zts305e	Restaura %s%% HP perdidos
zts306e	Tira %s%% MP restantes
zts307e	Restaura %s%% MP perdidos
zts308e	Tira %s%% MP restantes
zts309e	Se restaurarán %s HP
zts310e	Se tirarán %s HP
zts311e	%s MP se perderán
zts312e	pierdes %s MP
zts313e	Se añadirán más HP de %s (no se puede exceder del máximo de %s%% HP)
zts314e	Se añadirán más MP de %s (no se puede exceder del máximo de %s%% MP)
zts315e	Procedimientos especiales
zts316e	Daños especiales
zts317e	Probabilidad de un ataque especialmente fatal
zts318e	Aumenta los daños de %s en %s
zts319e	Los daños disminuyen en %s por %S de ataque
zts320e	La probabilidad de un acierto mortal causado por un ataque %s ha aumentado en %s
zts321e	La probabilidad de un acierto mortal causado por un ataque %s ha disminuido en %s
zts322e	Hechizo Fortalecedor
zts323e	Aplicar/Cancelar un Hechizo Fortalecedor
zts324e	Inmunidad en determinados Grupos del Hechizo Fortalecedor
zts325e	Transferencia del Hechizo Fortalecedor para aumentar determinados niveles
zts326e	Inmunidad especial
zts327e	Disolver un grupo
zts328e	Hay una probabilidad de un %s %% de provocar [%s].
zts329e	[%s] será eliminado con una probabilidad del %s%%
zts330e	No hay grandes probabilidades en un efecto especial
zts331e	Añadir a [%s] los objetos cercanos en los niveles inferiores a %s
zts332e	Añadir a [%s] los objetos cercanos superiores al nivel %s
zts333e	Genera fuerza de resistencia contra un efecto determinado
zts334e	Curar determinados efectos
zts335e	Cancela los efectos tóxicos para un determinado objetivo o grupo
zts336e	Invoca
zts337e	Invocaciones a la muerte
zts338e	Invocaciones a los monstruos
zts339e	Invocaciones de señuelos
zts340e	Conjuro temporal
zts341e	Invocaciones a fantasmas
zts342e	[%s] conjuro de %s monstruos hasta la muerte
zts343e	[%s] conjuro con una probabilidad de %s%% hasta la muerte
zts344e	Invoca %s veces: %s.
zts345e	[%s] será invocado con una probabilidad de %s%%
zts346e	Invoca [%s] de %s monstruos (grupo de entrenamiento)
zts347e	[%s] será invocado con una probabilidad de %s%% (grupo de entrenamiento)
zts348e	Invoca [%s] de %s monstruos (desaparecen al cabo de un tiempo)
zts349e	Invoca [%s] con una probabilidad del %s%% (desaparece al cabo de un tiempo)
zts350e	Invoca un fantasma con %s MP de %s monstruos
zts351e	Invoca un fantasma con %s MP con una probabilidad del %s%%
zts352e	Efectos especiales
zts353e	Grito
zts354e	Modificación del ataque no preferido
zts355e	Vestigios
zts356e	Modo PvP
zts357e	Abandonar ilusión
zts358e	Disminuye el nivel de HP del oponente que te ha matado en %s%%
zts359e	Aumenta el nivel de HP del oponente que te ha matado en %s%%
zts360e	Modifica el ataque favorito con una probabilidad de %s%%
zts361e	Modifica el ataque no favorito con una probabilidad del %s%%
zts362e	se hablan galimatías.
zts363e	Posibilidad de luchar contra otra gente en el modo PvP
zts364e	Aparece un espejismo.
zts365e	Capturar acompañante
zts366e	Domesticar mascotas
zts367e	Captura los monstruos de un nivel inferior para convertirlos en tu mascota
zts368e	Atributo especial: Daños y Explosiones
zts369e	Explosión en llamas
zts370e	Explosión en los alrededores
zts371e	Ataque en los alrededores
zts372e	Causará una explosión con una probabilidad de %s%% que ocasionará %s daños.
zts373e	La explosión se produce y ocasiona %s daños en los alrededores, afectando a %s campos.
zts374e	Provoca daños con una probabilidad de %s%% a %s bloques del alrededor.
zts375e	Efectos especiales 2
zts376e	Burla
zts377e	Teletransportarse
zts378e	Hechizo fortalecedor como arma principal
zts379e	Hechizo fortalecedor como arma secundaria
zts380e	Error en acompañante
zts381e	El oponente se ha fijado en ti
zts382e	Haz que el oponente no se fije más en ti
zts383e	Teletranspórtate a una distancia de %s campos
zts384e	Genera [%s] con una probabilidad del %s%% mediante la utilización de un arma principal
zts385e	Genera [%s] con una probabilidad del %s%% mediante la utilización de un arma secundaria
zts386e	Algunos grupos de monstruos te confunden con un amigo
zts387e	Calcular nivel
zts388e	Nivel de Ataque 0
zts389e	Nivel de Defensa 0
zts390e	Nivel de ataque calculado 0
zts391e	Nivel de defensa calculado 0
zts392e	Recuperación
zts393e	Modifica la capacidad de recuperación de HP
zts394e	Modifica la capacidad de recuperación de MP
zts395e	La capacidad de recuperación de HP ha aumentado %s
zts396e	La capacidad de recuperación de HP ha disminuido %s
zts397e	La capacidad de recuperación de MP ha aumentado %s
zts398e	La capacidad de recuperación de MP ha disminuido %s
zts399e	Nivel máximo de HP/MP
zts400e	Modifica el nivel máximo de HP
zts401e	Modifica el nivel máximo de MP
zts402e	El nivel máximo de HP ha aumentado %s
zts403e	El nivel máximo de HP ha disminuido %s
zts404e	El nivel máximo de MP ha aumentado %s
zts405e	El nivel máximo de MP ha disminuido %s
zts406e	Multiplica la fuerza de ataque
zts407e	Multiplica todos los ataques
zts408e	Multiplica los ataques de corta distancia
zts409e	Multiplica los ataques de larga distancia
zts410e	Multiplica los ataques mágicos
zts411e	El poder de ataque se multiplica por %s.
zts412e	El poder de ataque disminuye %s veces.
zts413e	La fuerza de ataque de corta distancia aumentará %s
zts414e	La fuerza de ataque de corta distancia disminuirá %s
zts415e	La fuerza de ataque de larga distancia aumentará %s
zts416e	La fuerza de ataque de larga distancia disminuirá %s
zts417e	La fuerza de ataque mágico aumentará %s
zts418e	La fuerza de ataque mágico disminuirá %s
zts419e	Multiplica la fuerza de defensa
zts420e	Multiplica todas las defensas
zts421e	Multiplica la defensa de corta distancia
zts422e	Multiplica la defensa de larga distancia
zts423e	Multiplica la defensa mágica
zts424e	Todas las defensas se multiplican por %s.
zts425e	Todas las defensas disminuyen %s veces.
zts426e	La defensa cuerpo a cuerpo se multiplica por %s.
zts427e	La defensa cuerpo a cuerpo disminuye %s veces.
zts428e	La defensa a distancia se multiplica por %s.
zts429e	La defensa a distancia disminuye %s veces.
zts430e	La defensa mágica se multiplica por %s.
zts431e	La defensa mágica disminuye %s veces.
zts432e	Técnicas de la espiral del tiempo
zts433e	Reunir energía
zts434e	Asegurar nivel de HP
zts435e	Asegurar nivel de MP
zts436e	Cancelar todos los hechizos fortalecedores
zts437e	El ítem no se puede utilizar
zts438e	Reúne %s energía para el siguiente ataque
zts439e	No se consumen HP
zts440e	No se recuperan HP
zts441e	No se consumen MP
zts442e	No se recuperan MP
zts443e	Cancelar todos los hechizos fortalecedores
zts444e	No se puede utilizar el ítem
zts446e	Recupera % HP
zts447e	Recupera % MP
zts448e	se recupera un %s %% de HP.
zts449e	El nivel de HP ha descendido a %s%%
zts450e	Se han recuperado %s%% MP
zts451e	El nivel de MP ha descendido un %s%%
zts452e	Contar
zts453e	Invoca a los monstruos después de contar
zts454e	[%s] invoca %s monstruos cuando el nivel de MP llega a 0
zts455e	Cuando el nivel de MP llegue a 0, [%s] será invocado con una probabilidad del %s%%
zts456e	No se han causado muertos ni daños
zts457e	No hay muertes ni muertos
zts458e	No recibas ningún daño y no provoques ningún daño
zts459e	Poder de observación
zts460e	Disminuye el nivel de HP pero no muere
zts461e	Disminuye el nivel de HP pero no mata
zts462e	No recibe nunca daños
zts463e	No causa nunca daños
zts464e	Conversión del ataque del oponente en fuerza propia
zts465e	Acciones especiales
zts466e	Empujar
zts467e	Estirar
zts468e	Salir corriendo
zts469e	Escaparse
zts470e	Esconder
zts471e	Haz clic sobre %s bloques del oponente
zts472e	Los oponentes que se encuentren a una distancia de %s campos se fijarán en ti
zts473e	Sal corriendo hacia el oponente a %s bloques de ti
zts474e	Escapa del oponente
zts475e	Entrar a hurtadillas
zts476e	Ver lo escondido
zts477e	Modifica el modo
zts478e	Modifica la distancia de disparo
zts479e	Efecto único
zts480e	Modifica el tiempo de ataque
zts481e	Modifica el modo
zts482e	Salta encima de otros monstruos
zts483e	Distancia de disparo modificada a %s
zts484e	Distancia de disparo normal
zts485e	Aplica el efecto pero no causa ningún daño
zts486e	Causa daños directos
zts487e	El tiempo de ataque ha aumentado un %s
zts488e	El tiempo de ataque ha disminuido un %s
zts489e	El modo cambia con una probabilidad del %s%%
zts490e	[%s] aparecerá con una probabilidad del %s%%
zts491e	No hay ningún valor característico
zts492e	No hay ningún valor característico
zts493e	No hay ningún valor característico de fuego
zts494e	No hay ningún valor característico de agua
zts495e	No hay ningún valor característico de luz
zts496e	No hay ningún valor característico de tinieblas
zts497e	No se pueden utilizar todas las fuerzas características
zts498e	No se pueden utilizar todas las resistencias características
zts499e	No se puede utilizar la fuerza de fuego
zts500e	No se puede utilizar la resistencia al fuego
zts501e	No se puede utilizar la fuerza del agua
zts502e	No se puede utilizar la resistencia al agua
zts503e	No se puede utilizar la fuerza de la luz
zts504e	No se puede utilizar la resistencia a la luz
zts505e	No se puede utilizar la fuerza de las tinieblas
zts506e	No se puede utilizar la resistencia a las tinieblas
zts507e	Luz y tinieblas
zts508e	Escudo Mana
zts509e	Cura
zts510e	Volverse vivo
zts511e	Esconder y atacar
zts512e	Trata el %s%% del daño recibido reduciendo los MP.
zts513e	Aumenta el nivel de MP mediante la absorción de %s%% daños ocasionados
zts514e	Elimina todos los efectos dañinos hasta el nivel %s
zts515e	Elimina los efectos buenos por debajo del nivel %s
zts516e	Daños a los vivos por debajo de mi nivel
zts517e	Cura a los vivos por debajo de mi nivel
zts518e	%s daños adicionales en un ataque escondido
zts519e	Los ataques dirigidos a enemigos escondidos pueden ocasionar %s daños ocasionales
zts520e	Ítem
zts521e	Aumenta la experiencia
zts522e	Aumenta la fuerza de ataque
zts523e	Ítems caídos
zts524e	Los puntos de experiencia aumentan en un %s%%.
zts525e	Todas las fuerzas de ataque aumentan un %s%%
zts526e	En %s rondas, cuando eres atacado, caen ítems
zts527e	Resistencia a los hechizos fortalecedores
zts528e	Resistencia anormal a la condición
zts529e	Resistencia normal a la condición
zts530e	Resistencia anormal mágica
zts531e	Resistencia tóxica
zts532e	Resistencia anormal a las enfermedades
zts533e	Bajo el nivel %s, la probabilidad de recibir un efecto dañino aumenta un %s%%
zts534e	Por debajo del nivel %s (incluido), la probabilidad de no recibir nunca un efecto negativo es del %s%%.
zts535e	Bajo el nivel %s, la probabilidad de recibir un efecto dañino general aumenta un %s%%
zts536e	Bajo el nivel %s, la probabilidad de no recibir nunca un efecto dañino general aumenta un %s%%
zts537e	Bajo el nivel %s, la probabilidad de recibir un efecto dañino mágico aumenta un %s%%
zts538e	Bajo el nivel %s, la probabilidad de no recibir nunca un efecto dañino mágico aumenta un %s%%
zts539e	Bajo el nivel %s, la probabilidad de recibir un efecto dañino tóxico aumenta un %s%%
zts540e	Bajo el nivel %s, la probabilidad de no recibir nunca un efecto dañino de enfermedad aumenta un %s%%
zts541e	Bajo el nivel %s, la probabilidad de recibir un efecto dañino de enfermedad aumenta un %s%%
zts542e	Bajo el nivel %s, la probabilidad de no recibir nunca un efecto dañino de enfermedad aumenta un %s%%
zts543e	Comportamiento especial
zts544e	Teletransporte aleatorio
zts545e	Saltar hacia un territorio
zts546e	Contagiar en los alrededores
zts547e	Teletransportado a un sitio aleatorio del mapa
zts548e	Saltar a todos los objetos que estén a %s distancia
zts549e	Distribuimos [%s] con nuestra fuerza a una distancia de %s
zts550e	Distribuimos [%s] a nuestros oponentes a una distancia de %s
zts551e	Aventura
zts552e	Observador de la aventura
zts553e	Invoca monstruos basándose en las reglas
zts554e	Porcentaje de renovación y daños
zts555e	Porcentaje de daños
zts556e	Disminuye el nivel de HP del oponente en %s%%
zts557e	Con los daños disminuye el nivel de HP en %s%%
zts558e	Transforma la circunstancia
zts559e	Transforma [%s] en [%s]
zts560e	Ítem pagado
zts561e	La fuerza del pergamino ha sido proporcionada
zts562e	Aumenta la cantidad de oro
zts563e	El valor de la caída de oro aumenta en %s%%
zts564e	Modifica el nivel máximo de HP % (Utiliza solo buff)
zts565e	Modifica el nivel máximo de MP % (Utiliza solo buff)
zts566e	Aumenta el nivel máximo de HP en un %s%%
zts567e	Disminuye el nivel máximo de HP en un %s%%
zts568e	Aumenta el nivel máximo de MP en un %s%%
zts569e	Disminuye el nivel máximo de MP en un %s%%
zts570e	Aumenta todas las defensas en un %s%%
zts571e	La segunda lista especial
zts572e	Poner una bomba
zts573e	Encender una bomba
zts574e	Activar la explosión durante un ataque
zts575e	Destruir los alrededores
zts576e	Invoca una bomba. Si se activa de nuevo se detona la bomba.
zts577e	Invoca 3 minas incendiarias.
zts578e	Aliento Sagrado
zts579e	Invoca un buff al atacante
zts580e	Disminuye las capacidades del enemigo que no utilizan el elemento de la luz.
zts581e	Golpea al atacante con [%s], con una probabilidad del %s%%
zts582e	Optimización de los especialistas
zts583e	Pergamino protector de tarjetas SP inferior
zts584e	Pergamino protector de tarjetas SP superior
zts585e	Utilizar Pergamino protector de tarjetas SP inferior.
zts586e	Utilizar Pergamino protector de tarjetas SP superior.
zts587e	Muñeco de nieve grande
zts588e	Frío 1
zts589e	Frío 2
zts590e	Una tormenta de nieve. Todos los jugadores perciben un 99% de daños.
zts591e	Un terremoto. Todos los jugadores perciben un 99% de daños.
zts592e	Extraer
zts593e	Dirigir extracción
