zts1e	Маленькая^лиса
zts246e	Проклятый череп
zts247e	Свирепый череп
zts248e	Свирепый лавовый голем
zts249e	Жестокий лавовый голем
zts250e	Грустная ночная тень
zts251e	Подавленная ночная тень
zts252e	Жестокий плеватель
zts253e	Кукукиин
zts254e	Сильная темная ведьма
zts255e	Сильная черная ведьма
zts256e	Элитный молотобоец Кенко
zts257e	Хилый ходок
zts258e	Темный Гаргс
zts259e	Череп-лучник
zts260e	Проклятый череп-лучник
zts261e	Череп-воин
zts262e	Проклятый череп-воин
zts263e	Король пыли
zts264e	Властный король пыли
zts265e	Свирепая ледяная фея
zts266e	Жестокая ледяная фея
zts267e	Маленькое красное желе
zts268e	Бессильный король пыли
zts269e	Мама Куби
zts270e	Куби
zts271e	Женьшень
zts272e	Темный Кастра
zts273e	Крупный Слейд
zts274e	Не используется
zts275e	Жуткий копьеносец
zts276e	Огромный черный паук
zts277e	Росток женьшеня
zts278e	Горшок с женьшенем
zts279e	Большая ящерица
zts280e	Длинноногий паук
zts281e	Невидимый король пыли
zts282e	Истощенный зомби-страж
zts283e	Долговязый зомби-страж
zts284e	Горбатый зомби-страж
zts285e	Мерзкий зомби-страж
zts286e	Костлявый зомби-страж
zts287e	Мими Ментор
zts288e	Теоман Топп
zts289e	Тренер Кальвин
zts290e	Сорайя Стиль
zts291e	Ева Энерджи
zts292e	Малкольм Микс
zts293e	Озадаченный Малкольм
zts294e	Корркоарен
zts295e	Не используется
zts296e	Бес-мечник
zts297e	Солдат стражи НосВилля
zts298e	Рыцарь Лорда Куарри
zts299e	Лучник стражи НосВилля
zts300e	Усталый Корркоарен
zts301e	Корркоарен
zts302e	Кенэль
zts303e	Молотобоец Кенко
zts304e	Боб
zts305e	Том
zts306e	Клифф
zts307e	Принцесса Кэтлотт
zts308e	Принцесса Кэтриша
zts309e	Сенил
zts310e	Сенил
zts311e	Карвен
zts312e	Теодор Топп
zts313e	Титус Путешественник
zts314e	Шлури
zts315e	Начальник шахты
zts316e	Курица
zts317e	Большая курица
zts318e	Принцесса Кэтриша
zts319e	Раненый страж
zts320e	Начальник стражи НосВилля
zts321e	Рыцарь
zts322e	Капитан рыцарей
zts323e	Свирепая курица
zts324e	Колдун
zts325e	Радаль
zts326e	Белая ведьма Роза
zts327e	Таинственная личность
zts328e	Призрак-лунатик
zts329e	Не используется
zts330e	Не используется
zts331e	Люсия
zts332e	Не используется
zts333e	Моргенштерн
zts334e	Падающий камень
zts335e	Маленький паучок
zts336e	Мертвый Ковольт
zts337e	Черный метеорит
zts338e	Свиток озарения
zts339e	Камень-телепорт
zts340e	Наблюдатель лаборатории
zts341e	Тренер Пышнохвост
zts342e	Малый указатель
zts343e	Большой указатель
zts344e	Пространственно-временной портал
zts345e	Указатель фей
zts346e	Желтый камень души
zts347e	Красный камень души
zts348e	Синий камень души
zts349e	Загадочный камень души
zts350e	Затемняющая мандра
zts351e	Анти-бафовая мандра
zts352e	Сильный Пышнохвост
zts353e	Огненный Пышнохвост
zts354e	Водный Пышнохвост
zts355e	Светлый Пышнохвост
zts356e	Темный Пышнохвост
zts357e	Адский демон
zts358e	Тренировочный столб
zts360e	Огненный слейд
zts361e	Пиявка
zts362e	Крот
zts363e	Страж Сэм
zts364e	Страж Джим
zts365e	Начальник шахты Мадог
zts366e	Начальник шахты Криспо
zts368e	Джерико
zts369e	Командир Рэй Рамос
zts370e	Генерал рыцарей Рамоса
zts371e	Капитан рыцарей Рамоса
zts372e	Шпион Коарен
zts373e	Бормочущий шахтер
zts374e	Грохот
zts375e	Король грохота
zts376e	Стоящий глаз
zts377e	Заколдованный меч
zts378e	Заколдованный лук
zts379e	Заколдованный моргенштерн
zts380e	Рваная ряса
zts381e	Слабый комар
zts382e	Темный скорпион
zts383e	Водный кузнечик
zts384e	Огненная бабочка
zts385e	Душа светлого дерева
zts386e	Душа темного дерева
zts387e	Душа холодного дерева
zts388e	Душа теплого дерева
zts389e	Скованная душа
zts390e	Адская гончая
zts391e	Слуга демона
zts392e	Рыцарь Пинто
zts393e	Душистая трава
zts394e	Глубокий колодец
zts395e	Разбитая красная плита
zts396e	Пень
zts397e	Цветущий куст
zts398e	Статуя ковольта
zts399e	Пентаграмма
zts400e	Круг зла
zts401e	Священный куст
zts402e	Святой алтарь
zts403e	Магическая ветка
zts404e	Гнездо нюхача
zts405e	Пугало (Ворота 1)
zts406e	Пугало (Ворота 2)
zts407e	Пугало (Ворота 3)
zts408e	Бревна
zts409e	Ур. 20 Дающий задание
zts410e	Ур. 21-1 Дающий задание
zts411e	Ур. 21-2 Дающий задание
zts412e	Ур. 21-3 Дающий задание
zts413e	Ур. 21-4 Дающий задание
zts414e	Ур. 21-5 Дающий задание
zts415e	Ур. 21-6 Дающий задание
zts416e	Ур. 22-1 Дающий задание
zts417e	Ур. 22-2 Дающий задание
zts418e	Ур. 22-3 Дающий задание
zts419e	Пшеница
zts420e	Железная руда
zts421e	Ур. 25-1 Дающий задание
zts422e	Ур. 25-2 Дающий задание
zts423e	Ур. 25-3 Дающий задание
zts424e	Ур. 25-4 Дающий задание
zts425e	Ур. 25-5 Дающий задание
zts426e	Ур. 25-6 Дающий задание
zts427e	Ур. 25-7 Дающий задание
zts428e	Ур. 25-8 Дающий задание
zts429e	Ур. 25-9 Дающий задание
zts430e	Ур. 25-10 Дающий задание
zts431e	Странные следы
zts432e	Капитан Лэнс
zts434e	Куриное яйцо
zts438e	Бойцовый петух
zts439e	Куриный король
zts440e	Загадочный колодец
zts441e	Таинственный колодец
zts442e	Птичье яйцо
zts443e	Золотое гнездо
zts444e	Магический колодец
zts445e	Странный колодец
zts446e	Страж
zts447e	Прыгучий^цыпленок
zts448e	Танцующий^цыпленок
zts449e	Злой^цыпленок
zts450e	Летающий глаз
zts451e	Тело скованной души
zts452e	Носитель рваных ряс
zts453e	Разыскиваемые преступники
zts454e	Вождь Коарен
zts455e	Колли
zts456e	Энни
zts457e	Догго
zts458e	Земляной червяк
zts459e	Террамонстр
zts460e	Большой сверчок-крот
zts461e	Туманный гигант
zts462e	Душа воина
zts463e	Душа лучника
zts464e	Бестия
zts465e	Шпион Кенко
zts466e	Палач-давитель
zts467e	Палач-колесователь
zts468e	Палач-бичеватель
zts469e	Дьявольская леди
zts470e	Статуя прокушенной блестящей кости
zts471e	Разрушенный пост стражи
zts472e	Мягкий грунт
zts473e	Твердый грунт
zts474e	Сверкающий камень
zts475e	Метла
zts476e	Подозрительные обои
zts477e	Статуя ужаса
zts478e	Прыгучий ниндзя-карлик
zts479e	Вооруженный ниндзя-карлик
zts480e	Пьяный ниндзя-карлик
zts481e	Ниндзя
zts482e	Нономару
zts483e	Влюбленный дух
zts484e	Намаджу
zts485e	Грустный ниндзя-карлик
zts486e	Мини-Дадамару
zts487e	Принцесса^Сакура
zts488e	Свирепый Намаджу
zts489e	Жестокий сидль
zts490e	Безумный дандер
zts491e	Жестокая курица
zts492e	Опытный шахтер Йобби
zts493e	Дадамару
zts494e	Осколок метеорита
zts495e	Большое надгробие
zts496e	Маленькое надгробие
zts497e	Ловушка Дадамару
zts498e	Стебли бамбука
zts499e	Стальной палач
zts500e	Жестокий Намаджу
zts501e	Сильный комар
zts502e	Горшок Дадамару
zts503e	Большой радужный кристалл
zts504e	Средний радужный кристалл
zts505e	Малый радужный кристалл
zts506e	Проклятая бестия
zts507e	Проклятый туманный гигант
zts508e	Проклятая дьявольская леди
zts509e	Белая колдунья Роза
zts510e	Сильная белая колдунья
zts511e	Статуя блестящей кости
zts512e	Фруктовое дерево
zts513e	Доска почета
zts514e	Красный камень
zts515e	Разрушенная статуя блестящей кости
zts516e	Шпион Кенко податель 1
zts517e	Шпион Кенко податель 2
zts518e	Шпион Кенко податель 3
zts519e	Шпион Кенко податель 4
zts520e	Белая ведьма Роза
zts521e	Воскресший костяной воин
zts522e	Череп сокола
zts523e	Мертвый воитель
zts524e	Адский рыцарь
zts525e	Летающий огненный дьявол
zts526e	Новый НПС
zts527e	Фея-грасслин
zts528e	Фея-грасслин
zts529e	Огромный грасслин
zts530e	Огненный дракон
zts531e	Костяной дракон
zts532e	Маленький грасслин
zts533e	Рис
zts534e	Врата в Страну мертвых
zts535e	Гладиатор^Пышнохвост
zts536e	Кэтриша
zts537e	Кэтлотт
zts538e	Дровосек Джек
zts539e	Роди Виндсингер
zts540e	Руди Стюарт
zts541e	Эри Виндспир
zts542e	Отряд Эрикиэля
zts543e	Соти Бистандер
zts544e	Ханти Даркстакер
zts545e	Рект Лат
zts546e	Ректурус Иллюзия
zts547e	Гигантский моллюск
zts548e	Дерево Кун
zts549e	Королевская пиявка
zts550e	Огненный голем
zts551e	Василиск
zts552e	Гигантская личинка
zts553e	Не используется
zts554e	Большая медуза
zts555e	Маленькая медуза
zts556e	Дух старого дерева
zts557e	Грейландер
zts558e	Гигантская пиявка
zts559e	Ангел
zts560e	Бабочка
zts561e	Сверчок-крот
zts562e	Молодой крот
zts563e	Мама-крот
zts564e	Большая адская гончая
zts565e	Энкиду
zts566e	Личинка
zts567e	Маргаритки
zts568e	Лилии
zts569e	Статуя Крисоса
zts570e	Колодец
zts571e	Большой красный цветок
zts572e	Крисос
zts573e	Як-Воин
zts574e	Як-Маг
zts575e	Молодой крот
zts576e	Взрывающаяся бомба
zts577e	Бомба
zts578e	Стражница
zts579e	Сверчок-крот
zts580e	Бомба
zts581e	Огненная мина
zts582e	Фабиан Фрост
zts583e	Дэйзи Акамура
zts584e	Сейна Рея
zts585e	Джастин Даркфлейм
zts586e	Уитни Кэтрин
zts587e	Страж демонов
zts588e	Жуткий адский стражник
zts589e	Беспощадный адский стражник
zts590e	Картос
zts591e	Бентерюк
zts592e	Пелицерт
zts593e	Адский герцог Архтеридон
zts594e	Эшкаруэль Мистикарон
zts595e	Доктор Ву
zts596e	Древняя душа
zts597e	Золотой камень души
zts598e	Святой колодец
zts599e	Пышнохвост
zts600e	Разрушитель^Пышнохвост
zts601e	Куппи Карустье
zts602e	Арке
zts603e	Ангел Жабиньель
zts604e	Ангел Исраэль
zts605e	Ангел Ридванель
zts606e	Серый камень души
zts607e	Торговец оружием
zts608e	Торговец броней
zts609e	Торговец производственными товарами
zts610e	Повар
zts611e	Модельер
zts612e	Алхимик
zts613e	Садовник
zts614e	Башня-телепорт
zts615e	Знак радиоволн
zts616e	Дед Мороз
zts617e	Снеговик
zts618e	Голова снеговика
zts619e	Большая голова снеговика
zts620e	Бенито Батлер
zts621e	Счастливая крыса
zts622e	Аврелиус Рошу
zts623e	Рудин Альбиско
zts624e	Лейка Пассаже
zts625e	Печать беглеца
zts626e	Не используется
zts627e	Каппен
zts628e	Кангпен
zts629e	Джекпен
zts630e	Гнолль-разведчик
zts631e	Гнолль-воин
zts632e	Не используется
zts633e	Йети
zts634e	Не используется
zts635e	Прота
zts636e	Морозная ведьма
zts637e	Ласи
zts638e	Не используется
zts639e	Ледяной червяк
zts640e	Лорд Мукражу
zts641e	Росс Хизрант
zts642e	Маленький костер
zts643e	Большой костер
zts644e	Росс Хизрант
zts645e	Воин Мокан
zts646e	Охотник Мокан
zts647e	Воин Молдас
zts648e	Колдун Молдас
zts649e	Лорд Моркос
zts650e	Джинта
zts651e	Портал для вызова монстров
zts652e	Эмиль Мелиус
zts653e	Амелия Гласиа
zts654e	Яичная фея
zts655e	Немного подозрительный гнолль-разведчик
zts656e	Подозрительный гнолль-разведчик
zts657e	Очень подозрительный гнолль-разведчик
zts658e	Ужасно подозрительный гнолль-разведчик
zts659e	Яичная фея
zts660e	Арнольд Артизан
zts661e	Исаак Артизан
zts662e	Ноэлия Роза
zts663e	Маргарет
zts664e	Алиса Беллия
zts665e	Марвин Магикус
zts666e	Эдвард
zts667e	Темный глаз-страж
zts668e	Темный охотник
zts669e	Темный хищник
zts670e	Темный отшельник
zts671e	Лорд Хатус
zts672e	Новый конюх Сельвик
zts673e	Новичок Селоин
zts674e	Пенсионер Теодор Топп
zts675e	Пенсионер Теоман Топп
zts676e	Исследователь Фрэнк
zts677e	Гуляющий бродяга
zts678e	Рыцари капитана Пинто
zts679e	Занятая Мими Ментор
zts680e	Ленивая Ева Энерджи
zts681e	Жестокий Йети
zts682e	Могучий воин Молдас
zts683e	Могучий колдун Молдас
zts684e	Белый тюлень
zts685e	Альфред Эрудио
zts686e	Гигантский цыпленок
zts687e	Тысячелетняя мандра
zts688e	Адский сторожевой пес
zts689e	Гигантский бойцовый петух
zts690e	Тысячелетний картофель
zts691e	Ручной пес сатаны
zts692e	Гигантский веппард
zts693e	Боинг-спутник
zts694e	Демонический корень
zts695e	Мускулистый слейд
zts696e	Король теней
zts697e	Слейд-голем
zts698e	Мини-Кастра
zts699e	Рыцарь смерти
zts700e	Толстая пиявка
zts701e	Тысячелетний женьшень
zts702e	Король василисков
zts703e	Гигантский воин
zts704e	Проклятое дерево
zts705e	Король крабов
zts706e	Ручной Йети
zts707e	Фабиан Фрост
zts708e	Сторожевой пес святилища
zts709e	Привратник святилища
zts710e	Жрец святилища
zts711e	Страж святилища
zts712e	Не используется
zts713e	Не используется
zts714e	Не используется
zts715e	Лорд Бериос
zts716e	Океанский охотник
zts717e	Океанский страж
zts718e	Океанский надзиратель
zts719e	Рыба-преследователь
zts720e	Леди Кальвинас
zts721e	Льдогенератор
zts722e	Основной лагерь ангелов
zts723e	Основной лагерь демонов
zts724e	Алтарь ангелов
zts725e	Алтарь демонов
zts726e	Аква^Пышнохвост
zts727e	Перекати-поле 1
zts728e	Перекати-поле 2
zts747e	Пегас
zts748e	Милый^кролик
zts749e	Пиявка
zts750e	Гигантский Йети
zts751e	Ректурус Иллюзия
zts752e	Ханти Даркстакер
zts753e	Тренированная курица
zts754e	Сильный женьшень
zts755e	Сильный василиск
zts756e	Тренированная овечка
zts757e	Тренированный муфлон
zts758e	Тренированный баран
zts759e	Тренированный хомяк
zts760e	Тренированный ядовитый хомяк
zts761e	Тренированный стальной хомяк
zts762e	Тренированная лиса
zts763e	Тренированная лиса дузи
zts764e	Тренированная лиса Ото
zts765e	Тренированное розовое желе
zts766e	Тренированное красное желе
zts767e	Тренированное темное желе
zts768e	Тренированный бес
zts769e	Тренированный рогатый бес
zts770e	Тренированный демонический бес
zts771e	Тренированный волк
zts772e	Тренированный волколев
zts773e	Король Каппен
zts774e	Младший гнолль
zts775e	Гигантский ледяной червяк
zts776e	Гигантская прота
zts777e	Гигантский энкиду
zts778e	Гигантская ледяная фея
zts779e	Жестокий бойцовый петух
zts780e	Призрачная мандра
zts781e	Сильный вампир
zts782e	Элитный воин Коарен
zts783e	Элитный лучник Коарен
zts784e	Опасный мародер Кенко
zts785e	Вождь каменных ходоков
zts786e	Свирепый веппард
zts787e	Страж ангелов
zts788e	Страж демонов
zts789e	Пугало вампира
zts790e	Пугало Ковольта
zts791e	Пугало пышнохвоста
zts792e	Пугало Кенко
zts793e	Пугало веппарда
zts794e	Пугало Катси
zts795e	Пугало черепа-воина
zts796e	Тренер помощника (начинающий)
zts797e	Тренер помощника (средний)
zts798e	Тренер помощника (продвинутый)
zts799e	Призрак злого колдуна
zts800e	Свирепая личинка комара
zts801e	Призванная королева пчел
zts802e	Гигантская личинка комара
zts803e	Скользкий червяк
zts804e	Большой голем
zts805e	Стальной рогатый боинг
zts806e	Паук-солдат
zts807e	Монстр тьмы
zts808e	Адская гончая
zts809e	Серьезный слейд
zts810e	Жестокий костяной рыцарь
zts811e	Жестокий костяной лучник
zts812e	Гигантский стражник
zts813e	Гигантский стражник
zts814e	Грозный слейд
zts815e	Темный рыцарь Деронт
zts816e	Маленькая пиявка
zts817e	Ядовитая личинка
zts818e	Бронированный рыцарь Лантесс
zts819e	Раненая медуза
zts820e	Туманный Понтифф
zts821e	Гигантский каменный ходок
zts822e	Король крабов
zts823e	Королева кротов
zts824e	Мистический рыцарь
zts825e	Мистикарон
zts826e	Древний веппард
zts827e	Древний король теней
zts828e	Древний мини-Кастра
zts829e	Старый демонический корень
zts830e	Гигантское розовое желе
zts831e	Сильный гигантский рыцарь
zts832e	Сильный грейландер
zts833e	Дрова
zts834e	Дрова для костра
zts835e	Камень души мечника
zts836e	Камень души лучника
zts837e	Камень души мага
zts838e	Ледяная атака ангела
zts839e	Ледяная атака демона
zts840e	Тренировочный столб
zts841e	Тренировочный пункт
zts842e	Кристальный шар мечника
zts843e	Кристальный шар лучника
zts844e	Кристальный шар мага
zts845e	Гигантский мародер Кенко
zts846e	Зона пугала вампира
zts847e	Уродливый Рудольф
zts848e	Отвратительный Рудольф
zts849e	Злой снеговик
zts850e	Супер^Санта^Пыш
zts851e	Слабый огненный дьявол
zts852e	Бычок^Пышнохвост
zts853e	Ледяной червяк
zts854e	Младший гнолль-боец
zts855e	Жестокая прота
zts856e	Младший гнолль-разведчик
zts857e	Детеныш энкиду
zts858e	Призванный Джекпен
zts859e	Призванный Кангпен
zts860e	Снежный василиск
zts861e	Снежный лев
zts862e	Снежная лиса
zts863e	Самурай^Пышнохвост
zts867e	Инферно
zts889e	Рыба песков пустыни
zts890e	Прота песков пустыни
zts891e	Клинок песков пустыни
zts892e	Хищник песков пустыни
zts893e	Ползун песков пустыни
zts894e	Шипастый ползун песков пустыни
zts895e	Остророг песков пустыни
zts896e	Лиса песков пустыни
zts897e	Кактус песков пустыни
zts898e	Богомол песков пустыни
zts899e	Скорпион песков пустыни
zts900e	Василиск песков пустыни
zts901e	Молящийся монах
zts902e	Молящийся дух
zts903e	Молящийся жрец
zts904e	Молящийся предводитель
zts905e	Командир Нейл
zts906e	Командир Мелки
zts907e	Командир Керус
zts908e	Командир Гартон
zts909e	Самурай патруля Нейла
zts910e	Ассассин патруля Нейла
zts911e	Охотник патруля Нейла
zts912e	Бомбометатель патруля Нейла
zts913e	Тюремщик Нейла
zts914e	Лавочник Нейла
zts915e	Ключник Нейла
zts916e	Шпион патруля Нейла
zts917e	Ибрагим
zts918e	Командир Шоран
zts919e	Командир Шей
zts920e	Разведчик патруля Нейла
zts921e	Песчаная буря
zts922e	Песчаный призрак
zts923e	Песчаный великан
zts924e	Песчаный гном
zts925e	Управляющий античными реликвиями
zts926e	Дух песков ветра
zts927e	Гладиатор песков ветра
zts928e	Лучник песков ветра
zts929e	Маг песков ветра
zts930e	Привратник древних руин
zts933e	Валакус, Огненный король
zts935e	Кертос, демонический пес
zts947e	Огненный бог Гренигас
zts948e	Джин Хамадин
zts949e	Страж маяка Хилтон
zts950e	Страж порта Том
zts951e	Председатель Ной
zts952e	Хазиль
zts953e	Жрица Серизад
zts954e	Высший жрец Эладин
zts955e	Жрица Вера
zts956e	Риана
zts957e	Серена
zts958e	Нефи
zts959e	Семия
zts960e	Пол
zts961e	Делмон Майлоу
zts962e	Страж торговцев Акамура
zts963e	Представитель торговцев Акамура
zts964e	Торговец Акамура
zts965e	Житель
zts966e	Призрак искателя сокровищ
zts967e	Мертвый искатель сокровищ
zts968e	Душа жреца
zts969e	Мертвый жрец
zts970e	Мертвый разбойник
zts971e	Верблюд
zts972e	Хамид
zts973e	Пленный Шариф
zts974e	Рушалдин
zts975e	Камиль
zts976e	Михоль
zts977e	Ксавьер
zts978e	Велмон
zts979e	Ополченец хаоса
zts980e	Малорен, пустынный грабитель
zts981e	Шелкопряд Болпорти
zts982e	Житель зоны хаоса
zts983e	Инспектор Сержес
zts984e	Загадочный странник
zts985e	Фантом Гренигаса
zts1086e	Irukur
zts1192e	Кактус песков духа
zts1193e	Лиса песков пустыни
zts1194e	Лиса песков духа
zts1195e	Пленник
zts1196e	Страж лагеря Нейла
zts1197e	Представитель Марша
zts1198e	Опунция
zts1199e	Почтовый ящик Нейла
zts1200e	Пленник Хамад
zts1201e	Жрица Нора
zts1202e	Страж Путран
zts1203e	Предсказатель Нуки
zts1204e	Помощник Шейн
zts1205e	Брошенный сундук торговца Акамура
zts1206e	Уничтоженные товары
zts1207e	Украденные товары
zts1208e	НПС, добывающий флаги
zts1209e	НПС - регион 1
zts1210e	НПС - регион 2
zts1211e	НПС - регион 3
zts1212e	НПС - регион 4
zts1213e	НПС - регион 5
zts1214e	НПС - регион 6
zts1215e	Квестовый НПС
zts1216e	Подозрительное зелье
zts1217e	Странный сундук Керуса
zts1218e	Странный сундук Гартона
zts1219e	Украденные реликвии Керуса
zts1220e	Украденные реликвии Гартона
zts1221e	Боксер Пышнохвост
zts1222e	Призванный океанский охотник
zts1223e	Призванный океанский страж
zts1248e	Тренер помощника (начинающий)
zts1249e	Рыба морских песков
zts1250e	Прота морских песков
zts1251e	Клинок морских песков
zts1252e	Хищник морских песков
zts1253e	Ползун морских песков
zts1254e	Шипастый ползун морских песков
zts1255e	Остророг морских песков
zts1256e	Лиса морских песков
zts1257e	Кактус морских песков
zts1258e	Богомол морских песков
zts1259e	Скорпион морских песков
zts1260e	Василиск морских песков
zts1261e	Молящийся монах
zts1262e	Молящийся дух
zts1263e	Молящийся жрец
zts1264e	Молящийся предводитель
zts1265e	Командир Нейл
zts1266e	Командир Мелки
zts1267e	Командир Керус
zts1268e	Командир Гартон
zts1269e	Самурай разведки Нейла
zts1270e	Ассассин патруля Нейла
zts1271e	Охотник патруля Нейла
zts1272e	Бомбометатель патруля Нейла
zts1273e	Смотритель Нейла
zts1274e	Начальник лагеря Нейла
zts1275e	Ключник Нейла
zts1276e	Шпион патруля Нейла
zts1277e	Ибрагим
