zts1e	Najlepsza obs³uga
zts22e	Gotowy do dzia³ania!
zts23e	Du¿a Woondine
zts24e	Duch wody; Mo¿e rozwin¹æ siê do 70.[n]Ma ju¿ 40 poziom wiêc nie trzeba rozwijaæ go od 1 poziomu.[n] Posiada takie same umiejêtnoœci jak wró¿ka wody[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts25e	Zbyt niecierpliwy?
zts26e	Du¿a Eperial
zts27e	Œwiatlo Ducha ; Mo¿e wzrosn¹æ do 70.[n]Jest ju¿ 40, wiêc nie musi wzrastaæ od 1.[n] Ma te same w³acœciwoœci co Wró¿ka Œwiat³a[n] Brak mo¿liwoœci handlu[n]
zts28e	Do natychmiastowej akcji!
zts29e	Du¿a Turik
zts30e	Cieñ ducha ; Mo¿e wzrosn¹æ do 70.[n]Ma ju¿ 40, nie musi wiêc od 1 wzrastaæ.[n] Ma te same w³aœciwoœci co cieñ czarodziejki[n] Brak mo¿liwoœci handlu[n]
zts31e	Magazyn do wynajêcia
zts32e	Ekstra du¿y sklep(30d)
zts33e	Pozwala ci u¿ywaæ 56 miejsc w twoim mini-landzie[n]Odliczanie zaczyna siê przy rozpoczêciu ustawiania.[n][Uwaga][n]Magazyn zniknie, kiedy czas siê skoñczy, wiec przygotuj nowy magazyn.[n]Jeœli magazyn jest mniejszy, nie wszystkie przedmioty bêd¹ mog³y zostaæ przejête.
zts34e	Daj swojemu zwierzakowi ksywê!
zts35e	Obro¿a z Imieniem dla Zwierzaka
zts36e	Daj twojemu zwierzakowi imiê.[n]Zniknie po u¿yciu[n]
zts37e	Nazwij swoje zwierzê
zts38e	5 Szyldów z imieniem dla NosKumpla
zts39e	Daj twojemu zwierzakowi imiê.[n] Kup 1 zestaw z 5 wisiorkami imion dla twojego zwierzaka[n]
zts40e	Dla szlachetnego zwierzaka
zts41e	3 najlepsze pokarmy NosKumpla
zts42e	Lojalnoœæ zwierzaka bêdzie maksymalna.[n] Dodatkowe podwy¿szenie stopnia o 1[n] Tylko do u¿ytku, jeœli stopieñ zwierzaka znajduje siê 5 stopni poni¿ej stopnia gracza[n] (Jeœli gracz znajduje siê na poziomie stopnia 50, mo¿e zostaæ do 45 zwiêkszone)[n]
zts43e	Uwa¿aj na swoje zdrowie
zts44e	Medycyna przyjaciela
zts45e	Lojalnoœæ zwierzaka osi¹gnie maksimum.[n] Dodatkowe podwy¿szenie poziomu o 1[n] Tylko do u¿ytku, jeœli stopieñ zwierzaka znajduje siê 5 poziomów poni¿ej poziomu gracza[n] (Jeœli gracz jest na poziomie 50, mo¿e zostaæ zwiêkszone do 45)[n]
zts46e	Nie zostawiaj swojego zwierzaka samego
zts47e	Per³a Zwierzaka
zts48e	Mo¿esz umieœciæ swojego NosKumpela w perle i przechowywaæ j¹ w ekwipunku lub magazynie.[n]Mo¿esz siê ni¹ wymieniaæ z innymi graczami.[n][Uwaga][n]Parametry zwierzaka zostan¹ zachowane, ale usuniêta zostanie jego nazwa.[n]Jeœli twój NosKumpel ma poziom wy¿szy od twojego, mo¿esz go zostawiæ w mini-landzie, jednak nie mo¿esz go zabraæ ze sob¹ na misje.[n]
zts49e	Zamieñ twojego zwierzaka
zts50e	Per³a Zwierzaka
zts51e	Za pomoc¹ tego przedmiotu umieœcisz swojego NosKumpla w perle, któr¹ mo¿esz przechowywaæ w ekwipunku lub magazynie.[n]Mo¿esz siê ni¹ wymieniaæ z innymi graczami.[n][Instrukcja][n]Wybierz NosKumpla i kliknij dwa razy na per³ê.[n][Uwaga][n]Parametry zwierzaka zostan¹ zachowane, ale usuniêta zostanie jego nazwa.[n]Jeœli twój NosKumpel ma poziom wy¿szy od twojego, mo¿esz go zostawiæ w mini-landzie, jednak nie mo¿esz go zabraæ ze sob¹ na misje.[n]
zts52e	Handluj specjaln¹ kart¹!
zts53e	Pojemnik na Karty Specjalisty
zts54e	Mo¿na trzymaæ tylko jedn¹ kartê.[n] Umo¿liwia Ci to handel z innymi graczami[n] Poziom i doœwiadczenie s¹ chronione[n]
zts55e	Specjalny pakiet specjalistów
zts56e	Ma³e specjalne do³adowanie
zts57e	Wszystkie HP s¹ przywrócone.[n] SP zostan¹ zwiêkszone dodatkowo o 30.000[n]
zts58e	Œrednie specjalne do³adowanie
zts59e	Wszystkie HP s¹ przywrócone.[n] SP zwiêkszone dodatkowo o 70.000[n]
zts60e	Luksusowy pakiet specjalistów
zts61e	Du¿e specjalne do³adowanie
zts62e	Wszystkie HP/MP zostan¹ przywrócone i wszystkie efekty uboczne zostan¹ usuniête.[n] SP zostan¹ dodatkowo zwiêkszone o 180.000[n]
zts63e	Sprawia, ¿e zak³ady s¹ bezpieczne!
zts64e	Amulet boskiego b³ogos³awieñstwa
zts65e	Mo¿e zostaæ u¿yty 3 razy[n] Zwiêksza prawdopodobieñstwo wygranej w zak³adach o 10% i chroni broñ przed defektem[n] Mo¿e byæ u¿ywany do broni i uzbrojenia[n]
zts66e	Zak³adaj siê bez nerwów!
zts67e	Amulet boskiej ochrony
zts68e	Mo¿e zostaæ u¿yty 3-krotnie[n] Chroni broñ przy nieudanym zak³adzie[n] Mo¿e byæ stosowany do broni i uzbrojenia[n]
zts69e	Ponowne u¿ycie uzbrojenia
zts70e	Amulet wzmacniaj¹cy
zts71e	Mo¿e zostaæ u¿yty 3-krotnie. [n] Mo¿e polepszaæ uzbrojenie, równie¿ przy sta³ym poziomie.[n] Mo¿e zostaæ u¿yty do broni i uzbrojenia[n]
zts72e	Do pe³na, proszê!
zts73e	99 Du¿y kompletny napój
zts74e	Kup 99 du¿y kompletny napój[n]
zts78e	Ten napój jest dostêpny tylko tutaj!!
zts79e	70 woda Ÿródlana cylloanu
zts80e	Przywraca z powrotem 3.000 HP/MP
zts84e	Têskniê za tob¹!
zts85e	10 Skrzyd³a przyjaŸni
zts86e	Mo¿e teleportowaæ siê do ka¿dego, kto jest zarejestrowany jako twój przyjaciel.[n] Mo¿e zostaæ u¿yty jedynie wówczas, gdy przyjaciel znajduje siê na zwyk³ym polu.[n]Aby siê teleportowaæ, naciœnij po prostu przycisk 'Przenieœ' w komunikatorze.[n]
zts87e	Przystrój siebie i swoich partnerów!!!
zts88e	Fryzura Wosk A, wygl¹dasz super!!
zts89e	To jest przyk³ad wojownika.[n] S¹ inne wizerunki przedstawiaj¹ce ³ucznika [n][n] Ye~~ Muszê odró¿niaæ siê od innych. Ta sama fryzura? Nie, dziêkujê ~~ Jestem wyj¹tkowy i moja fryzura równie¿. Zróbmy z w³osów dzie³o sztuki[n] Poszukiwacze przygód nie mog¹ z tego korzystaæ.
zts90e	£uczniku Wosk A, jesteœ moim Skarbem!
zts91e	Oto przyk³ad ³ucznika.[n]Istniej¹ inne wizerunki przedstawiaj¹ce wojownika i maga.[n][n]Muszê odró¿niaæ siê od innych. Ta sama fryzura? Nie, dziêkujê! Jestem wyj¹tkowy... i moja fryzura równie¿. Zróbmy z w³osów dzie³o sztuki.[n]Poszukiwacze przygód nie mog¹ z tego korzystaæ.
zts92e	Magu Wosk A, jesteœ najlepszy!
zts93e	To jest przyk³ad maga.[n] S¹ inne wizerunki przedstawiaj¹ce wojownika i ³ucznika[n][n] Ye~~ Muszê odró¿niaæ siê od innych. Ta sama fryzura? Nie, dziêkujê ~~ Jestem wyj¹tkowy i moja fryzura równie¿. Zróbmy z w³osów dzie³o sztuki[n] Poszukiwacze przygód nie mog¹ z tego korzystaæ.
zts94e	Ty przystojniaczku
zts95e	Wojownik, Wosk B
zts96e	To jest przyk³ad wojownika.[n] S¹ inne wizerunki przedstawiaj¹ce ³ucznika i maga [n][n] Ye~~ Muszê odró¿niaæ siê od innych. Ta sama fryzura? Nie, dziêkujê ~~ Jestem wyj¹tkowy i moja fryzura równie¿. Zróbmy z w³osów dzie³o sztuki[n] Poszukiwacze przygód nie mog¹ z tego korzystaæ.
zts97e	£uczniku, Wosk B!
zts98e	Magu, Wosk B!
zts99e	Nowy kolor w³osów
zts100e	Czerwona farba do w³osów
zts101e	Farbuje w³osy na czerwono [n]
zts102e	Zmienia kolor twoich w³osów!
zts103e	Zielona farba do w³osów
zts104e	Farbuje w³osy na zielono [n]
zts105e	Gdzie zleci³eœ wykonanie tego?
zts106e	Bia³a farba do w³osów
zts107e	Farbuje w³osy na bia³o [n]
zts108e	Rewolucja w kolorach w³osów!
zts109e	Niebieska farba do w³osów
zts110e	Farbuje w³osy na niebiesko [n]
zts111e	Bardzo dobrze ci pasuje!
zts112e	Czarna farba do w³osów
zts113e	Farbuje w³osy na czarno [n]
zts114e	Kim jesteœ?
zts115e	W³asny opis
zts116e	Stwórz w³asny opis, który mo¿esz pokazywaæ innym [n](Bêdzie on wyœwietlany, gdy naciœniesz prawy przycisk)[n] Maksymalna d³ugoœæ 60 liter[n]
zts117e	To dociera do wszystkich
zts118e	12 G³oœników
zts119e	Mo¿esz skierowaæ swoje s³owa do wszystkich na serwerze.[n]Twoje s³owa bêd¹ wyœwietlane w oknie czatu, [n][Instrukcja][n]Kliknij dwa razy spiker i wprowadŸ swoj¹ wiadomoœæ.
zts120e	Przeka¿ ca³emu œwiatu
zts121e	Balon mowy
zts122e	Utworzona wiadomoœci zostanie przez 30 minut zachowana.[n]Tekstu nie mo¿na zmieniæ i po roz³¹czeniu siê z gr¹ znika.[n][Instrukcja][n]Dwa razy kliknij na dymek, aby wprowadziæ wiadomoœæ..[n]Aby zamkn¹æ wpisz w oknie '$close'[n]Jeœli przed zamkniêciem okna wprowadzisz nowy tekst, stara wiadomoœæ zniknie.
zts123e	Czy nie pragn¹³eœ od dawna aby staæ siê kimœ innym?
zts124e	Strój dla Boba
zts125e	Gdy Bob nosi ten strój, jego prêdkoœæ zwiêksza siê o 2.[n]Jednak ubranie to mo¿e znikn¹æ po umieszczeniu partnera w perle.[n]
zts126e	Haha... Zostawiasz mnie na lodzie?
zts127e	Strój dla Toma
zts128e	Gdy Tom nosi ten strój, jego prêdkoœæ zwiêksza siê o 2.[n]Jednak ubranie to mo¿e znikn¹æ po umieszczeniu partnera w perle.[n]
zts129e	Pies z rodowodem!
zts130e	Strój dla Kliffa
zts131e	Gdy Kliff nosi ten strój, jego prêdkoœæ zwiêksza siê o 2.[n]Jednak ubranie to mo¿e znikn¹æ po umieszczeniu partnera w perle.[n]
zts132e	Zwiêksza podstawowe PS przez 30 dni
zts133e	Order eksperta
zts134e	Dobra wiadomoœæ dla wszystkich, którzy przynajmniej jedn¹ godzinê dziennie nosz¹ kartê specjalisty.[n][n] Dzienne PS wynosz¹ teraz 10 000 + 30 000 [n] W sumie 40 000 PS (Jeœli nie wykorzystasz wszystkich, zaoszczêdzisz 10%).[n]Ciesz siê 40 000 PS przez ca³e 30 dni.
zts135e	Event Prezent od sekretnego partnera
zts136e	Medal PrzyjaŸni
zts137e	Amulet z Eventu Tajemniczy Partner[n] Jeœli zostanie u¿yty zwiêksza doœwiadczenie postaci/profesji o 5%.[n] Jeœli jesteœ w grupie z osobami, które równie¿ maj¹ ten amulet zyskasz kolejne 5%.[n] Mo¿na u¿ywaæ przez 10 dni.
zts138e	Myœla³em, ¿e to wystarczy
zts139e	99 ziaren mocy
zts140e	Kup 99 ziaren mocy [n]
zts141e	Gdzie podzia³ siê twoja godnoœæ?
zts142e	3 Eliksiry godnoœci
zts143e	Przywraca godnoœæ do poziomu 100
zts144e	Sprawia, ¿e ulepszanie i obstawianie jest bezpieczne!
zts145e	Zwój ochrony wyposa¿enia
zts146e	Mo¿na natychmiast ulepszaæ lub obstawiaæ. [n] Nawet jeœli siê to nie powiedzie, przedmiot nie zniknie.[n] Jeœli przy obstawianiu uzyskasz ni¿szy poziom od oryginalnego, [n]zostanie zachowany poprzedni poziom.[n] Otwiera okno do natychmiastowego ulepszania luz obstawiania.[n][n] Normalnie u¿ywa siê tego dla broni i wyposa¿enia.[n]Zu¿ywa siê niezale¿nie od tego, czy wykorzystuje siê to do obstawiania czy te¿ ulepszania.[n][n]
zts147e	Zwój zniesienia
zts148e	Pozwala na ulepszanie wyposa¿enia ze sta³ym poziomem.[n] Kliknij dwa razy na zwój a nastêpnie wybrany przedmiot, [n] sta³y poziom zostanie odblokowany.[n] Wykorzystuje siê do broni i wyposa¿enia[n]
zts149e	5 Zwojów ochrony wyposa¿enia
zts150e	5 Zwojów odblokowania
zts151e	Najnowsza moda!
zts152e	Koci kapelusz
zts153e	Odpornoœæ na wszystkie elementy zwiêkszona o 1[n] Si³a wszystkich elementów zwiêkszona o 10[n]
zts154e	Wybór specjalny
zts155e	Oœli kapelusz
zts156e	Chroni przed krzykiem Mandry z okreœlonym prawdopodobieñstwem [n] P¯ maksymalnie zwiêkszone o 100[n] PM maksymalnie zwiêkszone o 50[n]
zts157e	Œwietnie w nim wygl¹dasz
zts158e	Kowbojski kapelusz
zts159e	Prawdopodobieñstwo krytycznego trafienia zwiêksza siê o 2%[n] Obra¿enia zadawane przez krytyczne trafienie wzrastaj¹ o 10.[n] Prawdopodobieñstwo, ¿e otrzymasz krytyczne trafienie zmniejsza siê o 1%[n]
zts160e	Urocze
zts161e	Ma³pi kapelusz
zts162e	Ze znikomym prawdopodobieñstwem chroni ciê przed specjalnymi efektami.[n] Chroni przed negatywnymi efektami 2 poziomu z prawdopodobieñstwem 10%.
zts163e	Sprawia, ¿e wygl¹dasz na silniejszego!
zts164e	Kapelusz z antylopy
zts165e	Maksymalne P¯ zwiêkszone o 200.[n] Maksymalne PM zwiêkszone o 200.[n]
zts166e	Ze wspania³ym zapachem!
zts167e	Kapelusz porannej bryzy
zts168e	Prawdopodobieñstwo otrzymania krytycznego trafienia zmniejszone o 2%.[n] Jeœli otrzymasz krytyczne trafienie jego si³a zostanie zmniejszona o 20%.
zts169e	Silny jak pingwin?
zts170e	Kapelusz pingwina
zts171e	Obrona zwiêksza siê o 15.[n] Atak zwiêksza siê o 15.[n]
zts172e	Wykazuje antyczny styl
zts173e	Okrycie g³owy d¿entelmena
zts174e	Zmniejsza obra¿enia od magicznych ataków o 4% z prawdopodobieñstwem 8%.[n] Zmniejsza obra¿enia od dalekich ataków o 4%.[n]
zts175e	Uroczy i silny
zts176e	Opaska z du¿ymi uszami
zts177e	Zapobiega specjalnym efektom z du¿ym prawdopodobieñstwem[n] Zwiêksza morale o 5[n]
zts178e	Czy kochasz naturê?
zts179e	Kapelusz-Doniczka
zts180e	Dodaje 70 do obra¿eñ przeciwko potworom o wysokich poziomach[n] Dodaje 100 do obra¿eñ przeciwko zwierzêtom o wysokich poziomach.[n]
zts181e	Nauczy Twojego zwierzaka bystroœci
zts182e	Karma dla bystrego zwierzaka
zts183e	Gdy zwierzak zje ten przedmiot, natychmiast zacznie zbieraæ wszystkie upuszczone przedmioty.[n] Nie trzeba karmiæ go ca³y czas[n] Karmienie: Kliknij na zwierzaka, a nastêpnie dwa razy kliknij na przedmiot[n][n][Funkcja] Twój zwierzak automatycznie podnosi upuszczone przedmioty[n](Dzia³a tylko w trybie D). Podnosi tylko przedmioty w³aœciciela[n]Postaæ równie¿ mo¿e zbieraæ przedmioty. [n]Przedmioty trafiaj¹ do twojego ekwipunku[n][n] [Uwaga] Jeœli umieœcisz zwierzê w perle, funkcja ta zostanie przerwana.
zts184e	Odpornoœæ na wszystkie ¿ywio³y jest zwiêkszona o 1.[n]Wszystkie si³y ¿ywio³ów s¹ zwiêkszone o 10.[n]Tym przedmiotem nie mo¿na handlowaæ.[n]
zts185e	Chroni ciê przed okrzykiem Mandry.[n] P¯ zwiêksza maksymalnie o 100[n] PM zwiêksza maksymalnie o 50[n] Tego przedmiotu nie mo¿na przekazaæ innemu graczowi.[n]
zts186e	Prawdopodobieñstwo zadania ciosu krytycznego jest zwiêkszone o 2%[n]Zwiêksza obra¿enia zadawane przy ciosie krytycznym o 10%.[n]Prawdopodobieñstwo, ¿e otrzymasz cios krytyczny zmniejsza siê o 1%.[n]Przedmiot ten jest niezdatny do handlu.[n]
zts187e	Z du¿ym prawdopodobieñstwem ochrania ciê przed specjalnymi efektami.[n] Chroni przed negatywnymi efektami 2 poziomu z prawdopodobieñstwem 10%. [n]Tego przedmiotu nie mo¿na daæ innemu graczowi.[n]
zts188e	Maksymalne P¯ zwiêksza siê o 200.[n]Maksymalne PM zwiêksza siê o 200.[n]Przedmiot ten nie mo¿e byæ sprzedany[n]
zts189e	Zmniejsza prawdopodobieñstwo otrzymania krytycznego trafienia o 2%.[n] Jeœli zostaniesz trafiony zmniejsza krytyczne obra¿enia o 20%.[n]Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts190e	Ca³a obrona jest zwiêkszona o 15.[n] Wszystkie ataki s¹ zwiêkszone o 15[n] Tego przedmiotu nie mo¿na daæ innej osobie[n]
zts191e	Z prawdopodobieñstwem 8% zmniejsza obra¿enia zadawane przez magiczne ataki o 4% .[n] Zmniejsza obra¿enia od dalekich ataków o 4%.[n] Tego przedmiotu nie mo¿na daæ innej osobie[n]
zts192e	Zapobiega specjalnym efektom z du¿ym prawdopodobieñstwem[n] Zwiêksza morale o 5[n]Tego przedmiotu nie mo¿na daæ innej osobie[n]
zts193e	Dodaje 70 do obra¿eñ przeciwko potworom o wysokich poziomach[n] Dodaje 100 do obra¿eñ przeciwko zwierzêtom o wysokich poziomach.[n]Tego przedmiotu nie mo¿na daæ innej osobie[n]
zts194e	Nie u¿ywaæ
zts195e	Nie u¿ywaæ
zts196e	Nie u¿ywaæ
zts197e	Nie u¿ywaæ
zts198e	Nie u¿ywaæ
zts199e	Nie u¿ywaæ
zts200e	Nie u¿ywane
zts201e	Nie u¿ywane
zts202e	Nie u¿ywane
zts203e	Nie u¿ywane
zts204e	Niezniszczalny!
zts205e	Olbrzymi magazyn (na sta³e)
zts206e	56 miejsc [n] Mo¿na z niego korzystaæ przez ca³y czas. [n][n]
zts207e	Wyposa¿ swój taras
zts208e	Nie u¿ywane
zts209e	Nie u¿ywane
zts210e	Nie u¿ywane
zts211e	Nie u¿ywane
zts212e	Nie u¿ywane
zts213e	Nie u¿ywane
zts214e	Nie u¿ywane
zts215e	Nie u¿ywane
zts216e	Nie u¿ywane
zts217e	Nie u¿ywane
zts218e	Nie u¿ywane
zts219e	Nie u¿ywane
zts220e	Nie u¿ywane
zts221e	Duch ognia; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka ognia[n] Tego przedmiotu nie mo¿na daæ innej osobie[n]
zts222e	Duch wody; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka wody[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts223e	Duch œwiat³a; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka œwiat³a[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts224e	Duch mroku; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka mroku[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts225e	Duch ognia; Mo¿e rozwin¹æ siê do 70.[n]Ma ju¿ 40 poziom wiêc nie trzeba rozwijaæ go od 1 poziomu.[n] Posiada takie same umiejêtnoœci jak wró¿ka ognia[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts226e	Duch wody; Mo¿e rozwin¹æ siê do 70.[n]Ma ju¿ 40 poziom wiêc nie trzeba rozwijaæ go od 1 poziomu.[n] Posiada takie same umiejêtnoœci jak wró¿ka wody[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts227e	Duch œwiat³a; Mo¿e rozwin¹æ siê do 70.[n]Ma ju¿ 40 poziom wiêc nie trzeba rozwijaæ go od 1 poziomu.[n] Posiada takie same umiejêtnoœci jak wró¿ka œwiat³a[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts228e	Duch mroku; Mo¿e rozwin¹æ siê do 70.[n]Ma ju¿ 40 poziom wiêc nie trzeba rozwijaæ go od 1 poziomu.[n] Posiada takie same umiejêtnoœci jak wró¿ka mroku[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts229e	Bliska obrona 4[n] Daleka obrona 4[n] Odpornoœæ na magie 4[n] Unik 4[n] Odpornoœæ na wszystkie elementy zwiêkszona o 1[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts230e	Bliska obrona 4[n] Daleka obrona 4[n] Odpornoœæ na krzyk Mandry po za³o¿eniu[n] Maksymalne P¯ zwiêkszone o 100[n] Maksymalne PM zwiêkszone o 50[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts231e	Bliska obrona 3[n] Daleka obrona 6[n] Odpornoœæ na magie 4[n] Unik 2[n] Prawdopodobieñstwo zadania krytycznego trafienia zwiêkszone o 2%[n]Krytyczne obra¿enia zwiêkszone o 10%[n]Zmniejsza prawdopodobieñstwo otrzymania krytycznego trafienia o 1%[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts232e	Bliska obrona 5[n] Daleka obrona 3[n] Odpornoœæ na magie 1[n] Zmniejsza prawdopodobieñstwo, ¿e zostaniesz og³uszony[n] Chroni przed negatywnymi efektami 2 poziomu z prawdopodobieñstwem 10%[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts233e	Bliska obrona 13[n] Daleka obrona 13[n] Odpornoœæ na magie 13[n] Maksymalne P¯ zwiêkszone o 200[n] Maksymalne PM zwiêkszone o 200[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts234e	Bliska obrona 7[n] Daleka obrona 3[n] Unik 2[n] Zmniejsza prawdopodobieñstwo otrzymania krytycznego trafienia o 2%[n] Krytyczne obra¿enia zmniejszone o 20%[n]Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts235e	Bliska obrona 5[n] Daleka obrona 3[n] Odpornoœæ na magie 5[n] Unik 5[n] Obrona zwiêkszona o 15[n] Atak zwiêkszony o 15[n]Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts236e	Bliska obrona 1[n] Daleka obrona 2[n] Odpornoœæ na magie 14[n] Z prawdopodobieñstwem 8% zmniejsza magiczne ataki o 4%[n] Z prawdopodobieñstwem 8% zmniejsza dalekie ataki o 4%[n]Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts237e	Bliska obrona 12[n] Bardzo ogranicza prawdopodobieñstwo wyst¹pienia krwawienia[n] Morale zwiêkszone o 5[n]Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts238e	Bliska obrona 2[n] Daleka obrona 10[n] Odpornoœæ na magie 3[n] Zwiêksza o 70 obra¿enia przeciwko diab³om wysokiego poziomu[n] Przeznaczony dla Wojownika, £ucznika lub Maga[n] Po za³o¿eniu nie mo¿na przekazaæ innej osobie[n]
zts239e	Plecak podró¿nika (10 dni)
zts240e	Nie u¿ywane
zts241e	Plecak podró¿nika (30 dni)
zts242e	Plecak podró¿nika (60 dni)
zts243e	Plecak partnera (10 dni)
zts244e	Plecak partnera (30 dni)
zts245e	Plecak partnera (60 dni)
zts246e	Kosz NosKumpla (10 dni)
zts247e	Kosz NosKumpla (30 dni)
zts248e	Kosz NosKumpla (60 dni)
zts249e	Plecak (10dni)
zts250e	Plecak (30 dni)
zts251e	Plecak (60 dni)
zts252e	5 b³ogos³awieñ Ereni
zts253e	10 b³ogos³awieñ Ereni
zts254e	B³ogos³awieñstwo Anio³a Stró¿¹ 10szt
zts255e	10 b³ogos³awieñstw Zenas
zts256e	Zestaw b³ogos³awieñstw 5szt
zts257e	Zestaw b³ogos³awieñstw 10szt
zts258e	Trwa³y wznawiaj¹cy kupon (40 sztuk)
zts259e	Kupon do³adowywania trwa³oœci (99 sztuk)
zts260e	Kupon podwójnej nagrody (10 sztuk)
zts261e	Kupon na punkty produkcji (10 sztuk)
zts262e	Kupon na punkty produkcji (30 sztuk)
zts263e	Tajemnicze pude³ko A
zts264e	Tajemnicze pude³ko B
zts265e	Tajemnicze pude³ko C
zts266e	[n]
zts267e	Przywróæ po prostu znowu wa¿noœæ
zts268e	Mo¿e zostaæ u¿yty, jeœli skorzysta siê z przycisku w oknie produkcji 'U¿yj kupon'[n] Jeden kupon zwiêksza wa¿noœæ o 300[n]
zts269e	Podwój nagrodê Mini-Gier!
zts270e	Jeœli posiadasz kupony w swoim ekwipunku, zostaniesz zapytany czy chcesz je u¿yæ.[n] Jeœli je u¿yjesz, dostaniesz podwójn¹ nagrodê z wybranego przedmiotu.[n]
zts271e	Produkuj tyle ile chcesz!
zts272e	Punkty produkcji Reaktywator (10 sztuk)
zts273e	Punkty produkcji zostan¹ zwiêkszone o 500, jeœli u¿yjesz 1 kupon[n] Maksymalny limit punktów produkcji to 2000[n]
