zts1e	Attaque spéciale
zts101e	L'élément Feu diminue de %s.
zts102e	L'élément Eau augmente de %s.
zts103e	L'élément Eau diminue de %s.
zts104e	L'élément Lumière augmente de %s.
zts105e	L'élément Lumière diminue de %s.
zts106e	L'élément Obscurité augmente de %s.
zts107e	L'élément Obscurité diminue de %s.
zts108e	La force de défense est modifiée.
zts109e	Toutes les forces de défense sont modifiées.
zts110e	La défense d'attaque rapprochée est modifiée.
zts111e	La défense d'attaque à distance est modifiée.
zts112e	La défense magique est modifiée.
zts113e	Le niveau de défense est modifié.
zts114e	Toutes les défenses augmentent de %s.
zts115e	Toutes les défenses diminuent de %s.
zts116e	La défense d'attaque rapprochée augmente de %s.
zts117e	La défense rapprochée diminue de %s.
zts118e	La défense à distance augmente de %s.
zts119e	La défense à distance diminue de %s.
zts120e	La défense magique augmente de %s.
zts121e	La défense magique diminue de %s.
zts122e	Le niveau de défense augmente de %s.
zts123e	Le niveau de défense diminue de %s.
zts124e	L'esquive et la force de défense sont modifiées en pourcentage.
zts125e	Toutes les esquives sont modifiées.
zts126e	L'esquive des attaques rapprochées est modifiée.
zts127e	L'esquive des attaques à distance est modifiée.
zts128e	La force de défense est modifiée en pourcentage.
zts129e	L'esquive augmente de %s.
zts130e	L'esquive diminue de %s.
zts131e	L'esquive des attaques rapprochées augmente de %s.
zts132e	L'esquive des attaques rapprochées diminue de %s.
zts133e	L'esquive des attaques à distance augmente de %s.
zts134e	L'esquive des attaques à distance diminue de %s.
zts135e	La défense augmente de %s%%.
zts136e	La défense diminue de %s%%.
zts137e	La défense est modifiée.
zts138e	Toutes les formes de défense sont modifiées.
zts139e	La défense contre les attaques rapprochées est modifiée.
zts140e	La défense contre les attaques à distance est modifiée.
zts141e	La défense contre les attaques magiques est modifiée.
zts142e	Avec une probabilité de %s %%, les dégâts de toutes les attaques augmentent de %s %%.
zts143e	Avec une probabilité de %s %%, les dégâts de toutes les attaques diminuent de %s %%.
zts144e	Avec une probabilité de %s%%, les dégâts provoqués par attaque rapprochée augmentent de %s%%.
zts145e	Avec une probabilité de %s%%, les dégâts provoqués par attaque rapprochée diminuent de %s%%.
zts146e	Avec une probabilité de %s%%, les dégâts provoqués par attaque à distance augmentent de %s%%.
zts147e	Avec une probabilité de %s%%, les dégâts provoqués par attaque à distance diminuent de %s%%.
zts148e	Avec une probabilité de %s%%, les dégâts provoqués par attaque magique augmentent de %s%%.
zts149e	Avec une probabilité de %s%%, les dégâts provoqués par attaque magique diminuent de %s%%.
zts150e	L'absorption est modifiée.
zts151e	Toutes les absorptions sont modifiées.
zts152e	L'absorption d'attaque rapprochée est modifiée.
zts153e	L'absorption d'attaque à distance est modifiée.
zts154e	L'absorption magique est modifiée.
zts155e	Toutes les attaques inférieures au niveau (+%s) causent %s%% de dégâts en plus.
zts156e	Toutes les attaques inférieures au niveau (+%s) causent %s%% de dégâts en moins.
zts157e	Toutes les attaques rapprochées inférieures au niveau (+%s) provoquent %s%% de dégâts en plus.
zts158e	Toutes les attaques rapprochées inférieures au niveau (+%s) provoquent %s%% de dégâts en moins.
zts159e	Toutes les attaques à distance inférieures au niveau (+%s) provoquent %s%% de dégâts en plus.
zts160e	Toutes les attaques à distance inférieures au niveau (+%s) provoquent %s%% de dégâts en moins.
zts161e	Une attaque magique inférieure au niveau (+%s) provoque %s%% de dégâts en plus.
zts162e	Toutes les attaques magiques inférieures au niveau (+%s) provoquent %s%% de dégâts en moins.
zts163e	La résistance à l'élément est modifiée.
zts164e	Toutes les résistances sont modifiées.
zts165e	La résistance au Feu est modifiée.
zts166e	La résistance à l'Eau est modifiée.
zts167e	La résistance à la Lumière est modifiée.
zts168e	La résistance à l'Obscurité est modifiée.
zts169e	La résistance aux éléments augmente de %s.
zts170e	La résistance aux éléments diminue de %s.
zts171e	La résistance au Feu augmente de %s.
zts172e	La résistance au Feu diminue de %s.
zts173e	La résistance à l'Eau augmente de %s.
zts174e	La résistance à l'Eau diminue de %s.
zts175e	La résistance à la Lumière augmente de %s.
zts176e	La résistance à la Lumière diminue de %s.
zts177e	La résistance à l'Obscurité augmente de %s.
zts178e	La résistance à l'Obscurité diminue de %s.
zts179e	Les résistances de l'adversaire sont modifiées.
zts180e	Toutes les résistances de l'adversaire sont modifiées.
zts181e	La résistance au Feu de l'adversaire est modifiée.
zts182e	La résistance à l'Eau de l'adversaire est modifiée.
zts183e	La résistance à la Lumière de l'adversaire est modifiée.
zts184e	La résistance à l'Obscurité de l'adversaire est modifiée.
zts185e	Les résistances élémentaires de l'adversaire augmentent de %s.
zts186e	Les résistances élémentaires de l'adversaire diminuent de %s.
zts187e	La résistance au Feu de l'adversaire augmente de %s.
zts188e	La résistance au Feu de l'adversaire diminue de %s.
zts189e	La résistance à l'Eau de l'adversaire augmente de %s.
zts190e	La résistance à l'Eau de l'adversaire diminue de %s.
zts191e	La résistance à la Lumière de l'adversaire augmente de %s.
zts192e	La résistance à la Lumière de l'adversaire diminue de %s.
zts193e	La résistance à l'Obscurité de l'adversaire augmente de %s.
zts194e	La résistance à l'Obscurité de l'adversaire diminue de %s.
zts195e	Les dégâts sont modifiés.
zts196e	Tous les dégâts sont modifiés.
zts197e	Les dégâts d'attaque rapprochée sont modifiés.
zts198e	Les dégâts d'attaque à distance sont modifiés.
zts199e	Les dégâts magiques sont modifiés.
zts200e	Les dégâts subis par toutes les attaques augmentent de %s %%.
zts201e	Les dégâts subis diminuent de %s %%.
zts202e	Les dégâts d'attaque rapprochée augmentent de %s%%.
zts203e	Les dégâts d'attaque rapprochée diminuent de %s%%.
zts204e	Les dégâts d'attaque à distance augmentent de %s%%.
zts205e	Les dégâts d'attaque à distance diminuent de %s%%.
zts206e	Les dégâts d'attaque magique augmentent de %s%%.
zts207e	Les dégâts d'attaque magique diminuent de %s%%.
zts208e	Tout changement de focalisation est empêché et les attaques à distance sont esquivées à coup sûr.
zts209e	La focalisation est modifiée à coup sûr.
zts210e	L'esquive est à coup sûr modifiée en pourcentage.
zts211e	Il n'y a pas de pénalité pour les grandes distances.
zts212e	Plus la distance est grande, plus les dégâts sont importants.
zts213e	Avec une probabilité de %s%%, la cible est toujours atteinte.
zts214e	La cible est toujours évitée avec une probabilité de %s%%.
zts215e	Il n'y a pas de pénalité pour les attaques à distance trop proches.
zts216e	Plus la distance face à l'adversaire est grande, plus la force d'attaque à distance augmente.
zts217e	Le moral est modifié.
zts218e	La statistique du moral est modifiée.
zts219e	La statistique du moral est doublée.
zts220e	Il n'y a aucune conséquence sur le moral.
zts221e	Le temps de rechargement est modifié.
zts222e	Le moral est ignoré.
zts223e	Le moral augmente de %s.
zts224e	Le moral diminue de %s.
zts225e	La statistique du moral est doublée.
zts226e	La statistique du moral diminue de moitié.
zts227e	Il n'y a aucune conséquence sur la statistique du moral.
zts228e	Le temps de rechargement de la compétence augmente de %s%%.
zts229e	Le temps de rechargement d'une compétence utilisée diminue de %s %%.
zts230e	Le moral de l'opposant est ignoré pendant l'attaque.
zts231e	Opération
zts232e	La durée d'effet est modifiée.
zts233e	La consommation de MP est modifiée.
zts234e	La vitesse d'attaque est modifiée.
zts235e	L'effet échoue.
zts236e	L'effet est annulé.
zts237e	La durée d'effet augmente de %s%%.
zts238e	La durée d'effet diminue de %s%%.
zts239e	Les coûts en MP des compétences augmentent de %s%% (valable aussi pour la magie).
zts240e	Les coûts en MP des compétences diminuent de %s%% (valable aussi pour la magie).
zts241e	La vitesse d'attaque augmente de %s%%.
zts242e	La vitesse d'attaque diminue de %s%%.
zts243e	L'effet de la compétence échoue (valable aussi pour la magie).
zts244e	L'effet est interrompu (valable aussi pour la magie).
zts245e	Mouvement
zts246e	Les mouvement est interrompu.
zts247e	La vitesse de déplacement est modifiée.
zts248e	La vitesse de déplacement est modifiée.
zts249e	La vitesse de déplacement augmente/diminue.
zts250e	Tout déplacement est impossible.
zts251e	La vitesse de déplacement augmente de %s%%.
zts252e	La vitesse de déplacement diminue de %s%%.
zts253e	La vitesse de déplacement passe à %s.
zts254e	La vitesse de déplacement augmente de %s.
zts255e	La vitesse de déplacement diminue de %s.
zts256e	Réflexion
zts257e	Les HP sont modifiés en fonction du pourcentage de dégâts subis.
zts258e	Les MP sont modifiés en fonction du pourcentage de dégâts subis.
zts259e	Les HP sont modifiés en fonction du pourcentage de dégâts subis.
zts260e	Les MP sont modifiés en fonction du pourcentage de dégâts subis.
zts261e	Les HP augmentent à hauteur de %s%% des dégâts infligés.
zts262e	Les HP diminuent à hauteur de %s%% des dégâts subis.
zts263e	Les MP augmentent à hauteur de %s%% des dégâts subis.
zts264e	Les MP diminuent à hauteur de %s%% des dégâts provoqués.
zts265e	Les HP de l'adversaire augmentent à hauteur de %s%% des dégâts que je subis.
zts266e	Les HP de l'adversaire diminuent à hauteur de %s%% des dégâts que je subis.
zts267e	Les MP de l'adversaire augmentent à hauteur de %s%% des dégâts que je subis.
zts268e	Les MP de l'adversaire diminuent à hauteur de %s%% des dégâts que je subis.
zts269e	Absorber et dérober
zts270e	Les MP sont transformés en HP.
zts271e	Les HP sont transformés en MP.
zts272e	Les HP sont dérobés.
zts273e	Les MP sont dérobés.
zts274e	Les HP sont dérobés et les MP absorbés.
zts275e	Tu obtiens %s HP en consommant %s MP.
zts276e	Tu obtiens %s MP en consommant %s HP.
zts277e	Avec une probabilité de %s%%, l'adversaire reçoit %s HP.
zts278e	Avec une probabilité de %s %%, tu dérobes %s HP à l'adversaire.
zts279e	Avec une probabilité de %s%%, l'adversaire reçoit %s MP.
zts280e	Avec une probabilité de %s %%, tu dérobes %s MP à l'adversaire.
zts281e	%s MP de l'adversaire sont convertis en HP de l'adversaire.
zts282e	%s HP de l'adversaire sont convertis en MP pour toi.
zts283e	Guérir/brûler et faire effet
zts284e	Guérison HP/Brûlure
zts285e	Brûlure/Guérison MP
zts286e	Pendant la durée d'effet, les HP sont modifiés.
zts287e	En cas de concentration perturbée, les HP sont modifiés.
zts288e	Tous les HP nécessaires pour provoquer l'effet sont transformés en MP.
zts289e	%s HP sont rétablis.
zts290e	Les HP diminuent de %s.
zts291e	%s MP sont rétablis.
zts292e	Les MP diminuent de %s.
zts293e	Durant l'effet, %s HP sont rétablis.
zts294e	Durant l'effet, %s HP sont perdus.
zts295e	En cas d'interruption du sort, %s HP sont récupérés.
zts296e	En cas d'interruption du sort, %s HP sont perdus.
zts297e	%s%% des HP sont rétablis lorsque des MP sont consommés.
zts298e	Les HP diminuent à hauteur de %s %% des MP consommés.
zts299e	Les HP/MP sont modifiés.
zts300e	Les HP restants sont modifiés.
zts301e	Les MP restants sont modifiés.
zts302e	Les HP progressifs sont modifiés.
zts303e	Les MP progressifs sont modifiés.
zts304e	Obtention supplémentaire de HP/MP
zts305e	%s%% des HP perdus sont rétablis.
zts306e	Les HP restants diminuent de %s%%.
zts307e	%s%% des MP perdus sont rétablis.
zts308e	Les MP restants diminuent de %s%%.
zts309e	%s HP sont restaurés.
zts310e	Les HP diminuent de %s.
zts311e	%s MP sont restaurés.
zts312e	Les MP diminuent de %s.
zts313e	Tu obtiens %s HP en plus sans dépasser %s%% de tes HP maximums.
zts314e	Tu obtiens %s MP en plus sans dépasser %s%% de tes MP maximums.
zts315e	Procédé spécial
zts316e	Dégâts spéciaux
zts317e	Une attaque critique spéciale est probable.
zts318e	Les dégâts contre %s augmentent de %s.
zts319e	Lorsqu'un joueur est attaqué par %s, les dégâts diminuent de %s.
zts320e	La probabilité d'un coup critique contre %s augmente de %s.
zts321e	Lorsqu'un joueur est attaqué par %s, la probabilité d'un coup critique diminue de %s.
zts322e	Buff
zts323e	Appliquer/annuler un buff
zts324e	Immunité contre certains groupes de buff
zts325e	Le transfert d'un buff permet de passer à un certain niveau.
zts326e	Immunité spéciale
zts327e	Dissoudre un certain groupe
zts328e	Il y a une probabilité de %s %% de causer [%s].
zts329e	Il y a une probabilité de %s%% de supprimer : %s.
zts330e	La probabilité d'empêcher un effet négatif est élevée.
zts331e	Les objets alentours supérieurs au niveau %s bénéficient de : %s.
zts332e	Les objets alentours inférieurs au niveau %s bénéficient de : %s.
zts333e	La force de résistance contre un certain effet se développe.
zts334e	Les effets sont levés pour un certain groupe.
zts335e	Les effets du poison sont contrés pour une certaine cible ou un certain groupe.
zts336e	Invocations
zts337e	Invocations de mort
zts338e	Invocations de monstre
zts339e	Invocations de leurre d'entraînement
zts340e	Invocations de temps
zts341e	Invocations de fantôme
zts342e	Après la mort, %s monstres sur %s sont invoqués.
zts343e	Avec une probabilité de %s%%, %s est invoqué après la mort.
zts344e	Invoque %s fois : %s.
zts345e	Il y a une probabilité de %s%% d'invoquer : %s.
zts346e	%s monstres sur %s sont invoqués (mannequin d'entraînement).
zts347e	Il y a une probabilité de %s%% d'invoquer : %s (mannequin d'entraînement).
zts348e	%s monstres sur %s sont invoqués (disparaissent au bout d'un certain temps).
zts349e	Il y a une probabilité de %s%% d'invoquer : %s (disparaît au bout d'un certain temps).
zts350e	Un fantôme est invoqué avec %s MP de %s monstres.
zts351e	Avec une probabilité de %s%%, un fantôme doté de %s MP est invoqué.
zts352e	Effets spéciaux
zts353e	Cri
zts354e	L'attaque non prioritaire est modifiée.
zts355e	Gueule de bois
zts356e	Mode PvP
zts357e	Tu n'es plus en retrait.
zts358e	Les HP de l'adversaire qui t'a vaincu diminuent de %s%%.
zts359e	Les HP de l'adversaire qui t'a vaincu augmentent de %s%%.
zts360e	Il y a une probabilité de %s%% de passer à l'attaque prioritaire.
zts361e	Il y a une probabilité de %s%% de passer à l'attaque non prioritaire.
zts362e	ça baragouine.
zts363e	Combattre des joueurs en mode PvP est possible.
zts364e	Un corps flou apparaît.
zts365e	Capturer
zts366e	Capturer des animaux
zts367e	Capture des animaux de niveau inférieur au tien pour en faire tes familiers.
zts368e	Attribut spécial : dégâts et explosion
zts369e	Explosion de flamme
zts370e	Explosion environnante
zts371e	Attaque environnante
zts372e	Avec une probabilité de %s%%, une explosion provoque %s de dégâts.
zts373e	L'explosion provoque dans un périmètre de %s champs %s points de dégâts.
zts374e	Avec une probabilité de %s%%, tu infliges des dégâts dans %s champs alentours.
zts375e	Effets spéciaux 2
zts376e	Moquerie
zts377e	Téléportation
zts378e	Buff de l'arme principale
zts379e	Buff de l'arme secondaire
zts380e	Mauvais compagnon
zts381e	L'attention de ton adversaire se fixe sur toi.
zts382e	L'attention de ton adversaire n'est plus fixée sur toi.
zts383e	Tu te téléportes dans un rayon de %s champs.
zts384e	Avec une probabilité de %s%%, l'arme principale provoque : %s.
zts385e	Avec une probabilité de %s%%, l'arme secondaire provoque : %s.
zts386e	Certains groupes de monstres te prennent pour un ami.
zts387e	Calcul de niveau
zts388e	Niveau d'attaque 0
zts389e	Niveau de défense 0
zts390e	Niveau d'attaque calculé 0
zts391e	Niveau de défense calculé 0
zts392e	Récupération
zts393e	Le rétablissement des HP est modifié.
zts394e	Le rétablissement des MP est modifié.
zts395e	Le rétablissement des HP augmente de %s.
zts396e	Le rétablissement des HP diminue de %s.
zts397e	Le rétablissement des MP augmente de %s.
zts398e	Le rétablissement des MP diminue de %s.
zts399e	HP/MP maximums
zts400e	Les HP maximums sont modifiés.
zts401e	Les MP maximums sont modifiés.
zts402e	Les HP maximums augmentent de %s.
zts403e	Les HP maximums diminuent de %s.
zts404e	Les MP maximums augmentent de %s.
zts405e	Les MP maximums diminuent de %s.
zts406e	La force d'attaque est multipliée.
zts407e	La force d'attaque totale est multipliée.
zts408e	La force d'attaque rapprochée est multipliée.
zts409e	La force d'attaque à distance est multipliée.
zts410e	La force d'attaque magique est multipliée.
zts411e	La force d'attaque est multipliée par %s.
zts412e	La force d'attaque est divisée par %s.
zts413e	La force d'attaque rapprochée est multipliée par %s.
zts414e	La force d'attaque rapprochée est divisée par %s.
zts415e	La force d'attaque à distance est multipliée par %s.
zts416e	La force d'attaque à distance est divisée par %s.
zts417e	La force d'attaque magique est multipliée par %s.
zts418e	La force d'attaque magique est divisée par %s.
zts419e	La force de défense est multipliée.
zts420e	Toutes les forces de défense sont multipliées.
zts421e	La défense d'attaque rapprochée est multipliée.
zts422e	La défense d'attaque à distance est multipliée.
zts423e	La défense magique est multipliée.
zts424e	Toutes les défenses sont multipliées par %s.
zts425e	Toutes les défenses sont divisées par %s.
zts426e	La défense d'attaque rapprochée est multipliée par %s.
zts427e	La défense d'attaque rapprochée est divisée par %s.
zts428e	La défense d'attaque à distance est multipliée par %s.
zts429e	La défense d'attaque à distance est divisée par %s.
zts430e	La défense magique est multipliée par %s.
zts431e	La défense magique est divisée par %s.
zts432e	Compétences du cercle de temps
zts433e	Rassemblement d'énergie
zts434e	Verrouillage des HP
zts435e	Verrouillage des MP
zts436e	Annuler tous les buffs
zts437e	Cet objet ne peut pas être utilisé.
zts438e	Rassemble %s points pour la prochaine attaque.
zts439e	Aucun HP n'est consommé.
zts440e	Les HP ne sont pas rétablis.
zts441e	Les MP ne sont pas consommés.
zts442e	Les MP ne sont pas rétablis.
zts443e	Tous les buffs sont annulés.
zts444e	Cet objet ne peut pas être utilisé.
zts446e	Rétablissement des HP en pourcentage
zts447e	Rétablissement des MP en pourcentage
zts448e	%s%% des HP sont rétablis.
zts449e	Les HP diminuent de %s%%.
zts450e	%s%% des MP sont rétablis.
zts451e	Les MP diminuent de %s%%.
zts452e	Décompte
zts453e	Après le décompte, invoque des monstres.
zts454e	Dès que les MP tombent à 0, %s monstres sur %s sont invoqués.
zts455e	Avec une probabilité de %s%%, %s est invoqué dès que les MP atteignent 0.
zts456e	Pas de défaite et pas de dégâts
zts457e	Pas de victoire et pas de défaite
zts458e	Aucun dégât n'est subi ou infligé.
zts459e	Pouvoir d'observation
zts460e	Les HP diminuent mais sans provoquer la mort.
zts461e	Les HP diminuent mais sans vaincre.
zts462e	Aucun dégât n'est jamais subi.
zts463e	Aucun dégât n'est jamais infligé.
zts464e	La force d'attaque de l'adversaire devient la tienne.
zts465e	Actions spéciales
zts466e	Bousculement
zts467e	Attirer
zts468e	Hâte
zts469e	Fuite
zts470e	Cachette
zts471e	Ton adversaire se retrouve propulsé %s champs en arrière.
zts472e	Tu attires l'attention des adversaires dans un rayon de %s champs.
zts473e	Tu assailles les adversaires dans un rayon de %s champs.
zts474e	Tu fuis l'adversaire.
zts475e	Furtivement
zts476e	Voir en cachette
zts477e	Changer de mode
zts478e	La portée est modifiée.
zts479e	Effet unique
zts480e	La vitesse d'attaque est modifiée.
zts481e	Le mode est modifié.
zts482e	Tu sautes sur d'autres monstres.
zts483e	La portée change de %s.
zts484e	La portée redevient normale.
zts485e	L'effet s'applique mais sans provoquer de dégâts.
zts486e	Des dégâts directs sont provoqués.
zts487e	Le temps d'attaque augmente de %s.
zts488e	Le temps d'attaque diminue de %s.
zts489e	Avec une probabilité de %s%%, le mode change.
zts490e	Il y a une probabilité de %s%% de déclencher : %s.
zts491e	Aucune valeur caractéristique
zts492e	Aucune valeur caractéristique
zts493e	Aucune valeur caractéristique du Feu
zts494e	Aucune valeur caractéristique de l'Eau
zts495e	Aucune valeur caractéristique de la Lumière
zts496e	Aucune valeur caractéristique de l'Obscurité
zts497e	Toutes les forces caractéristiques sont neutralisées.
zts498e	Toutes les résistances caractéristiques sont neutralisées.
zts499e	L'élément Feu est neutralisé.
zts500e	La résistance au Feu est neutralisée.
zts501e	L'élément Eau est neutralisé.
zts502e	La résistance à l'Eau est neutralisée.
zts503e	L'élément Lumière est neutralisé.
zts504e	La résistance à la Lumière est neutralisée.
zts505e	L'élément Obscurité est neutralisé.
zts506e	La résistance à l'Obscurité est neutralisée.
zts507e	Lumière et Obscurité
zts508e	Bouclier de mana
zts509e	Guérison
zts510e	Devenir mort-vivant
zts511e	Se cacher et attaquer
zts512e	%s%% des dégâts infligés sont guéris en utilisant des MP.
zts513e	%s%% des dégâts infligés sont absorbés, ce qui augmente les MP.
zts514e	Tous les effets négatifs jusqu'au niveau %s sont levés.
zts515e	Tous les effets positifs jusqu'au niveau %s sont levés.
zts516e	Les morts-vivants de niveau inférieur subissent des dégâts.
zts517e	Les morts-vivants de faible niveau sont guéris.
zts518e	Les attaques embusquées provoquent %s de dégâts en plus.
zts519e	Les attaques d'ennemis embusqués provoquent %s de dégâts en plus.
zts520e	Objet
zts521e	Les points d'EXP augmentent.
zts522e	L'attaque augmente.
zts523e	Objets abandonnés
zts524e	Les points d'EXP augmentent de %s %%.
zts525e	Toutes les attaques augmentent de %s%%.
zts526e	Pendant %s tours, tu fais tomber des objets à chaque fois que tu subis une attaque.
zts527e	Résistance au débuff
zts528e	Résistance anormale aux effets négatifs
zts529e	Résistance normal aux effets négatifs
zts530e	Résistance magique anormale
zts531e	Résistance au poison
zts532e	Résistance anormale contre les maladies
zts533e	Au-dessous du niveau %s, la probabilité de subir un effet négatif augmente de %s%%.
zts534e	Jusqu'au niveau %s inclus, la probabilité de ne jamais subir un effet négatif est de %s %%.
zts535e	Au-dessous du niveau %s, la probabilité de subir un effet négatif normal augmente de %s%%.
zts536e	Au-dessous du niveau %s, la probabilité de ne jamais subir un effet négatif normal est de %s%%.
zts537e	Au-dessous du niveau %s, la probabilité de subir un effet négatif magique augmente de %s%%.
zts538e	Au-dessous du niveau %s, la probabilité de ne jamais subir un effet négatif magique est de %s%%.
zts539e	Au-dessous du niveau %s, la probabilité de subir un effet très toxique augmente de %s%%.
zts540e	Au-dessous du niveau %s, la probabilité de ne jamais subir un effet très toxique est de %s%%.
zts541e	Au-dessous du niveau %s, la probabilité de subir un effet maladif est de %s%%.
zts542e	Au-dessous du niveau %s, la probabilité de ne jamais subir d'effet maladif est de %s%%.
zts543e	Comportement spécial
zts544e	Téléportation aléatoire
zts545e	Bondis sur une zone.
zts546e	Tout le monde alentour est contaminé.
zts547e	Tu te téléportes vers un lieu aléatoire sur la carte.
zts548e	Bondis sur tout objet dans un rayon de %s champs.
zts549e	Inflige %s à notre équipe dans un rayon de %s.
zts550e	Inflige %s à nos adversaires dans un rayon de %s.
zts551e	Quête
zts552e	Donneur de quête
zts553e	Les monstres sont invoqués selon les règles.
zts554e	Rétablissement et dégâts en pourcentage
zts555e	Dégâts en pourcentage
zts556e	Les HP de l'adversaire diminuent de %s%%.
zts557e	Les dégâts diminuent les HP de %s%%.
zts558e	Les environs sont transformés.
zts559e	%s se transforme en %s.
zts560e	Objet payé
zts561e	La puissance du parchemin est accordée.
zts562e	L'or est multiplié.
zts563e	Les gains en or augmentent de %s%%.
zts564e	Les HP maximums sont modifiés en pourcentage (en utilisant uniquement un buff).
zts565e	Les MP maximums sont modifiés (en utilisant uniquement un buff).
zts566e	Les HP maximums augmentent de %s%%.
zts567e	Les HP maximums diminuent de %s%%
zts568e	Les MP maximums augmentent de %s%%.
zts569e	Les MP maximums diminuent de %s%%.
zts570e	Toutes les défenses augmentent de %s%%.
zts571e	La deuxième carte de spécialiste.
zts572e	Poser la bombe
zts573e	Déclencher la bombe
zts574e	Des explosifs sont placés pendant l'attaque.
zts575e	Les environs sont détruits.
zts576e	Tu invoques une bombe. Après une nouvelle activation, la bombe est déclenchée.
zts577e	Tu invoques 3 mines de feu.
zts578e	Souffle sacré
zts579e	L'attaquant est sous l'effet d'un buff.
zts580e	Les compétences des adversaires qui ne se servent pas de l'élément Lumière diminuent.
zts581e	L'attaquant est touché avec une probabilité de %s%% grâce à la compétence %s.
zts582e	Amélioration de la carte de spécialiste
zts583e	Parchemin protecteur SP inférieur
zts584e	Parchemin protecteur SP supérieur
