zts1e	НосВилль
zts281e	Библиотека Куарри
zts282e	Туманный лес
zts283e	Пещера памяти
zts284e	Обочина
zts285e	Дремучий лес
zts286e	Водопад
zts287e	Скрытая земля
zts288e	Перед храма
zts289e	Мистический храм
zts290e	Ок. Куриная ферма
zts291e	Скальная пещера
zts292e	Волчье логово
zts293e	Деревня Олорун
zts294e	Мукраш
zts295e	Северный пляж
zts296e	Порт Моритиуса
zts297e	Южный пляж
zts298e	Лесная тропа
zts299e	Лесной утес
zts300e	Окр. Леса Духов
zts301e	Лес Духов
zts302e	Ферма Олорун
zts303e	Логово Зверя
zts304e	Загрязненный путь
zts305e	Загрязненный лес
zts306e	Трон. зал Белиала
zts307e	Небесная башня 1
zts308e	Небесная башня 2
zts309e	Небесная башня 3
zts310e	Небесная башня 4
zts311e	Небесная башня 5
zts312e	Лес Короля Духов
zts313e	Святая Мария
zts314e	Логово Короля Зв.
zts16530e	Зал Нб
zts16531e	Верхн. уровень Нб
