zts1e	Odpoèinek
zts226e	Na pár sekund protivník oslepne #13#10 V této dobì nejsou moné útoky zdálky
zts227e	Teleport
zts228e	Teleportuje tì na místo v urèitém rozmezí okolí
zts229e	Zákeønı úder
zts230e	Zesílenı útok pøidáním elementu ohnì a ztráty vìdomí
zts231e	Zesílenı úder
zts232e	Zvyšuje útoènou sílu a míru zásahu Švihnutí.
zts233e	Zesílená støela z praku
zts234e	Zvyšuje útok a dostøel
zts235e	Zvıšenı útok
zts236e	Zlepšuje útok praku zdálky
zts237e	Silnı rotující úder zpùsobí protivníkovi další poškození
zts238e	Krvácení
zts239e	Pøidává element ohnì a zpùsobuje malá krvácení pøi pouití nìkolikanásobného úderu
zts240e	Intenzivní energickı kolík
zts241e	Pøidává energickı kolík a element vody a zvyšuje magickı útok
zts242e	Zesílené bodnutí meèem
zts243e	Zvyšuje útok zblízka seknutí meèem
zts244e	Mistrovské seknutí meèem
zts245e	Seknutí nièící rostliny
zts246e	Zlepšuje útok zblízka proti rostlinám s vysokou úrovní
zts247e	Vylepšené støílení z kuše
zts248e	Zvyšuje útok zdálky pøi støílení z kuše
zts249e	Ïábelská støela
zts250e	Extrémní poškození
zts251e	Pouitím elementu ohnì je moné zvıšit poškození na dvojnásobek
zts252e	V kombinaci s kritickım zásahem zpùsobuje velké poškození
zts253e	Spojuje zuøivı úder s elementem ohnì
zts254e	Zesílenı zuøivı úder
zts255e	Zvyšuje útoènou sílu zblízka a míru zásahu Zuøivého úderu.
zts256e	Mistrovskı zuøivı úder
zts257e	Zvyšuje útok zblízka
zts258e	Pøesná cílená støela
zts259e	Zvyšuje šanci na kritickı zásah u Úderu pomsty.
zts260e	Útok Kovolta
zts261e	Útok je soustøedìnı hlavnì na slabiny Kovolta, aby mu byla zpùsobena smrtelné újma.
zts262e	Pøidává úderu pomsty element vody
zts263e	Zesílená energie meèe
zts264e	Posiluje energii meèe, aby se zvıšil útok zblízka.
zts265e	Nárùst dosahu
zts266e	Zvyšuje dosah meèe, aby se dosáhlo vìtší útoèné síly.
zts267e	Perfektní zásah
zts268e	Díky perfektnímu zásahu hvìzdného útoku se zvyšuje pravdìpodobnost pøivést protivníka do bezvìdomí
zts269e	Silná zemská vlna
zts270e	Zvyšuje útok zemské vlny
zts271e	Brutální zemská vlna
zts272e	Razantní náraz vìtru
zts273e	Zpùsobuje s urèitou pravdìpodobností protivníkovo bezvìdomí
zts274e	Pøidává nárazu vìtru element vody
zts275e	Oslabit protivníka
zts276e	Oslabuje protivníka na urèitou dobu po pouití dvojitého útoku
zts277e	Zlepšenı dvojitı útok
zts278e	Zvyšuje útok pøi dvojitém útoku
zts279e	Bouølivá støela
zts280e	Zvyšuje útok dynamické støely
zts281e	Pøímı zásah
zts282e	Pøi pouití dynamické støely utrpí protivník vdy poškození
zts283e	Zesílené nabíjení energie
zts284e	Zlepšuje útok zblízka pøi dobíjení energie
zts285e	Vylepšenı krvavı spolek
zts286e	Zvyšuje pravdìpodobnost úspìšnì zpùsobit krvácení
zts287e	Dosah bouøe
zts288e	Zvyšuje dosah bouølivého útoku
zts289e	Pøitahující vıstøel
zts290e	Zkusí pomocí zesmìšòující støely uvést na tebe protivníkovu pozornost
zts291e	Vylepšená lukostøelba
zts292e	Zvyšuje útoènou sílu zdálky pøi lukostøelbì
zts293e	Mistrovská lukostøelba
zts294e	Støela nièící rostliny
zts295e	Vylepšenı útok na vysokoúrovòové rostliny
zts296e	Zesílené bodnutí dıkou
zts297e	Zvyšuje útoèné bodnutí dıkou
zts298e	Smrtelné bodnuti dıkou
zts299e	Zvyšuje pravdìpodobnost zpùsobení kritického bodného zásahu dıkou
zts300e	Zesílená cílená støela
zts301e	Posiluje cílenou støelu díky pøidání elementu vody
zts302e	Zvyšuje útok zdálky díky cílené støele
zts303e	Díky pøesné støele na cíl se zvyšuje pravdìpodobnost kritického zasaení
zts304e	Monost zpùsobenou škodu zdvojnásobit.
zts305e	Provrtávající støela
zts306e	Kritické zásahy provrtávající støely zvyšují poškození
zts307e	Synchronní útok
zts308e	Zdvojnásobenı útok bìhem provedení skákající støely.
zts309e	Kovoltùv vıstøel
zts310e	Útok proti Kovoltovi zvıšen
zts311e	Zlepšenı razantní vıstøel
zts312e	Zlepšuje útok razantního vıstøelu
zts313e	Zesílenı déš z šípù
zts314e	Zlepšuje útok deštì šípù
zts315e	Dostøel
zts316e	Zvıší dostøel deštì z šípù
zts317e	Smrtelné bodnutí zpùsobí krvácení protivníka.
zts318e	Zesílené smrtelné bodnutí
zts319e	Zvıší útok smrtelného bodnutí.
zts320e	Zesílená bouøková rána
zts321e	Díky zlepšené bouøkové ránì se zvıší pravdìpodobnost protivníka paralyzovat.
zts322e	Útok se zvıší pomocí smrtelné støely.
zts323e	Zvyšování tempa
zts324e	Zrychlení tempa
zts325e	Zostøené sokolí oko
zts326e	Bìhem sokolího rituálu se zvıší útok.
zts327e	Lékaøské znalosti
zts328e	Léèba vysokoúrovòovıch otrávení
zts329e	Jed zpùsobující závratì
zts330e	Pouije jed zpùsobující závratì na jednoduchou dıku.
zts331e	Smrtelnı jed
zts332e	Pøidej k jednoduché dıce smrtelnı jed.
zts333e	Tlaèit
zts334e	Zatlaè tvého nepøítele zpìt.
zts335e	Silnı energickı kolík
zts336e	Zvıší magickı útok energického kolíku.
zts337e	Zvıší dostøel energického kolíku.
zts338e	Zaèarovaná støela
zts339e	Zlepší útok kouzelné zbranì.
zts340e	Magie na znièení rostlin
zts341e	Ohnivá exploze
zts342e	Zpùsobuje ohnivou explozi pomocí ohnivého kolíku.
zts343e	Mocnı ohnivı kolík
zts344e	Zlepšuje útok ohnivého kolíku.
zts345e	Mráz
zts346e	Zmrazí protivníka pouitím ledového kolíku.
zts347e	Ledovı blesk
zts348e	Zesílí útok ledového kolíku
zts349e	Nadpøirozená raketa
zts350e	Zvıší útok magické rakety.
zts351e	Rozšíøenı rádius
zts352e	Rozšíøí dolet magické rakety.
zts353e	Enormní ohnivı sloup
zts354e	Zvıší útok ohnivého sloupu.
zts355e	Mohutné tornádo
zts356e	Zvıší útok tornáda
zts357e	Zlepší obnovení
zts358e	Zlepší HP obnovení
zts359e	Odebrání HP
zts360e	Zvıší úroveò pùsobení HP absorpce
zts361e	Potácet se
zts362e	Meteor
zts363e	Obklièující útok
zts364e	Obklièující útok 2
zts365e	Lepkavı sliz
zts366e	Obklopení ztrátou vìdomí
zts367e	Plive silnı lepkavı sliz
zts368e	Pøivolat horníky
zts369e	Pøivolat horníky 2
zts370e	Pøivolat horníky 3
zts371e	Silnı úder okolo sebe (Kenko)
zts372e	Pøehodit pøes ruku
zts373e	Pokousat
zts374e	Ledová bouøe
zts375e	KuruKoarenova toèitá rána
zts376e	Akuku Kennelùv úprk
zts377e	HuruKenko útok na okolí
zts378e	elví útok na okolí
zts379e	Kletba temné èarodìjnice
zts380e	Povel k útoku krvavé èarodìjnice
zts381e	Povel k útoku od madam
zts382e	Ruka mrtvé dámy
zts383e	Kennelùv útok
zts384e	Útok lvího vlka
zts385e	Útok nízkoúrovòovıch pøíšer
zts386e	Zašpinìnı boing
zts387e	Pøivábení pavouèího krále
zts388e	Útok na okolí pavouèího krále
zts389e	Kulluk Kinks útok na okolí
zts390e	Kulluk Kins kıchání
zts391e	Ohnivá koule prachové smrti
zts392e	Talent Catlotte
zts393e	Talent Catrishas 1
zts394e	Talent Catrishas 2
zts395e	Silnı NPC útok
zts396e	Talent Catlottes
zts397e	Uzdravení enšena
zts398e	Plošnı útok enšena
zts399e	Osvícení Castry
zts400e	Pøièarovat kouø
zts401e	Brekot Slade
zts402e	Støelec kamenù Slade
zts403e	Pouij základní magii
zts404e	Útok obrovského èerného pavouka
zts405e	Pavuèina obrovského èerného pavouka
zts406e	Základní útok Slade
zts407e	Pouít teleportování
zts408e	Úprk Mandry
zts409e	Útok eleznım kladivem
zts410e	Útok lavinou
zts411e	Útok pavoukù
zts412e	Atak èernıch meteoritù
zts413e	Rychlá støela lukostøelce Smrtihlava
zts414e	Lukostøelec Smrtihlav - silná støela
zts415e	Útok kladiva Smrtihlav
zts416e	Ohnivá bouøka smrtelného prachu
zts417e	Nešikovnı senzaèní stráník zombie
zts418e	Quest pozorovatel
zts419e	Polštáøová bitva
zts420e	Hra s mrtvımi tìly
zts421e	Spát
zts422e	Znudìnı
zts423e	Leet vodorovnì
zts424e	Cvièení stlaní
zts425e	Èas na èaj
zts426e	Hrát na tamburínu
zts427e	Opøít o tebe
zts428e	Odpus mi
zts429e	Èíst knihy
zts430e	Obouruèní útok meèem
zts431e	Základní útok smìlého váleèníka.
zts432e	Trojitı úder
zts433e	Díky zvıšené útoèné síle zblízka utrpí protivník trojnásobné poškození.
zts434e	Kùe z oceli
zts435e	Doèasnì zvyšuje Tvou obrannou sílu.
zts436e	Vìtrná smrš
zts437e	Moc tvého meèe zpùsobí prudkou vìtrnou smrš.
zts438e	Provokace
zts439e	Pøitahuje na tebe pozornost okolních nepøátel.
zts440e	Ultimativní úder
zts441e	Nìkolik protivníkù v jedné øadì bude probodnuto tvım meèem.
zts442e	Zastrašení
zts443e	Zastraší tvé nepøátele zastrašujícím vıkøikem.
zts444e	Èím vyšší je rozdíl úrovní mezi tebou a nepøítelem, tím niší je pùsobení.
zts445e	Zlomení ramene
zts446e	Vrhneš se na svého bezbranného protivníka, abys ho zranil cílenım úderem pancíøe tvého levého ramene.
zts447e	Povzbuzení
zts448e	Vydáš ze sebe povzbuzující vıkøik, abys zlepšil morálku sebe a své skupiny.
zts449e	Zemskı šok
zts450e	Soustøeïuje energii tvého meèe, aby se zemì tøásla a tvoji protivníci utrpìli tìká poškození.
zts451e	Létající drak
zts452e	Díky síle a talentu draka vyuiješ toèitı úder tvého meèe a zpùsobíš fatální poškození.
zts453e	Díky tomu obdríš mocnou a nièivou sílu.
zts454e	Úder meèem
zts455e	Základní útok váleèníka Ninja.
zts456e	Køíové seknutí
zts457e	Šermuješ meèem dokola a zpùsobíš protivníkovi váné poškození.
zts458e	Energická èepel
zts459e	Pouhım seknutím tvého meèem mùeš roztít zemi a znièit i vzdálené protivníky.
zts460e	Útok øetìzy
zts461e	Trojitı útok, kterı zmate protivníka a tím ho vyøadí z boje.
zts462e	Ochrana èepele
zts463e	Abys zvıšil svoji sílu, pøemìníš útoènou sílu tvého protivníka na svou vlastní energii.
zts464e	Bouølivı úder meèem
zts465e	Bouølivı útok meèem na tvé protivníky jim zpùsobí váná poranìní.
zts466e	Útok rychlosti svìtla
zts467e	Pohyb dopøedu s rychlım útokem
zts468e	Duchovní rozjímání
zts469e	V hluboké meditaci se zotavíš jak duševnì, tak fyzicky a nabudeš novıch sil.
zts470e	Smrtící rána
zts471e	Soustøedit veškerou energii a trefit jedno místo krátkou ranou
zts472e	Ostrá hrana
zts473e	Ostøí tvùj zrak
zts474e	Tanèící meè
zts475e	Nech svùj meè letìt, aby zabil nepøítele
zts476e	Sokolí útok
zts477e	Vyuívá sokolí pøesnost k útoku se zvıšenou mírou zásahu.
zts478e	Prùstøel hlavy
zts479e	Zpùsobuje kritické poškození díky cílené støele do hlavy.
zts480e	Vìtrnı bìec
zts481e	Na urèitou dobu zvıší tvou rychlost.
zts482e	Úder blesku
zts483e	Tvùj protivník bude úderem záøivého blesku oslepenı a nemùe zaèít protiútok.
zts484e	Trojitı šíp
zts485e	Tato schopnost bude pouita pro zranìní a poškození nìkolika protivníkù jednou støelou.
zts486e	Zvıšení dosahu
zts487e	Zvyšuje dosah tvıch útokù zdálky.
zts488e	Spirálovitı blesk
zts489e	Zpùsobuje kadému protivníkovi, kterı se s tímto bleskem dostane do styku, fatální poškození.
zts490e	Blesková exploze
zts491e	Blesky náhodnì udeøí  v tvém pøímém okolí.
zts492e	Rychlé zotavení
zts493e	Sniuje dobu útlumu schopností na urèitı èas.
zts494e	Bouøka
zts495e	Tak jako bouøka dopadají tvé šípy na nepøítele.
zts496e	Útok dıkou
zts497e	Základní útok zabijáka na zakázku
zts498e	Kritickı zásah
zts499e	Zvyšuje pravdìpodobnost zpùsobení kritického zásahu.
zts500e	Krvavı zásah
zts501e	Zlomyslnı útok na protivníka, kterı mùe zpùsobit smrtelné krvácení.
zts502e	Hustá mlha
zts503e	Vytvoøí Hustou mlhu, která sniuje nepøátelùm míru zásahu.
zts504e	Hodit hák na øetìzu
zts505e	Hodí hák øetìzu, aby bylo moné stáhnout protivníka na zem pøed tebe.
zts506e	Skokem se vyhneš útoku
zts507e	Pokud se útoku úspìšnì vyhneš, mùe se tvoje energie zase lehce zvıšit
zts508e	Tomahawk
zts509e	Ostøílet protivníka kopími
zts510e	Stín
zts511e	Díky temnému stínu se mùeš skrytì pohybovat pøed nepøáteli. Po útoku na protivníka se tento stín rozplyne.
zts512e	Toèité seknutí
zts513e	Velmi rychlé toèité seknutí dıkou, které zpùsobí tvému protivníkovi hluboké rány.
zts514e	Smrtelné seknutí
zts515e	Zesiluje pøídavnı útok, aby zpùsobil smrtelné poškození.
zts516e	Je moné toho bìhem schopnosti stínu efektivnì vyuít.
zts517e	Bomba
zts518e	Uskoèí a nechá vybouchnout pod nohama protivníka bombu.
zts519e	Stejná funkce jako potácení
zts520e	Talent èerveného mága
zts521e	Nièivı poár
zts522e	Zpùsobí malı vıbuch, kterı protivníka poškodí
zts523e	Ohnivı dech
zts524e	Protivník bude spálen ohnivım dechem
zts525e	Mana transfúze
zts526e	Pøemìní urèitou èást tvého HP na MP
zts527e	Ohnivá bouøe
zts528e	Spálí protivníka mohutnou ohnivou bouøí
zts529e	Ohnivé kopí
zts530e	Zakleje silné ohnivé kopí, aby znièil protivníka
zts531e	Poehnání ohnì
zts532e	Zlepšuje ohnivou energii a zvyšuje odolnost proti ohni
zts533e	Ohnivá stìna
zts534e	Zakleje ohnivou stìnu, která zpùsobí protivníkovi poškození.
zts535e	Déš meteoritù
zts536e	Na protivníka spadne silnı déš meteoritù
zts537e	Inferno
zts538e	Mohutnı ohnivı sloup, kterı zpùsobí zanikání gravitace.
zts539e	Zásah meteoritem
zts540e	Pøivolá velkı meteorit, kterı znièí protivníka a všechno okolo
zts541e	Svatı útok
zts542e	Svatá ohnivá koule pro napadení nepøátel.
zts543e	Speciální kouzlo, které nespotøebuje ádné MP
zts544e	Uzdravení
zts545e	Uzdraví vybranou postavu
zts546e	Svaté svìtlo
zts547e	Z nebe svítí svaté svìtlo a poškozuje tvé protivníky
zts548e	Mana štít
zts549e	Vytvoøí magickı štít pro tvou ochranu
zts550e	Píseò nebe
zts551e	Tvoji protivníci ztratí na urèitou dobu chu bojovat
zts552e	Efekt uzdravení
zts553e	Odstraní všechny škodlivé kletby, které máš na sobì ty a tvoji èlenové
zts554e	Pøemìna nemrtvıch
zts555e	Nemrtví obdrí kritické poškození
zts556e	Skupinové uzdravení
zts557e	Obnoví zase HP tvıch spoleèníkù
zts558e	Svatá zbraò
zts559e	Poehná na urèitou dobu tvoji zbraò elementem svìtla
zts560e	Poehnání
zts562e	Svaté kladivo
zts563e	Z nebe spadne svaté kladivo a zpùsobí tvım protivníkùm velké škody
zts564e	Láska (Alt + Q)
zts565e	Pozdrav (Alt + W)
zts566e	Úsmìv (Alt + E)
zts567e	Zasmání (Alt + R)
zts568e	Stydìní (Alt + T)
zts569e	Hehe (ALT + Y)
zts570e	Oooh (Alt + U)
zts571e	Aaach (Alt + I)
zts572e	V rozpacích (Alt + O)
zts573e	Vítìzství (Alt + P)
zts574e	Coe? (Alt + A)
zts575e	Dìláš si ze mì srandu? (Alt + S)
zts576e	Potøeba (Alt + D)
zts577e	Stud (Alt + F)
zts578e	Rozzuøenı (Alt + G)
zts579e	Zaplatím (Alt + H)
zts580e	Mám tì (Alt + J)
zts581e	Odráet (Alt + K)
zts582e	Slzy (Alt + L)
zts583e	Pláè (Alt + Z)
zts584e	Vzlykot (Alt + X)
zts585e	Vypálit (Alt + C)
zts586e	nervózní chlapec (Alt + V)
zts587e	nervózní dívka (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Hmmz (Alt + M)
zts590e	Zklamání (Alt + ,)
zts591e	Jericoo - toèité kopnutí
zts592e	Upgrade
zts594e	Minimální a maximální poškození pøi útocích zblízka se zvyšuje o 18 (kadé), obrana v boji zblízka se zvyšuje o 9
zts595e	Minimální a maximální poškození pøi útocích zdálky se zvyšuje o 18 (kadé), obrana v boji zdálky se zvyšuje o 9, rychlost pøi útocích zblízka se zvyšuje o 18 a útocích zdálky se zvyšuje o 36, skrèení pøi útocích zblízka a zdálky se zlepšuje o 18 (kadé)
zts596e	[Vysoké] zvıšení inteligence
zts597e	Zvyšuje magickou obranu o 10
zts598e	[Mistrovské] zvıšení inteligence
zts599e	Zvyšuje dlouhodobì HP o 250
zts600e	Zvyšuje dlouhodobì MP o 250
zts601e	[Vysoce] efektivní útoèná síla
zts602e	Minimální a maximální poškození pøi útocích zblízka a zdálky se zvyšuje o 14 (kadé)
zts603e	[Mistrovská] efektivní útoèná síla
zts604e	[Vysoká] sebeobrana
zts605e	Zvyšuje obranu v boji zblízka, zdálky, magickou obranu o 12
zts606e	[Mistrovská] sebeobrana
zts607e	Zvyšuje obnovení HP o 100
zts608e	Zvyšuje obnovení MP o 100
zts609e	Pøirozené uzdravení
zts610e	Se stylovım efektem
zts611e	Posiluje schopnosti - zvyšuje energii
zts612e	Lesklá èepel
zts613e	Tornádo Upgrade 2
zts614e	Upgrade síly magické kulky
zts616e	Bouølivá sráka
zts617e	Zesílenı odpor proti elementu
zts618e	Náhlı útok
zts619e	Omamná støela
zts620e	Vıbušná støela
zts621e	Ohnivı šíp
zts622e	Lesklı šíp
zts623e	Zaútoèit na slabá místa
zts624e	Ledová stìna
zts625e	Spravedlnost svìtla
zts626e	Magma zóna
zts627e	Magickı paprsek
zts628e	Dech poraeného
zts629e	Skok slepièího krále
zts630e	Vıkøik slepièího krále
zts631e	Zvyšuje na urèitou dobu obranu a odolnost blízkıch spoleèníkù.
zts632e	Chrání pøed kritickımi zásahy
