zts1e	Nouvel objet
zts77e	Arc du vent
zts78e	Cet arc a été créé par un ancien savant spécialisé dans l'étude des vents.[n]La force d'attaque est renforcée par la puissance du vent.[n][n]
zts79e	Arc à corne
zts80e	Cet arc très prisé est orné d'une corne.[n][n]
zts81e	Arc en cuir
zts82e	Cet arc a été fabriqué avec du cuir de vache.[n]Il permet de provoquer des dégâts critiques.[n][n]
zts83e	Arc de chasse
zts84e	Extrêmement stable, cet arc de chasse traditionnel est particulièrement adapté pour la chasse au gibier.[n][n]
zts85e	Arc du courage
zts86e	Cette arme est parfaite pour les Archers courageux.[n]L'ajout de l'élément Feu augmente les dégâts.[n][n]
zts87e	Arc long
zts88e	Cet objet se différencie des arcs traditionnels par sa longueur.[n][n]
zts89e	Arc en bronze
zts90e	Cet arc a été conçu avec des plaques en bronze[n]pour augmenter la force de défense.[n][n]
zts91e	Arc de l'esprit
zts92e	Cet arc est renforcé par le pouvoir des esprits.[n]Toutes les forces élémentaires augmentent.[n][n]
zts93e	Baguette magique d'apprenti
zts94e	Il s'agit d'un cadeau pour les apprentis Sorcier.[n]Les Aventuriers ne peuvent pas utiliser cette arme.[n][n]
zts95e	Baguette magique à perle rouge
zts96e	Cette baguette magique sobre est surmontée d'une grosse perle rouge.[n][n]
zts97e	Baguette magique de l'esprit
zts98e	Le pouvoir mystérieux de la perle bleue exalte la force magique de cette baguette magique afin d'augmenter tes MP.[n][n]
zts99e	Baguette magique à rubis
zts100e	Cette baguette magique est très prisée des jeunes mages pour son gros rubis.[n][n]
zts101e	Baguette magique enchantée
zts102e	Le pouvoir d'une poudre mystérieuse accorde à cette arme des compétences spéciales qui facilitent les attaques magiques.[n][n]
zts103e	Baguette magique à perle bleue
zts104e	La pointe de cette baguette magique est décorée d'une perle bleue.[n][n]
zts105e	Baguette magique de la Lumière
zts106e	Une mystérieuse lumière enveloppe cette arme et renforce ton attaque, tout en améliorant ta régénération.[n][n]
zts107e	Baguette magique à opale
zts108e	Ornée d'opales, cette baguette magique a un aspect incomparable.[n][n]
zts109e	Baguette magique créatrice de mana
zts110e	Tes réserves et ta régénération de MP augmentent.[n][n]
zts111e	Baguette magique à corail
zts112e	Cette baguette magique est décorée d'un corail qui vient des grands fonds de l'océan.[n][n]
zts113e	Baguette magique de l'honneur
zts114e	Seuls les Sorciers vénérables sont autorisées à utiliser cette baguette magique contre les forces du mal.[n][n]
zts115e	Baguette magique à cristal
zts116e	La brillance glaciale du cristal luxueux qui sertit cette arme inspire une peur incontrôlable à tes adversaires.[n][n]
zts117e	Baguette magique de l'intelligence
zts118e	Cet objet purifie l'âme de son propriétaire grâce à la force des éléments, augmentant ainsi ses MP et HP.[n][n]
zts119e	Baguette magique de l'Obscurité
zts120e	Possédée par des pouvoirs obscurs, cette baguette magique peut avoir des conséquences désastreuses pour tes adversaires.[n][n]
zts121e	Gants en cuir
zts122e	Ces gants en cuir souple augmentent la force d'attaque à distance.[n][n]
zts123e	Gants durables
zts124e	Cet objet empêche l'arme de te glisser des mains. [n]La force d'attaque rapprochée augmente.[n][n]
zts125e	Chaussures d'Aventurier
zts126e	Cet objet est réservé aux Aventuriers.[n][n]
zts127e	Chaussures à talons hauts
zts128e	Cet objet est d'excellente qualité.[n][n]
zts129e	Chaussures en cuir
zts130e	Ces chaussures sont en cuir.[n][n]
zts131e	Patin à roulettes
zts132e	Cet objet te permet de filer à toute vitesse.[n]À l'origine, il était prévu pour danser.[n][n]
zts133e	Épée de maître
zts134e	Cette épée est utilisée par les Aventuriers expérimentés.[n][n]
zts135e	Catapulte du maître
zts136e	Les Aventuriers expérimentés utilisent cette arme une fois leur apprentissage terminé.[n][n]
zts137e	Arbalète d'apprenti
zts138e	Il s'agit d'une arme secondaire pour les apprentis Épéistes.[n][n]
zts139e	Arbalète en chêne
zts140e	Cette arbalète solide est faite en bois de chêne.[n][n]
zts141e	Arbalète féérique
zts142e	Il s'agit de l'arbalète du gardien de la forêt. Elle garantit une précision élevée.[n][n]
zts143e	Gants fins
zts144e	Cet objet est inutilisable.[n][n]
zts145e	Gants en caoutchouc
zts146e	Ce sont des gants imprégnés.[n]Ils permettent de porter facilement des choses lourdes.[n][n]
zts147e	Arbalète d'acier
zts148e	Il s'agit d'une arbalète en acier lourde. La force d'attaque augmente.[n][n]
zts149e	Arbalète magistrale
zts150e	Cette arbalète luxueuse et parfaitement équilibrée est le chef-d'œuvre d'un forgeron renommé.[n][n]
zts151e	Arbalète de l'Obscurité
zts152e	Nourrie de pouvoirs sombres, cette arbalète ordinaire offre une bonne prise.[n][n]
zts153e	Arbalète en hêtre
zts154e	La fabrication à partir de bois de hêtre accélère le chargement de cette arme.[n][n]
zts155e	Arbalète du courage
zts156e	Les esprits des nobles Épéistes, qui brandissaient jadis cette arme, augmentent le moral de son propriétaire.[n][n]
zts157e	Dague d'apprenti
zts158e	Cette arme secondaire est destinée aux apprentis Archers.[n][n]
zts159e	Dague
zts160e	Cette dague anodine est en acier.[n][n]
zts161e	Dague de torture
zts162e	Dans les situations critiques, cette dague augmente la probabilité de provoquer un coup critique.[n][n]
zts163e	Dague noble
zts164e	Cette dague sertie de pierres précieuses est dotée d'une force d'attaque considérablement plus élevée.[n][n]
zts165e	Dague magistrale
zts166e	Cette dague luxueuse et parfaitement équilibrée est le chef-d'œuvre d'un forgeron renommé.[n][n]
zts167e	Dague en laiton
zts168e	Une dague ordinaire en laiton[n][n]
zts169e	Dague à rubis
zts170e	Cette dague ornée de rubis fait la fierté de tout Archer.[n][n]
zts171e	Dague de l'esprit
zts172e	Grâce aux pouvoirs de l'esprit, cette dague peut améliorer tous les éléments.[n][n]
zts173e	Arme enchantée d'apprenti
zts174e	Cette arme secondaire est destinée aux apprentis Sorciers.[n][n]
zts175e	Petite arme enchantée
zts176e	Cette arme, petite et pas très puissante, est idéale pour les novices dans le domaine de la magie.[n][n]
zts177e	Arme enchantée magique
zts178e	Cette arme dotée d'une puissante magie blanche ne laisse aucune chance à la magie noire destructrice.[n][n]
zts179e	Arme enchantée dorée
zts180e	Son ornement doré est très prisé des mages.[n][n]
zts181e	Arme enchantée chef-d'œuvre
zts182e	Cette arme est le chef-d'œuvre d'un forgeron de renom. Son extrême stabilité et sa force d'attaque permettent de lancer de puissantes attaques contre ton adversaire.[n][n]
zts183e	Arme enchantée en laiton
zts184e	Cette épée en laiton est une arme certes lourde, mais aussi très robuste.[n][n]
zts185e	Noble arme enchantée
zts186e	Les nobles Sorciers privilégient cette arme, car elle renforce les attaques magiques.[n][n]
zts187e	Arme enchantée de l'Obscurité
zts188e	Cette arme puissante inflige des dégâts dévastateurs aux adversaires.[n][n]
zts189e	Armure d'apprenti Épéiste
zts190e	Cet objet fait partie de l'équipement basique de tout Épéiste.[n][n]
zts191e	Armure rembourrée
zts192e	Cette armure rembourrée offre une faible force de défense.[n][n]
zts193e	Armure molletonnée
zts194e	Grâce à ces nombreuses couches en coton,[n]cet objet est à la fois léger et chaud.[n][n]
zts195e	Armure en cuir
zts196e	Cette armure est en cuir tanné.[n][n]
zts197e	Armure d'endurance
zts198e	La force et l'endurance augmentent.[n][n]
zts199e	Armure en cuir à boulons
zts200e	Cette armure en cuir est renforcée grâce à des plaques de métal.[n]Sa force de défense n'est pas très prononcée.[n][n]
zts201e	Armure en cuir améliorée
zts202e	Cette armure est faite d'une double couche de cuir tanné[n]pour assurer une force de défense incroyable tout en privilégiant la légèreté.[n][n]
zts203e	Armure à écailles
zts204e	Cet objet a été fabriqué avec des écailles métalliques.[n][n]
zts205e	Armure du moral
zts206e	Cette armure renforce ton moral.[n][n]
zts207e	Armure de plaques
zts208e	Cette armure est faite de plaques en acier.[n][n]
zts209e	Armure à rivets dorée
zts210e	Cette superbe armure est ornée de rivets dorés.[n]Elle est peut-être très lourde, mais au moins elle te permet d'augmenter considérablement ta défense magique.[n][n]
zts211e	Brigandine
zts212e	Cette armure est faite de plaques d'acier plus denses que celles de l'armure de plaques.
zts213e	Armure du courage
zts214e	La force d'attaque augmente.[n][n]
zts215e	Tunique pour apprenti Archer
zts216e	Cet objet fait partie de l'équipement basique de tout Archer.[n][n]
zts217e	Tunique en cuir d'agneau
zts218e	Il s'agit d'une tunique en cuir d'agneau.[n][n]
zts219e	Tunique en velours
zts220e	Il s'agit d'un matériau en imitation daim très confortable.[n]La probabilité de coups critiques augmente légèrement pour toutes les armes.[n][n]
zts221e	Tunique en cuir de chèvre
zts222e	Il s'agit d'une tunique en cuir de chèvre.[n][n]
zts223e	Tunique d'évasion
zts224e	Cette tenue est si légère et si confortable que tu auras l'impression de ne pas porter d'armure du tout.[n]Tu deviens plus rapide et tu peux esquiver les attaques rapprochées plus facilement.[n][n]
zts225e	Tunique en peau de veau
zts226e	Il s'agit d'une tunique en peau de veau.[n][n]
zts227e	Tunique en daim
zts228e	Il s'agit d'une tunique confortable en cuir souple.[n]Les HP et MP sont rétablis.[n][n]
zts229e	Tunique en cuir de vache
zts230e	Il s'agit d'une tunique en cuir de vache.[n][n]
zts231e	Tunique d'œil d'aigle
zts232e	L'acuité visuelle étant meilleure, la force d'attaque augmente.[n][n]
zts233e	Tunique en pécari
zts234e	Il s'agit d'une tunique en cuir de cochon.[n][n]
zts235e	Tunique en nubuck
zts236e	Grâce au cuir de vache résistant,[n]tu es protégé en cas d'attaque rapprochée.[n][n]
zts237e	Tunique toscane
zts238e	Cet objet est doublé d'une fourrure douce.[n][n]
zts239e	Tunique spectrale
zts240e	Cette tunique est protégée par des esprits et dispose d'une force de défense élevée.[n][n]
zts241e	Tenue d'apprenti Sorcier
zts242e	Cet objet fait partie de l'équipement basique de tout Sorcier.[n][n]
zts243e	Tenue en coton
zts244e	Cette tenue est en coton.[n][n]
zts245e	Tenue en coton magique
zts246e	Cet objet t'enveloppe de magie.[n]Les HP sont rétablis.[n][n]
zts247e	Robe en lin
zts248e	Cette tenue a été tissée avec finesse.[n]Elle permet de bloquer les attaques à distance.[n][n]
zts249e	Tenue de récupération
zts250e	Ton esprit est plus focalisé.[n]Les MP sont rétablis et les attaques rapprochées bloquées.[n][n]
zts251e	Robe en tweed
zts252e	Il s'agit d'une robe au tissu solide,[n]idéale pour la défense rapprochée et résistante au feu.[n][n]
zts253e	Robe en lin améliorée
zts254e	Faite de lin et de coton, cette tenue augmente la résistance.[n]Elle a aussi l'avantage d'esquiver les coups en attaque rapprochée.[n][n]
zts255e	Robe en mousseline
zts256e	Cette robe est à la fois légère, chaude et élastique.[n][n]
zts257e	Robe élémentaire
zts258e	Toutes les résistances élémentaires augmentent.[n][n]
zts259e	Robe en soie
zts260e	Il s'agit d'une tenue luxueuse en soie.[n][n]
zts261e	Robe à carreaux
zts262e	Ses motifs inhabituels renforcent les effets magiques.[n][n]
zts263e	Robe à chevrons
zts264e	Le motif élégant donne un air intellectuel.[n][n]
zts265e	Robe des ténèbres
zts266e	Ceux qui t'attaquent sont damnés.[n][n]
zts267e	Manteau du vieil aventurier
zts268e	Les anciens Aventuriers l'adorent.[n][n]
zts269e	Masque de Kovolt (maître de jeu)
zts270e	Glaive
zts271e	Cette courte épée est faite pour les Gladiateurs.[n]Elle booste le moral et renforce la probabilité de provoquer des dégâts critiques.[n][n]
zts272e	Épée wallonne
zts273e	Cette épée sobre est faite en acier.[n][n]
zts274e	Sabre viking
zts275e	Ce sabre imprégné d'une énergie obscure est fait pour les Guerriers intrépides.[n][n]
zts276e	Machette
zts277e	Les combattants qui utilisent cette épée voient leur moral boosté.[n][n]
zts278e	Katzbalger
zts279e	La probabilité de coups critiques et les dégâts augmentent.[n][n]
zts280e	Épée de chevalier
zts281e	Cette lame réservée aux preux chevaliers est dotée de l'énergie d'une puissante lumière.[n][n]
zts282e	Épée assassine
zts283e	Ses pouvoirs obscurs infligent des dégâts critiques à l'adversaire.[n][n]
zts284e	Arc de la vie
zts285e	Cet arc a beau être mince, il peut provoquer des dégâts critiques.[n][n]
zts286e	Arc de flammes
zts287e	Cet arc est doté de l'élément Feu.[n][n]
zts288e	Arc synthétique
zts289e	Il s'agit d'un arc aussi robuste que mortel.[n][n]
zts290e	Arc double
zts291e	En faisant appel à l'élément Lumière, les attaques de cet arc provoquent des dégâts supplémentaires.[n][n]
zts292e	Arc féroce
zts293e	Cet objet est imprégné d'une énergie obscure qui rend intrépide.[n][n]
zts294e	Grand arc
zts295e	En faisant appel à l'élément Eau, cet arc provoque des dégâts extrêmes.[n]
zts296e	Arc de siège
zts297e	Cette arme augmente les dégâts critiques en faisant entrer en jeu l'élément Feu.[n][n]
zts298e	Baguette magique de la vie
zts299e	L'objet donne un second souffle d'énergie vitale au personnage.[n][n]
zts300e	Baguette magique de flamme
zts301e	Cet objet augmente l'élément Feu, mais diminue l'élément Eau.[n][n]
zts302e	Baguette magique de glace
zts303e	L'énergie de l'Eau concentrée dans cette baguette fait de cette dernière une puissante arme.[n][n]
zts304e	Baguette magique de Loon
zts305e	Cette baguette est imprégnée de magie pour provoquer plus de dégâts.[n][n]
zts306e	Baguette magique
zts307e	Cette baguette magique puise sa force de deux sources d'énergie qui consomment considérablement tes MP.[n][n]
zts308e	Baguette magique sacrée
zts309e	Les pouvoirs sacrés augmentent la résistance contre le mal et accordent des forces hors du commun aux Sorciers qui usent d'une magie pure.[n][n]
zts310e	Baguette magique de l'âme
zts311e	Le pouvoir de l'âme protège le détenteur de cette arme.[n][n]
zts312e	Arbalète de combat
zts313e	Cette arbalète funeste a été conçue spécialement pour le combat.[n][n]
zts314e	Arbalète de siège
zts315e	Cette arme tire des flèches imprégnées de l'élément Feu.[n][n]
zts316e	Dague de montagnard
zts317e	Cette dangereuse dague permet d'infliger un coup critique avec une forte probabilité.[n][n]
zts318e	Dague poignard
zts319e	Cette dague est imprégnée d'une énergie sinistre.[n][n]
zts320e	Arme enchantée normale
zts321e	Cette arme enchantée a une étonnante force d'attaque.[n][n]
zts322e	Arme enchantée en bronze
zts323e	Cette arme enchantée dispose de la force de l'élément Eau.[n][n]
zts324e	Armure de sécurité
zts325e	Cette armure est particulièrement robuste.[n][n]
zts326e	Armure en cuir robuste
zts327e	Cette armure augmente la force de défense et la résistance au Feu.[n][n]
zts328e	Armure de vainqueur
zts329e	Cet objet peut parer les attaques à distance.[n][n]
zts330e	Armure du gardien
zts331e	Les dégâts provoqués par attaque rapprochée diminuent.[n][n]
zts332e	Armure de chevalier
zts333e	Cette armure de chevalier permet d'esquiver et de bloquer les attaques.[n][n]
zts334e	Armure en pierre
zts335e	Cette armure spéciale peut absorber et bloquer les dégâts.[n][n]
zts336e	Tunique éclair
zts337e	La défense d'attaque à distance et la défense magique sont renforcées.[n][n]
zts338e	Tunique nature
zts339e	Cette tunique chargée de l'énergie de la nature augmente les HP et MP.[n][n]
zts340e	Tunique en cuir de requin
zts341e	Cet objet bloque les attaques rapprochées et les attaques magiques.[n][n]
zts342e	Tunique du souffle
zts343e	Cet objet est imprégné du souffle de la mort.[n][n]
zts344e	Tunique du vent
zts345e	Cet objet bloque toutes les attaques.[n][n]
zts346e	Tunique des dryades
zts347e	Cet objet renferme des forces élémentaires et de la résistance.[n]La consommation de MP est réduite.[n][n]
zts348e	Robe d'apprenti
zts349e	Cet objet renforce la défense d'attaque rapprochée et à distance.[n][n]
zts350e	Robe souple
zts351e	Cet objet bloque les attaques à distance.[n][n]
zts352e	Tenue de la clarté
zts353e	Résistant au feu, cet objet est aussi idéal pour se défendre contre les attaques rapprochées.[n][n]
zts354e	Robe à motif
zts355e	Cet objet confère une résistance à l'Eau et à la Lumière.[n][n]
zts356e	Tunique magique
zts357e	La consommation de MP diminue pour le joueur qui lance le sort.[n][n]
zts358e	Tunique de la source
zts359e	Toutes les attaquent ont une certaine probabilité d'être bloquées.[n][n]
zts360e	Amulette du niveau d'attaque
zts361e	Amulette du niveau de défense
zts362e	Amulette du niveau d'attaque et de défense
zts363e	Amulette de la force d'attaque
zts364e	Amulette de défense
zts365e	Amulette de guérison
zts366e	Amulette de résistance au Feu
zts367e	Amulette de résistance à la Lumière
zts368e	Amulette de résistance à l'Eau
zts369e	Amulette de résistance à l'Obscurité
zts370e	Amulette de résistance
zts371e	Amulette du coup critique
zts372e	Amulette des dégâts critiques
zts373e	Amulette d'absorption physique
zts374e	Amulette d'absorption magique
zts375e	Amulette d'absorption d'attaques à distance
zts376e	Amulette d'absorption de toute attaque
zts377e	Amulette de blocage physique
zts378e	Amulette de blocage magique
zts379e	Amulette de blocage d'attaque à distance
zts380e	Ruban
zts381e	Ta tête est protégée la tête des attaques violentes.[n][n]
zts382e	Chapeau doux
zts383e	Il s'agit d'un chapeau tout doux.[n][n]
zts384e	Feuilles pour camouflage
zts385e	Ça ne semble pas très utile...[n][n]
zts386e	Protection auditive antimandragore
zts387e	Cet objet serre bien les oreilles.[n]Cet objet protège avec une certaine probabilité du cri de mandragore.[n][n]
zts388e	Chapeau hippopotame
zts389e	Ce chapeau hippopotame est très doux.[n]Il te protège avec une forte probabilité contre les syncopes.[n][n]
zts390e	Lunettes à la mode
zts391e	Masque de Kovolt
zts392e	Ce masque te donne l'apparence d'un Kovolt.[n]Si tu attaques un mineur kovolt, aucun autre Kovolt ne viendra t'attaquer.[n]
zts393e	Chapeau à ramure
zts394e	Les HP augmentent.[n]Cet objet protège avec une certaine probabilité du cri de mandragore.[n][n]
zts395e	Chapeau ventouse
zts396e	Ruban
zts397e	Cet objet protège avec une forte probabilité des saignements.[n][n]
zts398e	Antennes
zts399e	Bandeau de l'oracle
zts400e	Chapeau poisson polisson
zts401e	Casquette à plume
zts402e	Corne de kérabau
zts403e	Lunettes rectangulaires
zts404e	Masque clignotant
zts405e	Masque de frappeur
zts406e	Monocle
zts407e	Masque X
zts408e	Barbe et maquillage
zts409e	Amulette de blocage des attaques
zts410e	Amulette de l'élément Feu
zts411e	Amulette de l'élément Eau
zts412e	Amulette de l'élément Lumière
zts413e	Amulette de l'élément Obscurité
zts414e	Amulette de renforcement de l'énergie obscure
zts415e	Poussinet caracolant
zts417e	Poussinet danseur
zts418e	Poussinet furibond
zts419e	Amulette protectrice de pari (arme)
zts420e	Si tu portes cette amulette en perdant un pari,[n]tu perdras juste l'amulette au lieu de perdre ton arme.[n](L'objet est utilisable jusqu'à 3 fois.)[n][n]
zts421e	Amulette protectrice de pari (équipement)
zts422e	Si tu portes cette amulette en perdant un pari,[n]tu perdras juste l'amulette au lieu de perdre ton armure.[n](L'objet est utilisable jusqu'à 3 fois.)[n][n]
zts423e	Amulette de hausse du niveau de rareté
zts424e	Porte cet objet, au moment des paris, pour obtenir 1 niveau de rareté en plus.[n](Sans échec)[n][n]
zts425e	Amulette de renforcement d'arme à niveau fixe
zts426e	Cet objet peut renforcer ton arme de niveau fixe[n]selon la probabilité habituelle.[n]Tu peux aussi récupérer le niveau fixe.[n]Si le renforcement réussit, le niveau sera débloqué.[n][Attention][n]Si le renforcement échoue, l'objet peut disparaître.[n](L'objet peut être utilisé 2 fois.)[n][n]
zts427e	Amulette de renforcement d'armure
zts428e	Cet objet peut renforcer ton équipement de niveau fixe[n]selon la probabilité habituelle.[n]Tu peux aussi récupérer le niveau fixe.[n]Si le renforcement réussit, le niveau sera débloqué.[n][Attention][n]Si le renforcement échoue, l'objet peut disparaître.[n](L'objet peut être utilisé 2 fois.)[n][n]
zts429e	Épée d'Elvin
zts430e	Cette épée est enveloppée d'une aura sacrée.[n][n]
zts431e	Sabre glorieux
zts432e	Dotés de l'ensemble des éléments et des résistances, ce sabre est une arme de choix pour tout Épéiste.[n][n]
zts433e	Épée élémentaire brisée
zts434e	L'attaque causée par cette épée diminue la résistance élémentaire de l'adversaire et les dégâts provoqués par des coups critiques.[n][n]
zts435e	Arc rouge
zts436e	Tu absorbes les HP de ton adversaire.[n]La force d'attaque rapprochée augmente.[n][n]
zts437e	Arc de la paix
zts438e	Le pouvoir de la nature augmente les dégâts.[n][n]
zts439e	Arc majestueux
zts440e	Les éléments protègent le détenteur de cette arme contre les dégâts provoqués par attaque magique.[n][n]
zts441e	Baguette magique légendaire
zts442e	Cette baguette magique maîtrise l'élément Feu et dérobe l'âme de ses adversaires.[n][n]
zts443e	Baguette magique du fantôme
zts444e	Dotée d'une incroyable puissance spirituelle, cette baguette élimine toute résistance élémentaire chez l'adversaire et transforme même sa force élémentaire en énergie pour renforcer son détenteur.[n][n]
zts445e	Baguette magique majestueuse
zts446e	Les héros pleins de sagesse portent cette arme pour se protéger.[n][n]
zts447e	Tenue bleue du sage
zts448e	Robe d'essai
zts449e	Solaris
zts450e	Cet adorable familier renforce la force d'attaque de son propriétaire de 30 % en faisant appel au pouvoir de l'élément Lumière.[n][n]
zts451e	Sellaim
zts452e	La fée du Feu grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts453e	Woondine
zts454e	La fée de l'Eau grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts455e	Épérial
zts456e	La fée de la Lumière grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts457e	Turik
zts458e	La fée de l'Obscurité grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts459e	Grande Sellaim
zts460e	Grande Woondine
zts461e	Grande Épérial
zts462e	Grande Turik
zts463e	Amulette de la bénédiction
zts465e	Amulette protectrice
zts467e	Amulette de renforcement
zts468e	Cet objet peut renforcer l'équipement de niveau fixe. [n]Par contre, l'objet ne protège pas de la destruction, un parchemin protecteur d'équipement est donc nécessaire. Cet objet s'utilise habituellement pour les armes et l'équipement.[n]L'objet peut être utilisé 3 fois.[n][n]
zts469e	Perle de familier
zts470e	Cet objet te permet[n]de placer ton NosMate dans une perle[n]que tu peux stocker dans ton inventaire[n]ou dans ton entrepôt.[n]Les NosMates placés dans des perles[n]peuvent être échangés[n]entre joueurs.[n][n][Mode d'emploi][n]Choisis ton NosMate et double-clique[n]sur la perle.[n][n][Attention][n]Quand un NosMate[n]est placé dans une perle,[n]son nom disparaît. Si le niveau de ton NosMate[n]est plus élevé que le tien,[n]tu peux le libérer dans[n]ton minipays, mais tu ne peux pas[n]l'emmener en mission.[n][n]
zts471e	Perle de partenaire
zts472e	Cet objet te permet[n]de placer ton partenaire dans une perle[n]que tu peux stocker dans ton inventaire[n]ou dans ton entrepôt.[n]Les partenaires placés dans des perles[n]peuvent être échangés[n]entre joueurs.[n][n][Mode d'emploi][n]Choisis ton partenaire et double-clique[n]sur la perle.[n][n][Attention][n]Quand un partenaire[n]est placé dans une perle,[n]son nom disparaît. Si le niveau de ton partenaire[n]est plus élevé que le tien,[n]tu peux le libérer dans[n]ton minipays, mais tu ne peux pas[n]l'emmener en mission.[n][n]
zts473e	Boîte à carte de spécialiste
zts474e	Cet objet sert à stocker une carte de spécialiste.[n]L'objet est échangeable entre joueurs.[n][Mode d'emploi][n]Équipe-toi d'abord de la carte de spécialiste que tu veux stocker.[n]Double-clique sur la boîte pour te défaire de la carte de spécialiste et la placer à l'intérieur.[n]Pour la ressortir, double-clique à nouveau sur la boîte.[n][Remarque][n]Si la carte de spécialiste a encore des points de compétence non attribués, tu dois les répartir avant de pouvoir stocker la carte dans ta boîte.[n]La boîte disparaît quand tu en ressors la carte de spécialiste.[n][n]
zts475e	Amulette d'ouverture du NosMall
zts476e	Tranchoir
zts477e	Kriss
zts478e	Arbalète Winslet
zts479e	Arbalète Balenty
zts480e	Arme enchantée paff
zts481e	Arme enchantée de la Lumière
zts482e	Regard du gardien
zts483e	Robe de lumière
zts484e	Défenseur brave
zts485e	Défenseur splendide
zts486e	Surin
zts487e	Cette puissante épée peut infliger de lourds dégâts.[n][n]
zts488e	Arc de pouvoir
zts489e	Selon les monstres visés, cet arc peut provoquer de lourds dégâts.[n][n]
zts490e	Baguette magique de Kai
