zts1e	Лучший Сервис
zts34e	Дай кличку своему животному!
zts35e	Ошейник с именем питомца
zts36e	Дай Кличку твоему домашнему животному. Исчезает после использования.
zts37e	Дай имя твоему домашнему животному.
zts38e	5 ошейников с кличками для НосМэйтов
zts39e	Дай имя твоему животному. Купи набор из 5 значков для твоего животного.
zts40e	Для благородного животного
zts41e	3 лучших корма для питомцев
zts42e	Лояльность животного становится максимальной. Дополнительное повышение уровня. Может быть использовано, если уровень животного на 5 уровней ниже, чем у игрока. (Если игрок находится на 50 уровне, уровень животного может быть повышен до 45-го уровня).
zts43e	Следи за своим здоровьем
zts44e	Лекарство партнера
zts45e	Доверие животного становится максимальным. Дополнительное повышение уровня на 1 уровень. Может быть использовано, если уровень животного на пять уровней ниже, чем у игрока. (Если игрок находится на 50-ом уровне, уровень животного может быть повышен до 45 уровня).
zts46e	Не оставляй твой животное одно
zts47e	Жемчужина питомца
zts48e	С помощью этого предмета ты можешь поместить своего питомца в жемчужину и положить ее в инвентарь или на склад.[n]Питомцев в жемчужинах можно передавать другим игрокам.[n][Внимание][n]Уровни атаки и защиты питомца сохранятся, а имя питомца сотрется, когда ты поместишь его в жемчужину.[n]Если уровень питомца выше твоего, ты сможешь выпустить его в своей мини-стране, но не сможешь взять с собой.[n]
zts49e	Обменять своего питомца
zts50e	Жемчужина Хранения
zts51e	С помощью этого предмета ты можешь поместить своего НосПомощника в жемчужину и положить ее в инвентарь или на склад.[n]НосПомощников в жемчужинах можно передавать другим игрокам.[n][Инструкция][n]Выбери НосПомощника и дважды нажми на жемчужину.[n][Внимание][n]Уровни атаки и защиты НосПомощника сохранятся, а имя питомца сотрется, когда ты поместишь его в жемчужину.[n]Если уровень НосПомощника выше твоего, ты сможешь выпустить его в своей мини-стране, но не сможешь взять с собой.[n]
zts52e	Давай обменяемся картами!
zts53e	Держатель для карт специалиста
zts54e	Может хранить OC карты.[n] Позволяет тебе обмениваться с другими игроками.[n] Уровень и опыт остаются прежними.[n]
zts55e	Экстра Пакет Специалистов
zts56e	Маленькое специальное устройтсво зарядки
zts57e	Восстанавливает ОЗ.[n]Также повышает количество ОС на 30 000.[n]
zts58e	Среднее специальное устройство подзарядки
zts59e	Восстанавливает ОЗ.[n]Также повышает количество ОС на 70 000.[n]
zts60e	Наилучший Пакет Специалистов
zts61e	Большое специальное устройство подзарядки
zts62e	Восстанавливает ОЗ/ОМ и снимает все негативные эффекты.[n]Также повышает количество ОС на 180 000.[n]
zts63e	Делает азартную игру безопасной!
zts64e	Амулет благославления Бога!
zts65e	Может быть использован 3 раза. Повышает вероятность успеха в споре на 10% и защищает оружие от промаха. Может использоваться для оружия и амуниции.
zts66e	Ставить ставку и не волноваться!
zts67e	Амулет Защиты Бога
zts68e	Дед Мороз
zts69e	Используй заново свою амуницию
zts70e	Амулет Усиления
zts71e	Может быть использован 3 раза. Может улучшать вооружение, даже при фиксированном уровне. Может использоваться для оружия и амуниции.
zts72e	Полная подзарядка, пожалуйста!
zts73e	99 большая полная настойка
zts74e	Купи 99 больших полных настоек.
zts78e	Такая настойка есть только здесь!
zts79e	70 вода из источника Силлоан
zts80e	Восстанавливает 3000 ОЗ/ОМ
zts84e	Я скучаю по тебе!
zts85e	10 крыльев дружбы
zts86e	Может тебя телепортировать к любому, кто зарегистрирован как твой друг. Может использоваться, если друг находится на обычном поле.  Для телепортации нажми просто на кнопку "двигаться" в вестнике.
zts87e	Украшает тебя и твоих партнеров!
zts88e	Воск A для мечников. Ты выглядишь так круто!
zts89e	Выше пример с мечником. [n]У лучников и магов свои прически.[n][n]Нам нравится отличаться друг от друга.  Такая же прическа? Нет, спасибо! Моя прическа уникальна, как и я.  Сделай из прически произведение искусства.[n]Искатели приключений не могут использовать этот предмет.
zts90e	Воск A для лучников. Ты прекраснее всех!
zts91e	Вот пример с лучником.[n]У мечников и магов свои прически.[n][n]Нам нравится отличаться друг от друга. Такая же прическа? Нет, спасибо! Моя прическа уникальна, как и я. Сделай из прически произведение искусства.[n]Искатели приключений не могут использовать этот предмет.
zts92e	Воск для волос Волшебника А, Ты самый лучший!
zts93e	Выше пример с магом. [n]У мечников и лучников свои прически.[n][n]Нам нравится отличаться друг от друга.  Такая же прическа? Нет, спасибо! Моя прическа уникальна, как и я.  Сделай из прически произведение искусства.[n]Искатели приключений не могут использовать этот предмет.
zts94e	Классно смотришся!
zts95e	Воин-меченосец, Воск для волос В
zts96e	Выше пример с мечником. [n]У лучников и магов свои прически.[n][n]Нам нравится отличаться друг от друга.  Такая же прическа? Нет, спасибо! Моя прическа уникальна, как и я.  Сделай из прически произведение искусства.[n]Искатели приключений не могут использовать этот предмет.
zts97e	Воин-лучник, Воск для волос В!
zts98e	Волшебник, Воск для волос В!
zts99e	Новый цвет волос
zts100e	Красная краска для волос
zts101e	Окрашивает волосы в красный цвет.
zts102e	Измени цвет твоих волос!
zts103e	Светло-зеленая краска для волос
zts104e	Окрашивает волосы в зеленый цвет.[n]
zts105e	В каком ателье сделали тебе эту красоту?
zts106e	Белая краска для волос
zts107e	Окрашивает волосы в белый цвет.
zts108e	Самый модный цвет волос!
zts109e	Синяя краска для волос
zts110e	Окрашивает волосы в синий цвет.
zts111e	Подходит тебе очень!
zts112e	Черная краска для волос
zts113e	Окрашивает волосы в черный цвет.[n]
zts114e	Ты кто?
zts115e	Представление самого себя
zts116e	Напиши текст о себе, который будут видеть другие.[n](Его можно увидеть, нажав на персонажа правой кнопкой мыши)[n]Можно ввести до 60 букв[n]
zts117e	Это касается всех
zts118e	12 Громкоговоритель
zts119e	Отправь свое сообщение на весь сервер.[n]Оно будет отображено в окне чата.[n][Использование][n]Нажми дважды на рупор и введи сообщение в открывшемся окне.
zts120e	Важные слова должны долго оставаться в памяти у всех
zts121e	Поле для написания текста
zts122e	После создания выноски, она будет висеть над персонажем 30 минут.[n]Текст нельзя будет отредактировать, а выноска пропадет, когда ты выйдешь из игры.[n][Использование][n]Нажми дважды на выноску и введи сообщение в открывшемся окне.[n]Чтобы закрыть его, просто введи "$close" в том же окне.[n]Если ты введешь новое сообщение до закрытия окна, предыдущее сообщение исчезнет.
zts123e	Ты всегда хотел быть кем-то другим?
zts124e	Костюм для Боба
zts125e	Меняет внешний вид Боба[n]и повышает его скорость на 2.[n]При помещении партнера в жемчужину его костюм пропадает.[n]
zts126e	Понравилось ли тебе изменение внешности?
zts127e	Костюм для Тома
zts128e	Меняет внешний вид Тома[n]и повышает его скорость на 2.[n]При помещении партнера в жемчужину его костюм пропадает.[n]
zts129e	Собака с богатой родословной!
zts130e	Костюм для Клиффа
zts131e	Меняет внешний вид Клиффа[n]и повышает его скорость на 2.[n]При помещении партнера в жемчужину его костюм пропадает.[n]
zts132e	Повышает количество базовых ОС на 30 дней
zts133e	Медаль специалиста
zts134e	Хорошая ность для всех, кто становится Специалистом по крайней мере один час в день.[n][n] Ежедневные OC , будут 10.000 + 30.000.[n] И того в целом 40.000 пунктов. (Если они полностью не используются, экономятся 10%). Радуйся 40.000 каждый день в течении 30 дней.
zts135e	Подарок с секретного события партнеров
zts136e	Медаль Дружбы
zts137e	Медаль с секретного события партнеров.[n]При использовании повышает количество получаемых очков боевого и рабочего опыта на 5%. [n]При использовании его в группе с персонажами, у которых есть такая же медаль,[n]количество получаемых вами очков повышается еще на 5%. [n]Можно использовать в течение 10 дней.
zts138e	Я думал, это будет достаточно.
zts139e	99 Семян Власти
zts140e	Купи 99 Семя Власти.
zts141e	Куда пропало твое достоинство?
zts142e	3 настойки для повышения достоинства.
zts143e	Достоинство сново повышается до 100
zts144e	Делает улучшение и азартную игру безопасными!
zts145e	Свиток защиты экипировки
zts146e	Может улучшить предмет или повысить уровень редкости.[n]При неудаче предмет не исчезнет.[n]Уровень редкости предмета не понизится. [n]Улучшение предмета и повышения уровня редкости производятся в открывшемся окне. [n][n]Этот предмет обычно используется для оружия и экипировки[n]На каждое использование тратится один свиток.[n][n]
zts147e	Свиток освобождения
zts148e	Позволяет снять фиксированный уровень с предмета экипировки.[n]Нажми дважды на свиток, а затем выбери[n]предмет с фиксированным уровнем. [n]Обычно используется для оружия и экипировки[n]
zts149e	5 свитков защищающих экипировку
zts150e	5 свитков освобождения
zts151e	Писк последней моды!
zts152e	Шапка Кошки
zts153e	Сопротивление всем элементам повышается на 1[n]Сила всех элементов повышается на 10[n]
zts154e	Особый выбор
zts155e	Шапка Осла
zts156e	С определенной вероятностью защищает тебя от крика мандрагоры.[n]Максимальное количество ОЗ повышается на 100.[n]Максимальное количество ОМ повышается на 50.[n]
zts157e	Преображает тебя!
zts158e	Шляпа Ковбоя
zts159e	Повышение вероятности нанесения критического удара на 2%.[n]Повышение урона от критического удара на 10%.[n]Понижение вероятности получения критического удара на 1%.[n]
zts160e	Так мило
zts161e	Шапка Обезьяны
zts162e	С малой вероятностью охраняет тебя от специальных эффектов. Охраняет тебя от плохих эффектов второго уровня с вероятностью в 10%.
zts163e	Ты выглядишь сильнее!
zts164e	Шапка Антилопы
zts165e	Максимальное количество ОЗ повышается на 200.[n]Максимальное количество ОМ повышается на 200.[n]
zts166e	С замечательным запахом!
zts167e	Шапка Ипомеи
zts168e	Вероятность получить критический урон понижается на 2%.[n]При получении критического удара урон от него понижается на 20%
zts169e	Силен как пингвин?
zts170e	Шапка Пингвина
zts171e	Все виды защиты увеличиваются на 15. Все виды нападения увеличиваются на 15.
zts172e	Покажи древний стиль
zts173e	Головной убор джентльмена
zts174e	Уменьшает урон от магических атак на 4% с вероятностью в 8%. Уменьшает уровень урона от атак с длинной дистанции на 4%
zts175e	Не только очень сильный, но и симпатичный предмет
zts176e	Повязка на волосы с большими ушами.
zts177e	Уклоняется от специальных эффектов с высокой степенью вероятности. Повышает уровень морали на 5.
zts178e	Любишь ты природу?
zts179e	Шапка Цветочная Ваза
zts180e	Наносит 70 дополнительных повреждений монстрам, которые находятся на высоком уровне. Наносит 100 дополнительных повреждений животным, которые находятся на высоком уровне.
zts181e	Отправь своего питомца в школу
zts182e	Специальный корм для питомцев
zts183e	Съев этот корм, твой питомец научится поднимать лежащие на земле предметы.[n]Тебе не понадобится кормить его этим кормом еще раз.[n]Как использовать: выбери питомца, и нажми дважды на корм.[n][Свойства][n]Твой питомец научится самостоятельно поднимать лежащие на земле предметы.[n](Работает только в режиме D)[n]Чужие предметы питомец поднимать не будет.[n]Ты также можешь поднимать предметы, управляя питомцем.[n]Все поднятые предметы будут перемещаться в твой инвентарь.[n][Внимание][n]Питомец теряет эту способность после помещения в жемчужину.
zts184e	Сопротивление всем элементам повышается на 1[n]Сила всех элементов повышается на 10[n]Этот предмет нельзя передавать другим игрокам.[n]
zts185e	Защищает тебя от крика мандрагоры. [n]Максимальное количество ОЗ повышается на 100. [n]Максимальное количество ОМ повышается на 50.[n]Этот предмет нельзя передавать другим игрокам.[n]
zts186e	Повышение вероятности нанесения критического удара на 2%.[n]Повышение урона от критического удара на 10%.[n]Понижение вероятности получения критического удара на 1%.[n]Этот предмет нельзя передавать другим игрокам[n]
zts187e	С большой долей вероятности защищает тебя от специальных эффектов. С вероятностью в 10% защищает тебя от плохих эффектов второго уровня. Не может быть объектом торговли.
zts188e	Максимальное количество ОЗ повышается на 200.[n]Максимальное количество ОМ повышается на 200.[n]Этот предмет нельзя передавать другим игрокам.[n]
zts189e	Вероятность получения смертельного удара уменьшается на 2%. Если смеретльный удар получен, урон уменьшается на 20%. Этим предметом нельзя торговать.
zts190e	Все виды защиты увеличиваются на 15. Все виды атак увеличиваются на 15. Этим предметом нельзя торговать.
zts191e	Уменьшает урон от магических атак на 4% с вероятностью в 8%. Уменьшает урон  от дистанционных атак  на 4%. Этим предметом нельзя торговать.
zts192e	Позваляет избегать специальные эффекты с высоким уровнем вероятности. Повышает мораль на 5. Этим предметом нельзя торговать.
zts193e	Наносит дополнительно 70 ранений монстрам, которые находятся на высоком уровне. Наносит дополнительно 100 ран животным, которые находятся на высоком уровне. Этим предметом нельзя торговать.
zts194e	Не использовать
zts195e	Не использовать
zts196e	Не использовать
zts197e	Не использовать
zts198e	Не использовать
zts199e	Не использовать
zts200e	Не использовать
zts201e	Не использовать
zts202e	Не использовать
zts203e	Не использовать
zts204e	Неразрушим!
zts205e	Огромный склад  (вечные)
zts206e	56 ячеек.[n]Срок действия этого предмета не ограничен.[n]
zts207e	Интеръер твоей террасы.
zts208e	Не использовать
zts209e	Не использовать
zts210e	Не использовать
zts211e	Не использовать
zts212e	Не использовать
zts213e	Не использовать
zts214e	Не использовать
zts215e	Не использовать
zts216e	Не использовать
zts217e	Не использовать
zts218e	Не использовать
zts219e	Не использовать
zts220e	Не использовать
zts221e	Фея Огня; Может расти до 70. Имеет такие же способности, что и Фея Огня. Не может быть предметом торговли.
zts222e	Дух Воды; Может расти до 70. Имеет те же способности, что и Фея Воды. Не может быть предметом торговли.
zts223e	Дух Света; Может расти до 70.  Имеет те же способности, что и Фея Света. Не может быть предметом торговли между игроками.
zts224e	Дух Тьмы; Может расти до 70. Имеет те же способности, что и Фея Тьмы. Не может быть предметом торговли между игроками.
zts225e	Дух Огня. Может расти до 70. Имеет уже уровень 40 и не должен начинать расти с 1-го уровня. Имеет те же способности, что и Фея Огня. Не может быть предметом торговли между игроками.
zts226e	Дух Воды. Может расти до 70. Имеет уже уровень 40 и не должен начинать расти с 1-го уровня. Имеет те же способности, что и Фея Воды. Не может быть предметом торговли между игроками, если одет.
zts227e	Дух Света. Может расти до 70. Имеет уже уровень 40 и не должен начинать расти с 1-го уровня. Имеет те же способности, что и Фея Света. Не может быть предметом торговли между игроками.
zts228e	Дух Тьмы; Может расти до 70 . Имеет уже уровень 40, поэтому не должен расти с начального уровня. Имеет те же способности, что и Фея Тьмы. Если одет, не может быть предметом торговли между игроками.
zts229e	Защита в ближнем бою 4[n]Защита в дальнем бою 4[n]Сопротивление магии 4[n]Уклонение 4[n]Сопротивление всем элементам повышается на 1[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts230e	Защита в ближнем бою 4[n]Защита в дальнем бою 5[n]Защищает от крика Мандрагоры[n]Макс. ОЗ повышаются на 100[n]Макс. ОМ повышаются на 50[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts231e	Защита в ближнем бою 3[n]Защита в дальнем бою 6[n]Сопротивление магии 4[n]Уклонение 2[n]Вероятность нанесения критического удара повышается на 2%[n]Урон от критического удара повышается на 10%[n]Вероятность получения критического удара понижается на 1%[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts232e	Защита в ближнем бою 5[n]Защита в дальнем бою 3[n]Сопротивление магии 1[n]Вероятность получения отключки сильно понижается[n]Защищает от негативных эффектов 2 уровня с 10% вероятностью[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts233e	Защита в ближнем бою 13[n]Защита в дальнем бою 13[n]Сопротивление магии 13[n]Макс. ОЗ повышаются на 200[n]Макс. ОМ повышаются на 200[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts234e	Защита в дальнем бою 7[n]Сопротивление магии 3[n]Уклонение 2[n]Вероятность получения критического удара понижается на 2%[n]Урон от критического удара понижается на 20%[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts235e	Защита в ближнем бою 5[n]Защита в дальнем бою 5[n]Сопротивление магии 5[n]Уклонение 5[n]Все защиты повышаются на 15[n]Все атаки повышаются на 15[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts236e	Защита в ближнем бою 1[n]Защита в дальнем бою 2[n]Сопротивление магии 14[n]Понижает полученный магический урон на 4% с 8% вероятностью[n]Понижает полученный дальний урон на 4% с 8% вероятностью[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts237e	Защита в ближнем бою 12[n]Вероятность получения кровотечения сильно понижается[n]Мораль повышается на 5[n]Этот предмет могут использовать только мечники, лучники и маги[n]После экипировки его нельзя передать другому игроку[n]
zts238e	Защита в ближнем бою 2[n]Защита в дальнем бою 10[n]Сопротивление магии 3[n]Позволяет наносить дополнительные 70 ед. урона демонам высокого уровня. [n]Этот предмет могут носить только мечники, лучники и маги[n]После того, как предмет был экипирован, его нельзя продать[n]
zts239e	Рюкзак искателя приключений (10 дней)
zts240e	Не использовать
zts241e	Рюкзак искателя приключений (30 дней)
zts242e	Рюкзак искателя приключений (60 дней)
zts243e	Рюкзак партнера (10 дней)
zts244e	Рюкзак партнера (30 дней)
zts245e	Рюкзак партнера (60 дней)
zts246e	Корзинка питомца (10 дней)
zts247e	Корзинка питомца (30 дней)
zts248e	Корзинка НосПомощника (60 дней)
zts249e	Рюкзак (10 дней)
zts250e	Рюкзак (30 дней)
zts251e	Рюкзак (60 дней)
zts252e	5 благославлений Эрениа
zts253e	10 благославлений Эрениа
zts254e	Благословение Ангела Хранителя 10
zts255e	10 Благословений Зенас
zts256e	Набор благославлений (5 штук)
zts257e	Набор благославлений (10 штук)
zts258e	Купон Прочности и Восстановления (40 штук)
zts259e	Купон Прочности и Восстановления (99 штук)
zts260e	Купон на двойное вознаграждение (10 штук)
zts261e	Купон на пункты производства (10 штук)
zts262e	Купон на пункты производства (30 штук)
zts263e	Таинственная коробка А
zts264e	Таинственная коробка В
zts265e	Таинственная коробка С
zts266e	[n]
zts267e	Просто восстанови срок службы
zts268e	Может быть использован при нажатии на кнопку "Использовать Купон" в окне производственнго поля. Купон повышает срок службы на 300.
zts269e	Удвой вознаграждение в мини-игре!
zts270e	Если ты имеешь купон в инветаре, тебе будет задан вопрос, хочешь ли ты его использовать. Если ты его используешь, ты получаешь вознаграждение в двойном размере.
zts271e	Производи столько, сколько хочешь!
zts272e	Восстановитель пунктов производства (10 штук)
zts273e	Пункты производства увеличиваются на 500, если ты используешь один купон. Максимально возможное увеличение - 2000 пунктов производства.
zts274e	Восстановитель пунктов производства (30 штук)
zts275e	Используй все предметы в инвентаре.
zts276e	Ты можешь использовать все предметы в инвентаре в течении 10 дней. Не может быть использован вместе с амулетом.
zts277e	Ты можешь использовать все предметы в инвентаре в течении 30 дней.  Не может быть использован вместе с амулетом.
zts278e	Ты можешь использовать все предметы в инвентаре в течении 60 дней.  Не может быть использован вместе с амулетом.
zts279e	Инвентарь также для партнера
zts280e	С помощью своего партнера ты сможешь получить на 50 ячеек инвентаря больше. [n]Только на 10 дней[n]
zts281e	С помощью своего партнера ты сможешь получить на 50 ячеек инвентаря больше. [n]Только на 30 дней[n]
zts282e	С помощью своего партнера ты сможешь получить на 50 ячеек инвентаря больше. [n]Только на 60 дней[n]
zts283e	Пользуйся складом повсюду.
zts284e	С помощью своего питомца ты сможешь открывать склад откуда угодно.[n]Только на 10 дней[n]
zts285e	Склад может быть открыт повсюду, если будет использовано животное. Действует в течении 30 дней.
zts286e	Используй все предметы в инвентаре одновременно.
zts287e	Приобретение рюкзака путешественника, рюкзака партнера и корзинки питомца одновременно[n]
zts288e	Получи благославление Анкеллоан.
zts289e	5 благословений Анкеллоан.
zts290e	Опыт боя и работы повышается на час на 100%. Без ограничения уровня. Не может быть использован вместе с амулетом.
zts291e	10 благославлений Анкеллоан
zts292e	Благославление НосМэйта
zts293e	5 благославлений Ангела Хранителя
zts294e	50% повышение опыта НосМэйт. Уровень скорости +2 сохраняется на протяжении одного часа.
zts295e	Волшебство двойного вознаграждения.
zts296e	Добудь себе этот классный предмет!
zts297e	Получи одну из свирепых масок: Маска А, Маска В, Маска С, Жемчужину Пышнохвоста, Жемчужину Гладиатора Пышнохвоста, Жемчужину Пышнохвоста Камер-егеря.
zts298e	Получи одну из спокойных масок: Маску А, Маску В, Маску С, Жемчужину Пышнохвоста, Жемчужину Пышнохвоста Гладиатора, Жемчужину Пышнохвоста Камер-егеря.
zts299e	Получи одну из повязок Бездны: Повязку А, Повязку В, Повязку С, Жемчужину Пышнохвоста, Жемчужину Пышнохвоста Гладиатора, Жемчужину Пышнохвоста Камер-егеря.
zts300e	Опыт битвы и работы повышается на один час на 100%. Для каждого уровня.
zts301e	Ты получишь один из следующих предметов: Свирепую маску A, Свирепую маску B, Свирепую маску C, Жемчужину с коричневым пышнохвостом, Жемчужину с умным пышнохвостом, Жемчужину с черным пышнохвостом,[n]5 денежных предметов
zts302e	Ты получишь один из следующих предметов: Тихую маску A, Тихую маску B, Тихую маску C, Жемчужину с коричневым пышнохвостом, Жемчужину с умным пышнохвостом, Жемчужину с черным пышнохвостом,[n]5 денежных предметов
zts303e	Ты получишь один из следующих предметов: Маску бездны A, Маску бездны B, Маску бездны C, Жемчужину с коричневым пышнохвостом, Жемчужину с умным пышнохвостом, Жемчужину с черным пышнохвостом,[n]5 денежных предметов
zts304e	Пышнохвост - мой питомец
zts305e	Пыш Пыш Мяч
zts306e	Зарегистрировать милого Пышнохвоста как своего питомца.[n]
zts307e	Жемчужина Гладиатора Пышнохвоста
zts308e	Жемчужина с черным пышнохвостом
zts309e	Получи одну из ужасных масок: Маску А, Маску В, Маску С,[n] Пышнохвоста,  Пышнохвоста Гладиатора, Пышнохвоста Камер-егеря, [n] Защитный свиток экипировки, свиток  для того, чтобы отменить установленный уровень, [n] корм для хитрых домашних животных, воду из источника Силлоан, большой пополнитель OC.
zts310e	Получи одну из спокойных масок: Маску А, Маску В, Маску С,[n]  Пышнохвоста, Пышнохвоста Гладиатора, Пышнохвоста Камер-егеря, [n] свиток защищающий экипировку, свиток для отмены установленного уровня, корм для хитрых домашних животных,[n] воду из источника Силлоан, большой наполнитель OC.
zts311e	Получи одну из повязок Бездны: Повязку А, Повязку В, Повязку С,[n]  Пышнохвоста, Пышнохвоста Гладиатора, Пышнохвоста Камер-егеря, [n] свиток защищающий экипировку, свиток отменяющий установленный уровень, [n] корм для домашних животных, воду из источника Циллоан, большой наполнитель OC.
zts312e	Повысь способность Феи!
zts313e	Усилитель Феи
zts314e	Усиливает фею на 1 час.[n]Если ты используешь Усилитель феи, ты не сможешь поменять фею, пока не закончится его время действия.
zts357e	Мне кажется, что в Новом Году я буду иметь успех!
zts358e	1 Подарочный конверт
zts359e	Ты получишь один из следующих предметов: Среднее зелье специалиста, Благословение Анкеллоан, Свиток освобождения, Свиток защиты экипировки, Медаль специалиста, Зелье полного восстановления, Рюкзак путешественника, Ключевая вода Циллоан, Большое зелье специалиста, Шлем рыцаря, Маска рыцаря, Жемчужина больного пышнохвоста, Жемчужина свинки удачи, Жемчужина счастливой крысы.[n]
zts360e	10 подарочных конвертов
zts361e	5 подарочных конвертов
zts362e	1 Подарок к Дню Рождения
zts363e	Как только ты используешь этот предмет, в течение следующих 15 дней будут активны следующие эффекты:[n][Основные эффекты][n]Ты получишь по 4 дополнительные ячейки в трех основных вкладках инвентаря (всего 12 ячеек).[n]Ты будешь получать на 10% больше очков опыта.[n][Другие эффекты][n]Твой партнер и питомец будут получать на 10% больше очков опыта.[n]Сила твоих атаки и защиты повысится на 10%.[n][Внимание][n]При использовании этого предмета вместе с рюкзаком путешественника ты не получишь в два раза больше дополнительных ячеек в инвентаре![n]Этот предмет нельзя поместить на склад.[n][n]
zts364e	Нести маленькую мышку.
zts365e	Симпатичная шапка Крысы
zts366e	Ты можешь сделать Счастливую Крысу своим домашним животным.
zts367e	Иметь Розовую Свинью
zts368e	Новогодняя Жемчужина!
zts369e	Свинья приносящая счастье может быть твоим домашним животным. Твои показатели нападения и защиты увеличиваются на 10%, если она тебя сопровождает.
zts370e	Используй Холод, для того чтобы  избежать различных несчастных случаев.
zts371e	Пышнохвост с Жемчужиной Холода
zts373e	У меня есть свой собственный маленький Дед Мороз!
zts374e	Жемчужина Пышнохвоста
zts941e	Замечательная шапка Льва!
zts952e	Великолепная шапка Льва!
zts1005e	Настойка силы атаки 5 ПвП.
zts1006e	Настойка силы атаки 10 ПвП
zts1007e	Настойка защиты 5 ПвП
zts1008e	Настойка защиты 10 ПвП
zts1009e	5 Зелий сопротивления в ПвП
zts1010e	10 Зелий сопротивления в ПвП
zts1011e	5 Созывающий Семью Рог
zts1012e	10 Созывающий Семью Рог
zts1057e	Я являюсь символом вечной красоты!
zts1058e	Медный колокольчик
zts1059e	Медный колокольчик (7 дней)
zts1060e	Медный колокольчик (30 дней)
zts1061e	Костюм феи (вечный)
zts1062e	Я Демон Ностэйла!
zts1063e	Белый Демон
zts1064e	Белый Демон (7 дней)
zts1065e	Белый Демон (30 дней)
zts1066e	Белый Демон (время не ограничено)
zts1067e	Носи красивый бант!
zts1068e	Розовый бант
zts1069e	Розовый бант для волос (7 дней)
zts1070e	Красный бант (30 дней)
zts1071e	Розовый бант (время не ограничено)
zts1072e	Стань статным мужчиной!
zts1073e	Белая Шляпа
zts1074e	Белая Шляпа (7 дней)
