zts1e	Отдых
zts59e	[Средний] Восстановление ОЗ
zts60e	Повышает скорость восстановления ОЗ на 50
zts61e	[Продвинутый] Восстановление ОЗ
zts62e	[Эксперт] Восстановление ОЗ
zts63e	[Начальный] Восстановление ОМ
zts64e	Повышает восстановление ОМ на 20
zts65e	[Средний уровень] Восстановление ОМ
zts66e	Повышает восстановление ОМ на 50
zts67e	[Продвинутый] Восстановление ОМ
zts68e	[Эксперт] Восстановление ОЗ
zts70e	Медленно восстанавливает ОЗ и ОМ
zts71e	[Средний уровень] Естественное восстановление
zts72e	[Продвинутый] Естественное исцеление
zts73e	[Средний уровень] Управление оружием
zts74e	[Средний уровень] Оружеведение
zts75e	[Продвинутый уровень] Оружеведение
zts76e	[Начальный] Атака
zts77e	[Средний] Скорость
zts78e	[Продвинутый] Атака
zts79e	[Начальный] Сопротивление ядам
zts80e	[Средний] Сопротивление ядам
zts81e	[Продвинутый] Сопротивление ядам
zts82e	[Начальный] Сопротивление болезням
zts83e	[Средний] Сопротивление болезням
zts84e	[Продвинутый] Сопротивление болезням
zts85e	[Начальный] Сопротивление магии
zts86e	[Средний] Сопротивление магии
zts87e	[Продвинутый] Сопротивление магии
zts88e	[Начальный] Общее сопротивление
zts89e	[Средний] Общее сопротивление
zts90e	[Продвинутый] Общее сопротивление
zts91e	[Начальный] Защита
zts92e	[Средний] Защита
zts93e	[Продвинутый] Защита
zts94e	[Начальный] Йога
zts95e	[Средний уровень] Йога
zts96e	[Продвинутый уровень] Йога
zts97e	Размах
zts98e	Базовый навык искателей приключений.
zts99e	Выстрел из рогатки
zts100e	Базовый навык искателей приключений.
zts101e	Сильный удар
zts102e	Наносит усиленный урон
zts103e	Стрельба в цель
zts104e	Ты точно знаешь, куда нужно бить, благодаря чему наносишь еще больше урона
zts105e	Удар с размахом
zts106e	Попадет по всем находящимся рядом врагам
zts107e	Избиение
zts108e	Ты наносишь множество ударов по врагу
zts109e	Боевой клич
zts110e	Повышает силу атаки и защиты
zts111e	Крик повышения морали
zts112e	Повышает мораль.
zts113e	Заряженная атака
zts114e	Ты собираешь все свои силы, чтобы удар был еще мощнее
zts115e	Приручение
zts116e	Выброс энергии
zts117e	Базовый навык искателей приключений.
zts118e	Ультра супер читерный навык
zts119e	Это умение Супер-обмана
zts120e	Читерный навык админа
zts121e	Удар мечом
zts122e	Основная подготовка Мечников
zts123e	Стрельба из арбалета
zts124e	Базовый навык арбалетом
zts125e	Удар ярости
zts126e	С вероятностью 2% появляется возможность выйти из себя от злости.
zts127e	Удар мести
zts128e	Бьет в слабое место противника
zts129e	Энергия меча
zts130e	Энергия меча наносит урон врагам, стоящим рядом с тобой.
zts131e	Базовый навык: Свет
zts132e	Удар навершьем
zts133e	Благодаря сильнейшему удару ручкой меча противник теряет сознание.
zts134e	Земляная волна
zts135e	Резкий удар грома о землю, который вызывает шоковую волну и наносит вред стоящим вокруг противникам.
zts136e	Базовый навык: Огонь
zts137e	Порыв ветра
zts138e	Сильный порыв ветра наносит вред всем противникам.
zts139e	Двойная атака
zts140e	Двойная атака мечом.
zts141e	Динамичный выстрел
zts142e	Динамичная стрельба из арбалета повышает силу атаки.
zts143e	Колкий обстрел
zts144e	Отвлекает внимание противника на другого человека.
zts145e	Заряжение энергии
zts146e	Пополняет энергию для следующей атаки.
zts147e	Залог крови
zts148e	Снятые ОЗ будут использованы для дальнейших нападений.
zts149e	Подавление
zts150e	Снижает Боевой Дух противника на определенное время
zts151e	Действует только на противников, чей уровень не больше чем на 3 выше твоего.
zts152e	Штурмовое нападение
zts153e	Атакует противника с огромной скоростью
zts154e	Остановить кровотечение
zts155e	Останавливает потерю крови до 3 Уровня
zts156e	Требуется повязка.
zts157e	Новый навык
zts158e	Стрельба из лука
zts159e	Основная подготовка Лучников.
zts160e	Удар кинжалом
zts161e	Основная подготовка Лучников.
zts162e	Искусный выстрел
zts163e	Наносит дополнительный урон в дальнем бою и повышает точность.
zts164e	Сконцентрированный выстрел
zts165e	Благодаря сильной атаке в дальнем бою противнику нанесен мощный удар.
zts166e	Проникающий выстрел
zts167e	Пронзает противника и наносит серьезные повреждения
zts168e	Сдержанность цели
zts169e	Благодаря энергичному нападению на ноги противника они движутся медленнее
zts170e	Выстрел в прыжке
zts171e	Атакуй в прыжке безопасно для себя, чтобы нанести врагу огромный ущерб
zts172e	Быстрый выстрел
zts173e	Три быстрые следующие друг за другом нападения на противника
zts174e	Дождь стрел
zts175e	Пускает Дождь Стрел в противника
zts176e	Смертельный удар
zts177e	Дополнительный удар кинжалом, который наносит противнику смертельные раны.
zts178e	Отравленный кинжал
zts179e	Кинжал с парализующим ядом, понижающий силу атака ближнего боя противника.
zts180e	Требуются ядовитые растения
zts181e	Штурмовой удар
zts182e	Кинжал, мешающий передвижению противника.
zts183e	Смертельный заряд
zts184e	Пополняется энергия для следующей атаки
zts185e	Скорость
zts186e	Повышает скорость передвижения на определенное время.
zts187e	Соколиный глаз
zts188e	Повышает силу атаки и точность искателя приключений и его союзников.
zts189e	Ритуал детоксикации
zts190e	Чтобы удалить яд у друзей и спутников, тебе понадобятся лекарственные травы.
zts191e	Ядовитая стрела
zts192e	На короткое время наконечники стрел станут отравленными.
zts193e	Стрела энергии
zts194e	Базовый навык магов.
zts195e	Магический выстрел
zts196e	Базовый навык магов
zts197e	Огненная стрела
zts198e	Магическая огненная атака.
zts199e	Ледяная стрела
zts200e	Магическая ледяная атака.
zts201e	Магическая ракета
zts202e	Стреляет магическими ракетами, которые наносят огромный вред противнику.
zts203e	Бросание камнями
zts204e	Сбрасывает сверху на противника огромный камень
zts205e	Огненная колонна
zts206e	Создание огненной колонны для нанесения урона противникам.
zts207e	Торнадо
zts208e	На противников в округе нападет мощный торнадо.
zts209e	Магический снаряд
zts210e	Сильный магический снаряд, который усиливает действие волшебного оружия.
zts211e	Взрывной снаряд
zts212e	Врагу наносится большой вред при помощи взрывного снаряда.
zts213e	Заряд магии
zts214e	Магическая энергия отдыхает, чтобы в следующей атаке нанести еще больший вред противнику.
zts215e	Ледяной щит
zts216e	Создает щит, который уменьшает вред от нападений в дальнем бою.
zts217e	Аура исцеления
zts218e	Определенное время восстанавливает ОЗ члена группы
zts219e	Охрана света
zts220e	Защищает всех членов группы от атак.
zts221e	Сон
zts222e	При применении противник засыпает и не может двигаться и атаковать. Противник просыпается, как только на него начинают нападать.
zts223e	Поглощение ОЗ
zts224e	Крадет ОЗ противника и конвертирует их в ОМ
zts225e	Ослепление
zts226e	Позволяет ослепить противника на несколько секунд. Дальние бои в это время невозможны.
zts227e	Телепорт
zts228e	Телепортирует тебя в определенное место внутри определенной области
zts229e	Скрытый удар
zts230e	Усиленная элементом огня атака, накладывающая Отключку
zts231e	Усиленный удар
zts232e	Повышает силу атаки и точность Размаха.
zts233e	Усиленная стрельба в цель
zts234e	Повышает силу атаки и дальность.
zts235e	Повышенная сила атаки
zts236e	Повышает силу атаки дальнего боя Выстрела из рогатки
zts237e	Мощный удар с размахом, наносящий врагу дополнительный урон
zts238e	Серьезное кровотечение
zts239e	Усиленное элементом огня Избиение, накладывающее Слабое кровотечение
zts240e	Мощный выброс энергии
zts241e	Повышает магическую силу атаки Выброса энергии и добавляет ему элемент воды
zts242e	Усиленный сильный удар
zts243e	Повышает силу ближней атаки Сильного удара.
zts244e	Мастерской удар мечом
zts245e	Особый удар против растений высокого уровня
zts246e	Улучшает ближний бой против растений высокого уровня
zts247e	Улучшенная стрельба из арбалета
zts248e	Повышает силу атаки дальнего боя Стрельбы из арбалета.
zts249e	Демонский стрелок
zts250e	Серьезный урон
zts251e	Если использовать стихию Огня, ущерб может быть вдвое больше.
zts252e	В комбинации с роковым ударом наносит огромный ущерб
zts253e	Усиливает Яростный удар элементом огня.
zts254e	Усиленный удар ярости
zts255e	Повышает силу атаки ближнего боя и точность Удара ярости.
zts256e	Мастерской удар ярости
zts257e	Повышает силу ближней атаки.
zts258e	Точный выстрел в цель
zts259e	Повышает шанс нанесения критического урона Удара мести.
zts260e	Атака ковольтов
zts261e	Припугни своих врагом внушающим страх криком.
zts262e	Усиливает Ответный удар элементом воды.
zts263e	Усиленный удар мечом
zts264e	Повышает силу ближней атаки Удара мечом.
zts265e	Повышенная дальность
zts266e	Повышает дальность меча.
zts267e	Отличное попадание
zts268e	Идеальный удар вызывает Отключку у противника.
zts269e	Сильная земляная волна
zts270e	Повышает силу атаки Земляной волны.
zts271e	Жестокая земляная волна
zts272e	Усиленный порыв ветра
zts273e	Повышает силу атаки Порыва ветра и накладывает Отключку на противника.
zts274e	Усиливает Порыв ветра элементом воды.
zts275e	Ослабление врага
zts276e	Ослабляет противника на определенное время благодаря использованию двойной атаки.
zts277e	Усиленная Двойная атака
zts278e	Повышает интенсивность атаки.
zts279e	Усиленный динамичный выстрел
zts280e	Повышает силу атаки Динамичного выстрела.
zts281e	Попадание точно в цель
zts282e	Динамичный выстрел всегда попадает в цель.
zts283e	Усиленное заряжение энергии
zts284e	Повышает силу атаки ближнего боя Заряжения энергии.
zts285e	Улучшенный залог крови
zts286e	Повышает силу атаки на время Кровавой бойни.
zts287e	Радиус действия атаки
zts288e	Повышает дальность атаки.
zts289e	Вытягивание
zts290e	Провоцирует противника на Колкий Обстрел
zts291e	Динамичная стрельба из лука
zts292e	Повышает силу атаки дальнего боя Стрельбы из лука.
zts293e	Выдающаяся стрельба из лука
zts294e	Особый выстрел против растений высокого уровня
zts295e	Улучшенное нападение на растения высокого уровня
zts296e	Усиленный удар кинжалом
zts297e	Повышает силу Удара кинжалом.
zts298e	Смертельный удар кинжалом
zts299e	Повышает вероятность критического урона от Удара кинжалом.
zts300e	Усиленный выстрел в цель
zts301e	Усиливает Искусный выстрел элементом воды и повышает силу атаки.
zts302e	Усиливает Искусный выстрел элементом воды.
zts303e	Повышает вероятность нанесения критических ударов от Искусного выстрела.
zts304e	Возможность удвоить причиненный ущерб.
zts305e	Пронзающий выстрел
zts306e	Благодаря Проникающему выстрелу, противнику наносится неустранимый ущерб
zts307e	Одновременная атака
zts308e	Производя выстрел в прыжке, атакуй противников одновременно
zts309e	Выстрел Ковольта
zts310e	Повышает силу атаки против ковольтов.
zts311e	Усиленный Быстрый выстрел
zts312e	Повышает силу атаки Быстрого выстрела.
zts313e	Усиленный Дождь стрел
zts314e	Повышает силу атаки Дождя стрел.
zts315e	Увеличение радиуса
zts316e	Повышает радиус поражения Дождя Стрел
zts317e	Противник теряет кровь из-за смертельного удара
zts318e	Усиленный Смертельный удар
zts319e	Повышает силу атаки Смертельного удара.
zts320e	Повышенная вероятность
zts321e	Повышает шанс прерывания движения при выполнении Штурмового удара.
zts322e	Повышает силу атаки Смертельного заряда.
zts323e	Повышает скорость передвижения.
zts324e	Ускорение
zts325e	Усиленный Ритуал ястреба
zts326e	Во время действия Ритуала ястреба сила атаки повышена.
zts327e	Травяное дело
zts328e	Восстановление от отравлений высоких уровней
zts329e	Вызывающий головокружение яд
zts330e	Наносит Головокружительный яд на обычный кинжал
zts331e	Смертельный яд
zts332e	Добавь к обычному кинжалу смертельный яд
zts333e	Толчок
zts334e	Отталкивает твоего врага.
zts335e	Мощный выброс энергии
zts336e	Повышает магическую силу атаки Выброса энергии
zts337e	Повышает дальность Выброса энергии
zts338e	Заколдованный выстрел
zts339e	Повышает силу атаки Магического пистолета.
zts340e	Уничтожение растений высокого уровня
zts341e	Огненный взрыв
zts342e	Применение Стрелы Энергии вызывает взрыв
zts343e	Мощная огненная стрела
zts344e	Улучшает атаку Огненной Стрелы
zts345e	Мороз
zts346e	Замораживает противника благодаря действию Ледяной Стрелы
zts347e	Улучшенная ледяная стрела
zts348e	Повышает силу атаки Ледяной Стрелы
zts349e	Усиленная Магическая ракета
zts350e	Повышает силу атаки Магической ракеты.
zts351e	Расширенный радиус
zts352e	Увеличивает радиус поражения Магической Ракеты
zts353e	Усиленная огненная колонна
zts354e	Повышает силу атаки огненной колонны.
zts355e	Мощный торнадо
zts356e	Повышает силу действия торнадо
zts357e	Регенерация
zts358e	Повышает скорость восстановления ОЗ
zts359e	Улучшенное поглощение ОЗ
zts360e	Повышает количество ОЗ, украденных с помощью Поглощения ОЗ
zts361e	Кувыркание
zts362e	Метеорит
zts363e	Круговая атака
zts364e	Круговая атака 2
zts365e	Липкая поверхность
zts366e	Аура отключки
zts367e	Сильная липкая поверхность
zts368e	Вызвать шахтера
zts369e	Вызвать шахтера 2
zts370e	Вызвать шахтера 3
zts371e	Сильный Круговой удар (Кенко)
zts372e	Сильный бросок
zts373e	Кусание
zts374e	Ледяной шторм
zts375e	Круговой удар Корркоарена
zts376e	Рывок Акуку Кенэля
zts377e	Круговая атака кенко
zts378e	Круговая атака Черепахи
zts379e	Проклятие Темной колдуньи
zts380e	Подчиняющая атака Кровавой колдуньи
zts381e	Подчиняющая атака Мадам
zts382e	Рука Темной мадам
zts383e	Атака Кенеля
zts384e	Атака Волкольва
zts385e	Атака монстров низких уровней
zts386e	Грязный Боинг
zts387e	Приманка Короля Пауков
zts388e	Круговая атака Короля Пауков
zts389e	Круговая атака Кукукина
zts390e	Чихание Кукукина
zts391e	Огненный шар Ночной тени
zts392e	1-ый навык Кэтлотты
zts393e	Талант Катриши 1
zts394e	Талант Катриши 2
zts395e	Сильная атака неигрового персонажа
zts396e	2-ый навык Кэтлотты
zts397e	Восстановление женьшеня
zts398e	Круговая атака Женьшеня
zts399e	Озарение Кастры
zts400e	Магический дым
zts401e	Вой Слейда
zts402e	Бросок камня слейда
zts403e	Базовая магическая атака
zts404e	Базовая атака огромного черного паука
zts405e	Паутина огромного черного паука
zts406e	Базовая атака Слейда
zts407e	Применить Телепорт
zts408e	Мандра Спринт
zts409e	Атака Железного Молота
zts410e	Атака-камнепад
zts411e	Атака пауков
zts412e	Атака Черных Метеоритов
zts413e	Быстрый выстрел Скелета-Лучника
zts414e	Скелет-Лучник - сильный выстрел
zts415e	Атака Скелета-Молотобойца
zts416e	Огненная атака Ночной Тени
zts417e	Газ Горбатого зомби-стража
zts418e	Выдающий задание
zts419e	Битва подушками
zts420e	Притвориться мертвым
zts421e	Сон
zts422e	Скучно
zts423e	Прилечь
zts424e	Утренняя зарядка
zts425e	Время чаепития
zts426e	Игра на бубне
zts427e	Прислониться к тебе
zts428e	Прости меня
zts429e	Чтение книг
zts430e	Атака двумя мечами
zts431e	Базовая атака Воина.
zts432e	Тройной удар
zts433e	Из-за возросшей силы атаки в ближнем бою противнику наносится тройной вред.
zts434e	Железная кожа
zts435e	Временное повышение силы защиты, и одновременное понижение силы атаки.
zts436e	Смерч
zts437e	Используй силу меча, чтобы создать мощный Смерч.
zts438e	Провокация
zts439e	Создает защиту, которая сокращает элементный ущерб, нанесенный членам группы.
zts440e	Решительный удар
zts441e	Многие враги будут один за одним поражены твоим мечом.
zts442e	Запугивание
zts443e	Припугни своих врагом внушающим страх криком.
zts444e	Чем больше разница в твоем уровне и твоего врага, тем слабее действие.
zts445e	Удар плечом
zts446e	Атакуй врага и нанеси ему повреждения ударом брони на твоем левом плече.
zts447e	Ярость
zts448e	Ты издаешь ужасающий рев, повышающий боевой дух тебе и твоей группе.
zts449e	Землетрясение
zts450e	Концентрирует энергию твоего меча на том, чтобы земля содрогалась, и враг получил еще больший ущерб.
zts451e	Летающий дракон
zts452e	Благодаря силе и таланту Дракона ты нанесешь своим мечом удар с вращением, чтобы причинить противнику неустранимые повреждения.
zts453e	Благодаря этому ты получишь огромную разрушающую силу.
zts454e	Удар мечом
zts455e	Базовая атака Самурая.
zts456e	Перекрестный удар
zts457e	Ты размахиваешь своим мечом и наносишь врагу огромный вред.
zts458e	Лезвие энергии
zts459e	Даже одним ударом своего меча ты можешь разделить землю на части, и тем более уничтожить удаленных врагов.
zts460e	Цепная атака
zts461e	Тройная атака, которая сбивает с толку врага и таким образом удаляет из боя.
zts462e	Защита лезвия
zts463e	Чтобы повысить свою энергию, тебе надо превратить силу атаки твоего противника в свою собственную энергию.
zts464e	Атака мечами
zts465e	Штурмовое нападение мечом на врагов нанесет им серьезный ущерб.
zts466e	Атака со скоростью света
zts467e	Движение вперед с быстрой атакой.
zts468e	Дыхание восстановления
zts469e	Во время медитации ты можешь отдохнуть и телом и душой, а также получить новые силы.
zts470e	Смертельный удар
zts471e	Собирает Энергию чтобы разрушить место одним коротким ударом.
zts472e	Острый край
zts473e	Делает твой взгляд острым.
zts474e	Танцующий меч
zts475e	Запусти свой меч, чтобы убить всех врагов
zts476e	Соколиный глаз
zts477e	Зоркость ястреба позволяет нанести атаку с повышенной точностью.
zts478e	Выстрел в голову
zts479e	Причиняет огромный ущерб посредством целенаправленного выстрела в голову.
zts480e	Хождение по ветру
zts481e	Повышает скорость передвижения на определенное время.
zts482e	Внезапный взрыв
zts483e	Твой противник ослеплен ударом яркой молнии и поэтому не может начать ответную атаку.
zts484e	Тройная стрела
zts485e	Этот навык используется для того, чтобы одним выстрелом убить нескольких противников или нанести им вред.
zts486e	Увеличение радиуса действия
zts487e	Увеличивает радиус действия твоих атак в дальнем бою.
zts488e	Спиральная Стрела
zts489e	Наносит ущерб любому врагу, который дотронется до него.
zts490e	Огневая завеса
zts491e	Молнии случайно ударяют по местности рядом с тобой.
zts492e	Быстрый отдых
zts493e	Уменьшает время усиления умения на некоторое время.
zts494e	Гроза
zts495e	Твои стрелы летят на врагов как молнии.
zts496e	Атака кинжалом
zts497e	Базовая атака Убийцы.
zts498e	Роковой удар
zts499e	Повышает вероятность нанесения рокового удара.
zts500e	Сильный удар
zts501e	Злостное нападение на противника.
zts502e	Густой туман
zts503e	Создает густой туман, понижающий точность твоих противников.
zts504e	Брось Цепной Крюк
zts505e	Брось Цепной Крюк, чтобы положить противника на землю
zts506e	Уклонение
zts507e	Если ты сможешь избежать нападения, твоя энергия может легко увеличится.
zts508e	Томагавк
zts509e	Забросать противника летающими копьями.
zts510e	Тень
zts511e	Благодаря темной тени ты можешь невидимо для своих врагов двигаться вперед. После нападения на противника тень исчезнет.
zts512e	Удар с вращением
zts513e	Резкий удар кинжалом с вращением, который нанесет твоему противнику глубокие раны.
zts514e	Смертельный колющий удар
zts515e	Усиленная дополнительная атака с целью нанесения смертельного вреда.
zts516e	Может эффективно использоваться с элементом тьмы.
zts517e	Бомба
zts518e	Взорви бомбу у ног противника во время кувырка.
zts519e	Спотыкание
zts520e	Базовая атака Огненного мага.
zts521e	Огненная вспышка
zts522e	Взрывает врага
zts523e	Огненное дыхание
zts524e	Сжигает врага дотла
zts525e	Переливание маны
zts526e	Конвертирует часть твоих ОЗ в ОМ
zts527e	Огненный вихрь
zts528e	Огненный вихрь сносит на своем пути
zts529e	Огненное копье
zts530e	Пронзает врагов огнем.
zts531e	Благословение огнем
zts532e	Усиление элемента огня и сопротивления огню.
zts533e	Огненная стена
zts534e	Сжигает все на своем пути
zts535e	Метеоритный дождь
zts536e	Падает прямо на врагов, оглушая их
zts537e	Преисподняя
zts538e	Создает мощную колонну огня.
zts539e	Огненный метеорит
zts540e	Призывает огромный метеорит, наносящий огромный урон цели и всем врагам рядом с ней
zts541e	Священная атака
zts542e	Шар священного света, наносящий урон врагу.
zts543e	Особая магия, не потребляющая OM.
zts544e	Исцеление
zts545e	Исцеляет выбранного персонажа.
zts546e	Священный свет
zts547e	Ударяет прямо с небес, нанося урон сразу нескольким врагам
zts548e	Щит из маны
zts549e	Создание магического щита для твоей защиты.
zts550e	Небесная песнь
zts551e	Заставляет противников терять волю к борьбе на какое-то время
zts552e	Очищение
zts553e	Снимает все негативные эффекты с тебя и твоих союзников
zts554e	Уничтожение нежити
zts555e	Наносит критический урон нежити
zts556e	Групповое исцеление
zts557e	Восстанавливает ОЗ твоих союзников
zts558e	Священное оружие
zts559e	Благословляет твое оружие элементом света на какое-то время
zts560e	Благословение
zts562e	Священный молот
zts563e	Сотрясает землю, нанося врагам огромный урон
zts564e	Любовь (Alt + Q)
zts565e	Приветствие (Alt + W)
zts566e	Улыбка (Alt + E)
zts567e	Смех (Alt + R)
zts568e	Смущение (Alt + T)
zts569e	Усмешка (Alt + Y)
zts570e	Удивление (Alt + U)
zts571e	Злость (Alt + I)
zts572e	Беспокойство (Alt + O)
zts573e	Победа (Alt + P)
zts574e	Раздражение (Alt + A)
zts575e	Несерьезность (Alt + S)
zts576e	Одобрение (Alt + D)
zts577e	Непонимание (Alt + F)
zts578e	Недовольство (Alt + G)
zts579e	Разочарование (Alt + H)
zts580e	Попался (Alt + J)
zts581e	Стоп! (Alt + K)
zts582e	Слезы (Alt + L)
zts583e	Плач (Alt + Z)
zts584e	Всхлипывание (Alt + X)
zts585e	Выгорание (Alt + C)
zts586e	Милый парень (Alt + V)
zts587e	Милая девушка (Alt + B)
zts588e	Задумчивость (Alt + N)
zts589e	Расстройство (Alt + M)
zts590e	Подавленность (Alt + ,)
zts591e	Удар с вращением Джерико
zts592e	Улучшение
zts594e	Повышает физическую силу на 30.
zts595e	Повышает ловкость на 30.
zts596e	[Продвинутый] Интеллект
zts597e	Повышает интеллект на 35.
zts598e	[Эксперт] Интеллект
zts599e	Навсегда повышает ОЗ на 400
zts600e	Навсегда повышает ОМ на 400.
zts601e	[Продвинутый] Эффективная атака
zts602e	Минимальный и максимальный ущерб в ближнем и дальнем боях увеличен на 14
zts603e	[Эксперт] Эффективная атака
zts604e	[Продвинутый] Самозащита
zts605e	Повышает оборону в ближнем, дальнем и магическом боях на 12
zts606e	[Эксперт] Самозащита
zts607e	Повышает скорость восстановления ОЗ на 100
zts608e	Усиливает восстановление ОМ на 120.
zts609e	Естественное исцеление
zts610e	Стильный удар.
zts611e	Сила навыка повышена.
zts612e	Сверкающее лезвие
zts613e	Торнадо монстров
zts614e	Усиленная магическая пуля
zts616e	Штормовой удар
zts617e	Усиление сопротивления элементам
zts618e	Внезапная атака
zts619e	Оглушающий удар
zts620e	Взрывной выстрел
zts621e	Пылающая стрела
zts622e	Сверкающая Стрела
zts623e	Атаковать слабые места
zts624e	Ледяная стена
zts625e	Справедливость Света
zts626e	Зона Магмы
zts627e	Магический Луч
zts628e	Дух Побежденного
zts629e	Прыжок Куриного Короля
zts630e	Крик Куриного Короля
zts631e	Повышает защиту находящихся рядом союзников на 1 на какое-то время.
zts632e	Защищает от роковых ударов
zts633e	Удары ногой
zts634e	Плач
zts635e	Прыжок
zts636e	Усилить действие магической бомбы
zts637e	Средний прыжок Куриного Короля
zts638e	Быстрый прыжок Куриного Короля
zts639e	Атака стеблями бамбука.
zts640e	Ловушка босса Дадамару
zts641e	Атака сюрикэнами
zts642e	Прыжок с сюрикэнами
zts643e	Языки пламени
zts644e	Выброс бомбы
zts645e	Заменить
zts646e	Режим скрытности
zts647e	Призывай Камапакуна
zts648e	Вызов
zts649e	Сила пустого сердца
zts650e	Улучшение магической бомбы 2
zts651e	Атака Ниндзи сюрикенами
zts652e	Топот Намаджу
zts653e	Позвать Намаджу
zts654e	Атака брони
zts655e	Атака Кленовых листьев
zts656e	Лазерные лучи
zts657e	Позвать духов
zts658e	Магические руки
zts659e	Ядовитый туман
zts660e	Спотыкание
zts661e	Атака Лучников-Духов Ковольта
zts662e	Базовая атака Дадамару. Бросает сюрикэны во врагов.
zts663e	Прыгает и бросает во врагов сюрикен
zts664e	Огненная атака стоящих в ряд врагов
zts665e	Бросает мощную бомбу во врагов.
zts666e	Телепортирует в определенное место и оставляет на прежнем месте деревянные бруски.
zts667e	Прячет персонажа. Действует до следующей атаки или нападения на кого-либо
zts668e	Скачет Король Пыли Камапакун и атакует всех находящихся на пути врагов
zts669e	Вызывает образ Дадамару, атакует противника, затем исчезает.
zts670e	Этот талант эффективен только для Намаджу
zts671e	Восстанавливает энергию на определенное время и вредит Намаджу.
zts672e	Наступление монстров
zts673e	Неожиданная атака воина ковольтов
zts674e	Телепорт злой Дамы
zts675e	Ядовитый туман
zts676e	Основная атака воскресшего костяного воина
zts677e	Ослепление воскресшего дьявола.
zts678e	Основная атака скелета-сокола
zts679e	Основная атака мертвого воина
zts680e	Вихрь Мертвого Воителя
zts681e	Молчание Мертвого Воителя
zts682e	Фантомный телепорт Мертвого Воителя
zts683e	Базовая атака адского рыцаря
zts684e	Землетрясение Гигантского Рыцаря
zts685e	Крик Огромного Рыцаря
zts686e	Оглушающий щит Огромного Рыцаря
zts687e	Базовая атака летающего огненного дьявола
zts688e	Огненная звезда Летающего Огненного Дьявола
zts689e	Прыжок травяной феи
zts690e	Рык травяной феи
zts691e	Средний прыжок травяной феи
zts692e	Быстрый прыжок травяной феи
zts693e	Основная атака Огненного Дракона
zts694e	Основная атака Скелета-Дракона
zts695e	Выстрел из арбалета
zts696e	Священная Стрела
zts697e	Тройная стрела
zts698e	Осадный режим
zts699e	Защитный режим
zts700e	Восстанавливающая молитва
zts701e	Священный крест
zts702e	Растущий щит
zts703e	Защитная молитва
zts704e	Молитва нападения
zts705e	Концентрация 1
zts706e	Взмах оружием
zts707e	Удар
zts708e	Ярость
zts709e	Звуковой удар
zts710e	Адреналиновый удар
zts711e	Неистовая атака
zts712e	Большой мах
zts713e	Ураганный разрез
zts714e	Берсерк
zts715e	Жизнь и смерть
zts716e	Бронелом
zts717e	Огненное оружие
zts718e	Быстрый выстрел
zts719e	Сквозной выстрел
zts720e	Ускорение
zts721e	Клеймор
zts722e	Газовая граната
zts723e	Выстрел разрывными
zts724e	Аптечка
zts725e	Сильный выстрел
zts726e	Огненная мина
zts727e	Адская капля
zts728e	Бумеранг
zts729e	Бросок Змеи
zts730e	Коготь зверя
zts731e	Дух орла
zts732e	Сияние стихий
zts733e	Круговой полет
zts734e	Дух волка
zts735e	Потеря Элементов
zts736e	Плющ
zts737e	Дух медведя
zts738e	Сила леса
zts739e	Ледяной шар
zts740e	Ледяной осколок
