zts1e	Dinlenme
zts46e	Minimal ve maksimum zararlarýn her biri, yakýn ve uzak mesafe saldýrýlarda 2 yükseltildi.
zts47e	[Orta] Efektif saldýrý gücü
zts48e	Minimal ve maksimum zararlarýn her biri, yakýn ve uzak mesafe saldýrýlarda 4 yükseltilir.
zts51e	[Düþük] Kendini savunmak
zts52e	Yakýn ve uzak mesafe savaþ savunmasýný 3 yükseltir.
zts53e	[Orta] Kendini savunmak
zts54e	Yakýn-,uzak mesafe ve büyü savunmasý deðerlerini 5 yükseltir.
zts57e	[Düþük] YP dinlenme
zts58e	YP dinlenmesini 20'ye çýkartýr
zts59e	[Orta] YP dinlenme
zts60e	YP dinlenmesini 50 yükseltir
zts61e	[Yüksek] YP dinlenme
zts62e	[Usta] YP dinlenme
zts63e	[Düþük] BP dinlenme
zts64e	BP dinlenmesini 20'ye çýkartýr
zts65e	[Orta] BP dinlenme
zts66e	BP dinlenmesini 50 yükseltir.
zts67e	[Yüksek] BP dinlenme
zts68e	[Usta] BP dinlenme
zts70e	YP ve BP'yi yavaþ yavaþ restore eder
zts71e	[orta] Doðal tedavi
zts72e	[Usta] Doðal tedavi
zts73e	[Acemi] Silah bilgileri ve iþleyiþleri
zts74e	[Orta] Silah bilgileri ve iþleyiþleri
zts75e	[Ýleri düzeyde] Silah bilgileri ve iþleyiþleri
zts76e	[Acemi] kritik saldýrýyý öðren
zts77e	[Orta] Kritik bir saldýrý öðren
zts78e	[Ýleri düzeyde] kritik saldýrýyý öðren
zts79e	[Acemi] Zehire karþý direnç
zts80e	[Orta] Zehire karþý direnç
zts81e	[Orta]Zehir direnci
zts82e	[Acemi] Hastalýða karþý direnme
zts83e	[Orta] Hastaliða karþý direniþ
zts84e	[Ýleri Düzeyde] Hastalýða karþý direnme
zts85e	[Acemi] Büyü direnci
zts86e	[orta] Büyü direnci.
zts87e	[Geliþmiþ]Büyü direnci
zts88e	[Baþlangýç]Genel direnç
zts89e	[orta]Genel direnç
zts90e	[Geliþmiþ]Genel direnç
zts91e	[Baþlangýç]Saðlýk direnci
zts92e	[orta]Saðlýk direnci
zts93e	[Geliþmiþ]Saðlýk direnci
zts94e	[Baþlangýç] Yoga
zts95e	[Orta] Yoga
zts96e	[Geliþmiþ] Yoga
zts97e	Darbeli silahlar
zts98e	Maceraperestler için temel eðitim
zts99e	Mancýnýk atýþý
zts100e	Maceracýlar için temel eðitim.
zts101e	Sert darbe
zts102e	Sert bir darbe vurursan vereceðin zarar büyük olur.
zts103e	Hedef vuruþ - taþ
zts104e	Keskin bir vuruþ, rakiplerinin daha çok zarar görmesini saðlar.
zts105e	Dönmeli darbe
zts106e	Etrafta bulunan rakiplerin tümü þiddetli bir dönme darbesiyle saldýrýya uðrarlar.
zts107e	Birden çok darbe
zts108e	Rakibe birden çok darbe vurur.
zts109e	Savaþ Çýðlýðý
zts110e	Saldýrý ve savunmayý yükseltir
zts111e	Moral çýðlýðý
zts112e	Morali yükseltir
zts113e	Enerjili darbe
zts114e	Bir sonraki rakibe daha çok saldýrabilmek için enerji komple doldurulur.
zts115e	Yakala
zts116e	Enerji topu
zts117e	Maceracýlar için büyülü temel eðitim.
zts118e	Süper ötesi moral yeteneði
zts119e	Bu süper hile yapmak yeteneðidir.
zts120e	Adminlerin hile yapma yeteneði 2
zts121e	Kýlýç darbesi
zts122e	Kýlýç Savaþçýlar'ýn temel egitimi
zts123e	Arbalet ile ok atmak
zts124e	Kýlýç Savaþçýlar'ýn temel egitimi
zts125e	Öfke darbesi
zts126e	Öfkeye kapýlmak için % 2 olasýlýk.
zts127e	Ýntikam darbesi
zts128e	Rakibin zayýf noktasýna saldýr.
zts129e	Kýlýç enerjisi
zts130e	Kýlýç enerjisi çevrede bulunan rakiplerin tümüne zarar verir.
zts131e	Iþýk temel yeteneði
zts132e	Yýldýzlý saldýrý
zts133e	Kýlýcýn kabzasýyla yapýlan güçlü bir vuruþ, rakibi bayýltýr.
zts134e	Yer dalgasý
zts135e	Yere düþen þimþek darbesi, þok dalgasý olmasýna neden olur ve çevrede bulunan rakiplerin tümüne zarar verir.
zts136e	Ateþ temel eðitimi
zts137e	Bora
zts138e	Hýzlý bir bora rakiplerinin tümüne zarar verir.
zts139e	Çifte saldýrý
zts140e	Çifte kýlýç saldýrýsý
zts141e	Dinamik vuruþ
zts142e	Dinamik arbalet atýþý uzak mesafe saldýrýyý yükseltir.
zts143e	Sataþma Atýþý
zts144e	Rakibin dikkatini üzerine çeker.
zts145e	Enerji yükleme
zts146e	Enerjiyi bir sonraki saldýrýya yükler
zts147e	Kan kardeþliði
zts148e	Çýkartýlmýþ YP, bir sonraki saldýrýda güçlendirme için kullanýlýr.
zts149e	Savunma
zts150e	Kýsa bir zaman rakibin moralini bozar.
zts151e	Sadece senden 3 seviye yukarýdan fazla olmayan rakiplerde iþler .
zts152e	Fýrtýnalý saldýrý
zts153e	Rakibe hýzlý bir tempoyla hücum eder.
zts154e	Kanamayý dindir
zts155e	Seviye 3'e kadar kanamalarý tedavi eder
zts156e	Kullaným için bandaj gerektirir.
zts157e	Yeni yetenekler
zts158e	Okçuluk
zts159e	Okçuluk temel eðitimi.
zts160e	Hançer darbesi
zts161e	Okçuluk temel eðitimi.
zts162e	Hedefe vuran bir vuruþ
zts163e	Uzak saldýrýlarda ayrýca hasar verir ve isabet oranýný yükseltir.
zts164e	Kuvvetli darbe
zts165e	Uzak mesafe saldýrýlarda rakibe yükseltilmiþ hasar verir
zts166e	Delen vuruþ
zts167e	Rakipleri deler ve kritik bir zarara uðramalarýna sebep olur.
zts168e	Hedef alma
zts169e	Rakibin bacaklarýna enerjili bir saldýrý; bacaklarýný yavaþlatýr.
zts170e	Atlamalý  vuruþ
zts171e	Zýplarken saldýrý, bu rakibi büyük zarara uðratýr, hiç bir kayýp olmadan
zts172e	Hýzlý vuruþ
zts173e	Rakibi hedefliyerek arka arkaya üç tane hýzlý vuruþ
zts174e	Ok yaðmuru
zts175e	Rakibi ok yaðmuruna tutar
zts176e	Öldüren sokma
zts177e	Ekstra bir hançer yarasý rakibe ölümcül hasar ekler.
zts178e	Zehirli hançer
zts179e	Rakibin yakýn ve uzak mesafe saldýrýlarýný zayýflatman için hançeri kaslarý felç eden zehirle bir araya getir
zts180e	Kullaným için Zehirli Bitkiler gerekir.
zts181e	Fýrtýnalý darbe
zts182e	Basit bir hançer kullanarak fýrtýna gibi bir darbe ile rakibi hareketsiz býrakýr.
zts183e	Öldürücü vuruþ
zts184e	Bir sonraki uzak saldýrý icin enerji yükler.
zts185e	Tempo
zts186e	Karakteri geçici olarak hýzlandýrýr
zts187e	Þahin gözü
zts188e	Kendi karakterin ve yoldaþlarýnýn saldýrý gücü ve isabet oraný yükselir.
zts189e	Zehrini alma ritüeli
zts190e	Eþlik edenlerin ve arkadaþlarýn zehrini almak için ilaç olarak kullanýlan bitkilere ihtiyaç vardýr
zts191e	Zehirli ok
zts192e	Kýsa bir süre için oklarýn ucu zehirlendirilir
zts193e	Enerji topu
zts194e	Büyücü temel eðitimi
zts195e	Büyülü vuruþ
zts196e	Büyücü temel eðitimi
zts197e	Ateþ topu
zts198e	Büyülü ateþ saldýrý
zts199e	Buz matkabý
zts200e	Büyülü su saldýrý
zts201e	Büyülü füze
zts202e	Rakibe büyülü füze fýrlatarak büyük zarara uðramasýna sebep olur
zts203e	Taþ atma
zts204e	Kocaman bir taþý rakibe isabet ettsin diye yüksekten aþaðýya düþürür
zts205e	Ateþ sütunu
zts206e	Rakiplere saldýrmak için ateþ sütunu üretir
zts207e	Tornado
zts208e	Etrafta bulunan rakipler etkili bir tornado tarafýndan saldýrýya uðrarlar
zts209e	Büyülü kurþun
zts210e	Sihirli silahýn saldýrýsýný güçlendiren güçlü ve büyülü kurþun
zts211e	Patlayýcý kurþun
zts212e	Rakibi patlayýcý bir kurþunla büyük zarara uðratýr
zts213e	Büyü dinlenme
zts214e	Daha büyük bir zarara sebebiyet vermek için büyülü enerjiyi bir sonraki saldýrýlar için dinlendirir
zts215e	Don kalkaný
zts216e	Uzak mesafe saldýrýlarýnýn zararýný azaltmak için bir kalkan yaratýr.
zts217e	YP yenilenmesi
zts218e	Bir grup üyesinin YP'sini kýsa süre için iyileþtirir.
zts219e	Iþýk koruma
zts220e	Bütün grup üyeleri için gölgeli saldýrýlardan korunmak için barýnak üretir
zts221e	Uyku
zts222e	Uygunlandýðý taktirde rakip uyur ve hareket edemez veya saldýramaz #13#10 Rakip kendisine saldýrýldýðý an uyanýr
zts223e	YP Emilim
zts224e	Rakibin YP'sini emer ve kendi BP'sine dönüþtürür.
zts225e	Körlük
zts226e	Rakibi bir kaç saniye kör eder #13#10 Uzak mesafe saldýrýlarý bu zaman içersinde mümkün deðildir
zts227e	Iþýnlanma
zts228e	Seni bir mekanýn belirli bir çevresine ýþýnlar
zts229e	Sinsi darbe
zts230e	Ateþ elementi ve kendinden geçme ile güçlendirilmiþ saldýrý
zts231e	Güçlendirilmiþ vuruþ
zts232e	Silah darbesinin saldýrý gücünü ve isabet oranýný yükseltir.
zts233e	Güçlendirilmiþ taþ sapan atýþý
zts234e	Saldýrý ve menzili geniþletir
zts235e	Güçlendirilmiþ saldýrý
zts236e	Taþ sapan uzak mesafe saldýrýyý iyileþtirir
zts237e	Muazzam bir dönme darbe rakibe ayrýca bir zarar verir
zts238e	Kanama
zts239e	Ateþ elementi ekler ve çok sayýda vuruþ kullanýldiðý taktirde küçük kanamalara sebep olur
zts240e	Þiddet dolu enerji topu
zts241e	Enerji topuna su elementini ekler ve büyülü saldýrýyý yükseltir
zts242e	Güçlendirilmiþ kýlýç darbesi
zts243e	Kýlýç darbesinin yakýn mesafe saldýrýsýný yükseltir
zts244e	Mükemmel kýlýç darbesi
zts245e	Bitkileri tahrip eden darbe
zts246e	Yakýn mesafe saldýrýyý yüksek seviyeli bitkileri karþý iyileþtirir
zts247e	Ýyileþtirilmiþ arbalet ok atýþý
zts248e	Arbalet ile ok atýþýndaki uzak mesafe saldýrýyý yükseltir
zts249e	Þeytan vuruþu
zts250e	Olaðanüstü zarar
zts251e	Ateþ elementinden faydalanýlýrsa zarar iki katýna çýkar
zts252e	Kritik bir darbeyle birleþtiginde büyük zarar vermeye sebep olur
zts253e	Öfkeli vuruþu bir ateþ elementi ile birleþtirir
zts254e	Güçlendirilmiþ öfkeli vuruþ
zts255e	Öfke darbesinin yakýn saldýrý gücünü ve isabet oranýný yükseltir.
zts256e	Mükemmel öfkeli darbe
zts257e	Yakýn mesafede saldýrýyý yükseltir
zts258e	Kusursuz vuruþ
zts259e	Ýntikam darbesinin kritik isabet þansýný yükseltir.
zts260e	Kovolt'un saldýrýsý
zts261e	Saldýrý, kovoltlara öldürücü bir zarar vermek için, onlarýn bilhassa zayýf noktalarýna konsantre olur
zts262e	Öç alma vuruþuna bir su elementi ekler
zts263e	Güçlendirilmiþ kýlýç enerjisi
zts264e	Yakýn mesafede saldýrýyý güçlendirmek için kýlýcýn enerjisini yükseltir
zts265e	Menzil geniþletilir
zts266e	Daha çok güç almak için kýlýcýn menzilini geniþletir
zts267e	Kusursuz isabet
zts268e	Yýldýzlý saldýrýnýn kusursuz isabeti ile rakibin baygýnlaþma olasýlýðýný yükseltir
zts269e	Güçlü yer dalgasý
zts270e	Yer dalgasýnýn saldýrýsýný güçlendirir
zts271e	Vicdansýz yer dalgasý
zts272e	Þiddetli rüzgar sarsýntýsý
zts273e	Belirli bir olasilikla rakibi baygýnlaþtýrýr
zts274e	Rüzgar sarsýntýsýna su elementi ekler
zts275e	Rakibi zayýflat
zts276e	Rakibi çift saldýrý kullanýldýktan sonra belirli bir süre zayýflatýr
zts277e	Ýyileþtirilmiþ çift saldýrý
zts278e	Çift saldýrýya saldýrý gücü ekler
zts279e	Fýrtýnalý vuruþ
zts280e	Dinamik atýþýn saldýrýsýný güçlendirir
zts281e	Tam isabet
zts282e	Dinamik vuruþ kullanýldýðý taktirde rakip her zaman bir zarar görür.
zts283e	Güçlendirilmiþ enerji yüklenmesi
zts284e	Enerjinin yüklenmesini yakýn mesafe saldýrýda iyileþtirir
zts285e	Ýyileþtirilmiþ kan birleþimi
zts286e	Baþarýlý bir kanamaya yol açma olasýlýðýný yükseltir
zts287e	Fýrtýnanýn menzili
zts288e	Fýrtýna darbesinin menzilini geniþletir
zts289e	Çekici vuruþ
zts290e	Rakibin dikkatini senin üzerine çekmek için alay konulu bir vuruþ yapmayý dener
zts291e	Ýyileþtirilmiþ ok atýþý
zts292e	Ok atýþýnda uzun mesafe saldýrýsýný güçlendirir
zts293e	Mükemmel ok atýþý
zts294e	Bitkileri yok eden darbe
zts295e	Yüksek seviyeli bitkilere karþý iyileþtirilmiþ saldýrý
zts296e	Güçlendirilmiþ hançer darbesi
zts297e	Hançer darbesi saldýrýsýný güçlendirir
zts298e	Öldürücü hançer darbesi
zts299e	Hançer darbesiyle yapýlacak kritik isabetin olasýlýðýný yükseltir.
zts300e	Güçlendirilmiþ hedef darbesi
zts301e	Su elementini ekleyerek istenilen hedefe ulaþmak için alýnan niþaný güçlendirir
zts302e	Hedefli bir vuruþ uzak mesafe saldýrýyý güçlendirir
zts303e	Hedefine keskin bir vuruþ kritik bir darbe olma olasýlýðýný yükseltir
zts304e	Verilen zararý iki katýna çýkartma imkani
zts305e	Delik açan vuruþ
zts306e	Delik açan vuruþu uygulamakla kritik darbeler verilmiþ olan zararý fazlalaþtýrýr
zts307e	Eþzamanlý saldýrý
zts308e	Sýçrayan vuruþu uygulama esnasýnda iki katýna çýkarýlmýþ saldýrý
zts309e	Kovolt vuruþu
zts310e	Kovoltlar'a karþý saldýrý güçlendirildi
zts311e	Ýyileþtirilmiþ hýzlý vuruþ
zts312e	Hýzlý vuruþun saldýrýsýný güçlendirir
zts313e	Güçlendirilmiþ ok yaðmuru
zts314e	Ok yaðmurunun saldýrýsýný güçlendirir
zts315e	Menzil
zts316e	Ok yaðmurunun menzilini geniþletir
zts317e	Öldürücü sokma rakibin kanamasýna neden olur
zts318e	Güçlendirilmiþ öldüren sokma
zts319e	Öldürücü sokmanýn saldýrýsýný güçlendirir
zts320e	Güçlendirilmiþ fýrtýnalý darbe
zts321e	Ýyileþtirilmiþ fýrtýnalý bir darbe rakibi etkisiz hale getirme olasýlýðýný yükseltir
zts322e	Saldýrý öldürücü vuruþ uygulamakla yükselir
zts323e	Tempoyu arttýrmak
zts324e	Tempoyu hýzlandýrýr
zts325e	Daha da netleþtirlimiþ Þahin Gözü görüntüsü
zts326e	Þahinin ritüeli sýrasýnda saldýrý yükselir
zts327e	Ýyiliþtirme sanatý bilgisi
zts328e	Yüksek seviyeli zehirlenmelere iyileþme
zts329e	Baþ dönme zehiri
zts330e	Baþ dönme zehirini basit bir hançer üzerinde uyguluyor
zts331e	Öldüren zehir
zts332e	Öldüren bir zehiri basit bir hancere ekliyor
zts333e	Ýtekle
zts334e	Düþmanýný geriye doðru itekle
zts335e	Dinç enerji topu
zts336e	Enerji topunun sihirli saldýrýsýný güçlendirir
zts337e	Enerji topunun menzilini geniþletir
zts338e	Sihirli vuruþ
zts339e	Sihirli silahýn saldýrýsýný iyileþtirir
zts340e	Bitkileri yok eden büyü
zts341e	Alev patlamasý
zts342e	Ateþ topu kullanmakla alevli bir patlamaya sebep olur.
zts343e	Kudretli ateþ topu
zts344e	Ateþ topunun saldýrýsýný güçlendirir
zts345e	Don
zts346e	Rakibi buz topu kullanarak dondurur
zts347e	Buzdan þimþek
zts348e	Buz topunun saldýrýsýný güçlendirir
zts349e	Doða üstü güce sahip füze
zts350e	Büyülü füzenin saldýrýsýný güçlendirir
zts351e	Geniþletilmiþ hareket alaný
zts352e	Büyülü füzenin menzilini geniþletir
zts353e	Çok büyük ateþ sütunu
zts354e	Ateþ sütunun saldýrýsýný güçlendirir
zts355e	Muazzam tornado
zts356e	Muazzam tornadonun saldýrýsýný güçlendirir
zts357e	Yenilenmeyi güçlendirir
zts358e	YP yenilenmesini iyileþtirir
zts359e	YP geri alma
zts360e	YP emilinimin etki seviyesini yükseltir.
zts361e	Sendeleme
zts362e	Meteor
zts363e	Kuþatýcý saldýrý
zts364e	Kuþatýcý saldýrý 2
zts365e	Yapýþ yapýþ tükürük bloðu
zts366e	Kendinden geçme sarmasý
zts367e	Kuvvetli ve yapýþ yapþý bir blok tükür
zts368e	Maden Ýþçisi çaðýrýmý
zts369e	Maden iþçisi çaðýrýmý 2
zts370e	Maden iþçisi çaðýrma 3
zts371e	Güçlü çevre vuruþu (Kenko)
zts372e	Kol üstü atýþý
zts373e	Isýr
zts374e	Buz fýrtýnasý
zts375e	Kuru Koaren'nin dönmeli darbesi
zts376e	Akuku Kennel'in hýzlý koþmasý
zts377e	Huru Kenko'nun çember saldýrýsý
zts378e	Kaplumbaðalar'ýn çember saldýrýsý
zts379e	Kara Cadý'nýn laneti
zts380e	Kanlý Cadý'nýn emir saldýrýsý
zts381e	Madamýn emir saldýrýsý
zts382e	Ölü hanýmefendinin eli
zts383e	Kennels'in saldýrýsý
zts384e	Aslan kurdunun saldýrýsý
zts385e	Düþük seviyeli canavarlarýn saldýrýsý
zts386e	Kirli Boing
zts387e	Örümcek Kral'ýn kendine çekmesi
zts388e	Örümcek Kral'ýn çember saldýrýsý
zts389e	Kulluk Kins'in çember saldýrýsý
zts390e	Kulluk Kins'in hapþýrmasý
zts391e	Toz ölümün ateþ topu
zts392e	Catlottes'un kabiliyeti
zts393e	Catrishas'ýn kabiliyeti 1
zts394e	Catrishas'ýn kabiliyeti 2
zts395e	Güçlü YZK saldýrýsý
zts396e	Catlottes'un kabiliyeti
zts397e	Ginseng'in iyileþmesi
zts398e	Ginseng'in çember saldýrýsý
zts399e	Castra'nýn ilhamý
zts400e	Duman büyüle buraya
zts401e	Uluyan Slade
zts402e	Taþ Atan Slade
zts403e	Kullanýlan temel büyü
zts404e	Siyah devasa örümceðin saldýrýsý
zts405e	Devasa Siyah Örümceðin örümceði
zts406e	Slade'in temel saldýrýsý
zts407e	Iþýnlamayý kullan
zts408e	Atlayan Mandra
zts409e	Demir çekiç saldýrýsý
zts410e	Çýð saldýrýsý
zts411e	Örümcek saldýrýsý
zts412e	Gök taþlarýnýn saldýrýya geçmeleri
zts413e	Kurukafa okçusunun hýzlý ateþi
zts414e	Kurukafa okçusu - güçlü ateþ
zts415e	Kurukafa çekicin saldýrýsý
zts416e	Ölum tozundan oluþan ateþ fýrtýna
zts417e	Nöbetçi Zombi'nin kullanýþlý olmayan sansasyonu
zts418e	Görev Ýzleyicisi
zts419e	Yastýk dövüþü
zts420e	Ölü gövdelerle oyun
zts421e	Uyu
zts422e	Canýn sýkkýn
zts423e	Yerde uzunlamasýna yat
zts424e	Temel alýþtýrma
zts425e	Çay saati
zts426e	Darbuka çal
zts427e	Sana yaslanmak
zts428e	Beni affet
zts429e	Kitap oku
zts430e	Çift el kýlýç saldýrýsý
zts431e	Cesur savaþçýnýn temel saldýrýsý
zts432e	Üç misli vuruþ
zts433e	Rakip, yükseltimiþ yakýn mesafe saldýrýda üç misli zarar görür.
zts434e	Çevik deri
zts435e	Kýsa süreliðine savunma gücünü iyileþtirir.
zts436e	Kasýrga
zts437e	Kýlýcýnýn gücüyle þiddetli bir kasýrga yaratýyorsun.
zts438e	Provokasyon
zts439e	Etrafta bulunan düþmanlarýn dikkatlerini üstüne çekersin.
zts440e	Kesin vuruþ
zts441e	Sýrada bulunan bir çok rakip kýlýcýnla deþilecek.
zts442e	Gözünü korkutmak
zts443e	Düþmanlarýný korkutacak bir çýglýk atar.
zts444e	Rakiplerinle aranda ne kadar seviye farký büyük olursa, o kadar tesiri zayýf olur
zts445e	Omuz Darbesi
zts446e	Rakip çaresiz durumdayken omzunun sol zýrhý ile üstüne çullan.
zts447e	Ýsteklendirmek
zts448e	Kendine ve grubunda bulunanlara moral vermek için cesaret veren bir cýðlýk atýyorsun.
zts449e	Yer þoku
zts450e	Yeri sarsmak ve rakiplerine büyük zarar vermek için kýlýcýnýn enerjisini odaklar.
zts451e	Uçan Ejderha
zts452e	Rakibine ödürücü bir zarar vermek için canavarýn gücünden ve yeteneðinden istifade ederek kýlýcýnýn dönmeli darbesini kullanýyorsun
zts453e	Bununla etkili ve ykýcý güçlere sahip olacaksýn.
zts454e	Kýlýç darbesi
zts455e	Ninja savaþçýlarý'nýn temel saldýrýsý
zts456e	Çarmýh darbesi
zts457e	Kýlýcýný sallýyorsun ve rakibine büyük zarar veriyorsun.
zts458e	Enerjili Kýlýç
zts459e	Yeri ikiye bölmek için yeterli bir kýlýç,bu sayede uzaktaki rakiplerinede hasar verirsin.
zts460e	Zincir saldýrý
zts461e	Üç misli saldýrý rakibini sersem eder ve güçsüz hale getirir.
zts462e	Kýlýç kýlýfý
zts463e	Gücünü yükseltmek için rakibinin saldýrý gücünü kendi enerjine dönüþtürürsün.
zts464e	Kýlýç fýrtýnasý
zts465e	Rakiplerine karþý kýlýçla yapýlan fýrtýna gibi bir saldýrý onlarý aðýr ve derin yaralar.
zts466e	Iþýk hýzý deðerinde saldýrý
zts467e	Hýzlý bir saldýrýyla öne doðru ilerleme
zts468e	Soluklanma
zts469e	Yeniden kuvvetlenmek için zihnini ve bedenini derin bir meditasyon ile dinlendiriyorsun.
zts470e	Öldürücü darbe
zts471e	Kýsa kesiþ ile bir bölgeyi yarabilmek için bütün enerjini topla
zts472e	Keskin kenar
zts473e	Bakýþýný keskinleþtirir
zts474e	Dans eden kýlýç
zts475e	Düþmanlarýný öldürmek için kýlýcýný býrak uçsun
zts476e	Þahin saldýrýsý
zts477e	Saldýrýný bir þahin kadar hassas ve yüksek bir isabet oranýyla gerçekleþtirirsin.
zts478e	Kafa Vuruþu
zts479e	Kafasýna atýlan isabetli bir kurþun kritik bir zarara sebep olur.
zts480e	Rüzgar koþucusu
zts481e	Bir süre temponu hýzlandýrýr.
zts482e	Þimþek Patlamasý
zts483e	Parlak bir þimseðin çarpmasý rakibin gözünü alýr ve böylece karþý saldýrýya geçemez.
zts484e	Üç misli ok
zts485e	Bu yetenek bir çok rakibi bir arada tek bir kurþunla öldürmek ve onlara zarar vermek için kullanýlýr.
zts486e	Menzil deðerini arttýrma
zts487e	Uzak mesafe saldýrýlarda menzili yükseltir.
zts488e	Spiral þimþek
zts489e	Bu þimþek isabet ettiði her bir rakibe öldürücü bir þekilde zarar verir.
zts490e	Ani Patlama
zts491e	Þimþekler tesadüfen bulunduðun bölgede çakýyor.
zts492e	Çabuk dinlenme
zts493e	Yeteneðinin tekrar kullaným süresini belirli bir süre azaltýr
zts494e	Fýrtýna
zts495e	Belirlenen bölgeye oklarýn yaðmur gibi akar.
zts496e	Hançer Saldýrýsý
zts497e	Paralý katilin temel saldýrýsý
zts498e	Kritik Ýsabet
zts499e	Kritik bir isabet vermenin olasýlýðýný yükseltir.
zts500e	Kan darbesi
zts501e	Düþmana karþý kötü niyetli davranýþ öldürücü kanamalara sebep olur.
zts502e	Yoðun sis
zts503e	Rakiplerinin isabet oranýný düþürmek için yoðun bir sis meydana getir.
zts504e	Zincirli halkayý at
zts505e	Rakibi önünde yere düþürmek için zincirli halkayý at ve onunla bedeni sarýlsýn.
zts506e	Saldýrýdan kaçýnmak için atlama
zts507e	Bir saldýrýdan baþarýyla sakýnýrsan enerjini tekrar yükseltebilirsin.
zts508e	Tomahawk
zts509e	Rakibe uçan mýzraklar savur
zts510e	Gölge
zts511e	Karanlýk bir gölgede kendini düþmanlardan saklayarak devam edebilirsin. Rakibe saldýrdýðýn an bu gölge kaybolucak.
zts512e	Dönmeli darbe
zts513e	Hançerle yapýlan çok hýzlý dönmeli darbeler rakibinde derin yaralar açar.
zts514e	Öldürücü darbe
zts515e	Öldürücü bir zarar vermek için güçlendirilmiþ ek saldýrý
zts516e	Gölge yeteneði sýrasýnda etkin bir þekilde kullanilabilir.
zts517e	Bomba
zts518e	Sendeleme sýrasýnda rakibin ayaklarýnýn önünde bomba patlat.
zts519e	Sendeleme ile ayný fonksiyon
zts520e	Ateþ Büyücüsü'nün yeteneði
zts521e	Ateþin kýzýþmasý
zts522e	Rakibe zarar vermek için bir patlamaya sebebiyet verir
zts523e	Ateþin nefesi
zts524e	Rakip ateþli nefesten yanar
zts525e	Büyü enerjisi aktarýmý
zts526e	Sana ait YP'nin belirli bir parçasýný BP'ye dönüþtürür
zts527e	Ateþ fýrtýnasý
zts528e	Rakibi muazzam bir ateþ fýrtýnasýyla yakar
zts529e	Ateþ mýzraðý
zts530e	Rakibi yok etmek için büyük bir ateþ mýzraðýný büyüler
zts531e	Ateþ kutsamasý
zts532e	Ateþ enerjisini iyileþtirir ve ateþ direniþini yükseltir
zts533e	Ateþ duvarý
zts534e	Rakibe zarar vermek için ateþ duvarýný büyüler
zts535e	Meteor saðanaðý
zts536e	Muazzam bir meteor saðanaðý rakibin üzerine yaðar
zts537e	Ýnferno
zts538e	Yerçekimi gücünü azaltan muazzam bir ateþ sütunu
