zts1e	Bester Service
zts48e	Du kannst dein NosMate in eine Perle setzen und diese im Inventar oder im Warenhaus aufbewahren.[n]Kann mit anderen Spielern getauscht werden.[n][Achtung][n]Die Werte des Tiers bleiben erhalten, aber der Name wird gelöscht.[n]Sollte dein NosMate ein höheres Level haben als du, kannst du es zwar im Miniland freilassen, aber nicht mit auf Missionen nehmen.[n]
zts49e	Tausch dein Tier
zts50e	Haustierperle
zts51e	Mit diesem Gegenstand kannst du dein NosMate in eine Perle setzen und diese im Inventar oder im Warenhaus aufbewahren.[n]NosMates, die in Perlen gesetzt wurden, können mit anderen Spielern getauscht werden.[n][Anleitung][n]Wähle dein NosMate an und klicke zweimal auf die Perle.[n][Achtung][n]Die Werte des Tiers bleiben erhalten, aber der Name wird gelöscht.[n]Sollte dein NosMate ein höheres Level haben als du, kannst du es zwar im Miniland freilassen, aber nicht mit auf Missionen nehmen.[n]
zts52e	Lass uns Karten tauschen!
zts53e	Spezialistenkartenhalter
zts54e	Dort kannst du eine Spezialistenkarte ablegen.[n]Dies erlaubt dir, sie mit anderen Spielern zu tauschen.[n]Level und die Erfahrung bleiben erhalten.[n]
zts55e	Spezialisten-Paket Extra
zts56e	Kleiner spezial Auflader
zts57e	Alle HP werden wiederhergestellt.[n]Zusätzlich werden die SpP um 30.000 erhöht.[n]
zts58e	Mittlerer spezial Auflader
zts59e	Alle HP werden wiederhergestellt.[n]Zusätzlich werden die SpP um 70.000 erhöht.[n]
zts60e	Spezialisten-Paket Deluxe
zts61e	Großer spezial Auflader
zts62e	Alle HP/MP werden wiederhergestellt und alle schlechten Effekte werden entfernt.[n]Zusätzlich werden die SpP um 180.000 erhöht.[n]
zts63e	Macht das Wetten sicher!
zts64e	Amulett von Gottes Segen
zts65e	Kann 3 mal benutzt werden[n] Erhöht die Erfolgswahrscheinlichkeit beim Wetten um 10% und beschützt die Waffe bei einem Fehlschlag[n] Kann für Waffen und Ausrüstung benutzt werden[n]
zts66e	Wetten ohne nervös zu werden!
zts67e	Amulett des Gottes Schutz
zts68e	Weihnachtsmann
zts69e	Wiederverwendung der Ausüstung
zts70e	Amulett der Verstärkung
zts71e	Kann 3 mal benutzt werden. [n] Kann die Ausrüstung verbessern, auch bei fixiertem Level.[n]Kann für Waffen und Ausrüstung verwendet werden[n]
zts72e	Einmal volltanken, bitte!
zts73e	99 Großer Kompletter Trank
zts74e	Kaufe 99 Großer Kompletter Tränke[n]
zts78e	Diesen Trank gibt's nur hier!!
zts79e	70 Quellwasser von Cylloan
zts80e	Stellt 3.000 HP/MP wieder her
zts84e	Ich vermisse dich!
zts85e	10 Flügel der Freundschaft
zts86e	Kann zu jedem teleportieren der als dein Freund registriert ist.[n] Kann nur benutzt werden, wenn sich der Freund auf einem normalen Feld ist.[n]Zum teleportieren einfach den Button "'Bewegen" im Messenger drücken.[n]
zts87e	Verziere dich und deine Partner!!!
zts88e	Haarstyle Wachs A, Du siehst so cool aus!!
zts89e	Hier ist zum Beispiel ein Schwertkämpfer.[n]Es gibt andere Karten für Magier und Bogenschützen.[n][n]Hey, ich muss mich von anderen unterscheiden. Der gleiche Haarstyle? Nein danke! Ich bin einmalig, und mein Haarstyle auch! Lass uns die Haare zu Kunst machen.[n]Nicht für Abenteurer.
zts90e	Bogenschützen Wachs A, Du bist mein Schätzchen!
zts91e	Hier ist ein Beispiel des Bogenschützen.[n]Es gibt andere Abbildungen für Schwertkämpfer und Magier.[n][n]Ich muss mich von anderen unterscheiden. Der gleiche Haarstyle? Nein danke! Ich bin einmalig ... und mein Haarstyle auch. Lass uns die Haare zur Kunst machen.[n]Abenteurer können es allerdings nicht benutzen.
zts92e	Zauberer Wachs A, Du bist der Beste!
zts93e	Hier ist zum Beispiel ein Magier.[n]Es gibt andere Karten für Schwertkämpfer und Bogenschützen.[n][n]Hey, ich muss mich von anderen unterscheiden. Der gleiche Haarstyle? Nein danke! Ich bin einmalig, und mein Haarstyle auch! Lass uns die Haare zu Kunst machen.[n]Nicht für Abenteurer.
zts94e	Du voll krass aussehender Typ
zts95e	Schwertkämpfer, Wachs B
zts96e	Hier ist zum Beispiel ein Schwertkämpfer.[n]Es gibt andere Karten für Magier und Bogenschützen.[n][n]Hey, ich muss mich von anderen unterscheiden. Der gleiche Haarstyle? Nein danke! Ich bin einmalig, und mein Haarstyle auch! Lass uns die Haare zu Kunst machen.[n]Nicht für Abenteurer.
zts97e	Bogenschützen, Wachs B!
zts98e	Zauberer, Wachs B!
zts99e	Neue Haarfarbe
zts100e	Rote Haarfärbung
zts101e	Färbt die Haare rot[n]
zts102e	Verändere deine Haarfarbe!
zts103e	Hellgrüne Haarfärbung
zts104e	Färbt die Haare grün[n]
zts105e	Wo hast du das machen lassen?
zts106e	Weiße Haarfärbung
zts107e	Färbt die Haare weiß[n]
zts108e	Der neueste Trend in Sachen Haarfarbe!
zts109e	Blaue Haarfärbung
zts110e	Färbt die Haare blau[n]
zts111e	Steht dir sehr gut!
zts112e	Schwarze Haarfärbung
zts113e	Färbt die Haare schwarz[n]
zts114e	Wer bist du?
zts115e	Selbstvorstellung
zts116e	Erstelle eine Selbstbeschreibung die du anderen zeigen kannst[n](Sie wird angezeigt, wenn du den rechten Button klickst)[n] Benutze bis zu 60 Buchstaben[n]
zts117e	Das spricht alle an
zts118e	12 Lautsprecher
zts119e	Kann deine Worte an alle auf dem Server weiterleiten.[n]Dein Text wird im Chatfenster angezeigt.[n][Anleitung][n]Doppelklicke auf den Speaker und gib dann die Nachricht ein.
zts120e	Trage es in die Welt hinaus
zts121e	Sprechblase
zts122e	Einmal erstellt, bleibt die Nachricht 30 Minuten lang erhalten.[n]Der Text kann dann aber nicht mehr geändert werden und verschwindet beim Verlassen des Spiels.[n][Anleitung][n]Doppelklicke auf die Sprechblase und trage dort die Nachricht ein.[n]Um es zu schließen, gib einfach '$close' im Fenster ein.[n]Wenn du eine neue Nachricht eingibst, bevor du das Fenster schließt, verschwindet die vorherige Nachricht.
zts123e	Wolltest du schon immer mal jemand anderes sein?
zts124e	Anzug für Bob
zts125e	Wenn Bob den Anzug trägt erhöht sich seine Geschwindigkeit um 2.[n]Bewahre deinen Partner nicht in einer Perle auf, sonst geht der Anzug verloren.[n]
zts126e	Gesichtswechsel gefällig?
zts127e	Anzug für Tom
zts128e	Wenn Tom den Anzug trägt, erhöht sich seine Geschwindigkeit um 2.[n]Bewahre deinen Partner nicht in einer Perle auf, sonst geht der Anzug verloren.[n]
zts129e	Ein Hund mit Stammbaum!
zts130e	Anzug für Kliff
zts131e	Wenn Kliff den Anzug trägt, erhöht sich seine Geschwindigkeit um 2.[n]Bewahre deinen Partner nicht in einer Perle auf, sonst geht der Anzug verloren.[n]
zts132e	Erhöht die Basis SpP 30 Tage lang
zts133e	Expertenorden
zts134e	Eine gute Nachricht für alle, die mindestens eine Stunde pro Tag eine Spezialistenkarte tragen.[n][n]Die täglichen SpP werden nun 10.000 + 30.000 sein.[n]Also insgesamt 40.000 SpP (Wenn sie nicht komplett genutzt werden, werden 10% gespart).[n]Erfreue dich an 40.000 SpP für alle 30 Tage.
zts135e	Geschenk des geheimen Partnerevents
zts136e	Medaille der Freundschaft
zts137e	Das Amulett vom Geheimen Partnerevent[n] Wenn sie benutzt wird, wird die Angriffs- und Joberfahrung um 5% erhöht.[n]Wenn du eine Gruppe mit Leuten machst, die das Amulett auch haben, [n]werden nochmals 5% hinzugefügt.[n] Kann für 10 Tage benutzt werden.
zts138e	Ich dachte es ist genug
zts139e	99x Saat der Macht
zts140e	Kaufe 99x Saat der Macht[n]
zts141e	Wo ist deine Würde geblieben?
zts142e	3x Trank der Würde
zts143e	Würde wird wieder auf 100 gesetzt
zts144e	Macht das Aufbessern und Wetten sicher!
zts145e	Ausrüstungsschutzrolle
zts146e	Kann sofort verstärken oder wetten[n] Auch wenn die Verstärkung oder das Wetten fehlschlagen, verschwindet das Item nicht.[n] Wenn beim Wetten ein niedrigeres Level kommt als das momentane rare Level,[n] wird das momentane Level geschützt.[n] Ein Fenster geht auf zum sofortigen Wetten oder Verstärken auf.[n][n] Normalerweise wird es für Waffen und Ausrüstung verwendet[n] Eins wird verbraucht, egal ob es zum Wetten oder Verstärken ist.[n][n]
zts147e	Schriftrolle der Freisetzung
zts148e	Erlaubt es Ausrüstung mit fixiertem Level zu verbessern.[n] Doppelklick die Rolle und dann das Item, [n] das fixierte Level wird gelöst.[n]Wird normalerweise für Waffen und Ausrüstung verwendet[n]
zts149e	5 Ausrüstungsschutz Rollen
zts150e	5 Schriftrollen der Freisetzung
zts151e	Neuste Mode!
zts152e	Katzenhut
zts153e	Resistenzen gegen alle Elemente um 1 erhöht.[n]Alle Elementarkräfte sind um 10 erhöht[n]
zts154e	Verteidigung mit Stil?
zts155e	Eselhut
zts156e	Beschützt dich mit einer gewissen Wahrscheinlichkeit vor dem Schrei der Mandras[n]Maximale HP um 100 erhöht[n]Maximale MP um 50 erhöht[n]
zts157e	Lässt dich gut aussehen
zts158e	Cowboyhut
zts159e	Die Wahrscheinlichkeit einen 'kritischen Schlag' zu erzielen ist um 2% erhöht [n] Bei einem kritischen Schlag wird der Schaden um 10% erhöht.[n] Die Wahrscheinlichkeit kritisch getroffen zu werden verringert sich um 1%[n]
zts160e	So süß
zts161e	Affenhut
zts162e	Beschützt dich vor speziellen Effekten mit einer geringen Wahrscheinlichkeit.[n] Beschützt dich mit einer Wahrscheinlichkeit von 10% vor schlechten Effekten (Level 2).
zts163e	Lässt dich stärker erscheinen!
zts164e	Antilopenhut
zts165e	Maximale HP um 200 erhöht.[n]Maximale MP um 200 erhöht.[n]
zts166e	Mit dem faszinierenden Geruch!
zts167e	Trichterwindenhut
zts168e	Die Wahrscheinlichkeit einen kritischen Schlag zu erhalten, ist um 2% verringert.[n]Wenn ein kritischer Schlag erhalten wird, ist der Schaden um 20% verringert.
zts169e	Stark wie ein Pinguin?
zts170e	Pinguinhut
zts171e	Alle Verteidigung um 15 erhöht.[n] Alle Angriffe um 15 erhöht.[n]
zts172e	Zeige Old-School-Style
zts173e	Kopfbedeckung eines Gentleman
zts174e	Verringert den Schaden von magischen Angriffen um 4% mit einer Wahrscheinlichkeit von 8%.[n]Verringert den Schaden von Fernangriffen um 4%.[n]
zts175e	Süß aber stark
zts176e	Großohren Haarband
zts177e	Vermeidet spezielle Effekte mit einer hohen Wahrscheinlichkeit[n] Erhöht die Moral um 5[n]
zts178e	Liebst du die Natur?
zts179e	Blumentopfhut
zts180e	Gibt 70 zusätzlichen Schaden bei hochleveligen Monstern[n] Gibt 100 zusätzlichen Schaden bei hochleveligen Tieren.[n]
zts181e	Schick dein Tier zur Schule
zts182e	Spezielles Haustierfutter
zts183e	Sobald dein Tier dieses Item gefressen hat, hebt es alle gedroppten Items auf[n] Es muss nicht dauernd gefüttert werden[n] Wie füttert man: Klicke auf das Tier und dann doppelklick auf das Item[n][n][Funktion] Dein Tier hebt die gedroppten Items automatisch auf[n](Funktioniert nur im D Modus). Es hebt nur die Items des Besitzers auf[n] Der Charakter selbst kann die Items auch aufheben. [n] Die Items werden in das Inventar des Besitzers gelegt[n][n] [Warnung] Wenn das Tier in die Perle gelegt wird, wird diese Funktion unterbrochen.
zts184e	Die Resistenz gegen alle Elemente ist um 1 erhöht.[n]Alle Elementarkräfte sind um 10 erhöht.[n]Dieses Item kann nicht gehandelt werden.[n]
zts185e	Es beschützt dich vor dem Schrei der Mandra.[n] HP maximal um 100 erhöht[n] MP maximal um 50 erhöht[n] Dieses Item kann nicht gehandelt werden.[n]
zts186e	Die Wahrscheinlichkeit, einen kritischen Treffer zu erzielen, ist um 2% erhöht.[n]Bei einem kritischen Treffer wird der Schaden um 10% erhöht.[n]Die Wahrscheinlichkeit, kritisch getroffen zu werden, verringert sich um 1%.[n]Das Item kann nicht gehandelt werden.[n]
zts187e	Beschützt dich mit einer hohen Wahrscheinlichkeit vor speziellen Effekten.[n] Beschützt dich mit einer Wahrscheinlichkeit von 10% vor schlechten Effekten (Level 2).[n]Diese Item kann nicht gehandelt werden[n]
zts188e	Maximale HP um 200 erhöht.[n]Maximale MP um 200 erhöht[n] Dieses Item kann nicht gehandelt werden[n]
zts189e	Die Wahrscheinlichkeit einen kritischen Schlag zu erhalten ist um 2% verringert.[n] Wenn ein kritischer Schlag erhalten wird, ist der Schaden um 20% verringert.[n] Dieses Item kann nicht gehandelt werden[n]
zts190e	Alle Verteidigung ist um 15 erhöht.[n] Alle Angriffe sind um 15 erhöht[n] Dieses Item kann nicht gehandelt werden[n]
zts191e	Verringert den Schaden von magischen Angriffen um 4% mit einer Wahrscheinlichkeit von 8%.[n]Verringert den Schaden von Fernangriffen um 4%.[n] Dieses Item kann nicht gehandelt werden[n]
zts192e	Vermeidet spezielle Effekte mit einer hohen Wahrscheinlichkeit[n] Erhöht die Moral um 5[n]Dieses Item kann nicht gehandelt werden[n]
zts193e	Gibt 70 zusätzlichen Schaden bei hochleveligen Monstern[n] Gibt 100 zusätzlichen Schaden bei hochleveligen Tieren.[n]Dieses Item kann nicht gehandelt werden[n]
zts194e	NotUse
zts195e	NotUse
zts196e	NotUse
zts197e	NotUse
zts198e	NotUse
zts199e	NotUse
zts200e	NotUse
zts201e	NotUse
zts202e	NotUse
zts203e	NotUse
zts204e	Unzerstörbar!
zts205e	Riesiges Warenhaus (unbegrenzt)
zts206e	56 Plätze [n] Kann auf unbegrenzte Zeit benutzt werden. [n][n]
zts207e	Interrior Your Terrace
zts208e	NotUse
zts209e	NotUse
zts210e	NotUse
zts211e	NotUse
zts212e	NotUse
zts213e	NotUse
zts214e	NotUse
zts215e	NotUse
zts216e	NotUse
zts217e	NotUse
zts218e	NotUse
zts219e	NotUse
zts220e	NotUse
zts221e	Feuerfee ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Feuerfee[n] Kann nicht gehandelt werden[n]
zts222e	Wassergeist ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Wasserfee[n] Kann nicht gehandelt werden[n]
zts223e	Lichtgeist ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Lichtfee[n] Kann nicht gehandelt werden[n]
zts224e	Schattengeist: Kann bis auf Level 70 steigen.[n]Hat die gleichen Fähigkeiten wie eine Schattenfee[n]Kann nicht gehandelt werden.[n]
zts225e	Feuergeist ; Kann bis auf Level 70 wachsen.[n]Ist bereits Level 40, muss also nicht von 1 an aufwachsen.[n] Hat die gleichen Fähigkeiten wie die Feuerfee[n] Kann nicht gehandelt werden[n]
zts226e	Wassergeist ; Kann bis auf Level 70 wachsen.[n]Ist bereits Level 40, muss also nicht von 1 an aufwachsen.[n] Hat die gleichen Fähigkeiten wie die Wasserfee[n] Kann nicht gehandelt werden wenn es angelegt ist[n]
zts227e	Lichtgeist ; Kann bis auf Level 70 wachsen.[n]Ist bereits 40, muss also nicht von 1 an aufwachsen.[n] Hat die gleichen Fähigkeiten wie die Lichtfee[n] Kann nicht gehandelt werden wenn es angelegt ist[n]
zts228e	Schattengeist: Kann bis auf Level 70 steigen.[n]Ist bereits auf Level 40.[n] Hat die gleichen Fähigkeiten wie eine Schattenfee[n]Kann nicht gehandelt werden.[n]
zts229e	Körperliche Verteidigung 4[n]Fernverteidigung 4[n]Resistenz gegen Magie 4[n]Meiden 4[n]Resistenz für alle Elemente um 1 erhöht[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts230e	Körperliche Verteidigung 4[n]Fernverteidigung 4[n]Resistenz gegen den Schrei des Mandras, wenn es angelegt ist.[n]Maximale HP um 100 erhöht[n]Maximale MP um 50 erhöht[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts231e	Körperliche Verteidigung 3[n]Fernverteidigung 6[n]Resistenz gegen Magie 4[n]Meiden 2[n]Wahrscheinlichkeit, einen kritischen Treffer zu erzielen, ist um 2% erhöht.[n]Schaden bei kritischem Treffer um 10% erhöht.[n]Verringert die Wahrscheinlichkeit, einen kritischen Treffer zu erhalten, um 1%.[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts232e	Körperliche Verteidigung 5[n]Fernverteidigung 3[n]Resistenz gegen Magie 1[n]Verringert die Wahrscheinlichkeit eines Blackouts erheblich.[n]Beschützt mit einer Wahrscheinlichkeit von 10% vor schlechten Effekten (Level 2).[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist[n]
zts233e	Körperliche Verteidigung 13[n]Fernverteidigung 13[n]Resistenz gegen Magie 13[n] Maximale HP um 200 erhöht.[n]Maximale MP um 200 erhöht.[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist[n]
zts234e	Körperliche Verteidigung 7[n]Fernverteidigung 3[n]Meiden 2[n]Verringert die Wahrscheinlichkeit einen kritischen Schlag zu erhalten um 2%[n]Verringert den Schaden von kritischen Schlägen um 20%[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts235e	Körperliche Verteidigung 5[n]Fernverteidigung 5[n]Resistenz gegen Magie 5[n]Meiden 5[n]Alle Verteidigungen um 15 erhöht.[n]Alle Angriffe um 15 erhöht.[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n]Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts236e	Körperliche Verteidigung 1[n]Fernverteidigung 2[n]Resistenz gegen Magie 14[n]Verringert 4% der magischen Angriffe mit einer Wahrscheinlichkeit von 8%.[n]Verringert 4% der Fernangriffe mit einer Wahrscheinlichkeit von 8%.[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n] Kann nicht gehandelt werden, wenn es angelegt ist.[n]
zts237e	Körperliche Verteidigung 12[n]Verringert die Wahrscheinlichkeit des Blutens sehr[n] Moral um 5 erhöht[n]Nur Schwertkämpfer, Bogenschützen und Zauberer können es tragen[n] Kann nicht getauscht werden wenn es getragen wird[n]
zts238e	Körperliche Verteidigung 2[n]Fernverteidigung 10[n]Resistenz gegen Magie 3[n]Verursacht 70% zusätzlichen Schaden bei hochleveligen Monstern.[n]Nur Schwertkämpfer, Bogenschützen und Magier können es tragen.[n] Kann nicht gehandelt werden, wenn es getragen wird.[n]
zts239e	Abenteuerrucksack (10 Tage)
zts240e	NotUse
zts241e	Abenteuerrucksack (30 Tage)
zts242e	Abenteuerrucksack (60 Tage)
zts243e	Partnerrucksack (10 Tage)
zts244e	Partnerrucksack (30 Tage)
zts245e	Partnerrucksack (60 Tage)
zts246e	Haustierkorb (10 Tage)
zts247e	Haustierkorb (30 Tage)
zts248e	Haustierkorb (60 Tage)
zts249e	Rucksack (10 Tage)
zts250e	Rucksack (30 Tage)
zts251e	Rucksack (60 Tage)
zts252e	5 Segnungen der Erenia
zts253e	10 Segnungen der Erenia
zts254e	Segnung des Schutzengels 10 pcs
zts255e	10 Segnungen der Zenas
zts256e	Segnungs Set (5 Stück)
zts257e	Segnungs Set (10 Stück)
zts258e	Haltbarkeits-Wiederherstellungs Coupon (40 Stück)
zts259e	Haltbarkeits-Wiederherstellungs Coupon (99 Stück)
zts260e	Coupon für doppelten Belohnung (10 Stück)
zts261e	Coupon für Produktionspunkte (10 Stück)
zts262e	Coupon für Produktionspunkte (30 Stück)
zts263e	Geheimnisvolle Box A
zts264e	Geheimnisvolle Box B
zts265e	Geheimnisvolle Box C
zts266e	[n]
zts267e	Stelle die Haltbarkeit einfach wieder her
zts268e	Kann benutzt werden in dem man den "Coupon nutzen" Button im Produktionsfeld-Fenster benutzt[n] Ein Coupon erhöht die Haltbarkeit um 300[n]
zts269e	Verdoppel die Belohnung der Mini-Games!
zts270e	Wenn du Coupons im Inventar hast, wirst du gefragt ob du sie benutzen möchtest.[n]Wenn du sie benutzt, bekommst du das doppelte der angezeigten Belohnung.[n]
zts271e	Produziere so viel du möchtest!
zts272e	Pruduktionspunkte Wiederhersteller (10 Stück)
zts273e	Die Produktionspunkte werden um 500 erhöht, wenn du 1 Coupon benutzt.[n]Maximal kannst du dadurch 2.000 Produktionspunkte erhalten.[n]
zts274e	Pruduktionspunkte Wiederhersteller (30 Stück)
zts275e	Benutze alle Items im Inventar.
zts276e	Du kannst alle Items im Inventar für [n]10 Tage benutzen.[n] Kann nicht mit dem Amulett verwendet werden.
zts277e	Du kannst alle Items im Inventar für [n]30 Tage benutzen.[n] Kann nicht mit dem Amulett verwendet werden.
zts278e	Du kannst alle Items im Inventar für [n]60 Tage benutzen.[n] Kann nicht mit dem Amulett verwendet werden.
zts279e	Inventar auch für den Partner
zts280e	Du kannst 50 zusätzliche Inventarplätze deines Partners benutzen.[n]Nur für 10 Tage[n]
zts281e	Du kannst 50 zusätzliche Inventarplätze deines Partners benutzen.[n]Nur für 30 Tage[n]
zts282e	Du kannst 50 zusätzliche Inventarplätze deines Partners benutzen.[n]Nur für 60 Tage[n]
zts283e	Benutze das Warenhaus überall
zts284e	Über deinen NosMate kannst du das Warenhaus überall öffnen.[n]Für 10 Tage anwendbar.[n]
zts285e	Das Warenhaus kann überall geöffnet werden, indem man das Tier verwendet.[n] Nur für 30 Tage[n]
zts286e	Benutze alle Items im Inventar auf einmal.
zts287e	Kaufe einen Expeditionsrucksack, Partnerrucksack und Haustierkorb auf einmal[n]
zts288e	Erhalte einen Ancelloan Segen.
zts289e	5x Ancelloan Segen
zts290e	Schlacht- und Joberfahrung sind für eine Stunde um [n]100% erhöht. Ohne Begrenzung des Levels.[n] Es kann nicht mit dem Amulett benutzt werden.
zts291e	10x Ancelloan Segen
zts292e	Segnung des NosMates
zts293e	5 Segnungen des Schutzengels
zts294e	50% Erhöhung der NosMate Erfahrung.[n] Geschwindigkeit +2[n] hält für 1 Stunde[n]
zts295e	Zauber der doppelten Belohnung
zts296e	Hol dir das coole Item!
zts297e	Bekomme eine der grimmigen Maske A,[n]grimmige Maske B,[n]grimmige Maske C, [n] Perle mit braunem Buschi,[n]Perle mit Gladiator Buschi,[n]Perle mit Kammerjäger Buschi
zts298e	Bekomme eine der stille Maske A,[n]stille Maske B,[n]stille Maske C, [n]Perle mit braunem Buschi,[n]Perle mit Gladiator Buschi,[n]Perle mit Kammerjäger Buschi
zts299e	Bekomme einen Augenbinde des Abgrunds A, [n]Augenbinde des Abgrundes B,[n]Augenbinde des Abgrundes C,[n]Perle mit braunem Buschi,[n]Perle mit Gladiator Buschi,[n]Perle mit Kammerjäger Buschi
zts300e	Schlacht- und Joberfahrung für 1 Stunde um 100% erhöht[n] Für jedes Level[n]
zts301e	Bekomme eine der grimmigen Maske A, grimmige Maske B, grimmige Maske C, Perle mit braunem Buschi, Perle mit schlauem Buschi, Perle mit schwarzem Buschi,[n]5 Cash Items
zts302e	Bekomme eine der stille Maske A, stille Maske B, stille Maske C, Perle mit braunem Buschi, Perle mit schlauem Buschi, Perle mit schwarzem Buschi,[n]5 Cash Items
zts303e	Bekomme einen Augenbinde des Abgrunds A, Augenbinde des Abgrundes B, Augenbinde des Abgrundes C, Perle mit braunem Buschi, Perle mit schlauem Buschi, Perle mit schwarzem Buschi[n]5 Cash Items
zts304e	Ein Buschi als mein NosMate
zts305e	Buschi Buschi Ball
