zts1e	Best Service
zts137e	The medal from Secret partner Event [n]In use, Attack and Job experience increase by 5%. [n] In making a party with the people with the medal, [n] additional 5% of experience point will be added. [n] Can used for 10 days.
zts138e	I thought it's enough
zts139e	99 Seeds of Power
zts140e	Purchase 99 Seeds of Chaos [n]
zts141e	My dignity falls to the ground!
zts142e	3 potions for dignity
zts143e	Dignity restores to 100 [n]
zts144e	Make upgrade and betting safe!
zts145e	Equipment protection scroll
zts146e	Can reinforce or bet immediately [n] Even if reinforce or betting fails, the equipment does not disappear. [n ]If lower Lv. comes than current rare Lv. in betting [n] current Lv. is protected. [n] Window will come up to enable to reinforce or bet immediately. [n] [n] Commonly used for weapon and equipment [n] One will be consumed whether it's for reinforce or betting. [n] [n]
zts147e	Scroll to release fixed Lv.
zts148e	Enables to upgrade an equipment in fixed Lv. [n] Double-click scroll and then click the item [n] the fixed-level will be released. [n] Commonly used for weapon and equipment[n]
zts149e	5 Equipment Protection Scroll
zts150e	5 Scroll to release fixed Lv.
zts151e	New Fashion!
zts152e	Cat hat
zts153e	Resistance for all element increases 1 [n] All element power is increased by 10 [n]
zts154e	Special Choice
zts155e	Donkey hat
zts156e	It protects you from the scream of Mandragora with certain possibility.[n] HP increases 100 in max. [n] MP increases 50 in max[n]
zts157e	Gives great looking style
zts158e	Cowboy hat
zts159e	The possibility of giving 'critical blow' increase by 2%.[n]In critical blow, damage increases 10%.[n]The possibility of being hit by critical decreases  1%.[n]
zts160e	So cute
zts161e	Monkey hat
zts162e	Protects you from the special effect with low possibility.[n] Protects you from - Lv.2 bad effect with 10% of possibility.
zts163e	Shows you stronger!
zts164e	Antelope-horn hat
zts165e	Max HP increases 200.[n]Max MP increases 200.[n]
zts166e	With fascinating fragrance
zts167e	Morning glory' hat
zts168e	The possibility of receiving the critical hit decreases  2%.[n] When receiving the critical blow, damage decreases  20%
zts169e	Totteringly
zts170e	Penguin hat
zts171e	All defense increase 15.[n] All attack increase 15.[n]
zts172e	Shows antique style
zts173e	Old gentleman's hat
zts174e	Decreases 4% of damage to magic attack with 8% of possibility.[n]Decreases 4% of damage to long-range attack.[n]
zts175e	Most powerful but cute item
zts176e	Big ear hair band
zts177e	Prevents you from specific effect with high possibility.[n] Increases Moral by 5.[n]
zts178e	Love the nature?
zts179e	Flower vase hat
zts180e	Gives 70 additional damage to high level monster.[n] Gives 100 additional damage to high level animal.[n]
zts181e	Educate my pet smart ~
zts182e	Food for smart pet
zts183e	Once the pet eats this item, it has the ability to pick up the dropped item.[n] No need for continuous feed.[n]How to feed: Click the pet and double-click the food.[n][n][function] Your pet pick up the dropped item automatically[n](Working only in D mode), It picks up the owner's item only[n]Also character itself can pick up the item[n]The item comes into the owner's inventory[n][n][warning]If the pet is put into the bead, this function is cancelled
zts184e	All elemental resistances are increased by 1.[n]All elemental powers are increased by 10.[n]This item cannot be traded.[n]
zts185e	Protects you from the scream of the Mandragora. [n] Max. HP increase of 100. [n]  Max. MP increase of 50 [n] This item cannot be traded.[n]
zts186e	Increases the chance to inflict a critical hit by 2%.[n]Critical hit damage is increased by 10%.[n]Reduces the chance to suffer a critical hit by 1%.[n]The item cannot be traded.[n]
zts187e	Protects you from the special effect with high possibility.[n] Protects you from - Lv.2 bad effect with 10% of possibility.[n]This item can not be traded between users[n]
zts188e	Max HP increases 200.[n]Max MP increases 200.[n]This item can not be traded between users[n]
zts189e	The possibility of receiving the critical hit decreases  2%.[n] When receiving the critical blow, damage decreases  20%[n]This item can not be traded between users[n]
zts190e	All defense increase 15.[n] All attack increase 15.[n]This item can not be traded between users[n]
zts191e	Decreases 4% of damage to magic attack with 8% of possibility.[n]Decreases 4% of damage to long-range attack.[n]This item can not be traded between users[n]
zts192e	Prevents you from specific effect with high possibility.[n] Increases Moral by 5.[n]This item can not be traded between users[n]
zts193e	Gives 70 additional damage to high level monster.[n] Gives 100 additional damage to high level animal.[n]This item can not be traded between users[n]
zts194e	NotUse
zts195e	NotUse
zts196e	NotUse
zts197e	NotUse
zts198e	NotUse
zts199e	NotUse
zts200e	NotUse
zts201e	NotUse
zts202e	NotUse
zts203e	NotUse
zts204e	Unlimited Usage!
zts205e	Extra large Warehouse(Permanent)
zts206e	Can use all 56 slots, if built in Mini-Land.[n] Can use it permanently.[n]
zts207e	Interrior Your Terrace
zts208e	NotUse
zts209e	NotUse
zts210e	NotUse
zts211e	NotUse
zts212e	NotUse
zts213e	NotUse
zts214e	NotUse
zts215e	NotUse
zts216e	NotUse
zts217e	NotUse
zts218e	NotUse
zts219e	NotUse
zts220e	NotUse
zts221e	Fire Fairy ; Can grow up to 70.[n] Has same skills as fire fairy.[n]Can not be traded when equipped[n]
zts222e	Water Spirit ; can grow up to 70.[n]Has same skills as water fairy.[n]Can not be traded when equipped[n]
zts223e	Light spirit ; Can grow up to 70.[n]Has same skills as light fairy.[n]Can not be traded when equipped[n]
zts224e	Shadow Spirit: Can increase to level 70.[n]Has same skills as a Shadow Fairy.[n]Cannot be traded.[n]
zts225e	Fire spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as fire fairy.[n]Can not be traded when equipped[n]
zts226e	Water Spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as water fairy.[n]Can not be traded when equipped[n]
zts227e	Light Spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as light fairy.[n]Can not be traded when equipped[n]
zts228e	Shadow Spirit: Can increase to level 70.[n]Is already on level 40.[n]Has same skills as a Shadow Fairy.[n]Cannot be traded.[n]
zts229e	Physical defense 4[n]Long-range defense 4[n]Resistance against magic 4[n] evasion 4[n]Resistances to all elements increase 1 [n]Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts230e	Physical defense 4[n]Long-range defense 5[n]Protects from the scream of Mandragora, when equipped.[n]Max HP increases 100[n] Max MP increases 50[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts231e	Physical defense 3[n]Long-range defense 6[n]Resistance against magic 4[n]evasion 2[n]Possibility of making critical blow increases 2%[n]Damage of critical blow increases 10%[n]Decreases the possibility of receiving critical blow 1%[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts232e	Physical defense 5[n]Long-range defense 3[n]Resistance against magic 1[n]Decreases the possibility of black out highly when equipped[n]Protects from bad effect of 2 Lv.-  with 10% of possibility.[n]  Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts233e	Physical defense 13[n]Long-range defense 13[n]Resistance against magic 13[n]Max HP increases 200[n] Max MP increases 200[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts234e	Long-range defense 7[n]Resistance against magic 3[n]Evasion 2 [n]Decreases the possibility of receiving critical blow 2%[n]Decreases the damage of critical blow 20%[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts235e	Physical defense 5[n]Long-range defense 5[n]Resistance against magic 5[n]evasion 5[n]All defense increase 15[n]All attack increase 15[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts236e	Physical defense 1[n]Long-range defense 2[n]Resistance against magic 14[n]Decreases 4% of magic attack with 8% of possibility [n]Decreases 4% of long-range attack with 8% of possibility.[n]  Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts237e	Physical defense 12[n]Decrease highly the possibility of bleeding[n]Morale increases 5[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts238e	Physical defense 2[n]Long-range defense 10[n]Resistance against magic 3[n]Gives additional 70 damage to high level devils. [n]Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts239e	Adventurer's knapsack for 10days
zts240e	NotUse
zts241e	Adventurer's knapsack for 30days
zts242e	Adventurer's knapsack for 60days
zts243e	Partner's backpack 10days
zts244e	Partner's backpack 30days
zts245e	Partner's backpack 60 days
zts246e	NosMate Basket (10 days)
zts247e	Pet Basket (30 days)
zts248e	NosMate Basket (60 days)
zts249e	Backpack set 10 days
zts250e	Backpack set 30 days
zts251e	Backpack set 60 days
zts252e	5 Blessing of Erenia
zts253e	10 Blessing of Erenia
zts254e	Blessings of Guardian Angel 10 pcs
zts255e	10 Zenas' Blessings
zts256e	Blessing set 5 pieces
zts257e	Blessing set 10 pieces
zts258e	Durability recharge coupon 40 pieces
zts259e	Durability recharge coupon 99 pieces
zts260e	Coupon for double reward (10 pieces)
zts261e	Coupon for production points (10 pieces)
zts262e	Coupon for production points (30 pieces)
zts263e	Mysterious box A
zts264e	Mysterious box B
zts265e	Mysterious box C
zts266e	[n]
zts267e	Recharge durability easy way
zts268e	Can use by pressing Coupon use button on the Production field control window.[n] 300 Durability increase per one coupon.[n]
zts269e	Double the reward from mini game!
zts270e	If you have a coupons in inventory, you will be asked if you want to use it. [n] By using it, you will get double reward on designated item.[n]
zts271e	Produce as much as you want!
zts272e	Production Point recharge agent 10 pieces
zts273e	500 Production Point increase per 1 coupon use. [n]Maximum limit 2000 Production Point[n]
zts274e	Production Point recharge agent 30 pieces
zts275e	Use all items in inventory.
zts276e	You can use all items in inventory.[n]for 10 days[n]It can't be used with medal.
zts277e	You can use all items in inventory.[n]for 30 days[n]It can't be used with medal.
zts278e	You can use all items in inventory.[n]for 60days[n]It can't be used with medal.
zts279e	Inventory to partner as well
zts280e	You can use additional inventory 50 space via Partner. [n] 10 days only [n]
zts281e	You can use additional inventory 50 space via Partner. [n] 30 days only [n]
zts282e	You can use additional inventory 50 space via Partner. [n] 60 days only [n]
zts283e	Let's use warehouse anywhere
zts284e	Can open warehouse anywhere by using pet.[n] 10 days only[n]
zts285e	Can open warehouse anywhere by using pet.[n] 30 days only[n]
zts286e	Use all items in inventory all at once.
zts287e	Purchase Explorer's backpack, Partner's backpack, and Pet's delivery basket at one time [n]
zts288e	Receive the blessing of Ancelloan.
zts289e	5 Blessing of Ancelloan.
zts290e	Battle experience and job experience are increased by 100%[n] for 1 hour. Without limit of level. [n]It can't be used with medal.
zts291e	10 Blessing of Ancelloan.
zts292e	Blessings to NosMate
zts293e	Blessing of Guardian Angel 5 pieces
zts294e	50% enhancement on Nosmate experience. [n] Speed +2 [n] use for 1 hour[n]
zts295e	Charm of double reward
zts296e	Come out, the great item!
zts297e	Get one of fierce mask A, [n] fierce mask B, [n] fierce mask C,[n]bush tail's gem, [n]smart bush tail's gem,[n]black bush tail's gem
zts298e	Get one of silence mask A, [n] silence mask B, [n] silence mask C,[n]bush tail's gem, [n]smart bush tail's gem,[n]black bush tail's gem
zts299e	Get one of eye bandage of abyss A, [n] eye bandage of abyss B, [n] eye bandage of abyss C,[n]bush tail's gem, [n]smart bush tail's gem,[n]black bush tail's gem
zts300e	Battle experience and job experience are increased by 100%[n] for 1 hour. Without limit of level. [n]
zts301e	Get one of fierce mask A, fierce mask B, fierce mask C, bush tail's gem, smart bush tail's gem, black bush tail's gem, [n] 5 cash items
zts302e	Get  one of silence mask A , silence mask B, silence mask C, bush tail's gem, smart bush tail's gem, black bush tail's gem, [n] 5 cash items
zts303e	Get  one of eye bandage of abyss A , eye bandage of abyss B, eye bandage of abyss C bush tail's gem, smart bush tail's gem, black bush tail's gem, [n] 5 cash items
zts304e	Tori as my pet
zts305e	Tori Tori ball
zts306e	Can register cute Toris as my pet.[n]
zts307e	Gladiator Bushi Bead
zts308e	Black tori ball
zts309e	Get one of the following things: Fierce Mask A, Fierce Mask B, Fierce Mask C,[n]Brown Bushi Bead, Exterminator Bushi Bead, Gladiator Bushi Bead,[n]Equipment Protection Scroll, Release Scroll, Special Pet Food,[n]Cylloan Spring Water, Large Special Recharger.[n][n]
zts310e	Receive one of the following items: Silence Mask A, Silence Mask B, Silence Mask C,[n]Brown Bushi Bead, Gladiator Bushi Bead, Exterminator Bushi Bead,[n]Equipment Protection Scroll, Release Scroll, Special Pet Food,[n]Cylloan Spring Water or Large Special Potion.
zts311e	Get one of eye bandage of abyss A , eye bandage of abyss B, eye bandage of abyss C[n] bush tail's gem, smart bush tail's gem, black bush tail's gem, [n] Equipment protection scroll, Scroll to release fixed-Lv., Food for Smart pet[n]Spring Water of Cylloan, Big SP point charger
zts312e	Sending fairy's ability up!
zts313e	Fairy booster
zts314e	Boosts fairy skills for 1 hour.[n]If you use the fairy booster you cannot change the fairy effect duration.
zts357e	I have a hunch that I will meet a big hit from the New Year!
zts358e	1 Handsel envelope
zts359e	You can get one of Lower card protection scroll, Medium Special Recharger, Blessing of Ancelloan, Scroll to release fixed-Lv., Equipment protection scroll, Specialist Medal, Very Big Entire Potion, Adventurer's knapsack, Spring Water of Cylloan, Large Special Recharger, Helmet of a black knight, Mask of a black knight, Bead of Tori with a cold, Bead of lucky pig, and Bead of lucky rat. [n]
zts360e	10 Handsel envelope
zts361e	5 Handsel envelope
zts362e	1 Anniversery present
zts363e	As soon as you use it the following effects are active for the next 15 days:[n][Basis Effects][n]You get 4 more slots at "Equipment", "Main" and "ETC" Inventory (totally 12).[n]You get 10% more experience[n][Other Effects][n]Your partner and your NosMate get 10% more experience.[n]Your attack and defence values increase by 10%[n][Attention][n]If you use it together with the adventures backpack the inventory slots are not doubled![n]You are not able to put the Item into the Warehouse.[n][n]
zts364e	Carrying a little mouse.
zts365e	Sweet rat hat
zts366e	You can use the luck rat as your pet.[n][n] The luck rat is able to transfere the plague while an attack. Opponents who got the plague get critical hits for the next 6 seconds.[n]
zts367e	Blessed with a pink pig
zts368e	New year bead!
zts369e	You can use the "lucky pig" as your pet.[n] If it is with you as your NosMate all attack- and defence values are increased by 10%
zts370e	Colds to move around a bunch of accidents.
zts371e	Tori with a cold in the bead
zts373e	I have my own little Santa Claus!
zts374e	Santa Tori's bead
zts571e	You can use all items in inventory.[n]It can't be used with medal.
zts718e	Collie Costume
zts719e	Collie Costume (7 days)
zts720e	Collie Costume (30 days)
zts721e	Collie Costume (Permanent)
zts722e	Golden Retriever Costume
zts723e	Golden Retriever Costume (7 days)
zts724e	Golden Retriever Costume (30 days)
zts725e	Golden Retriever Costume (Permanent)
zts727e	Siamese Costume
zts728e	Siamese Costume(7 days)
zts729e	Siamese Costume (30 days)
zts730e	Siamese Costume (Permanent)
zts731e	grey Kitty Costume
zts732e	grey Kitty Costume (7 days)
zts733e	grey Kitty Costume (30 days)
zts734e	grey Kitty Costume (Permanent)
zts736e	Bunny Costume
zts737e	Bunny Costume (7 days)
zts738e	Bunny Costume (30 days)
zts739e	Bunny Costume (Permanent)
zts740e	yellow Bunny Costume
zts741e	yellow Bunny Costume (7 days)
zts742e	yellow Bunny Costume (30 days)
zts743e	yellow Bunny Costume (Permanent)
zts749e	Lion Costume
zts750e	Lion Costume (7 days)
zts751e	Lion Costume (30 days)
zts752e	Lion Costume (permanent)
zts753e	Bulldog Costume
zts754e	Bulldog Costume (7 days)
zts755e	Bulldog Costume (30 days)
zts756e	Bulldog Costume (Permanent)
zts757e	Dachshund Costume
zts758e	Dachshund Costume (7 days)
zts759e	Dachshund Costume (30 days)
zts760e	Dachshund Costume (Permanent)
zts761e	Burma Cat Costume
zts762e	Burma Cat Costume (7 days)
zts763e	Burma Cat Costume (30 days)
zts764e	Burma Cat Costume (Permanent)
zts765e	Korat Cat Costume
zts766e	Korat Cat Costume (7 days)
zts767e	Korat Cat Costume (30 days)
zts768e	Korat Cat Costume (Permanent)
zts770e	March Hare Costume
zts771e	March Hare Costume (7 days)
zts772e	March Hare Costume (30 days)
zts773e	March Hare Costume (Permanent)
zts774e	White Rabbit Costume
zts775e	White Rabbit Costume (7 days)
zts776e	White Rabbit Costume (30 days)
zts777e	White Rabbit Costume (Permanent)
zts778e	golden Lion Costume
zts779e	golden Lion Costume (7 days)
zts780e	golden Lion Costume (30 days)
zts781e	golden Lion Costume (Permanent)
zts783e	Dalmatian Hat
zts784e	Dalmatian Hat (7 days)
zts785e	Dalmatian Hat (30 days)
zts786e	Dalmatian Hat (Permanent)
zts787e	Rottweiler Hat
zts788e	Rottweiler Hat (7 days)
zts789e	Rottweiler Hat (30 days)
zts790e	Rottweiler Hat (Permanent)
zts792e	Siamese Hat
zts793e	Siamese Hat (7 days)
zts794e	Siamese Hat (30 days)
zts795e	Siamese Hat (Permanent)
zts796e	grey Kitty Hat
zts797e	grey Kitty Hat(7 days)
zts798e	grey Kitty Hat(30 days)
zts799e	grey Kitty Hat(Permanent)
zts801e	Bunny Ears
zts802e	Bunny Ears (7 days)
zts803e	Bunny Ears (30 days)
zts804e	Bunny Ears (Permanent)
zts805e	yellow Bunny Ears
zts806e	yellow Bunny Ears (7 days)
zts807e	yellow Bunny Ears (30 days)
zts808e	yellow Bunny Ears (Permanent)
zts814e	Light Lion Hat
zts815e	Light Lion Hat (7 days)
zts816e	Light Lion Hat (30 days)
zts817e	Light Lion Hat (Permanent)
zts818e	Bulldog Hat
zts819e	Bulldog Hat (7 days)
zts820e	Bulldog Hat (30 days)
zts821e	Bulldog Hat (Permanent)
zts822e	Saint Bernard Hat
zts823e	Saint Bernard Hat (7 days)
zts824e	Saint Bernard Hat (30 days)
zts825e	Saint Bernard Hat (Permanent)
zts826e	Burma Cat Hat
zts827e	Burma Cat Hat (7 days)
zts828e	Burma Cat Hat (30 days)
zts829e	Burma Cat Hat (Permanent)
zts830e	Korat Cat Hat
zts831e	Korat Cat Hat (7 days)
zts832e	Korat Cat Hat (30 days)
zts833e	Korat Cat Hat (Permanent)
zts835e	March Hare Hat
zts836e	March Hare Hat (7 days)
zts837e	March Hare Hat (30 days)
zts838e	March Hare Hat (Permanent)
zts839e	White Rabbit Hat
zts840e	White Rabbit Hat (7 days)
zts841e	White Rabbit Hat (30 days)
zts842e	White Rabbit Hat (Permanent)
zts843e	golden Lion Hat
zts844e	golden Lion Hat (7 days)
zts845e	golden Lion Hat (30 days)
zts846e	golden Lion Hat (Permanent)
zts899e	Dalmatian Hat
zts900e	Dalmatian Hat (7 days)
zts901e	Dalmatian Hat (30 days)
zts902e	Dalmatian Hat (Permanent)
zts903e	Rottweiler Hat
zts904e	Rottweiler Hat (7 days)
zts905e	Rottweiler Hat (30 days)
zts906e	Rottweiler Hat (Permanent)
zts908e	Light Lion Hat
zts909e	Light Lion Hat (7 days)
zts910e	Light Lion Hat (30 days)
zts911e	Light Lion Hat(Permanent)
zts912e	Dark Lion Hat
zts913e	Dark Lion Hat (7 days)
zts914e	Dark Lion Hat (30 days)
zts915e	Dark Lion Hat (Permanent)
zts916e	Bulldog Hat
zts917e	Bulldog Hat (7 days)
zts918e	Bulldog Hat (30 days)
zts919e	Bulldog Hat (Permanent)
zts920e	Saint Bernard Hat
zts921e	Saint Bernard Hat (7 days)
zts922e	Saint Bernard Hat (30 days)
zts923e	Saint Bernard Hat (Permanent)
zts925e	golden Lion Hat
zts926e	golden Lion Hat (7 days)
zts927e	golden Lion Hat (30 days)
zts928e	golden Lion Hat (Permanent)
zts929e	black Lion Hat
zts930e	black Lion Hat (7 days)
zts931e	black Lion Hat (30 days)
zts932e	black Lion Hat (Permanent)
zts933e	Collie Costume
zts934e	Collie Costume (7 days)
zts935e	Collie Costume (30 days)
zts936e	Collie Costume (Permanent)
zts937e	Golden Retriever Costume
zts938e	Golden Retriever Costume (7 days)
zts939e	Golden Retriever Costume (30 days)
zts940e	Golden Retriever Costume (Permanent)
zts941e	Fabulous Lion Hats!
zts942e	Light Lion costume (7 days)
zts943e	Light Lion costume (30 days)
