zts1e	Efectos Generales
zts93e	Efectos secundarios de la reanimación
zts94e	Poder de Ataque Optimizado
zts95e	Defensa Optimizada
zts96e	Defensa Optimizada en lucha cuerpo a cuerpo
zts97e	Defensa Optimizada a larga distancia
zts98e	Aumenta la defensa mágica.
zts99e	Mana Ilimitado
zts100e	Energía Poderosa
zts101e	Optimiza la movilidad
zts102e	Escudo de la Invencibilidad
zts103e	Venenos Inquietos
zts104e	Desactiva el ataque. Puede estar aturdido hasta que el veneno se neutralice
zts105e	Mano Encogida
zts106e	Encoge la mano y disminuye el poder de ataque
zts107e	Estornudar tiene efectos secundarios
zts108e	Un punto débil de Kuluck Kuluck Kin. ¿A lo mejor una buena ocasión para atacar?
zts109e	Veneno Potente de Trorn
zts110e	Envenenado por una poderosa espina toxica
zts111e	Oscuridad de DOOM
zts112e	Mientras más débil sea la oscuridad, más leve será el efecto de un ataque mortal
zts113e	Mano de la Muerte
zts114e	Veneno Mortal
zts115e	Período de espera para la misión
zts116e	Puedes disputar otra vez de la misión, después de que el período de tiempo se haya terminado
zts117e	Ahora es el momento de utilizar un ítem mágico
zts118e	Te da información sobre la duración de vida de items mágicos. Cuando la duración de vida se acaba, desaparece el ítem.
zts119e	Leal
zts120e	Para la hemorragia con una probabilidad del 80% en caso de estar en el nivel 4
zts121e	Quemadura
zts122e	Se debilita a través de ataques de fuego y disminuye el poder de vida duraderamente
zts123e	Quemadura Fatal
zts124e	Aturdimiento Mortal
zts125e	Inmovilizado. No hay manera de moverse, ni utilizar algún ítem
zts126e	Bendición del Fuego
zts127e	Obtiene el poder de fuego y aumenta la resistencia de fuego
zts128e	Debilita el poder de defensa
zts129e	El nivel de defensa baja y disminuye el poder defensivo
zts130e	Destruir escudo
zts131e	Pierde todos los poderes de defensa por varios de segundos.
zts132e	Shock
zts133e	Con un mala sacudida, tu ataque se suspende
zts134e	Piel como de acero
zts135e	Mejora brevemente tu poder de defensa.
zts136e	Aumenta el nivel de moral
zts137e	Aumenta el nivel de moral
zts138e	¡Huye!
zts139e	¡Huye bien lejos!
zts140e	Ojo del Halcón
zts141e	Ofrece una alta probabilidad de hacer un ataque exitoso
zts142e	Corredor de Viento
zts143e	Permite una movilidad rápida
zts144e	Explosión-Relámpago
zts145e	Para el ataque por un rato
zts146e	Rápido
zts147e	Acorta el tiempo de regeneración
zts148e	Se permite salir
zts149e	Retarda  la actuación de magos y la velocidad de movimiento
zts150e	Absorbe el poder de ataque
zts151e	Absorbe el ataque de otros y se recarga él mismo
zts152e	Cuchilla Afilada
zts153e	¡Afila el filo de tu arma!
zts154e	Cortar
zts155e	Disminuye el nivel de MP y reduce el poder de defensa a la mitad
zts156e	Hemorragia Mortal
zts157e	Disminuye el nivel de HP y desactiva ataques mortales
zts158e	Esmog
zts159e	Reduce el índice de acierto.
zts160e	Veneno Mental
zts161e	Causa tantos daños como MP utilizados.
zts162e	Guarida
zts163e	Te esconde del enemigo
zts164e	Veneno Revitalizante
zts165e	Reduce todas las resistencias y recibe todos los ataques mortales
zts166e	Luz de la Magia
zts167e	Disminuye tanto el índice de acierto como el nivel de HP del elemento tinieblas.
zts168e	Escudo de Mana
zts169e	El nivel de MP repone una parte del daño
zts170e	Arma Bendita
zts171e	Aumenta la resistencia a las tinieblas y añade poder de luz
zts172e	Eliminación de las tinieblas
zts173e	Elimina el poder de las tinieblas
zts174e	Bendición
zts175e	Aumenta la defensa y la resistencia.
zts176e	Cre-Up
zts177e	El índice de ataques mortales aumenta con la concentración
zts178e	Sprint
zts179e	Facilita un movimiento rápido instantáneo
zts180e	Bendición del Amante
zts181e	El consumo de Mana disminuye
zts182e	La experiencia aumenta
zts183e	Los puntos de experiencia aumentan por corto período de tiempo
zts184e	El poder de ataque aumenta
zts185e	Aumenta el poder de ataque por un corto período de tiempo
zts186e	Protector Perfecto
zts187e	No podrás atacar ni recibirás ataques por uno corto período de tiempo
zts188e	Desesperanza
zts189e	Ataque sin esperanza
zts190e	Captura
zts191e	¿Sorprendido de ser capturado?
zts192e	Aturdimiento corto
zts193e	Aturdimiento Corto
zts194e	Poner al descubierto el punto débil
zts195e	Pone al descubierto los puntos débiles y reconoce siempre los ataques mortales
zts196e	Rigidez
zts197e	Paraliza el cuerpo de modo que el no se puede mover
zts198e	Oxidación
zts199e	Quema y derrite ropa y armas con un ácido poderoso
zts200e	Infección de Zombi
zts201e	Se vuelve un zombi bruto y hace sonidos raros y desconocidos. Es muy contagioso
zts202e	Inmunidad de Zombi
zts203e	Te da inmunidad contra la infección de zombi
zts204e	Canto del Cielo
zts205e	Atraído por el canto hermoso, te otorga la voluntad de luchar
zts206e	Bendición del Cerdo de la Buena Suerte
zts207e	Aumenta la experiencia en un 10%
zts208e	Bendición de Año Nuevo
zts209e	Aumenta el poder de ataque y defensa un 10%
zts210e	Bendición del Día de San Valentin
zts211e	Sollozar y Llorar
zts212e	Solloza con lágrimas
zts213e	Bendición del Día Blanco
zts214e	Sin hacer sonidos
zts215e	Utiliza el Pergamino Protector
zts216e	Optimiza el equipamiento y protege el nivel de rareza actual
zts217e	Niebla Venenosa
zts218e	La niebla detiene todos los movimientos
zts219e	Bolsillo Dulce
zts220e	Para eventos de temporada. Los puntos de experiencia aumentan un 30%
zts221e	Energía del Arco Iris
zts222e	El poder del triunfo de la Batalla arco iris. ¡El nivel de SP no disminuye!
zts223e	Energía del Arco Iris
zts224e	Aumento del Equipamiento
zts225e	Aumento de Energía
zts226e	El nivel máximo de HP y MP aumenta por un cierto período
zts227e	El nivel de experiencia aumenta un 20%
zts228e	Bendición de Altair y de Wega
zts229e	Bendición de Ancelloan
zts230e	La experiencia recibida aumenta un 100 %.
zts231e	Bendición del Ángel Guardián
zts232e	La experiencia de NosMate aumenta en un 100%.
zts233e	Descarga Eléctrica
zts234e	Has sido paralizado por una descarga eléctrica y no te puedes mover
zts235e	Descarga Eléctrica Fuerte
zts236e	Has sido paralizado por una descarga eléctrica muy fuerte y no te puedes mover
zts237e	Petrificación
zts238e	A través de la petrificación, sentirás que tu trasero se entumece un poco.
zts239e	Veneno de Polillas
zts240e	A través del veneno de las polillas te has vuelto lento y tienes que aguantar un acierto desastroso.
zts241e	Plaga
zts242e	Las plantas han sido afectadas por la plaga, sin embargo, esto se puede evitar con la inyección de zombí.
zts243e	Absorción de Sangre
zts244e	Da la posibilidad de absorber el nivel de HP del oponente y causarle daños.
zts245e	Control de Pensamientos
zts246e	Tu espíritu está bajo otro control y esto causa daños muy serios
zts247e	El Mago del Tesoro
zts248e	La producción de puntos disminuye un 20%
zts249e	La plaga ha ocasionado daños considerables en las plantas.
zts250e	Fortalecedor de hada
zts251e	El elemento del hada aumenta adicionalmente 30.
zts253e	Aumenta todas la habilidades de los elementos y la velocidad durante 10 minutos
zts254e	Escalofrío
zts255e	La velocidad de movimiento ha disminuido intensamente porque tu cuerpo se ha congelado debido al frío.
zts256e	Bendición del Agua
zts257e	Añade el elemento de agua y aumenta la resistencia al agua
zts258e	Congelación
zts259e	No puedes realizar ningún ataque porque has sido herido por el golpe mortal y tu cuerpo esta entumecido por el frío.
zts260e	Fortalecedor encendido
zts261e	Es muy rápido cuando se utiliza el fortalecedor.
zts262e	Gas tóxico
zts263e	La defensa ha disminuido y no puedes aplicar tus técnicas.
zts264e	Súplica de Defensa
zts265e	Aumenta el nivel de defensa y el nivel de HP y MP del compañero
zts266e	Súplica de Ataque
zts267e	Aumenta el nivel de ataque y refuerza el nivel de moral.
zts268e	La 1ra triple recarga
zts269e	A través del elemento sagrado, el poder de ataque aumenta por un rato.
zts270e	La 2da triple recarga
zts271e	La 3ra triple recarga
zts272e	El 2do Gas tóxico
zts273e	No puede hechizar ninguna técnica.
zts274e	Escudo Congelado
zts275e	Protégete a ti mismo y hechiza a tus oponentes congelandolos
zts276e	Aliento Sagrado
zts277e	Reduce el poder de todos los oponentes que no se encuentran en el elemento de la luz.
zts278e	Aumenta el poder de defensa por un período de tiempo limitado.
zts279e	Protege totalmente de daños.
zts280e	Olas de Aire
zts281e	Bendición de la Gema del Alma
zts282e	Mientras lleves una Tarjeta del especialista aumenta la ganancia de experiencia de la Tarjeta del especialista en un 50 % adicional.
zts283e	Utilizar Pergamino protector de tarjetas SP de nivel bajo.
zts284e	Cuando un jugador la utilice, éste puede optimizar su categoría de la tarjeta del especialista del nivel 0 al 9.
zts285e	Utilizar Pergamino protector de tarjetas SP de nivel alto.
zts286e	Cuando un jugador la utilice, éste puede optimizar su categoría de la tarjeta del especialista del nivel 10 al 14.
zts287e	Berserker
zts288e	Aumenta la velocidad de ataque y movilidad. Disminuye la defensa
zts289e	Destroza la armadura
zts290e	Disminuye la defensa del oponente destruyendo su equipamiento defensivo.
zts291e	Espíritu del Águila
zts292e	Despierta en ti el Espíritu del Águila.
zts293e	Brillo Elemental
zts294e	Aumenta la resistencia de luz del Fantasma del Bosque
zts295e	Espíritu del Lobo
zts296e	Despierta en ti el Alma del Lobo-Luz de Luna.
zts297e	Perdida de los elementos
zts298e	Conduce a hacer efectos malvados y a contaminar el bosque.
zts299e	Espíritu del Oso
zts300e	Despierta en ti el Espíritu del Oso.
zts301e	Guardián Fantasma
zts302e	Un dios falso cubre al artillero y lo protege por un rato
zts303e	Poder de las Tienieblas
zts304e	El elemento de las tinieblas aumenta a través de un dios falso.
zts305e	Obsesión
zts306e	Un dios falso controla el espíritu del oponente.
zts307e	Poción del Mal
zts308e	El dios falso adopta el cuerpo de tu oponente.
zts309e	Requiem
zts310e	EL canto del dios falso les hace temblar de miedo a los oponentes.
zts311e	Vida y Muerte
zts312e	Aumenta el poder de ataque y defensa en un 10% por un cierto período de tiempo.
zts313e	Bendición del Año Nuevo
zts314e	Aumenta la ganancia del combate y de la experiencia de profesión en un 10% por un cierto tiempo.
zts315e	Su salud aumenta los costos de combates considerablemente
zts316e	Constipado
zts317e	Tú recibes un constipado muy fuerte y pierdes el control sobre tu cuerpo.
zts318e	Peste
zts319e	No puedes escapar de los ataques de los enemigos porque estas mareado.
zts320e	1r Regalo de Año Nuevo
zts321e	Tu nivel de HP y MP aumenta un 10% por una hora
zts322e	Resucitación
zts323e	Sin el efecto débil de reanimación.
zts324e	Bendición del Día Blanco
zts325e	Insuperable en el modo PvP
zts326e	El nivel de HP no es disminuido durante 5 segundos, mientras seas atacado por enemigos.
zts327e	Disminuye las habilidades del oponente a través de la Luz Sagrada.
zts328e	Aumenta el poder de ataque en el modo PvP
zts329e	Cuando el jugador se encuentre en el modo PvP, el poder de ataque aumenta un 50% durante una hora. Permitida solamente en Glacernon.
zts330e	Aumenta la defensa en modo PvP
zts331e	Cuando el jugador se encuentre en el modo PvP, la defensa aumenta un 50% durante una hora. Permitida solamente en Glacernon.
zts332e	Aumenta la resistencia en el modo PvP
zts333e	Cuando el jugador se encuentre en el modo PvP, las resistencias aumentan un 20% durante una hora. Permitida solamente en Glacernon
zts334e	Después de bloquear, el invasor se congela
zts335e	Nivel del jugador /%d
zts336e	Nivel del jugador *%d
zts337e	Nivel /%d
zts338e	Nivel *%d
zts339e	Conservación de la naturaleza
zts340e	Fortalecimiento del atributo resistencia
zts341e	Aumento del atributo resistencia
zts342e	Cuerno tóxico ligero
zts343e	Cuerno tóxico serio
zts344e	Veneno mortal diluido
zts345e	Veneno mortal grave
zts346e	Gas nervioso suave
zts347e	Gas nervioso
zts348e	Gas Nervioso Fuerte
zts349e	Gas Nervioso Mortal
zts350e	Frío ligero
zts351e	Frío Maligno
zts352e	Frío Mortal
zts353e	Quemadura Leve
zts354e	Quemadura grave
zts355e	Aturdimiento leve
zts356e	Aturdimiento mortal
zts357e	Deterioro de las armas de defensa
zts358e	Destrucción de las armas de defensa
zts359e	Debilitar arma
zts360e	Deteriorar arma
zts361e	Destruir arma
zts362e	Destruir arma
zts363e	Interrumpir el movimiento levemente
zts364e	Interrumpir el movimiento
zts365e	Interrumpir el movimiento fuertemente
zts366e	Interrumpir el movimiento de manera extrema
zts367e	Desesperación leve
zts368e	Desesperación seria
zts369e	Desesperación mortal
zts370e	Miedo leve
zts371e	Miedo serio
zts372e	Miedo mortal
zts373e	Terror leve
zts374e	Terror
zts375e	Terror serio
zts376e	Terror mortal
zts377e	Leve discapacidad
zts378e	Grave discapacidad
zts379e	Seria discapacidad
zts380e	Leve debilidad a la resistencia
zts381e	Debilidad a la resistencia
zts382e	Debilidad a la resistencia grave
zts383e	Seria debilidad a la resistencia
zts384e	Debilitación leve del atributo de ataque
zts385e	Debilidad del atributo de ataque
zts386e	Grave debilidad del atributo de ataque
zts387e	Debilidad seria del atributo de ataque
zts388e	Congelación leve
zts389e	Congelación grave
zts390e	Congelación seria
zts391e	Fosilización leve
zts392e	Fosilización Grave
zts393e	Fosilización seria
zts394e	Rigidez
zts395e	No tengo control sobre mi cuerpo
zts396e	Barreras mágicas
zts397e	Veneno mareador leve
zts398e	Veneno mareador fuerte
zts399e	Veneno mareador mortal
zts400e	En los ataques con luz santa disminuye la resistencia de la luz.
zts401e	No se puede atacar.
zts402e	Palito de chocolate negro
zts403e	La fuerza de ataque aumenta un 10% durante 30 minutos.
zts404e	Palito de chocolate blanco
zts405e	La fuerza de defensa aumenta un 10% durante 30 minutos.
zts406e	Estrella
zts407e	Los puntos de experiencia acumulados aumentan en un 10% durante 50 minutos.
zts408e	Debilitación del atributo del ataque poderoso
zts409e	Debilitación del primer atributo de ataque
zts410e	Furia de la Ardilla toro
zts411e	El toro Tori se pone furioso y por eso aumenta su fuerza de ataque.
zts412e	Aumenta la defensa
zts413e	Aumenta la defensa por un cierto tiempo.
zts414e	Aumenta la posibilidad de acierto crítico
zts415e	Aumenta la posibilidad de acierto crítico por un cierto tiempo.
zts416e	Maximiza ataques mágicos.
zts417e	Maximiza los ataques mágicos por un cierto tiempo.
zts418e	Sombras eléctricas
zts419e	Aumenta la fuerza de defensa.
zts420e	Aumenta la defensa en la lucha cuerpo a cuerpo.
zts421e	Aumenta el daño de un acierto crítico por un cierto tiempo.
zts422e	Medallón Premium (10 días)
zts423e	Tu puedes utilizar el efecto durante su duración.
zts424e	Medallón Premium (30 días)
zts425e	Medallón Premium (1 día)
zts426e	Aliento del Perdedor
zts427e	EL nivel de ataque y defensa baja a 0.
zts428e	El nivel de ataque y defensa baja a 0 y la velocidad de movimiento disminuye 2.
zts429e	El nivel de ataque y defensa baja a 0 y el índice de acierto disminuye en 20.
zts430e	Collar de Hielo
zts431e	La velocidad de movimiento disminuye en 3.
zts432e	Trasmisión de Mana
zts433e	Aumenta el poder de defensa y al mismo tiempo disminuye el daño obtenido en un 30%, a cambio tus Mana se gastarán.
zts434e	Los puntos de experiencia del nivel de lucha y de profesión adquiridos aumentan en un 30% durante 10 minutos mientras dure el efecto de bendición.
zts437e	Junto con tu amigo recibirás doble experiencia. En cuanto tu amigo cierre sesión, este efecto desaparecerá.
zts439e	Maldición de Calvina
zts440e	Has sido afectado por la maldición de Calvina. Tu velocidad de movimiento ha disminuido.
zts441e	Absorber Mana
zts442e	Robale Mana a tu oponente.
zts443e	Revelar debilidades
zts444e	Tu punto más débil está expuesto a tu oponente.
zts445e	No puedes mover tu cuerpo puesto que has recibido un shock eléctrico.
zts446e	Tu energía de vida será utilizada para aumentar la fuerza de ataque.
zts447e	La maldición del Comandante
zts448e	La Maldición del Comandante. Tus valores de ataque y de defensa disminuyen por 60 segundos.
zts449e	Shock de explosión
zts450e	La velocidad de movimiento disminuye y no es posible evadir ataques.
zts451e	La Maldición del Comandate de Èlite
zts452e	La Maldición del Comandante de Èlite. Tus valores de ataque y de defensa disminuyen por 120 segundos.
zts453e	Los puntos de experiencia obtenidos aumentan en un 100%. Entretanto puedes utilizar la Bendición de Ancelloan.
zts454e	Los puntos de experiencia obtenidos aumentan en un 50%. Entretanto puedes utilizar la Bendición de Ancelloan.
zts455e	Los puntos de experiencia obtenidos aumentan en un 20%. Entretanto puedes utilizar la Bendición de Ancelloan.
zts456e	La Cólera del Comandante
zts457e	El Comandante está disgustado.
zts458e	Bendición protectora
zts459e	La Bendición protectora aumenta la fuerza de defensa del Comandante.
zts460e	La Maldición del Gran Comandante. Tus valores de ataque y de defensa disminuyen por 90 segundos.
zts462e	Aumenta los HP / MP en un 10% durante 3200 segundos.
zts463e	Disminuye el ataque del enemigo mediante un escudo protector de hielo.
zts464e	Felicitación pequeña de San Valentín
zts465e	Tu fuerza de ataque y de defensa aumentan respectivamente en un 5%.
zts466e	Felicitación de San Valentín
zts467e	Felicitación grande de San Valentín
zts468e	Tu fuerza de ataque y defensa aumentan respectivamente en un 20%.
zts469e	Felicitación pequeña del Día Blanco
zts470e	Felicitación pequeña del Día Blanco
zts475e	Boda
zts476e	Los puntos de experiencia recibidos aumentan en un 5 %.
zts477e	Bendición del fantasma
zts478e	Aumenta el poder de ataque. +100% en todos los poderes de ataque.
zts479e	Maldición del fantasma
zts480e	Aumenta el poder de ataque. -100 % a todos los ataques.
zts481e	Gruñido del perro guardián
zts482e	Rugido del perro guardián
zts483e	Ira del fantasma
zts484e	Maldición de la Calabaza
zts485e	Si sufres otros ataques de la oscuridad, no podrás atacar por poco tiempo.
zts486e	Fuga de las Tropas de Escolta
zts487e	Pierdes HP debido a la fuga de las Tropas de Escolta .
zts495e	Aumentan tu potencia de defensa y tu puntería. Se resta el 30% de los daños que sufres de tus MP en lugar de de tus HP.
zts496e	Sanación milagrosa
zts497e	Fortifica el cuerpo para aumentar la defensa.
zts501e	Bendición de Año Nuevo gigante
zts502e	Feliz Año Nuevo
zts503e	Este año vas a tener mucha suerte.
zts506e	Aturdido
zts507e	Tu mascota ha sufrido un shock y por eso estará aturdida durante 30 minutos.
zts508e	Muy aturdido
zts509e	Tu mascota ha sufrido un shock y por eso estará aturdida durante 50 minutos.
zts512e	Acelerador
zts513e	Tu velocidad aumenta al máximo por un período corto de tiempo.
zts514e	Tras vencer en la Batalla Arco Iris recibes este poder, útil en Glacernon.
zts515e	Herida de bala
zts516e	Estás gravemente herido por una herida de bala.
zts517e	esconder en barril de ron
zts518e	Buscas protección contra el ataque del enemigo.
zts519e	Calor de la Espada Ardiente
zts520e	La energía de vida disminuye continuamente por el calor.
zts521e	Aceite de Flor de Hielo
zts522e	El Aceite de Flor de Hielo permite soportar el calor abrasante.
zts523e	Bendición de Kertos
zts524e	La Bendición de Kertos aumenta la potencia de ataque.
zts525e	Quemar
zts526e	Si sufres daños por un ataque cuerpo a cuerpo, te encuentras en grave peligro.
zts527e	Telaraña
zts528e	Caes en una telaraña y te conviertes así en una presa fácil para tu enemigo.
zts529e	Pérdida de visibilidad
zts530e	Pérdida de visión temporal por el resplandor.
zts531e	Escudo del calor resplandeciente
zts532e	El Escudo del calor resplandeciente te ha hecho más resistente.
zts533e	Erupción de lava
zts534e	El calor abrasante de la lava le provoca grandes daños al adversario.
zts535e	Gran erupción de lava
zts536e	El calor abrasante provoca grandes daños al adversario.
zts537e	Veneno de Llamas
zts538e	Con el tiempo vas perdiendo HP porque has sido víctima del Veneno de Llamas.
zts539e	El hálito ardiente del Fénix
zts540e	Pierdes tu espíritu de combate por el hálito ardiente del Fénix.
zts541e	Quemadura ardiente
zts542e	No te puedes mover ni atacar a nadie por la quemadura.
zts543e	La maldición de las llamas rojas
zts544e	La maldición de las llamas rojas limita tu resistencia contra el Aura de Llamas. Aumenta la probabilidad de que recibas un golpe crítico.
zts546e	Desvanecimiento temporal a causa del temblor provocado por una explosión.
zts547e	Herida en lugar delicado
zts548e	Riesgo vital por herida en lugar delicado
zts549e	Ardilla Rudolf Furiosa
zts550e	La Ardilla Rudolf se enfurece y su potencia de ataque aumenta.
zts551e	Grito de guerra del centurión
zts552e	El Grito de guerra del centurión provoca en el adversario siempre un acierto crítico.
zts553e	Atadura
zts554e	Descomposición fuerte
zts555e	Destruye armaduras y armas gracias a un poderoso ácido.
zts556e	No puedes moverte mientras estés bajo los efectos de la atadura.
zts557e	Aumenta la ganancia de experiencia
zts558e	Aumenta durante una hora la ganancia de experiencia (20 % para miembros de la familia, 10 % para otros jugadores).
zts559e	Aumenta la ganancia de oro
zts560e	Aumenta durante una hora la ganancia de oro (20 % para miembros de la familia, 10 % para otros jugadores).
zts561e	Efecto "gran resistencia"
zts562e	Proporciona durante una hora el efecto "gran resistencia". Durante este tiempo, puedes recibir objetos y experiencia como si estuvieras en un estado normal.
zts565e	Posibilidad de contraataque
zts566e	Posibilidad de contraataque fatal único.
zts567e	Derribo
zts568e	El estado de Derribo se suspenderá cuando el adversario sufra un ataque o un desvanecimiento. En combinación con la habilidad "Ejecución" inflige al oponente un 30% de daño adicional.
zts569e	Estado extremadamente tembloroso
zts570e	El Estado extremadamente tembloroso aparece tras una pérdida de equilibrio causada por la provocación extrema del enemigo y conlleva daño adicional.
zts571e	Reflexión mágica
zts572e	La reflexión mágica devuelve los efectos negativos del enemigo con una cierta probabilidad. Las habilidades que solo generan efectos dañinos no se pueden reflejar.
zts573e	Estado tembloroso
zts574e	El Estado tembloroso es causado por una pérdida del equilibrio debido a una provocación extrema por parte del enemigo.
zts575e	Gangrena
zts576e	La fuerza de ataque y la velocidad de movimiento aumentan a causa de la sed de sangre.
zts577e	Suspiro del perdedor
zts578e	El Suspiro del perdedor te desanima con una derrota. Si se combina con la habilidad "Ejecución" recibirás un daño adicional del 70%.
zts579e	Júbilo de la multitud
zts580e	Con el Júbilo de la multitud tu espíritu de lucha se verá potenciado gracias a la alegría de la derrota del enemigo.
zts581e	Refuerzo de la explosión
zts582e	Con el Refuerzo de la explosión aumentan el índice de acierto y el campo de ataque.
zts583e	Grito de victoria
zts584e	El Grito de victoria demuestra la participación en la batalla con un gran deseo de éxito.
zts585e	Primera onda expansiva
zts586e	El adversario se sume en un estado de aturdimiento como resultado de un potente trueno.
zts587e	Escudo de magma
zts588e	El Escudo de magma absorbe la fuerza de ataque del enemigo y rellena los MP.
zts589e	Gas venenoso del volcán
zts590e	El Gas venenoso del volcán inflige daño al enemigo.
zts591e	Poder del volcán
zts592e	El Poder del volcán maximiza todas las habilidades de Volcano
zts593e	Pantano de lava
zts594e	El Pantano de lava disminuye la habilidad de ataque.
zts595e	Lengua de lava
zts596e	La Lengua de lava hace que el adversario tenga una pequeña probabilidad de quedar atrapado en la lava durante el proceso de solidificación.
zts597e	Lengua de lava grande
zts598e	La Lengua de lava grande hace que el adversario tenga una determinada probabilidad de quedar atrapado en la lava durante el proceso de solidificación.
zts599e	Lava borboteante
zts600e	La Lava borboteante proporciona una gran probabilidad de que el enemigo quede atrapado en la lava en proceso de solidificación.
zts601e	Lava ardiente
zts602e	La Lava ardiente hace que el adversario quede atrapado rápidamente.
zts603e	Lava solidificada
zts604e	El oponente no puede hacer nada contra la lava solidificada.
zts605e	Increíble
zts606e	El enemigo cae presa del pánico a causa de una onda expansiva.
zts607e	Gran onda expansiva
zts608e	La Gran onda expansiva destroza todo a su paso.
zts609e	Cargador turbo
zts610e	El Cargador turbo potencia el rendimiento mediante un rearme del cañón.
zts611e	Inhibición de carga
zts612e	La efectividad del cañón está bloqueada debido a una construcción defectuosa.
zts613e	Tanque de magma
zts614e	El Tanque de magma cubre tu armadura y te proporciona un poder de defensa extremo.
zts615e	Segunda onda expansiva
zts616e	Tercera onda expansiva
zts617e	Terror de dragón
zts618e	Paraliza a causa de un gran terror a los dragones.
zts619e	Aturdimiento causado por un mal aterrizaje
zts620e	Induce al objetivo un estado de aturdimiento causado por un mal aterrizaje.
zts621e	Onda expansiva perpetua
zts622e	Induce al objetivo un estado de aturdimiento de larga duración.
zts623e	El estado de Derribo se suspenderá cuando el adversario sufra un ataque o un desvanecimiento. En combinación con la habilidad "Ejecución" inflige al oponente un 20% de daño adicional.
zts624e	La efectividad del cuerpo aumenta a causa de la sed de sangre.
zts625e	El Suspiro del perdedor te desanima con una derrota. Si se combina con la habilidad "Ejecución" recibirás un daño adicional del 40%.
zts626e	La Lava ardiente hace que el adversario tenga una probabilidad máxima de quedar atrapado en la lava.
zts627e	Defensa con el arma
zts628e	Defenderse con el cañón de los ataques del enemigo.
zts629e	Fuego infernal
zts630e	El fuego infernal debilita a tu enemigo y sus HP disminuyen constantemente.
zts631e	Hemorragia fatal
zts632e	Bendición de Lechuza
