zts1e	Spezialangriff
zts62e	Erhöht den Schaden mit einer Wahrscheinlichkeit von %s%% um %s%%.
zts63e	Bei einem Angriff wird mit einer Wahrscheinlichkeit von %s%% der Schaden um %s%% verringert.
zts64e	Die Wahrscheinlichkeit, einen kritischen Treffer zu erhalten, ist um %s%% erhöht.
zts65e	Die Wahrscheinlichkeit, einen kritischen Treffer zu erhalten, ist um %s%% verringert.
zts66e	Der Schaden durch kritische Treffer ist um %s%% erhöht.
zts67e	Der Schaden durch kritische Treffer ist um %s%% verringert.
zts68e	Besonderer kritischer Angriff
zts69e	Kann auf jeden Fall einen kritischen Angriff ausführen.
zts70e	Kann keinen sicheren kritischen Angriff ausführen.
zts71e	Erhält immer kritische Treffer.
zts72e	Erhält manchmal kritische Treffer.
zts73e	Reguläre Chance auf kritische Treffer
zts74e	Richtet immer einen kritischen Treffer an.
zts75e	Erzielt nie kritische Treffer.
zts76e	Erhält immer kritische Treffer.
zts77e	Erhält nie kritische Treffer.
zts78e	Erzielt kritische Treffer immer mit einer Wahrscheinlichkeit von %s%%.
zts79e	Erhält einen kritischen Treffer mit einer Wahrscheinlichkeit von %s%%.
zts80e	Verändert das Element.
zts81e	Verändert das Feuerelement.
zts82e	Verändert das Wasserelement.
zts83e	Verändert das Lichtelement.
zts84e	Verändert das Schattenelement.
zts85e	Verändert alle vorkommenden Elemente.
zts86e	Das Feuerelement ist um %s erhöht.
zts87e	Das Feuerelement ist um %s verringert.
zts88e	Das Wasserelement ist um %s erhöht.
zts89e	Das Wasserelement ist um %s verringert.
zts90e	Das Lichtelement ist um %s erhöht.
zts91e	Das Lichtelement ist um %s verringert.
zts92e	Das Schattenelement ist um %s erhöht.
zts93e	Das Schattenelement ist um %s verringert.
zts94e	Jedes Element ist um %s erhöht.
zts95e	Jedes Element ist um %s verringert.
zts96e	Vergrößert den Schaden.
zts97e	Vergrößert die Wahrscheinlichkeit.
zts98e	Erhöht den Schaden mit einer Wahrscheinlichkeit von %s%% um %s%%.
zts99e	Reduziert den Schaden mit einer Wahrscheinlichkeit von %s%% um %s%%.
zts100e	Das Feuerelement ist um %s erhöht.
zts101e	Das Feuerelement ist um %s verringert.
zts102e	Das Wasserelement ist um %s erhöht.
zts103e	Das Wasserelement ist um %s verringert.
zts104e	Das Lichtelement ist um %s erhöht.
zts105e	Das Lichtelement ist um %s verringert.
zts106e	Das Schattenelement ist um %s erhöht.
zts107e	Das Schattenelement ist um %s verringert.
zts108e	Verändert die Verteidigungskraft.
zts109e	Verändert alle Verteidigungskräfte.
zts110e	Verändert die Nahangriffsverteidigung.
zts111e	Verändert die Fernangriffsverteidigung.
zts112e	Verändert die Magieverteidigung.
zts113e	Verändert das Verteidigungslevel.
zts114e	Alle Verteidigungen sind um %s erhöht.
zts115e	Alle Verteidigungen sind um %s verringert.
zts116e	Die Nahangriffsverteidigung ist um %s erhöht.
zts117e	Die Nahangriffsverteidigung ist um %s verringert.
zts118e	Die Fernangriffsverteidigung ist um %s erhöht.
zts119e	Die Fernangriffsverteidigung ist um %s verringert.
zts120e	Die Magieverteidigung ist um %s erhöht.
zts121e	Die Magieverteidigung ist um %s verringert.
zts122e	Das Verteidigungslevel ist um %s erhöht.
zts123e	Das Verteidigungslevel ist um %s verringert.
zts124e	Verändert Meiden und die Verteidigungskraft prozentual.
zts125e	Verändert jedes Meiden.
zts126e	Verändert das Meiden von Nahangriffen.
zts127e	Verändert das Meiden von Fernangriffen.
zts128e	Verändert die Verteidigungskraft prozentual.
zts129e	Das Meiden ist um %s erhöht.
zts130e	Das Meiden ist um %s verringert.
zts131e	Das Meiden von Nahangriffen ist um %s erhöht.
zts132e	Das Meiden von Nahangriffen ist um %s verringert.
zts133e	Das Meiden vor Fernangriffen ist um %s erhöht.
zts134e	Das Meiden von Fernangriffen ist um %s verringert.
zts135e	Die Verteidigung ist um %s%% erhöht.
zts136e	Die Verteidigung ist um %s%% verringert.
zts137e	Verändert die Verteidigung.
zts138e	Verändert alle Verteidigungsvarianten.
zts139e	Verändert die Verteidigung für Nahangriffe.
zts140e	Verändert die Verteidigung für Fernangriffe.
zts141e	Verändert die Verteidigung für Magieangriffe.
zts142e	Der Schaden von allen Angriffen wird mit einer Wahrscheinlichkeit von %s%% um %s%% erhöht.
zts143e	Der Schaden aller Angriffe wird mit einer Wahrscheinlichkeit von %s%% um %s%% reduziert.
zts144e	Der Schaden durch Nahangriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% erhöht.
zts145e	Der Schaden durch Nahangriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% verringert.
zts146e	Der Schaden durch Fernangriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% erhöht.
zts147e	Der Schaden durch Fernangriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% verringert.
zts148e	Der Schaden durch magische Angriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% erhöht.
zts149e	Der Schaden durch magische Angriffe ist mit einer Wahrscheinlichkeit von %s%% um %s%% verringert.
zts150e	Verändert die Absorption.
zts151e	Verändert alle Absorptionen.
zts152e	Verändert die Nahabsorption.
zts153e	Verändert die Fernabsorption.
zts154e	Verändert die magische Absorption.
zts155e	Alle Angriffe unter Level (+%s) machen %s%% mehr Schaden.
zts156e	Alle Angriffe unter Level (+%s) machen %s%% weniger Schaden.
zts157e	Alle Nahangriffe unter Level (+%s) machen %s%% mehr Schaden.
zts158e	Alle Nahangriffe unter Level (+%s) machen %s%% weniger Schaden.
zts159e	Alle Fernangriffe unter Level (+%s) machen %s%% mehr Schaden.
zts160e	Ein Fernangriff unter Level (+%s) macht %s%% weniger Schaden.
zts161e	Ein magischer Angriff unter Level (+%s) macht %s%% mehr Schaden.
zts162e	Alle magische Angriffe unter Level (+%s) machen %s%% weniger Schaden.
zts163e	Verändert die Resistenz des Elements.
zts164e	Verändert alle Resistenzen.
zts165e	Verändert die Feuerresistenz.
zts166e	Verändert die Wasserresistenz.
zts167e	Verändert die Lichtresistenz.
zts168e	Verändert die Schattenresistenz.
zts169e	Die Resistenz gegen jedes Element ist um %s erhöht.
zts170e	Die Resistenz gegen alle Elemente ist um %s verringert.
zts171e	Die Feuerresistenz ist um %s erhöht.
zts172e	Die Feuerresistenz ist um %s verringert.
zts173e	Die Wasserresistenz ist um %s erhöht.
zts174e	Die Wasserresistenz ist um %s verringert.
zts175e	Die Lichtresistenz ist um %s erhöht.
zts176e	Die Lichtresistenz ist um %s verringert.
zts177e	Die Schattenresistenz ist um %s erhöht.
zts178e	Die Schattenresistenz ist um %s verringert.
zts179e	Verändert die Resistenzen des Gegners.
zts180e	Verändert alle Resistenzen des Gegners.
zts181e	Verändert die Feuerresistenz des Gegners.
zts182e	Verändert die Wasserresistenz des Gegners.
zts183e	Verändert die Lichtresistenz des Gegners.
zts184e	Verändert die Schattenresistenz des Gegners.
zts185e	Erhöht jede Elementresistenz des Gegners um %s.
zts186e	Verringert jede Elementresistenz des Gegners um %s.
zts187e	Erhöht die Feuerresistenz des Gegners um %s.
zts188e	Verringert die Feuerresistenz des Gegners um %s.
zts189e	Erhöht die Wasserresistenz des Gegners um %s.
zts190e	Verringert die Wasserresistenz des Gegners um %s.
zts191e	Erhöht die Lichtresistenz des Gegners um %s.
zts192e	Verringert die Lichtresistenz des Gegners um %s.
zts193e	Erhöht die Schattenresistenz des Gegners um %s.
zts194e	Verringert die Schattenresistenz des Gegners um %s.
zts195e	Verändert den Schaden.
zts196e	Verändert alle Schäden.
zts197e	Verändert den Nahangriffsschaden.
zts198e	Verändert den Fernangriffsschaden.
zts199e	Verändert den Zauberschaden.
zts200e	Der Schaden ist um %s%% erhöht.
zts201e	Der Schaden ist um %s%% verringert.
zts202e	Der Schaden durch Nahangriffe ist um %s%% erhöht.
zts203e	Der Schaden durch Nahangriffe ist um %s%% verringert.
zts204e	Der Schaden durch Fernangriffe ist um %s%% erhöht.
zts205e	Der Schaden durch Fernangriffe ist um %s%% verringert.
zts206e	Der Schaden durch magische Angriffe ist um %s%% erhöht.
zts207e	Der Schaden durch magische Angriffe ist um %s%% verringert.
zts208e	Verhindert die Veränderung des Fokus und weicht Fernangriffen sicher aus.
zts209e	Verändert definitiv den Fokus.
zts210e	Verändert das sichere Meiden prozentual.
zts211e	Keine Strafe für große Distanzen
zts212e	Je weiter die Entfernung, desto größer der Schaden.
zts213e	Mit einer Wahrscheinlichkeit von %s%% ist jede Attacke ein Treffer.
zts214e	Meidet das Ziel immer mit einer Wahrscheinlichkeit von %s%%.
zts215e	Keine Strafe bei zu nahem Fernangriff
zts216e	Die Fernangriffskraft erhöht sich fortwährend, wenn die Entfernung zum Gegner größer wird.
zts217e	Verändert die Moral.
zts218e	Verändert den Moralwert.
zts219e	Verdoppelt den Moralwert.
zts220e	Keine Auswirkung auf die Moral
zts221e	Verändert die Abklingzeit.
zts222e	Ignoriert die Moral.
zts223e	Der Moralwert ist um %s erhöht.
zts224e	Der Moralwert ist um %s verringert.
zts225e	Der Moralwert ist verdoppelt.
zts226e	Der Moralwert ist halbiert.
zts227e	Keine Auswirkung auf den Moralwert
zts228e	Die Abklingzeit des Skills ist um %s%% erhöht.
zts229e	Verringert die Abklingzeit gewirkter Skills um %s%%.
zts230e	Ignoriert während des Angriffs die Moral des Gegners.
zts231e	Wirken
zts232e	Verändert die Wirkungsdauer.
zts233e	Verändert den Manaverbrauch.
zts234e	Verändert die Angriffsgeschwindigkeit.
zts235e	Wirken fehlgeschlagen
zts236e	Wirken unterbrechen
zts237e	Die Wirkungsdauer ist um %s%% erhöht.
zts238e	Die Wirkungsdauer ist um %s%% verringert.
zts239e	Der Manaverbrauch bei Verwendung von Skills ist um %s%% erhöht. (Gilt auch für Magie.)
zts240e	Der Manaverbrauch bei Verwendung von Skills ist um %s%% verringert. (Gilt auch für Magie.)
zts241e	Die Angriffsgeschwindigkeit ist um %s%% erhöht.
zts242e	Die Angriffsgeschwindigkeit ist um %s%% verringert.
zts243e	Wirken des Skills fehlgeschlagen (Gilt auch für Magie.)
zts244e	Wirken unterbrechen (Gilt auch für Magie.)
zts245e	Bewegen
zts246e	Unterbricht Bewegungen
zts247e	Verändert die Bewegungsgeschwindigkeit.
zts248e	Verändert die Bewegungsgeschwindigkeit.
zts249e	Erhöht/Verringert die Bewegungsgeschwindigkeit.
zts250e	Keine Bewegung möglich
zts251e	Die Bewegungsgeschwindigkeit ist um %s%% erhöht.
zts252e	Die Bewegungsgeschwindigkeit ist um %s%% verringert.
zts253e	Die Bewegungsgeschwindigkeit wird %s.
zts254e	Die Bewegungsgeschwindigkeit ist um %s erhöht.
zts255e	Die Bewegungsgeschwindigkeit ist um %s verringert.
zts256e	Spiegelung
zts257e	Verändert die HP entsprechend des erhaltenen prozentualen Schadens.
zts258e	Verändert die MP entsprechend des erhaltenen prozentualen Schadens.
zts259e	Verändert die HP entsprechend des erhaltenen prozentualen Schadens.
zts260e	Verändert die MP entsprechend des erhaltenen prozentualen Schadens.
zts261e	Die HP sind um %s%% des verursachten Schadens erhöht.
zts262e	Die HP sind um %s%% des verursachten Schadens verringert.
zts263e	Die MP sind um %s%% des verursachten Schadens erhöht.
zts264e	Die MP sind um %s%% des verursachten Schadens verringert.
zts265e	Die HP des Gegners werden um %s%% des von mir erhaltenen Schadens erhöht.
zts266e	Die HP des Gegners werden um %s%% des von mir erhaltenen Schadens verringert.
zts267e	Die MP des Gegners werden um %s%% des von mir erhaltenen Schadens erhöht.
zts268e	Die MP des Gegners werden um %s%% des von mir erhaltenen Schadens verringert.
zts269e	Entziehen und stehlen
zts270e	Wandelt MP in HP um.
zts271e	Wandelt HP in MP um.
zts272e	Stiehlt HP.
zts273e	Stiehlt MP.
zts274e	Stiehlt HP und entzieht MP.
zts275e	Erhalte %s HP durch den Verbrauch von %s MP.
zts276e	Erhalte %s MP durch den Verbrauch von %s HP.
zts277e	Gibt dem Gegner mit einer Wahrscheinlichkeit von %s%% %s HP.
zts278e	Entzieht dem Gegner mit einer Wahrscheinlichkeit von %s%% %s HP.
zts279e	Gibt dem Gegner mit einer Wahrscheinlichkeit von %s%% %s MP.
zts280e	Entzieht dem Gegner mit einer Wahrscheinlichkeit von %s%% %s MP.
zts281e	Wandelt %s MP des Gegners in HP des Gegners um.
zts282e	Wandelt %s HP des Gegners in eigene MP um.
zts283e	Heilen/Brennen und Wirken
zts284e	HP-Heilung/Brennen
zts285e	MP-Heilung/Brennen
zts286e	Verändert die HP während des Wirkens.
zts287e	Verändert die HP bei einer Störung der Konzentration.
zts288e	Wandelt so viele HP in MP um, wie zum Wirken gebraucht werden.
zts289e	Stellt %s HP wieder her.
zts290e	Die HP werden um %s verringert.
zts291e	Stellt %s MP wieder her.
zts292e	Die MP werden um %s verringert.
zts293e	Während des Wirkens werden %s HP wiederhergestellt.
zts294e	Während des Wirkens gehen %s HP verloren.
zts295e	Bei einer Zauberunterbrechung werden %s HP wiederhergestellt.
zts296e	Bei einer Zauberunterbrechung gehen %s HP verloren.
zts297e	%s%% der HP werden unter Manaverbrauch wiederhergestellt.
zts298e	Die HP werden um %s%% der verbrauchten MP verringert.
zts299e	Verändert die HP/MP.
zts300e	Verändert die verbleibenden HP.
zts301e	Verändert die verbleibenden MP.
zts302e	Verändert die Zeit-HP.
zts303e	Verändert die Zeit-MP.
zts304e	Zusätzlich HP/MP erhalten
zts305e	Stellt %s%% der verlorenen HP wieder her.
zts306e	Verringert die verbleibenden HP um %s%%.
zts307e	Stellt %s%% der verlorenen MP wieder her.
zts308e	Verringert die verbleibenden MP um %s%%.
zts309e	%s HP werden wiederhergestellt.
zts310e	Die HP werden um %s verringert.
zts311e	%s MP werden wiederhergestellt.
zts312e	Die MP werden um %s verringert.
zts313e	Du bekommst zusätzlich %s HP. (Kann %s%% deiner maximalen HP nicht überschreiten.)
zts314e	Du bekommst zusätzlich %s MP. (Kann %s%% deiner maximalen MP nicht überschreiten.)
zts315e	Besonderes Verfahren
zts316e	Besonderer Schaden
zts317e	Wahrscheinlichkeit eines besonders kritischen Angriffs.
zts318e	Erhöht den Schaden gegen %s um %s.
zts319e	Wenn %s einen Spieler angreift, ist der Schaden um %s verringert.
zts320e	Die Chance auf kritische Treffer gegen %s ist um %s erhöht.
zts321e	Wenn %s einen Spieler angreift, ist die Chance auf kritische Treffer um %s verringert.
zts322e	Buff
zts323e	Anwenden/Abbrechen eines Buffs
zts324e	Immunität gegen bestimmte Buff-Gruppen
zts325e	Übertragung von einem Buff, um auf ein bestimmtes Level zu erhöhen.
zts326e	Besondere Immunität
zts327e	Eine bestimmte Gruppe auflösen
zts328e	Stellt mit einer Wahrscheinlichkeit von %s%% %s her.
zts329e	Mit einer Wahrscheinlichkeit von %s%% wird %s entfernt.
zts330e	Die Wahrscheinlichkeit ist hoch, einen schlechten Effekt zu verhindern.
zts331e	Fügt den umliegenden Objekten über Level %s %s hinzu.
zts332e	Fügt den umliegenden Objekten unter Level %s %s hinzu.
zts333e	Erzeugt Widerstandskraft gegen einen bestimmten Effekt.
zts334e	Effekte für eine bestimmte Gruppe aufheben.
zts335e	Wirkt gegen den Effekt des Giftes für ein bestimmtes Ziel oder eine Gruppe.
zts336e	Beschwörungen
zts337e	Todesbeschwörungen
zts338e	Monsterbeschwörungen
zts339e	Trainingsattrappen-Beschwörungen
zts340e	Zeitliche Beschwörungen
zts341e	Geisterbeschwörungen
zts342e	Beschwört nach dem Tod %s von %s Monstern.
zts343e	Beschwört nach dem Tod mit einer Wahrscheinlichkeit von %s%% %s.
zts344e	Beschwört %s-mal %s.
zts345e	Mit einer Wahrscheinlichkeit von %s%% wird %s beschworen.
zts346e	Beschwört %s von %s Monstern. (Trainingspuppe)
zts347e	Mit einer Wahrscheinlichkeit von %s%% wird %s beschworen. (Trainingspuppe)
zts348e	Beschwört %s von %s Monstern. (Verschwinden nach einer gewissen Zeit wieder)
zts349e	Mit einer Wahrscheinlichkeit von %s%% wird %s beschworen. (Verschwindet nach einer gewissen Zeit wieder)
zts350e	Beschwört einen Geist mit %s MP von %s Monstern.
zts351e	Beschwört mit einer Wahrscheinlichkeit von %s%% einen Geist mit %s MP.
zts352e	Besondere Effekte
zts353e	Schrei
zts354e	Verändert den nicht bevorzugten Angriff.
zts355e	Katerstimmung
zts356e	PvP-Modus
zts357e	Verlasse den Hintergrund.
zts358e	Verringert die HP des Gegners, der dich besiegt hat, um %s%%.
zts359e	Erhöht die HP des Gegners, der dich besiegt hat, um %s%%.
zts360e	Wechselt mit einer Wahrscheinlichkeit von %s%% zum bevorzugten Angriff.
zts361e	Wechselt mit einer Wahrscheinlichkeit von %s%% zum nicht bevorzugten Angriff.
zts362e	wird Kauderwelsch gesprochen.
zts363e	Möglichkeit, Spieler im PvP-Modus zu bekämpfen
zts364e	Ein schemenhafter Körper erscheint.
zts365e	Einfangen
zts366e	Tiere einfangen
zts367e	Fange Tiere mit einem niedrigeren Level als deinem eigenen ein, um sie zu deinem Haustier zu machen.
zts368e	Besonderes Attribut: Schaden und Explosionen
zts369e	Flammenexplosion
zts370e	Umgebungsexplosion
zts371e	Umgebungsangriff
zts372e	Mit einer Wahrscheinlichkeit von %s%% kommt es zu einer Explosion, die %s Schaden verursacht.
zts373e	Die Explosion verursacht in einem Umkreis von %s Feldern %s Schaden.
zts374e	Verursacht mit einer Wahrscheinlichkeit von %s%% einen Schaden in %s umliegenden Feldern.
zts375e	Besondere Effekte 2
zts376e	Spott
zts377e	Teleport
zts378e	Buff auf Hauptwaffe
zts379e	Buff auf Zweitwaffe
zts380e	Falscher Begleiter
zts381e	Zieht die Aufmerksamkeit des Gegners auf dich.
zts382e	Befreie dich von der Aufmerksamkeit des Gegners.
zts383e	Teleportiert dich in einem Umkreis von %s Feldern.
zts384e	Stellt bei Benutzung der Hauptwaffe mit einer Wahrscheinlichkeit von %s%% %s her.
zts385e	Stellt bei Benutzung der Zweitwaffe mit einer Wahrscheinlichkeit von %s%% %s her.
zts386e	Bestimmte Monstergruppen verwechseln dich mit einem Freund.
zts387e	Level berechnen
zts388e	Angriffslevel 0
zts389e	Verteidigungslevel 0
zts390e	Berechnetes Angriffslevel 0
zts391e	Berechnetes Verteidigungslevel 0
zts392e	Wiederherstellung
zts393e	Verändert die HP-Erholung.
zts394e	Verändert die MP-Erholung.
zts395e	Die HP-Erholung ist um %s erhöht.
zts396e	Die HP-Erholung ist um %s verringert.
zts397e	Die MP-Erholung ist um %s erhöht.
zts398e	Die MP-Erholung ist um %s verringert.
zts399e	Maximale HP/MP
zts400e	Verändert die maximalen HP.
zts401e	Verändert die maximalen MP.
zts402e	Die maximalen HP sind um %s erhöht.
zts403e	Die maximalen HP sind um %s verringert.
zts404e	Die maximalen MP sind um %s erhöht.
zts405e	Die maximalen MP sind um %s verringert.
zts406e	Vervielfacht die Angriffskraft.
zts407e	Vervielfacht die gesamte Angriffskraft.
zts408e	Vervielfacht die Nahangriffskraft.
zts409e	Vervielfacht die Fernangriffskraft.
zts410e	Vervielfacht die Magieangriffskraft.
zts411e	Die Angriffskraft wird um das %s-fache erhöht.
zts412e	Die Angriffskraft wird um das %s-fache verringert.
zts413e	Die Nahangriffskraft wird um das %s-fache erhöht.
zts414e	Die Nahangriffskraft wird um das %s-fache verringert.
zts415e	Die Fernangriffskraft wird um das %s-fache erhöht.
zts416e	Die Fernangriffskraft wird um das %s-fache verringert.
zts417e	Die Magieangriffskraft wird um das %s-fache erhöht.
zts418e	Die Magieangriffskraft wird um das %s-fache verringert.
zts419e	Vervielfacht die Verteidigungskraft.
zts420e	Vervielfacht alle Verteidigungskräfte.
zts421e	Vervielfacht die Nahangriffsverteidigung.
zts422e	Vervielfacht die Fernangriffsverteidigung.
zts423e	Vervielfacht die Magieverteidigung.
zts424e	Alle Verteidigungen werden um das %s-fache erhöht.
zts425e	Alle Verteidigungen werden um das %s-fache verringert.
zts426e	Die Nahangriffsverteidigung wird um das %s-fache erhöht.
zts427e	Die Nahangriffsverteidigung wird um das %s-fache verringert.
zts428e	Die Fernangriffsverteidigung wird um das %s-fache erhöht.
zts429e	Die Fernangriffsverteidigung wird um das %s-fache verringert.
zts430e	Die Magieverteidigung wird um das %s-fache erhöht.
zts431e	Die Magieverteidigung wird um das %s-fache verringert.
zts432e	Zeitkreisfähigkeiten
zts433e	Energie sammeln
zts434e	HP sichern
zts435e	MP sichern
zts436e	Alle Buffs abbrechen
zts437e	Item kann nicht benutzt werden.
zts438e	Sammle %s Punkte für den nächsten Angriff.
zts439e	Kein HP-Verbrauch
zts440e	Keine HP-Wiederherstellung
zts441e	Kein MP-Verbrauch
zts442e	Keine MP-Wiederherstellung
zts443e	Bricht alle Buffs ab.
zts444e	Das Item kann nicht benutzt werden.
zts446e	Prozentuale HP-Erholung
zts447e	Prozentuale MP-Erholung
zts448e	%s%% der HP werden wiederhergestellt.
zts449e	Die HP sind um %s%% verringert.
zts450e	%s%% der MP werden wiederhergestellt.
zts451e	Die MP sind um %s%% verringert.
zts452e	Zählen
zts453e	Beschwöre nach dem Zählen Monster.
zts454e	Beschwört %s von %s Monstern, sobald die MP auf 0 fallen.
zts455e	Beschwört mit einer Wahrscheinlichkeit von %s%% %s, sobald die MP auf 0 fallen.
zts456e	Keine Niederlage und kein Schaden
zts457e	Kein Sieg und keine Niederlage
zts458e	Schaden weder erhalten noch verursachen
zts459e	Beobachtungskraft
zts460e	Verringert die HP, aber stirbt nicht.
zts461e	Verringert die HP, aber besiegt nicht.
zts462e	Erhält nie Schaden.
zts463e	Verursacht nie Schaden.
zts464e	Die Angriffskraft des Gegners wird zu deiner Kraft.
zts465e	Besondere Aktionen
zts466e	Drängeln
zts467e	Ziehen
zts468e	Eile
zts469e	Wegrennen
zts470e	Verstecken
zts471e	Dränge deinen Gegner %s Felder zurück.
zts472e	Gegner im Umkreis von %s Feldern werden auf dich aufmerksam.
zts473e	Stürme auf die Gegner im Umkreis von %s Feldern zu.
zts474e	Renne vor dem Gegner weg.
zts475e	Heranschleichen
zts476e	Verstecktes sehen
zts477e	Modus verändern
zts478e	Ändert Reichweite
zts479e	Einziger Effekt
zts480e	Verändert die Angriffsgeschwindigkeit.
zts481e	Verändert den Modus.
zts482e	Springe auf andere Monster.
zts483e	Reichweite auf %s geändert.
zts484e	Die Reichweite wird wieder normal.
zts485e	Wendet den Effekt an, verursacht aber keinen Schaden.
zts486e	Verursacht direkten Schaden.
zts487e	Die Angriffszeit ist um %s erhöht.
zts488e	Die Angriffszeit ist um %s verringert.
zts489e	Der Modus ändert sich mit einer Wahrscheinlichkeit von %s%%.
zts490e	Mit einer Wahrscheinlichkeit von %s%% setzt %s ein.
zts491e	Kein charakteristischer Wert
zts492e	Kein charakteristischer Wert
zts493e	Kein Feuer-charakteristischer Wert
zts494e	Kein Wasser-charakteristischer Wert
zts495e	Kein Licht-charakteristischer Wert
zts496e	Kein Schatten-charakteristischer Wert
zts497e	Alle charakteristischen Kräfte sind außer Kraft gesetzt.
zts498e	Alle charakteristischen Resistenzen sind außer Kraft gesetzt.
zts499e	Das Feuerelement ist außer Kraft gesetzt.
zts500e	Die Feuerresistenz ist außer Kraft gesetzt.
zts501e	Das Wasserelement ist außer Kraft gesetzt.
zts502e	Die Wasserresistenz ist außer Kraft gesetzt.
zts503e	Das Lichtelement ist außer Kraft gesetzt.
zts504e	Die Lichtresistenz ist außer Kraft gesetzt.
zts505e	Das Schattenelement ist außer Kraft gesetzt.
zts506e	Die Schattenresistenz ist außer Kraft gesetzt.
zts507e	Licht und Schatten
zts508e	Manaschild
zts509e	Heilung
zts510e	Untot werden
zts511e	Verstecken und Angreifen
zts512e	Behandelt %s%% des verursachten Schadens durch Verringerung von MP.
zts513e	Erhöht die MP durch Absorption von %s%% des verursachten Schadens.
zts514e	Entfernt alle schlechten Effekte bis Level %s.
zts515e	Entfernt alle guten Effekte bis Level %s.
zts516e	Fügt Untoten mit niedrigerem Level Schaden zu.
zts517e	Heilt Untote mit niedrigerem Level.
zts518e	Angriffe aus dem Hinterhalt verursachen %s zusätzlichen Schaden.
zts519e	Angriffe auf versteckte Feinde verursachen %s zusätzlichen Schaden.
zts520e	Item
zts521e	Erhöht die Erfahrungspunkte.
zts522e	Erhöht den Angriff.
zts523e	Fallengelassene Items
zts524e	Die erhaltenen Erfahrungspunkte werden um %s%% erhöht.
zts525e	Sämtliche Angriffe sind um %s%% erhöht.
zts526e	Für %s Runden fallen jedes Mal Items, wenn du angegriffen wirst.
zts527e	Resistenz gegen Debuff
zts528e	Abnormale Resistenz gegen schlechte Effekte
zts529e	Normale Resistenz gegen schlechte Effekte
zts530e	Abnormale magische Resistenz
zts531e	Resistenz gegen Gift
zts532e	Abnormale Resistenz gegen Krankheiten
