zts1e	Abenteurerausbildung für Anfänger
zts177e	Sammle Seedleflügel!
zts178e	Sammle kleine Bohnen!
zts179e	Jage Jellys und sammle rote Cubys!
zts180e	Sammle Imphörner!
zts181e	Sammle Vampiekugeln!
zts182e	Erledige Walker, Koaren und Kenkos und sammle grüne Glasstücke!
zts183e	Erledige Gargs und sammle rote Glasstücke!
zts184e	Sammle Wolfsfell!
zts185e	Sammle Schildkrötenpanzer!
zts186e	Sammle Spinnennetze!
zts187e	Jage Schädel, Lavagolems und Nachtschatten und sammle Perlen der Finsternis!
zts188e	Gib Pijama eine Decke!
zts189e	Sammle Wolle, um eine Decke herzustellen!
zts190e	Gib Pijama ein Kissen!
zts191e	Sammle Federn von wütenden Hühnern!
zts192e	Rede mit der Pijama-Fee!
zts193e	Alle Federn gesammelt. Rede nochmal mit der Pijama-Fee!
zts194e	Gib Pijama ein Bett!
zts195e	Sammle 40 Stück schlechtes Holz!
zts196e	Schenke Pijama eine Matratze!
zts197e	Jage Jellys und sammle blaue Cubys!
zts198e	Rede mit der Pijama-Fee!
zts199e	Matratze hergestellt! Gehe jetzt zur Pijama-Fee und gib sie ihr!
zts200e	Beende die Mission des Timespaces, die dir die Pijama Fee gegeben hat!
zts201e	Welches Abenteuer wartet?
zts202e	Rede mit der frechen Pijama-Fee!
zts203e	Ausgetrickst von Pijama! Das kann nicht vergeben werden!
zts204e	Finde das Herz des kraftlosen Staubkönigs!
zts205e	Betrete den Timespacestein und finde das Herz des kraftlosen Staubkönigs!
zts206e	Gehe zum Seelenstein zurück!
zts207e	Herz gefunden. Gehe zum Seelenstein und rede mit ihm!
zts208e	Finde den Knochen des kraftlosen Staubkönigs!
zts209e	Betrete den Timespacestein und finde den Knochen des kraftlosen Staubkönigs!
zts210e	Gehe zurück zum Seelenstein!
zts211e	Du hast ein komisches Schwert anstelle eines Knochens gefunden. Gehe zurück spreche über deinen Fund!
zts212e	Schlage den kraftlosen Staubkönig nieder!
zts213e	Das ist das letzte Kapitel des alten Streits. Betrete den Timespacestein!
zts214e	Rede mit dem Seelenstein!
zts215e	Du hast den kraftlosen Staubkönig besiegt. Kehre zum Gespräch zurück!
zts216e	Sammle Lilien!
zts217e	Sammle 100 Lilien! Jage Monster des gleichen Levels!
zts218e	Alle Lilien gesammelt! Gehe zum Seelenstein zurück!
zts219e	Beruhige den heiligen Magier!
zts220e	Jage den Schurken!
zts221e	Jage den Schurken und betrete den Timespace!
zts222e	Beschütze den Ninja!
zts223e	Beschütze den Ninja nach dem Betreten des Timespaces durch den Seelenstein!
zts224e	Gehe zurück zum Seelenstein!
zts225e	Du hast den Ninja erfolgreich beschützt. Kehre nun zurück!
zts226e	Missverständnis & Wahrheit
zts227e	Betrete den Timespacestein!
zts228e	Erzähle dem Ninja die Wahrheit!
zts229e	NosMall-Eröffnungsevent!
zts230e	Jage Monster mit gleichem oder höherem Level und sammle Ballons.
zts231e	Geheimnis des Labors
zts232e	Verschaffe dir mithilfe eines Timespacestücks (Labor) Zugang zum 1. versteckten Timespace des Labors!
zts233e	Verschaffe dir mithilfe eines Timespacestücks (Labor) Zugang zum 2. versteckten Timespace des Labors!
zts234e	Verschaffe dir mithilfe eines Timespacestücks (Labor) Zugang zum 3. versteckten Timespace des Labors!
zts235e	Stell dich dem Angriff der Wächter bei Radals Abschiedsbrief im 3. Stock!
zts236e	Stell dich Radal!
zts238e	Ausbildung eines Anfängers
zts240e	Fange mit Hilfe deiner Fähigkeiten ein Huhn!
zts241e	Erlege mit Hilfe deines NosMates einige schwache Seedles!
zts242e	Gehe zu Calvin Coach, um deine Fähigkeiten zu trainieren!
zts244e	Gehe zum Alchemisten Malcolm Mix!
zts245e	Gehe zum Waffenladen, um Teoman Topp zu treffen!
zts246e	Gehe zum NosVille-Markt und kaufe dir etwas zu essen!
zts247e	Abenteuer des Timespacesteins
zts248e	Gehe zum Timespacestein im nördlichen Teil des Dorfes!
zts249e	Gehe auf Patrouille auf den NosVille-Wiesen!
zts250e	Präventive Maßnahmen gegen infektiöse Krankheiten
zts251e	Entferne die Ursache der schrecklich infektiösen Krankheit!
zts252e	Entferne die Ursache der schrecklich infektiösen Krankheit!
zts253e	Rotte die schrecklich infektiöse Krankheit aus!
zts254e	Starker Untoter
zts255e	Zerstöre Untote!
zts256e	Gehe nach NosVille und erstatte Bericht an Wache Sam!
zts257e	Erledige die Aufgabe von Wache Jim!
zts258e	Erstatte Bericht an Wache Jim!
zts260e	Folge dem Pfeil und finde heraus, was hier vor sich geht!
zts261e	Hier sind merkwürdige Dinge im Gange. Rede mit Mimi Mentor!
zts262e	Stelle mithilfe des Werkzeugs eine edle goldene Halskette her!
zts263e	Sprich mit Soraya Style, der Expertin für Accessoires!
zts264e	Bringe das Lunchpaket zu Calvin Coach!
zts265e	Finde heraus, was Malcolm Mix möchte!
zts267e	Rede mit Malcolm Mix!
zts268e	Gehe zu Eva Energy beim NosVille Markt!
zts269e	Sammle fünf kleine Bohnen für Eva Energy!
zts270e	Bringe die gesammelten Zutaten zu Eva Energy!
zts271e	Bedrohlicher Schatten über NosVille
zts272e	Halte die Monster auf den NosVille-Wiesen auf!
zts273e	Jage entflohene Kreaturen, um die Gegend zu sichern!
zts274e	Die Gegend ist sicher. Kehre zum NosCamp zurück!
zts275e	Kehre zu Mimi Mentor zurück, sobald du alle Vorbereitungen getroffen hast!
zts276e	Besorge die benötigten Gegenstände!
zts277e	Erlege Kreaturen in der Minenprärie!
zts278e	Kovolt in der Mine
zts281e	Du hast alle Hämmer gefunden. Rede noch einmal mit Minenmanager Mudog!
zts282e	Bringe die Hämmer zu Teoman Topp!
zts283e	Schaue bei Mimi Mentor vorbei!
zts284e	Hol dir die nächste Mission von Minenmanager Mudog!
zts285e	Hol dir die nächste Mission von Minenmanager Mudog!
zts286e	Untersuche die Gegend, die dir die Bergmänner gezeigt haben!
zts287e	Gehe zurück ins Dorf und erstatte Mimi Mentor Bericht!
zts288e	Beschaffe Abenteurerschuhe und bringe sie zu Malcolm Mix!
zts289e	Beschütze Malcolm Mix' Onkel in der Westlichen Mine 1!
zts290e	Nutze die Kovoltmaske, um den Plan der Kovolts aufzudecken!
zts291e	Generalstreik der Kovolts
zts292e	Informiere Minenmanager Mudog über den Streik der Kovolts!
zts293e	Brich den Streik der Kovolts!
zts294e	Rede noch einmal mit Minenmanager Mudog!
zts295e	Beobachte, was beim Streik der Kovolts vor sich geht!
zts296e	Rede mit Mimi Mentor über das Anliegen der Kovolts!
zts297e	Gehe Monster jagen, bis Lord Cuarrys Antwort eintrifft.
zts298e	Hör dir an, was Mimi zu sagen hat!
zts299e	Neues Treffen
zts301e	Überprüfe die komischen Geräusche in der Minenprärie!
zts302e	Sieh dich hier um!
zts303e	Hole die Waffe der Wache bei Teoman Topp ab!
zts304e	Gehe zu dem Ort, an dem sich die Truppen versammelt haben.
zts305e	Bitte Calvin Coach, die schwarze Tafel zu übersetzen!
zts307e	Erledige die Monster, die sich noch in der Gegend herumtreiben!
zts308e	Finde Bob und erledige mit ihm die Monster!
zts309e	Erstatte Minenmanager Mudog Bericht!
zts310e	Erledige die Kovolts in der Westlichen Mine 2!
zts311e	Erstatte Minenmanager Mudog Bericht!
zts312e	Beschütze Minenmanager Krispo!
zts313e	Besiege zusammen mit den Wachen den Haupttrupp der Kovolts!
zts314e	Unbesiegbarer Feind
zts316e	Lass dir von Eva Energy mehr über Feen erzählen!
zts317e	Rede mit Schluri!
zts319e	Finde heraus, wie es möglich ist, dass unaufhörlich Monster herauskommen!
zts320e	Berichte den Bewohnern des NosCamps von dem dunklen Gargs!
zts321e	Informiere Ritter Pinto über die Neuigkeiten!
zts322e	Verdächtige Wache
zts323e	Finde Captain Lance auf den sonnigen Wiesen!
zts324e	Serviere Captain Lance das Frühstück!
zts325e	Halte Wache, während Captain Lance sein Essen einnimmt!
zts326e	Finde die Zigarettenschachtel des Captains!
zts328e	Frage Ritter Pinto nach Tom!
zts329e	Erkundige dich bei Calvin Coach nach der Karte!
zts331e	Bringe Teodor Topp, was er verlangt!
zts332e	Zähme die Tiere, nach denen Teodor Topp verlangt!
zts333e	Frage Teodor Topp nach dem geheimen Treffpunkt!
zts334e	Gehe zum Treffpunkt der Ritter!
zts335e	Konkurrent
zts337e	Frage Malcolm Mix nach Fährtenduft!
zts338e	Sammle duftendes Gras auf den NosVille-Wiesen!
zts340e	Erbeute Mandrablüten von Grasmandras!
zts341e	Bitte Malcolm Mix, den Fährtenduft für dich herzustellen!
zts342e	Bringe den Fährtenduft zu Teodor Topp!
zts345e	Verfolge Tom!
zts346e	Gehe zu Jerico!
zts347e	Erledige die Monster in der Gegend!
zts348e	Suche die Wachen!
zts349e	Gehe zu Jerico und trainiere mit ihm!
zts350e	Beweise Jerico, dass du es ernst meinst!
zts351e	Laufe durch das erste Tor!
zts352e	Sprich mit Jerico!
zts353e	Finde Tom und fordere ihn zum Duell heraus!
zts354e	Berichte Jerico vom Duell mit Tom!
zts355e	Grauer Sturm
zts356e	Gehe zurück zum NosCamp!
zts357e	Sammle ein wenig Weizen auf den sonnigen Wiesen!
zts358e	Besorge ein paar Mandragora, um Gift herzustellen!
zts359e	Besorge etwas Eisenerz von Minenmanager Mudog!
zts360e	Besorge etwas Eisenerz aus der westlichen Mine 1!
zts362e	Teile Mimi Mentor die Ergebnisse mit!
zts363e	Gehe zu den sonnigen Wiesen und bereite dich auf den Kampf gegen die Kovolts vor!
zts364e	Schließe dich der Schlacht gegen die Kovolts an!
zts365e	Berichte im NosCamp, was du herausgefunden hast.
zts366e	Gehe zum Verteidigungslager am Fernonvorposten und informiere Commander Ray Ramos über die aktuelle Situation.
zts367e	Kämpfe gegen die Soldaten der Kovolts!
zts368e	Berichte im Verteidigungslager, dass die Mission beendet ist.
zts370e	Wirbel des Krieges
zts372e	Suche nach den Rittern!
zts373e	Räume die Baumstämme aus dem Weg!
zts374e	Gehe zum Treffpunkt der Ritter!
zts375e	Bringe das Dokument zum General der Ramosritter!
zts376e	Verteile den magischen Puder auf der zerbrochenen roten Tafel!
zts377e	Die Koaren greifen wieder an. Stelle dich ihnen entgegen!
zts378e	Gehe zum Verteidigungslager!
zts379e	Versuche, den Auftrag des Generals der Ramosritter zu erledigen!
zts380e	Gehe auf Teodor Topps Angebot ein!
zts381e	Gehe zur Minenprärie!
zts383e	Kehre zur Minenprärie zurück!
zts384e	Sprich mit dem General der Ramosritter!
zts385e	Freund und Feind
zts386e	Stelle dich dem Kampf!
zts388e	Finde heraus, ob Teodor Topp das Siegel erhalten hat!
zts389e	Bringe die Schwerter zum General der Ramosritter!
zts390e	Informiere den Hauptmann der Ramosritter über die Neuigkeiten hinsichtlich der Dämonen!
zts391e	Sichere den Weg, über den die Ritter angreifen wollen!
zts392e	Kehre zurück zum Verteidigungslager!
zts393e	Kehre zum NosCamp zurück!
zts395e	Besorge das Geld für Teodor Topp!
zts396e	Beschaffe den roten Rubin!
zts399e	Beschaffe Informationen im feindlichen Lager!
zts400e	Bring die Information zum NosCamp!
zts401e	Bring die Information zum Verteidigungslager!
zts402e	Dringe in die inneren Reihen der Feinde ein und vernichte sie!
zts403e	Erstatte im Verteidigungslager Bericht.
zts404e	Zwiespalt und Verrat
zts405e	Jage Korrkoaren!
zts406e	Folge Korrkoaren über den verzauberten Pfad!
zts408e	Jage kleine Dander!
zts409e	Gehe auf Jagd und erledige Dander!
zts410e	Fange ein glückliches Wollie!
zts411e	Sammle rote Früchte im Timespace (Level 10) auf den NosVille-Wiesen!
zts412e	Triff Minenmanager Mudog am Eingang der Mine!
zts413e	Finde die verlorenen Holzhämmer im nächstgelegenen Timespace!
zts414e	Besorge ein bisschen Erz von den Bergmännern der Kovolts!
zts415e	Hol dir eine Spitzhacke von den Bergmännern der Kovolts!
zts416e	Hilf den Wachen, den Angriff der Monster abzuwehren!
zts417e	Untersuche die sonnigen Wiesen!
zts418e	Gehe los und triff Tom!
zts419e	Rede mit Teoman Topp!
zts420e	Fange einen Schnüffler am Eingang zur nördlichen Mine!
zts421e	Folge dem Pfeil!
zts422e	Rede mit Calvin Coach!
zts423e	Rede mit Mimi Mentor!
zts424e	Befrage Malcolm Mix über die gesammelten Materialien und Dokumente!
zts425e	Bringe den roten Rubin zu Teodor Topp!
zts426e	Laufe durch das zweite Tor!
zts427e	Laufe durch das dritte Tor!
zts428e	Begib dich zur nördlichen Mine und kämpfe gegen die Kovolts!
zts429e	Überbringe die Zigarettenschachtel!
zts430e	Fülle die leere Flasche am Brunnen in der Minenprärie!
zts431e	Besiege den Feuerslade in der stillgelegten Mine 1!
zts432e	Frage Teodor Topp um Rat!
zts433e	Hol dir kleine rote Rubine aus dem Timespace 37!
zts434e	Folge dem Pfeil auf die NosVille-Wiesen!
zts435e	Rede mit Wache Jim!
zts436e	Rede mit Teoman Topp!
zts437e	Rede mit Eva Energy!
zts438e	Hole die Koaren ein!
zts439e	Erhalte eine Lehrstunde im Kampf gegen die Kenkosoldaten.
zts440e	Frage Malcolm Mix, ob er etwas Besonderes weiß!
zts441e	Suche einen neuen Hinweis!
zts442e	Frage Malcolm Mix, ob er die Zeichen auf der schwarzen Tafel übersetzen kann!
zts443e	Begib dich zum Aufenthaltsort des Höllenhundes!
zts444e	Hol dir das Halsband eines Höllenhundes!
zts445e	Suche die Kovolt-Statue in der Stillgelegten Mine 1!
zts446e	Rede mit dem Dämonendiener!
zts447e	Besorge Maulwurfschnurrbärte von Maulwürfen!
zts448e	Betrete den Platz, an dem sich die Koaren und Kenkos treffen.
zts449e	Um einen mysteriösen Schatz zu finden
zts450e	Bringe die magischen Zutaten zu Malcolm Mix!
zts451e	Um einen neuen Schatz zu finden
zts452e	Bringe die Kochzutaten zu Eva Energy!
zts453e	Informiere dich bei Schluri über den Schatz!
zts458e	Bringe das Superset zu Schluri!
zts460e	Bringe den Schatz zu Mimi Mentor!
zts461e	Gehe zum isolierten Raum im ersten Stock des Tempels.
zts462e	Befreie den gefangenen Koarenspion!
zts463e	Neue Allianz
zts465e	Berichte was dem Koarenspionen passiert ist!
zts466e	Erledige Kenkos und besorge ein Exemplar!
zts468e	Beschütze die Einheit der Koaren!
zts469e	Bitte Malcolm Mix um Rat!
zts470e	Sauge die Energie eines Kenkosoldaten mit dem Saugtrichter ein.
zts471e	Begib dich zum verlassenen Zauberturm am verzauberten Pfad, welcher östlich des Fernontempels liegt!
zts472e	Bring das zu Malcolm Mix!
zts473e	Schleiche durch die Rätselhafte Pforte und gelange zum Lager der Kenkos!
zts477e	Berichte dem Koarenspion!
zts478e	Der Fernonbaum
zts479e	Schleiche dich in das Versteck der Kenkos im Fernontempel U2!
zts482e	Befrage Malcolm Mix über den Kreis der Finsternis!
zts483e	Hol den heiligen Ast aus dem Fernontempel 1!
zts485e	Begebe dich ins Spirallabyrinth O!
zts487e	Durchtrenne den ersten Energiestrom!
zts489e	Durchtrenne den zweiten Energiestrom!
zts491e	Durchtrenne den dritten Energiestrom!
zts493e	Durchtrenne den vierten Energiestrom!
zts494e	Gehe zum Fernontempel 10!
zts495e	Kämpfe gegen die gefangene Seele!
zts497e	Eile zu Fernons Herz!
zts498e	Eile zu den Wurzeln der Fernon!
zts499e	Suche in der Stillgelegten Mine 1 nach Maulwürfen!
zts500e	Suche die Straße nach Fußspuren der Koaren ab!
zts502e	Finde den Schatz im Fernontempel U1!
zts503e	Finde den zweiten Schatz!
zts504e	Finde den dritten Schatz!
zts505e	Finde den vierten Schatz!
zts506e	Gib dem Koarenspion das Exemplar!
zts507e	Gehe zur Steinklippe bei den Sonnigen Wiesen!
zts508e	Untersuche den Fernontempel U1!
zts509e	Gehe zum Nördlichen Ausgang des Fernontempels U1!
zts510e	Gehe zum Östlichen Ausgang des Fernontempels U1!
zts511e	Gehe zum Westlichen Ausgang des Fernontempels U1!
zts512e	Gehe zum Heiligen Altar im Zaubererturm 8!
zts513e	Gehe zum Fernontempel U2, um Kliff zu folgen!
zts514e	Frage Kliff, wie man Fernon versiegelt!
zts515e	Zerstöre die Teufel!
zts516e	Gehe zum Koarenspion!
zts517e	Gehe zum ZickZack-Pfad im Fernontempel U2!
zts518e	Hol den Bernstein des Lichts aus dem Fernontempel 2 oder Fernontempel 3!
zts519e	Hol den Bernstein des Schattens aus dem Fernontempel 4 oder Fernontempel 5!
zts520e	Hol den Bernstein des Wassers aus dem Fernontempel 6 oder Fernontempel 7!
zts521e	Hol den Bernstein des Feuers aus dem Fernontempel 8 oder Fernontempel 9!
zts522e	Hol dir den Schatz von Calvin Coach zurück!
zts523e	Jajamaru Quest
zts524e	Frage nach dem komischen Stein!
zts525e	Bestelle einen riesigen Eisenhammer von Teoman Topp!
zts526e	Bring die Zutaten zu Teoman Topp!
zts527e	Bringe den riesigen Eisenhammer zu Yobby Expy-Bergmann!
zts528e	Hilf dem Yobby Expy-Bergmann, das Meteoritenstück zu zerstören!
zts529e	Jage die wilden Monster rund um den Meteorit!
zts530e	Überprüfe schnell den Grabstein!
zts531e	Überprüfe den Stein, der mit der Vision verbunden ist!
zts532e	Überprüfe den hutförmigen Stein!
zts533e	Verfolge Namaju!
zts534e	Frage Malcolm Mix nach der Essenz des Geistes!
zts535e	Gehe zu Eva Energy, um Feenstaub zu bekommen!
zts536e	Gib Eve Energy die Gewürze zum Kochen!
zts537e	Gib Malcolm Mix den Feenstaub!
zts538e	Gehe zurück zu Calvin Coach!
zts539e	Suche Sakuras Haarnadel!
zts540e	Benutze Prinzessin Sakuras Siegel!
zts541e	Bringe den Antrag zu Soraya Style zurück!
zts542e	Hol die Essenz des Geistes!
zts543e	Gib Soraya Style den Seelenkristall!
zts544e	Erfülle die Aufgabe von Soraya Style!
zts545e	Gib Teoman Topp die Zutaten!
zts546e	Du hast die Essenz des Geistes gesammelt. Gehe zurück zu Soraya Style!
zts547e	Eile, um den Grabstein zu untersuchen!
zts601e	Jage das folgende Monster!
zts602e	Errichte einen Außenposten des NosCamps am Mount Krem!
zts603e	Rede mit dem Häuptling der Koaren!
zts604e	Begib dich auf die westliche Seite des Gipfels und wasche die Shinebone-Statue mit Fruchtsaft!
zts605e	Begib dich auf die östliche Seite des Gipfels und wasche die Shinebone-Statue mit Fruchtsaft!
zts606e	Berichte Colly von der zerstörten Shinebone Statue!
zts607e	Sammle Lehm, um eine Statue zu bauen!
zts608e	Stelle eine Statue her!
zts609e	Errichte die fertiggestellte Statue!
zts610e	Berichte von deiner Arbeit!
zts611e	Überbring die Nachricht, dass ein NosCamp errichtet wird!
zts612e	Repariere das zerstörte Wachhaus!
zts613e	Pflanze eine Grünfläche auf dem weichen Boden in der Nähe der Stadt!
zts614e	Grabe den harten Boden um!
zts615e	Übergib die Schatzkarte!
zts616e	Gehe zu dem Punkt, der auf der Schatzkarte markiert ist, und finde den Schatz!
zts617e	Übergib den Schatz!
zts618e	Gehe zu Colly!
zts619e	Finde die Fernon-Dryaden in der tiefen Höhle!
zts620e	Finde heraus, wo sich die Dryaden befinden!
zts621e	Zerstöre alle Dryaden!
zts622e	Berichte von den Catsys!
zts623e	Such nach den Catsys!
zts624e	Lass dich nicht von den Monstern erwischen!
zts625e	Frag nach dem Aufenthaltsort der Catsys!
zts626e	Such nach dem Pfad der Catsys!
zts627e	Kovolts und Catsys
zts628e	Triff die Informationsquelle!
zts629e	Triff die Quelle!
zts630e	Vernichte die Dämonen in Berghöhle 5!
zts631e	Berichte dem Dämonendiener!
zts632e	Finde heraus, wie man einen Hut herstellt, so wie es der Dämonendiener verlangt!
zts633e	Erlange die Kraft der glänzenden Steine!
zts634e	Übergib Anni den glänzenden Stein!
zts635e	Bring die Materialien zu Anni!
zts636e	Hol dir die Informationen!
zts637e	Gehe zu dem Ort, an dem sich die Catsys oft aufhalten!
zts638e	Zeig Anni den Hinweis und hol dir neue Informationen!
zts639e	Gehe zur Abendrotklippe am Mount Krem!
zts640e	Frag nach der Roten Maske!
zts641e	Finde Prinzessin Catlotte im Nebligen Tal!
zts642e	Vernichte die Dämonen im Nebligen Tal!
zts643e	Finde Catlotte!
zts644e	Frag nach dem Aufenthaltsort von Catlotte!
zts645e	Finde heraus, wo sich das unterirdische Gefängnis befindet!
zts646e	Bring Carven Zähne von den Biestern aus der Höhle der Geister!
zts647e	Übergib die Zähne der Biester!
zts648e	Befreie Prinzessin Catlotte aus dem Unterirdischen Gefängnis in Berghöhle 4!
zts649e	Wiedererwachen der Kenkos
zts650e	Finde den edlen Schatz!
zts651e	Bring Anni die Wertvolle Vase!
zts652e	Finde Cenil!
zts653e	Finde heraus, wie man das Problem lösen kann!
zts654e	Bring die Nachricht der Koaren zu Cenil!
zts655e	Gehe zurück zur NosCamp-Höhle auf dem Mount Krem!
zts656e	Sprich den Kovoltmagier!
zts657e	Frage nach Kenko!
zts658e	Finde den Kenkospion in Berghöhle 6!
zts659e	Finde den Kenkospion in Berghöhle 6!
zts660e	Zeig dem Häuptling der Koaren den Brief!
zts661e	Verhindere Kenkos Plan!
zts662e	Der Tod der Kenkos!
zts663e	Gehe zum Fernonvorposten und fange einen Schnüffler!
zts664e	Frag nach Catlottes Parfüm!
zts665e	Folge dem Geruch zum Shanera Dungeon -1!
zts666e	Erledige alle Monster!
zts667e	Suche in der Umgebung nach Catlotte!
zts668e	Suche ohne Catrishas Hilfe nach Catlotte!
zts669e	Suche Verdächtige Tapeten!
zts670e	Suche nach dem geheimen Ort!
zts671e	Beruhige die wütenden Rosendornhexen!
zts672e	Überprüfe den Ort, den die Rosendornhexe genannt hat!
zts673e	Finde Kenko!
zts674e	Finde das Siegel des versteckten Altars!
